[00:14] Speaker_B | Is that alright now ?
[34:12] Speaker_B | Yeah .
[34:18] Speaker_B | Okay .
[34:20] Speaker_D | And and channel .
[34:21] Speaker_D | Right .
[34:26] Speaker_B | Yeah .
[34:31] Speaker_B | Okay .
[34:35] Speaker_B | Okay .
"[34:44] Speaker_B | Okay , so you're gonna have um audio which is gonna be like you know your bass settings and actual volume hi Okay ."
[34:49] Speaker_D | Mm-hmm .
"[34:50] Speaker_A | Yeah , anything to do with what you hear , right . You you put that into audio . And then video is anything that you can see . Um ."
[34:52] Speaker_D | Mm-hmm .
[34:53] Speaker_D | Mm-hmm .
[34:57] Speaker_D | Mm-hmm .
[34:59] Speaker_A | Yep .
"[35:00] Speaker_D | Colour , yeah ."
[35:02] Speaker_A | Yep .
[35:03] Speaker_D | Sure .
[35:04] Speaker_D | Sure .
[35:04] Speaker_A | Yep .
[35:05] Speaker_D | Okay .
"[35:08] Speaker_D | And then k I suppose quite likely what would happen is in the d device category there might be some which are just like the habitual standard and then others which are maybe a bit more Yeah . Sure , okay . Okay ."
[35:16] Speaker_B | Mm-hmm .
[35:18] Speaker_B | Yeah .
[35:20] Speaker_B | Okay .
[35:30] Speaker_B | Okay .
[35:33] Speaker_D | Okay .
[35:45] Speaker_D | Mm-hmm .
[35:47] Speaker_D | Mm-hmm .
[35:53] Speaker_D | Great .
