"[00:36] Speaker_A | Okay um ,"
[30:11] Speaker_A | Although the tog toggle
[30:14] Speaker_D | I would break it . I would break it .
[30:15] Speaker_A | It's cool . I think I would break it .
[30:18] Speaker_C | Break the stem off .
[30:23] Speaker_D | Oh that's funny .
"[30:31] Speaker_D | Kind of looks like a penguin , like with no eye ."
[30:37] Speaker_D | I like that it stands up .
[30:39] Speaker_A | Mm-mm .
"[30:41] Speaker_B | Wow , maybe I should market it to some remote control company now ."
"[30:57] Speaker_A | Mm 'kay , congratulations ."
[31:01] Speaker_A | Um .
[31:03] Speaker_A | Anything else to say ?
"[31:07] Speaker_D | Nothing will come up until after our meeting's supposed to be over , its all timed ."
[31:09] Speaker_A | Alright .
[31:11] Speaker_B | Oh .
"[31:11] Speaker_A | Um anybody have I got more master classes , anybody else wanna like take a master's class ?"
"[31:20] Speaker_A | Yeah , but check it out . So like there are all these like links , they don't go anywhere ."
[31:25] Speaker_A | But all that you need to keep in mind your knowledge management . Um just wanna make sure you do .
[31:39] Speaker_A | It is .
[31:41] Speaker_A | Yes definitely I'm very sad that I didn't get any links to the corporate website .
[31:46] Speaker_D | Oh here you can you can view .
[31:49] Speaker_D | You can just see what's up .
[31:52] Speaker_A | Wow .
[31:53] Speaker_D | Yeah it's it's really deep . Hold on .
"[31:57] Speaker_D | Takes a little while to get excited to load . That the Excel thing is pretty cool . Here , like , basically it's like inspiration , basically I'm gonna give you two sentences on fashion and"
"[32:02] Speaker_A | Yes . I love Excel , it's one of my favourite programs ."
"[32:02] Speaker_B | Yeah , that is pretty neat ."
"[32:10] Speaker_D | that kind of thing , see . You didn't miss out that much ."
"[32:12] Speaker_A | I see , mm ."
"[32:13] Speaker_B | Yeah , my inspiration from from last time is the in interior of a remote control being taken apart bit by bit , talking about circuit boards . I learned a lot actually . I could probably take apart a remote control now if I really needed to ."
[32:15] Speaker_A | Spongy .
[32:22] Speaker_C | Mm .
[32:22] Speaker_D | Oh wow .
[32:26] Speaker_D | This one was cooler . I got a whole table and everything .
"[32:29] Speaker_B | Now I have all about circuits and chips and transponders and I wrote it all down , because I thought it would be relevant , like all the different parts of the inside of a remote control , but then they're like , you don't actually need this you just need to talk about the case ."
"[32:43] Speaker_D | That's like mine it was like , would you prefer an L_C_D_ screen or a multifunction remote control ? And then it didn't have like any kind of table , like awesome , I'm glad they asked that question and didn't report the result ."
[32:53] Speaker_B | It's really interesting though .
[32:54] Speaker_A | I I thought it was a little tricky having to hand around this thing .
[33:00] Speaker_B | Yeah .
[33:00] Speaker_D | Yeah .
[33:01] Speaker_C | Yeah .
[33:01] Speaker_A | We had a lot of the um otherwise the technology today was kinda cool .
[33:03] Speaker_C | I think .
[33:06] Speaker_C | Yeah .
[33:07] Speaker_C | We didn't we didn't use the whiteboard that much .
[33:08] Speaker_A | Mm-hmm .
[33:10] Speaker_B | No .
[33:24] Speaker_A | Mm .
"[33:25] Speaker_D | 'Cause we weren't like voting on anything and I think usually , like whiteboards are good , you know like crossing out ideas , or like if we had had like a brainstorming period ."
[33:36] Speaker_A | Mm-hmm .
[33:36] Speaker_D | But I thought we were good orally .
[33:39] Speaker_D | Get crazy .
"[33:40] Speaker_A | And with and with the PowerPoint that we can all look at , like you can do all those things pretty much on PowerPoint as that's not as necessary to have ."
[33:42] Speaker_B | Yeah .
[33:45] Speaker_C | Yeah .
[33:45] Speaker_D | And these might've made us more willing to like take notes than to
"[33:50] Speaker_D | like write up them here , 'cause we all needed them separately , kind of on the whiteboards in this room ."
[33:51] Speaker_A | Mm .
[33:54] Speaker_A | Mm-hmm .
"[33:56] Speaker_B | Because we're all gonna be working in different places . We if we were all gonna stay in here all the time , then having the notes up on the whiteboard would've been alright , but everyone needs their own , like specific notes , I guess ."
[33:59] Speaker_D | Yeah .
[34:02] Speaker_A | Mm-hmm .
"[34:09] Speaker_A | Now when you were um creating your um prototypes here , did you work together or did you like do separate projects ?"
"[34:15] Speaker_C | Uh we we worked together , um but we were making like we sort of made different shapes and then discussed how the how the buttons might work , um and how we could like improve on the on the design ."
[34:17] Speaker_B | Yeah .
[34:25] Speaker_A | Mm-hmm .
[34:25] Speaker_B | Yeah .
"[34:31] Speaker_B | So it was a bit of both really , we just kind of started out by each taking a colour of clay and"
"[34:36] Speaker_B | just fooling around with it and I came up with that rhombus shape and he came up with the sort of potatoey , mangoey shape , and then just went from there really ."
[34:39] Speaker_A | Mm-hmm .
[34:46] Speaker_A | Cool .
[34:47] Speaker_B | It was fun .
[34:58] Speaker_A | Oh thanks .
"[34:59] Speaker_C | I think we did well in first of all giving our meetings the time , and second we actually"
[35:00] Speaker_A | It's kinda fun .
[35:06] Speaker_C | we we did a good job of making firm decisions at the ends of the meetings .
[35:09] Speaker_A | Mm .
"[35:14] Speaker_C | I know what happens sometimes is that you tend to sort of have meetings and then people sorta drift away without anything actually really being decided . But I think here we got we got clear and and decisive decisive points at the end of the meetings , so that we we knew where to go on from there ."
[35:21] Speaker_A | Mm-hmm .
"[35:31] Speaker_B | Yeah , I was quite worried at the end of the last meeting that we weren't getting we didn't really have enough information to make firm decisions , but we were able to do it regardless , so ."
[35:38] Speaker_A | Mm-hmm .
"[35:43] Speaker_B | I'm not usually a very decisive person , so it helped to have people say this needs to be done in five minutes ."
[35:47] Speaker_A | This is what we'll do .
[35:47] Speaker_C | Yeah .
[35:52] Speaker_A | I found that we did we could have used another five or ten minutes
[35:56] Speaker_A | sometimes in the meetings .
"[35:56] Speaker_C | Yeah , for some of the meetings , yeah ."
"[35:57] Speaker_B | Especially last time , yeah ."
"[35:58] Speaker_A | Mm-hmm . Yeah I think the last time we had a lot of information , but at the same time not quite enough , you know what I mean , like we we couldn't answer every single question ."
[36:05] Speaker_B | Yeah .
[36:06] Speaker_C | Yeah .
[36:07] Speaker_B | Yeah .
[36:09] Speaker_B | Right .
"[36:13] Speaker_B | And I I felt the first two meetings , that I was coming in with no information , and not sort of"
[36:17] Speaker_A | Mm .
"[36:19] Speaker_B | made me really like , ooh I don't know , throwing together PowerPoint out of no no information and then last time it was like the opposite . I had so much information and so much to talk about ."
"[36:29] Speaker_A | It was interesting what came out like later , like as I was doing the when I was doing the breakdown on the agenda that they gave me um , that more points came out from your presentation even ."
[36:32] Speaker_B | Yeah .
[36:37] Speaker_B | Mm .
[36:40] Speaker_A | Um .
"[36:45] Speaker_A | I'm a little I am a little disappointed that we didn't do a um something for losing the remote , because that was kind of a big point ."
[36:51] Speaker_B | Yeah .
[36:58] Speaker_A | About yeah .
"[36:58] Speaker_D | Well the problem was , even when we just were creating from the Excel file , there wasn't like a option to select to somehow have it included , so there was no we could be like yeah , it has it included . There was no way for us to have"
[36:59] Speaker_C | Yeah .
[37:05] Speaker_A | Mm-hmm .
[37:06] Speaker_B | Yeah .
[37:09] Speaker_A | Mm-hmm .
[37:12] Speaker_B | Yeah .
[37:12] Speaker_A | Considered the re yeah .
[37:12] Speaker_D | written down that it was really there .
"[37:24] Speaker_A | Mm-hmm , yeah . It was interesting though that they put that fifty percent of people say they have frustration with losing their remote and yet they didn't provide us with information to um we weren't provided with information to discuss that ."
[37:33] Speaker_B | Yeah .
[37:34] Speaker_D | Yeah .
[37:44] Speaker_C | Yeah .
[37:44] Speaker_B | Yeah .
[37:49] Speaker_B | I think there are some of those like infomercial remotes that have things
[37:54] Speaker_B | so you won't lose them .
[37:55] Speaker_A | Mm .
"[37:56] Speaker_B | I dunno . I mean we were talking about it and like i in my household at least , there's only about two places that the remote is ever 'cause there's only one T_V_ and"
[38:03] Speaker_A | Hmm .
[38:06] Speaker_B | there's only like three chairs .
"[38:06] Speaker_D | That's like saying you're never gonna lose your keys , and I always do , anyway ."
"[38:11] Speaker_D | You'll lose 'em in your pocket , like you just will forget that or you like put it down somewhere that like made sense and then not remember , there's always ways to lose things ."
[38:12] Speaker_A | Mm-hmm .
[38:17] Speaker_A | Mm .
[38:19] Speaker_B | Yeah .
"[38:23] Speaker_B | Yeah , or like I guess what the setup of the house is too ."
[38:25] Speaker_A | Mm-hmm .
"[38:29] Speaker_B | I am notorious for losing my keys , I just I guess I've just never lost the remote . I put my keys in the refrigerator the other night and couldn't find them . 'Cause I was putting groceries away ."
[38:41] Speaker_D | That's funny .
[38:46] Speaker_B | You you're taking stuff from a bag and putting them in the refrigerator and then go back to my room .
"[38:53] Speaker_B | Can't get in , look all around the kitchen ."
[38:57] Speaker_B | Definitely in the vegetable drawer .
[38:59] Speaker_D | That's funny .
[39:00] Speaker_B | So .
"[39:01] Speaker_D | I always do that , leaving it in my coat , and then like using a different coat ."
[39:04] Speaker_B | Mm .
[39:05] Speaker_A | Yep .
[39:07] Speaker_B | But I guess it's 'cause we don't carry remotes around that much .
[39:10] Speaker_D | Yeah .
[39:14] Speaker_D | Can't really take it into the other room .
[39:16] Speaker_B | Yeah .
"[39:28] Speaker_B | Oh a G_P_S_ system , internal G_P_S_ ."
[39:34] Speaker_D | Oh man .
[39:37] Speaker_D | Here you go .
[39:39] Speaker_B | Although if it's sitting still for too long .
[39:44] Speaker_D | That really could get up and walk away .
"[39:55] Speaker_B | Just if you like you'd have a remote for your remote , that'll ."
"[40:01] Speaker_A | Well , but if you could attach them to the T_V_ , then you can ."
[40:03] Speaker_B | Yeah .
[40:05] Speaker_B | Hmm .
[40:06] Speaker_B | All kinds of possibilities .
[40:06] Speaker_A | Mm .
[40:16] Speaker_A | Okay .
"[40:19] Speaker_A | Sorry , I'm just um trying to update my minutes . I decided to you know how I sent you the email saying that PowerPoint minutes will be complimentary , rather than like repeating them . Just gonna make I'm making full minutes , so that it'll include all of the agenda and all that . 'Cause that seems a little more useful ."
[40:27] Speaker_B | Yeah .
[40:31] Speaker_B | Oh .
[40:33] Speaker_B | Wow .
[40:36] Speaker_B | 'Cause you've had like the most typing and organising to do .
"[40:47] Speaker_B | How much of your PowerPoint was already done for you , every meeting ."
"[40:50] Speaker_A | Most of it , mm-hmm . I added slides , um I added a couple slides each time , but that was about it ."
[40:54] Speaker_B | Oh .
[40:56] Speaker_B | Okay .
"[40:57] Speaker_B | Yeah , I didn't even think about adding slides , 'cause I would just get slides with titles on them and fill them all in w didn't even think about adding more ."
[41:01] Speaker_A | Mm .
"[41:05] Speaker_A | Well , the thing was they would provide y an agenda with s like several points , but it wouldn't have a slide for each point . And that's the only way I remember that I need to go other that point . I know personally when I do PowerPoint , that's what I do and so I had it once , even if it was just like the title of it , like the three presentations , and I would do your three ."
[41:10] Speaker_B | Ah yeah. .
[41:21] Speaker_B | Right .
[41:41] Speaker_A | The slogan on it ? No no no .
"[41:42] Speaker_B | No , no , definitely not ."
[41:43] Speaker_D | Okay good .
"[41:49] Speaker_A | I think we just need the um the R_R_ , yeah ."
[41:55] Speaker_D | Is it yellow and blue ?
[41:57] Speaker_B | Or yellow and blue . Lemme go to the web page .
"[41:59] Speaker_A | Yeah , I was just kinda going by the web page , 'cause they didn't give me any clear , like yellow , grey , or ."
"[42:04] Speaker_D | Oh I guess it is black , grey . Grey is better than black , doesn't look so bumblebeeish ."
[42:12] Speaker_A | I don't really like yellow in general .
[42:14] Speaker_D | Hey now I understand the random like newsclippings .
[42:21] Speaker_A | Wasn't it interesting that um I thought it was interesting that our market marketing um expert did not agree with the marketing um
"[42:29] Speaker_A | the marketing choices , you know , like that was a bit of a conflict ."
"[42:32] Speaker_D | I will I just feel like if you're really doing like a a really big market evaluation , you wouldn't just have like one set of source , it's kind of an they were so not backed up , it would just be a sentence like we did a survey , this is what people said ."
"[42:48] Speaker_D | S mm , I dunno ."
[42:48] Speaker_B | Yeah .
[42:50] Speaker_A | People are stupid .
"[42:52] Speaker_B | I guess it i it sort of a grey , isn't it ? Yellow and grey , but then the slogan's in blue ."
"[42:59] Speaker_D | Well we got some grey and we got some blue buttons , we're good ."
[43:02] Speaker_B | Yeah . Well we don't have the right colour clay anyway .
"[43:05] Speaker_A | Maybe , like I don't know . That could always be ."
"[43:10] Speaker_B | Well we're not , sadly , going to actually be producing this , so ."
[43:14] Speaker_A | Oh .
[43:21] Speaker_A | I'm claiming it intellectual property .
[43:23] Speaker_D | Yeah .
[43:31] Speaker_B | I can't believe a whole day is gone . I don't feel like it's been that long .
[43:33] Speaker_D | I know .
[43:36] Speaker_B | Get sucked in .
[43:40] Speaker_B | Mm I haven't gotten questionnaire eight yet .
