[00:04] Speaker_A | Yeah .
[40:01] Speaker_B | Okay .
[40:06] Speaker_B | Wait .
"[40:17] Speaker_B | Okay . I kinda get this . Yeah , yeah . Mm-hmm ."
"[40:22] Speaker_A | Right , mm-hmm ."
[40:24] Speaker_B | So more complicated than I thought . I'd forgotten about the multiple fixations on an object . Yeah . Okay .
"[40:26] Speaker_C | Uh yeah , I'm afraid uh mm-hmm ."
"[40:37] Speaker_C | Yep , yep ."
[40:56] Speaker_C | Mm-hmm .
"[40:59] Speaker_C | Yep . To ye yeah , mm-hmm . Viewing times ."
"[41:06] Speaker_B | Well , it's not okay , I mean this is kinda what we were talking about before , this confusion about what's in the G_D_F_ . I mean you might see it as the initial G_D_F_ is just whatever straight-forwardly translates without , you know , without transforms , with just the data format changing from the ASCII . And then there's a bunch of other things that get added that you might still want to be in um augmented G_D_F_ format , you know , like this blink and the gaze and whatever else . And then you translate to N_X_T_ . So you might still wanna have everything in this one G_D_F_ file format that represents everything . And then the N_X_T_ thing is just a splitter . It's not doing any fancy analysis . So I see this as , you know , a bunch of little routines that take the the G_D_F_ without this information in it and add new information into th sub-script versions of the G_D_F_ file that contains these post-process analyses ."
[41:30] Speaker_C | Mm-hmm .
"[41:45] Speaker_C | Right , yeah ."
[42:08] Speaker_A | Right .
[42:09] Speaker_B | Yeah .
[42:11] Speaker_A | Right . So so so w will you actually be doing much of the G_D_F_ ? Or is are you expecting do most the analysis on out of the N_X_T_ stuff then ? So whe when you uh when you actually generate your results . Mm-hmm .
[42:30] Speaker_B | Yeah .
[42:33] Speaker_A | Right .
"[42:43] Speaker_A | Yeah . Uh yeah . C well yeah , you told that earlier 'cause you could do a quick ana you could do a quick analysis on the G_D_F_ stuff without having to before you hit before you do the dialogue analysis type stuff . So you can get some some results anyway , can't you . Okay . Yeah ."
[42:48] Speaker_C | Mm-hmm .
[42:53] Speaker_C | Mm-hmm .
"[42:53] Speaker_B | Yeah . I mean it to some extent it doesn't matter which data format it's in , N_X_T_ or G_D_F_ . But it makes more sense for the converter between G_D_F_ and N_X_T_ not to add any data . All it does is do this this stupid data format conversion . And it it's just , you know , separating it out in the little steps . So , you know , there have to be these other scripts that add any um data transforms um not data format transform forms , but data transforms . Like this idea of um of putting together gazes from fixations . So y you know , i if we keep it simpler like that so that it's in little pieces , then it'll be just easier to understand w what the wh the whole thing does ."
[43:04] Speaker_C | Mm-hmm .
[43:31] Speaker_C | Hmm .
"[43:35] Speaker_A | Right . Okay , okay ."
[43:35] Speaker_C | Hmm . C
[43:51] Speaker_A | Right .
"[43:51] Speaker_C | And uh yeah , that's also why I sent you the mm Saarbruecken software f that uh the stuff that takes the ASCII sort of format originally and then just uh sort of compresses it and things . Yeah , the German stuff . Uh because that little utility um does things like t well but you can tell it to what to do with blinks , whether just to lump them in or or not . Uh what the minimum fixation duration for a stable fixation would be , sort of you have if it picks up t fixations less than say fifty milliseconds , you can tell it just to again lump them all together , that's not a sort of reliable enough fixation . Uh you can put in these sort of of things . So that's uh that's a bit of software that's sent and that includes the source code and things as well ."
"[44:02] Speaker_A | Oh yeah yeah . The Germans don't yeah , yeah , yeah ."
[44:14] Speaker_B | Oh yeah .
"[44:31] Speaker_A | Fair enough , fair en"
"[44:38] Speaker_A | Yeah , so so they they we're allowed to do whatever without without source code . There's no c sort of restrictions on that . Fair enough , fair enough ."
[44:43] Speaker_C | Mm-hmm .
"[44:53] Speaker_C | Uh no , there's very little documentation as you might imagine for these sort of things . Yeah , so I g I uh yeah . That's that's why . So Mm-hmm ."
"[45:00] Speaker_B | Well it's good starting point , right . So it'd be interesting to see if you agree with the decisions that they made about how to do things ."
[45:08] Speaker_C | Mm-hmm . Hmm .
[45:12] Speaker_C | Mm-hmm .
[45:22] Speaker_B | Mm .
[45:23] Speaker_C | Fine . Good .
"[45:32] Speaker_C | Mm-hmm . 'Cause uh al also just filters it . There are a lot of um strange event tags that the eye link produces that are fairly meaningless , I think . And it can stri it strips out a lot of the junk uh as well . So it cleans it up . Mm-hmm . Uh-huh ."
[45:46] Speaker_A | Yeah .
[45:49] Speaker_B | Ah .
"[45:54] Speaker_B | Well b but we don't wanna build it into our data path . We just wanna learn from it , I think , right ? Correct ? Or no ?"
[45:58] Speaker_C | Right .
"[46:11] Speaker_B | Yeah . I'm just thinking , you know , like i so this takes the ASCII to to a d simplified ASCII . And simplified in with transforms in it ASCII and it's just it seems to be harder to maintain something that's got that in it if it'd be better to break things up into like steps . That you know , as part of the the and als Well why do I think this ? I don't know , because it's somebody else's programme and then they're gonna give us the next version and that's gonna break our entire pipeline . You know . That's the main reason ."
[46:17] Speaker_C | Yep . Mm-hmm .
[46:21] Speaker_C | Yeah .
[46:33] Speaker_C | The pr
"[46:40] Speaker_C | Uh yeah . Uh-huh . Yeah , I see what you mean , uh-huh ."
"[46:44] Speaker_A | Yeah , yeah . I mean but what , yeah , say what what I'll what I'll plan to do with it then is take the is take to the software , find out what functions are useful for us in that , and then use those functions to generate the stuff that goes into the X_M_L_ file , the the G_F_ format ."
[46:56] Speaker_C | Mm-hmm .
[47:08] Speaker_C | Mm-hmm . It's it's not quite s it so it's not gonna be quite grabbable 'cause it is it's written in Java .
[47:09] Speaker_B | Uh-huh .
"[47:11] Speaker_B | Well , sounds good ."
"[47:21] Speaker_C | Yeah , well yes , uh-huh , the actual uh"
[47:22] Speaker_B | Yeah .
[47:33] Speaker_C | Mm-hmm .
"[47:34] Speaker_A | Right . Yeah , fair enough ."
[47:38] Speaker_C | Yeah . It's always better than making too much compression to start with and then being out of unable to go back or yeah . Lossiness .
[47:45] Speaker_B | Mm-hmm .
[47:53] Speaker_A | Yep .
"[48:00] Speaker_A | Okay , okay ."
"[48:22] Speaker_B | Yeah . He's a cool customer . He's ready for it . Okay . I think we're done , right ."
[48:31] Speaker_A | Yep .
[48:54] Speaker_C | I guess not .
"[48:59] Speaker_B | Oh yeah , well that'll take forever ."
[49:02] Speaker_B | That's that's really fun . Check your batteries .
