[00:04] Speaker_C | Did you manage ?
[31:11] Speaker_C | I would curve the whole actually .
[31:14] Speaker_B | Hmm ?
[31:15] Speaker_C | I would curve the whole . Like um like it hangs over your hand a little bit .
[31:19] Speaker_A | Oh crap .
[31:21] Speaker_D | Yeah .
[31:23] Speaker_C | Then it will bounce and you don't drop it so easily .
[31:25] Speaker_A | Yeah . Oh .
"[31:30] Speaker_A | Anyway , so you want to a little more like this ?"
"[31:35] Speaker_C | Yeah , something like that , yes ."
[31:36] Speaker_D | Uh-huh .
[31:36] Speaker_A | And just s s
"[31:40] Speaker_C | Yes , exactly ."
[31:43] Speaker_C | I think continue like that .
[31:46] Speaker_D | Yep .
[31:47] Speaker_C | Then there's also enough room for the electronics .
[31:47] Speaker_A | So we have our L_C_D_ screen . Let's see .
[31:55] Speaker_A | Bana it's banana vision .
[31:56] Speaker_B | It's fruit . Yeah .
"[31:57] Speaker_D | Yeah , it's perfect ."
"[31:59] Speaker_A | So you have your L_C_D_ screen right here , suppose ."
[32:19] Speaker_C | Maybe once we can make a special edition in according with Chiquita .
[32:23] Speaker_C | Have ourselves sponsored .
"[32:24] Speaker_A | You got sponsor , now you get a free one with every pack of Chiquita ."
[32:27] Speaker_C | Uh but it's a good trade-off for them if they can have their logo on it .
[32:32] Speaker_A | So it would give the buttons here .
[32:33] Speaker_B | Or they can design their own cover .
[32:35] Speaker_B | We could set up a a marketing uh agreement .
[32:35] Speaker_A | I suppose I suppose we can put um let's see .
[32:37] Speaker_D | Yeah .
"[32:42] Speaker_C | Oh , perhaps they can use it ."
"[32:46] Speaker_A | Uh I suppose we can put the batteries in here because it has the most space , for example ."
[32:52] Speaker_B | Won't that be a problem with the L_C_D_ screen ?
[32:56] Speaker_C | Mm .
"[32:58] Speaker_B | Yeah , but the L_C_D_ screen probably needs quite the chip ."
[33:02] Speaker_C | I think this is possible .
[33:05] Speaker_C | Huh .
"[33:07] Speaker_C | It doesn't matter . You can actually uh place a chip for the L_C_D_ screen and at the bottom , and and wire it . Doesn't matter ."
"[33:12] Speaker_B | Okay , that's not a problem . Okay ."
[33:13] Speaker_D | Okay .
[33:21] Speaker_A | That's fine .
[33:23] Speaker_A | Yep . Blah .
[33:25] Speaker_B | I think we get the idea .
"[33:28] Speaker_A | Um , any other com what what are we missing here ? Something a speech recognition . Um"
"[33:36] Speaker_A | where do we want the microphone , for example , to be ? On the side or on the or , for example , on top ? Like here ."
[33:38] Speaker_D | Top ?
"[33:39] Speaker_B | Oh , basically the idea that I had was it to be pretty much in combination with the transmitter . 'Cause you can talk to it like this ."
[33:40] Speaker_D | On there .
[33:43] Speaker_C | I think on top .
[33:50] Speaker_D | No .
[33:58] Speaker_A | 'Cause transmitter would be here .
"[33:59] Speaker_B | Well , the email said it was a quite a small component . So I don't see that ."
"[34:12] Speaker_A | Um yeah , it could be either be here or make a double microphone ."
[34:17] Speaker_C | Mm-hmm .
[34:18] Speaker_A | I wouldn't mind .
"[34:19] Speaker_C | It is , I believe , also able to talk ."
[34:22] Speaker_A | It's able to talk to you .
[34:23] Speaker_C | I have a sample uh sample sensor and the speaker sensor .
[34:28] Speaker_A | A speaker sensor .
"[34:29] Speaker_C | Uh the speaker sensor we already have , but s I don't know what they exactly mean by a sample sensor . Could it talk back ? Like uh g uh give confirmation or something ."
"[34:39] Speaker_C | I think it can . I think if you have a a speech recognition component , then a s speaking component is not that hard to to put in either ."
"[34:42] Speaker_A | I think so , it I think it could ."
"[34:46] Speaker_A | Yeah . I mean it could be a all this stuff could be integrated into the L_C_D_ screen , which you could navigate with this , I suppose . Navigate through everything . If you have I think you sh I think the advanced options should be I think it sh the advanced option could also be integrated in the L_C_D_ screen , of course , because you don't have to have a button for everything . You can just navigate through th m your menu that you have here for advanced options with this . Think that would be fine . So that's w m would be making use of the L_C_D_ screen ."
[34:46] Speaker_D | Mm-hmm .
[34:50] Speaker_C | Hmm .
[34:52] Speaker_C | Hmm .
"[34:54] Speaker_B | Yeah , but do you actually need the remote talking back ?"
[34:57] Speaker_C | Mm-hmm . Yeah .
[35:04] Speaker_C | Hmm .
[35:07] Speaker_C | Hmm .
[35:08] Speaker_C | Mm .
[35:13] Speaker_C | Hmm .
[35:14] Speaker_A | Mm .
"[35:15] Speaker_C | We already have a sound component , by the way , for the beep ."
[35:19] Speaker_C | So beep .
[35:19] Speaker_A | Beep .
[35:21] Speaker_B | Beep .
[35:21] Speaker_D | Beep .
"[35:22] Speaker_A | Um , so the flashing of the beep , we have well anything . We could Yeah , but you could put a speaker or something on on the side for example ."
"[35:30] Speaker_B | At the back , yeah . Like that . Or at the side ."
[35:32] Speaker_C | Hmm .
[35:35] Speaker_B | Which is .
"[35:40] Speaker_A | Uh whatever , looks stupid ."
"[35:50] Speaker_C | I'm not sure . I should be getting new information , I guess ."
[35:52] Speaker_D | Oh .
[36:04] Speaker_D | Yep .
[36:14] Speaker_D | Okay .
"[36:14] Speaker_A | Hmm . Okay , I think we're everybody satisfied with the with the current design we have ? So we're s supposed to be rubber . I think well , I think the the remote control is gonna be black because we we forgot to talk about I mean the the company colours are important apparently . So we have the logo up there . So are we gonna base colour is black ?"
[36:19] Speaker_C | Yes .
"[36:20] Speaker_D | Ah , that's fine ."
[36:21] Speaker_B | Pretty much .
[36:23] Speaker_D | Round .
[36:27] Speaker_D | Why ?
[36:30] Speaker_C | But we have
"[36:32] Speaker_C | any company logo . We have yes , but and yellow ."
"[36:36] Speaker_A | And yeah , of course we could use yellow buttons or yellow navigation or whatever ."
"[36:39] Speaker_C | I would change . I would take a yellow remote control . To have it flashy , to have it it's for young people ."
"[36:43] Speaker_B | Yeah , but when you use covers , it basically easier to have a n have a neutral colour on the base ."
[36:44] Speaker_A | Okay .
[36:45] Speaker_C | Need do be different .
"[36:46] Speaker_A | Well , don't don't stick yourself on the covers right now ."
[36:53] Speaker_C | Hmm .
[36:59] Speaker_A | Nah .
"[37:03] Speaker_A | Yeah , but the info . I think we should go with uh with the company colour because what specific info that I got from the project board . So I think we should go with that ."
"[37:04] Speaker_D | But , the you"
[37:07] Speaker_C | Mm-hmm .
[37:12] Speaker_A | They want something trendy .
[37:13] Speaker_C | Huh .
[37:14] Speaker_C | It's either black cover with yellow buttons or vice versa . And I would say take a yellow cover and black buttons .
[37:19] Speaker_B | It is more trendy . That's definitely true .
[37:20] Speaker_A | I think we should th then take it take yellow . Take what you c yellow remote control . So let's see if if we can do the LED onto it .
[37:21] Speaker_C | To be different .
[37:21] Speaker_D | Yeah .
"[37:31] Speaker_D | You have the basic colours , blue , green , red ."
[37:33] Speaker_A | Uh oh .
"[37:34] Speaker_C | Yeah , we have so many colours already ."
[37:36] Speaker_A | You know what ? I'm not gonna do this . That's up to you guys .
"[37:37] Speaker_D | Oh , it's okay ."
"[37:41] Speaker_A | You doodle a doodle us a nice nice design for for the next meeting , we'll be done . I think we're all happy now ."
[37:44] Speaker_C | Mm-hmm .
[37:46] Speaker_D | Yep .
"[37:49] Speaker_C | I still don't have my scroll-wheel though . Uh that's Nah , that's true ."
[37:50] Speaker_A | Yeah .
[37:50] Speaker_D | Yeah .
[37:52] Speaker_A | Stupid scroll-wheel .
"[37:57] Speaker_A | I'm not sure uh I really , I'm no I have no clue what we could use the scroll-wheel for ."
[38:01] Speaker_B | Uh you could use it for the channels and for the volume . But it's has no real added value .
"[38:02] Speaker_C | No , forget it ."
[38:03] Speaker_D | Oh yeah .
"[38:07] Speaker_C | No , that's not my point . It's not because it's functional , but it's just to add to the design , to have it flashy . It it has no function , I agree . I agree ."
[38:13] Speaker_D | Ah may
"[38:15] Speaker_A | I'm not sure if it if it has no function , why even put it there ? And th that's just so much things that make it look flash"
"[38:18] Speaker_C | Oh , so many things have no function , just design ."
[38:22] Speaker_C | Mm-hmm . Hmm .
[38:26] Speaker_C | Mm-hmm .
[38:27] Speaker_C | Let's vote on it . Then we don't have to talk about it any longer . What do you want ? In or out ?
[38:27] Speaker_D | Oh okay .
[38:28] Speaker_A | Hmm .
[38:29] Speaker_D | Oh okay .
"[38:33] Speaker_C | Okay . You are out of course . You are okay , clear ."
[38:35] Speaker_D | Out .
"[38:46] Speaker_C | I have all my answers , yes ."
"[38:48] Speaker_A | Yeah , it's I'm not sure if we're if we're gonna get finance anyway because I thought we cou I thought it was gonna be an issue at the first time we started . I thought it was gonna be a cost issue which material we were gonna take relative to the advanced chips or anything . So you just do whatever you like and uh doesn't care what it costs ."
[38:53] Speaker_D | I have to call this in a form .
[38:54] Speaker_C | Hmm .
[38:55] Speaker_C | Hmm .
[38:57] Speaker_C | Hmm . There is I have one question .
[39:02] Speaker_C | Hmm .
[39:02] Speaker_C | Hmm .
"[39:03] Speaker_C | I only have one question with the material , but I don't have information that . We've chosen rubber ."
[39:06] Speaker_A | I think we're rubber is not expensive . Definitely .
"[39:08] Speaker_C | No , but can we make yellow rubber ? I think so"
"[39:11] Speaker_A | You can make rubber in any colour . In any colour . So I mean you can't make yellow titanium , but you can make yellow rubber ."
"[39:11] Speaker_B | Yes , you can colour rubber , yeah ."
[39:11] Speaker_D | Ah .
[39:12] Speaker_C | Okay .
"[39:16] Speaker_D | But we ha w we don't uh use our reco uh we uh removable cover ? No , huh ?"
[39:16] Speaker_C | Mm .
[39:17] Speaker_C | Okay .
[39:21] Speaker_A | Uh yeah we can make uh for example it's just something you can click on it like uh that's but it's not som not apparently that's not something we're working with in the basic design . So .
[39:33] Speaker_C | Hmm .
"[39:34] Speaker_A | Yeah , it could be . It can be done , for e"
