[03:20] Speaker_C | Okay .
[37:57] Speaker_D | Oh that's that's fine then .
[37:58] Speaker_B | Okay .
"[38:02] Speaker_B | W yes , we uh we can have lunch now . So um"
[38:02] Speaker_A | Mm-hmm .
[38:03] Speaker_D | Yeah .
[38:06] Speaker_A | Mm-hmm .
[38:08] Speaker_B | Then th
[38:10] Speaker_B | th the next meeting will uh after lunch you have uh we have
[38:18] Speaker_B | uh thirty minutes of work and then we have the next meeting . But you will be informed via the computer . Okay .
[38:25] Speaker_C | Okay . Cool . So see you later .
