[00:03] Speaker_E | 'Kay .
[35:58] Speaker_E | Hmm . It's probably like in in the end probably it wouldn't be the best thing if it's just the high most highly ranked phrase or key-word because like for example for an introduction that would most definitely not be anything that has any title anywhere similar to introduction or something .
[36:09] Speaker_D | Yeah .
[36:09] Speaker_A | Hmm .
[36:11] Speaker_D | And it should be weighted by stuff like the hot spots and um the key-words in the search and stuff like that .
[36:16] Speaker_E | Yeah .
"[36:19] Speaker_E | Also like for this part , maybe if we go over it with named entity in the end , if I mean w if one of the people doing DIL has some named entity code to spare , and just like at least for the for sort of for finding topics , titles for for segments , just take a named entity which has a really high , what's it called , D_F_I_D_F_ , whatever . 'Cause you'd probably be quite likely if they're talking about a conference or a person , that that would be a named entity which is very highly fr um frequented in that part ."
[36:27] Speaker_A | Hmm .
[36:47] Speaker_D | Did he not say something about named entities ? So I thought he said there wasn't very many .
"[36:51] Speaker_E | Yeah , he said they're quite sparse . So that basically was don't bother basing too much of your general calculation on it . But like especially if they're sparse , probably individual named entities which describe what a what a segment is about would probably be quite good . Like if there's some name of some conference , they would could probably say that name of the conference quite often , even though he's right that they make indirect references to it . Anyway Sorry ?"
[36:52] Speaker_D | Yeah .
[37:14] Speaker_C | You s uh you said you are currently in uh implementing the idea . What exactly are you computing ?
"[37:20] Speaker_D | Yeah . It's not T_F_I_D_F_ , it's just inverse document frequency . 'Cause it's really easy to do basically . There's just like for a baseline really ."
[37:24] Speaker_C | Okay .
[37:28] Speaker_C | Okay .
[37:31] Speaker_C | Mm-hmm .
"[37:32] Speaker_A | Yeah , you're able to do that in Java , yeah ?"
"[37:34] Speaker_D | Well , I'm half-way through . It's not working yet , but it will do ."
[37:35] Speaker_A | Yeah .
[37:39] Speaker_E | So you're doing that on a on a per word level .
[37:42] Speaker_D | Um yeah . And then averaging it over the utterances .
[37:43] Speaker_E | Okay .
[37:46] Speaker_E | Okay .
[37:47] Speaker_D | But it's not like um related to the corpus at all . It's just working on an arbitrary text file at the moment .
"[37:54] Speaker_E | Okay , cool . I was just wondering where you had the corpus from at the moment ."
[37:57] Speaker_D | No .
[37:58] Speaker_A | Huh .
[38:25] Speaker_D | It would be useful to know how everyone's gonna store their things though .
[38:31] Speaker_A | Hmm .
"[38:32] Speaker_E | Yeah , that would mean understanding the NITE X_M_L_ X_M_L_ sort of format in a lot more detail . We should I think we should just have a long session in the computer room together and like now that we know a bit more what we want , take a closer look at NITE X_M_L_ ."
[38:35] Speaker_D | Yeah .
[38:44] Speaker_D | Yeah . Well I've got like a few hours free . Like after this .
"[38:48] Speaker_A | Yeah , I've had a b I've had a look at the the topic segments , how it's stored . And then yeah , th those are few per meeting , and it um well , it gives a time stamp and inside each one there's uh the actual like utterance segments ."
[38:52] Speaker_E | Mm-hmm .
[39:04] Speaker_E | Mm-hmm .
[39:05] Speaker_A | And the list of them that occurred . And they're all numbered .
[39:09] Speaker_A | Um so that's where that's stored .
"[39:15] Speaker_E | Good . Yeah , I haven't looked at this stuff much at all ."
"[39:18] Speaker_A | Yeah , so I guess um if I'm gonna be segmenting it with a L_C_ seg then that's like same format I'd want to um put it back out in so it'd be equivalent ."
[39:22] Speaker_E | Yeah .
[39:25] Speaker_E | Yeah .
"[39:40] Speaker_A | Well , like the integration . What do you mean , integration ?"
[39:42] Speaker_E | Hmm ?
"[39:43] Speaker_E | Yeah , or but also like all these elements like like the loading and , yeah , integration and and like handling the data loading and stuff ."
[39:47] Speaker_A | Hmm .
"[39:53] Speaker_E | Nah . I'm sort of like I think I'll take over the display , just because I've started with a bit and found it found it doable ."
"[40:00] Speaker_A | Yeah , yeah ."
"[40:03] Speaker_A | Yeah , definitely ."
"[40:20] Speaker_A | Hmm , yeah ."
[40:25] Speaker_E | Any volunteers ?
[40:29] Speaker_C | Mm-hmm .
[40:30] Speaker_E | It's also a complicated one .
"[40:31] Speaker_A | Yeah , it c could be difficult , yeah ."
[40:31] Speaker_D | Yeah .
[40:33] Speaker_E | Yeah .
"[40:36] Speaker_E | I know but uh b I guess we can do it like several people together , it's probably just those people have to work together a lot and very closely and just make sure that they're always f understand what the other one is doing ."
[40:47] Speaker_A | Yeah .
[40:49] Speaker_A | Well I guess the important thing is to get the crucial m modules built .
[40:54] Speaker_D | Or at least um simple versions of them .
[40:54] Speaker_A | Ye yeah .
"[41:00] Speaker_A | Yeah , and then we'll maybe have to prioritize somebody into just integrating it ."
"[41:44] Speaker_D | So maybe we should try doing something really simple , like just displaying a whole meeting ."
[41:50] Speaker_D | And like just being able to scroll through it or something like that .
[41:54] Speaker_E | Or just adapt like their like just sort of go from their system and and adapt that piece for piece and see how we could
[41:55] Speaker_D | Yeah .
[42:02] Speaker_E | how we could arran like adapt it to our
[42:06] Speaker_E | system .
[42:10] Speaker_E | Does anyone want to like just sit with me and like play for three hours with NITE X_M_L_ at some point ?
[42:17] Speaker_D | Are you free after this ?
[42:20] Speaker_E | Uh I wouldn't like to be 'cause I'd like to go to the gym . I'm theoretically free . But if there's any time t hmm ?
[42:26] Speaker_D | How about Friday then . 'Cause I'm off all Friday .
[42:30] Speaker_E | You have nothing no free time on Wednesday .
[42:38] Speaker_E | Hmm .
[42:42] Speaker_E | Hmm ?
"[42:45] Speaker_E | Anytime Wednesday afternoon I'd be cool , I think ."
[42:46] Speaker_D | Okay . So you ha yeah .
"[42:50] Speaker_D | Where about , just in Appleton Tower ?"
"[42:53] Speaker_E | Yo , Forrest Hill , whatever one's easier to discuss stuff , I don't know ."
[42:56] Speaker_D | Uh I'll be in um the Appleton Tower anyway .
[42:58] Speaker_E | I'm not biased .
[43:00] Speaker_E | Okay . What time do you wanna do ?
"[43:10] Speaker_E | Okay , so I'll just meet you in in eighteen a in the afternoon ."
[43:12] Speaker_D | Yeah .
"[43:28] Speaker_E | I guess at the moment nobody critically depends on like the NITE X_M_L_ stuff working right now , right ? Like at the moment you can all do your stuff and I can do my L_S_A_ stuff . And I can even do the display to a vast degree without actually having their supplying framework working . So it's not that crucial ."
[43:37] Speaker_A | Mm-hmm .
"[43:47] Speaker_A | Yeah , I think so ."
"[43:47] Speaker_C | Yeah , I w I w I would need the raw text pretty soon because I have to find out um how I have to put the segments into bins . And then yeah ."
"[43:59] Speaker_E | Yeah , actually I need the raw text as well . Yeah , but I was I was I was more thinking of the sort of the the whole browser framework as a running programme now . Yeah , I think we all need the raw text in different in different flavours , don't we ?"
[44:01] Speaker_A | Uh yeah .
"[44:04] Speaker_C | No , that's not necessary ."
"[44:09] Speaker_A | Hmm . Yeah , yeah . Jasmine , I thought you just said that you'd uh looked at extracting the text ."
[44:09] Speaker_D | Why w
"[44:23] Speaker_A | Yeah . So you you said you did it in Python , yeah ?"
"[44:28] Speaker_A | Yeah , did you use uh b the X_L_ uh X_M_L_ parser in Python ? Right . Yeah , sounds pretty good . So um 'cause , yeah , I was having a look in it a look at it as well and I noticed the um the speakers are all in that separate file ? So did did you have to combine them all and and then re-order them ?"
[44:31] Speaker_C | Yeah . Yeah .
[44:38] Speaker_C | Mm-hmm .
"[44:46] Speaker_C | Yeah , b I uh w that's what I was uh thought . That you just combine them and then order the time stamps accordingly ."
[44:49] Speaker_A | Yeah .
"[44:51] Speaker_A | Ye yeah , c"
"[44:53] Speaker_A | Right . Yeah , so that's approach um well , I was going to do . So yeah , we may as well collaborate ."
[44:59] Speaker_C | Okay . Um what I found out was that there are quite a lot of things without without s time stamps in the beginning .
[45:08] Speaker_A | In the word files ?
"[45:09] Speaker_C | Yeah , and uh X_M_L_ files . Yeah , that's just an I_D_ or something . I don't know . Just numbers ."
"[45:14] Speaker_B | Yeah , everything that's a word has a sti time stamp ."
"[45:18] Speaker_C | Yes , but what are the other things that's uh some kind of number ? F maybe the file number or something that is in the beginning . What is that ?"
[45:28] Speaker_A | I'm not sure I what you mean .
[45:28] Speaker_C | Do you know ?
[45:30] Speaker_C | Um I think there are quite a lot of numbers in the beginning where n there is no time stamp for the numbers .
[45:45] Speaker_E | But number within the X_M_L_ context .
"[45:47] Speaker_C | Yeah , there i are numbers in the um the W_ tag , but there are no time stamps ."
"[45:53] Speaker_E | Are they spoken numbers ? Like do they look like they're utterances numbers ? There's the number task , isn't there . That's part of the whole thing . Hmm ?"
[45:56] Speaker_C | Yeah .
"[45:59] Speaker_B | That's at the end . That's at the end , I think , her time ."
[46:02] Speaker_E | Okay .
"[46:03] Speaker_C | Yeah , in the beginning as well sometimes , I think . At least I saw some ."
[46:05] Speaker_A | Oh right .
"[46:06] Speaker_B | Yeah , maybe ."
[46:09] Speaker_B | Didn't have a look at our meetings .
[46:09] Speaker_C | Yeah .
[46:15] Speaker_C | Yeah .
[46:16] Speaker_A | Hmm .
"[46:29] Speaker_B | And I think it even has uh its own annotation , like digits or something . So that should be really easy to cut out ."
[46:34] Speaker_E | Okay . Uh I'm just thinking like it pro it pro probably like the L_S_A_ would perform quite well on it . It would probably find another number task quite easily seeing that it's a constrained vocabulary with a high co-occurrence of the same nine words . So that wou ten word . Hmm ?
[46:48] Speaker_C | But what it is it actually that numbers ?
"[46:50] Speaker_B | Ah it's just to test the system , I think ."
"[46:53] Speaker_C | Okay , so but there are no time stamps annotated to that . It's it's quite strange ."
"[46:56] Speaker_E | I think it's also something that they they said the numbers in order , right ?"
"[47:03] Speaker_E | Yeah , I think it's it the it sounded like they wanted to check out how well they were doing with overlapping and stuff , because basically it's like they're reading them at different speeds , but you know in which order they are said . Anyway . ICSI has some reasons for doing it . They must have been pissed off saying like numbers at the end of every meeting ."
[47:18] Speaker_A | Hmm .
[47:24] Speaker_C | And also um there are different um combinations of letters . B_R_E_ and something like that . Is it everything ordered are the time stamps global or uh are they local at any point ?
[47:39] Speaker_A | Mm I thought they were local to th a particular meeting .
"[47:42] Speaker_E | Um Dave , if you would or actually for well , if you're doing I_D_F_s or you whatever you call your your frequencies , I always mix up the name , uh you need some dictionary for that at some point though , like you need to have some representation of a word as not not that specific occurrence of that word token , but of of of a given word form . Because you're making counts for word forms , right ? Yeah , so we should work together on that , because I need a dictionary as well ."
[47:42] Speaker_C | Okay .
[48:05] Speaker_D | Yeah . I'm just building a dictionary .
"[48:10] Speaker_D | Oh , mine's just gonna use the um hash map one in um Java . 'Cause I'm only gonna do it on small documents . It's just like bef until the information density is up and running . Just something to get give me something to work with ."
[48:16] Speaker_E | Okay .
[48:20] Speaker_E | 'Kay .
[48:24] Speaker_E | Okay . Didn't you say that the o the ord
"[48:25] Speaker_D | So it's only gonna use quite small documents , you see , to start with ."
"[48:29] Speaker_E | Yeah , but for I'm just wondering for the whole thing . Does somebody wo who was it of you two who said that um there's some programme which spits out a dictionary probably with frequencies ?"
"[48:55] Speaker_C | Um no , I have to bin it up and so I will only have counts for each each bin or something ."
[49:03] Speaker_D | Why does it need to be classified into like different segments ?
[49:07] Speaker_C | It's because um Rainbow is a text classification system . And I think it's not possible to have just one class . That's the problem .
[49:17] Speaker_D | Can we just fill a second class with junk that we don't care about ?
"[49:25] Speaker_C | Yeah sure , you sure , we could do that , but I don't that makes sense ."
"[49:29] Speaker_D | 'Cause if what we're looking for is the um frequency statistics , I don't see how that would be changed by the classification ."
[49:48] Speaker_D | Well there maybe another tool available ?
"[49:51] Speaker_C | Yeah , it's quite easy to just count and s or sort them by um frequency ."
[49:54] Speaker_D | Yeah .
[49:56] Speaker_E | W using which tool are you talking about ?
[49:58] Speaker_C | Just using a Perl script .
[50:00] Speaker_E | Be careful with that . Like my experience with the British National Corpus was that there's far more word types than you ever think because anything that's sort of unusual generally is a new word type . Like any typo or any strange thing where they put two words together . And also any number as a word type of its own . So you can easily end up with hundred thousands of words when you didn't expect them . So generally dictionaries can grow bigger then you think they do .
[50:05] Speaker_C | Is it too big ?
[50:10] Speaker_C | Yeah .
[50:19] Speaker_C | Hmm .
[50:26] Speaker_C | I don't know how you how many terms you can handle in Perl .
[50:37] Speaker_C | Mm yeah .
[50:45] Speaker_D | Um I can't remember who's got it . Might be WordNet . But one of these big corpuses has a list of stop words that you can download and they're just basically lists of really uninteresting boring words that we could filter out before we do that .
"[51:04] Speaker_D | It's like that's one the papers I read , that's um one things they did right at the beginning is they've got this big s stop-list and they just ignore all of those throughout the experiment ."
"[51:13] Speaker_E | What I did , for my project I just ignored the hundred most frequent words , because they actually end up all being articles and and everything and stuff ."
[51:26] Speaker_E | So we need like several of us need a dictionary . Am I the only one who needs it with frequencies ?
"[51:30] Speaker_D | Yeah , I it would be useful for me as well ."
[51:37] Speaker_D | It uh I think that'd be useful for me as well . Yeah .
"[51:39] Speaker_E | Frequencies . Yeah . Well I guess as soon as we have the raw text , we can probably just start with the Java hash map and like just hash map over it and see how far we get . I mean we can probably on a machine with a few hundred megabyte RAM you can go quite far . You can write it on beefy . So even if it goes wrong and even if it has a million words be"
[51:45] Speaker_D | Yeah .
[51:55] Speaker_D | Well all you really wanna do is look into getting some sub-set of the ICSI corpus off the DICE machines . 'Cause I hate working on DICE . It's awful .
[52:05] Speaker_D | Like so I can use my home machine .
"[52:29] Speaker_D | Yeah . The right-hand corner , far right ."
"[52:31] Speaker_E | Yeah , if you if you enter the big room , in the right-hand corner , I think . Um the thing is like you can only burn from the local file-system . So if it's from s well actually I think if it's mounted , you can directly burn from there , but the problem is I have my data on beefy and so I have to get it into the local temp directory and burn it from there . But you can burn it from there ."
[52:34] Speaker_D | Yeah .
[52:34] Speaker_B | Mm-hmm .
[52:50] Speaker_D | How big is it without um
[52:54] Speaker_E | Uh we looked that up and I for we looked that up and I forgot .
[52:54] Speaker_D | the WAV files and stuff ?
[52:58] Speaker_D | 'Cause I could just say at um going over S_C_P_ one night and just leave it going all night if I had to .
"[53:05] Speaker_E | Yeah yeah . No , you you we should be able to get it at I don't think it was I don't think it was a gigabyte ."
"[53:12] Speaker_D | It's yeah , I mean the wave data are obviously not gonna get off there completely ."
[53:13] Speaker_E | Hmm .
"[53:17] Speaker_E | See I would off I would offer you to to get it on this one , and then um like copy it . But you know what I figured out , I'm quicker down-loading over broad-band into my computer than using this hard disk . There's something strange about the way how they access the hard disk , how they mount it , which is unfortunate ."
[53:25] Speaker_D | Really ? Oh right ?
"[53:34] Speaker_D | I'll see if I can S_C_P_ it , I suppose ."
[53:38] Speaker_E | Hmm . What operating system do you have ?
[53:43] Speaker_E | Okay . Wh what connection do you have at home ?
[53:45] Speaker_D | Broad-band .
"[53:46] Speaker_E | Yeah . So if anyone of us gets it , we can then just use an ext hmm ? Yeah , burn it to C_D_ or , yeah , put it on on hard disk , whatever ."
[53:49] Speaker_D | Put it on to C_D_ . I can if I get down I can put to C_D_ .
[53:54] Speaker_D | Yeah .
[54:07] Speaker_D | I'm not sure if there's enough space . Is how much do we get ?
"[54:09] Speaker_E | The temp the temps usually have for gigabyte three or two . The temps , yeah . I do like I mean there's not guarantee that anything stays there , but overnight it'll stay . And I think the temps usually have ."
[54:13] Speaker_D | Really ? Okay .
"[54:26] Speaker_E | Ah yeah , but that would have to be the temp directory off the machine you can S_S_H_ into directory of S_S_H_ ."
"[54:32] Speaker_D | Yeah , but I can do it from that session , can't I ? You can compress it from a remote session and S_C_P_ it from the same session ?"
"[54:49] Speaker_E | They'd probably they'd like you more if you S_S_H_ uh into another computer , compress it there and then sort of copy it into the into the gateway machine ."
[55:00] Speaker_D | Do you think ?
"[55:01] Speaker_E | They have um if you S_S_ hey , you know , if you if you S_S_H_ and they have this big warning about doing nothing at all in the gateway machine ."
"[55:05] Speaker_D | Yeah . Oh no no , I was thinking of SSHing just into some machine and then just SCPing it from there ."
[55:10] Speaker_E | Yeah .
[55:15] Speaker_E | To your home machine .
[55:18] Speaker_E | I haven't I haven't figured out how to tunnel through the gateway into another machine yet . It's not it's not easy definitely . That's why I end up sort of copying stuff into the temp directory at the gateway machine . Sorry if this is boring everybody else . This is just details and how to get stuff home from what we can probably just look at that together when we're meeting .
[55:21] Speaker_D | Can you not do that ?
"[55:28] Speaker_D | Mm , I see ."
[55:34] Speaker_B | Uh th yeah .
[55:36] Speaker_D | Yeah .
[56:01] Speaker_E | I'm sorry .
[56:07] Speaker_E | Mm-hmm .
[56:24] Speaker_E | Well yeah .
[56:43] Speaker_B | You know ?
"[56:46] Speaker_B | Yeah , but I'd uh I would like to look at the frequency of words in my um in the regions of text I found out to be interesting . So I wouldn't need it . It it would have to be re-calculated only for my segments ."
"[57:02] Speaker_E | Yeah , you'd have to count it yourself , yeah ."
"[57:05] Speaker_D | But th first , uh how big are the chunks ?"
[57:08] Speaker_B | Huh ?
[57:09] Speaker_D | How big are the chunks you're looking at ?
"[57:10] Speaker_B | Uh uh mm . I think it would be , you know , l as as big at as the hot-spot annotation things . That's quite small , yeah , that's some utterances ."
"[57:22] Speaker_D | So quite small then . So you could just um you could use just the same thing we used to build the big dictionary . You just do that on-line 'cause that won't take long to build a little dictionary that big , will it . I mean just use the same tool that we use . Yeah ."
[57:26] Speaker_A | Hmm .
"[57:39] Speaker_B | Yes . Yeah , yeah . So I would probably just concatenate all my um text chunks and then let's say m I will run over it ."
[57:44] Speaker_D | Yeah .
"[57:49] Speaker_E | Oh , you don't wanna have different counts for each chunk , but just like sort of for for something from old chunks . Oh yeah , no , that's yeah , so once I write an ar like w if I write like an algorithm which does a hash um table dictionary with frequency from a raw text , then the raw text can be anything . So how far are we g uh how f how far are you getting raw text out of it do you think ?"
[57:55] Speaker_B | Yes .
"[58:20] Speaker_D | It doesn't need ordered , no ."
"[58:22] Speaker_C | No , it isn't ."
[58:36] Speaker_D | Um well that's the t are you using T_F_I_D_F_ for the information density ?
"[58:43] Speaker_C | Um it's in what is implemented in Rainbow is information gain , and I'm not quite sure how they calculate that ."
"[58:48] Speaker_D | Alright , okay ."
"[58:52] Speaker_D | Like 'cause frequency would be useful , I think . But um depending on the context , the size , and what we consider a document in the sense of calculating T_F_I_D_F_ is gonna change ."
"[58:57] Speaker_E | Yeah , I I need frequency as well ."
[58:57] Speaker_C | Yeah .
[59:10] Speaker_D | Which might need thinking about .
"[59:12] Speaker_E | Well I think we might have a lot in common what we calculate because I for my latent semantic analysis need like counts of words within a document , uh within a a segment actually , within a topic segment ."
[59:23] Speaker_C | Uh that's what Rainbow does . I think you j can just get probabilities for a certain words for each document .
[59:32] Speaker_E | Can I convert these probabilities back into frequencies ?
[59:35] Speaker_C | Um we would have to look at that .
[59:38] Speaker_E | Okay .
[59:45] Speaker_C | Mm-hmm .
[59:47] Speaker_C | Oh .
"[59:56] Speaker_E | Yeah , so Dave , you said you need the frequency counts actually for per document , would you say , not for the whole thing ?"
"[59:59] Speaker_D | I think it would be useful , yeah ."
[00:02] Speaker_D | Well you need the raw frequency as well . But um
[00:09] Speaker_D | you also need how many times things occur within each document .
"[00:17] Speaker_D | And um what we consider a document's gonna depend on our context , I think . 'Cause if we're looking at the whole lot of meetings , we'll consider each meeting a document in sort of terms of this algorithm . And if we're viewing like say just a small topic segment you might look at even each utterance as a small document ."
"[00:39] Speaker_E | It more and more appears to me that if we if we scrap the notion of the meeting as an individual thing and sort of ju see meetings as as topic segments and have sort of like hierarchical topic segmentation instead , then it's b like a more coherent framework ."
"[01:06] Speaker_D | Actually maybe it doesn't actually matter . Maybe if you just do it once at the highest level , it it will be fine . But I was just thinking it might be difficult to calculate the T_F_I_D_F_ off-line for all the different levels we might want . 'Cause if we're gonna allow disjoint segments for example , then how are we gonna know what's gonna be in context at any given time ? But I suppose if you just did it globally , treating a meeting as a document , it'd probably still be work out fine , because you'd only be comparing to ones within the context ."
"[01:38] Speaker_E | Wait , are we are we using this um for the for the for the do for the weighting in the end now , this this measure you're calculating ?"
"[01:49] Speaker_D | Uh I don't know , I thought were you gonna use that in the end ?"
[01:55] Speaker_D | The information density .
"[02:09] Speaker_D | Oh sorry , that's what I mean . Like um yeah , for each word or whatever , but across the whole lot is what I mean by highest level . Like across the whole corpus ."
"[02:19] Speaker_E | Yeah , but w it don't you have to like go sort of like for in a document versus the whole thing ? Isn't that how it works that you c look look at r"
"[02:26] Speaker_D | Yeah , but you'd probably look at each meeting as a document ."
[02:29] Speaker_E | I don't think that's a good idea because isn't it like that we expect th there to change over i b with the different topic segments more ? That they talk about something different in each different topic segment .
[02:46] Speaker_D | Mm possibly .
"[02:51] Speaker_E | 'Cause that's what relative term frequency is about , that like in some context they're talking more about a certain word than in general . So that would more be the the topic segments then ."
"[03:03] Speaker_C | Yeah , that's what I thought as well , that you that probably the the topic segment level is the most um informative for the words ."
[03:03] Speaker_E | I don't know .
[03:05] Speaker_E | Yeah .
[03:12] Speaker_E | Yeah . Yeah .
[03:14] Speaker_D | Are they big enough to get anything meaningful out of ?
"[03:16] Speaker_C | Yeah , that's the problem . I don't know ."
"[03:34] Speaker_D | Well yeah , that is not it's not an issue . You just concatenate an X_M_L_ file together . but we still want to have like a notion of meetings for the user ."
"[03:43] Speaker_B | Yes , definitely ."
"[03:46] Speaker_E | But on algorithmic level , whether we actually whether there's some way to just represent meetings as as topics ."
"[03:50] Speaker_D | Yeah , sure . Yeah , you just like whatever you want to look at , you just jam together into an X_M_L_ file and that's your meeting , even though bits of it may come from all over the place or whatever . I mean I don't see why that's really a big problem ."
[04:02] Speaker_E | Hmm .
[04:08] Speaker_E | That's not really what I meant . But I think I have to think more about what I meant .
[04:16] Speaker_D | So basically what you're saying is you can take an arbitrary amount of data and process it with the same algorithm . It doesn't matter conceptually what that data is . It could be a meeting . it could be two utterances . it could be a meeting plus half a meeting from somewhere else .
[04:29] Speaker_E | Yeah .
"[05:04] Speaker_D | I don't think it's very difficult though . I mean what you do is you just build an X_M_L_ file , and if you want it to get down to the utterances , you'd go to the leaves . And then if you wanted the next level up , you'd go to the parents of those and like just go from like the leaves inwards towards the branch to build up things like um you know , when you click on a segment , it's gonna have like words or whatever that are important ."
[05:34] Speaker_E | Hmm .
[05:37] Speaker_E | Mm I'm not really sure what I want .
"[05:39] Speaker_D | As long as like the algorithms are designed um with it in mind , I don't think it's a very big problem ."
"[05:49] Speaker_D | Well like say you had um like say for a meeting , right , you've got like uh say a hierarchy that looks quite big , like this ."
[06:01] Speaker_D | And like the utterances come off of here maybe .
[06:04] Speaker_E | Mm-hmm .
"[06:06] Speaker_D | Then when whatever your algorithm is doing , as long as when you're working with utterances , you go for all the leaves , like then if you need something next up , so like a topic segment , you'd go to here . But if you were looking at say this one , so only went like this ."
[06:08] Speaker_E | Mm-hmm .
"[06:25] Speaker_D | Right , so you it's same , you'd start with the leaves , and you go oh , I want a topic segment . So I go one layer up ."
[06:31] Speaker_E | Mm-hmm .
"[06:32] Speaker_D | See , and then if you're working with just a topic segment in there , it's the only thing you have to worry about . And like each time you want a higher level , you just need to go up the tree . And as long as your algorithm respects that , then we can just"
[06:48] Speaker_D | process any arbitrary X_M_L_
[06:51] Speaker_D | file with whatever hierarchical structure we want .
"[06:55] Speaker_E | So that would be the series as a whole . That would be sort of m meetings , yeah ."
"[06:59] Speaker_D | A meeting , say , and that would be a topic segment ."
"[07:03] Speaker_E | Yeah . I'm a I'm a I'm a bit brain-damaged at the moment , but I think I'll just sit together with you again and and go through it again ."
[07:15] Speaker_E | Hmm .
"[07:27] Speaker_D | Well no , it doesn't have to be ."
"[07:31] Speaker_D | But I mean it could be as many nodes as you want . Like this one could be deeper maybe ,"
"[07:37] Speaker_D | say . So then you'd start with all your utterances here , and when you go up to get topic segments , you go to here here here here here here here ."
[07:47] Speaker_D | That might be a bit confusing though 'cause you have things on different levels .
"[07:52] Speaker_E | Yeah , I'm also not sure how we can go from from bottom-up . I have always thought it's like more that oh , whatever , I'm a can't think of it at the moment ."
[08:06] Speaker_E | Probably this is all too complicated worrying about that at that moment anyway .
[08:19] Speaker_A | Mm is there anything else we should discuss ?
"[08:22] Speaker_E | Now have have we have we decided anything , are we doing anything ? S Wednesday we are meeting and looking at their at their implementation in some more detail to actually understand what's going on ."
[08:26] Speaker_D | Well Wednesday . Yeah .
[08:32] Speaker_D | Yeah .
[08:34] Speaker_D | So we'll see if we can get like a mini-browser just displays two things synched together of some kind . Yeah . Yeah .
"[08:40] Speaker_E | We had two things from their stuff just to make sure that we are like understand it , we understand it enough to to m modify it ."
"[08:47] Speaker_A | Yeah , should we not have like a group directory or something where we can put all our code in and that kinda thing ?"
[08:53] Speaker_D | It'd be useful . I don't know who you see about that though .
[08:56] Speaker_A | Hmm .
[08:58] Speaker_E | Yep . How would we do that ? By just making like it w read write for everyone .
[09:09] Speaker_C | Mm-hmm .
[09:09] Speaker_D | I d have no idea .
[09:13] Speaker_D | I've probably got a reasonable amount because um everything on my DICE account can actually be deleted 'cause I store it all at home as well .
[09:22] Speaker_A | Hmm .
[09:23] Speaker_E | Well we alternatively we can probably just make another directory on the beefy scratch space . I mean that's where I'm having gigabytes and gigabytes of stuff at the moment .
[09:34] Speaker_E | No . No .
"[09:36] Speaker_A | Yeah , we can ask Steve if um we can get space ."
[09:40] Speaker_E | Yeah .
[09:43] Speaker_D | Maybe you should send a support form .
"[09:45] Speaker_A | Yeah , uh we could do that ."
[09:46] Speaker_E | But I think if he sends to the I think if he sends to the port he'd probably be in a better position . Yeah .
[09:46] Speaker_D | Just say we want some web space .
"[09:53] Speaker_A | Yeah , I'm sure he had to deal with that last year ."
[09:55] Speaker_D | Yeah . 'Cause that'd be really useful is if we had a big directory . Especially for transferring stuff .
[10:01] Speaker_E | Hmm .
"[10:06] Speaker_D | Having said that , are we allowed to take a copy of the ICSI corpus ? Something we should probably ask before we do it ."
"[10:12] Speaker_E | I think he said yes to that . I think uh that was like in when we were still in the seminar room , I asked that once or like ask is it possible to get it off and nobody said like people were discussing about the technical practicalities , but nobody said anything about al being allowed to or not allowed to . I mean , we have access to it here and I guess it probably means that we we can't give it to anybody else . But"
[10:16] Speaker_D | Okay .
[10:33] Speaker_D | Okay .
"[10:36] Speaker_E | but if they give us access to it here o sitting on a DICE machine , then there shouldn't be a reason why we shouldn't be able to use it on our laptop . I personally don't have too many friends who would be too keen on getting it anyway ."
[10:47] Speaker_E | I have that really excited pirate copied thing . It annotated meeting data .
[10:52] Speaker_C | So shall we sit together tomorrow then as well ? Uh Okay .
[10:54] Speaker_A | Yeah .
"[10:56] Speaker_B | Um Jasmine , uh um what is um the text you're extracting uh looking like then at the end ?"
[11:08] Speaker_B | Because um I I think it's actually very similar to what I did for my um speaker um uh extraction and I think I would ch perhaps have to change two lines of codes to get you um for each meeting a file that says fr from um this millisecond to this millisecond there was this sequence of words .
[11:12] Speaker_C | Mm-hmm .
[11:34] Speaker_B | And so on .
[11:52] Speaker_C | Okay .
[11:55] Speaker_C | Mm-hmm .
[11:57] Speaker_C | Print out .
[12:09] Speaker_B | Should be very
[12:11] Speaker_B | straight-forward .
[12:22] Speaker_C | Okay .
[12:31] Speaker_E | Huh .
[12:31] Speaker_C | So have we already extracted from all the files ?
[12:36] Speaker_C | Yeah .
[12:41] Speaker_B | Yes . I just ordered .
[12:41] Speaker_C | Mm-hmm .
"[12:41] Speaker_E | Wait , wait , wait . Um sorry . Yeah , sorry ."
[12:45] Speaker_B | Uh I ordered according to the um starting times of the utterances .
[12:49] Speaker_C | Hmm .
"[12:51] Speaker_E | What I just realised , we should really t keep different serieses completely separate for virtually all purposes . Just let's be careful about that , because"
[13:01] Speaker_B | What do you mean by diffe
"[13:02] Speaker_E | like the the ICSI corpus isn't isn't one meeting series , it's several meeting series with different people meeting for completely different things ."
[13:07] Speaker_A | Hmm .
"[13:12] Speaker_B | Yeah , I mean t I I have one what I give you would be one file for each meeting ."
[13:20] Speaker_E | For each meeting .
"[13:21] Speaker_B | Yeah , not for each meeting series . I didn't do that yet ."
[13:22] Speaker_E | Alright .
"[13:23] Speaker_E | Okay , but like let's just be careful that whatever we sort of we merge together , that like the highest level of merging , it's not the whole ICSI corpus but individual series ."
[13:31] Speaker_C | Hmm .
