[01:55] Speaker_B | Yo .
"[30:43] Speaker_D | Digital pen , I thought uh th the first time I did individual work , I used it . But , a and the first two meetings I brought it with me , but I didn't use it at all after the first the first meeting ."
[30:48] Speaker_A | Yeah .
[30:55] Speaker_A | No .
[30:55] Speaker_B | Yeah .
[30:58] Speaker_D | It's it's not real real use for me .
[31:01] Speaker_A | Huh .
"[31:11] Speaker_B | Yeah , it's almost the same concept , but you can just sim more simply put it on our scanner . I it's the same concept as the pen , where you f have to download the software or s uh very uh slow ."
[31:13] Speaker_A | Yeah .
[31:17] Speaker_A | M yeah .
[31:22] Speaker_A | Yeah .
[31:23] Speaker_A | And it is still your own handwriting uh popping up in uh Word .
"[31:25] Speaker_B | Yes . No , and it doesn't give any added value ."
"[31:29] Speaker_A | No , uh that's true . No ."
"[31:29] Speaker_D | Not really , no ."
"[31:38] Speaker_B | Yeah , not user-friendly ."
[31:38] Speaker_C | Yeah .
"[31:44] Speaker_D | Yeah , like when you do this ."
"[31:46] Speaker_B | Yeah , it may um Yeah , and tr try to wri write your name uh in a in a normal uh size , yeah . Smaller ."
[31:55] Speaker_D | Smaller ?
"[31:56] Speaker_B | Yeah , smaller . Just like when you're writing on a letter ."
"[32:00] Speaker_A | Yeah , but that's not th the the you when you at a foreign audience , you b don't gonna wr uh write uh small ."
"[32:05] Speaker_B | No , a as you saw on on this drawing , just open open this one or that one ."
[32:18] Speaker_A | Yeah .
[32:21] Speaker_D | Oh . Sorry .
[32:31] Speaker_A | Yeah .
[32:35] Speaker_B | I'm gonna erase my name there .
"[32:38] Speaker_A | Yeah , it's a big uh big eraser ."
[32:40] Speaker_D | Okay . New ideas ?
[32:42] Speaker_B | M Abo What kind of new ideas ?
"[32:58] Speaker_D | Yeah . Mm , yeah , I think so ."
[33:01] Speaker_A | I don't know what what I mean .
[33:06] Speaker_B | Hello .
"[33:10] Speaker_D | Did you heard what he said ? I don't I don't know what I mean . Oh , I have some figure . Here . The eva the evaluation , the mm the mean uh number is uh one point eight one point eight six . So that's fairly uh fairly good , I think ."
[33:24] Speaker_A | Oh yeah .
[33:30] Speaker_A | That's interesting .
"[33:32] Speaker_A | Okay , because what does it mean ?"
[33:33] Speaker_B | Yeah .
[33:34] Speaker_B | So true .
"[33:35] Speaker_D | Uh , that uh"
"[33:38] Speaker_A | All the mo yeah , are between one and two ."
"[33:38] Speaker_D | all the requirements uh are true or very true , right . Yep ."
"[33:41] Speaker_A | Yeah . Oh , okay . Yeah , okay . Thank you , expert . But the new ideas found for uh wi with working with this uh software ?"
"[33:55] Speaker_A | Not really , yeah ?"
[34:07] Speaker_A | Yeah .
[34:14] Speaker_A | Yeah .
"[34:23] Speaker_B | More user-friendly . 'Cause when you use a pen , you can just draw like you d draw normally , and you do"
[34:25] Speaker_A | Yeah .
[34:27] Speaker_A | Yeah .
"[34:28] Speaker_D | Yeah . May maybe the idea you proposed is uh a screen here . And draw it , and it's it's placed over there ."
[34:35] Speaker_B | Yeah .
[34:36] Speaker_A | Yeah .
"[34:37] Speaker_B | Yeah , that l"
[34:39] Speaker_A | Yeah .
"[34:39] Speaker_B | Would be easier . Or at least when you you don't have to adapt to the technology , just you can write in the way you normally write . And now you have to um keep constantly in mind that you're drawing on this screen . And that's a very bad concept ."
[34:47] Speaker_D | Hmm ? No .
"[34:53] Speaker_A | Yep , yep ."
"[34:55] Speaker_A | Yeah , that's true ."
"[35:02] Speaker_B | Yeah , it's can be saved easier ."
[35:04] Speaker_D | Yeah .
[35:10] Speaker_D | Yeah .
"[35:16] Speaker_A | Yeah , and and maybe some uh functions for uh uh uh circle or uh a square . You have to draw it yourself now ."
[35:25] Speaker_B | Yeah .
"[35:26] Speaker_B | Or maybe even insert picture . If you have uh some presentation , and you have some f"
[35:27] Speaker_D | Yeah .
[35:30] Speaker_A | Yeah .
[35:34] Speaker_B | Yeah .
[35:36] Speaker_A | Yeah .
"[35:36] Speaker_D | Yeah , but insert image isn't available ?"
"[35:41] Speaker_D | Here . Picture from scanner , clip-art ."
"[35:44] Speaker_B | Oh , okay ."
[35:47] Speaker_D | Hyperlink ?
"[35:51] Speaker_D | Hey , what if you do like hyperlink ?"
[35:54] Speaker_B | With uh W_W_ dot Google dot com .
[35:55] Speaker_D | Type type it ?
[36:00] Speaker_B | Oh yeah . Maybe .
[36:00] Speaker_D | Re Real Reaction dot N_L_ .
[36:03] Speaker_A | Hmm ?
"[36:04] Speaker_D | Yes , is now is okay . Okay ?"
[36:04] Speaker_A | Sorry ?
[36:10] Speaker_D | Huh .
"[36:12] Speaker_A | Well , that's nice ."
"[36:16] Speaker_D | 'Kay , double-click it ."
[36:20] Speaker_A | Here . oh .
[36:22] Speaker_D | You're erasing .
"[36:22] Speaker_A | Oh , sorry . Select ."
"[36:24] Speaker_B | Something else th Yeah , arrow ."
[36:27] Speaker_D | Double-click it .
"[36:27] Speaker_A | Yeah . Here , that ."
"[36:37] Speaker_A | Yeah , thank you ."
[36:39] Speaker_A | You can go uh
"[36:40] Speaker_B | Yeah , okay ."
[36:41] Speaker_A | there .
"[36:44] Speaker_A | So there the the the functionality is there , but it's not it's not ideal , and it's it's very it costs a lot of time to uh"
"[36:51] Speaker_B | To use , yeah ."
[36:53] Speaker_D | Yeah .
[36:58] Speaker_B | Yeah . And that's m
"[37:09] Speaker_A | Yeah . Two minutes of drawing , yeah ."
[37:12] Speaker_D | Yep .
"[37:12] Speaker_B | You'll rather use PowerPoint and work it out in advance . And th the one or two things you have to draw when you're there , just use a flip-board ."
[37:15] Speaker_A | Yeah .
[37:18] Speaker_A | Yeah .
[37:21] Speaker_D | What I really miss also is uh
"[37:34] Speaker_D | With the evaluation , you have to"
"[37:38] Speaker_D | Polls like , what do you want , a one , a two , maybe a a l a little application like uh uh give your own number and click one two three four five six seven ."
[37:41] Speaker_A | Yeah yeah .
[37:42] Speaker_B | Yeah .
"[37:52] Speaker_A | Yeah , just like he said with the with the a screen which you can write , also uh a kind of voting uh mechanism ."
"[37:57] Speaker_D | Yeah , j ju ju yeah , v voting application . Just a little group group decision application ."
[37:59] Speaker_C | Oh .
[38:00] Speaker_A | Yeah .
[38:03] Speaker_A | Yeah .
"[38:03] Speaker_C | But uh , problem is , well you can't discuss anything well you you ca uh you can , but you will discuss a lot less than l like we did now . We I mean uh w w w one one person s maybe said three . But , well uh I we said uh , no I w th think two , because this and this , and then you can react uh on it . But if you you put a three on it , uh just figure well , everybody knows what I'm knowing , so they'll all just put a two on ."
[38:12] Speaker_D | Yeah .
"[38:23] Speaker_D | Yeah , okay ."
"[38:31] Speaker_D | Yeah , of course . But , uh you can still discuss about it , but but click it in an application , that's a lot easier to process ."
"[38:36] Speaker_C | Yeah , but it would yeah ."
"[38:41] Speaker_C | Yeah okay , the for processing part . But then uh , I think the idea of one person entering it and the rest uh discussing it , that uh isn't that bad idea , actually . Not that your opinion isn't valued , but but still ."
[38:52] Speaker_D | Yeah .
[38:57] Speaker_D | Yeah .
[38:59] Speaker_D | Okay . That's it ?
"[39:00] Speaker_B | Okay . Yo , manager . When are w"
"[39:02] Speaker_A | Uh well , just about , because uh"
[39:04] Speaker_B | When are we going to produce it ?
[39:08] Speaker_D | Celebration .
[39:11] Speaker_D | Yeah .
[39:13] Speaker_D | Yeah .
[39:27] Speaker_D | What is an end report ?
[39:31] Speaker_D | Yeah .
"[39:32] Speaker_D | Yeah , yeah ."
"[39:39] Speaker_D | Oh , you ha you have ten minutes left , I uh read ."
[39:42] Speaker_B | Oh .
[39:43] Speaker_D | You have now ten minutes left to finish up the end report .
"[39:45] Speaker_A | Okay well , that uh that can be done . Maybe we can do it uh together . You can see what I've uh yeah ? So I I s I will uh put it on a story-board ."
[39:50] Speaker_D | Yeah .
"[39:51] Speaker_C | Yeah , sure ."
[39:56] Speaker_A | You can see it .
"[40:17] Speaker_D | Okay , Daniel ."
[40:23] Speaker_D | Do you want a chair maybe ?
[40:27] Speaker_D | Hey ?
"[40:27] Speaker_A | No no no , I'm just uh you can s you can read it and uh here here it is . End report ."
"[40:29] Speaker_D | Oh , okay ."
"[40:32] Speaker_C | So you you finished it actually , and so we just have to read it and say yes or no ?"
"[40:37] Speaker_A | Well , this not nit it read-only . But it's not uh fully finished yet ."
[40:41] Speaker_D | Five minutes for finishing .
"[40:44] Speaker_A | Um , this is about the functional design , the things yeah yeah . Oh yeah . I'm uh when I said it , I remember I had it here ."
"[40:47] Speaker_D | Management Expert , you have to change that ."
[40:51] Speaker_D | Marketing .
[40:53] Speaker_B | It's a read-only version .
"[40:55] Speaker_D | Yeah , but you can save it u the under another name ."
"[40:58] Speaker_B | Oh , okay ."
"[40:59] Speaker_A | Marketing Expert , okay . Um"
"[41:03] Speaker_A | about the three functions where uh which are most used and uh which must uh immediately be visible on our uh remote control . Um , it must be uh simple to use , very clear what to do , and at the younger people . So , this is really about wh uh what kind things uh must be in it and uh yeah ."
[41:32] Speaker_D | Yeah .
[41:43] Speaker_A | I really didn't knew that .
"[41:45] Speaker_D | Oh nay , a volume changing , second ."
"[41:47] Speaker_A | So , this one's first ."
"[41:48] Speaker_D | S switch , yes ."
"[41:51] Speaker_A | You go there and you go there . So , okay . Well , maybe I can then do it one two three ."
"[41:54] Speaker_D | Yeah . Okay , go on ."
"[42:00] Speaker_D | Yes , very good ."
[42:01] Speaker_B | One two three .
"[42:02] Speaker_A | If the order is in uh is is uh important , that's the word for . Uh ,"
[42:04] Speaker_D | Yeah . Yeah .
[42:06] Speaker_D | The order .
"[42:21] Speaker_B | Yeah . Well , okay , maybe you can add it later that we decided in the end because of the cost ."
"[42:23] Speaker_A | Yeah , because yeah . Uh , he here it is still double-curve , the rubber , the flashy , the fruity , the removable . Uh , the buttons Hmm ?"
[42:28] Speaker_D | Single-curves .
"[42:33] Speaker_C | It's not double . Uh , it's not double anymore , eh ?"
[42:34] Speaker_B | A single-curved .
"[42:35] Speaker_D | No , okay ."
"[42:38] Speaker_C | Yeah , okay ."
"[42:39] Speaker_D | Was initial , the plan . The initial plan ."
[42:40] Speaker_A | Yeah .
[42:40] Speaker_C | Yeah .
"[42:50] Speaker_C | One small thing uh , the added functions . Uh , was it included in the cost ? I don't think so , eh ?"
"[42:55] Speaker_B | Ah , it's very cheap ."
[43:03] Speaker_A | It's very necessary .
"[43:16] Speaker_A | Yeah , but it still has some yeah . Okay , but so we can discuss that uh"
[43:17] Speaker_B | Yeah .
[43:22] Speaker_D | Yeah .
[43:22] Speaker_A | we can discuss that kind of things I think with the
[43:28] Speaker_B | Of directur or directors .
[43:29] Speaker_A | What's it what's the company called ? I just keep forgetting it .
[43:33] Speaker_D | Real Reaction .
[43:33] Speaker_A | Real Real Reaction .
[43:37] Speaker_B | Yeah .
"[43:47] Speaker_D | Okay . Still the end conclusion . That's all , I think ."
"[43:52] Speaker_B | Um , the decision to make um the buttons on the top , and the menu on the"
[43:57] Speaker_A | Mm-hmm . Yes .
"[43:58] Speaker_B | on the bottom . And clearly Yeah , touch-screen you've mentioned ."
"[44:03] Speaker_A | Yeah , touch-screen I've mentioned ."
"[44:03] Speaker_D | Yeah , but but the the decisions are put in the uh conclusion , I think . Why we decided to use a flat uh L_C_D_ ."
[44:09] Speaker_B | Okay .
"[44:10] Speaker_B | Okay , this n yeah ."
"[44:13] Speaker_A | Yeah , okay , well I gonna redesign uh something now . No ."
[44:21] Speaker_B | Party party .
"[44:22] Speaker_A | Because I think it will Oh , five minutes from to finish meeting ."
"[44:24] Speaker_B | Oh , before you change anything maybe you um save it first ."
[44:27] Speaker_D | Save it .
[44:38] Speaker_D | Hmm .
[44:38] Speaker_B | You can't you can select file and export and then those J_ PEG files .
"[44:43] Speaker_D | Yeah , but then you had the same thing ."
"[44:45] Speaker_B | Well , eight . And we have uh , another blank one ."
[44:49] Speaker_D | Example of children remote . Oh wait . Wait .
[45:05] Speaker_B | Wow .
[45:10] Speaker_B | It's a new uh commercial logo .
[45:18] Speaker_D | Hmm .
[45:21] Speaker_D | That's a pity .
"[45:22] Speaker_B | Don't save it , aye ?"
"[45:25] Speaker_A | Oh , that's cool , Tim ."
"[45:40] Speaker_B | Uh ,"
"[45:41] Speaker_A | Finish meeting now . Well , I'm I'm"
[45:42] Speaker_B | why are only the first five SMARTboard files
[45:44] Speaker_A | I'm going to finish my end report .
[45:45] Speaker_B | saved ?
[45:53] Speaker_A | I am the one who can say that . Yeah ? Hereby the meeting is finished . Yeah .
