[00:20] Speaker_A | Ah yeah .
"[37:35] Speaker_B | Okay . But would it still like would we still in the logic of it still have continuous I_D_s if we say we take just just one meeting . Like would would the display for example still be able to just say I want from whatever from the first until the last and and everything in between sort of and and the data manager would then display that just for that meeting . Okay well , if that's possible , yeah ."
"[37:54] Speaker_D | Yeah , I don't see why not ."
[37:59] Speaker_C | Have you currently got continuous I_D_s for your topic segments ?
"[38:03] Speaker_E | Well I have I've only done the first meeting . But yeah , th that's the plan ."
"[38:08] Speaker_E | Um for the topic segments ? Yeah , sorry , for topic segments I have . But for the utterances I've just got one meeting so far . But the idea was that it would be continuous ."
[38:10] Speaker_C | Yeah . Yeah .
[38:15] Speaker_C | Mm-hmm .
[38:16] Speaker_D | Yeah .
[38:18] Speaker_C | Okay .
"[38:19] Speaker_D | I think it sh everything should be like that , continuous in chronological order ."
[38:23] Speaker_B | Okay .
"[38:24] Speaker_C | Is that what v what you've got , because um because the different meeting series overlap ."
[38:31] Speaker_C | I think .
[38:31] Speaker_E | Yeah .
[38:33] Speaker_E | Remember how did I do it .
[38:37] Speaker_A | A problem um yeah .
[38:38] Speaker_E | Hmm .
"[38:47] Speaker_D | I'm not sure , I haven't really looked at the data ."
"[38:54] Speaker_D | If there's no value , I guess you have to put a zero in ."
[38:59] Speaker_A | Ah okay . At the moment I don't even generate any document uh document for those .
[39:04] Speaker_D | Yeah .
"[39:05] Speaker_A | But because I mean it's not zero , it's just a noun . Hmm ."
[39:11] Speaker_D | Well it might be more sensible to assign it an average value .
"[39:27] Speaker_D | Well we'd w only use F_ zero when it was present though , wouldn't we ?"
[39:31] Speaker_A | Hmm ?
[39:32] Speaker_D | We well we'd want to use F_ zero when it's present .
"[39:35] Speaker_B | Yeah , that's what Vera said . No . So you you'd you'd also say that it shouldn't be part of the importance measure if there's no F_ zero ."
[39:47] Speaker_A | Yeah .
"[39:50] Speaker_B | Yeah . Well , I I don't know how we're gonna do the fusing of the different if inf importance measures anyway . Bu if that's done in the programme or if that's done off-line ."
[39:54] Speaker_D | Yeah .
[40:00] Speaker_E | I th think it should be done in the program 'cause we're probably gonna want to change it .
"[40:01] Speaker_D | Yeah , in the summariser it'd be the uh ideal place to do that ."
[40:02] Speaker_B | Yeah . Yeah .
"[40:05] Speaker_B | Yeah . Does anyone have a good idea like at the moment to play around with it , what's a good way of displaying two types of information in the in the colour display . I mean uh there's probably logical ways , like if one is whatever , if one is the darkness and the other is the redness or something . Has anyone ever experimented with sort of displaying two-dimensional information in in colour ? Because then we could do Jasmine's and and Vera's probably in the same scale ."
[40:27] Speaker_D | You could use um red green and blue to display up to three .
[40:33] Speaker_B | Yeah .
"[40:33] Speaker_A | Yeah , but do we really want do display them separately because the user won't okay , for now for our s okay ."
"[40:36] Speaker_B | F for now . No , for now . Like yeah , for us ."
"[40:42] Speaker_C | Might be interesting to the user though , just the word importance maybe ."
"[40:48] Speaker_A | Yeah , but then the user would have to know about what s w was what and what contributed to the blue stripes and what contributed to the red ones . Uh I think that wouldn't be a good idea ."
[40:48] Speaker_B | Hmm . S
[40:56] Speaker_B | We should assume a n assume a non-linguistic user .
"[41:02] Speaker_B | But I think probably for us , like in developing it , it would be interesting . Yeah , so um I'll try the red green blue . Wha what's does anyone know what this hue and saturation thing , like what that no , nobody's done much colour work ."
[41:05] Speaker_A | Mm-hmm .
[41:20] Speaker_D | The trouble is that hue isn't a very sensible scale . Like it comes up to like red two or three times and stuff like that .
"[41:39] Speaker_D | Or you could just split it into two blocks , I suppose , for now ."
[41:44] Speaker_B | Yeah . Yeah .
"[41:53] Speaker_B | 'Kay , so we'll produce a version of this which opens up with a dialogue box um where you can select a file ? Is that right , Dave ? Would we be able to do that ? And and then you'll get this type of display with that file ."
[42:01] Speaker_D | Yeah .
[42:11] Speaker_B | And that's uh at the moment are w so are we are we still talking about using that one meeting that everyone is using now ? Are talk about swat swi swapping now ? Switching .
[42:17] Speaker_D | Well there's no reason why it can't swap meetings at the moment if the data's there for it .
"[42:29] Speaker_D | Yeah , that's most sensible way to do it , I think ."
[42:31] Speaker_B | Okay .
[42:33] Speaker_B | Okay .
[42:36] Speaker_B | We need the explicit information about each meeting then . Like sorta whi from which utterance which utterance it goes and stuff .
"[42:43] Speaker_D | Yeah , that's well , it's not reading that in yet , but that will be part of the data manager as well . Like there's access classes all defined for that ."
"[42:52] Speaker_D | Yeah , it's in your file , isn't it ?"
[42:55] Speaker_E | Mm . Yeah .
[42:57] Speaker_D | 'Cause each utterance has got an I_D_ associated with it .
[42:59] Speaker_E | Yeah .
[43:00] Speaker_B | Okay . Okay .
[43:01] Speaker_A | Okay . Couldn't we couldn't we write one programme that calculates all the um f for all our different contributions to the importance measure the um a absolute um dialogue act numbers for the meeting .
[43:20] Speaker_A | Because at the moment we all produce the numbers for each meeting separately .
[43:20] Speaker_D | I don't know .
"[43:27] Speaker_D | So just keep yeah , just enumerate up for the next number . Three ."
[43:35] Speaker_E | Hmm .
"[43:45] Speaker_E | Yeah , we should be consistent , yeah ."
"[44:03] Speaker_B | Yeah , I'm not sure about"
[44:06] Speaker_B | that .
[44:08] Speaker_B | As in I just don't understand much about how difficult it is to do to do different things .
"[44:24] Speaker_A | Yeah , I mean I can do it . I can read in the different um importance measures and then re re-calculate the numbers ."
[44:32] Speaker_B | Well as l as long as yeah .
"[44:37] Speaker_B | As long as everything's in the right order , it shouldn't like we should even be able to just I_D_ it when we're reading it in ."
"[44:43] Speaker_C | But we have got the index um for converting from Vera's I_D_s to to yours . So it shouldn't be a problem , should it . Yeah , I've done that for the correlation as well . So that's what that was quite easy to do ."
"[44:50] Speaker_E | Hmm . Yeah , it should be easy to do , yeah ."
[44:53] Speaker_B | Hmm .
[45:01] Speaker_B | 'Kay .
"[45:02] Speaker_C | Have you got that for no , it's just for one meeting at the moment ."
"[45:05] Speaker_E | Yeah , I've got the indexes for all the meetings I think . Yeah ."
"[45:07] Speaker_C | Oh okay , sure ."
"[45:22] Speaker_B | Um so yours would always like yours would always be loaded in , I guess . Like you y there would only be one version of your data , and you can just override that version if you want . But you wouldn't have a file open dialogue box for that then ."
"[45:38] Speaker_E | No , I don't think so ."
[45:40] Speaker_D | Well that's what I meant is it's a bit pointless having it as file open 'cause it will be opening those files all the time . It's more sensible to have it as an option and the location of them . Or just so you can configure the the location of all the files as an option . But when it starts up it should just read them from the default place .
[45:50] Speaker_B | Well what would the option be ?
"[46:07] Speaker_D | Yeah , that makes sense ."
"[46:13] Speaker_D | Oh , of course t there's no reason why we can't make a development version that displays both , has two win utterance windows and uh two graphical displays . I mean obviously you it'd have to pick which one to synch the clock to ."
[46:27] Speaker_B | Mm is that not getting too much ?
[46:30] Speaker_D | To add another dialogue act window is really easy .
[46:38] Speaker_B | So we would have like each of those components for
"[46:44] Speaker_B | for Jasmine and Vera . Yeah , I know ."
"[46:45] Speaker_D | Oh like say if you could make a um change to your thing so it could display uh like it in two halves . So like the top half one , the bottom half the other . Or maybe three actually . Maybe top half one , bottom half the other and the third one an average that we can change the parameters for ."
[46:53] Speaker_B | Yeah . Yeah .
[47:06] Speaker_B | Mm-hmm .
"[47:10] Speaker_D | And then yeah , I could easily make it throw out three different dialogue acts ."
"[47:19] Speaker_D | No , I'd just have two of them not synched up because it's just for evaluating the data ."
"[47:24] Speaker_B | Okay . 'Cause the dialogue uh the display also gets the information about like the relative and the absolute times . So that would be convenient if that just if there's just one of that , 'cause otherwise it's getting messy ."
"[47:44] Speaker_D | Oh no , it isn't . Yeah , I know what you mean ."
[47:45] Speaker_B | I don't wanna do like three like three internal time-scales so that's just getting messy .
[47:49] Speaker_D | Yeah .
"[47:53] Speaker_B | Well I guess really I mean like alternatively why don't we go for the simplest thing and just create three scripts or two scripts which load a parameter uh f common line parameter , which is which file to load , and and then it's just there ."
"[47:59] Speaker_D | Yeah , I suppose ."
"[48:05] Speaker_D | No , hold on , you it wouldn't need three internal time scales , 'cause only one's synched to the clock or it c and the others are all absolute real time , aren't they . That's what's displayed on that , the bar , is real time , isn't it . So they would all be in the same time scale ."
[48:09] Speaker_B | Okay .
[48:18] Speaker_B | Yep .
"[48:26] Speaker_B | Oh you oh you just have three summarisers , and then they're all synched up with one clock ."
"[48:30] Speaker_D | No no , only one of them synchs , and two of them are just yeah ."
"[48:32] Speaker_B | Okay , the other one is just a static dialogue acts box ."
[48:36] Speaker_D | 'Cause it doesn't really matter . They synch up for the purpose of evaluating the data .
"[48:47] Speaker_D | Yeah . I mean not in the final version , just for now ."
"[48:49] Speaker_B | No no , sure . Or maybe just start with just two like without even combining them in any sophisticated way . Just just two . Yep ."
[48:54] Speaker_D | Yeah .
"[49:01] Speaker_B | 'Kay , shall we wrap that up ? Sor sorry , I'm imposing ."
[49:06] Speaker_D | How easy would it be to make it so you can add arbitrary numbers of them do you think ?
[49:12] Speaker_B | You mean discontinuous ?
"[49:13] Speaker_D | No , like uh different measures to the display ."
"[49:28] Speaker_D | Well that's the thing , if it's gonna take more than like an hour or something , it's not worth it ."
[49:36] Speaker_D | Yeah .
[49:50] Speaker_D | Mm .
[49:52] Speaker_D | But that's easy 'cause mine can take uh any number of parameters .
"[49:57] Speaker_B | Yeah , but that we wouldn't so we'd have to have some dialogue box for opening stuff . It might be it might take half an hour in the display and not more than that ."
"[50:06] Speaker_D | Mine , I'll need to make a minor addition to the data manager and the summariser . But it's more or less ready to go with that ."
[50:12] Speaker_B | Hmm .
[50:15] Speaker_B | But it might actu I think it might not really be worth it to be honest .
"[50:24] Speaker_B | Let's work on the other stuff first , like the other stuff , and just provide like something where each of them just if if there's uh a Jasmine script and a Vera script and they each can load their stuff and see their data in in the thing . They ca they each can see it summarised by their data , and the other one is the static one . That should be fairly easy to do , right ? If I just double the display and you make a uh like a non-synched up second dialogue acts ."
[50:44] Speaker_D | Okay .
[50:46] Speaker_D | Yep .
[50:49] Speaker_D | Mm-hmm .
"[50:53] Speaker_D | Yeah , should be easy ."
"[50:53] Speaker_B | And yeah , and then they can tune , fine-tune their measures ."
[51:06] Speaker_B | I think it would be cool if we could check the NITE clock f code or whatever code it is for this component and see if we can access those rate things and and do something useful with them and get notified when they change and stuff .
"[51:20] Speaker_D | We could just make that rate be something completely different , just disconnect it from whatever it's doing , and then have that set the length of the summary or something like that ."
"[51:29] Speaker_B | Yeah , I think that's what we should do . So the the thing is it's probably an easy task to read that rate , but it's probably more difficult to get an event automatically when it's changed . So that's why we might have to extend NITE clock and like override the function that react to that . Or like the rate is probably a property , which in the worst case we'd have to set public , but if we wanna react to it being changed automatically , we might have to ."
[51:43] Speaker_D | Mm .
[51:51] Speaker_D | Well it doesn't it doesn't react to it being changed automatically . It only reacts when you press play at the moment . So you have to stop it and start it to make any effect .
[52:13] Speaker_D | Mm .
"[52:15] Speaker_D | Yeah , I mean just disconnect it from whatever it sends the media player and connect it up to our summarisers . That makes different length summaries ."
[52:15] Speaker_B | Yeah .
[52:18] Speaker_B | Yeah .
[52:22] Speaker_B | Yeah .
"[52:24] Speaker_D | 'Cause like we could make that not even have like a a real sort of meaning , just put like max and min . And the user can just like set it in-between wherever they want the uh without actually telling them what it actually means if you see what I mean ."
[52:33] Speaker_B | Hmm .
"[52:39] Speaker_B | Yep . Yeah . Yep . And we could justify all sorts of stuff like that by r in the presentation by saying we deliberately tried to keep any complexity and numbers and stuff away from people . I think that's sort of a line we should go by in general , sort of saying yeah , we could've done oh so many th"
[52:50] Speaker_D | Yeah .
[53:02] Speaker_D | 'Cause that's incredibly unintuitive .
"[53:24] Speaker_C | So what kind of change will you impose on the summarisation ? Because if we fine-tune uh um according to that and it's not finished , it's n doesn't make any sense ."
"[53:34] Speaker_D | But it won't make any huge changes , like it'll always have the ef the ability to read the original ones . But it might be quite cool to have a combined measure . Like just a weighted average is probably the most sensible way to about it and possibly thresholding it ."
[53:36] Speaker_C | Okay .
[53:40] Speaker_C | Right .
[53:42] Speaker_C | Uh-huh .
[53:45] Speaker_B | Hmm .
[53:47] Speaker_C | Okay .
[53:51] Speaker_C | So you at the moment you have got a threshold and everything that's above it is displayed . Or how do you d
"[53:56] Speaker_D | No , it just takes the top like twenty or fifty or however many ."
"[53:59] Speaker_C | Yeah , so it's some kind of threshold that is set , okay ."
[54:02] Speaker_B | Yeah .
[54:02] Speaker_D | Yeah .
[54:11] Speaker_B | Yeah .
"[54:14] Speaker_B | Shall we meet in an hour or so , Dave ? I'm probably gonna eat something quick ."
"[54:23] Speaker_B | Ah okay , I was actually I was planning the same , but we won't get so much done before three , that's the thing ."
"[54:28] Speaker_D | Or to be honest , like it's much quicker for me to get stuff done on my own . It'd make more sense for us to divide up spend a couple of hours dividing up tasks and then do them separately ."
"[54:40] Speaker_B | 'Kay listen , so why don't we meet after three then , because then I can like until three make sure that I have all the display c"
[54:45] Speaker_D | Well it'll be after four then . 'Cause I'm gonna go at three . The gym .
"[55:01] Speaker_D | Okay . So meet say five till seven , that should be enough time ."
[55:06] Speaker_B | Yeah .
"[55:09] Speaker_D | Because yeah , it's much quicker if we're both working separately , I think . 'Cause when we've been working together like I've just not got a lot done . And like when I go home I'll spend like the same amount of time and get loads done if you see what I mean ."
"[55:16] Speaker_B | Yeah , that's true ."
"[55:21] Speaker_B | Yeah . Yeah , so we can meet in five in Apple at five in Appleton tower and just work on so I'll I'll have my displ I'll make sure that my display does all the stuff we've been talking about un until then ."
"[55:32] Speaker_D | Yeah , okay ."
[55:36] Speaker_B | And then we'll put those things together .
[55:39] Speaker_D | Okay .
"[55:41] Speaker_E | Yeah , I'll be working on the search , I think . It's ready to get started . Yeah , I may as well come and you can show me how it the manager works ."
[55:44] Speaker_D | So you're gonna be up there as well then ?
[55:51] Speaker_E | Yeah .
[55:55] Speaker_B | Yeah . But I mean like we we should discuss together which w like how the the search interacts with the rest .
[56:03] Speaker_B | So that's not something that Colin should just do in his own .
