[00:01] Speaker_A | Good .
[25:59] Speaker_B | No .
"[26:02] Speaker_A | Yeah , you should you should drop the speech recognition ."
"[26:03] Speaker_C | The sample speaker is two d wait , f s four points ."
"[26:04] Speaker_B | Yeah , but it's t"
"[26:06] Speaker_D | Yes , four points ."
"[26:07] Speaker_B | Yeah , but it is uh it it is a new feature , it is something special ."
[26:07] Speaker_A | And then you can keep the curve .
[26:10] Speaker_A | Or can't you ?
"[26:11] Speaker_D | Yeah , but what what else what else uh do you want to scrap ? F You have to we have to scrap four points ."
[26:17] Speaker_C | Yeah .
"[26:18] Speaker_A | Or make it on a hand dynamo , but I don't think that will work ."
[26:20] Speaker_D | Ma make it with wood instead of rubber ?
"[26:23] Speaker_C | No , that's no . Make it w uh when you made it uh uh uh a remote control of wood ?"
[26:25] Speaker_B | Uh .
"[26:29] Speaker_D | Yeah , it it i Yeah , it also uh it also takes one point less ."
"[26:30] Speaker_A | Yeah , mm-hmm ."
"[26:34] Speaker_A | Yeah , but uh a wooden remote control only helps for uh old people we discussed , yes ?"
[26:36] Speaker_B | Oh . Oh can I ask something ? What is special colour ?
[26:39] Speaker_D | Yeah .
"[26:41] Speaker_B | Is that the wood uh wood uh this , we have to have that one too ?"
[26:43] Speaker_D | I think it is .
[26:44] Speaker_C | It isn't .
[26:45] Speaker_C | What ?
[26:45] Speaker_D | Yeah .
"[26:46] Speaker_A | Yeah , but it's only a half . But I think the only option is to drop the uh sample speaker ."
[26:49] Speaker_D | Yeah . Sample speaker .
"[26:50] Speaker_C | To knock the sample speaker , yeah . And sample sensor ."
[26:53] Speaker_B | Th then we still have too much
"[26:55] Speaker_D | Yeah , okay , three . Point three ."
"[26:59] Speaker_B | Yeah , we we scrap that one ?"
[27:01] Speaker_D | Huh ?
[27:04] Speaker_D | Point twelve .
[27:10] Speaker_B | Uh it's a colour . Don't make it wood .
[27:11] Speaker_C | A colour .
"[27:13] Speaker_D | Yeah , but a wood we can make it brown , dark brown , not wood ."
"[27:16] Speaker_B | Yeah , but it's it's special colour , is it"
"[27:20] Speaker_C | Yeah , special colours , fruity colours ."
[27:23] Speaker_C | Yeah .
"[27:25] Speaker_B | Yeah , but it's a special colour than just rubber colour . You have to add something to the rubber to make it green . You don't say here's green rubber ."
[27:30] Speaker_C | Yeah .
[27:34] Speaker_C | They don't sell green rubber plants . Alright .
"[27:34] Speaker_D | Yeah , but then I d I don't think we can ever make to a twelve and half ."
"[27:40] Speaker_D | But then we have to scrap L_C_D_ display , we have to scrap uh"
"[27:44] Speaker_B | No , it is the scroll wheel , I guess ."
[27:44] Speaker_C | No no no .
[27:44] Speaker_D | s advanced chip .
[27:46] Speaker_D | No then we have to scrap everything we got because how many colours we gonna make ? Five ? Then we have two .
[27:50] Speaker_C | If we lose the scroll wheel and make it totally uh depending uh dependent on uh the touch screen
[27:56] Speaker_D | S touch .
"[27:56] Speaker_B | A push , yeah ."
"[27:59] Speaker_D | Then we can make add two colours on it . Yeah , two colours it ."
[28:05] Speaker_B | Switch colours .
"[28:12] Speaker_C | You lose this one , you got eleven point five and you make i and then you can make uh the spec single curve , for example ."
[28:12] Speaker_D | They can add two colours .
"[28:19] Speaker_D | But the colours . Um how ma uh the colours like l she told ,"
"[28:27] Speaker_C | How d uh uh how many colours ? Special colours , all the colours you want , because you want to make p"
[28:28] Speaker_B | What do you mean ?
"[28:31] Speaker_D | Yeah , but we we we are we have yellow , red , uh black , titanium ."
"[28:36] Speaker_C | Yeah , but uh when you use more than one colour , it's a special colour ."
"[28:40] Speaker_B | Oh . But I think when you use the colour that's not originally the rubber then you use special colour , 'cause you have to add it ."
[28:40] Speaker_D | Ah okay .
[28:41] Speaker_C | I suppose .
[28:45] Speaker_C | Yeah .
"[28:45] Speaker_D | Yeah , but the rubbers alls original black ."
"[28:47] Speaker_B | Yeah , so you always lose the special colour . You co you could make it always black , like normal remote ."
[28:49] Speaker_D | Yeah b
"[28:51] Speaker_D | Yeah , but we're gonna make it yellow uh red , and then you add you have two special colours on top of the one we have now ."
[28:56] Speaker_C | Nee we we also want to make ano another colour .
"[28:57] Speaker_B | Oh right , yeah . Yeah , we should u Yeah . We have to make this like four or five or something . That's what it means ."
"[28:59] Speaker_D | Yeah , but m"
"[29:02] Speaker_D | Yeah , because we have more colours than only black ."
"[29:05] Speaker_A | Yeah , but isn't it per remote that you pay ?"
[29:05] Speaker_B | Yeah .
"[29:08] Speaker_B | Oh right , yeah . Is it per remote ? Yeah ."
[29:09] Speaker_A | Half ?
[29:11] Speaker_A | I think you pay half per remote . So each remote with a special colour .
"[29:13] Speaker_B | Yeah , that's right , and you one colour per remote . So then it is one ."
"[29:15] Speaker_C | Yeah , indeed , yeah . You don't need four of those uh four of those special colours in one in one remote ."
"[29:19] Speaker_D | Yeah , okay okay , true ."
"[29:21] Speaker_D | True , true ."
[29:23] Speaker_B | No .
[29:24] Speaker_D | We have two points spare . Nee one point .
"[29:27] Speaker_A | So the battery , we have um advanced chip on print ."
[29:28] Speaker_B | One .
"[29:32] Speaker_B | So it would be curved , single curve ."
"[29:34] Speaker_A | Because of thing Yeah , well you can at least make it curved again ."
[29:35] Speaker_B | Or not ?
[29:36] Speaker_C | Hmm .
"[29:38] Speaker_C | Yeah , single curve ."
"[29:42] Speaker_A | Because that was very important , huh ?"
[29:42] Speaker_B | It's too bad for the speaker .
"[29:44] Speaker_A | So it's curved , it's still that so we we dropped the speech recognition together with the speaker ."
[29:48] Speaker_D | Mm yep .
[29:51] Speaker_A | We dropped the scroll wheel .
"[29:53] Speaker_A | And the rest is the same , huh ?"
[29:56] Speaker_D | Y yea the scroll wheel is dropped .
[29:56] Speaker_A | Am I right ? Yes .
[30:01] Speaker_C | Uh . Huh .
[30:01] Speaker_D | Yep .
[30:03] Speaker_B | Perhaps you can then copy page or so .
[30:06] Speaker_B | Ooh .
[30:18] Speaker_C | Okay .
"[30:20] Speaker_C | Undo , undo . Undo ."
[30:24] Speaker_B | Oh not Well .
"[30:26] Speaker_C | So , 'kay . Twenty minutes ?"
[30:27] Speaker_B | Would you ?
"[30:29] Speaker_B | By the Perhaps you can save this one , and then copy or something . Add it copy page ."
[30:39] Speaker_B | Select all .
"[30:40] Speaker_A | No , but you c yeah ."
"[30:42] Speaker_B | Alright , something went wrong ."
[30:50] Speaker_D | Tap .
[30:55] Speaker_B | It doesn't work . Let's forget .
[30:57] Speaker_D | It should've work .
"[31:01] Speaker_A | Hmm ? No , I hadn't . I just received it ."
"[31:13] Speaker_C | Okay , so we lose the scroll wheel , the s"
[31:13] Speaker_B | Too bad .
[31:15] Speaker_B | Yeah . The microphone .
"[31:18] Speaker_A | Yeah , and that's it ."
[31:19] Speaker_C | And the microphone .
[31:25] Speaker_B | Oh no .
[31:27] Speaker_D | Yep .
[31:28] Speaker_C | Okay .
"[31:29] Speaker_A | Twelve Euro fifty . Um and did you try to make a new design , or what were you trying to do ?"
"[31:33] Speaker_B | Yeah , I tried to copy that one , but it didn't work ."
[31:35] Speaker_A | It didn't work .
[31:39] Speaker_A | Hmm . Strange .
[31:42] Speaker_C | Strange .
[31:45] Speaker_C | You can only re erase ? Oh .
"[31:46] Speaker_B | Erase . When you saw th li uh Earlier when we selected it , w I couldn't erase anything ."
"[31:50] Speaker_C | Uh , no ."
"[31:54] Speaker_A | Hmm , can't you then just say copy ?"
[31:57] Speaker_C | Bling .
[31:58] Speaker_A | New page .
[32:01] Speaker_A | Paste . Yes .
[32:02] Speaker_C | Ah .
[32:10] Speaker_B | Just tap somewhere .
"[32:14] Speaker_A | Okay , and now you can erase ."
[32:14] Speaker_B | Yeah .
"[32:17] Speaker_B | I don't think I can , but uh we can try ."
"[32:19] Speaker_C | Uh , we already try ."
[32:20] Speaker_A | Well it should be possible .
"[32:21] Speaker_B | Oh , yeah , no , ha-ha ."
[32:23] Speaker_A | Oh no .
[32:24] Speaker_A | Well you can draw over it with white uh pen . Oh .
[32:24] Speaker_D | No ?
"[32:26] Speaker_B | Yeah , we tried it earlier . It's very much work ."
"[32:31] Speaker_A | Sorry . Well but that's also useful for the evaluation , because I think uh we have a prototype now which we can afford and uh we only need to draw a little bit to get a good uh"
[32:38] Speaker_D | Evaluation drops .
[32:47] Speaker_A | design . Doodle . And I think we should then move on to the production evaluation because of the time .
[32:54] Speaker_D | And erase the mic .
"[32:55] Speaker_B | Yeah , goodbye mic ."
"[33:00] Speaker_A | Let's see , we can save this now ."
"[33:01] Speaker_B | Oh , I already erased half of the line ."
[33:07] Speaker_A | And move back to here .
"[33:12] Speaker_B | Too bad , oh ."
[33:24] Speaker_B | Like this ?
[33:25] Speaker_A | Mm-hmm .
[33:26] Speaker_B | Still looks nice .
"[33:26] Speaker_A | And then all green . Okay , well thank you ."
"[33:29] Speaker_B | Oh , that's erase ."
[33:29] Speaker_D | Looks like a iPod .
"[33:31] Speaker_A | Oh , no ."
"[33:34] Speaker_A | Hey , but you can erase that ."
"[33:35] Speaker_B | Yeah , that's a bit weird . Oh , now I'm line ."
[33:36] Speaker_C | Yeah .
[33:37] Speaker_A | Uh-oh .
[33:37] Speaker_C | S Difference between lines and text and the pen .
[33:40] Speaker_B | Yeah .
[33:42] Speaker_A | Right .
"[33:48] Speaker_A | And you can't erase this ? Hmm , strange . Okay , well uh just leave it at this and quickly save . Um and then we are going to the project or product evaluation . We just did our project evaluation . Um well , I think I can sit for that since it's almost my final slide . Um"
[33:54] Speaker_D | Station page .
[34:10] Speaker_A | what did you think about uh the process ? How satisfied are we ?
[34:16] Speaker_C | Deadlines were sometimes very short .
"[34:18] Speaker_B | Yeah . Bu but stressful . You think , no , my presentation isn't ready ."
[34:19] Speaker_A | Mm-hmm .
[34:19] Speaker_C | But And stressful .
[34:20] Speaker_A | Yeah .
[34:26] Speaker_B | Yeah .
[34:27] Speaker_A | Yeah .
[34:29] Speaker_A | And you could ask things .
[34:33] Speaker_C | Yeah .
[34:35] Speaker_C | Yeah .
[34:37] Speaker_B | Yeah .
"[34:40] Speaker_D | So yeah , that I don't think that is the best way to work at for such project ."
[34:44] Speaker_A | Yeah .
[34:44] Speaker_B | No .
[34:45] Speaker_A | So you would say uh communicate during our individual uh work .
"[34:48] Speaker_D | Yeah , no , or maybe session of five minutes together or something , and then work separate ."
"[34:52] Speaker_C | Yeah , but but why not work here together , for example ? Why should we be separated from each other in those difference uh different rooms ?"
[34:53] Speaker_A | Yeah .
[34:57] Speaker_D | Yeah .
[34:57] Speaker_B | Yeah .
[34:59] Speaker_D | Yeah .
[34:59] Speaker_A | Mm-hmm .
"[35:00] Speaker_A | Well , probably to simulate the whole working uh process , huh , th you can't have a meeting uh for several weeks ."
[35:01] Speaker_B | I think so too .
[35:03] Speaker_C | Yeah .
"[35:11] Speaker_C | Huh , oh right ."
[35:12] Speaker_A | No .
"[35:20] Speaker_D | Yeah , the technology's okay ."
"[35:20] Speaker_B | Well , I I don't really like the board , it doesn't really work great . Sometimes I think ."
[35:23] Speaker_C | Work now ?
[35:27] Speaker_C | Perhaps it is e
"[35:29] Speaker_C | Yeah , perhaps it is easier to get one of those uh dig digital pens or so and to uh and lay it next to that keyboard over there . So you can draw uh see it over th on the screen . Yeah ."
[35:33] Speaker_D | Yeah .
[35:35] Speaker_B | Yeah .
"[35:36] Speaker_D | Yeah , like the f like a plotters or something , yeah . Yep yep yep yep yep ."
[35:38] Speaker_B | Yeah .
[35:48] Speaker_D | No .
[35:49] Speaker_C | Because when you put this pen on the screen uh uh for exam and line is d being drawn at at two or three centimetres uh below .
[35:52] Speaker_B | The line is a bit off .
"[35:57] Speaker_A | Yeah , so it's maybe a bit unnatural also ."
[35:59] Speaker_D | Yep .
[35:59] Speaker_C | Alright .
"[36:00] Speaker_B | Yeah , you can point to where you want the line to be ."
"[36:06] Speaker_C | The project uh because of the deadlines you didn't had the time to uh have , you didn't have time to uh to make a very uh"
[36:16] Speaker_C | qualitati qualitative uh presentation .
[36:20] Speaker_B | Yeah .
[36:21] Speaker_C | So you used uh this
[36:31] Speaker_C | Oh .
"[36:33] Speaker_A | That wasn't me . Uh so um the means , we discussed the smart board , and what about uh this digital pen ?"
"[36:42] Speaker_B | I I used it , it it was you can use it , it's quite handy I think ."
"[36:46] Speaker_A | Yeah , well I use it as a a normal pen and and and only you use it to uh get it on the computer , huh ?"
"[36:50] Speaker_B | Yeah , I used it to y to Yeah , it did work pretty well ."
"[36:53] Speaker_C | I used it too , but oh well ."
[36:56] Speaker_D | I didn't use .
[36:56] Speaker_C | Yeah .
"[36:58] Speaker_C | Yeah , because it shou"
[36:59] Speaker_D | No yeah .
[37:01] Speaker_A | Yeah .
"[37:01] Speaker_C | To make some designs , it is very easy ."
"[37:01] Speaker_D | It is it is yeah , it is easy for to design something and then load it in your computer ."
[37:04] Speaker_C | Yeah .
"[37:05] Speaker_B | Yeah , and then you can show it to everybody ."
[37:07] Speaker_D | Yeah .
[37:07] Speaker_C | But to write it th yeah .
[37:08] Speaker_D | Yeah . It's b bi little bit too big to write .
"[37:11] Speaker_C | Yeah , it's too big , it's too fat ."
[37:14] Speaker_A | Yeah .
"[37:17] Speaker_A | Okay , um"
[37:19] Speaker_A | and what about the teamwork ?
[37:21] Speaker_D | Team work was okay .
"[37:21] Speaker_B | I think it was great , yeah ."
[37:22] Speaker_C | Yeah .
[37:26] Speaker_C | Right .
"[37:26] Speaker_A | Yeah , but that was it was our assignment , huh ?"
"[37:28] Speaker_B | Yeah , but it was because we didn't uh Yeah ."
"[37:30] Speaker_D | Yeah yeah yeah , but furthermore better ."
"[37:35] Speaker_D | That's yeah , no prob . Ah ."
[37:38] Speaker_C | Yeah .
"[37:39] Speaker_A | Yeah well , okay ."
"[37:40] Speaker_C | Not too much , not too too too too ."
[37:41] Speaker_D | Yeah .
[37:43] Speaker_B | Yeah .
[37:43] Speaker_D | Okay .
[37:49] Speaker_B | Well .
[37:53] Speaker_B | Yeah .
[37:55] Speaker_C | You got some standard ideas in your head and this what came out .
[37:58] Speaker_D | Mm-hmm .
[38:01] Speaker_C | Yeah .
[38:09] Speaker_D | Little bit uh lo yeah . Too late it it it took a lot of time before you got your ema yeah .
[38:10] Speaker_B | Yeah .
"[38:12] Speaker_B | You just sit there for ten minutes . Yeah , where is that email ?"
[38:13] Speaker_C | Yeah .
[38:15] Speaker_D | I played I think seven times Solitaire something .
"[38:17] Speaker_A | You did ? Well , I didn't have time for that ."
"[38:22] Speaker_D | Oh right , it is there ."
[38:28] Speaker_B | I got like one email after ten minutes or something .
[38:30] Speaker_D | N yeah .
"[38:35] Speaker_D | So does this I think lik oh and information was a bit low I think , sometimes , in in in in the beginning I didn't understand what what to do ."
"[38:44] Speaker_D | Yeah , like I with with the remote and I never new we have t we had to uh yeah made a made a rec a remote control ."
[38:47] Speaker_C | Make a r yeah .
[38:48] Speaker_B | nee .
[38:53] Speaker_C | Yeah .
[38:54] Speaker_C | No stepping on the table and then looking at the internet page .
"[38:56] Speaker_A | And I was working and working and work Okay , well um but after all we can say uh we are satisfied , but it it could've been uh better . When we get uh when we have we would have gotten uh more information ."
"[39:02] Speaker_D | So , yeah ."
[39:10] Speaker_D | Yeah .
[39:13] Speaker_D | Mm-hmm . Faster .
"[39:14] Speaker_B | Yeah , an"
"[39:14] Speaker_C | Yeah , more information about the costs ."
[39:16] Speaker_D | Yeah .
"[39:16] Speaker_B | Yeah , that will be handy ."
"[39:18] Speaker_C | First of all I didn't think uh that we were able to make an L_C_D_ screen uh first point , but uh it was possible uh uh , yeah ."
"[39:25] Speaker_D | Yeah , it only costs four units . Uh yeah ."
[39:28] Speaker_A | Yeah .
"[39:33] Speaker_A | Yeah , that was a bit mean to put it in the end . And uh what were the other points to to improve this whole process ?"
[39:33] Speaker_C | Yeah .
"[39:40] Speaker_B | Uh , I dunno ."
[39:43] Speaker_D | Yeah . Nothing .
[39:44] Speaker_B | Think that's about it .
[39:46] Speaker_B | Hmm . Heavier um less heavy laptops . Yeah .
[39:46] Speaker_D | I think we got it already .
[39:49] Speaker_C | Uh . Faster laptop .
"[39:50] Speaker_A | Yeah , they're pretty heavy ."
[39:52] Speaker_C | Uh . They were they were just fine .
[39:54] Speaker_D | And furthermore the the the network was okay . Everything you loaded was also
[39:56] Speaker_B | Yeah .
[39:56] Speaker_C | Uh .
"[39:58] Speaker_B | Yeah , everything worked ."
[39:59] Speaker_D | av available there .
[40:00] Speaker_C | Right .
"[40:01] Speaker_A | And so more time uh w might have improved the the quality of work , is what you say . Okay ."
[40:04] Speaker_C | Yeah .
"[40:12] Speaker_B | Yeah , but it's just the the off hours between that you will work alone ."
"[40:14] Speaker_D | Yeah , okay . Yeah , okay ."
[40:18] Speaker_D | Mm-hm . Mm .
[40:20] Speaker_D | Yeah .
[40:20] Speaker_C | Mm .
"[40:31] Speaker_A | Okay , so more time during the individual work phases . Um okay well uh I just got my warning for the last five minutes , so I'll move on to I guess my last slide , yes , which is the closing . Well uh , we managed , but we did it very quickly . I don't know if that's the best way to when it isn't is it when it is too expensive to quickly re-arrange it and say , okay , this is it , but we had to do it , huh , because we have to have a design , and that is within the budget . And we evaluated . Maybe we should re-evaluate uh the product , but we did that before , and we also evaluated the project . And I think uh everybody's uh very happy . At least I am , with the results , so uh celebration , well , for the three of you , because uh I have to write the final report now . But uh well , thank you very much for your co-operation , and I had a very nice day so far . Okay ."
[40:34] Speaker_B | Huh .
[41:12] Speaker_D | Yeah .
"[41:21] Speaker_C | Yeah , sure ."
[41:22] Speaker_D | No prob .
[41:24] Speaker_C | Oh thank you .
[41:24] Speaker_D | Mm-hmm .
[41:28] Speaker_C | Bling . You're fired .
[41:30] Speaker_D | I think you do .
"[41:33] Speaker_A | Yeah I have t I think we also have to go to our own rooms again , but um well I at least . But maybe you can try uh to make a screen shot of this , so I can try to include it in the final report ."
[41:36] Speaker_B | We do ?
[41:36] Speaker_C | Mm .
[41:43] Speaker_B | Yeah .
[41:44] Speaker_B | Uh th that that one ?
[41:46] Speaker_C | You cannot you can save it .
"[41:46] Speaker_A | Yeah , maybe . wants to , but at least this one . I know , we should remove this , but it won't h"
"[41:47] Speaker_B | You can just Yeah , but it's it isn't a picture or , well , is it ?"
[41:50] Speaker_C | You s uh file save as the J_ PEG J_ PEG .
"[41:53] Speaker_A | Okay . And uh please put it in the project folder then , huh ."
[41:57] Speaker_D | Can you find it as a J_ PEG ?
"[41:58] Speaker_B | No , isn't possible . But you can make a screen shot , I think ."
[42:06] Speaker_D | No .
[42:09] Speaker_C | No .
[42:11] Speaker_B | Yeah .
[42:11] Speaker_C | Okay .
"[42:16] Speaker_B | Uh oh , export ."
[42:19] Speaker_C | Ah .
[42:22] Speaker_C | Oh thank you . Whoo-hoo . Let's let's have party . Let's have some fun . Huh ?
[42:23] Speaker_B | Images .
[42:26] Speaker_B | How big do you want the images ?
[42:28] Speaker_A | How big ? Uh
[42:29] Speaker_B | Yeah .
[42:31] Speaker_A | not too big . Whatever you think is good .
[42:32] Speaker_B | This one ?
"[42:33] Speaker_D | Six hundred . No , I yeah ."
[42:35] Speaker_D | I think eight hundred six hundred is better .
[42:38] Speaker_B | This one ?
[42:38] Speaker_D | Yeah .
[42:38] Speaker_C | Yeah .
[42:41] Speaker_C | If it browse .
"[42:42] Speaker_D | Nah , name ."
[42:48] Speaker_C | Desktop .
[42:50] Speaker_B | Well it isn't on the desktop .
[42:52] Speaker_D | Hey .
[42:53] Speaker_C | Mm ?
[42:56] Speaker_C | I do not know .
[42:57] Speaker_B | You can only save it in my documents .
[43:01] Speaker_C | Oh ?
[43:04] Speaker_D | Oh my God .
[43:05] Speaker_C | Yeah .
[43:07] Speaker_B | Oh .
"[43:09] Speaker_B | Oh , alright ."
[43:12] Speaker_B | Yeah .
[43:13] Speaker_C | Okay .
[43:19] Speaker_B | Yeah .
[43:22] Speaker_B | Three .
[43:28] Speaker_D | Yeah .
[43:31] Speaker_D | Ten .
[43:32] Speaker_B | Yeah .
[43:32] Speaker_D | Uh .
"[43:36] Speaker_B | Yeah , alright ."
[43:36] Speaker_C | Okay .
[43:41] Speaker_C | Alright .
[43:43] Speaker_B | Yeah .
[43:45] Speaker_C | Oh .
[43:55] Speaker_D | Peace out nigger .
