[00:22] Speaker_B | Hello .
"[32:40] Speaker_D | Yeah . Well I guess this this button , the the the okay , menu okay . Or you can incorporate two uh difference uh different buttons . Uh like uh for your mobile phone ."
[32:45] Speaker_A | Menu okay . Yeah .
[32:57] Speaker_A | Mm .
[33:01] Speaker_A | Back . Yeah .
[33:09] Speaker_C | Mm-hmm .
[33:25] Speaker_C | Yeah .
"[33:28] Speaker_B | Yeah okay but we we have a m yeah but maybe that's that's not uh yeah if you're if you're z zapping uh with your uh yeah remote control , you can press the the menu button , and then you are suddenly into the the yeah the display ."
[33:28] Speaker_D | Yeah because this this is used for both .
[33:33] Speaker_A | Smart ?
[33:45] Speaker_C | You wanna separate uh .
[33:47] Speaker_B | Yeah .
[33:49] Speaker_A | Put it on top .
[33:49] Speaker_B | Yeah j just just group group the yeah we make these the advanced functions and these the basic functions . So we make a yeah a line between them .
[33:57] Speaker_A | Mm-hmm .
[33:57] Speaker_D | Yeah .
"[34:02] Speaker_D | But we should place the screen on top , right ?"
[34:06] Speaker_B | F oh yeah . Okay yeah we swap uh Okay .
[34:08] Speaker_A | But that's uh J Jurgen's department .
[34:08] Speaker_D | Yeah .
[34:10] Speaker_D | Yeah . You just you just find out and .
[34:12] Speaker_A | You just make the layout . You do we do the extra two buttons or not ?
[34:14] Speaker_B | Okay .
[34:19] Speaker_C | I think you should . It's easier . If you put too many functions in one button it gets confusing .
[34:20] Speaker_A | Yeah .
[34:25] Speaker_B | Yeah . So we have a a menu button and a s
[34:25] Speaker_D | Yeah .
[34:25] Speaker_A | Yeah okay . That's true .
"[34:28] Speaker_A | And to , okay and back , also ."
"[34:29] Speaker_D | Yeah . Yeah , or confirm and back . Whatever ."
[34:30] Speaker_B | Okay . Okay and back button .
[34:32] Speaker_A | And of course the four arrows .
[34:34] Speaker_D | Yeah .
[34:35] Speaker_C | No .
"[34:38] Speaker_D | Should we save this picture , or or you know what it looks like ?"
[34:46] Speaker_A | Yeah .
[34:48] Speaker_B | That's the the one with the yeah okay .
[34:52] Speaker_A | Menu button access the menu in the L_C_D_ screen .
"[34:55] Speaker_D | And then with these buttons , woa , y you navigate ."
[34:57] Speaker_A | You can navigate .
[35:00] Speaker_B | Okay .
[35:01] Speaker_A | But you can also navigate the channels . And the volume .
[35:04] Speaker_B | Okay so that that's not uh Yeah that Those are
[35:06] Speaker_A | Those are both both yeah .
[35:08] Speaker_B | multifunctional .
[35:08] Speaker_C | Hey is it interesting for users if we put LED lights under the buttons ? So that if you uh press on the menu function that only the buttons that are used for the menu are ligh li light up .
[35:20] Speaker_D | Yeah .
[35:22] Speaker_D | L l litten up yeah .
[35:23] Speaker_B | Yeah .
[35:25] Speaker_D | That's very good idea .
[35:25] Speaker_A | Oh five minutes .
"[35:27] Speaker_D | Alright . Yeah that's a good idea because then it becomes clear which buttons are active now , which you can use ."
[35:33] Speaker_C | Yeah and then it's also easier to integrate several functions in one button .
[35:38] Speaker_B | Yeah .
[35:39] Speaker_D | Yeah .
[35:42] Speaker_A | Anything else ?
"[35:43] Speaker_D | Those buttons are are lit up . But just one thing . Should we use those two ? Them ? Or only this to to scroll ? And then use the two functional buttons to confirm , to go into something ?"
[35:44] Speaker_C | I think not .
[35:57] Speaker_D | Oh no we have to use this to adjust some some bars ?
[36:00] Speaker_A | Volume .
[36:00] Speaker_C | Yeah keep it optional 'cause maybe you can you know go left to right and up and down in a in one menu .
"[36:06] Speaker_D | Yeah . And maybe we should use this also as an okay button , still . And then just only a back button ."
[36:14] Speaker_A | Well we have those buttons . We use all four .
"[36:15] Speaker_C | The pr the problem with the okay button in the middle is , sorry"
[36:20] Speaker_A | Yeah okay go ahead .
[36:20] Speaker_D | Yeah ?
"[36:21] Speaker_C | sorry , uh is uh if you're pressing up and down , you can easily press the okay once you , when you're not already at your choice ."
[36:26] Speaker_B | Yeah .
[36:28] Speaker_D | Yeah .
[36:28] Speaker_B | So maybe make one uh one okay button and and one navigation button .
[36:31] Speaker_D | And one back .
[36:31] Speaker_A | Yeah that was already decided .
[36:35] Speaker_B | Yeah the with with the the channel and the volume uh yeah m a multifunctional navigation button .
[36:42] Speaker_B | Yeah okay . Yeah .
[36:42] Speaker_D | Yeah .
[36:47] Speaker_D | Yeah .
[36:48] Speaker_D | Yeah .
[36:48] Speaker_C | That's okay .
[36:52] Speaker_C | Already .
[36:59] Speaker_D | Yeah .
[37:03] Speaker_C | Alright . How m how long is the lunchbreak ?
[37:06] Speaker_A | I don't know .
[37:08] Speaker_C | Okay .
[37:14] Speaker_A | No I th believe there's first lunch break .
[37:19] Speaker_C | Mm .
[37:21] Speaker_B | Okay . Yeah .
[37:22] Speaker_A | Yeah ?
[37:23] Speaker_A | 'Kay .
[37:24] Speaker_D | Yes .
[37:27] Speaker_B | 'Kay .
[37:30] Speaker_B | Yeah .
[37:31] Speaker_D | Yeah .
[37:32] Speaker_D | Time pressure .
[37:36] Speaker_A | Yeah it's a lot of pressure .
[37:38] Speaker_C | Yeah .
[37:40] Speaker_C | Sorry for my uh not finished presentation uh .
[37:42] Speaker_A | That's okay .
[37:44] Speaker_D | Yeah we'll kick your ass later . No . Uh .
[37:49] Speaker_A | I don't know if it works but it should be saved .
[38:00] Speaker_D | Okay . We'll see . Just put back my laptop .
[38:03] Speaker_A | Should be here . Smart board .
[38:05] Speaker_D | Alright . Yeah you can open it with the picture preview or stuff like that .
[38:05] Speaker_B | Okay .
[38:09] Speaker_B | And uh we have to make uh some maps with uh with the all the the data we uh gathered .
[38:13] Speaker_A | Yeah . I try to organise it by these three .
[38:18] Speaker_A | Yeah yeah yeah .
[38:22] Speaker_A | I don't really mind . I just put the minutes here and we'll see .
[38:29] Speaker_A | Yeah that's in the functional design uh folder .
[38:31] Speaker_B | Okay .
[38:33] Speaker_A | Yeah . Yeah that's just basically what I just showed .
[38:36] Speaker_B | But where do you did you get the newsflash ?
[38:37] Speaker_A | Yeah . Yeah I got it by yeah .
[38:38] Speaker_B | You're the only one uh okay .
[38:43] Speaker_C | Alright .
[38:44] Speaker_B | Okay .
[38:44] Speaker_D | Alright .
[38:45] Speaker_B | Yeah .
[38:56] Speaker_A | Yeah .
[38:57] Speaker_C | Alright .
[38:58] Speaker_A | I believe so .
[39:03] Speaker_C | Mm-hmm . I dunno where she .
