[00:22] Speaker_C | Yeah .
[39:02] Speaker_A | Yeah . Mm yeah .
"[39:05] Speaker_C | Alright . Yeah , you you can use um"
"[39:19] Speaker_B | But would it have that in the untruncated version then , like would it s would the output be the untruncated version ? It will probably um no , I don't think it would ."
"[39:24] Speaker_C | Uh probably not . No , no ."
"[39:38] Speaker_C | Yeah , maybe I should try something different and just programme it for myself ."
[39:53] Speaker_C | Mm .
"[39:58] Speaker_B | T I mean , let's just keep on talking meanwhile and I'll try to start that up ."
"[40:04] Speaker_B | It's it's it's really d it it's a very simple thing , but it it basically just"
"[40:08] Speaker_B | does something which tells you how specific a word is . In a sense it's in a it's it's basically just to to a high degree really telling you how r how rare a word is or how common a word is . But uh as as the first step that's probably for for a prototype for next week that's probably not a bad thing , I mean even if it's just that . Even if you just like if you have segments where where lots of rare words occur , highlighted in darker red than segments where all the very common words occur . That's just that's somewhere to start from ."
[40:19] Speaker_C | Mm-hmm .
[40:27] Speaker_D | Hmm . Yeah .
"[40:39] Speaker_B | And it's it's a bit more sophisticated than that , but then de facto it just ends up doing that mostly , from what I figured out ."
"[40:56] Speaker_B | Actually I think I'm not gonna not gonna start that now , because that's probably gonna take too long ."
"[41:05] Speaker_B | if we get it on a word by word basis whatever you do it'll probably appear in a word by word basis , and what you have on a sort of segment but not quite segment base ."
[41:10] Speaker_C | Mm-hmm .
"[41:15] Speaker_A | Yes . Yeah , I mean I haven't really decided on uh how to really get the information out of this now , because um when I have for example um increased speaker overlap , that applies to several turns of course . But I could give um the information about , yeah , how how important this is to each of those segments ."
"[41:42] Speaker_B | 'Kay , what about the following model ? I mean this is a very unscientific way of doing it in some sense , but what if we if we take time as the standard unit for now and sort of like make a massive one segment split super-array . Because everything you're doing can in one way or the other be ti tied down to actual time . So if we if we if for if for each one segment time slot we could attach a value , and then it would be easy to then go back when if we have the time marks here , and re-map that onto onto the length of a segment , you know what I mean ? So if you have for each word say and we know that word starts at this segment and ends at that segment , and you have for like for some time period w the overlap and that period on the F_ ones and that period or something . So you also have a value which can be tied down to a time . And then we could just in m in Matlab or in something just create some massive super-array of"
"[42:36] Speaker_B | of things for each for each like sort of time sampling slot and and calculate a value for this , and once we have this array ,"
"[42:45] Speaker_B | we can go with the script and sort of go for each segment to the starting and end times and say okay , this is from our time segment f here to this time segment there . So we take the some of those and divide them by by the number or something , create the average and put it in as the value for the segment . You know what I mean ?"
"[43:01] Speaker_C | Yeah , but how can we get to know what makes sense as a a function for joining everything together ? Might be difficult to find that out . Yeah ."
[43:09] Speaker_B | Oh .
"[43:22] Speaker_B | We don't have a way of usefully evaluating automatically what's good and what's bad , so it's it's probably always gonna be a question of looking at it and saying okay , like running it with different different factor loadings and seeing okay , this way it works this well and this way it works that well ."
[43:28] Speaker_D | Hmm .
[43:54] Speaker_D | Hmm .
[43:56] Speaker_C | Mm-hmm .
[44:00] Speaker_B | But it probably be more difficult for mapped t to map for you to map it on so for you sort of i
"[44:05] Speaker_A | Yeah sure , but I could then if I if I have um the value for a segment , I would perhaps just give all the"
[44:13] Speaker_A | important wor or mm yeah no .
"[44:17] Speaker_C | You you could always find out how many words there are in an utterance , couldn't you ?"
[44:22] Speaker_A | Yes .
"[44:23] Speaker_B | Yeah , but so you say that inst like you basically say w having an array where each each cell is is one like is o is one word . . And then you would map your information onto individual words ."
[44:32] Speaker_A | Mm-hmm .
"[44:37] Speaker_A | Yeah , I would say that someone have to break it down , aye ?"
[44:40] Speaker_B | Hmm ?
"[44:42] Speaker_A | I would probably somehow have to break it down to to that level , yeah ."
"[44:50] Speaker_A | Yes , sure ."
"[44:53] Speaker_B | 'Kay , and and then we could have like some type of just point in the end where the one scores from the all the individual word cells get multiplied all with like for each utterance or whatever . You have get all multiplied with the same value all the ones that are within that utterance . That's sort of the combination of of the two scores ."
"[45:11] Speaker_A | Yeah , probably somehow it should work that way ."
[45:13] Speaker_C | For example .
[45:14] Speaker_B | And then we'd have to go back again and then put that back into that segment mode here .
[45:19] Speaker_C | Mm .
"[45:20] Speaker_B | So that we because in the end we don't want it on a per word basis , but probably on a per segment base ."
"[45:26] Speaker_A | Yeah , but then okay , but th at that moment it would be better for me to just make it on a per-segment basis right way , and let her adapt it also to the segment basis ."
[45:32] Speaker_D | Hmm .
[45:33] Speaker_C | Mm .
"[45:35] Speaker_B | Oh , yeah yeah , actually that yeah , that's true , so that it's easier if you"
[45:36] Speaker_C | Mm-hmm .
"[45:40] Speaker_B | are able to yeah well , I think that's probably back where we started at this . But you said it wi but you said it's more complicated , because your segments aren't those segments exactly ."
[45:44] Speaker_A | Yeah .
[45:58] Speaker_D | Hmm .
[46:01] Speaker_B | Hmm . And their segments do overlap .
[46:06] Speaker_B | Uh the tho those do or those don't ?
"[46:11] Speaker_A | they're I mean my segments overlap in the same way as theirs do . But sometimes I have um split one of the segments into two segments , but it's easy to match the start and end times to map it to their segments ."
[46:15] Speaker_B | Mm-hmm .
[46:23] Speaker_B | Okay . So you could on their granularity you could on their granularity create a score like for each for each of their segments .
[46:33] Speaker_C | Mm .
"[46:36] Speaker_B | Well I guess I mean for you , if you know for each word , if you find that out , then it has to be possible , because if we know sort of this is going from word to word or it this is going from time to time and then there has to be a way then for you say okay , this concerns these following words , and then just make make a simple mean over them ."
"[46:40] Speaker_C | Yeah , then we sh yeah ."
[46:55] Speaker_B | I think an interesting thing is if we don't combine your two scores in the
"[47:02] Speaker_B | in the X_M_L_ file you had , but if we do that in the software , then we can probably make ways of playing with it in the software and sort of l you know like adapting some sort of control , like playing around with look like it's playing with different weightings for that the utterance-based one versus the word-based one and sort of look at it dynamically . You know what I mean ?"
"[47:23] Speaker_B | Like playing around , sort of figuring out what's the best way of combining them by playing around and looking at the results ."
"[47:26] Speaker_A | Mm-hmm , yeah ."
"[47:29] Speaker_C | We could even yeah , we could even have a look at our different measures , if they um"
[47:37] Speaker_C | come up with the same same kinds of yeah .
[47:37] Speaker_B | Yeah .
"[47:40] Speaker_B | Yeah , we could probably like make a uh um graphic display initially , at least for our experimenting . We'd just place them in different ways and then see how they interact with each other ."
"[47:53] Speaker_B | Okay . Yeah . So do you think y like both of you then can map something onto their segments , like just each of you provide one value , like double value or whatever , like one decimal value or whatever onto onto exactly their segments ."
[48:17] Speaker_C | It's stated from where to where the segments go . It should be uh should be possible .
"[48:21] Speaker_A | Yeah , it's tells you even which words it is ."
"[48:23] Speaker_C | Yeah , so it must should be possible . Yeah ."
[48:31] Speaker_D | Hmm .
"[48:54] Speaker_B | 'Kay , I might just change my order of in which I do things and like forget my latent semantic analysis stuff until the weekend and try to really make sense of the"
"[49:04] Speaker_B | of the NITE data system now , so that maybe as soon as I've understood that we find ways of doing that in within the NITE framework already , so that we don't manually have to parse times and entire things together ."
[49:17] Speaker_C | You mean by matching strings . Or what ?
"[49:28] Speaker_C | Yeah , but what I've done is um a parser , an X_M_L_ parser where you can get the start times ."
[49:34] Speaker_B | Okay .
"[49:35] Speaker_C | So , yeah , that's quite easy , because it's it's an attribute and you just s say that you want the values of those attributes ."
"[49:41] Speaker_B | Mm-hmm . Mm-hmm . So provided that you get your words in the right order , do you think it is an easy task for you to it it's a f relatively feasible task for you to to get just a single value per segment ?"
[49:56] Speaker_B | Okay . And you say you think you're able as well to map onto those segments .
[50:01] Speaker_A | Yep . Should be possible .
"[50:03] Speaker_B | And if you're both able to map into those segments , then we should be able to get one file where we have like whatever two values , value A_ and value B_ both as attributes for"
[50:12] Speaker_C | Mm .
[50:14] Speaker_B | for this .
[50:17] Speaker_B | And that we could load into a prototype and see what types of disp what ways of displaying this information are there .
[50:24] Speaker_A | Yep .
[50:53] Speaker_B | Hmm .
[50:59] Speaker_B | Mm-hmm .
[51:04] Speaker_B | Hmm .
[51:04] Speaker_D | Hmm .
"[51:12] Speaker_B | There's probably also social interaction factors in that there's sometimes just a meeting like if people adapt their F_ zero to each other , then they're sometimes p"
[51:13] Speaker_A | I'll probably look at it .
[51:23] Speaker_B | Yeah .
"[51:26] Speaker_A | Yeah , but it could mess up things quite considerably ."
"[51:29] Speaker_B | Can you not do something like just like not measuring the F_ zero or the amplitude at all , but just like the variance of F_ zero within a certain time frame and like sort of like just have some part for its very low variance with more the same F_ zero and one where there's a lot of more variance . I don't well actually I don't know about that at all ."
"[51:44] Speaker_A | Yeah . But uh ar yeah . But all this is quite , you know , data-intensive . I when I um let the um just calculate the average F_ zero levels , it I think it needed more than half an hour , considerably more than what have half an hour f to delay it for our meetings , because um yeah , m I mean we have seventy five hours per , yeah , av average of six speakers , and they're measured every O_ point O_ one six seconds . And that gives us quite a lot of values ."
[51:50] Speaker_B | Yeah . Sorry .
[52:01] Speaker_B | Mm .
[52:04] Speaker_B | Hmm .
[52:22] Speaker_B | Okay .
"[52:33] Speaker_A | Yeah , what I did at the moment is um I um , yeah , I got the F_ zero values from for each speaker for his headphone , and I only take those um the w uh that were recorded at the time where he was actually speaking . And for those I calculated um the average ."
[52:42] Speaker_B | Mm-hmm .
[52:51] Speaker_B | Mm-hmm .
[52:58] Speaker_A | Zero . So that gave me um now one value per speaker per meeting .
[53:06] Speaker_B | Okay .
"[53:09] Speaker_B | Um so what you would be feeding in would be just like one value per speaker per meeting , so that oka that that's that's your average baseline , okay okay . No yeah , that that makes m yeah , that makes a lot more sense , yeah . So that would show you how much relative to how he sort of how he's performing generally in that meeting relative to that how he's in a specific segment . He or she ."
"[53:14] Speaker_A | No no , that's just the average . No , that i yeah ."
"[53:30] Speaker_A | Yes , I mean I r just uh needed to have this value now to relate um m how yeah ."
[53:35] Speaker_B | Yeah . Yeah . And for you that would be quite easy to translate into those segments .
"[53:42] Speaker_A | Yeah , I think . Yeah ."
[53:48] Speaker_A | Um amusement and so on is yeah .
[53:48] Speaker_C | Because you could take that on ours out maybe . If you take the laughter out and then calculate it .
[53:55] Speaker_C | Mm . Yeah .
[53:57] Speaker_B | Hmm .
[53:58] Speaker_A | Because it's quite funny to have a m male speaking at two hun two hundred um .
"[54:09] Speaker_B | The Castrati corps of the International Computer Science institute . Oh well . I'm afraid I have to go soon . But not quite sure , I mean is there anything more we have to talk about anyway ?"
[54:22] Speaker_C | Not the moment . Maybe if we meet at the weekend .
"[54:28] Speaker_B | Yeah . See , as soon as as soon as I'm halfway through my L_S_A_ like basically as soon as I have the the matrix built , if of the document by word stuff , it's very easy to then calculate for each word a score , and I can just give you those scores and you can do with them whatever you want ."
[54:28] Speaker_C | Oh I don't know .
"[54:45] Speaker_C | So uh no , how about the the prototype . If we want to show him something on Monday , we definite have to work together . Some of us at least have to work together to get it running probably ."
"[54:57] Speaker_B | Yeah , I think Colin , Dave and me will actually work on on the Java stuff , and it and we'll just see whatever you whatever you supply us , we'll try to tie in and visualise in some way or another ."
[55:06] Speaker_C | Alright .
[55:09] Speaker_B | Um I'll ask Jonathan if we can postpone the meeting to one o'clock . So that would give us a chance of meeting in for an hour before that to discuss the questions that we had .
"[55:15] Speaker_D | Yeah , that sounds like an idea ."
"[55:23] Speaker_D | Yeah . Yeah , just send us an email and tell us what's happening ."
"[55:26] Speaker_B | Yeah , I haven't gotten like sort of my confirmation that w Wednesday is fine . I'm not sure if I'm supposed to expect a confirmation for my confirmation from him now or but I'll just email him again and s ask him if we can maybe make it one sorry , we said twelve and I'm asking if he can make one . This is a bit frustrating at the moment , this project , isn't it ? It's so like difficult to to get to the point where you understand enough to really feel that . I don't know , I'm not feeling that I'm really working at the moment , I'm more just trying to make sense of everything . And it's a bit too far into the meeting for that , and into the project for that ."
[55:56] Speaker_A | Mm-hmm .
[56:08] Speaker_B | Hmm .
"[56:12] Speaker_B | I guess as soon as we have a framework in the w in the type of the prototype where like sort of each of us can tie in their stuff and see what it l how how it looks like and how it performs , you know . That probably makes it a lot easier then , but it's sort of it's a boot-strapping problem , like for the prototype we need some type of data , but to develop the data it would be a lot easier to to have the prototype ."
[56:30] Speaker_A | Yeah .
"[56:32] Speaker_B | Anyway , I gotta go ."
"[56:32] Speaker_A | Yeah . So I mean you will be happy with some data , even if it doesn't make much sense ."
"[56:33] Speaker_C | Yeah , me too ."
[56:34] Speaker_C | .. .
[56:36] Speaker_B | Hmm ?
"[56:37] Speaker_B | Yes , but if it's if it's in a form which is easy to read in at the moment , that would be fine . Sort of like if basically if we have something like this segments file , but for each of you like just have one attribute . I think it's really easy if we don't merge them before-hand , but if we let them if we combine them in the prototype or don't at the moment , because then we can easily d display them individually , c contrast them to each other and play around with how y to combine them ."
[56:56] Speaker_A | Try uh try yeah . Mm-hmm .
"[57:05] Speaker_B | Exactly , yeah . Yeah . And I mean computationally multiplying two integers or doubles or whatever shouldn't be the thing that slows us down ."
"[57:12] Speaker_A | Yeah , if it's already on segments base , that's not too much ."
[57:15] Speaker_B | Yeah .
[57:17] Speaker_C | Okay .
[57:18] Speaker_B | Alright .
[57:21] Speaker_D | Right .
