[00:00] Speaker_D | Sixteen times zero .
"[42:50] Speaker_D | To we probably won't want to display ninety . We'd want to rate them as how important they were , wouldn't we ."
[43:05] Speaker_D | Yeah .
"[43:06] Speaker_B | Again , I'd say probably a good way of going about that question is to have a control which we can vary in the dis and then just sort of because that's in the end how it's gonna be evaluated . You know , in the end it this is gonna li I mean we're gonna present it and say yeah , so this our it shows disagreements . And then we see what what looks good and what looks I think probably it looks credible if like an u if every sort of every topic segment has um w yeah , or like or like something in between the three and and five agreements , but not more . Or probably maybe less but not much less and actually the I think there doesn't have to be one in everything ."
"[43:13] Speaker_D | Yeah , and see how it turns out ."
"[43:44] Speaker_A | Yeah . Probably have to plot them 'cause some of them are also I mean this is just added by different speakers for example . They are immediately following one another . But it's just two speakers agreeing I think . Same for this one here , for these two here ."
"[44:00] Speaker_D | So yeah , we'd probably want to merge ones that were very close into one ."
[44:04] Speaker_A | I mean they they will be optically merged anyway .
[44:07] Speaker_D | Yeah .
"[44:19] Speaker_B | Yeah , d I'm yeah , I was just thinking that it can act it can probably be done on display level ."
"[44:31] Speaker_D | Yeah , it's looking quite good though ."
"[44:32] Speaker_B | This one crashed . Mine just crashed I think , which is bad . It probably just it kept on playing and now reached some whatever ."
[44:56] Speaker_D | Yeah .
[45:02] Speaker_A | But actually this all here is N_L_S_S_D_ because it was data A_ that didn't fit on my um quota anymore . Okay .
"[45:15] Speaker_C | So Toby , you wanted to uh have keywords for each topic segment or something ? Um who would uh who uh provides the values for that ?"
[45:25] Speaker_D | Yeah .
[45:25] Speaker_C | No one .
"[45:26] Speaker_B | I think sort of the bottom line and which might well end up what it's gonna be like is that we take the single highest ranked utterance and put that as a t as a title , like realistically looking at this from the the time we have left to do this and stuff ."
[45:31] Speaker_C | Right .
[45:34] Speaker_D | Yeah .
[45:41] Speaker_C | Because what I do is um having um values for each segment at the moment . So I could just extract the highest ones for each segment . I don't know if that's good or bad . It could be at least I could provide some value .
[45:51] Speaker_B | There w
"[45:54] Speaker_E | That could be good , yeah ."
[46:05] Speaker_C | Uh it it doesn't matter to me . I could do both . Okay .
"[46:07] Speaker_B | 'Cause be check out what they would be like on a word basis . Maybe actually if it if there's one word which is very typical , I mean it's probably some word like uh , because that's like the only time that uh was spelled with three A_ and stuff . I think that actually that might be a problem of the whole um annotation that if they aren't exactly consistent in how they descri uh transcribe stuff like that , then we probably can't yeah . 'Cause that's when we're thinking sometimes , like why is mm high . But then probably it's the only time that mm was spelled with a dot at the end and stuff . So But yeah , like if if single w"
[46:23] Speaker_C | Mm .
[46:35] Speaker_C | Mm .
[46:39] Speaker_D | Maybe we should um download a dictionary and check our utterances before we uh listen to make sure that they're actually real words . Do you see what I mean ?
[47:03] Speaker_B | Well let's say at least they do it uh consistently enough that I think you can filter them out fairly well .
[47:04] Speaker_E | Hmm .
"[47:12] Speaker_D | Yeah , I mean see how it turns out . If they look good , then that's a good way of doing it as any , I suppose ."
[47:18] Speaker_C | Yeah .
"[47:19] Speaker_B | Yeah , so if you if like I mean if the single ha best one word for a for a segment is interesting , that would be really good ."
[47:27] Speaker_C | Hmm .
"[47:31] Speaker_D | Actually , what I think you should do is take the highest three or four and then just merge them together into one utterance . It wouldn't make any sense , but it'd give you an idea of what they're actually talking about , if you see what I mean ."
[47:47] Speaker_C | Yeah .
"[47:47] Speaker_B | 'Kay , we're going backwards here now , it suddenly crashes and hangs ."
[47:49] Speaker_C | Especially when the segments are really long .
[47:51] Speaker_D | Yeah .
"[47:56] Speaker_B | Yeah , I mean that was that was sort of in the original of then , the nice fancy drawings that we gave Steven . I mean that was part of it that sort of within the segment you had these sub-segments and each of them had different words and whatever happened to our dreams ? Are there assignments . No , I don't think we have ."
"[48:09] Speaker_D | Yeah , I don't think we're gonna have time for that ."
[48:14] Speaker_D | Which is a shame 'cause it would've been cool .
[48:17] Speaker_B | Yeah .
[48:17] Speaker_E | Hmm .
"[48:19] Speaker_E | Yeah , are we gonna have time to make it display like a whole archive of meetings ? Or is it just gonna be displaying single meetings and you'll hold up different ones ?"
[48:25] Speaker_D | Um at the moment it doesn't really care how many meetings it's displaying .
"[48:32] Speaker_D | Just draw a big black line on the borders , I think ."
[48:36] Speaker_E | Hmm .
"[48:37] Speaker_B | Oh , so j you you are think of loading them all at once ."
[48:42] Speaker_B | Yeah .
[48:44] Speaker_B | Yeah .
[48:50] Speaker_B | Yeah .
"[48:50] Speaker_E | Yeah , the see , at the moment the dialogue I_D_s just they start at zero for each meeting , they don't run um continuously . But you w you'd like them to run continuously ."
"[48:55] Speaker_D | Do they ? Ah . Yeah , I'd prefer them drawn continuously ."
[49:00] Speaker_B | Yeah .
"[49:01] Speaker_E | Yeah , I can change that ."
"[49:03] Speaker_A | Okay , then you you will provide a file with all the mappings from the old ones to the"
"[49:08] Speaker_E | Yeah , just to change the index files as well ."
[49:11] Speaker_B | 'Kay .
"[49:11] Speaker_D | Okay . Because that way , all we have to do to display ea more than one meeting is have a harder boundary drawn ."
[49:13] Speaker_A | unique ones .
"[49:20] Speaker_B | Yeah . Yeah , I think that like the dr the drawing has to be changed anyway , the it's not ideal at the moment . Um yeah , so if performance-wise it generally works fine for the display it shouldn't make much of a difference , 'cause I think everything in the display code is just from the first until the last one displayed . So if if the other performance is okay , then we should really just load the whole thing in ."
[49:45] Speaker_B | I'm very dis
"[49:45] Speaker_D | One thing we will have to do is we want we'd really want a different behaviour if we clicked on a whole meeting than a segment . So if there's more than one meeting displayed , it should um if you click even on one the segments of that meeting , I think it should re-initialize and display that just that meeting ."
[50:07] Speaker_D | So I'm not su I'm not sure how easy that would be to do .
"[50:20] Speaker_D | It just needs to know whether it's displaying more than one whole meeting , doesn't it . That's the only"
[50:27] Speaker_D | knowledge it would need .
[50:30] Speaker_B | Yes .
[50:33] Speaker_B | Yeah .
"[50:33] Speaker_D | But anyway , we can sort that out if we have time once we've got everything else ."
[50:35] Speaker_B | Yeah . That's probably fairly simple to do actually if we do it in that most primitive way of just saying as long as you display more than one meeting .
[50:44] Speaker_D | Yeah .
[50:46] Speaker_D | That'll get s s sufficient to claim that we had implemented some kind of zoom as well .
[51:01] Speaker_D | Yeah .
[51:05] Speaker_E | Mm .
"[51:19] Speaker_D | Yeah , it's not done the very clever way , but it does work ."
[51:29] Speaker_D | Mm-hmm .
[51:38] Speaker_D | Basically do a code for ease on it .
[51:41] Speaker_E | Do you want me to put a search in soon ?
"[51:44] Speaker_D | Um I'll probably tonight just work on getting a frozen version that works consistently . And um if you could document it for me , that's probably enough for me to add it in . Unless you want to do it . But my code , I've not documented the programme manager class . So though it's a bit hairy at the moment , isn't it ."
"[51:48] Speaker_E | No , oh yeah ."
[51:57] Speaker_E | Yes .
[51:58] Speaker_B | Uh And if an
"[51:58] Speaker_E | Yeah well , we'll work on it , yeah ."
[52:09] Speaker_D | Uh-huh .
[52:34] Speaker_E | Hmm .
"[52:41] Speaker_A | Mm-hmm , yes ."
"[52:50] Speaker_D | Okay , so probably what you'd want to do is um"
[52:55] Speaker_D | detect where the mouse is and change the default tool tip for that component .
[53:02] Speaker_D | Because it automatically displays at the correct position when you hover .
"[53:18] Speaker_D | Yeah , you might nor really want to be creating a new one every time you move the mouse ."
[53:30] Speaker_D | I'll have a look through some of my Java books 'cause it might be the sort of thing they have in there .
"[53:35] Speaker_B | Yeah . I found some stuff about it on the web and it just looked to me like proper coding , like I saw half-page code samples which effectively just displayed a tool tip and I didn't have the time at that point to get deeper into that . So if anybody gets any good samples of that Never . Anyways , that is that it for now ?"
[53:47] Speaker_D | Mm .
[53:56] Speaker_E | Yeah .
[54:10] Speaker_B | Yeah .
[54:10] Speaker_D | Okay .
"[54:14] Speaker_B | Is there any DICE machines in this building ? Freely accessible for me . Can you show me where because I'm actually not going to Appleton Tower at the moment . So then I don't have to go up and down . Actually no , but I have to go there anyway and put a piece of paper on two machines where some stuff of mine is running on ."
[54:16] Speaker_E | Mm-hmm .
[54:17] Speaker_C | Mm .
[54:19] Speaker_E | Yeah .
"[54:35] Speaker_B | Yeah , and I think like I'll just I'll just kick in full time for N_L_S_S_D_ next week , 'cause there's nothing I have to do then . Apart from Cognitive Modelling , which I think I'll just do in five hours , three hours . you take a look at that ?"
[54:49] Speaker_E | Hmm .
[54:53] Speaker_B | Hmm . I might just not go for the last question because usually the last question is takes half the time and gives you five percent or something like Okay .
"[55:02] Speaker_E | Yes , we're gonna talk about the evaluation next week ."
[55:09] Speaker_D | We really need to get in contact with the other group and see if they want to do a joint evaluation .
"[55:14] Speaker_E | Yeah , we could do that ."
[55:17] Speaker_D | So you need to get their email addresses .
"[55:20] Speaker_E | Yeah , I think they're on the N_L_S_S_D_ web page . Hmm ."
[55:23] Speaker_D | Are they ?
[55:24] Speaker_B | Really ?
"[55:24] Speaker_C | At least their names , and if we have their names then we can get their email ."
"[55:25] Speaker_D | That'd be handy . Yeah , we can get them ."
[55:27] Speaker_B | Okay .
[55:34] Speaker_C | Mm .
[55:41] Speaker_D | Yeah .
"[56:04] Speaker_B | Yes , it's um it's probably some version of the frame problem . Frame plob problem . Hasn't been clear to me ."
"[56:16] Speaker_D | No , I think it's coming together not bad at the moment actually ."
[56:20] Speaker_E | Yeah .
[56:21] Speaker_A | Um by the way how long um how much time do we have for the presentation ?
[56:26] Speaker_D | Don't know .
"[56:27] Speaker_E | Yeah , probably as long as we need . But yeah , I don't know . Half an hour or some"
[56:29] Speaker_D | Yeah .
[56:35] Speaker_D | I can't see it going on for an hour to be honest .
"[56:36] Speaker_E | Yeah , half an hour probably ."
[56:38] Speaker_B | I reckon that probab
"[56:38] Speaker_A | Yeah , I mean if you if you if you present the components of what it it's based on , then you will need more than twenty minutes to present it , I guess . It's question ."
"[56:48] Speaker_B | But if you just present the functionality of the thing , if you're not like I don't think this presentation is about the internal working . So yeah . So for a demo , I think realistically since everything in this university sort of works in one hour slots and stuff . So if it's two groups then it probably it's gonna be roughly half an hour-ish ."
"[56:54] Speaker_D | Yeah , I thought it was a demo basically ."
[56:54] Speaker_E | Hmm .
"[56:56] Speaker_E | Yeah , I think ."
[57:05] Speaker_E | Yeah .
[57:09] Speaker_B | Hmm ?
[57:17] Speaker_D | I we maybe you should present it on your laptop 'cause we can be really sure it's running before we come .
"[57:22] Speaker_B | Yeah , but the performance is really bad at the moment on that one though ."
[57:24] Speaker_E | Hmm .
"[57:26] Speaker_B | Plus we would have to get the speech tools running on my laptop then , wouldn't we ?"
[57:29] Speaker_D | I could probably get my computer in if I could get someone to give me a lift . I know a couple of people with cars .
[57:33] Speaker_B | Mm .
"[57:34] Speaker_E | Yeah , it may be a good idea to do that . Could we guarantee that it'd work ?"
[57:35] Speaker_B | Well let's let's see . Did it it could just be fluent on the laptop for all I know . I mean like at the moment it's not too bad apart from I think the sound is stuttering and that's b I think because of the laptop . But we can only really judge that once we have sound files .
"[57:48] Speaker_D | Yeah , 'cause I wouldn't need to bring a monitor or anything , I'll just need to bring the box ."
[57:52] Speaker_E | Hmm .
[57:54] Speaker_D | I'm pretty sure I could nick a lift off someone .
"[57:57] Speaker_B | How fast is yours , Vera ?"
[58:00] Speaker_B | Mm-hmm .
[58:07] Speaker_D | Or J_ Builder . In fact you won't even you shouldn't even need either as long as you got Java installed .
[58:09] Speaker_B | Yes .
"[58:11] Speaker_B | No , that's true . Yeah , that's true . Virtual Machine should be fine . But but but that all relies on finding some way of getting the speech tools to do their job ."
"[58:12] Speaker_E | Yeah , I've been able to run it without , yeah ."
[58:14] Speaker_D | Yeah .
"[58:21] Speaker_D | Oh crap , I forgot about that ."
[58:25] Speaker_E | Hmm .
[58:34] Speaker_E | Mm-hmm .
"[58:49] Speaker_B | We can he can use my laptop as sort of like as a as a server as a sound server , but that would still mean that we have to get the speech tools running on this . No , you know , I think I mean the way Java works is that t"
[58:53] Speaker_A | Mm .
[59:04] Speaker_B | I think it'll run on on their DICE machine if we're doing it in if we well we should definitely test it the day before .
"[59:07] Speaker_D | Hopefully , yeah ."
"[59:10] Speaker_E | Yeah , I'm sure he'll let us uh test it out before we do it ."
[59:12] Speaker_B | Yeah . 'Kay .
"[59:22] Speaker_B | So Dave , are you gonna make something primitive that people can load their data in ?"
"[59:26] Speaker_D | Yep , I'll do that today . And I'll yeah , I'll make a script to run it and put that in the group directory ."
[59:34] Speaker_D | And I'll send around the email when it's done .
[59:36] Speaker_B | Yeah .
[59:52] Speaker_D | It'll be the bit where it creates the clock . Or is there stuff in the display as well ?
"[59:57] Speaker_B | Yeah the yeah . No , but the thing is the display calls methods which probably expect some so I think if the display itself isn't doing anything clocky , so as long as in the main pr in the programme manager everything clocky is is removed , but uh i w it might be worthwhile to check how much work it would be to do it over a flag , 'cause then in the end i 'cause otherwise we always have two code versions , and people might be changing the wrong one ."
[00:12] Speaker_D | Okay .
"[00:21] Speaker_D | Well , it really we shouldn't even need a flag . You should be able to do it with exceptions . I mean that's this is kinda not exact case that exceptions are made for really ."
"[00:27] Speaker_B | Okay . Okay . Yeah , that's true . I just I know that like if you don't do it with the exceptions , crashes . That's what figured out . Like if you don't have a sound card it crashes , even if you don't use sound . Yeah , okay , cool ."
[00:35] Speaker_D | Yeah .
"[00:41] Speaker_E | Yeah Dave , see in the programme manager , do you have a a method to like set the current I_D_ so it'll update the display ? 'Cause that's what I'm gonna need when I'm uh like getting search results ."
[00:43] Speaker_D | Mm-hmm .
"[00:52] Speaker_D | Oh no , it's gonna have to do something a bit more complicated than that . What it will have to do is de-register everything as time handlers and then update and then re-register them ."
[00:58] Speaker_E | Hmm .
"[01:04] Speaker_B | Uh I think the display has some method for it . I'm not actually like for the programme manager then to call . I'm not actually a hundred percent sure what it's called , but the display has some method where you tell it where to start and where to end ."
[01:05] Speaker_E | Right .
[01:19] Speaker_B | Yeah or there's gonna be something .
"[01:23] Speaker_E | Yeah , well as far as I've got at the moment , I've made a results class that's got like the I_D_ and the stuff ."
[01:26] Speaker_D | Okay . Have you got a component for displaying lists of matches ? 'Cause that'd be pretty useful . Cool .
"[01:32] Speaker_E | Yeah . Yep . I'm well , I'm working on it ."
"[01:35] Speaker_D | Okay , yeah , I mean it's not it's not too hard to do . All you have to do is de-register everything that's a time handler first before you add the stuff in . But um depends what behaviour we want . Do we want when you click on a search result , we definitely want that one to appear in the summary ."
[01:42] Speaker_E | Right .
"[01:56] Speaker_E | I yeah , and it might not be there . I know , I was thinking that might be a problem ."
[01:57] Speaker_D | Yeah .
"[02:00] Speaker_B | Okay . No sorry , I've uh I was wrong , I was thinking it's exactly the same thing that happens when we say set select no , it does not . But actually a set selection does everything you want sort of ."
"[02:09] Speaker_D | Yeah , it sets if you look at set select , that's essentially what you wanna do , yeah ."
[02:14] Speaker_D | Does it not ?
[02:15] Speaker_E | Hmm .
"[02:22] Speaker_D | Yeah , but it w it doesn't matter because um if it's jumped to in the end text area , then your display would the the line'll jump , won't it ."
"[02:33] Speaker_B | Yeah , but that only works that at the moment isn't done through our system , that's just done because then the time changes . So actually a time change would automatically put the position of the display in the right play . Uh no , but that's not a good idea , because that could well be outside the displayed area then ."
[02:43] Speaker_D | Yeah .
"[02:50] Speaker_D | Uh and also the real time and play time stuff would change . So we , yeah , we need to re-initialize the display then , don't we ."
"[03:07] Speaker_B | Anyway , the display has something useful for that . Something which probably starts with the word set ."
"[03:16] Speaker_B | Yeah , you can set the window start utterance and window end utterance ."
[03:20] Speaker_D | Okay .
[03:24] Speaker_E | Hmm .
"[03:25] Speaker_D | But yeah , we need to do something to ensure that the search result is in the summary that's created ."
[03:30] Speaker_E | Yeah .
[03:35] Speaker_D | So may we probably want a different summary constructor that takes an an additional argument of an I_D_ . And it will that w utterance will always be in the summary .
[03:43] Speaker_B | Hmm .
"[03:46] Speaker_B | Alternatively there's always the method of just giving it a really high score . As a hack , you know , like just as long as you then don't well , probably people wouldn't know ."
"[03:52] Speaker_D | Yeah , I suppose . But the trouble is that still doesn't guarantee that it'll appear because if you get enough of them that are high scored , it prefers the first ones it sees ."
[04:00] Speaker_B | Hmm .
"[04:07] Speaker_D | Yeah , I suppose ."
"[04:08] Speaker_E | W You could you could when it's when you're doing a search , you could just like sort of zoom back out so you got the full text for that segment or that meeting , rather than a summary . 'Cause that's maybe what you'd want if you were a user ."
"[04:20] Speaker_D | Hmm , maybe ."
"[04:23] Speaker_B | Yeah , probably that actually true that if you're doing a search you're usually not interested in a condensed way but in the in the full thing anyway ."
[04:28] Speaker_A | Yes .
[04:29] Speaker_E | You could provide that option .
[04:29] Speaker_D | But you could d you can um achieve the same effect .
[04:37] Speaker_D | Yeah .
"[04:41] Speaker_D | Probably the way to handle that would be to make a summary that's the same length as the selection , and that would ensure that the search term came up ."
[04:42] Speaker_E | Hmm .
[04:45] Speaker_E | Mm .
[04:49] Speaker_B | Yeah .
[04:51] Speaker_B | Yeah .
[04:51] Speaker_E | Hmm .
[04:53] Speaker_E | Alright . Yeah .
"[04:55] Speaker_B | I think proportion like I even though I'm I'm always getting myself confused about this , but I think sort of making the summary length thing generally proportion , like as a as a proportional factor of of its original length is a good way of going about it . Because anything with absolute length's sort of stupid because that means that a long long segment gets to one percent of its length and another one gets to exactly the same length and stuff . So if we're doing it by a proportion then just having one point zero or something makes it very easy to always end up at the actually that's what I've currently like the current code just takes a tenth of the summary length . So yeah . And that's the type of slider that we can actually leave in and like show 'cause that's that's functionality . Yeah , that's sort of like your level of the zoom . Of impending doom . Shall we quit here ? Anything to be discussed ?"
[05:05] Speaker_D | Yeah .
"[05:20] Speaker_D | Yeah , exactly ."
[05:27] Speaker_D | Yeah . But we'll have that slider obviously .
"[05:34] Speaker_D | Yeah , 'cause that's very useful thing ."
[05:45] Speaker_D | Yeah .
[05:51] Speaker_B | 'Cause I'm gonna copy that stuff over .
[05:53] Speaker_D | Okay . And I'll start work in say two . Will it be done by then ?
