[00:06] Speaker_A | Oh .
"[33:21] Speaker_C | Yeah , just brainstorming basically ."
[33:23] Speaker_B | Yeah .
[33:41] Speaker_C | So are we finished ?
[33:43] Speaker_D | Hmm .
"[33:43] Speaker_A | Yes , I think just I just write a final report ."
[33:46] Speaker_C | Okay . Yeah .
[33:47] Speaker_B | Quite early .
"[33:49] Speaker_A | No , we have only"
[33:51] Speaker_A | four minutes left . Uh it's okay .
[33:54] Speaker_C | Oh okay .
[33:58] Speaker_B | I thought we were done at four o'clock ?
[34:04] Speaker_B | Yep .
[34:11] Speaker_A | Okay .
[34:13] Speaker_D | Yes .
[34:19] Speaker_D | Let's play minesweeper .
[34:45] Speaker_B | One two three
[34:49] Speaker_B | four five six seven cameras .
[34:55] Speaker_B | Mm not bad .
[36:24] Speaker_B | So that was it .
[36:26] Speaker_C | Yeah . Now we can look at this .
[36:48] Speaker_B | They went for uh
"[36:52] Speaker_B | for a universal device . Yeah , but also a different device ."
"[36:53] Speaker_C | The touchscreen , yeah ."
[36:57] Speaker_C | Yeah .
[36:59] Speaker_B | Then an L_C_D_ uh would be handy .
[37:01] Speaker_C | Hmm .
[37:03] Speaker_C | Here are the
"[37:05] Speaker_C | basic functions in here , the selecting dev devices ."
"[37:09] Speaker_B | Yeah , and touch screens for all our stuff , yeah . I do agree with that ."
[37:11] Speaker_C | Hmm .
"[37:37] Speaker_B | Yeah , tu-dum ."
[37:41] Speaker_B | English is not so hard by the way .
[37:43] Speaker_C | No .
[37:49] Speaker_D | I'm breaking a world record here .
"[37:56] Speaker_B | Well , leader ?"
[38:01] Speaker_D | Oh shit .
[38:01] Speaker_B | Project Manager ?
"[38:06] Speaker_B | You do ? Yeah , you have to make a choice ."
[38:07] Speaker_D | Yes .
[38:09] Speaker_D | No it's your choice .
"[38:11] Speaker_B | Wow , that's pretty quick ."
[38:18] Speaker_D | Just pick one .
[38:19] Speaker_B | You have to decide .
[38:23] Speaker_B | It's the lower one .
[38:25] Speaker_D | What's this ? A bomb or not a bo This the bomb ?
"[38:27] Speaker_B | No no , the upper one is the bomb . Yes ."
[38:31] Speaker_D | Wrong .
[38:34] Speaker_B | I knew it .
[38:48] Speaker_D | Four in a row .
[38:55] Speaker_B | No . That's too much work .
[39:03] Speaker_B | Come on .
[39:04] Speaker_D | Is that previous work ?
"[39:06] Speaker_C | Yeah , this one ."
[39:07] Speaker_B | I challenge you .
"[39:13] Speaker_D | Oh , that's so stupid ."
"[39:19] Speaker_D | No , that doesn't work ."
"[39:21] Speaker_B | No , you gotta use the magic pen ."
[39:25] Speaker_B | Hmm .
[39:27] Speaker_B | What if
[39:30] Speaker_B | I put one
[39:33] Speaker_B | there ?
[39:34] Speaker_D | That's stupid .
[39:36] Speaker_B | We'll see .
[39:37] Speaker_D | Okay .
[39:43] Speaker_B | I don't agree .
[39:49] Speaker_D | Mm .
"[39:58] Speaker_B | Yeah , you had two choices ."
[40:06] Speaker_B | That's gonna be draw .
[40:14] Speaker_B | Or not .
[40:16] Speaker_C | Hmm .
[40:19] Speaker_D | Too bad .
"[40:25] Speaker_D | Yeah , then I put it there . No one wins ."
"[40:31] Speaker_B | It's a difficult choice , either here or there ."
[40:37] Speaker_C | This is a very interesting design .
[40:50] Speaker_D | It's just the same as normal .
"[40:53] Speaker_C | Well it has a L_C_D_ , I think ."
[40:53] Speaker_B | Oh a pen .
[40:56] Speaker_D | Okay .
[40:59] Speaker_B | Then do it correctly .
"[41:04] Speaker_B | Stupid , the L_C_D_ screen ."
[41:18] Speaker_B | What ?
"[41:20] Speaker_B | Okay , I'm going to guess what you're drawing ."
"[41:21] Speaker_D | Okay , blank ."
"[41:23] Speaker_B | No no , the new one ."
[41:26] Speaker_B | Uh they just don't save it .
[41:36] Speaker_D | I know uh .
[41:38] Speaker_B | A house ?
"[41:41] Speaker_B | Yeah , you have to use the pen s stupid ."
"[41:43] Speaker_A | You have to save everything , you know that , huh ?"
"[41:46] Speaker_B | No , not everything ."
[41:48] Speaker_D | Oh .
"[41:48] Speaker_C | Yeah , everything ."
"[41:50] Speaker_B | Pen , select select pen ."
[41:51] Speaker_D | Pen .
[41:52] Speaker_C | It wants to know what we do in our spare time .
[41:55] Speaker_B | Okay .
[41:58] Speaker_B | It's a house .
[42:01] Speaker_B | A plant ?
"[42:02] Speaker_D | No , it's Only you can know it ."
[42:15] Speaker_D | It's uh very hard to draw .
"[42:27] Speaker_B | I think I know . No , wrong ."
[42:35] Speaker_D | Mm .
"[42:36] Speaker_B | I think I know what you're trying to draw , but it's wrong already ."
"[42:48] Speaker_B | Yeah , you missed the right side ."
[42:54] Speaker_D | Fuck . F
"[42:59] Speaker_B | No , you're wrong , you're wrong"
[43:19] Speaker_B | See where you're wrong now ?
[43:22] Speaker_B | The entrance .
[43:24] Speaker_C | Warning . Finish meeting now .
[43:27] Speaker_B | Alright .
"[43:28] Speaker_D | Okay , the entrance is uh more to the left ."
[43:31] Speaker_C | Warning . Warning .
[43:33] Speaker_B | You're correct .
"[43:41] Speaker_B | Yeah , but I think Oh no you made another mistake ."
"[43:53] Speaker_B | No I w Okay , I'm not that whiny . But uh there was a big hole here as well , and there as well ."
"[43:59] Speaker_D | Oh , that's true . Uh here . Yeah , they're walking behind the walls ."
[44:01] Speaker_B | That's a kinda big mistake .
"[44:11] Speaker_B | Guys , I think we have to finish the meeting ."
[44:14] Speaker_C | Okay .
[44:17] Speaker_D | 'Kay this is a hard one .
[44:20] Speaker_B | Uh ?
[44:24] Speaker_C | Boom-boa-ring-bing .
[44:27] Speaker_B | What does it say ?
[44:29] Speaker_C | Fill in the questionnaire .
[44:35] Speaker_C | What now ?
[44:38] Speaker_B | Come on .
"[44:47] Speaker_A | Okay , yeah ."
[44:47] Speaker_C | Okay .
[44:48] Speaker_B | Yep .
[44:48] Speaker_D | Okay .
[44:52] Speaker_C | No more chit-chat .
[44:53] Speaker_B | Oh you gotta finish
[44:53] Speaker_D | Che-che-che-che .
[44:55] Speaker_B | over there ? In your own room ? I'm gonna be so lonely .
[44:57] Speaker_C | Yeah .
[45:00] Speaker_D | Tu-dumm .
[45:05] Speaker_D | Uh .
[45:05] Speaker_B | Mm I'll clean that up later .
[45:10] Speaker_D | This is That's my new interface .
[45:13] Speaker_B | What's that ?
[45:15] Speaker_D | That's a uh edited smiley .
[45:28] Speaker_D | Tom-ti-dom . Uh .
[45:39] Speaker_C | Okay .
