[00:21] Speaker_C | 'Kay .
"[36:40] Speaker_A | Yep , yep . Yeah . But then yeah , as I said , how do you do it ?"
[36:41] Speaker_C | Okay .
[36:42] Speaker_C | Alright .
[36:50] Speaker_C | Oh for speakers . M
"[36:55] Speaker_A | No no no , I'm not I'm not saying you can you can pick a user , but you should come up with some list , but an extended list of the of the meetings , so you know , you have B_D_R_ , whatever it was called , O_ one . And then it gives you the longer name , blah , and then it gives you the , you know , the participants ."
[37:04] Speaker_B | Yeah .
[37:22] Speaker_B | Is that complicated ?
[37:24] Speaker_C | A tool tip . Mm-hmm .
"[37:28] Speaker_B | Mouse over , isn't it , or something . Actually in this n Oh let's do that then ."
[37:40] Speaker_C | Yeah .
"[37:50] Speaker_B | Yeah , that's true , that's annoying . But that's why you could just have a list of your users then . And just you just say I wanna look for this user . Go . Find me . Find me , then then then it pulls up a list of all the ones who got that user in it . And then you search then but then you didn't search . Maybe just leave it , just have them there , and don't worry about the speakers . If they're doing speakers , they're doing search . It's not the same as doing a a quick access ."
"[37:50] Speaker_C | Yeah , that's true . Yeah ."
[38:12] Speaker_A | Hmm .
[38:14] Speaker_C | Yeah .
[38:16] Speaker_A | Mm .
"[38:18] Speaker_A | Yeah . It'd just be nice to have some basic information on on each of the meetings . Yeah , I'm thinking that that updates depending on what you've got highlighted . Yeah , maybe that's the best idea then . So you've got a drop-down menu , a search a search button not search , go button ."
"[38:21] Speaker_B | Yeah . Or you can have a f text box there that's got yeah , as you go over them . Then that doesn't get in your in the way ."
"[38:25] Speaker_C | Yeah , just so yeah . That's like nice and easy . Yeah ."
[38:39] Speaker_A | Some sort of field which updates dynamically depending on what you've got highlighted .
[38:43] Speaker_B | Yeah . The full name and then speakers .
"[38:46] Speaker_A | Yeah . Yeah , that sounds good ."
[38:54] Speaker_B | I think .
[38:56] Speaker_A | I think .
[38:58] Speaker_A | Nom . Yeah . What does nom actually stand for ?
[39:00] Speaker_C | Mm-hmm . Right .
[39:05] Speaker_C | Just yeah . Just but it's I think in that case it's the wr write corpus ? Is that what it is ? Writable corpus or something . Yeah .
[39:17] Speaker_C | Yeah . Yeah .
[39:27] Speaker_A | Oh really ? Oh . Oh .
[39:29] Speaker_C | Oh . Right .
[39:37] Speaker_C | Yeah .
"[39:38] Speaker_A | No . In most of the descriptions are hints to each other saying you've gotta update this , Jonathan . This is this is uni unintelligible . Great . I know it is ."
[39:45] Speaker_C | Yeah . Right . Yeah .
[39:56] Speaker_C | Yeah .
"[39:59] Speaker_C | Area , yeah ."
"[40:03] Speaker_A | Yeah . Yeah . Yeah , yep definitely . Not very fun . Right , so anyone else got anything to say ?"
"[40:06] Speaker_C | Yeah , drove you crazy . Oh God ."
[40:13] Speaker_C | Hmm .
"[40:20] Speaker_A | Do we yeah , do we want another meeting at the end of the week um with Pernilla ?"
"[40:27] Speaker_B | Might be useful , mightn't it ?"
"[40:28] Speaker_A | Yeah . Yeah , something like that . I mean uh I think I'm gonna do quite a bit of work this week , so I'll have probably more to talk about ."
"[40:36] Speaker_B | Yeah , I should have more to talk about ."
[40:38] Speaker_C | Okay . Then we won't have to have the meeting with Steve on Tuesday . Or at all . Yeah . So Do we wanna arrange this get this one earlier maybe ? Three or I don't know .
[40:38] Speaker_A | I think yeah .
"[40:48] Speaker_A | If you like . Well , we can disc uh discuss that on Friday if we have one ."
"[40:50] Speaker_C | Yeah , that's true ."
[40:53] Speaker_C | True .
"[40:55] Speaker_C | Mm 'kay , yeah , sure ."
[40:55] Speaker_A | Friday ? What what time ?
"[41:01] Speaker_B | No , just after S_P_ two ."
"[41:03] Speaker_C | Hmm . Possibly , I don't know . Usually by then it's need a break . Um although well , I don't know , 'cause it's the lab and try and get some work done for the the lab stuff ."
"[41:09] Speaker_B | Yeah , yeah . I don't mean straight after ."
"[41:14] Speaker_B | Yeah , for that . Yeah , that could be quite good ."
[41:17] Speaker_C | Yeah .
"[41:20] Speaker_C | Oh , okay . Ten to two ."
[41:29] Speaker_B | Three o'clock .
[41:44] Speaker_A | W how about qui
"[41:44] Speaker_B | Two . Should we say three o'clock and then if there's a v serious problem , I'll tell you ."
"[41:47] Speaker_C | Or if we could try one . We could try shortly after . Well yea yeah well yeah . Well it wouldn't be a long meeting then . Or no . Would you wanna no , probably not . If one's bad for you , then it won't okay ."
[41:50] Speaker_A | I can't .
"[41:55] Speaker_A | Um what I oh , no no , that that would only give us like thirty five minutes or something . Well what how about quite late ? Like you know , five or six ."
"[42:02] Speaker_C | Right , okay ."
[42:07] Speaker_B | Three's better than five or six .
"[42:08] Speaker_C | Yeah , yeah ."
"[42:11] Speaker_A | Well three o'clock , let's say three o'clock for now ."
[42:21] Speaker_A | Okay .
[42:24] Speaker_A | Right . I'll write um I'll write this meeting up and I'll send it to Pernilla as well .
[42:28] Speaker_C | Okay . .
"[42:29] Speaker_B | Is she collecting them ? Oh , you're just sending it to No . I mean , is she collecting oh right , oh yeah , sorry . Yeah . School for the gifted . Yeah . Well I thought somebody was collecting them . But right , well that's what I thought when you said that ."
[42:34] Speaker_C | Yeah .
[42:48] Speaker_C | Yeah .
"[42:50] Speaker_A | So can we just can we just r repeat briefly what we've spoken about . So we've din done uh progress on the speaker characterisation , who does the speaker characterisation . We've mentioned topic labelling with uh key-words . Um we discussed if the search should be ranked . And Michael , did you have anything else ?"
[42:58] Speaker_B | Yeah .
[43:06] Speaker_B | Yeah .
[43:24] Speaker_A | And a start-up window .
[43:28] Speaker_B | No .
"[43:28] Speaker_A | Oh well , basically not not unless you've got time for at the end . It would be nice at the end ."
"[43:33] Speaker_C | Yeah . Well I d I kinda think it would complicate things quite a bit and not bring us a lot . Just because if it is like independently doing the words for a particular document , it's not it's not really getting them together . Like if someone's looking for a particular term . Um I don't know , it just I just don't know if it would bring us that much ."
[43:55] Speaker_A | I think it would . Yeah . I think I think it w it would it would give you the most relevant result .
[43:56] Speaker_C | How so ?
"[44:00] Speaker_C | If if if they're looking for , like I say , sunny day and , you know , sunny shows up in this document , day shows up , but they're not together . Um or if if they are toge I don't know , it just doesn't you're looking for that term and relevance is kind of irrelevant because if the term shows up , it shows up ."
"[44:18] Speaker_A | No , but for things like if you search for language , then you might have you have some topics which have as a , you know n some some meetings which have as a topic language , they specifically speak about language , and they use that word like in every sentence . And then you've got those that just mention , you know , mention it briefly , like once or twice saying , you know , my language is German or something stupid that you don't really want . So you wanna distinguish those somehow . Or would be nice anyway ."
[44:32] Speaker_C | Hmm .
[44:39] Speaker_C | Right .
"[44:44] Speaker_C | In in that sense for single for single word yeah , yeah ."
"[44:46] Speaker_A | Yeah , yeah ."
"[44:53] Speaker_C | Yeah . Well , create a new yeah . Yeah ."
"[44:57] Speaker_B | Yeah . Or you could do it and override it by the you ca you could just ignore the d ranking if it doesn't show up together . Or you could perhap you could penalize it , you could just put a b weight against it ."
[45:05] Speaker_C | Yeah .
[45:16] Speaker_A | Yeah .
"[45:20] Speaker_A | Yeah , just just just disregard it , yeah . Yeah , I mean you'd you'd just do it really simply , you know . You'll have the results as before , but yeah , yeah . Can discuss it on Friday ."
[45:24] Speaker_C | Yeah .
"[45:26] Speaker_C | Yeah . Okay . We'll have we'll have to talk to Pernilla about this then , just 'cause uh see how she's uh doing this . 'Cause if we are using that , I mean it does make sense for that , but uh yeah , and just actually yeah . Yeah ."
"[45:29] Speaker_B | Yeah , might have to talk to Pernilla about that ."
[45:40] Speaker_A | It doesn't have to be all intelligent .
"[45:42] Speaker_C | Yeah . Well that's sorta what is yeah , that's true ."
"[45:42] Speaker_B | 'Cause some things you're gonna get a lot of results for . And if the one that you got just happened to be at the bottom when it was actually the most relevant one , something like that would just push it up ."
"[45:44] Speaker_A | Yeah , exactly ."
"[45:48] Speaker_C | Well the thing is also I mean if it's well yeah . Yeah okay , I see what you mean . Um and then we could actually put that like on the list of um meetings that r get returned . If there were fifteen meetings with language is in , then it's gonna show you those and rank them as to which is the highest . So okay , I see that ."
"[46:02] Speaker_B | Yeah . Which is the highest , exactly . And um also with their something like sunny day , the um if sunny and day aren't mentioned together a lot but sunny just happens to mentions once , then its term will be low and it will push down the other one if you combine them . If you just dup add them together ."
[46:16] Speaker_C | Hmm .
"[46:19] Speaker_C | Yeah . Well the thing is I mean that'll be exactly how we're doing it now , like we're just looking for the two words separately , see if they exist in the same document . If they do , then there's a possibility that they c occur together . And then we do the N_X_T_ search on that document ."
[46:30] Speaker_A | Mm .
"[46:31] Speaker_B | Yeah , yeah . But you have no ranking system at the moment , so if something's an amazing w highly ranked thing from T_F_I_D_F_ , it could just be ignored because it falls off the bottom of the do you have a assuming you only have you have a return all results for all so you type language and it returns seventy five meetings ."
"[46:33] Speaker_C | Yeah , no ."
[46:40] Speaker_C | Hmm .
"[46:48] Speaker_C | Um well right now it's not doing anything . So I don I don't know I don't know what what it's doing . But yeah . Well I thou yeah . Yeah , I think so . Yeah ."
[46:51] Speaker_A | Well it's not that many meetings . So that sh that shouldn't is there really ? Wow . Ooh .
[46:59] Speaker_C | Yeah .
"[47:05] Speaker_C | Yeah . Yeah . Yeah , that's true . Okay ."
"[47:11] Speaker_A | Hmm yeah , that's true ."
[47:15] Speaker_A | It would be useful as well for a word like language that might occur in all of them . But you wanna find the one that actually contains it usefully somehow .
[47:25] Speaker_B | Mm-hmm .
[47:26] Speaker_C | Yeah .
[47:27] Speaker_B | Mm-hmm .
"[47:29] Speaker_A | You know , you still wanna be able to search for for the word language ."
[47:34] Speaker_A | In a sensible way .
[47:38] Speaker_A | Well we'll discuss it again on Friday .
[47:46] Speaker_B | Yeah .
[47:54] Speaker_B | So is that it ?
[47:56] Speaker_C | I think so .
[47:56] Speaker_A | Yep . Yep . Tick .
[48:00] Speaker_C | Okay .
[48:08] Speaker_C | Mm .
