[00:02] mn015 | @ @
[34:06] mn015 | Yep . Yep .
[34:10] mn036 | What ab
[34:11] mn036 | What do you have in mind in terms of um socializing ? What kind of activities ?
"[34:15] mn015 | Eh , just meeting people , basically ."
"[34:17] mn015 | "" I want to meet someone somewhere "" , which be puts a very heavy constraint on the "" EVA """
"[34:23] mn015 | you know , because then if you 're meeting somebody at the town hall , you 're not entering it usually , you 're just want to approach it ."
[34:23] me045 | Yeah .
[34:35] me010 | Mm - hmm
[34:35] mn015 | Yep .
"[34:40] mn036 | Socializing , I guess ."
[34:45] me045 | Right .
"[34:48] me010 | I would say that if "" Dine out "" is a special c uh if you 're doing it for that purpose then it 's entertainment ."
[34:54] me045 | Yeah .
"[34:54] me010 | And we 'll also as y as you 'll s further along we 'll get into business about "" Well , you 're you know this is going over a meal time , do you wanna stop for a meal or pick up food or something ? """
[35:03] me045 | Mm - hmm .
[35:04] me010 | And that 's
[35:06] me010 | different . That 's that 's sort of part of th that 's not a destination
[35:10] me045 | Right .
"[35:10] me010 | reason , that 's sort of "" en passant , "" right ."
[35:13] me045 | Yeah .
"[35:17] mn015 | OK , "" endpoint "" ."
[35:20] me010 | Right .
"[35:20] mn015 | "" Endpoint "" is pretty clear . Um ,"
"[35:25] mn015 | "" mode "" , uh , I have found three , "" drive there "" , "" walk there "" uh or "" be driven "" , which means bus , taxi , BART ."
[35:33] me010 | OK .
"[35:34] fe004 | The public transport in general is "" be driven "" ?"
[35:35] mn015 | Yeah .
[35:37] mn015 | Yep .
"[35:38] me010 | Obviously taxis are very different than buses , but on the other hand the system doesn't have"
[35:40] fe004 | Yeah .
[35:44] me010 | any public transport This the planner system doesn't have any public transport in it yet .
[35:48] fe004 | OK .
"[35:49] mn015 | So this granularity would suffice , I think w if we say the person probably , based on the utterance we on the situation we can conclude"
"[35:57] mn015 | wants to drive there , walk there , or"
[35:59] mn015 | use some other form of transportation .
[36:02] me045 | H How much of Heidelberg can you get around by public transport ? I mean in terms of the interesting bits . There 's lots of bits where you don't really
"[36:09] me045 | I 've only ev was there ten years ago , for a day , so I don't remember , but ."
[36:14] me010 | Mm -
[36:15] mn015 | Everywhere .
[36:21] mn015 | Yeah .
[36:21] me045 | OK .
"[36:22] me010 | but I think other things you can , if I remember right ."
"[36:28] mn015 | Yeah , um we actually biking should be should be a separate point because we have a very strong bicycle planning component ."
[36:36] me010 | Oh !
[36:36] mn015 | So .
[36:36] fe046 | Mmm g that 's good .
[36:37] mn015 | Um .
[36:37] me010 | Put it in .
"[36:38] mn015 | Bicycles c should be in there , but ,"
[36:47] me045 | Yeah .
"[36:48] me010 | OK , we can leave it out , I guess ."
[36:49] me045 | Yeah .
"[36:49] mn015 | We can we can sort of uh ,"
"[36:53] me045 | I would I would lump it with "" walk "" because hills matter . Right ? You know . Things like that ."
[36:55] mn015 | Yeah .
[36:58] me010 | OK .
"[36:59] me010 | Skateboards @ @ right , anyway ."
[37:01] mn036 | Right .
[37:03] mn015 | Yep .
[37:05] me010 | Alright .
"[37:06] mn015 | OK , "" Length "" is um ,"
"[37:10] mn015 | you wanna get this over with as fast as possible ,"
[37:14] mn015 | you wanna use some part of what of the time you have .
"[37:17] fe004 | They can specify "" long "" ."
"[37:19] mn015 | Um , they can . But we should just make a decision whether we feel that they want to use some substantial or some fraction of their time ."
[37:20] me010 | Ye -
"[37:29] mn015 | You know , they wanna do it so badly that they are willing to spend uh you know the necessary and plus time ."
[37:29] me045 | Hmm .
[37:41] mn015 | And y
"[37:48] mn015 | to the planner , that they probably want to use all the time they have ."
"[37:52] mn015 | So , stretch out that visit for"
[37:54] me010 | Mm - hmm .
[37:55] me045 | Wow It seems like this would be really hard to guess .
[37:55] mn015 | that .
[38:00] me045 | I mean you 're you 're talking about rather than having the user decide this you 're supposed t we 're supposed to figure it out ?
[38:04] me010 | w
"[38:05] mn015 | Th - the user can always s say it , but it 's just sort of we we hand over these parameters if we make if we have a feeling that they are important ."
[38:05] me010 | well
[38:06] me045 | Overrider @ @
[38:07] me010 | Yeah .
[38:13] me045 | Mm - hmm .
"[38:13] mn015 | And that we can actually infer them to a significant de degree , or we ask ."
"[38:19] me010 | And par yeah , and part of the system design is that if it looks to be important and you can't figure it out , then you ask ."
[38:19] me045 | OK .
[38:20] mn015 | Yeah .
[38:24] me045 | OK .
[38:25] me010 | But hopefully you don't ask
[38:28] me045 | Yeah . Yeah . Right . Yeah .
"[38:29] me010 | eh so , y but there 's th but definitely a back - off position to asking ."
"[38:33] mn015 | And if no no part of the system ever comes up with the idea that this could be important ,"
[38:38] mn015 | no planner is ever gonna ask for it .
[38:40] me045 | Yeah .
"[38:41] mn015 | y so And I like the idea that , you know , sort of Jerry pushed this idea from the very beginning , that it 's part of the understanding business to sort of make a good question of what 's s sort of important in this general picture , what you need t"
[38:52] me045 | Mm - hmm .
"[38:54] mn015 | If you wanna simulate it , for example , what parameters would you need for the simulation ?"
"[38:59] mn015 | And ,"
"[38:59] mn015 | Timing , uh ,"
"[39:01] mn015 | uh , Length would definitely be part of it ,"
"[39:04] mn015 | "" Costs "" ,"
"[39:06] mn015 | "" Little money , some money , lots of money "" ?"
[39:07] me010 | Mm - hmm .
"[39:12] mn015 | uh so , F Yeah , OK ."
[39:15] fe004 | Some @ @ .
[39:16] mn015 | Hmm ?
"[39:18] me045 | You could say "" some "" in there ."
[39:21] mn036 | I must say that thi
[39:22] mn036 | this one looks a bit strange to me . Um maybe It seems like appropriate
[39:26] mn036 | if I go to Las Vegas .
[39:28] mn036 | Well but I decide k kind of how much money
[39:31] mn036 | uh I 'm willing to lose .
"[39:32] mn036 | But a I as a tourist , I 'll just paying what 's what 's more or less is required ."
"[39:36] me010 | Well , no . I think there are there 're different things where you have a ch choice , for example ,"
[39:39] me045 | Yeah .
"[39:40] me010 | uh this t interacts with "" do am I do oh are you willing to take a taxi ? """
[39:40] me045 | Dinner .
[39:41] fe004 | Restaurant .
"[39:44] me010 | Or uh , you know , if if you 're going to the opera are you gonna l look for"
"[39:51] me010 | the best seats or the peanut gallery or , you know , whatever ?"
[39:54] mn036 | Right .
[39:55] me010 | S so I think there are a variety of things in which
"[40:01] me010 | Tour - tourists really do have different styles eating . Another one , you know ."
[40:05] me045 | Yeah .
"[40:05] mn036 | Right , that 's true ."
[40:05] fe046 | Right .
"[40:11] mn015 | Well , I I once had to write a a a a charter , a carter for a a student organization . And they had wanted me to define what the quorum is going to be ."
"[40:25] mn015 | And I wrote in there "" En - Enough """
[40:29] mn015 | people have to be there .
"[40:30] mn015 | And it was hotly debated , but"
"[40:32] mn015 | people agreed with me that everybody probably has a good feeling whether it was a farce , a joke , or whether there were enough people . And if you go to Turkey , you will find"
[40:38] me045 | Yeah .
"[40:41] mn015 | when people go shopping , they will say "" How much cheese do you want ? "" and they say "" Ah , enough . """
[40:45] mn015 | And the and the this used all over the place .
"[40:48] mn015 | Because the person selling the cheese knows , you know , that person has two kids and you know , a husband that dislikes cheese , so this is enough ."
[40:50] me045 | Mm - hmm .
"[40:55] mn015 | And um so the middle part is always sort of the the golden way , right ? So you can s you can be really make it as cheap as possible , or you can say "" I want , er , you know , I don't care """
[41:06] me045 | Money is no object . Mm - hmm .
[41:07] me010 | Yeah .
"[41:07] mn015 | Money is no object , or you say "" I just want to spend enough "" ."
[41:11] me045 | Mm - hmm .
"[41:11] mn015 | Or the sufficient , or the the appropriate amount ."
[41:14] me045 | Yeah .
"[41:16] mn015 | But ,"
"[41:17] mn015 | Then again , this may turn out to be"
"[41:19] mn015 | insufficient for our purposes . But well ,"
"[41:22] mn015 | this is my first guess , in much the same way as how how d"
[41:23] me045 | I mean y
[41:24] me045 | Yeah .
"[41:27] mn015 | you know should the route be ? Should it be the easiest route , even if it 's a b little bit longer ?"
[41:32] me045 | Mm - hmm .
"[41:32] mn015 | No steep inclinations ? Go the normal way ? Whatever that again means , er or do you does the person wanna rough it ?"
[41:37] me045 | Mm - hmm .
"[41:42] me045 | I mean th so there 's a couple of different ways you can interpret these things right ? You know "" I want to go there and I don't care if it 's really hard . """
[41:53] me010 | Right .
[41:56] fe046 | Right .
"[42:02] me010 | No , I think he was going for the second one ar actually ."
[42:04] me045 | Yeah ?
"[42:05] me010 | Anyway , we 'll sort th yeah , we 'll sort that out ."
[42:05] me045 | I I OK .
[42:08] me010 | Right .
[42:09] me010 | Absolutely .
"[42:14] mn015 | Well , this is all sort of"
"[42:16] mn015 | um , top of my head . No no research behind that ."
[42:18] me045 | Yeah .
"[42:21] mn015 | Um "" Object information "" , "" Do I do I wanna know anything about that object ? "" is either true or false ."
[42:26] mn015 | And .
"[42:28] mn015 | if I care about it being open , accessible or not ,"
[42:31] mn015 | I don't think there 's any middle ground there .
"[42:35] mn015 | Um ,"
"[42:36] mn015 | either I wanna know where it is or not ,"
"[42:38] mn015 | I wanna know about it 's history or not ,"
"[42:40] mn015 | or ,"
[42:42] mn015 | um I wanna know about
[42:43] mn015 | what it 's good for or not .
"[42:47] mn015 | Maybe one could put scales in there , too . So I wanna know a l"
"[42:49] me010 | Yeah , now ob"
"[42:51] me010 | OK , I 'm sorry , go ahead , what were you gonna say ?"
[42:51] mn015 | lot about it .
"[42:53] mn015 | One could put scales in there . So I wanna know a lot about the history , just a bit ."
"[42:56] me010 | Yeah , right well y i w if we w right ."
"[42:59] me010 | So "" object "" becomes "" entity "" , right ?"
"[43:01] mn015 | Yep , that 's true ."
"[43:02] me010 | Yeah , but we don't have to do it now ."
[43:04] mn015 | Yep .
[43:08] mn015 | That was the wrong shortcut anyhow .
"[43:15] me010 | And we think that 's it , interestingly enough , that"
"[43:18] me010 | um ,"
[43:33] me010 | going to be enough .
[43:46] fe046 | Still wrong .
[44:01] me010 | So I think the order of things is that
"[44:04] me010 | um ,"
"[44:06] me010 | Robert will clean this up a little bit , although it looks pretty good ."
"[44:10] mn015 | What , well this is the part that this is the part that needs the work ."
[44:11] me010 | Huh ?
"[44:13] me010 | Right . Yeah , so right , so So ,"
[44:13] me045 | Yeah .
[44:16] me010 | um
"[44:18] me010 | In parallel ,"
[44:20] me010 | uh three things are going to happen .
"[44:26] me010 | build a belief - net that that , um , has CPT 's and , you know , tries to infer this from various kinds of information ."
"[44:35] me010 | And Fey is going to start collecting data ,"
[44:40] me010 | and we 're gonna start thinking a about uh what constructions we want to elicit .
[44:47] me010 | And then w go it may iterate on
[44:53] me045 | Do you mean eliciting particular constructions ? Or do you mean like what kinds of things we want to get people talking about ?
"[44:59] me010 | Well , yes ."
"[44:59] me045 | Semantically speaking , eh ?"
[45:00] me010 | Both .
[45:00] me045 | OK .
"[45:04] me010 | Though for us , constructions are primarily semantic , right ?"
[45:07] me045 | Right .
[45:09] me045 | Sure .
[45:17] me045 | OK .
"[45:18] me010 | You know if th if we in if we you know , make sure that we get them talking about temporal order ."
[45:25] me045 | Yeah .
[45:28] me045 | Mm - hmm .
[45:30] me045 | Right . OK .
"[45:33] me010 | W You know , whatever form they use"
[45:36] me010 | is fine .
[45:36] me045 | OK .
[45:37] me010 | But I I think that probably we 're gonna try to look at it as
"[45:42] me010 | you know , s what semantic constructions d do we do we want them to uh do direc you know , um ,"
[45:44] me045 | OK .
"[45:48] me010 | "" Caused motion "" , I don't know , something like that ."
[45:50] me045 | OK .
[45:52] me010 | Uh
[45:52] me045 | Got it .
"[45:53] me010 | But ,"
[45:54] me010 | Eh - uh this is actually a conversation you and I have to have about
[45:57] me045 | Yeah .
"[45:58] me010 | your thesis fantasies , and how all this fits into that ."
[46:01] me045 | Uh Yeah . OK .
"[46:04] mn015 | Well , I will tell you the German tourist data ."
[46:07] me045 | OK .
[46:07] mn015 | Because I have not
[46:09] mn015 | been able to dig out all the stuff out of the
[46:11] mn015 | m ta thirty D V Ds .
[46:14] me045 | OK .
"[46:19] mn015 | No , not at all . Dialogues ."
[46:20] me045 | OK .
[46:21] me045 | OK .
[46:23] mn015 | Human . Wizard of Oz .
"[46:25] me045 | OK . Same OK , that . Got it ."
[46:37] mn015 | With nothing .
"[46:38] me010 | No , no ."
[46:38] me045 | Just talking into a box and not hearing anything back . OK .
[46:40] mn015 | Yep .
[46:41] mn015 | Yep .
[46:43] mn015 | Some data I collected in a couple weeks for training recognizers and email way back when .
[46:47] me045 | OK .
[46:49] me045 | OK .
[46:50] mn015 | Nothing to write home about .
[46:52] me045 | OK .
[46:55] mn015 | the see this this this uh ontology node is probably something that I will
"[47:01] mn015 | try to expand . Once we have the full ontology API ,"
[47:05] mn015 | what can we expect to get from the ontology ?
[47:08] mn015 | And hopefully you can sort of also
"[47:11] mn015 | try to find out , you know , sooner or later"
"[47:13] mn015 | in the course of the summer what we can expect to get from the discourse that might , you know or the not the discourse , the utterance"
[47:16] me045 | Mm - hmm .
[47:18] me010 | mm - hmm .
[47:19] me045 | Mm - hmm .
[47:20] me010 | Right .
"[47:24] me010 | Right , but we 're not expecting Keith to actually build a parser ."
"[47:27] me045 | Right , Right ."
[47:28] me010 | OK .
[47:31] mn015 | Yes .
"[47:31] me045 | By the end of the summer , too ."
[47:32] me010 | No .
[47:33] mn015 | No .
[47:34] me010 | No .
[47:37] me010 | He 's g he 's hoping to do this for his masters ' thesis s by a year from now .
[47:39] me045 | Right .
[47:41] me045 | Hmm .
[47:43] me010 | Eh - absolutely .
"[47:45] me010 | Uh limited . I mean , you know , the idea is is , Well , the hope is that the parser itself is , uh , pretty robust ."
[47:47] me045 | Yeah .
"[47:56] me045 | Right , Right . Existence proof , you know . Set up the"
[47:57] me010 | Right .
[47:58] me010 | It 's only popula
"[47:58] me045 | infrastructure , yeah ."
[47:59] me010 | Right .
"[48:01] me045 | Um sometime , I have to talk to some subset of the people in this group , at least about um"
"[48:07] me045 | what sort of constructions I 'm looking for . I mean , you know obviously like just"
"[48:14] me045 | sort of as general as argument structure constructions . Oh , you know , I have to do Verb Phrase . I have to do uh uh unbounded dependencies , you know , which have a variety of constructions in uh uh instantiate that ."
"[48:27] me045 | On the other hand I have to have , you know , there 's particular"
"[48:31] me045 | uh ,"
"[48:32] me045 | fixed expressions , or semi - fixed expressions like "" Get "" plus path expression for , you know , "" how d ho how do I get there ? "" , "" How do I get in ? "" , "" How do I get away ? "" and all that kind of stuff ."
[48:37] me010 | Mm - hmm .
[48:40] me010 | Right .
"[48:42] me045 | Um , so there 's a variety of sort of different"
[48:44] me010 | Absolutely .
"[48:48] me010 | OK , so this is I think we 're gonna mainly work on with George ."
"[48:52] me010 | OK , and hi let me f"
[48:52] me045 | OK .
[48:54] me010 | th say what I think is is so the idea is uh first of all
[48:59] me010 | I misspoke when I said
[49:01] me010 | we thought you should do the constructions . Cause apparently for a linguist that means to do completely and perfectly .
"[49:06] me010 | So what I yeah , OK , So what what I meant was "" Do a first cut at "" ."
"[49:11] me045 | Yeah , yeah ."
"[49:12] me010 | OK , Because uh we do wanna get them r u"
[49:14] me010 | perfectly but I think we 're gonna have to do a first cut at a lot of them to see how they interact .
[49:18] me045 | Of course .
"[49:19] me045 | Right , exactly ."
"[49:20] me045 | Now it w we talked about this before , right . And I I me it would it would be completely out of the question to really do more than , say , like ,"
"[49:25] me045 | oh I don't know , ten , over the summer , but uh , but you know obviously we need to get"
[49:26] me010 | Yeah .
"[49:30] me045 | sort of a general view of what things look like , so yeah ."
[49:32] me010 | Right . So the idea is going to be
"[49:36] me010 | to do sort of like Nancy did in some of the er these papers where you do enough of them so you can go from top to bottom so you can do f you know ,"
[49:45] me010 | f f uh have a complete story ov of s of some piece of dialogue .
[49:51] me045 | Mm - hmm .
[49:52] me010 | And that 's gonna be much more useful
"[49:56] me010 | than having all of the clausal constructions and nothing else , or or or something like that . So that the the trick is going to be"
[49:59] me045 | Yeah . Sure .
[50:01] me045 | Yeah .
[50:03] me010 | t to take this and pick a some sort of lattice
[50:09] me045 | Mm - hmm .
"[50:09] me010 | of constructions , so some lexical and some phrasal , and and , you know , whatever you need in order to"
[50:12] me045 | Mm - hmm .
"[50:16] me010 | uh , be able to then ,"
"[50:19] me010 | uh , by hand ,"
"[50:21] me010 | you know , explain ,"
[50:21] me045 | Mm - hmm .
[50:22] me045 | Yeah .
[50:22] me010 | some fraction of the utterances .
"[50:24] me010 | And so , exactly which ones will partly depend on your research interests and a bunch of other things ."
[50:29] me045 | Mm - hmm .
[50:30] me045 | Sure .
[50:31] me045 | OK . But I mean in terms of the s th sort of level of
"[50:33] me045 | uh of analysis , you know ,"
"[50:35] me045 | these don't necessarily have to be more complex than like the "" Out of "" construction in the BCP paper where it 's just like , you know , half a page on each one or something ."
[50:39] me010 | Correct .
[50:41] me010 | Oh yeah yeah . V a half a page is is what we 'd like .
[50:43] me045 | Yeah .
[50:48] me045 | Yeah .
"[50:50] me045 | For the first cut , that should be fine , yeah ."
[50:52] me010 | Yeah .
"[50:55] mn015 | the ideal speaker utterances , and I mean"
[50:59] me045 | Mm - hmm .
[51:00] mn015 | two
"[51:02] mn015 | or three that follow each other , so ,"
"[51:06] mn015 | where we can also sort of , once we have everything up and running ,"
"[51:10] mn015 | show the tremendous , insane inferencing capabilities of our system ."
"[51:15] mn015 | So , you know , as as the SmartKom people have . This is sort of their standard"
"[51:18] mn015 | demo dialogue , which is , you know , what the system survives and nothing but"
[51:20] me045 | Mm - hmm .
"[51:23] mn015 | that . Um , we could also sor sort of have the analogen of"
[51:24] me045 | Mm - hmm .
"[51:27] mn015 | o our sample sentences , the ideal sentences where we have complete"
[51:32] mn015 | construction coverage
[51:34] me045 | Mm - hmm .
"[51:34] mn015 | and , sort of ,"
"[51:37] mn015 | the "" How do I get to X ? "" , you know , that 's definitely gonna be"
[51:39] me045 | Yeah .
"[51:41] mn015 | uh , a major one ."
"[51:42] me045 | Yeah . That 's about six times in this little one here , so uh , yeah ."
[51:45] me010 | Right .
[51:45] mn015 | Yep .
"[51:46] mn015 | "" Where is X ? "" might be another one which is not too complicated ."
[51:48] me045 | Yeah .
[51:50] me045 | Mm - hmm .
"[51:51] mn015 | And um "" Tell me something about X . """
[51:53] me045 | Yeah .
"[51:54] mn015 | And hey , that 's that 's already covering"
[51:57] mn015 | eighty percent of the system 's functionality .
[51:57] me010 | Ye -
"[51:59] me010 | Right , but it 's not covering eighty percent of the intellectual interest ."
"[52:05] me010 | No , no , no . Well the th the thing is there 's a lot that needs to be done"
"[52:11] me010 | OK , I th"
[52:11] mn015 | OK .
[52:13] me010 | We done ?
"[52:14] mn015 | I have one bit of news . Um ,"
[52:15] me010 | Good .
[52:16] me010 | Good .
[52:23] mn015 | a p
[52:24] mn015 | lengthy proposal on how he wants to do the action planning .
"[52:29] mn015 | And I responded to him , also rather lengthy , how he should do the action planning ."
"[52:35] me010 | "" Action planning "" meaning "" Discourse Modeling "" ?"
[52:36] mn015 | Yes . And I tacked on a little paragraph about the fact that the whole world calls that
[52:38] me010 | Right .
"[52:41] mn015 | module a dis disc dialogue manager , and"
[52:43] me010 | Right .
[52:44] mn015 | wouldn't it make sense to do this here too ?
"[52:47] mn015 | And also Rainer M Malaka is going to be visiting us shortly , most likely in the beginning of June ."
"[52:54] me010 | Uh - huh , I 'll be gone ."
[52:55] mn015 | Yeah . He - he 's just in a conference somewhere and he is just swinging through town .
"[52:57] me010 | Sure , OK ."
"[53:00] mn015 | m making me incapable of going to NAACL ,"
[53:05] mn015 | for which I had funding .
[53:08] mn015 | But .
"[53:10] mn015 | No , no Pittsburg this year ."
[53:13] me045 | Hmm .
[53:14] me010 | S
[53:14] mn015 | When is the uh Santa Barbara ? Who is going to ? uh should a lot of people .
[53:23] mn015 | That 's something I will would sort of enjoy .
[53:25] me010 | Probably should go .
[53:26] me010 | That was that 's one you should probably go to .
[53:27] mn015 | Yep .
[53:29] mn015 | There 's
"[53:32] me010 | Uh ,"
[53:34] me010 | probably we can uh pay for it .
[53:37] me045 | OK .
[53:38] me010 | Um a student rate shouldn't be very high .
"[53:43] me010 | So , if we all decide it 's a good idea for you to go then you 'll we 'll pay for it ."
"[53:47] me010 | I mean I I don't have a feeling one way or the other at the moment , but it probably is ."
[53:49] me045 | OK .
"[53:52] me010 | OK , great ."
[53:53] me045 | Thanks .
