[00:01] me013 | Alright .
[27:16] me018 | Are are people going to be allowed to bleep out sections of a meeting where they weren't speaking ?
[27:22] me011 | Yes .
"[27:26] me011 | If someone feels strongly enough about it ,"
[27:29] me011 | then I I I think they should be allowed to do that .
[27:32] me018 | So that means other people are editing what you say ?
[27:35] me011 | Yeah .
[27:35] me013 | I don't know about that .
"[27:37] me011 | Well , the only other choice is that the person would say "" no , don't distribute this meeting at all "" , and I would rather they were able to edit out other people then just say "" don't distribute it at all "" ."
[27:47] me013 | But th
"[27:48] me013 | what they signed in the consent form ,"
[27:51] me013 | was something that said you can use my voice .
[27:56] me013 | Right ?
[27:59] me013 | Yeah .
"[28:02] me013 | Yeah , but that 's our decision then . Right ?"
"[28:04] me011 | Um , I don't think so ."
[28:06] me013 | I think it is .
"[28:06] me011 | I mean , because if I object to the conversation . If I say"
"[28:10] me011 | "" we were having a conversation , and I consider that conversation private , """
"[28:14] me011 | and I consider that your side of it is enough for other people to infer , I wanna be able to bleep out your side ."
"[28:20] fe008 | The I agree that the consent forms were uh , I cons agree with what Adam 's saying , that um ,"
[28:26] fe008 | the consent form did leave open this possibility that they could edit things which they found offensive whe whether they said them or didn't say them .
[28:32] me013 | I see .
"[28:33] me013 | OK , well , if that 's what it said ."
"[28:33] fe008 | And the other thing is from the standpoint of the l of the l I 'm not a law lawyer , but it strikes me that uh , we wouldn't want someone to say "" oh yes , I was a little concerned about it but it was too hard to access "" ."
"[28:45] fe008 | So I think it 's kind of nice to have this facility to listen to it . Now in terms of like editing it by hand , I mean I think it 's i some people would find that easier to specify the bleep part"
"[28:55] fe008 | by having a document they edited . But but it seems to me that sometimes um ,"
"[29:01] fe008 | you know i if a person had a bad day , and they had a tone in their voice that they didn't really like , you know it 's nice it 's nice to be able to listen to it and be sure that that was OK ."
[29:09] me011 | I mean I can certainly provide a printable version if people want it .
"[29:12] me013 | Um I mean it 's also a mixture of people , I mean some people are r"
[29:13] me011 | Um .
"[29:17] me013 | do their work primarily by sitting at the computer , flipping around the web , and others do not ."
[29:21] me011 | Yep .
[29:24] me013 | a set of skills that they would have to gain .
[29:27] me013 | You know ? It depends on what meetings .
[29:27] me011 | Well I think most of the people in the meetings are the former .
[29:28] fe008 | That 's true .
[29:31] me018 | So far .
[29:32] me011 | So .
"[29:32] me013 | In the meetings so far , yeah ."
[29:34] me011 | Yep .
"[29:34] me013 | But we 're trying to expand this , right ?"
[29:36] me011 | Right .
[29:37] me013 | So I I I actually think that paper is the more universal thing .
[29:41] fe008 | Mm - hmm . Yeah .
"[29:41] me011 | Well , but if they want to print it out that 's alright . I think everyone in the meeting can access the web ."
"[29:49] me011 | OK , so does that mean that I can't use email ?"
[29:52] me011 | Or what ?
[29:53] fe008 | Cuz you could send it through email you 're thinking .
"[29:56] me011 | Well , I don't think I well I don't think we can send the text through email because of the privacy issues ."
"[29:58] fe008 | Good . For security ? Yeah , OK good . Good point ."
[29:59] me013 | No .
[30:00] mn014 | Yeah .
[30:00] me013 | Right .
[30:01] me011 | Um .
"[30:03] me011 | So giving them , you think a web site to say , "" if you wanna print it out here it is "" , is not sufficient ?"
[30:06] mn014 | Yeah .
[30:09] mn014 | I
"[30:12] me011 | Yeah , I 'm just thinking for people that that 's not sufficient for , what the only sufficient thing would be for me to walk up to them and hand it to them ."
[30:19] fe008 | You could mail it to them . Get an a mailing address .
[30:20] mn014 | Yeah .
[30:21] me011 | Equivalent .
"[30:26] mn014 | Just put the button on on the web page which say "" please send me the the scripts "" ."
[30:31] fe008 | Oh that 's interesting .
[30:31] me011 | That 's right .
[30:32] mn014 | Yeah .
[30:38] me011 | Mm - hmm .
[30:39] me018 | And so can they bleep within an utterance ?
[30:41] me011 | No . Whole utterances only .
[30:42] me018 | Whole utterances .
"[30:44] me011 | And that was just convenience for my sake , that it 's uh , uh"
[30:48] me011 | it would end up being fairly difficult to edit the transcripts if we would do it at the sub - utterance level .
[30:53] me011 | Because this way I can just delete an entire line out of a transcript file rather than have to do it by hand .
[31:00] me013 | is part of why this is bothering me .
"[31:03] me013 | Um , I think you 're really trying very hard to make this as convenient as possible for people to do this ."
"[31:11] me011 | I mean that 's why I did the web form , because for me that would be my most convenient ."
[31:11] me018 | Mmm .
[31:13] me013 | I I I understand . I think that 's the bad idea .
[31:15] me018 | I know where you 're going .
"[31:30] me013 | There was a one or twi once or twice , in the re in the meetings we 've heard , where somebody said something that they might be embarrassed by ,"
[31:35] me013 | but overall people are talking about technical topics . Nobody 's gonna get hurt . Nobody 's being l libeled .
"[31:42] me013 | You know , this is this we 're we 're covering We 're playing the lawyer 's game , and we 're playing we 're we 're we 're looking for the extreme case ."
"[31:48] me013 | If we really orient it towards that extreme case , make it really easy , we 're gonna end up encouraging a headache ."
"[31:59] me011 | I guess I don't see having a few phrases here and there in a meeting being that mu much of a headache , bleeped out . So ."
"[32:06] me018 | I think what Morgan 's saying is the easier it is , the more is gonna be bleeped ."
[32:10] me013 | And and it really depends on what kind of research you 're doing .
[32:13] me013 | I think some researchers who are gonna be working with this corpus years from now are really gonna be cursing the fact that there 's a bunch of stuff in there that 's missing from the dialogue .
[32:21] me011 | Mm - hmm .
"[32:22] me013 | You know , it depends on the kind of research they 're doing , but it might be , uh it might be really a a pain ."
[32:22] mn014 | Yeah .
[32:35] me013 | we definitely want to allow the option of it being bleeped out . But I really think we wanna make it the rare incidence .
"[32:42] me013 | And and uh , I am just a little worried about making it so easy for people to do , and so much fun !"
"[32:50] me013 | and they can bleep out stuff they don't like too , right from somebody else , as you say , you know , so "" well I didn't like what he said . """
"[32:54] me011 | Well I don't see any way of avoiding that . I mean , we have to provi we have promised that we would provide them the transcript and that they can remove parts that they don't like ."
[33:03] me013 | Yeah .
[33:10] me011 | The problem is if it 's harder for them it 's also harder for me .
"[33:13] me011 | Whereas this web interface , I just get email , it 's all formatted , it 's all ready to go and I can just insert it ."
[33:17] me013 | So maybe you don't give them access to the web interface unless they really need it .
[33:22] fe008 | Yeah . Hmm .
[33:24] me013 | So maybe this is a s a way out of it .
"[33:28] me013 | handle , and useful for someone else if they need it ."
[33:32] me013 | But
"[33:33] me013 | I think the issue of privacy and ease and so forth should be that uh , they get access to this if they really need it ."
[33:39] me018 | So you 're saying the the sequence would be more like
"[33:42] me018 | first Adam goes to the contact lists , contacts them via whatever their preferred method is , to see if they want to review the meeting ."
[33:49] me013 | Right .
"[33:50] me018 | And then if they don't , you 're done . If they do , then he provides them access to the the web site ."
[33:55] me013 | W w
"[33:56] me011 | Well , to some extent I have to do that anyway because as I said we have to distribute passwords ."
[33:56] me018 | Or a printed - out form .
[34:00] me013 | y
"[34:00] me011 | So ,"
[34:01] me013 | but you don't necessarily have to distribute passwords is what I 'm saying .
[34:05] me018 | Only if they want it .
[34:06] me011 | what I 'm saying is that I can't just email them the password because that 's not secure .
[34:09] me011 | So they have to call me and ask .
[34:12] me013 | Right .
[34:13] me013 | But we don't even necessarily need to end up distributing passwords at all .
"[34:17] me011 | Well , we do because of privacy . We can't just make it openly available on the web ."
"[34:20] me013 | No , no . You 're missing the point ."
[34:22] me013 | We 're We 're trying i
[34:23] me013 | We 're trying to make it less of an obvious just l l l l
"[34:27] me013 | uh fall off a log , to do this ."
"[34:29] fe008 | Not everyone gets a password ,"
[34:31] fe008 | unless they ask for it . Yeah .
[34:31] me013 | Right ?
"[34:31] me013 | So th so what I would see , is that"
"[34:35] me013 | first you contact them and ask them if they would like to review it for to check for the not just for fun ,"
[34:40] me013 | OK ? but to to check this
"[34:43] me013 | for uh things that they 're worried about having said or if they 're willing to just send an approval of it , at from their memory ."
"[34:50] me013 | Um and , uh , and we should think carefully actually we should review go through how that 's worded , OK ?"
"[34:57] me013 | Then , if someone uh wants to review it ,"
"[35:01] me013 | uh , and I know you don't like this , but I 'm offering this as a suggestion , is that is that we then give them a print out ."
"[35:07] me013 | And then if they say that "" I have a potential problem with these things , "" then ,"
"[35:17] me011 | But the the problem with what you 're suggesting is it 's not just inconvenient for them , it 's inconvenient for me ."
[35:22] me011 | Because that means multiple contacts every time for every single meeting every time anyone wants anything .
"[35:29] me011 | I would much prefer to have all be automatic , they visit the web site if they want to . Obviously they don't have to ."
"[35:35] me013 | I know you 'd prefer it , but the proble we have there 's a problem with it ."
[35:37] me011 | Yeah . So I think you 're thinking people are going to arbitrarily start bleeping and I just don't think that 's gonna happen .
"[35:48] fe008 | that uh , it 's I th I th You know , if it turns out that something gets published in this corpus that someone really should have eliminated and didn't detect ,"
"[35:58] fe008 | then it could have been because of their own negligence that they didn't pursue that next level and get the password and do that , um ,"
"[36:04] fe008 | but but they might be able to argue "" oh well it was cumbersome , and I was busy and it was gonna take me too much time to trace it down "" . So it could that the burden would come back onto us . So I 'm a little bit worried about uh , making it harder for them , from the legal standpoint ."
[36:17] fe008 | Yeah .
"[36:19] me011 | It seems to me that sending them email ,"
[36:21] me013 | Uh - huh .
"[36:22] me011 | saying "" if you have an O - OK reply to this email and say OK ,"
"[36:25] me011 | If you have a problem with it contact me and I 'll give you a password "" ,"
"[36:29] me011 | seems like is a perfectly , reasonable compromise . And if they want a printout they can print it out themselves ."
[36:36] mn014 | Yeah .
"[36:41] fe008 | um , my impression is that they that we offered them at the very least that they definitely would have access to the transcript . And and I ha I don't know that there 's a chance of really skipping that stage ."
[36:49] me013 | Yeah .
"[36:58] me011 | Having it . Well the in the consent form is right in there if anyone wants to look at it , so ."
[36:59] fe008 | Giving it to them . OK .
[37:00] fe008 | Alright . Fine . OK . Fair enough .
[37:03] me013 | Yeah .
[37:04] me011 | D you want me to grab one ?
"[37:06] me011 | Yeah , but you 're wired aren't you ?"
[37:07] fe008 | Yeah . That is true .
[37:11] me013 | Um .
[37:15] fe008 | Oh yeah yeah oh I know .
[37:21] fe008 | Yeah that 's true . Yeah .
[37:28] me013 | Yeah .
[37:41] fe008 | Hmm .
[37:42] fe008 | Well that 's more open than I realized .
[37:45] me011 | The one question is definitely clear with anything as opposed to just what you said .
[37:47] mn014 | Yeah .
"[37:48] me013 | Yeah , uh no that it tha that 's right ."
"[37:48] fe008 | Tha - that 's true . That 's more severe ,"
"[37:50] fe008 | but the next one says the transcript will be around . And it doesn't really say we 'll send it to you , or wi it 'll be available for you on the web , or anything ."
[37:56] me018 | I think it probably leaves it open how we get it to them .
[37:58] fe008 | At least it more often . Yeah .
[38:00] fe008 | It means also we don't have to g
[38:04] me011 | They just have to make sure that it is available to them .
[38:06] fe008 | It 's available to them if they ask for it .
"[38:08] me013 | Yeah , OK , so . wh um I think I have an idea that may be sat may satisfy both you and me in this which is ,"
"[38:13] me013 | um , it 's a it we just go over carefully how these notes to people are worded ."
"[38:19] me013 | So I I just want it to be worded in such a way where it gives the strong impre it gives very , I mean nothing hidden , v very strongly the bias that we would really like to use all of these data ."
[38:31] me011 | Right .
"[38:32] me013 | That that we really would rather it wasn't a patchwork of things tossed out , that it would be better for , um , our , uh , field"
[38:35] fe008 | Good .
[38:45] me013 | And I don't think there 's anything in the legal aspects that that is hurt by our expressing that bias .
"[38:50] fe008 | Great . Great , great . Yeah . I agree ."
[39:11] me013 | Well I don't know . I kind of had fun when you played me something that was bleeped out . You know . I -
[39:17] me013 | Oh they won't ?
[39:20] me013 | Oh good . So you haven't made it so much fun .
[39:23] me011 | It just sends me the time intervals . And then at some point I 'll incorporate them all and put bleeps .
"[39:28] me011 | I mean I don't wanna have t ha do that yet until we actually release the data because um , then we have to have two copies of every meeting and we 're already short on disk space ."
[39:28] me013 | Yeah .
[39:36] me013 | Yeah .
[39:37] me011 | So I I wanna I just keep the times until we actually wanna release the data and then we bleep it .
[39:43] me013 | OK .
[39:45] me013 | Yeah so if we have if i
"[39:47] me013 | Again let 's you know , sort of"
[39:57] me013 | OK .
"[40:01] me013 | Turn about is fair play , Sorry ."
"[40:02] fe008 | Also it ther there is this other question , the legal question that that Adam 's raised , uh about whether we need a concrete signature , or email c i suffices or whatever and I don't know how that works . i There 's something down there about "" if you agree to """
[40:09] me011 | Yeah .
"[40:14] me013 | I 'm I 'm I 'm I thought I I thought about it with one of my background processes and I uh it 's uh it 's uh , it 's fine to do the email ."
[40:14] me011 | I don't think so .
[40:20] fe008 | Ah .
[40:23] fe008 | Fine . Good . OK .
[40:24] me011 | Yeah because thi th they 're signing here that they 're agreeing to the paragraph which says
"[40:28] me011 | "" you 'll be given an opportunity . """
[40:30] me011 | And so I don't think they need another signature .
[40:32] me013 | Well and furthermore I it 's now fairly routine in a lot of arrangements that I do with people on contracts and so forth that that uh if it 's if it 's that sort of thing where you 're
"[40:42] me013 | you 're saying uh "" OK I agree , we want eighty hours of this person at such - and - such amount , and I agree that 's OK , """
[40:48] me013 | uh if it 's a follow up to some other agreement where there was a signature it 's often done in email now so it 's it 's OK .
[40:51] me011 | Right .
[40:55] fe008 | Great .
[40:56] me013 | Um .
"[40:59] me011 | So I guess I probably should at the minimum ,"
[41:02] me011 | think about how to present it in a printed form .
"[41:07] me011 | I 'm not really sure what 's best with that . The problem is a lot of them are really short ,"
[41:11] me011 | and so I don't necessarily wanna do one per line .
[41:14] me011 | But I don't know how else to do it .
"[41:15] fe008 | I also have this I I think it 's nice you have it uh , viewab her hearable on the on the web for those who might wonder about"
"[41:22] fe008 | um , the non nonverbal side , I mean I I agree that our bias should be as as expressed here , and but"
[41:36] me011 | Hmm .
[41:37] me013 | Mm - hmm .
[41:39] me013 | Mm - hmm .
[41:43] me011 | Yeah I think actually my opinion probably is that the only time someone will need to listen to it is if the transcript is uh
[41:50] me011 | not good .
"[41:51] me011 | You know , if if there are lots of mumbles and parentheses and things like that ."
[41:57] me011 | Right .
[42:05] mn014 | Yeah .
[42:07] fe008 | Or or even or even there was a a line you know about how
[42:09] me013 | Yeah .
"[42:13] mn014 | Oh , God ."
[42:25] fe008 | Yeah .
"[42:26] fe008 | So I don't know . I mean , I I guess we 're assuming that the transcript is a close enough approximation and that that my double checking will be so close to absolutely perfect that it that nothing will slip by ."
[42:34] me011 | Mm - hmm .
[42:43] me013 | i i
"[42:44] me013 | I mean , you might be very accurate in putting down what they actually said ,"
[42:48] fe008 | Mm - hmm .
"[42:49] me013 | but , when they hear it , themselves , they may hear something different because they know what they meant ."
[43:00] fe008 | I don't know how to notate that .
"[43:04] me018 | Sarcasm , how do you how do you indicate sarcasm ?"
"[43:06] me013 | No , I 'm serious ."
"[43:07] me013 | So the so i the so we might we might get some feedback from people that such - and - such was ,"
"[43:13] me013 | you know , not not really what I said ."
[43:16] me011 | Yeah .
"[43:17] me011 | Well that would be good to get , definitely ."
"[43:17] me013 | Yeah , but ,"
"[43:18] me013 | Yeah , sure ."
[43:19] me011 | Just for corrections .
[43:20] me013 | Yeah .
"[43:21] me011 | So um , in terms of password distribution , I think phone is really the only way to do it , phone and in person . Or mail , physical mail ."
[43:26] fe008 | Yeah .
[43:28] fe008 | Or if for leave it on their voice mail .
[43:29] me018 | Any sub - word level thing . @ @
[43:34] me011 | I mean you could do it with PGP or things like that but it 's too complex .
"[43:45] fe008 | I mean i well , and actually also the lawyer saying that um , we shouldn't really have them have the people"
[43:53] fe008 | believing that they will be cleared by our checks . You know ?
[43:57] fe008 | I mean . So it 's like i in a way it 's it 's nice to have the responsibility still on them to
[43:57] me013 | Mm - hmm .
"[44:07] me013 | I mean ,"
"[44:09] me013 | most people will not wanna take the time to do that , though ."
"[44:12] fe008 | Yeah , OK , fair enough ."
"[44:13] fe008 | And they 're s they 're absorbing the responsibility themselves . So it 's not it 's not um Yeah , good ."
"[44:34] fe008 | It is true that tec that the content is technical , I and so i"
[44:36] me013 | Yeah .
"[44:39] fe008 | I I mean , when I listen to these things , I don't find things that are questionable ,"
[44:43] fe008 | in other people 's speech or in my own .
[44:45] fe008 | It should be very rare .
"[44:48] fe008 | Yeah . Yeah , OK ."
[44:51] me011 | How about them energy crises .
[44:53] me013 | Yeah .
[45:12] me013 | Yeah .
[45:12] mn009 | I don't really have anything specific to to talk about .
[45:15] me013 | That 's fine .
"[45:18] mn009 | Oh , OK ."
[45:19] me013 | You don't have anything to say .
[45:29] me011 | Shall we do digits ?
[45:30] me013 | Oh yeah .
"[45:31] me011 | Um , oh by the way I did find a bunch Uh , we should count out how many more digits to forms do we have back there ?"
[45:35] me018 | There were quite a few .
"[45:36] me011 | That 's what I thought . I f I was going through them all and I found actually a lot filed in with them ,"
[45:36] me018 | Uh .
"[45:40] me011 | that were blanks , that no one had actually read . And so we still have more than I thought we did . So , we have a few more digits before we 're done ."
[45:43] me018 | Mmm .
[45:45] me018 | Oh good .
[50:01] me018 | You know having this headset reminds me of like working at Burger King or something . No I never did .
"[50:06] fe008 | Oh , did you do that ?"
