[00:03] me011 | OK . So .
[20:10] fe008 | and I 'll go down and get my stuff ?
[20:12] me025 | You don't Just take the thing with you .
[20:14] me011 | Th - i
[20:14] fe008 | Are you serious ?
"[20:15] me025 | Well ,"
"[20:16] me025 | I don't know what will happen , but you may as well ."
"[20:17] fe008 | I but but what uh I mean ,"
[20:20] me025 | Sure . Sure . Sure .
[20:20] me011 | Sure .
[20:20] me022 | Sure .
[20:20] fe008 | OK . And I go get my books and I 'll be right back .
[20:22] fe008 | I didn't think of bringing this .
[20:25] me025 | My uh
[20:27] me022 | We can hear all your conversations along the way .
[20:27] me025 | My s
"[20:29] fe008 | I 'll try not to say , "" So , Oh dear ,"
[20:29] me025 | Yeah .
"[20:30] fe008 | Boy ! That 's itching there ! "" So ,"
"[20:33] me025 | Yeah , that 's true ."
[20:35] me025 | You can leave it behind as well if you want .
"[20:40] me011 | So ,"
[20:42] me011 | For the d
"[20:42] me025 | I assume that these are projects where they do the whole thing , right ?"
[20:45] me011 | Right .
[20:45] me025 | So they probably will have tools to address the actual
"[20:47] me025 | the the the transcriber support and then automated alignment of what the transcribers give you , which is , you know , exactly the problem we have . So ."
[20:52] me011 | Mm - hmm .
"[20:55] me022 | Right , but we can do automated alignment . That 's not a problem"
[20:57] me025 | Right .
[20:58] me022 | I think
[20:58] me025 | Right .
[20:59] me025 | But then again we don't have to do it .
"[21:02] me011 | Well , I 'm not sure if we can do automated alignment or not ."
"[21:06] me011 | I mean ,"
[21:07] me022 | I th
[21:11] me011 | a prayer .
"[21:13] me025 | Oh sure , we are . We 've got individual microphones ."
"[21:15] me022 | to get the r to get the actual transcript , I think"
[21:18] me022 | because of the separate channels .
"[21:20] me011 | Oh , that 's true . Right . We could just do it through these ."
[21:22] me025 | Yeah .
[21:22] me022 | Right .
[21:23] me011 | I hadn't even thought about that . Sure .
[21:25] me011 | Um .
"[21:26] me011 | In terms of data formats , uh"
[21:28] me011 | what I did for the Digits stuff was just
[21:30] me011 | to hand - rolled my own .
[21:31] me011 | That looks like this form .
"[21:33] me011 | You know , it 's just uh something that 's easy to parse in Perl ."
[21:36] me011 | Um .
[21:37] me011 | Probably for
"[21:38] me011 | the full one , we 'll want to do something like S T M ."
"[21:42] me011 | I mean , some format that our tools already work with ."
[21:42] me025 | Yeah .
"[21:44] me025 | Well ,"
"[21:47] me025 | Yes ,"
[21:48] me025 | although that might @ @
[21:50] me025 | we 'll have several formats that you can interconvert between .
[21:53] me022 | Right .
"[21:53] me011 | Yeah , presumably ."
"[21:53] me025 | When we want to do recognition we 'll do STM , but"
"[21:57] me025 | rather than rather than designing our own format ,"
[21:58] me025 | we 'll just take whatever
"[21:59] me025 | comes out of the tools that we can find to use , I think ."
"[22:02] me011 | Yeah , I guess that 's true ."
[22:03] me011 | Yeah .
[22:03] me025 | I I I 've got no idea
[22:03] me022 | Right .
[22:05] me025 | what that 'll look like .
[22:06] me025 | but
[22:07] me025 | on our speaker phones .
[22:08] me022 | I know that um
"[22:11] me022 | the Mississippi State tools , at least th what the produce"
[22:13] me022 | does not come out in STM format .
[22:15] me025 | Right .
[22:15] me022 | They they basically give
[22:18] me022 | um
[22:19] me022 | They subdivide into WAVE files
"[22:23] me022 | oh , you know ,"
"[22:24] me022 | a WAVE file that g indicates where the start and stop times are ,"
[22:27] me025 | Mmm - hmm .
[22:28] me022 | um
[22:29] me022 | and then give the
[22:30] me022 | uh
[22:31] me022 | the
[22:32] me025 | Yeah .
[22:32] me022 | sentence information .
[22:33] me022 | But
[22:34] me022 | I mean
[22:35] me022 | Ni - i
"[22:36] me022 | as you said , it was easy to convert"
[22:38] me022 | back and forth between
[22:40] me022 | um
"[22:41] me022 | that file and STM format ,"
"[22:42] me022 | in fact what I did is I took the Mississippi State data ,"
[22:45] me022 | and just made STM files out of it .
[22:47] me025 | Mm - hmm .
[22:48] me025 | OK .
[22:49] me025 | Good .
"[22:50] me011 | OK . "" MATE Mark - up Framework "" . OK ?"
[22:51] me025 | Right .
"[22:52] fe008 | "" Specification of uh Coding workbench "" ,"
[22:55] me022 | Mm - hmm .
"[22:55] fe008 | That 's one o thing , and then , back in here"
"[22:57] me011 | Oh , no ! It has the word "" X M L "" in it !"
[23:01] me025 | It must be It must be fundable then .
[23:05] fe008 | This is the
[23:06] me022 | Looks like uh work packages .
[23:07] me022 | Must be a European project .
[23:07] me025 | Yeah .
"[23:08] me025 | Oh , yeah ."
[23:09] me025 | @ @
"[23:09] fe008 | Yeah , it is European . Both of these are Eur - European ,"
[23:11] fe008 | but they have
"[23:12] fe008 | you know , American contributions , and stuff ."
"[23:14] me022 | Oh , so they 're using the Alembic"
"[23:15] me022 | Workbench , from Mitre ."
[23:17] me025 | Alembic ?
[23:18] me022 | I guess .
[23:18] fe008 | Yeah .
[23:18] me011 | Is that free ?
[23:20] me022 | I don't know .
[23:20] fe008 | Well i but you see they have a whole bunch of things .
[23:26] fe008 | Let me show y
"[23:27] fe008 | Have you seen this one , Dan ?"
[23:29] me025 | No .
"[23:31] fe008 | Oh , you 've got one ."
[23:31] fe008 | What are you looking at here ?
[23:33] fe008 | He 's got the Mark - up Framework .
"[23:34] fe008 | Oh , yeah ."
[23:35] fe008 | Different coding schemes .
[23:36] me011 | But it doesn't have enough pictures .
"[23:37] me011 | So , I think"
[23:37] fe008 | OK .
[23:37] me011 | it will require too much reading to understand whether this is anything
"[23:39] me022 | Oh ,"
"[23:39] me022 | this is ,"
[23:40] me022 | I see .
[23:41] me011 | that we can easily use .
[23:43] fe008 | What they 're doing is they 're comp comparing all these existing things that have been submitted and
[23:47] me022 | I see .
"[23:48] fe008 | And it includes , this one includes the TEI and"
[23:50] fe008 | uh
[23:52] fe008 | so it 's it 's um
[23:54] fe008 | pretty broad - based .
"[23:56] me022 | Mitre ,"
[23:56] fe008 | That 's the Text Encoding Initiative .
[23:58] me011 | Oh .
[23:59] fe008 | That 's a way of marking mark - up .
"[24:00] fe008 | so , you know , but focus on tools to do this stuff"
"[24:04] fe008 | um , I do have a file also in addition to those things , but"
[24:08] fe008 | it 'll take me just a second here
"[24:09] me011 | Well , I guess XML"
[24:10] me011 | makes some amount of sense . I 'm not actually familiar with it but
[24:14] me011 | it seems to be the sort of thing
[24:16] me011 | that this would be good for .
[24:19] fe008 | a basic transcription
[24:20] fe008 | and a good filter .
[24:22] me011 | Mm - hmm .
"[24:22] fe008 | I mean , that 's"
[24:25] fe008 | you should be able to translate between
[24:29] me011 | Right .
"[24:30] fe008 | at least , you know , with a focus on discourse , mostly ."
[24:33] fe008 | Oh ! I wanted to m
[24:38] fe008 | is um a query language for research in phonetics where he
[24:41] fe008 | wants to build in ToBI tags and so you can
[24:44] fe008 | determine
[24:45] fe008 | um I wanted to mention this to you . I was
[24:47] fe008 | going to come by and ask you about this .
[24:47] me025 | Mm - hmm .
[24:49] fe008 | Do you know about the Stuttgart um people ?
[24:56] me025 | I don't think so .
[24:56] fe008 | He says that uh in German
"[24:58] fe008 | "" selbst "" is used in two different ways so you have"
"[25:00] fe008 | It either means uh "" himself "" or it means "" even """
[25:03] fe008 | and you can tell the difference in terms of uh intonation .
[25:03] me025 | Mm - hmm .
"[25:06] fe008 | So ,"
[25:06] me025 | Hmm .
[25:06] fe008 | they have the recordings such that they
[25:09] fe008 | can locate things uh
[25:11] fe008 | with by searching
[25:12] fe008 | for
[25:13] me025 | Mm - hmm .
[25:13] fe008 | part of speech and also
[25:14] fe008 | intonational tags .
"[25:17] fe008 | Anyway , that 's that ."
[25:17] me025 | Because the transcriber 's put in intonational tags ?
[25:19] fe008 | This is true .
[25:20] fe008 | This is true .
[25:22] fe008 | Which of course is another issue .
[25:23] me025 | Or maybe not .
[25:25] fe008 | Exactly so .
[25:27] fe008 | I have one more thing I need to find .
[25:30] me025 | Well .
[25:30] me022 | But that kind of thing
[25:31] me022 | I think we would probably want to extract automatically .
"[25:34] me022 | I mean ,"
"[25:36] me022 | e this is ,"
[25:36] fe008 | Yeah .
[25:36] me022 | the this is a conversation that we should have with Liz .
[25:38] fe008 | Yes .
[25:39] fe008 | Oh . OK .
"[25:40] me022 | Right ,"
[25:42] me022 | She 's going to be the one who 's the most
[25:44] me022 | concerned about
[25:45] me022 | this kind of thing .
[25:46] fe008 | OK .
[25:47] me022 | And so she may have some ideas .
[25:48] me022 | on on that particular issue .
[25:50] me025 | Mm - hmm .
"[25:50] me011 | Right , but it 's I think for the initial task ,"
[25:52] me011 | just getting the word transcripts and speaker change
[25:53] fe008 | Yeah .
[25:54] me011 | is highest on my list .
"[25:56] fe008 | Well that 's what Morgan mentioned to me , too . I mean , if in terms of"
[25:57] me011 | So .
[25:58] me022 | Yeah .
[25:58] fe008 | But you asked me about uh
[26:00] fe008 | tools and things and um
[26:01] me025 | Yeah .
[26:02] fe008 | There 's this one
[26:03] fe008 | um
"[26:03] fe008 | This is called "" Transcriber "" ."
[26:05] fe008 | um
"[26:05] fe008 | "" binary distribution for for"
[26:07] fe008 | uh
[26:08] fe008 | Linux and Solaris and
"[26:10] fe008 | SGI and Windows "" ."
[26:11] me011 | Mm - hmm .
[26:11] me025 | Mm - hmm .
[26:12] me025 | Who 's it from ?
[26:15] me025 | Right .
"[26:16] fe008 | "" It allows"
"[26:16] fe008 | to manually segment , label and transcribe speech signals """
"[26:20] fe008 | And ,"
[26:20] me025 | Is it the French one ?
"[26:21] fe008 | uh , let 's see , where did I get this ? I got this from U Penn ."
[26:24] me025 | U Penn .
[26:25] me025 | I think that I 've heard of this one . It was the one that Steve Renals
[26:27] me025 | mentioned .
[26:27] fe008 | It is possible .
[26:29] fe008 | It could be French . I can't really tell .
[26:32] me022 | Can I see that ?
"[26:35] me011 | It sounds like you 're at least a little familiar with these tools , Jane , so"
[26:39] me011 | Are y Do you feel comfortable just picking one ?
[26:41] fe008 | I 've never used any of them .
[26:43] me011 | OK .
[26:43] fe008 | And so um I think it would be something that we should work
"[26:46] fe008 | uh together with , in terms of"
[26:48] me025 | Sure .
[26:48] fe008 | uh
[26:49] me022 | Right .
[26:49] fe008 | Here 's another thing I got .
"[26:50] me022 | Oh , so this 'd this w is"
[26:51] me022 | probably what the L D C uses . I mean they do a lot of transcription at the L D C .
[26:55] fe008 | OK .
[26:58] me022 | what it is they actually use .
[27:00] fe008 | Oh ! Good idea .
"[27:00] me022 | I mean , I know ,"
[27:01] me022 | I mean
[27:01] fe008 | Great idea .
"[27:02] me022 | I 've got contacts up there , so ."
[27:03] me011 | Signed language is interesting .
[27:05] me022 | So .
[27:09] me025 | Can I see ?
[27:10] me022 | Yeah .
"[27:11] fe008 | This is the other think that um This is part of EAGLES , but"
"[27:14] fe008 | um ,"
"[27:15] fe008 | but here again , it 's focusing on representation rather than the tools to do this ."
[27:20] fe008 | Why do I feel like I 'm whispering ?
"[27:21] me011 | Well , so , how should we proceed on picking a tool ?"
"[27:24] me011 | Jane , do you want to pick a few and we 'll download them and"
[27:26] me011 | try them out ?
[27:27] me011 | Is that the right thing to do ?
[27:27] fe008 | Oh !
[27:28] fe008 | I think that would be lovely .
"[27:29] fe008 | Now , so , are we talking about"
[27:32] fe008 | uh simply the word
[27:33] fe008 | stage ?
[27:34] fe008 | or are you talking about tools that would allow the time alignment
[27:37] fe008 | as well ?
"[27:37] me011 | No , we 're not going to do time alignment ."
[27:38] me022 | No .
[27:39] fe008 | OK .
"[27:39] me025 | Well ,"
[27:40] me025 | We are going to do time alignment .
"[27:41] me025 | but we 'll probably do it ourselves , right ?"
[27:46] me022 | Right .
[27:46] me025 | about buying and or
[27:48] me025 | bringing in tools .
[27:48] me022 | We 're very good at time alignments .
[27:49] me025 | We 're not very good but we 're
[27:49] fe008 | OK .
[27:50] me025 | proud of ourselves .
[27:51] me022 | Right . OK .
[27:51] me025 | We 're very proud of our time alignment .
[27:53] fe008 | Absolutely .
"[27:53] fe008 | Yeah ,"
[27:54] fe008 | OK .
[27:55] fe008 | Good .
"[27:55] me011 | but , in terms of what the transcriber needs to do ,"
[27:58] me011 | they 're not going to have to do time alignment .
"[27:59] fe008 | Oh good , OK ."
[28:00] me011 | Except
[28:00] fe008 | Fine .
"[28:03] me025 | Right . I mean , it 's not a bad Oh look !"
[28:05] me025 | It uses Snack !
[28:07] me022 | Uses what ?
[28:08] me025 | It uses Snack .
[28:08] me025 | That 's a TCL audio thing that I had some involvement with .
"[28:12] me011 | OK , then we 'll have to use it ."
"[28:12] fe008 | Oh , cool ."
[28:13] fe008 | Very cool .
[28:13] me011 | No no question .
[28:14] me025 | Yeah .
[28:15] me025 | It 's a TCL - based thing . I 'm sure it 's just wonderful .
[28:18] fe008 | Cool .
"[28:19] me025 | Yes , T"
[28:27] fe008 | Cool .
[28:33] me025 | Yeah . It 's the French one .
"[28:34] fe008 | Oh , cool !"
[28:35] me011 | Yeah .
[28:35] fe008 | OK .
[28:35] fe008 | There .
[28:37] me025 | But I 've never downloaded it . Someone mentioned it to me .
"[28:39] me025 | And that 's probably why they mentioned it to me ,"
[28:40] me025 | because they thought I would be excited
[28:41] me025 | because it 's TCL - based .
[28:42] fe008 | Did you see this one ?
"[28:44] fe008 | The - ,"
"[28:49] me011 | OK , So , so , it 's called "" Transcriber "" you said ?"
[28:50] fe008 | OK .
[28:53] me011 | gacks
[28:53] me025 | Transcriber
"[29:01] me022 | So it 's very interest I mean ,"
[29:02] me022 | it 's interesting that
[29:04] me022 | one of the coordinators on that is Mark Liberman
[29:06] me022 | from the LDC
[29:07] me011 | Mm - hmm .
[29:07] fe008 | Yeah .
[29:08] me022 | I don't know what
"[29:09] me022 | "" coordinator "" means"
[29:11] me022 | in in terms of that .
[29:14] me022 | I mean
[29:17] me022 | what is what is what is this web page from ?
"[29:20] fe008 | you know , I roam around"
[29:21] fe008 | on on topics like this
[29:22] me022 | Sure .
[29:23] fe008 | And I think I got this off the U Penn
"[29:25] fe008 | and it does in fact cite a French site , so um"
[29:28] fe008 | they have some sort of an arrangement .
"[29:30] me011 | Well , I just wrote down"
[29:30] me022 | I see .
[29:31] me011 | the French site and I will check it and try to download it
[29:33] me022 | Right .
[29:34] me011 | And uh see what it looks like .
[29:34] fe008 | Good .
"[29:37] fe008 | through the , uh ,"
[29:39] fe008 | I can't remember which
[29:40] fe008 | aspect of U of U Penn I was
[29:42] me022 | Right .
"[29:43] fe008 | following , but"
[29:44] fe008 | It must have been the LDC .
[29:45] fe008 | I I I bet you anything .
[29:46] me022 | Yeah .
[29:50] me011 | I vaguely recall that they have a pages uh tools page
"[29:53] me011 | somewhere ,"
[29:53] fe008 | Mm - hmm . OK .
[29:54] me011 | with like
[29:54] me022 | OK .
[29:55] me011 | lists and lists and lists of uh
[29:56] fe008 | Yes .
[29:56] me011 | various and assorted tools .
"[29:58] fe008 | They have a special project , as I 'm remembering ,"
"[29:59] fe008 | and um , usually it doesn't deal with much that has to do with discourse ,"
[30:00] me011 | Mm - hmm .
[30:03] fe008 | they show up in
[30:05] fe008 | resources .
"[30:05] me011 | So ,"
"[30:05] me011 | Um ,"
"[30:06] me011 | we 'll start with "" Transcriber "" and if it looks like that 's not gonna"
[30:13] me011 | we 'll look at something else .
"[30:14] fe008 | I like that very much , and I and I like the idea of also doing one that 's tied in with"
[30:15] me011 | OK .
"[30:17] fe008 | these larger corp corpus projects . So that , you know , the fact that ,"
[30:19] me011 | Mm - hmm .
[30:20] me025 | Mmm .
[30:20] me022 | Yeah .
"[30:20] fe008 | yeah , it 's U Penn and all that ."
[30:22] fe008 | Yeah .
[30:23] me022 | Right .
"[30:24] me011 | Also , I wanted to mention just in passing that"
[30:26] me011 | uh another thing that we 're going to want to start collecting is queries for the meetings .
"[30:30] me011 | So if over the next couple of days you find yourself wondering what we talked about in the meeting ,"
[30:34] me011 | write down the sort of query you 'd like to make .
"[30:36] fe008 | Oh , good idea ."
[30:37] me011 | Do you understand what I mean ?
[30:38] fe008 | It 's like the PDA thing .
[30:38] me025 | Mm - hmm .
"[30:38] me011 | So ,"
"[30:39] me011 | imagine that we had Meeting Recorder all done ,"
"[30:41] me011 | and you had one ,"
[30:42] me011 | what might you do
[30:44] me011 | with it ?
"[30:47] me011 | So ,"
[30:48] me011 | if they occur to you .
"[30:49] fe008 | So , like"
"[30:50] fe008 | "" did the French system use Tcl ? """
[30:51] me011 | Right .
[30:54] me022 | Actually what I would have
[30:54] me011 | Send m
[30:55] me022 | come up with was
"[30:55] me011 | So , if you could just email me them ."
[30:55] me022 | w w
"[30:56] me022 | "" What was the web address of that thing "" ,"
"[30:58] me011 | Yeah , except we didn't record ."
[30:59] me022 | we didn't record that .
[31:00] me011 | So .
[31:01] me022 | Right .
[31:02] me025 | That 's a fine question .
[31:05] fe008 | if anyone wants to know .
[31:05] me025 | Wow .
"[31:07] me022 | slash slash capital CTA slash , l Yeah ."
[31:08] me011 | s l
"[31:09] me011 | slash lots of other stuff , yeah ."
[31:10] me022 | Yeah .
"[31:10] me025 | So this thing , this uh deliverable D - three point one of the MATE"
[31:10] me022 | Right .
[31:14] me025 | project is
[31:15] me025 | a review of a lot of different tools .
"[31:17] fe008 | Yeah , there you go ."
[31:18] fe008 | Exactly .
"[31:18] me025 | They 're actually , they seem to be more"
[31:20] me025 | the tool the main focus of the tools is
[31:22] me025 | you 've already got a transcription but you 're trying to tag the different turns
[31:25] me025 | transi transcriptions with uh
[31:28] me025 | discourse roles
[31:29] me025 | and things like that .
[31:29] me022 | I see .
[31:30] me025 | But I mean a lot them are tools that will also do transcription as well .
[31:33] me025 | And I could be wrong .
[31:38] fe008 | you asking about
"[31:39] fe008 | time aligning the you know , What would you need to indicate"
[31:41] me025 | Right .
[31:41] fe008 | and were there tools for that because
[31:43] fe008 | um
[31:44] fe008 | I suspect that would be
[31:46] fe008 | uh pretty
[31:47] fe008 | time intensive .
"[31:48] fe008 | I also wanted to say , in terms of like"
[31:49] fe008 | disc
"[31:49] fe008 | you know , if there are discussions about intonation contours"
[31:52] fe008 | I do have
[31:54] me022 | Right .
[31:55] fe008 | I 'd like to be involved in that .
"[31:55] me022 | No , right , I didn't mean to imply that"
[31:56] fe008 | Yeah .
"[32:01] fe008 | Oh , not right now , but I mean in the future . So at this meeting with Liz"
[32:02] me022 | Right .
[32:04] me022 | Right .
[32:06] fe008 | I like that stuff .
"[32:07] me022 | Sure , sure ."
"[32:07] me011 | So , when is she showing up ?"
"[32:10] me022 | I mean , they 're coming in April ."
[32:12] me011 | April . OK .
[32:12] me022 | Right .
"[32:13] me022 | But ,"
[32:13] me022 | um
"[32:16] me022 | You know , we we may or may not"
[32:18] me022 | talk before then
[32:18] me011 | Mm - hmm .
[32:19] me022 | on that .
[32:20] me022 | Um .
[32:21] me022 | I I think we won't
"[32:22] me022 | probably talk until we have more data , I would think ."
[32:24] me022 | Right ?
"[32:27] me011 | Right , since we have"
"[32:28] me011 | almost none right now ,"
[32:29] me011 | let 's
[32:29] me022 | Yeah .
[32:31] me011 | We need to move forward from there .
"[32:33] me011 | But uh , yeah , I guess it 's O K ."
"[32:36] me011 | And then , uh"
"[32:42] me011 | Dan and I spoke about this briefly ,"
[32:43] me011 | do we want to try to combine channels somehow
[32:46] me011 | to make the transcriber 's job easier ?
[32:48] me011 | I was listening to some of it and uh
"[32:50] me011 | like , if you just listen to the far"
[32:52] me011 | P Z M
[32:53] me011 | the person sitting at this end of the table you can hardly hear at all .
[33:00] me011 | it may be worthwhile to at least
[33:02] me011 | try a little bit
[33:04] me011 | to combine the channels .
[33:05] me022 | Right .
"[33:08] me025 | Uh , the stuff I did , I combined pairs of these into stereo pairs , listened to them in stereo ."
[33:12] me011 | Huh . Neat !
[33:12] me025 | And I was very impressed by how
[33:14] me025 | well you could hear
[33:17] me025 | I haven't done very extensive tests .
"[33:20] me011 | Oh , so , that would be"
[33:20] me011 | interesting as well to do that .
[33:21] me022 | Oh !
"[33:21] me022 | Yeah , cuz you 'd get"
[33:23] me025 | you get a certain amount of spatial information .
[33:25] me022 | Right !
[33:27] me022 | Wow .
"[33:27] me011 | Well , I bet if you used"
[33:27] me025 | Gives you some
"[33:32] me011 | Well , maybe , maybe not ."
"[33:33] me025 | Yeah , yeah , you 'd get get wide coverage ."
"[33:34] me022 | Well , you would you would sound like you 'd have like in this e big"
[33:36] me011 | Big ears .
[33:36] me025 | Right . Right .
"[33:37] me025 | But I mean But you would you would You know , you 'd get"
[33:37] me022 | big head .
[33:41] me025 | You 'd get good pick up at both ends of the table .
[33:43] me022 | Right .
[33:43] me025 | So .
[33:43] me011 | Right .
[33:44] me022 | Right .
"[33:48] me011 | OK , do we have anything else to talk about with transcribes ?"
"[33:52] me025 | Well , what is what is the goal ?"
[33:54] me025 | again ?
"[33:57] me025 | I mean , ultimately , we 're going to end up with"
[33:59] me025 | transcriptions of these meetings .
[34:04] me011 | train a neural net
[34:05] me011 | and
[34:06] me011 | create a recognizer and
[34:09] me011 | do
"[34:11] me025 | Then we 'll be done , huh ?"
"[34:14] me011 | Well , that 's my interest ."
"[34:14] me011 | I mean , other people have different interests , so ."
[34:15] me025 | Um .
[34:17] me011 | That 's what I want .
"[34:19] me025 | Of course , there are different kinds of recos"
[34:21] me025 | so we 're going to actually train a recognizer based on these
"[34:25] me025 | uh , far - field mikes cuz what we that 's the problem we 're trying to solve ."
[34:26] me011 | Right .
[34:28] me011 | Right .
[34:28] me025 | OK .
"[34:32] me011 | so , the reason we 're doing near field as well is if that doesn't work we wanna back"
[34:36] me025 | and also the near field will allow us to do the time alignment accurately .
[34:37] me011 | something that will work .
[34:38] me011 | Right .
[34:40] me011 | Right .
[34:41] me025 | Um .
[34:42] fe008 | So these are near near field ?
[34:43] me011 | Mm - hmm .
[34:43] me025 | Yeah . Yeah . Close mikes .
[34:43] fe008 | there
[34:49] me025 | that What we 're actually going to do with these data is
[34:51] me025 | very unclear to me
[34:53] me011 | Why ?
[34:56] me011 | Y
"[34:58] me011 | The question is , "" is it will it work well enough to do information retrieval ? """
[35:01] me025 | Uh - huh .
"[35:01] me011 | So , w will the application the Meeting Recorder application ,"
[35:05] me011 | work ?
[35:06] me025 | Yeah .
"[35:07] me011 | So ,"
[35:08] me011 | Part of the research is um
"[35:10] me011 | "" is fifty percent"
"[35:12] me011 | accuracy enough to do an useful information retrieval ? """
"[35:16] me022 | Well , part"
[35:17] me011 | It might be .
[35:17] me022 | I
"[35:17] me025 | Well , we know the answer to that ,"
"[35:21] me011 | That 's right ,"
"[35:21] me011 | Well , but you know we have to try ."
[35:23] me025 | Yeah .
[35:23] me011 | We we we could simply not do the project .
[35:25] me011 | But I think that 's a bad solution .
[35:25] me022 | W
[35:26] me022 | We also need to d
"[35:27] me022 | do this in terms of SmartKom ,"
[35:30] me022 | to build general
[35:32] me022 | English acoustic models .
[35:34] me022 | that
[35:35] me022 | can be
"[35:35] me022 | that they can say "" OK here 's the vocabulary and"
"[35:40] me022 | you know , here are the pronunciations ."
"[35:42] me022 | And go to it . """
[35:43] me025 | And are they specifically far field
[35:45] me022 | Yeah .
[35:45] me025 | mikes ?
[35:46] me022 | Yeah .
"[35:46] me011 | Oh , I didn't know that ."
[35:46] me025 | OK .
"[35:48] fe008 | You know , if if we were to add in addition ,"
"[35:50] fe008 | and I 'm offering this ,"
[35:52] fe008 | um
"[35:52] fe008 | to the word level ,"
[35:53] fe008 | also
"[35:55] fe008 | uh , so , stressed words ,"
[35:56] fe008 | within
[35:57] fe008 | utterances
[35:58] me025 | Yeah .
[35:58] fe008 | I do think that that would help the information retrieval .
"[36:02] me025 | Well , I mean , that would be tremendously useful information"
[36:05] fe008 | OK .
[36:05] me025 | assuming that we actually
"[36:06] me025 | pursue it ,"
[36:07] me025 | but
[36:09] me025 | um
"[36:09] me025 | we 've got a huge problem , because if we ge if we want train a recognizer we need tens of hours of labelled data ."
"[36:14] fe008 | Oh , good point ."
[36:14] me025 | And um
[36:16] me025 | it 's just eh it 's very frightening .
[36:18] me011 | Yep .
"[36:18] fe008 | So , are are you familiar with this"
[36:20] fe008 | the MARS the MARSEC project ?
"[36:23] fe008 | Um ,"
"[36:24] fe008 | So ,"
"[36:24] fe008 | I 'll put this over here , cuz he seems to be the chairman ."
[36:27] fe008 | Um .
[36:27] me022 | Who ?
"[36:28] me025 | Who , Eric ?"
[36:30] me022 | No .
[36:30] me011 | He has he has the open piece of paper .
[36:30] fe008 | Well
[36:32] fe008 | Uh - huh .
"[36:32] me011 | So ,"
[36:33] me011 | open notebook .
[36:33] fe008 | He Yeah .
[36:35] fe008 | y y
"[36:35] me022 | Well , Dan 's got an open notebook , too ."
[36:36] me025 | Outrageous !
[36:37] me025 | Laying out his folders .
[36:40] me022 | Right .
[36:43] fe008 | has
[36:44] fe008 | time - aligned spoken
[36:48] fe008 | I see it as sort of in - between
[36:50] fe008 | um
[36:51] fe008 | these fields
[36:52] fe008 | because a lot of the time when people do
[36:54] fe008 | rich um
[36:55] fe008 | intonational and and stress - oriented transcription
[36:58] fe008 | they
[36:59] fe008 | don't have the
[37:00] fe008 | digital
[37:01] fe008 | record
[37:01] fe008 | at the same time and the don't have it time - aligned .
[37:02] me025 | Mm - hmm .
"[37:03] fe008 | I don't know how large this is , actually ."
[37:06] fe008 | But I just
[37:07] fe008 | was sort of thinking that um
[37:09] fe008 | I 'm I 'm and it 's British
[37:10] me025 | Mm - hmm .
[37:10] fe008 | And you know
"[37:12] me011 | Well , I think to some extent with things like"
[37:13] fe008 | So .
[37:14] me011 | the stress and the other prosodic
[37:15] fe008 | Uh - huh .
[37:16] me011 | things an and tighter time alignments that we can do
[37:18] me011 | I think
[37:19] me011 | we should probably do those
[37:21] me011 | but only once we have a consumer of that data
[37:21] fe008 | Mm - hmm .
[37:24] fe008 | OK .
"[37:24] me011 | ' You know , so right now we have a consumer of"
[37:26] me011 | the word transcripts and the
[37:28] me011 | speaker change . Me . I want those things to work .
[37:29] fe008 | Mm - hmm .
[37:31] me011 | And so I would like to get that done as quickly as possible .
[37:33] fe008 | Mm - hmm .
[37:34] fe008 | I 'm d
[37:34] fe008 | Mm - hmm .
[37:35] me011 | if Liz or someone else wants to do some work on
[37:39] me011 | uh
[37:39] me011 | prosody and on stress and so on
[37:42] me011 | then
[37:43] me011 | we can go back to the data and generate the
[37:47] me011 | uh the transcripts that we need .
[37:48] fe008 | OK .
[37:49] fe008 | One thing about that is that is that
[37:50] fe008 | um
[37:51] fe008 | of
[37:51] fe008 | doing the word level ?
[37:53] fe008 | it really is just as easy to put the stress in at that point .
[37:56] me011 | Even for an undergrad ?
"[37:57] fe008 | Oh , oh , well , see"
[37:58] fe008 | in my pilot
"[37:59] fe008 | stuff , so in the half hour or so that I 'm doing ."
"[38:01] fe008 | I 'd just as soon put it in ,"
[38:03] me011 | Mm - hmm .
[38:03] me025 | OK .
"[38:05] fe008 | You know of course , Rosaria 's"
[38:06] fe008 | pursuing this this area
[38:07] me011 | Mm - hmm .
[38:08] fe008 | but I really do think
[38:09] fe008 | from everything that I 've run across that um
[38:12] fe008 | you should get gain
[38:13] fe008 | in terms of the
[38:15] fe008 | uh
[38:15] fe008 | uh
"[38:16] fe008 | what you were saying , the"
[38:17] me011 | Right .
[38:17] fe008 | information retrieval aspects from that .
"[38:20] fe008 | And I wouldn't be too surprised I mean , it 's it 's like uh"
"[38:23] fe008 | I mean I don't know how how reliable Lea is ,"
[38:25] fe008 | but if this idea of islands of of um
[38:28] fe008 | for di whatever they
[38:29] fe008 | are . r
[38:30] fe008 | r islands of reliability or whatever it is .
[38:30] me011 | Accuracy ?
[38:32] fe008 | The stressed w stressed words .
"[38:32] me011 | Certainty , islands of certainty ."
[38:33] fe008 | Is that it ?
[38:34] fe008 | OK .
[38:34] me011 | Yeah .
[38:35] fe008 | I mean
[38:36] me022 | Are you certain ?
[38:36] me025 | Lea ?
[38:37] me011 | No .
