[00:01] me006 | Hello ?
[52:36] mn007 | Yeah .
"[52:39] me013 | Yeah , that 's a good idea ."
"[52:45] mn007 | Because , yeah , well , spectral subtraction"
[53:01] me013 | Yeah .
[53:04] mn007 | Well it 's this musical noise which is
[53:13] mn007 | Um .
[53:18] mn007 | Yeah .
[53:23] mn007 | to go together very well .
[53:24] mn007 | I
"[53:35] mn007 | Ah , yeah ."
[53:37] mn007 | Yeah .
[53:54] me013 | it 's definitely going to be different than what they 're doing and uh
[53:56] mn007 | Mm - hmm .
[53:58] me013 | uh should have some interesting properties in noise .
[54:21] me013 | Uh .
[54:22] me013 | Has not .
"[54:22] mn007 | it i has not , yeah ."
[54:24] mn007 | Oh .
[54:27] me013 | that 's that 's a question for this uh you know extending the feature vector versus having different streams .
[54:38] mn007 | you just
[54:39] mn007 | Yeah .
[54:46] mn007 | Mm - hmm .
[54:47] mn007 | Mm - hmm .
[54:57] mn007 | thinking we were thinking about some kind of sheet cheating experiment where
[55:00] me013 | Uh - huh .
[55:01] mn007 | we would use TIMIT and see
[55:04] mn007 | if giving
[55:06] mn007 | the d
[55:12] mn007 | in terms of uh frame classification . Mmm .
"[55:20] mn007 | B but we cannot do the cheating , this cheating thing . Well ."
[55:20] me006 | We need labels .
[55:22] me013 | Why not ?
"[55:24] mn007 | Cuz we don't have Well , for Italian perhaps we have , but we don't have this labeling"
[55:29] mn007 | for Aurora . We just have a labeling with word models but
[55:33] me013 | I see .
[55:34] fn002 | Not for foreigners .
[55:34] me006 | we don't have frame frame level
[55:34] mn007 | not for phonemes .
[55:37] me013 | Um .
[55:38] me006 | transcriptions .
[55:39] mn007 | Um .
[55:48] mn007 | Yeah .
[55:52] mn007 | Mm - hmm .
[55:53] me013 | Oh .
[55:58] me013 | Yeah .
[56:00] me013 | I see .
[56:06] mn007 | Yeah .
"[56:07] mn007 | noise , yeah ."
[56:11] me006 | um portion of Aurora .
"[56:13] mn007 | Yeah , that 's right , yep ."
[56:15] mn007 | Mmm .
[56:19] me013 | Yeah .
"[56:21] mn007 | we can say that it will help , but"
[56:24] mn007 | I don't know .
"[56:25] mn007 | If this voicing bit doesn't help , uh ,"
[56:35] mn007 | Uh .
[56:36] mn007 | It 's just to know if it how much i it will help and to have an idea of
[56:38] me013 | Yeah .
[56:40] me013 | Right .
[56:41] mn007 | how much we can gain .
[56:43] mn007 | Mmm .
"[56:58] me013 | And um ,"
[57:00] me013 | so um
"[57:03] me013 | what that said is that ,"
"[57:06] me013 | sort of , left to its own devices , like without the a strong language model and so forth , that you would you would make significant number of errors just with your uh probabilistic machinery in deciding one oh"
"[57:19] me018 | It also Yeah , the though I think uh there was one problem with that in that , you know , we used canonical mapping so our truth may not have really been true to the acoustics ."
[57:29] me013 | Uh - huh .
[57:30] me006 | Hmm .
[57:31] me018 | So .
[57:31] mn007 | Mmm .
[57:45] me013 | speaker - dependent actually .
[57:47] mn007 | Mm - hmm .
[57:50] mn007 | Mm - hmm .
[58:05] me018 | Wow !
[58:05] me013 | and and uh for for that particular speaker and you 'd find you know the five or six features which really did well on them .
[58:05] mn007 | Mm - hmm .
[58:10] me013 | And then doing doing all of that we could get down to two or three percent error .
[58:14] mn007 | Mm - hmm .
[58:19] mn007 | Mmm .
[58:26] me013 | um
[58:33] me013 | significantly worse than that .
[58:35] mn007 | Mm - hmm .
[58:39] mn007 | all the the SpeechCorders ? what 's the idea behind ?
"[58:44] mn007 | Oh , they don't even have to detect voiced spe speech ?"
[58:47] me013 | The modern ones don't do a a simple switch . They work on the code book excitation . Yeah they do analysis - by - synthesis . They try they they try every every possible excitation they have in their code book and find the one that matches best .
[58:49] mn007 | They just work on the code book and
[58:52] mn007 | find out the best
[58:53] mn007 | excitation .
[58:55] mn007 | Yeah .
[58:59] mn007 | Mmm .
[59:00] mn007 | Alright .
[59:05] me006 | Hmm .
[59:06] me013 | Uh .
[59:09] me013 | O K .
[59:11] me013 | Yeah .
[59:12] me018 | Um .
[59:20] me018 | Um .
[59:22] me018 | Actually I I s we didn't I guess I wrote this in after the meeting b but the thought I had was
[59:28] me018 | um
[59:37] me006 | Mm - hmm .
[59:38] fn002 | Mm - hmm .
[59:50] me018 | So .
[59:57] me013 | Right .
"[59:57] me018 | And the interesting thing was it turns out that there are no sequences of two - long or three - long digit strings in any of the Aurora training data . So it 's either one , four , five , six , uh up to eleven , and then it skips and then there 's some at sixteen ."
"[00:23] me018 | Yeah . But I just thought that was a little odd ,"
"[00:28] me018 | Sorry . So I I just for the heck of it , I made a little grammar which um ,"
[00:36] me018 | for each length digit string you could get . So there was a one - long path and there was a
[00:41] me013 | Mm - hmm .
[00:47] me013 | Mm - hmm .
"[00:48] me018 | you know , I I didn't have any weights of these paths or I didn't have anything like that . And I played with tweaking the word transition penalties a bunch , but I couldn't go anywhere ."
[00:50] me013 | Mm - hmm .
[00:55] me018 | But um .
[00:56] me013 | Hmm .
"[00:58] me018 | Yeah , I guess I should have looked at to see how often there was a mistake where a two - long or a three - long path was actually put out as a hypothesis . Um . But ."
[01:08] me013 | Hmm .
[01:24] me018 | Yeah .
[01:33] me013 | Sure .
