[00:00] me022 | Yeah .
"[25:32] fe016 | Well , could we keep one of these things for another year ? Would h I mean is there a big cau"
[25:39] fe016 | even maybe some of the transcribers who might be wanting to annotate
[25:48] fe016 | it might not be the case that we can actually
[25:50] fe016 | synchronize them and then do all the infrastructure but we could at least try it out .
[25:54] me013 | one thing that we might try
[25:58] me013 | um
"[25:59] me013 | is on some set of meetings , some collection of meetings , maybe EDU is the right one or maybe something else ,"
"[26:05] me013 | we we get somebody to buy into the idea of doing this as part of the task . I mean ,"
[26:10] fe016 | Right .
[26:20] me013 | and so forth so and and Jane is more into it but eh uh
[26:28] me013 | to get someone to actually buy into it and have at least some series of meetings where we do it .
"[26:34] me013 | and if so , it 's probably worth having one ."
"[26:36] me013 | The p the the problem with the the more extended view , all these other you know with uh quibbling about particular"
[26:42] me013 | applications of it is that it looks like it 's hard to get people to
[26:46] me013 | um
"[26:47] me013 | uh routinely use it , I mean it just hasn't happened anyway ."
[26:52] fe016 | Yeah I don't think it has to be part of a what everybody does in a meeting but it might be
"[26:57] fe016 | a useful , neat"
"[26:59] fe016 | part of the project that we can , you know , show off as"
[27:02] fe016 | a mechanism for synchronizing events in time
"[27:05] fe016 | that happen that you just wanna make a note of , like what Jane was talking about"
"[27:09] fe016 | with some later browsing , just just as a convenience , even if it 's not a full - blown note taking"
[27:15] fe016 | substitute .
[27:16] me022 | Well if you wanted to do that maybe the right architecture for it is to get a PDA with a wireless card .
[27:25] me022 | the the meeting because you 'll be synchroni you can synchronize with the the Linux server
[27:33] me011 | Buttons .
"[27:36] me022 | Well well you have a PDA and may and you could have the same sort of X interface or whatever , I mean , you 'd have to do a little eh a little bit of coding to do it ."
[27:40] fe016 | Mm - hmm .
"[27:43] me022 | But you could imagine , I mean , if if all you really wanted was you didn't want this"
"[27:44] fe016 | Yeah , that be good ."
"[27:48] me022 | secondary note - taking channel but just sort of being able to use m markers of some sort ,"
[27:54] me022 | a PDA with a l a wireless card would be the probably the right way to go .
"[27:57] me022 | I mean even buttons you could do , sort of , I mean , as you said ."
[28:02] fe016 | M right .
"[28:04] fe016 | That would be fine too . I mean , I don't have , you know , grandiose ideas in mind but I 'm just sort of thinking"
[28:04] me022 | Right .
[28:17] fe008 | I like this PDA idea . Yeah .
"[28:18] me013 | Yeah , I do like the idea of having a couple buttons where like one one button was "" uh - oh """
[28:19] fe016 | Yeah .
[28:20] fe008 | Yeah .
[28:28] me011 | Action item .
[28:31] me011 | I mean I think the CrossPad idea is a good one .
[28:32] fe008 | Uh - huh .
[28:34] me011 | It 's just a question of getting people to use it and getting the infrastructure set up in such a way that it 's not a lot of extra work .
[28:40] me011 | I mean that 's part of the reason why it hasn't happened is that
[28:43] fe016 | Yeah .
[28:43] me011 | it 's been a lot of extra work for me
[28:45] me013 | Right .
"[28:46] fe008 | Well , and not just for you . But it 's also , it has this problem of having to"
[28:47] fe016 | W
[28:50] fe008 | go from an analog to a d
[28:53] me011 | Well it 's digital but it 's in a format that
[28:56] me011 | is not particularly standard .
"[28:58] fe008 | if you 're writing if you 're writing notes in it does it it can't do handwriting recognition , right ?"
"[29:02] me013 | No , no , but it 's just it 's just storing the pixel"
[29:05] fe008 | OK .
"[29:06] me013 | informa position information , it 's all digital ."
[29:17] me013 | Right .
"[29:18] me022 | The transfer function is less errorful , yes ."
"[29:20] fe016 | Yeah , yeah ."
[29:20] me013 | Yeah .
[29:21] me013 | Yeah . Yeah .
[29:29] fe016 | I don't know what I don't wanna cause more work for anyone but I can imagine some interesting
[29:37] fe016 | and we can
[29:38] fe016 | keep it for a year I don't know .
"[29:40] me011 | w we don't we certainly don't have to return it , as I said . All all he said is that if you 're not using it could you return it , if you are using it feel free to keep it ."
[29:48] me011 | The point is that we haven't used it at all and are we going to ?
[29:51] me013 | So we have no but uh by I I would suggest you return one .
[29:55] me011 | OK .
[29:55] fe016 | Yeah .
"[29:55] me013 | Because we we you know , we we haven't used it at all ."
[29:56] fe016 | We c
[29:58] fe016 | One would probably be fine .
"[30:00] fe016 | Maybe we could do like a student project , you know , maybe someone who wants to do this as their main like"
[30:04] me013 | Yeah .
[30:05] fe016 | s project for something would be cool .
[30:07] me011 | Yep .
[30:08] me011 | I mean if we had them out and sitting on the table people might use them a little more
[30:12] me013 | Maybe Jeremy could sit in some meetings and press a button when there when when somebody laughed .
[30:19] me013 | Yeah .
[30:19] fe016 | Jeremy 's gonna be
"[30:20] fe016 | an he 's a new student starting on modeling brea breath and laughter , actually , which"
"[30:24] fe016 | sounds funny but I think it should be cool , so ."
[30:26] me013 | Yeah .
[30:28] fe016 | OK .
[30:32] me013 | Well dear .
[30:33] me011 | Um .
"[30:36] me011 | That reminded me of something . Oh well , too late ."
[30:38] me011 | It slipped out .
[30:39] me013 | OK .
"[30:39] me011 | Oh , equipment ."
[30:39] fe016 | You 're you 're gonna tease me ? OK .
[30:44] me011 | We ordered uh more
"[30:46] me011 | wireless , and so they should be coming in at some point ."
[30:48] fe016 | Great .
[30:49] me011 | And then at the same time I 'll probably rewire the room as per Jane 's suggestion so that
"[30:54] me011 | uh the first N channels are wireless , eh are the m the close - talking and the next N are far - field ."
[31:11] fe016 | That 's a very philosophical
[31:18] fe016 | It 's great .
[31:20] me011 | Should we do digits ? Do we have anything else ?
[31:22] me013 | Yeah .
[31:24] me013 | I mean there 's there 's all this stuff going on uh between uh
"[31:38] me013 | it 's all sort of in process , so there 's not much to say"
[31:41] me013 | right now .
[31:44] me013 | Uh why don't we start with our our esteemed guest .
[31:49] me022 | OK .
[31:50] me022 | Alright .
"[31:53] me022 | Yes , this is number two for me today ."
[31:56] me022 | Oh .
[31:56] fe016 | We could do simultaneous .
[31:58] fe016 | Initiate him .
[32:00] me013 | We we could .
"[32:01] fe016 | Well , I 'm just thinking , are you gonna try to save the data before this next group comes in ?"
[32:01] me013 | Yeah .
"[32:05] me011 | Yeah , absolutely ."
"[32:06] fe016 | Yeah , so we might wanna do it simultaneous ."
"[32:09] me013 | Well OK , so let 's do one of those simultaneous ones . That sounds good ."
[32:10] fe016 | so we might n
[32:11] fe016 | we might need to do that actually .
[32:11] me011 | OK .
[32:12] me022 | OK .
[32:13] me013 | Everybody ready ?
[32:14] fe008 | Yeah .
[32:14] me013 | A one .
"[32:16] me011 | Well I have to , I don't know about other people ."
[32:17] fe016 | or you start laughing .
"[32:17] me022 | OK , alright ."
[32:17] mn014 | You don't have to .
"[32:19] me013 | OK , a one and a two and a three ."
