[00:10] fe004 | Why ?
"[32:16] fe004 | has worked on that kinda stuff , and he 's worked with frame net , so you could talk to him about , you know , both of those things at once . So ."
[32:18] mn059 | Mm - hmm . Mm - hmm .
[32:21] fe004 | And he just finished writing a draft of his thesis . So .
"[32:24] mn059 | So , uh , who is that again ?"
"[32:24] fe004 | I u Dan Gildea , GILDEA ."
[32:28] mn015 | Who ?
[32:29] mn015 | I can take you to his office . It 's just around the corner .
"[32:31] mn059 | OK , great ."
[32:38] fe004 | Hmm .
"[32:46] me010 | Alright , was there anything else for this ?"
[32:51] me010 | One of these times soon
[32:54] me010 | we 're gonna hear about construal .
"[33:06] mn015 | Um ,"
[33:08] me003 | Wait a second . That 's a long way away .
"[33:13] mn015 | Uh well , maybe I can I can bribe my way out of this . So ."
"[33:25] me010 | Well , no , but he 's he 's he 's he 's as you said , he 's , like the state legislature , he 's trying to offer us bribes ."
[33:27] fe004 | At least this is a private meeting .
"[33:29] fe004 | Right , exactly , OK , that 's the link ."
"[33:32] mn015 | Oh , they refused the budget again ? Is it so about CITRIS ? Yeah , still nothing ."
"[33:38] me010 | Uh , this this this t the s we 're , uh , involved in a"
[33:44] me010 | literally three hundred million dollar
"[33:47] me010 | uh , program ."
"[33:49] me010 | Uh , with the State of California . And , the State of California is now"
[33:54] me010 | a month and a half behind its legis its legally required date to approve a budget .
[34:01] me010 | So the budget has not been approved .
"[34:05] me010 | There 's two l you know , so , two branches of legislature . One branch approved it ,"
[34:09] mn059 | Mm - hmm .
"[34:10] me010 | and , um ,"
"[34:19] me010 | who approved it got flak from there , eh anyway . So ,"
"[34:25] me010 | Oh ! I have to tell you a wonderful story about this , OK ?"
"[34:28] me010 | And then we 'll go . So , I it turns out I wound up having lunch today"
[34:33] me010 | with a guy named Tom Kalil .
"[34:41] me010 | And , uh , he now"
[34:44] me010 | works at
[34:45] me010 | Berkeley . In fact he 's hired to
"[34:51] me010 | So they 've been hiring people right and left , so ,"
"[34:54] me010 | uh , they think the money 's coming . So and he was , I think ,"
[35:00] me010 | the chief staffer to Clinton on technology matters .
"[35:05] me010 | He was in the White House , I don't remember what he was saying . A anyway , like that ."
"[35:08] me010 | And , is now"
"[35:10] me010 | doing all the politics for CITRIS , but also , has a uh , a lot of interest in"
"[35:17] me010 | uh , actually doing things for society , so digital divide and stuff like that . So that 's"
"[35:24] me010 | s interesting to me but maybe not to you . But the really interesting thing was ,"
"[35:28] me010 | he st he s he s said something about ,"
"[35:31] me010 | you know I 'm interested in things that have high social multiplier , something that is of great social value . He said ,"
"[35:38] me010 | "" for example "" ,"
"[35:41] me010 | "" if you had a"
"[35:44] me010 | adult literacy program that was as good as an individual tutor ,"
"[35:48] me010 | and as compelling as a video game ,"
"[35:51] me010 | then that would have a huge social impact "" ."
"[35:56] me010 | I said , "" Oh great ! That 's a good problem to work on . "" Anyway . So it was nice that"
"[36:00] me010 | uh ,"
"[36:02] me010 | he 's got this view ,"
"[36:04] me010 | of A , that 's what you should try to do , and B ,"
"[36:07] me010 | uh , language would be a good way to do it ."
[36:10] fe004 | Mmm . Definitely .
"[36:13] me010 | So anyway , that 's the end of the story ."
[36:16] fe004 | But for adults and not for the
"[36:18] me010 | This was Yeah . I didn't push him on the ch on the child thing , but , uh ,"
[36:19] fe004 | children . Uh - huh .
"[36:23] me010 | you know , a again , if if you if you"
[36:24] fe004 | Oh .
"[36:26] me010 | um ,"
"[36:29] me010 | and this was this was literacy , which actually is somewhat different problem . Maybe easier . I don't know ."
[36:32] fe004 | Mm - hmm .
"[36:38] me010 | Another project we started on , and and didn't get funded for was ,"
"[36:41] me010 | uh , to try to build an automatic tutoring program ,"
[36:46] me010 | for kids
[36:48] me010 | whose first language wasn't English .
[36:51] me010 | Which is like half the school population in California .
"[36:54] me010 | Something like that , isn't it ?"
[36:55] fe004 | Mm - hmm .
"[36:56] me010 | Yeah . So ,"
[36:58] me010 | enormous
"[36:59] me010 | problem in California ,"
"[37:01] me010 | and the idea was if we 're so smart about language understanding and speech understanding , couldn't we build"
[37:10] me010 | be tutors for the kids .
[37:11] me010 | We think we could .
[37:15] fe004 | Mm - hmm .
"[37:17] me010 | um ,"
[37:22] me010 | it 's interesting and I may
"[37:24] me010 | um , talk to him some more about is em somebody already doing this , and stuff like that ."
"[37:31] me010 | So anyway , that was that was today 's little story ."
[37:33] me003 | Hmm .
[37:36] mn015 | OK . So I I did manage to
"[37:38] mn015 | get pull my head out of the sling by sidetracking into CITRIS , but uh or a temporarily putting it out of the sling but , I I 'll volunteer to put it right back in by stating that"
"[37:42] me010 | No , no ."
[37:46] me010 | Right .
[37:51] mn015 | I am
"[37:53] mn015 | n uh among some other things in the process of writing up stuff that we have been discussing at our daily meetings ,"
[37:59] me010 | Yeah .
"[38:00] mn015 | and also revising ,"
[38:04] mn015 | the c the original construal proposal .
"[38:07] mn015 | And , if I put one and one together , I may end up with a number that 's greater than one and that I I can"
[38:13] mn015 | potentially present once you get back .
[38:14] fe004 | Greater than two ?
[38:20] me010 | Right .
[38:21] me010 | Right .
[38:27] me010 | it 's
"[38:28] me010 | time again , right ?"
"[38:30] mn015 | Absolutely . Yeah . But um , and hopefully all sidetracking"
[38:30] me010 | Yeah . OK .
"[38:34] mn015 | um , other"
"[38:36] mn015 | things will have disappeared , soon ."
[38:38] me010 | Good . Yep .
[38:41] me010 | Done ?
