[00:01] me013 | Are we on ?
[28:36] fe008 | coding more elaborately and and the focus on reliability .
"[28:54] fe016 | Sorry , can you explain what the ATLAS I 'm not familiar with this ATLAS system ."
"[29:01] fe008 | Uh , well Adam 's read more in more detail than I have on this . I need to acquaint myself more with it . But , um ,"
"[29:07] fe008 | there there is a way of viewing Uh , whenever you have coding categories , um , and you 're dealing with"
"[29:14] fe008 | uh , a taxonomy , then you can have branches that that have"
[29:21] fe008 | each of them . And it just ends up looking like a graphical representation .
[29:24] me011 | Is ATLAS the his annotated transcription
[29:27] me011 | graph stuff ?
"[29:29] me011 | I don't remember the acronym . The the one the what I think you 're referring to , they they have this concept of an an annotated transcription graph representation ."
[29:37] fe008 | Yeah .
[29:37] fe016 | Oh . Oh .
"[29:40] me011 | I based it on their work almost directly , in combination with the TEI stuff . And so it 's very , very similar . And so it 's it 's a"
[29:48] me011 | data representation and a set of tools for manipulating transcription graphs of various types .
[29:54] fe008 | Mm - hmm .
[30:01] fe008 | Including LDC . I think so .
[30:02] me011 | Yep .
"[30:02] me018 | Yeah , y right , OK ."
"[30:03] fe008 | Mm - hmm . Then there 's their web site that has lots of papers . And I looked through them and they mainly had to do with this , um ,"
"[30:07] fe008 | this , uh , tree structure , uh , annotated tree diagram thing ."
[30:11] fe016 | Mmm .
"[30:13] fe008 | So , um , um and , you know , in terms of like the conventions that I 'm a that I 've adopted ,"
[30:18] fe008 | it there there 's no conflict at all .
[30:20] me011 | Right .
[30:24] fe008 | And and we had a really nice conversation .
"[30:26] fe008 | Um , OK , now I also wanted to say in a different a different"
"[30:30] fe008 | direction is ,"
"[30:31] fe008 | Brian Kingsbury . So , um , I corresponded briefly with him . I ,"
"[30:36] fe008 | uh , c I He still has an account here . I told him he could SSH on and use multi - trans , and have a look at the already done , uh , transcription . And he and he did ."
[30:48] fe008 | will not be as fine grained in terms of the time information .
"[30:52] fe008 | And , um , that 's , uh You know , I need to get back to him and and , uh , you know , explore that a little bit more and see what they 'll be giving us in specific , but I just haven't had time yet ."
[30:59] fe016 | Hmm .
"[31:01] fe008 | Sorry , what ?"
[31:05] fe008 | Yes .
"[31:13] fe008 | I don't think that they 're court reporters . I don't think they have the special keyboards and that and that type of training . I I get the sense they 're more secretarial . And that , um ,"
[31:17] me018 | Mm - hmm .
[31:19] me018 | Hmm .
[31:23] me011 | Nu - it 's mostly it 's for their speech recognition
"[31:26] me011 | products ,"
[31:26] fe008 | Yep .
[31:27] me011 | that they 've hired these people to do .
"[31:29] me018 | Oh , so they 're hiring them , they 're coming . It 's not a service they send the tapes out to ."
[31:32] me011 | Well they they do send it out but my understanding is that that 's all this company does is transcriptions for IBM for their speech product .
[31:36] me018 | Ah ! Oh . OK .
[31:38] me018 | I gotcha .
"[31:38] me011 | So most of it 's ViaVoice , people reading their training material for that ."
[31:41] me018 | I see .
[31:42] fe008 | Mm - hmm .
[31:42] me018 | I see .
"[31:44] me011 | Yep , exactly . Yep ."
[31:46] me018 | Mm - hmm .
[31:59] fe008 | from the CD onto audio tapes . And apparently he did it
[32:02] fe008 | one channel per audio tape . So each of these people is transcribing from one channel .
[32:04] me011 | Right .
"[32:08] fe008 | And then what he 's going to do is check it ,"
[32:08] me018 | Oh .
[32:10] fe008 | a before they go be beyond the first one .
"[32:13] fe008 | Check it and , you know , adjust it , and all that ."
[32:16] me011 | Right .
[32:17] me018 | OK .
"[32:22] me011 | Well , but that 's OK , because , you know , you 'll do all them and then combine them ."
[32:22] fe008 | I I don't know .
"[32:27] me018 | But there could be problems , right ? with that ."
[32:29] fe016 | Yeah .
"[32:33] me011 | No , no . We 're talking about close talking , not the not the desktop ."
[32:34] mn014 | Yeah .
"[32:35] mn005 | No , close talk ."
[32:36] me013 | Are you ?
[32:37] fe008 | Yes .
[32:37] me011 | I sure hope so . It 'd be really foolish to do otherwise .
[32:38] fe008 | Well I th I think so .
"[32:40] fe008 | Yeah , I I would think that it would be kind of hard to come out with Yeah ."
"[32:43] fe016 | I I think it 's sort of hard just playing the you know , just having played the individual"
[32:51] mn014 | Yeah .
"[32:54] fe016 | Uh , it 's pretty hard to follow , especially"
[32:57] fe008 | I agree .
[32:57] fe016 | there are a lot of words that are so reduced phonetically that make sense when you know what the person was saying before .
[33:03] mn014 | Yeah .
[33:04] mn005 | Yeah .
[33:06] me011 | But I mean we had this we 've had this discussion many times . And the answer is we don't actually know the answer because we haven't tried both ways .
"[33:08] fe008 | Yeah , we have ."
"[33:11] fe008 | Well , except I can say that my transcribers use the mixed signal mostly"
[33:15] me011 | Mm - hmm .
[33:16] fe016 | Mm - hmm .
[33:16] fe008 | unless there 's a huge disparity in terms of the volume on on the mix .
[33:16] me018 | Right .
[33:23] me011 | Right .
[33:24] me011 | Well I think that that might change if you wanted really fine time markings .
[33:24] mn014 | Yeah .
[33:28] me011 | So .
[33:29] me013 | But they 're not giving f really fine time markings .
[33:31] me011 | Right .
"[33:35] fe008 | Well , I have to ask him . And that 's that 's my email to him . That needs to be forthcoming . But but the , uh I did want to say that"
[33:36] fe016 | Yeah . Cuz OK .
"[33:41] fe008 | it 's hard to follow one channel of a conversation even if you know the people ,"
"[33:45] fe008 | and if you 're dealing furthermore with highly abstract network concepts you 've never heard of So , you know , one of these people was was"
"[33:51] fe008 | transcribing the , uh , networks group talk and she said ,"
"[34:01] me011 | Oh , I 'd be curious to to look at that ."
[34:06] mn014 | Yeah .
[34:06] fe008 | Yeah .
[34:06] mn005 | Yeah .
[34:07] me018 | Given all of the effort that
[34:09] me018 | is going on here in transcribing why do we have I B M doing it ?
[34:11] me018 | Why not just do it all ourselves ?
"[34:13] me013 | Um , it 's historical . I mean , uh , some point ago we thought that"
"[34:18] me013 | uh , it "" boy , we 'd really have to"
"[34:20] me013 | ramp up to do that "" , you know , like we just did ,"
[34:22] me018 | Mm - hmm .
"[34:22] me013 | and , um , here 's , uh , a a , uh , collaborating institution that 's volunteered to do it ."
[34:28] me018 | Mm - hmm .
"[34:29] me013 | So , that was a contribution they could make . Uh"
[34:31] me018 | Mm - hmm .
[34:39] me011 | Well we can talk about more details later .
"[34:40] fe016 | um , you know , yeah ,"
[34:42] me013 | Yeah .
[34:43] me013 | Yeah .
"[34:45] me013 | Yeah , so ."
[34:46] me018 | Hmm .
"[34:48] me013 | We 'll see . I mean , I think , th you know , they they they 've proceeded along a bit . Let 's see what comes out of it , and and , uh , you know , have some more discussions with them ."
[34:51] fe008 | Mm - hmm .
[34:55] fe008 | It 's very a real benefit having Brian involved because of his knowledge of what the how the data need to be used and so what 's useful to have in the format .
[34:57] me011 | Yeah .
[34:58] me013 | Mm - hmm .
[35:01] me013 | Yeah .
"[35:02] me011 | So , um , Liz , with with the SRI recognizer , can it make use of"
[35:07] me011 | some time marks ?
"[35:09] fe016 | OK , so this is a , um ,"
[35:09] me011 | I I guess I don't know what that means .
"[35:20] fe016 | um , I mean , for the SRI front - end ,"
"[35:33] fe016 | in general because some of these channels , I 'd say , like ,"
"[35:41] fe016 | have a lot of cross - ta sorry , some of the segments have a lot of cross - talk ."
"[35:47] fe016 | segments if you 're gonna do recognition , especially forced alignment . So ,"
"[35:53] fe016 | uh , Don has been taking a first stab actually using Jane 's"
"[35:56] fe016 | first the fir the meeting that Jane transcribed which we did have some problems with , and Thilo , uh , I think"
[36:07] fe016 | the SRI re
"[36:07] mn014 | No , th"
"[36:08] mn014 | Yeah . No . They they were not switching them but what they were they were adjusting them , so ."
[36:10] me001 | Mmm .
[36:11] fe016 | @ @
[36:11] me011 | Adjusting . Oh .
[36:12] fe016 | Yeah .
"[36:15] fe016 | So we have to sort of normalize the front - end and so forth , and have these small segments . So"
[36:18] mn014 | Yep .
"[36:25] fe016 | your , um , cuts that you made on the mixed signal ."
[36:29] fe016 | And so that every every speaker has the same cuts . And if they have speech in it we run it through . And if they don't have speech in it we don't run it through . And we base
[36:37] fe016 | that knowledge on the transcription .
[36:37] me011 | On Just on the marks . Right ?
"[36:40] fe016 | Um , the problem is if we have no time marks ,"
"[36:50] me011 | Oh , I see , it 's for the length . I see ."
"[36:51] fe016 | I mean , if if it 's a whole conversation and we get a long , uh , you know ,"
"[36:55] fe016 | par paragraph of of talk , uh , I don't know how they do this . Um , we actually don't know which piece goes"
[37:01] me011 | I understand .
"[37:04] me018 | Well you would need to like a forced alignment before you did the chopping , right ?"
[37:15] fe016 | they have a chunk and then they transcribes the words in the chunk . And maybe they choose the chunk or now they use a
"[37:21] fe016 | pre - segmentation and then correct it if necessary . But there 's first a chunk and then a transcription . Then a chunk , then a transcription . That 's great ,"
[37:23] fe008 | Mm - hmm .
"[37:29] me011 | Uh , it 's all pretty good sized for the recognizer also ."
"[37:32] fe016 | Right , and it it helps that it 's made based on"
[37:33] fe008 | Good . Oh good .
[37:36] fe016 | sort of heuristics and human ear I think .
"[37:39] fe016 | Th - but there 's going to be a real problem , uh , even if we chop up based on speech silence these ,"
"[37:46] fe016 | uh , the transcripts from I B M , we don't actually know where the words were , which segment they belonged to . So that 's sort of what I 'm worried about"
[37:51] me011 | Right .
[37:55] me018 | a a forced alignment ?
[37:56] fe016 | right now .
"[37:57] me011 | That 's what she 's saying , is that you can't ."
"[38:17] me013 | I I think that they are , um ,"
[38:17] me011 | We 'll have to talk to Brian .
"[38:21] me013 | yeah , I 'm sure they will and so we we have to have a dialogue with them about it . I mean , it sounds like"
[38:25] fe008 | OK .
"[38:32] fe016 | uh , I don't know , maybe it 's saved out in pieces or or something . That would help . But ,"
[38:36] fe008 | Yeah .
"[38:37] fe016 | uh , it 's just an unknown right now ."
"[38:38] fe008 | Yeah . I I need to to write to him . I just you know , it 's like I got over - taxed with the timing ."
[38:40] fe016 | So .
"[38:42] fe016 | Right . But the it is true that the segments I haven't tried the segments that Thilo gave you but the segments that in your first meeting are great . I mean , that 's that 's a good length ."
[38:49] fe008 | Mm - hmm .
[38:52] fe008 | A good size . Good .
"[38:53] fe016 | Right , cuz y yeah ."
"[38:53] fe008 | Well , I I was thinking it would be fun to to uh , uh , if if you wouldn't mind , to give us a pre - segmentation . Uh , maybe you have one already of that first m of the meeting that"
[38:58] mn014 | Yeah .
"[39:03] fe008 | uh , the first transcribed meeting , the one that I transcribed . Do you have a could you generate a pre - segmentation ?"
[39:07] me011 | February sixteenth I think .
"[39:13] fe008 | Oh , I see . Oh , darn . Of course , of course , of course . Yeah , OK ."
[39:21] fe008 | Uh - huh .
"[39:21] fe016 | um , we can try I mean ,"
"[39:24] fe016 | the the more data we have to try the the alignments on , um , the better . So it 'd be"
"[39:29] fe016 | good for just to know as transcriptions are coming through the pipeline from the transcribers , just to sort of we 're playing around with sort of"
"[39:36] fe016 | uh , parameters f on the recognizer , cuz that would be helpful ."
[39:37] fe008 | Mm - hmm .
"[39:39] fe008 | Excellent , good ."
"[39:40] fe016 | Especially as you get , en more voices . The first meeting had I think just four people , yeah ."
"[39:43] mn014 | Four speakers , yeah ."
[39:44] fe008 | Mm - hmm .
"[39:54] fe016 | Oh , great , great ."
[39:55] fe008 | Yeah .
[39:56] fe016 | So .
[39:58] me013 | That 's great .
"[40:06] me013 | there was an issue of , uh , suppose we get in the , uh , I guess it 's enviable position although maybe it 's just saying where the weak link is in the chain ,"
"[40:19] me013 | uh ,"
"[40:26] me013 | we 're still a bit slow on feeding at that point we 've caught up and the the the , uh , the weak link is is recording meetings . OK , um ,"
"[40:40] me013 | uh , it 's not really a problem at the moment cuz we haven't reached that point but how do we step out the recorded meetings ?"
"[40:45] me013 | And the other one is , um , uh , is there some good use that we can make of the transcribers to do other things ?"
"[40:56] fe008 | And there is one use that that also we discussed which was when , uh , Dave finishes the and maybe it 's already finished the the"
[41:04] fe008 | modification to multi - trans which will allow fine grained encoding of overlaps .
"[41:09] fe008 | Uh , then it would be very these people would be very good to shift over to finer grain encoding of overlaps . It 's just a matter of , you know , providing So if right now you have"
"[41:18] fe008 | two overlapping segments in the same time bin , well with with the improvement in the database in in the , uh , sorry , in the interface , it 'd be possible to , um ,"
"[41:26] fe008 | you know , just do a click and drag thing , and get the uh , the specific place of each of those , the time tag associated with the beginning and end of of each segment ."
"[41:35] me013 | Right , so I think we talking about three level three things . One one was"
[41:35] fe016 | Mm - hmm .
[41:36] fe008 | Yeah .
"[41:38] me013 | uh , we had s had some discussion in the past about some very high level"
"[41:42] me013 | labelings , types of overlaps , and so forth that that someone could do ."
[41:45] fe008 | Mm - hmm .
"[41:58] me013 | if we have time and people are able to do it ,"
"[42:09] me013 | potentially overlapping fashion , uh , the value of , uh , ar articulatory features ."
"[42:14] me013 | You know , just sort of say , OK , it 's voiced from here to here , there 's it 's nasal from here to here , and so forth . Um , as opposed to doing"
[42:22] me011 | Hmm !
[42:38] me018 | That would be really valuable I think .
"[42:39] me013 | but , uh , we could do it on some small subset ."
"[42:47] fe008 | that , uh , being able to code that there 's a a fricative extending from here to here would be a lot easier than classifying precisely which vowel that was ."
[42:54] me011 | Which one .
[42:56] fe016 | Mmm .
[42:56] fe008 | I think vowels vowels are I think harder .
[42:56] me013 | Mm - hmm .
[43:00] mn014 | Yeah .
"[43:00] me013 | Well , yeah , but I think also it 's just the issue that that when you look at the u w u u when you look at Switchboard for instance"
[43:07] fe008 | Mm - hmm .
[43:07] me013 | very close up there are places where whether it 's a consonant or a vowel you still have trouble calling it a particular phone
"[43:14] fe008 | Mm - hmm , OK . Yeah , I 'm sure . Uh , yeah , I I know ."
[43:17] fe016 | Right .
[43:20] me018 | You 're saying r sort of remove the high level constraints and go bottom - up .
[43:20] me013 | so I
"[43:23] me011 | Yep , just features ."
[43:25] fe016 | Mmm .
"[43:29] me013 | but that 's , you know , sort of a traditional way of describing these things ,"
[43:33] me018 | Mm - hmm .
[43:37] me018 | Acoustic features versus psychological categories . Yeah .
[43:40] fe008 | Yeah .
[43:42] me013 | some sort of categories but but something that allows for overlapping
[43:46] me013 | change of these things and then this would give some more
"[43:50] me013 | ground work for people who were building statistical models that allowed for overlapping changes , different timing changes as opposed to just"
"[43:56] me013 | "" click , you 're now in this state , which corresponds to this speech sound "" and so on ."
[43:57] me018 | Mm - hmm . Mm - hmm .
"[43:59] fe016 | So this is like gestural uh , these g Right ."
"[44:01] me013 | Yeah , something like that . I mean , actually if we get into that it might be good to , uh , uh , haul"
[44:02] fe016 | OK .
[44:07] me013 | John Ohala into this and ask his his views on it I think .
[44:08] me011 | Yeah .
[44:08] fe016 | Right .
"[44:10] fe016 | But is is the goal there to have this on meeting data , like"
[44:10] fe008 | Excellent .
"[44:17] fe016 | um ,"
[44:26] me013 | viewing meetings as being a a neat way to get people talking naturally .
"[44:31] me013 | And then you have i and then and then it 's natural in all senses , in the sense that you have microphones that are at a distance that"
[44:31] me018 | Just a source of data ?
[44:32] fe016 | I see .
[44:42] fe016 | Uh - huh .
[44:43] mn005 | Yeah .
[44:44] fe016 | Right .
[44:45] mn005 | Yeah .
"[44:45] me013 | so I think that given that it 's that kind of corpus , if it 's gonna be a very useful corpus"
"[44:50] me013 | um , if you say w OK , we 've limited the use by some of our , uh , uh , censored choices ,"
[44:59] me013 | but there 's a lot of use that we could make of it by expanding the annotation choices .
[45:05] fe016 | Mm - hmm .
"[45:06] me013 | And , uh , most of the things we 've talked about have been fairly high level , and"
"[45:10] me013 | being kind of a bottom - up person I thought maybe we 'd , do some of the others . Yeah ."
[45:12] me011 | Hmm .
[45:12] fe008 | It 's a nice balance . That would be really nice to offer those things with that wide range . Really nice .
"[45:12] fe016 | Right . Yeah , that would be good ."
[45:16] fe016 | Right .
[45:19] fe008 | Yeah .
[45:28] me011 | Right .
[45:29] fe016 | That 's true .
"[45:30] fe016 | I guess I wanted to , um ,"
[45:31] fe008 | Cool .
"[45:33] fe016 | sort of make a pitch for trying to collect more meetings . Um ,"
[45:38] me013 | Yeah .
"[45:43] fe016 | what , vehemently said no before but this time he wasn't vehement and he said"
[45:45] me013 | Yeah .
"[45:48] fe016 | you know , "" well , Liz , come to the meeting tomorrow and try to convince people "" . So I 'm gonna try . Go to their meeting tomorrow and see"
[45:53] fe008 | Mm - hmm .
[45:59] fe016 | And they have very interesting meetings from the point of view of
[46:00] fe008 | Mm - hmm .
"[46:03] fe016 | a very different type of of talk than we have here and definitely than the front end meeting , probably ."
[46:08] me018 | You mean in terms of the topic topics ?
"[46:12] fe016 | the fact that they 're describing abstract things and , uh , just dialogue - wise , right ."
[46:15] me013 | Mm - hmm .
[46:16] me018 | Mm - hmm .
"[46:17] fe016 | Um , so I 'll try . And then the other thing is ,"
"[46:20] fe016 | I don't know if this is at all useful , but I asked Lila if I can"
[46:24] fe016 | maybe go around and talk to the different
[46:27] me013 | Yes .
[46:31] me011 | You mean non - ICSI ?
[46:31] me013 | Great .
"[46:32] fe016 | non - ICSI , non - academic , you know , like government people , I don't know . So ."
[46:36] me011 | The problem is so much of their stuff is confidential .
[46:38] me011 | It would be very hard for them .
[46:38] fe008 | Yeah .
[46:39] mn005 | Yeah .
"[46:40] fe008 | Also it does seem like it takes us way out of the demographic . I mean , it seems like we we had this idea before of having like linguistics students brought down for free lunches and that 's a nice idea ."
[46:40] mn005 | Yeah .
[46:41] fe016 | Is is it in these departments ?
"[46:44] me011 | Well , tha I think that 's her point ."
"[46:48] fe016 | Right , and then we could also we might try advertising again because I think it 'd be good if if we can get a few different"
[46:51] fe008 | Yeah .
[46:55] fe016 | sort of non - internal types of meetings and just also more data .
[46:57] me013 | Yeah .
[46:59] fe008 | Mm - hmm .
[47:00] fe016 | So .
"[47:02] fe016 | So I actually wrote to him and he answered , "" great , that sounds really interesting "" . But I never heard back because we didn't actually advertise openly . We a"
[47:11] fe016 | I mean w
[47:11] fe016 | I told I d asked him privately .
"[47:14] fe016 | Um , and it is a little bit of a trek for campus folks ."
[47:17] me011 | Yeah .
[47:17] fe008 | Mm - hmm .
"[47:18] me011 | You might give them a free lunch . But , um ,"
"[47:19] fe016 | Um , so it 's still worthwhile ."
[47:20] me011 | it would be nice if we got someone other than me who knew how to set it up and could do the recording so u I didn't have to
[47:26] fe008 | Yeah . That 's right .
[47:26] me011 | do it each time .
[47:28] me013 | He - he 's supposed he 's supposed to be trained to do it .
[47:30] fe016 | Plus we could also get
"[47:31] me011 | OK , next week you 're going to do it all ."
[47:38] me011 | It 's not that hard .
[47:39] fe016 | there was a number of things at the transcription side
"[47:42] fe016 | that , um ,"
"[47:43] fe016 | transcribers can do , like dialogue act tagging , disfluency tagging , um ,"
[47:49] fe016 | things that are in the speech that are actually
"[47:52] fe016 | something we 're y working on for language modeling . And Mari 's also interested in it , Andreas as well . So if you wanna"
"[47:57] fe016 | process a utterance and the first thing they say is , "" well "" , and that "" well "" is coded as some kind of interrupt"
[48:04] fe016 | u
"[48:04] fe016 | tag . Uh , and things like that , um ,"
[48:08] fe008 | Of course some of that can be li done lexically . And I also they are doing disfluency tagging
[48:08] fe016 | th
[48:12] fe008 | to some degree already . Yeah .
[48:15] fe016 | I think there 's a second pass and I don't really know what would exist in it . But there 's definitely a second pass worth
[48:20] fe008 | Mm - hmm .
"[48:25] fe016 | um , that maybe these transcribers could do ."
[48:29] fe016 | Yeah .
[48:31] me013 | Mm - hmm .
[48:31] fe016 | That 'd be great .
[48:42] fe008 | I know that they recorded one meeting . Are they willing ?
"[48:46] fe016 | Oh , yeah ."
"[48:48] me013 | we should go beyond , uh , ICSI but , I mean , there 's a lot of stuff happening at ICSI that we 're not getting now that we could ."
[48:53] fe008 | Mm - hmm .
[49:06] me011 | So .
[49:13] fe016 | Just OK .
"[49:13] me018 | Well , and and the other thing too is when they originally said "" no "" they didn't know about this post - editing"
[49:19] me018 | capability thing .
[49:19] fe016 | Right .
[49:19] me013 | Yeah . Yeah .
[49:20] fe016 | Right . That was a big
[49:21] me018 | So .
[49:22] fe016 | fear .
[49:26] fe016 | OK .
"[49:36] me011 | Um , ugh , what was his name ?"
"[49:39] me013 | Uh , i i"
[49:39] fe008 | Joe Sokol ?
[49:40] me011 | Yeah .
[49:41] me013 | Yeah .
"[49:41] me011 | When with him gone ,"
[49:47] me011 | Yeah .
[49:47] fe016 | Mm - hmm .
[49:49] me011 | Yep .
"[49:51] me011 | Well he was sort of my contact , so I just need to find out who 's running it now . So ."
[49:54] me013 | OK .
"[49:58] fe016 | Yeah , I mean , it One thing that would be nice and this it sounds bizarre but ,"
[50:16] me011 | Who 's willing to get recorded and distributed ?
"[50:23] fe016 | Well , OK . No , but maybe stu student , uh , groups or , um , film - makers , or som Something a little bit"
[50:23] me001 | Yeah . Exactly .
[50:24] mn014 | Yeah .
[50:27] mn005 | Yeah .
[50:29] me013 | Yeah .
[50:30] mn005 | Film - maker .
"[50:35] me011 | Of beeps , yeah ."
[50:36] mn014 | Yeah .
[50:36] mn014 | Yeah .
"[50:37] fe016 | And I don't mean that they 're angry but just something with some more variation in prosodic contours and so forth would be neat . So if anyone has ideas ,"
[50:45] fe016 | I 'm willing to do the leg work to go try to talk to people but I don't really know which groups are worth
[50:49] fe016 | pursuing .
[50:53] fe008 | OK .
[50:55] me011 | Legal .
[50:56] me013 | um
"[50:56] me013 | commercial value of of st uh , it it it it turned out to be a bit of a problem ."
"[50:57] fe008 | OK , OK ."
[51:06] fe008 | primar uh y a major interest in having
[51:10] fe008 | meetings which were all English speakers . Now he wasn't trying to shape us in terms of what we gather but
[51:14] me013 | Mm - hmm .
[51:16] fe008 | that 's what he wanted me to show him .
"[51:18] fe008 | So I 'm giving him our , um our initial meeting because he asked for all English . And I think we don't have a lot of all English meetings right now ."
"[51:25] me018 | Did he mean , uh did he mean and non - British ?"
[51:25] me013 | Of all all nat all native speakers .
[51:27] mn014 | The all native .
"[51:28] fe008 | That 's what I mean , yeah ."
[51:28] me011 | Well if he meant and non - British I think we have zero .
"[51:29] fe008 | He doesn't care . No . Eh , well , British is OK ."
[51:32] me018 | He said British was OK ?
"[51:33] fe008 | Sure , sure , sure . Yeah ."
[51:34] me013 | Why ?
[51:34] fe008 | Different varieties of English .
[51:38] fe008 | Native speaking . Native speaking English .
[51:40] me011 | I bet he meant native speaking American .
[51:41] fe008 | Yes .
[51:42] me013 | I bet he did .
[51:43] mn014 | American English ?
"[51:43] fe008 | Oh , really ."
"[51:44] me011 | So , why would he care ?"
"[51:48] me013 | I remember a study that BBN did where they trained on this was in Wall Street Journal days or something , they trained on American English and then they tested on , uh , different native speakers from different areas ."
"[51:59] me013 | And , uh ,"
"[52:01] me013 | uh , the worst match was people whose native tongue was Mandarin Chinese ."
"[52:11] me013 | So h it 's , you know , t"
[52:12] fe008 | Alright . And so that would make sense . I didn't have the context of that .
"[52:13] me013 | the the the German was much better , it was Swiss w Yeah , so it 's so I think , you know , if he 's if he 's thinking in terms of recognition kind of technology I I I think he would probably want , uh"
[52:24] me011 | I wonder if we have any .
"[52:24] fe008 | All America , OK ."
[52:31] me011 | Maybe . Maybe .
"[52:31] me013 | I think so , yeah ."
"[52:32] fe016 | Yeah , mm - hmm ."
[52:33] me013 | Yeah .
[52:33] mn005 | Mmm .
[52:36] me013 | Yeah .
[52:38] me013 | Yeah .
[52:38] mn005 | Yeah .
[52:41] me011 | Yeah .
[52:42] mn014 | Mmm .
[52:42] mn005 | Yeah .
[52:56] fe008 | It 's be fun .
[52:58] me001 | We can just discu we can just have a political discussion one day .
"[53:10] me013 | Yeah , I know you are ."
"[53:14] fe016 | a chance to give us some very interesting fun data . So if anyone has ideas ,"
[53:18] mn005 | Yeah .
[53:19] me013 | Yeah .
"[53:19] fe016 | if you know any groups that are m you know ,"
[53:21] mn005 | Yeah .
"[53:25] me013 | Put a little ad up saying , "" come here and argue "" ."
[53:28] me011 | The Business school .
"[53:31] me011 | Uh , the business school might be good . I actually spoke with some students up there and they they they expressed willingness back when they thought they would be doing more stuff with speech ."
"[53:34] fe016 | Oh , OK ."
[53:38] fe016 | Really .
[53:45] mn005 | Hmm .
[53:46] me013 | They could have a discussion about te
[53:46] fe016 | Or people who are really h
[53:48] me013 | about about tax cuts or something .
[53:50] me001 | I heard that at Cal Tech they have a special room someone said that they had a special room to get all your frustrations out that you can go to and like throw things and break things .
[53:59] me011 | Th - that 's not what we want .
"[54:00] me001 | No , not to that extent but , um ."
"[54:06] fe016 | Oh . Yeah , right ."
[54:06] mn005 | The fa
"[54:07] me011 | "" Please throw everything in that direction . """
[54:07] mn005 | b b
"[54:13] me011 | There was a dorm room at Tech that , uh , someone had coated the walls and the ceiling , and , uh , the floor with mattresses ."
[54:20] me001 | Mmm .
[54:20] me011 | The entire room .
[54:22] me013 | I had as my fourth thing here processing of wave forms . What did we mean by that ? Remember @ @ ?
[54:23] fe008 | Yeah .
"[54:25] me011 | Uh , Liz wanted to talk about"
[54:28] fe008 | Pre - processing .
[54:28] me011 | methods of improving accuracy by doing pre - processing .
[54:30] fe016 | Well I think that that was just sort of I I already asked Thilo but
"[54:32] me013 | Oh , you already did that ."
"[54:34] fe016 | that , um , it would be helpful if I can stay in the loop somehow with ,"
"[54:38] fe016 | um , people who are doing any kind of post - processing , whether it 's"
"[54:42] fe016 | to separate speakers or to improve the signal - to - noise ratio , or both ,"
"[54:47] fe016 | um , that we can sort of try out as we 're running recognition ."
"[54:51] fe016 | Um , so , i is that Who else is work I guess Dan Ellis and you"
"[54:55] mn014 | Dan , yeah ."
[54:55] me011 | Yep .
"[54:56] me013 | Yeah , and Dave uh Gel - Gelbart again , he 's he 's interested in in fact we 're look starting to look at some echo cancellation kind of things ."
[54:58] fe016 | and Dave .
[54:58] mn014 | Yep .
[54:58] mn005 | Yeah .
[54:58] fe016 | OK .
[55:04] fe016 | OK . Right .
[55:05] me011 | I am not sure how much that 's
[55:07] me013 | Hmm ?
[55:16] me013 | t
"[55:17] me013 | No , so No , i w wha what you what you want when you 're saying improving the wave form you want the close talking microphone to be better . Right ?"
[55:22] me011 | Right .
[55:23] me013 | And the question is to w to what extent is it getting hurt
"[55:28] me013 | by , uh by any room acoustics or is it just uh , given that it 's close it 's not a problem ?"
[55:34] fe016 | It doesn't seem like big room acoustics problems to my ear but I 'm not an expert . It seems like a problem with cross - talk .
"[55:41] me011 | e I bet with the lapel mike there 's plenty , uh , room acoustic but I"
[55:41] mn014 | Yeah .
[55:44] fe016 | That that may be true . But I don't know how good it can get either by those the those methods That 's true .
[55:45] me011 | I think the rest is cross - talk .
[55:47] me011 | Yeah .
"[55:50] me011 | So I I think it 's just ,"
[55:50] me013 | OK .
"[55:51] fe016 | Oh , I don't know ."
"[55:52] me011 | yeah , what you said , cross - talk ."
[55:55] fe016 | as this pipeline of research is going on we 're also experimenting with different
"[56:00] fe016 | ASR , uh , techniques . And so it 'd be w good to know about it ."
[56:01] me011 | Mm - hmm .
[56:10] me018 | signals from other people and that 's
[56:12] me018 | causing problems ?
"[56:15] fe016 | the inhouse transcriptions , were sort of O K because"
[56:18] fe016 | the t no one transcribed any words there and we throw it out .
[56:21] me018 | Mm - hmm .
"[56:22] fe016 | But if they 're talking at all and they 're not talking the whole time , so you get some speech and then a "" mm - hmm "" , and some more speech , so that whole thing is one chunk ."
"[56:29] fe016 | And the person in the middle who said only a little bit is picking up the speech around it ,"
[56:34] fe016 | that 's where it 's a big problem .
[56:41] mn005 | Yeah .
"[56:43] fe016 | The energy , right . Exactly ."
"[56:43] mn005 | Yeah , energy ."
"[56:44] fe008 | I was t I was trying to remember , you have this interface where you i you ha you showed us one time on your laptop that you you had different visual displays as speech and nonspeech events ."
"[56:52] mn005 | Yeah , c Yeah . May I I only display the different colors for the different situation ."
"[57:02] mn005 | Because , eh , it 's possible , eh ,"
"[57:04] mn005 | eh , in a simp sample view , uh , to , nnn , to compare with c with the segment , the the kind of assessment"
[57:11] mn005 | what happened with the the different parameters . And
"[57:15] mn005 | only with a different bands of color for the ,"
[57:21] fe008 | Mm - hmm .
"[57:25] mn005 | I I see that , eh ,"
