[00:04] fe004 | Sorry .
"[32:54] fe004 | We have many jobs for you , Ro - Robert . The conclusion ."
[32:55] me010 | Yeah .
"[32:56] me010 | Well , he 's gonna need this ."
[32:58] fe004 | Yeah .
"[32:58] me010 | Right . So . Right . So thing That 's part of why we want the formalism , is is because th it is gonna have implicit in it"
[33:02] me045 | Yeah .
[33:05] mn015 | Was I ? In the room ?
[33:10] fe004 | Obviously .
[33:11] fe004 | Yeah .
"[33:11] me010 | Right . Well I That 's tentative . They aren't decisions , they 're ju they 're just proposals ."
"[33:13] me045 | Yeah . Right , right , right ."
"[33:15] fe004 | No , they 're decisions . OK ."
"[33:17] me010 | Yeah , that That 's the point , is is th"
[33:18] me045 | Yeah .
[33:20] me010 | Yeah .
[33:21] me010 | Yeah . Anyway . But so that 's that 's w
"[33:21] fe004 | Actually , yeah . There 's a problem with that word , too , though ."
"[33:23] me003 | Yeah , but it he the decisions I made wer had to do with my thesis . So consequently don't I get to decide then that it 's Robert 's job ?"
[33:23] me010 | Yeah .
[33:32] me010 | Uh .
"[33:38] mn015 | I 've always been completely in favor of consensus decisions , so we 'll we 'll find a way ."
"[33:43] me010 | Well , we we we will , but um"
[33:47] mn015 | It it might even be interesting then to say that I should be forced to
"[33:55] mn015 | um , sort of pull some of the ideas that have been floating in my head out of the , uh out of the top hat"
[34:02] me010 | Yes .
[34:06] me010 | So -
"[34:08] me010 | Ri - No . Absolutely . So , uh , wh you had you know you ha You had done one draft ."
[34:15] me010 | And a another draft
[34:19] me010 | OK .
[34:20] me010 | D i @ @
[34:20] me010 | I i
"[34:26] me010 | Right . Anyway , uh . So . But , yeah , a second that would be great . So , uh , a sec I mean you 're gonna need it anyway ."
[34:31] mn015 | Hmm .
[34:34] me010 | and
[34:36] me010 | Right .
[34:39] me010 | Yep .
[34:40] fe004 | Bomb proof !
[34:41] me045 | Good .
[34:41] mn015 | Bullet - proof .
[34:43] me010 | Both proof .
[34:44] me045 | Either way .
[34:44] fe004 | Both .
[34:46] me010 | Uh
"[34:47] me010 | So that , so th thi this I mean , so this is the point , is we we 're going to have to cycle through this , but"
[34:51] me045 | Yeah .
[34:52] me010 | th the draft of the p proposal on the constructions is is going to tell us a lot about what we think needs to be done by construal .
"[35:04] me010 | And , um , we oughta be doing it ."
"[35:06] mn015 | Yeah , we need we need some Then we need to make some dates ."
[35:20] mn015 | I just talked to Ami . It 's - it 's a coincidence that he can't do couldn't do it today here .
"[35:25] fe004 | Usually , he can ."
"[35:32] mn015 | Yeah , it was just an exception ."
[35:36] me045 | It 's i Is it staying basically at the Wednesday noon ?
"[35:39] me010 | Yeah , it was th"
"[35:40] me045 | OK . It was th off this week , yeah ."
[35:40] fe004 | Yeah . I always thought it was staying .
[35:42] me010 | Right .
"[35:42] fe004 | Yeah , I thought it was just this week that we were changing it ."
[35:42] mn015 | Mmm . Yeah .
[35:43] me010 | OK .
"[35:45] mn015 | And , um . How do we feel about doing it Wednesdays ? Because it seems to me that this is sort of a time where when we have things to discuss with other people , there they seem to be s tons of people around ."
[35:58] me010 | The only disadvantage is that it may interfere with other
[36:03] mn015 | subgroup meetings
"[36:04] me010 | s you know , other other No , you Uh , people in this group connecting with with"
"[36:09] me010 | those people who who might not be around so much . Uh , I don't care . I I uh"
[36:15] me010 | you know
[36:22] me010 | OK .
"[36:27] me045 | Yeah , I can understand that ."
[36:29] me010 | people people differ in their tastes in this matter . I I 'm neutral .
[36:30] me045 | Yeah .
[36:32] me045 | Yeah .
[36:35] me010 | Yeah . @ @ That 's Me too . I 'm basically I 'm here . So .
[36:36] fe004 | It doesn't matter .
"[36:38] mn015 | Well , if one sort of thing is , this room is taken at after three - thirty pr pretty much every day"
"[36:45] mn015 | by the data collection . So we have subjects anyway Except for this week , we have subjects in here . That 's why it was one ."
[36:46] fe004 | Oh .
[36:50] me010 | OK .
[36:51] mn015 | So we just knew i
[36:52] fe004 | So did you just say that Ami can't make one o ' clock ?
"[36:54] mn015 | No , he can ."
"[36:54] fe004 | Oh , OK ."
[36:55] me045 | Oh .
"[36:55] mn015 | So let 's say Thursday one . But for next week , this is a bit"
[36:59] mn015 | late .
[37:05] mn015 | OK . About the c the th
[37:08] fe004 | that be horrible ?
[37:10] mn015 | Yes .
[37:10] fe004 | Oh really ?
"[37:11] mn015 | Because , uh , this room is again taken at two - thirty by Morgan ."
"[37:13] fe004 | Oh , OK . OK . You didn't tell me that . OK , that 's fine ."
[37:17] mn015 | And
"[37:19] fe004 | OK , OK , OK ."
[37:21] fe004 | OK . Yeah .
[37:24] me010 | Interesting . So you 're proposing that we meet Tuesday .
[37:28] mn015 | How about that ?
[37:29] me010 | I I could
[37:29] me045 | Next week .
"[37:29] fe004 | Well , we 're meeting Tuesday . I mean we usually meet Tuesday or l like , linguists um , at two ."
[37:33] me045 | That 's right .
[37:35] fe004 | So .
[37:36] me003 | And the s
[37:37] fe004 | Do you want to meet again here bef
[37:38] me003 | Is the Speech - Gen meeting still at on Tuesdays ?
"[37:40] mn015 | Well , actually we w we we did scrap our Monday time just because Bhaskara couldn't"
[37:42] fe004 | Hhh . Maybe I do need a Palm Pilot .
[37:45] mn015 | come Monday . So there 's Nothing 's impeding Monday anymore either .
"[37:50] me003 | Although I thought you wanted to go camping on Monday er , take off Mondays a lot so you could go camping ."
"[37:57] mn015 | But , um . I mean , there are also usually then holidays anyways ."
[38:02] mn015 | Sometimes it works out that way .
[38:06] mn015 | So . Hmm !
[38:20] me045 | Yeah . There 's just sort of the
[38:23] fe004 | The multiple meetings yeah .
[38:23] me045 | two to four of us . Right ? Yeah . So .
[38:26] fe004 | Right .
"[38:33] mn015 | OK , so l forget about the b the camping thing . So let 's eh , any other problems w w w ?"
[38:45] mn015 | So .
"[38:45] me045 | Um , all of the proposed times sound fine with me ."
[38:48] fe004 | Same here .
[38:48] mn015 | Monday ?
[38:51] me010 | What I think Robert 's saying is that
[38:53] me045 | Earlier in the week
"[38:54] me010 | earlier we At least for next week , there 's a lot of stuff we want to get done , so why don't we plan to meet Monday and we 'll see if we want to meet any more than that ."
[38:55] me045 | Mm - hmm . Yeah .
[38:56] mn015 | Mmm .
[39:00] me045 | OK .
[39:01] mn015 | OK .
"[39:04] mn015 | One , two , three ?"
[39:05] mn015 | Three 's too late . Two - thirty ?
"[39:07] me010 | Oh , I i Yeah , I actually Two is the earliest I can meet on Monday ."
"[39:10] mn015 | OK , two ."
[39:14] me010 | Here I 'm blissfully agreeing to things and realizing that I actually do have some stuff scheduled on Monday .
[39:18] me045 | Sure . Sounds great .
"[39:21] me045 | Uh , so that 's the eighteenth ."
[39:24] me003 | No way !
[39:26] fe004 | Y you 'll come and take all the the headph the good headphones first and then remind me .
[39:26] mn015 | W why do you ?
"[39:29] me045 | Yeah , exactly ."
[39:31] mn015 | And
"[39:31] me045 | Sorry , two PM ."
[39:32] fe004 | Why do I have this unless I 'm gonna write ? Fine .
"[39:33] mn015 | do I get to see th uh , your formalism before that ?"
[39:38] fe004 | Uh . Would you like to ?
[39:40] mn015 | Mm - hmm .
[39:46] fe004 | Yeah .
"[39:47] me010 | Well m @ @ you know , w maybe Mond - Maybe we can put This is part of what we can do Monday , if we want ."
[39:47] fe004 | Yeah . I
[39:51] fe004 | OK .
[39:51] mn015 | OK .
[39:52] me010 | Is some some version
"[39:53] fe004 | Yeah , so there was like , you know , m m in my head the goal to have like an intermediate version , like , everything I know ."
[39:59] me045 | Mm - hmm .
[40:01] me045 | Yeah .
[40:02] me045 | OK .
[40:03] me045 | Why don't w Maybe you and I should meet sort of more or less first thing Monday morning and then we can work on this .
[40:05] fe004 | Yes .
[40:06] fe004 | Yeah .
[40:07] fe004 | That 's f fine with me . So .
[40:08] me045 | OK .
"[40:10] fe004 | I might I might um , s You said you 're busy over th until the weekend , right ?"
"[40:13] me045 | Yeah , sort of through the weekend because Kate has a photography show ."
[40:15] fe004 | That 's fine . So we might continue our email
[40:18] me045 | Yeah .
"[40:20] me045 | Um , if you have time after this I 'll show you the noun phrase thing ."
[40:22] fe004 | OK . That would be cool . So .
"[40:24] fe004 | OK , and"
[40:27] fe004 | You wanna m
"[40:28] mn015 | we 'll see an intermediate version of the formalism for the constructions , and do an on - line merging with my construal ideas ."
[40:32] me045 | Yeah .
"[40:38] fe004 | Sure , sure ."
[40:38] me010 | OK .
[40:39] me045 | Alright .
"[40:40] mn015 | So it won't be , like , a for semi - formal presentation of my proposal . It 'll be more like towards finalizing that proposal . OK , that 's fine ."
[40:41] fe004 | That 's OK .
[40:47] me045 | OK .
[40:50] me045 | Yeah .
[40:52] mn015 | Yikes .
"[40:53] me045 | Oy , deadlines ."
[40:57] mn015 | Perfect . Can you also write it up ?
"[41:07] mn015 | OK . And , um ."
"[41:13] me045 | Someday we also have to we should probably talk about the other side of the "" where is X "" construction , which is the issue of , um , how do you simulate questions ? What does the simspec look like for a question ?"
[41:21] mn015 | Yeah .
[41:24] me045 | Because it 's a little different . We had to we had an idea for this which seemed like it would probably work .
[41:24] fe004 | Yeah .
"[41:25] me010 | Yeah , now , we we w"
[41:27] me010 | Great . OK . Yeah . Simspec may need we may n need to re - name that .
[41:32] me045 | Yeah .
[41:40] me045 | Mmm .
[41:44] me045 | It 's more general @ @
"[41:46] me010 | You know , so it 's a m minimal change ."
[41:51] me010 | Right .
[41:53] me045 | Cool .
"[41:53] me010 | Right , a little substi substi You know , that 's what text substitution"
[41:56] me045 | Yeah . It 's good for you .
[41:56] fe004 | Yeah .
"[41:56] me010 | uh macros are for . Anyway , uh , so let 's let 's for the moment call it that until we think of something better ."
[42:01] me045 | OK .
"[42:05] me010 | Part of what was missing were markings of all sorts that weren't in there , incl including the questions We didn't we never did figure out how we were gonna do emphasis"
[42:11] me045 | Mm - hmm .
[42:14] me045 | Yeah .
[42:14] me010 | in in
"[42:16] me010 | uh , the semspec ."
[42:27] me045 | Yeah .
[42:28] me010 | But that 's part of the formalism is got to be
"[42:31] me010 | uh , how things like that get marked ."
[42:34] me045 | Mm - hmm .
"[42:37] fe004 | You have preliminary data ? Cuz I know , you know , we 've been using this one easy sentence"
"[42:42] fe004 | and I 'm sure you guys have uh , maybe you are the one who 've been looking at the rest of it it 'd it 'd be useful for me , if we want to have it a little bit more"
"[42:45] me045 | Um , I"
"[42:48] me045 | To tell you the truth , what I 've been looking at has not been the data so far , I just sort of said "" alright let 's see if I can get noun phrases and , uh , major verb co uh , constructions out of the way first . """
[42:49] fe004 | data oriented .
[42:53] fe004 | Yeah .
[42:56] fe004 | Mm - hmm mm - hmm .
"[42:58] me045 | And I have not gotten them out of the way yet . Surprise . So , um ."
"[43:02] me045 | So , I have not really approached a lot of the data , but I mean obviously like these the the question one , since we have this idea about the indefinite pronoun thing and all that , you know , I ca can try and , um"
"[43:13] me045 | run with that , you know , try and do some of the sentence constructions now . It would make sense ."
[43:16] mn015 | OK . Do you wanna run the indefinite pronoun idea past Jerry ?
[43:17] fe004 | OK .
"[43:20] me045 | Oh yeah , the basic idea is that um ,"
"[43:23] me045 | uh you know Uh , let 's see if I can formulate this ."
[43:25] mn015 | So Mary fixed the car with a wrench .
[43:27] me045 | Yeah .
"[43:28] mn015 | So you perform the mental sum and then , you know , "" who fixed the car with a wrench ? """
"[43:33] mn015 | You basically are told , to to do this"
"[43:47] mn015 | means , and then come up with that so who that someone was ."
"[43:50] me045 | The WH question has this as sort of extra thing which says "" and when you 're done , tell me who fills that slot "" or w you know . So , um ."
[43:55] me010 | Mm - hmm .
"[43:57] me045 | And , you know , this is sort of a nice way to do it , the idea of sort of saying that you treat from the simulation point of view or whatever you treat , uh , WH constructions similarly to"
"[44:06] me045 | uh , indefinite pronouns like "" someone fixed the car "" because lots of languages , um , have WH questions with an indefinite pronoun in situ or whatever , and you just get intonation to tell you that it 's a question ."
"[44:18] me010 | Alright , which is"
[44:22] me045 | Hmm ?
"[44:22] me010 | In in logic , it 's it 's @ @ it 's actual Huh ? What ?"
[44:23] fe004 | Mmm .
"[44:23] fe004 | Right . Let 's put a Skolem Skolem constant in , yeah ."
[44:24] me045 | Yeah .
[44:28] me045 | Sure .
[44:29] fe004 | Yeah . Right .
[44:29] me045 | OK .
[44:31] me045 | Right .
[44:32] me045 | Right . No . Of course .
[44:32] fe004 | Mmm .
[44:36] me045 | That 's right .
[44:37] mn015 | come up with this
"[44:37] me045 | It makes sense from that point of view , too , which is actually better . So yeah , um ."
"[44:41] me045 | Anyway , but just that kind of thing and we 'll figure out exactly how to write that up and so on , but"
[44:45] me010 | Good .
"[44:52] me045 | Uh , no , all the focus stuff . We sort of just dropped that cuz it was too weird and we didn't even know , like , what we were talking about exactly , what the object of study was . So ."
"[44:59] me010 | Yeah . Well , if if I mean , i part of of what the exercise is , t by the end of next week , is to say what are the things that we just don't have answers for yet ."
[45:06] me045 | Yeah .
[45:08] me010 | That 's fine . I mean
[45:08] me045 | Yep .
[45:09] fe004 | Mm - hmm .
"[45:09] mn015 | Well , if you if you"
[45:11] mn015 | do wanna discuss focus background
[45:15] mn015 | and then
"[45:17] mn015 | get me into that because I mean , I wo I w scientifically worked on that for for almost two years ."
[45:21] me045 | Yeah .
"[45:22] me045 | OK , then certainly we will . Good ."
"[45:24] fe004 | Yeah , you should definitely , um"
"[45:30] me045 | Yeah . w We should figure out what our questions are , for example , to ask you . So ."
[45:32] fe004 | Yeah .
[45:33] fe004 | Yeah .
[45:36] me045 | OK .
[45:43] me010 | Wel - then t Hans .
[45:45] me010 | Has I haven't seen Hans Boas ?
[45:47] fe004 | He 's been around .
[45:48] me045 | Yeah .
"[45:49] me010 | OK . So has he been been involved with this , or ?"
[45:49] fe004 | Just maybe not today .
"[45:51] fe004 | Eh . with us ? Yeah . I would say that tha that those discussions have been primarily , um , Keith and Keith and me , but um"
[45:52] me045 | Yeah .
[45:52] me010 | Yeah .
"[46:00] fe004 | like in th the meeting I mean , he sort of I thin like the last meeting we had , I think we were all very much part of it but um"
[46:04] me045 | Yeah .
"[46:06] me045 | Sometimes Hans has been sort of coming in there as sort of like a devil 's advocate type role or something , like "" This make you know , I 'm going to pretend I 'm a linguist who has nothing to do with this . This makes no sense . "" And he 'll just go off on parts of it which definitely need fixing but aren't where we 're at right now , so it 's"
[46:09] fe004 | but different perspec Yeah .
[46:16] fe004 | Right .
"[46:20] fe004 | Like like what you call certain things , which we decided long ago we don't care that much right now ."
[46:22] me045 | Yeah .
[46:23] me010 | Right .
[46:24] me010 | OK .
"[46:24] fe004 | But in a sense , it 's good to know that he of all people you know , like maybe a lot of people would have m much stronger reactions , so , you know , he 's like a relatively friendly linguist and yet a word like "" constraint "" causes a lot of problems ."
[46:30] me045 | Yeah .
[46:33] me045 | Yeah .
"[46:36] fe004 | And , so . Right . So ."
[46:41] me010 | um
"[46:43] me010 | the role I had suggested that he he play ,"
[46:47] fe004 | Ah .
[46:48] me045 | Mm - hmm .
"[46:48] me010 | OK , which was that"
[46:52] me010 | o one of the things I would like to see happen
"[46:55] me010 | is a paper that was tentatively called "" Towards a formal cognitive semantics """
[47:01] me010 | which was addressed to
[47:04] me010 | these linguists uh who haven't been following this stuff at all .
[47:10] me045 | Yeah .
[47:13] me045 | Yeah .
[47:18] me045 | Yeah .
"[47:19] me010 | So , internally , we should just do whatever works , cuz it 's hard enough ."
[47:21] me045 | Yeah .
[47:23] me045 | Yeah .
[47:24] me010 | But if he g if he turns is is really gonna turn around and help t to write this version that
[47:29] fe004 | Mm - hmm .
[47:29] me045 | Mm - hmm .
[47:30] me010 | does connect with as many as possible of the other linguists in the world
[47:36] me045 | Yeah .
[47:40] me010 | then it becomes important to use
[47:45] me010 | terminology that
[47:46] me045 | Yeah .
[47:46] fe004 | Mm - hmm . Sure .
[47:46] me010 | doesn't
"[47:48] me010 | make it hard I mean , it 's gonna be plenty hard for for people to understand it as it is , but y y you don't want to make it worse ."
[47:53] me045 | Yeah .
[47:55] me045 | Yeah .
[48:01] me010 | Right .
"[48:03] me010 | Yeah , yeah . No , that 's fine . I just wanted t to"
"[48:06] me010 | I have to catch up with him , and I wanted t to get a feeling for that . OK ."
[48:08] me045 | Yeah .
[48:08] fe004 | Mm - hmm .
"[48:10] me045 | So I don't know what his take will be on these meetings exactly , you know ."
[48:13] me010 | OK .
[48:15] me010 | Good .
[48:15] me045 | Cuz sometimes he sort of sounds like we 're talking a bunch of goobledy - gook from his point of view .
"[48:18] fe004 | when we 're into data and looking at the some specific linguistic phenomenon in in English or in German , in particular , whatever ,"
[48:21] me010 | Yeah .
[48:24] me045 | Mm - hmm .
"[48:25] fe004 | that 's great , and Ben and and Hans are , if if anything , more you know , they have more to say than , let 's say , I would about some of these things ."
[48:31] me010 | Right .
[48:37] me045 | Mm - hmm .
[48:39] fe004 | s Which is fine .
[48:40] me045 | Yeah .
[48:41] me010 | the core group and um
[48:42] fe004 | Mm - hmm .
"[48:45] me010 | that 's , you know , I think very close to the maximum number of people working together that can get something done ."
[48:50] fe004 | Yes .
[48:53] me045 | Yeah .
[48:54] me010 | I I I I definitely get that impression . Yeah . That 's great .
[48:56] me045 | Yep .
[48:57] fe004 | Yeah .
[48:58] fe004 | So anyone else would like uh ruin the balance of Anyway .
"[49:02] me010 | Well , but Well . But th th then w then we have to come back to the bigger group ."
[49:06] fe004 | Right .
[49:06] me045 | Yeah .
[49:07] me010 | Yeah . Great . And then we 're gon we 're gonna because of this other big thing we haven't talked about is actually implementing this stuff ?
[49:15] me010 | So that I guess the three of us are gonna connect tomorrow about that .
"[49:16] fe004 | Yeah , we could talk tomorrow ."
"[49:21] fe004 | came the suggestion that "" oh ,"
"[49:23] fe004 | could it be that the meaning constraints really aren't used for selection ? "" which has sort of been implicit in the parsing strategy we talked about . In which case we w we can just say that they 're the effects or the bindings ."
[49:30] me010 | Right .
"[49:34] fe004 | Which uh , so far , in terms of like putting up all the constraints as , you know , pushing them into type constraints , the when I 've , you know , propo then proposed it to linguists who haven't yet given me you know , we haven't yet thought of a reason that that wouldn't work ."
[49:47] fe004 | Right ? As long as we allow our type constraints to be reasonably complex .
"[49:51] fe004 | So Anyway , to be to talk about later ."
"[49:52] me010 | Yeah , it has to in the sense that"
"[49:57] me010 | you 're gonna use them eventu it 's you know , it 's sort of a , um , generate and test"
[50:02] fe004 | Mm - hmm . Mm - hmm .
"[50:02] me010 | kind of thing , and if you over - generate then you 'll have to do more . I mean , if there are some constraints that you hold back and don't use"
"[50:10] me010 | uh , in your initial matching"
[50:12] fe004 | Mm - hmm . Mm - hmm .
"[50:13] me010 | then you 'll match some things I mean , I I d I don't think there 's any way that it could completely fail . It it could be that"
[50:23] me010 | The original bad idea of purely context - free grammars
[50:27] me010 | died because there were just vastly too many parses .
[50:36] fe004 | Mm - hmm .
[50:38] fe004 | Mm - hmm .
[50:41] me010 | it would still genera
"[50:41] fe004 | Right ? So by just having semantic even bringing semantics in for matching just in the form of j semantic types , right ? Like"
"[50:48] fe004 | "" conceptually these have to be construed as this , this , and this """
[50:51] me010 | Yeah .
"[50:53] me010 | We don't know , but , yeah ."
"[50:54] fe004 | that , you know And and"
"[50:55] fe004 | it certainly helps a lot . I mean , le let 's put it that way . So ."
[50:57] me010 | No question . Yeah . And I think it 's a it 's a perfectly fine place to start .
"[51:01] me010 | You know , and say , let let 's see how far we can go this way ."
[51:03] fe004 | Mm - hmm . Mm - hmm .
[51:07] me003 | Well it definitely makes the problem easier .
[51:09] me010 | I 'm I 'm in favor of that .
"[51:12] me010 | Uh , cuz I think i I think it 's As you know , I think it 's real hard and if w if we Right ."
"[51:25] fe004 | So Friday , Monday"
[51:28] me045 | Yeah .
"[51:28] fe004 | Monday . So . OK , that 's Tuesday . Like th that 's the conclusion . OK ."
[51:29] me045 | Yeah .
[51:31] me010 | Yeah .
"[51:34] mn015 | So , you your dance card is completely filled now ?"
"[51:38] fe004 | Yeah , and I have nothing to do this weekend but work ."
[51:42] me003 | What about What about DDR ?
[51:43] fe004 | It 's almost true .
[51:46] me003 | Mmm .
"[51:49] me010 | DDR , he asked ?"
[51:58] me045 | It 's a It 's It 's a video game ? You stand there and
[52:00] me045 | @ @
"[52:00] me010 | Oh that 's Oh , oh , oh !"
"[52:03] me010 | Yeah . Yeah . Oh yeah , yeah , yeah ."
"[52:09] me010 | Oh , right !"
[52:15] me010 | I do . @ @
"[52:17] me010 | No , it 's not one of my hobbies ."
[52:18] me010 | Although I God knows I I I could use something like that . @ @
"[52:21] fe004 | It 's great exercise , I must say ."
"[52:22] me010 | But , uh"
[52:28] me010 | I see I see it things about it on TV . OK ?
[52:32] fe004 | Uh - huh .
"[52:32] me010 | ap Apparently Oh , it 's the hottest thing in Tokyo ?"
[52:35] me045 | That 's the sort of thing that would be hot in Tokyo .
"[52:40] me010 | Yeah , I didn't know it by its initials ."
"[52:41] fe004 | Yeah , yeah , I didn't until I started hanging out with this friend , who 's like "" Oh , well , I can bring over the DDR if you want . """
"[52:47] fe004 | Oh , oh , Dance Dance Revolution OK . He actually brought a clone called Stepping Selection , but it 's just as good . So . Anyw -"
