[00:00] me045 | @ @
"[30:28] me010 | No , it 's not ."
[30:28] me045 | Right .
[30:29] mn036 | Yeah .
[30:29] mn015 | Um .
[30:31] mn015 | Did you ever get to look at the the rou paper that I sent you on the on that problem in English and German ?
[30:40] mn015 | Um .
[30:41] mn015 | I There is a a study
[30:44] mn015 | on the differences between English and German on exactly that
[30:47] mn015 | problem .
[30:47] mn036 | Hmm .
"[30:48] mn015 | So it 's they actually say "" the monkey in front of the car , where 's the monkey ? """
[30:51] me045 | Mm - hmm .
"[30:52] mn015 | And , um , they found statistically very significant differences in English and German ,"
[31:01] mn015 | that German might be more like Hebrew in that respect .
[31:04] mn015 | The solution they proposed was that it was due to syntactic factors .
[31:04] me045 | Hmm .
"[31:09] mn015 | That syntactic facto factors do do play a role there , wh whether you 're more likely ,"
[31:10] mn036 | Right .
[31:11] mn036 | Mm - hmm .
[31:12] mn036 | Right .
"[31:14] mn015 | you know ,"
"[31:15] mn015 | to develop uh , choices that lead you towards using uh intrinsic versus extrinsic reference frames ."
[31:22] me010 | Hmm .
"[31:22] me045 | I mean , it seems to me that you can get both in in English depending o You know , like , "" in front of the car "" could you know Like ,"
[31:32] me010 | Absolutely .
"[31:34] me045 | But anyway , so you know , I mean , this was this was a a very good talk on those kinds of issues and so on . So uh ."
"[31:40] mn015 | I can also give you uh , a pointer to a paper of mine which is the the ultimate taxonomy of reference frames . So . I 'm the only person in the world who actually knows how it works ."
[31:48] me010 | Oh .
[31:51] me010 | Oh .
[31:52] mn015 | Not really .
"[31:54] me010 | Great . No , I 've not seen that ."
[31:56] mn036 | What do you mean . Um .
"[31:57] mn036 | "" reference frames "" ?"
[31:58] mn036 | uh
[32:01] mn036 | uh
[32:02] mn015 | Um .
"[32:09] mn015 | I should there should be an "" L "" , though ."
[32:11] mn015 | Well actually you have only have two choices . You can either do a two - point
[32:16] mn015 | or a three - point
[32:18] mn015 | which is you
"[32:19] mn015 | You 're familiar with th with the "" origo "" ?"
"[32:22] mn015 | where that 's the center "" Origo "" is the center of the f frame of reference . And then you have the"
[32:26] me045 | Hmm .
[32:27] mn015 | reference object and the object to be localized .
[32:32] me045 | Hmm .
[32:32] mn015 | OK ? In some cases the origo
[32:33] mn036 | Mm - hmm .
[32:35] mn015 | is
[32:37] mn015 | the same
[32:38] mn015 | as the reference object .
"[32:41] me010 | So that would be "" origin "" in English , right ?"
[32:42] me045 | The origin . Yeah .
[32:43] mn036 | Right
"[32:44] mn015 | "" Origo "" is a Terminus technikus . in that sense ,"
"[32:46] mn015 | that 's even used in the English literature . "" Origo . """
"[32:49] me045 | Oh , OK . I never heard it . OK ."
[32:49] me010 | Alright .
[32:50] mn036 | OK .
"[32:51] mn015 | And um ,"
"[32:53] mn015 | so ,"
[32:54] mn015 | this video tape is in front of me . I 'm the origo and I 'm also the reference object . Those are two - point .
[32:56] me045 | Mm - hmm .
[32:58] me045 | Mm - hmm .
[32:58] mn036 | Right .
[33:00] me010 | Mm - hmm .
[33:00] mn015 | And three - point relations is if something has an intrinsic front side like this chair then your f
[33:05] me010 | Yeah .
[33:07] mn015 | shoe is behind the chair .
[33:08] me045 | Mm - hmm .
"[33:10] mn015 | And ,"
[33:11] mn015 | reference object and Um .
"[33:13] mn015 | No , from from my point of view your shoe is"
[33:15] me045 | Right .
[33:16] mn015 | left of the chair .
"[33:17] me045 | You you can actually say things like , um ,"
[33:24] mn015 | Yeah .
[33:27] mn015 | Yeah .
"[33:28] mn015 | So ,"
[33:28] fe004 | Looks a little bit like Reichenbach for time .
"[33:31] me010 | Yeah , it sounds like it , doesn't it , yeah ."
[33:32] fe004 | It 's a lot like it . Um .
[33:32] me045 | Yeah .
"[33:33] mn015 | And then and then here you On this scale , you have it either be ego"
[33:38] mn015 | or allocentric .
[33:40] me010 | Mm - hmm .
[33:42] mn015 | And that 's that 's basically
"[33:45] mn015 | it . So . Egocentric two - point , egocentric three - point , or you can have allocentric ."
"[33:50] mn015 | So , "" as seen from the church , the town hall is right of that"
"[33:50] me045 | Oh , OK ."
"[33:55] mn015 | um , fire station "" ."
[33:57] mn015 | It 's hardly ever used but it 's w
[33:58] mn036 | I 'd love to see it if you if you have a copy kind of . Uh .
[33:59] me010 | Yeah . I see this is this is getting into Ami 's thing .
[34:00] me045 | Yeah .
[34:03] me045 | Mm - hmm .
[34:03] me010 | He 's he 's very interested in that .
[34:03] mn036 | Here
[34:04] mn015 | OK .
"[34:04] me010 | So . Uh . Yeah . Well , why don't you just put it on the web page ? There 's this EDU Right ?"
[34:05] me045 | Me too .
"[34:09] mn015 | Yeah it 's or or just Yeah . It 's also all on my my home page at EML . It 's called "" An Anatomy of a Spatial Description "" . But I 'll send that link ."
[34:11] me010 | Or a link to it .
[34:14] me010 | Just
"[34:16] mn036 | OK , great ."
"[34:17] me010 | Maybe just put a link on . Yeah . By the way , there something that I didn't know until about"
[34:17] mn015 | Yep . Yep .
"[34:22] me010 | a week ago or so ,"
"[34:23] me010 | is apparently ,"
[34:25] me010 | there are
[34:27] me010 | separate brain areas
[34:29] me010 | for
"[34:31] me010 | things within reach , and things that are out of reach ."
[34:34] me010 | So there 's there 's uh all this linguistic stuff about
[34:34] me045 | Huh .
"[34:37] me010 | you know , near and far , or yon and and so forth . So this is all This is There 's this linguistic facts . But apparently ,"
[34:45] me010 | the Uh . Here 's the way the findings go .
"[34:48] me010 | That ,"
"[34:49] me010 | you know they do MRI , and and if you 're uh got something within reach then there 's one of your areas lights up , and if something 's out of reach"
[34:58] me010 | uh a different one .
"[35:00] me010 | But here 's the the amazing result ,"
"[35:02] me010 | um ,"
[35:04] me010 | they say .
[35:05] me010 | You get someone with a with a deficit
[35:08] me010 | so that they have a perfectly normal ability at distance things . So
"[35:13] me010 | the s typical task is subdivision . So there 's a a line on the wall over there , and you give them a laser pointer , and you say ,"
"[35:19] me010 | "" Where 's the midpoint ? "" And they do fine ."
"[35:21] me010 | If you give them the line , and they have to touch it , they can't ."
"[35:24] me010 | There 's just that part of the brain isn't functioning , so they can't do that ."
[35:28] me010 | Here 's the real experiment .
"[35:29] me010 | The same thing on the wall , you give them a laser , "" where is it ? "" ,"
"[35:32] me010 | they do it . Give them a stick , long stick , and say "" do it "" , they can't do it ."
[35:32] me045 | Mm - hmm .
[35:36] me010 | So there 's a remapping of distant space into nearby space .
[35:41] mn036 | Right .
[35:43] fe004 | Because it 's within reach now ?
[35:45] me010 | It 's not within reach and you use the Within - Reach
"[35:45] me045 | Yeah , yeah ."
"[35:48] me010 | uh , mechanism . So I 'll d I 'll dig you up this reference ."
[35:50] mn036 | Right .
"[35:51] me010 | And so this doe This is , uh First of all , it explains something that I 've always wondered about"
[35:56] me010 | and I 'll do this this test on you guys as well . So .
[36:00] me010 | Uh .
[36:01] me010 | How -
"[36:02] me010 | I have had an experience , not often , but a certain number of times , when , for example , I 'm working with a tool , a screwdriver or something , for a long time ,"
[36:10] me010 | I start feeling the tip
[36:13] me010 | directly .
"[36:14] me010 | Not indirectly , but you actually can feel"
[36:16] me045 | Yeah yeah .
"[36:17] me010 | the tip . And people who are uh accomplished violinists and stuff like that , claim they also have this kind of thing where you"
[36:20] me045 | Yeah .
[36:23] me010 | get a direct sensation
"[36:25] me010 | of , physical sensation , of"
[36:29] me010 | the end affector .
"[36:31] mn036 | The ext the the The extension , right ."
[36:31] me010 | Huh ?
"[36:32] me045 | What 's going on at the end of the tool , or whatever ."
"[36:33] me010 | Yeah , within Huh ?"
"[36:34] mn036 | The extension of of your hand , right ."
"[36:36] me010 | Yeah , right . Have you hav y h had this ?"
[36:38] mn036 | I I think so . I mean i i it 's not exactly
"[36:41] mn036 | the th same thing , but but s it it it 's getting close to that ."
[36:44] fe004 | W what does it feel like ?
[36:44] me045 | Yeah .
[36:46] me010 | Oh i it feels like your as if your
"[36:50] me010 | uh neurons had extended themselves out to this tool , and you 're feeling forces on it and so forth and and you deal directly with it ."
[37:01] mn036 | I I was playing you know with those um
[37:04] mn036 | uh devices that allow you to manipulate objects when it 's dangerous to get close ?
"[37:08] me010 | Right , yeah yeah yeah . Yeah ."
"[37:08] me045 | Oh , OK ."
[37:08] mn036 | So you can insert your hand something
[37:11] me010 | Yeah .
"[37:12] mn036 | So I played with it . After a while ,"
[37:14] mn036 | you don't feel the difference anymore .
"[37:15] me010 | Yeah , right ."
[37:15] me045 | Mm - hmm .
[37:17] mn036 | Very kind of you stop back
[37:19] mn036 | and suddenly it goes away
[37:20] mn036 | and you have to kind of work again
"[37:20] me010 | Right , right ."
"[37:22] mn036 | to recapture it , but yeah ."
"[37:23] me010 | Yeah , so anyway , so So this was the first actual experimental evidence I 'd seen that was consistent with this anecdotal stuff ."
[37:24] me045 | That 's cool .
[37:30] me010 | And of course it makes a lovely def uh story about why
[37:34] me010 | languages
"[37:35] me010 | uh , make this distinction . Of course there are behavioral differences too . Things you can reach are really quite different than things you can't ."
[37:41] me045 | Yeah .
[37:41] me010 | But there seems to be an actu really deep embodied
"[37:45] me010 | neural difference . And i this is , um So . In addition to the"
[37:49] me010 | e
[37:49] mn015 | This is more proximal - distal .
[37:51] me010 | Yeah uh exactly . So in addition to e ego and allocentric
"[37:55] me010 | uh which appear all over the place , you also apparently have this proximal - distal"
[38:00] me010 | thing which is very deeply uh embedded .
[38:04] me010 | S
"[38:05] mn015 | Well , Dan Montello sort of , he he does the uh uh th the cognitive map"
"[38:09] mn015 | world , down in Santa Barbara ."
[38:14] mn015 | He he already well i probably most likely without knowing this this evidence uh is talking about these small scale spaces that you can manipulate versus large scale environmental spaces .
[38:17] me010 | Yeah .
"[38:22] me010 | Well there 's there 's uh been a lot of behavioral things o on this , but that was the first neur neuro - physiological thing I saw ."
"[38:28] me010 | Anyway yeah , so we 'll we 'll look at this ."
"[38:31] me010 | And . So , all of these issues now are now starting to come up . So , now we 're now done with demos . We 're starting to do science , right ? And so these issues about"
"[38:39] me010 | uh , reference , and spatial reference , discourse reference , uh - uh - uh - uh all this sort of stuff ,"
[38:45] me045 | Mm - hmm .
"[38:46] me010 | uh , deixis which is part of what you were talking about , um So , all of this stuff is"
[38:49] me045 | Mm - hmm .
[38:55] me010 | coming up essentially starting now .
[38:57] me010 | So we gotta do all this . So there 's that . And then there 's also a set of system things that come up .
"[39:04] me010 | So "" OK , we 're not using their system . That means we need"
"[39:08] me010 | our system . "" Right ? It it follows . And so ,"
"[39:13] me010 | uh , in addition to the business about just getting the linguistics right , and the formalism and stuff , we 're actually gonna build something"
"[39:23] me010 | and uh , Johno is point person on the parser , analyzer , whatever that is , and we 're gonna start on that in parallel with the"
"[39:35] me010 | um , the grammar stuff . But"
[39:37] me045 | Alright .
[39:38] me010 | to do that
[39:39] me010 | we 're gonna need to make some decisions like
"[39:42] me010 | ontology ,"
"[39:44] me010 | so , um And so this is another thing where we 're gonna , you know , have to get involved and make s relatively early I think , make some decisions on"
"[39:54] me010 | uh , "" is there an ontology API"
"[39:58] me010 | that that "" There 's a sort of standard way of getting things from ontologies and we"
"[40:02] me010 | build the parser and stuff around that , or is there a particular ontology that we 're gonna standardize on , and if so For example , is there something"
[40:10] me010 | that we can use there .
[40:12] me010 | i Does uh either the uh SmartKom project or one of the projects at EML
[40:19] me010 | have something that we can just
"[40:22] me010 | p pull out , for that ."
"[40:25] me010 | Uh , so there are gonna be some some some things like that , which are"
[40:31] me010 | not science but system .
[40:35] me010 | But we aren't gonna ignore those cuz we 're we 're not only going The plan is not only to
"[40:39] me010 | lay out this thing , but to actually uh"
[40:42] me010 | build
[40:44] me010 | some of it .
"[40:45] me010 | And how much we build , and and so forth ."
"[41:24] me010 | Uh . Part of it , if it works right ,"
[41:27] me010 | is wh It looks like we 're now in a position
[41:30] me010 | that
[41:32] me010 | the
[41:33] me010 | construction analyzer that we want for this
[41:36] me010 | applied project
[41:38] me010 | can be the same as the construction analyzer that Nancy needs for the child language modeling .
[41:44] me010 | So . It 's always been out of phase but it now seems that
"[41:48] me010 | um , there 's a good shot at that . So we 've talked about it , and"
[41:53] me010 | the hope
"[41:55] me010 | is that we can make these things the same thing ,"
[41:57] me045 | OK .
[41:58] me010 | and of course it 's only w In both cases it 's only one piece of a bigger system .
[42:02] me045 | Mm - hmm .
[42:02] me010 | But it would be nice if that piece
[42:05] me010 | were exactly the same piece . It was just this
[42:06] me045 | Right .
[42:07] me010 | uh
[42:09] me010 | construction analyzer .
[42:11] me010 | And so we think we think we
[42:14] me010 | have a shot at at that .
[42:15] me045 | OK .
"[42:29] me010 | So . The for So . To to come full circle on that , this formalization task ,"
[42:34] me010 | OK ? is trying to
[42:38] me010 | get the formalism into into a shape where it can actually
[42:44] me045 | Yeah .
[42:44] me010 | uh d
"[42:46] me010 | Well , yeah , where it actually is is covers the whole range of things ."
[42:50] me010 | And the the the the thing that got Mark into the worst trouble is he
"[42:57] me010 | had a very ambitious thing he was trying to do , and"
"[43:00] me010 | he insisted on trying to do it with a limited set of mechanisms . It turned out , inherently not to cover the space ."
[43:08] me045 | OK .
"[43:09] me010 | And it just it was just terribly frustrating for him , and he seemed fully committed to both"
[43:12] me045 | Yeah .
[43:15] me010 | sides of this
[43:16] me045 | I see .
[43:17] me010 | i i irreconcilable thing .
[43:19] me010 | And .
[43:22] me010 | Uh . Johno is much more pragmatic .
[43:25] me045 | OK .
[43:25] me010 | Uh .
[43:26] me010 | Huh ?
"[43:27] me010 | Is This is true , is it not ?"
[43:28] me003 | Yes .
"[43:29] me010 | OK . So there 's you know sort of , yeah , deep , really deep , emotional commitment to a certain theory being"
"[43:35] me045 | Oh , OK ."
"[43:36] me010 | uh , complete ."
[43:37] fe004 | You don't have a hidden purist streak ?
[43:38] me003 | Oh no .
[43:43] me003 | No sir .
[43:44] me045 | Alright .
[43:45] me010 | Um .
"[43:47] me010 | Now , you do , but that 's OK ."
[43:51] me010 | Exactly right .
[43:53] me010 | Exactly .
[43:55] fe004 | It 's So . Whether I do depends on whether I 'm talking to him or him probably . Which meeting I 'm in .
[43:56] mn036 | Hmm .
[44:07] me010 | Uh .
"[44:08] me010 | Within that , yeah , and uh , it 's a and still , I think , you know , get something done ."
[44:15] me010 | But to try to do something upscale and purist
[44:15] fe004 | Yay .
[44:17] me045 | Mm - hmm .
[44:19] me010 | Particularly if if
[44:20] me010 | um
"[44:22] me010 | what you 're purist about doesn't actually work , is real hard ."
[44:25] me010 | OK . And then the other thing is
[44:27] mn036 | @ @ It 's possible yeah .
[44:28] me010 | while we 're doing this
[44:29] me010 | uh
"[44:31] me010 | Robert 's gonna pick a piece of this space ,"
[44:33] me045 | OK .
"[44:33] me010 | OK ,"
"[44:34] me010 | uh ,"
[44:36] me010 | for
"[44:37] me010 | his absentee thesis . I think you all know that that you can just , in Germany almost just send in your thesis ."
[44:43] mn036 | Um
[44:44] mn015 | The - th
[44:46] mn015 | There there 's a drive - in thesis uh sh joint over in Saarbruecken .
"[44:50] me010 | It costs a lot . The the amount You put in your credit card and as well . But , uh , But anyway , so , uh ,"
[45:00] me010 | that 's
"[45:02] me010 | um , also"
"[45:04] me010 | gotta be worked out , hopefully over the next few weeks , so that that it becomes clear"
"[45:10] me010 | uh , what piece"
"[45:13] me010 | uh , Robert wants to jump into ."
"[45:15] me010 | And , while we 're at this level , uh ,"
[45:20] me010 | there 's at least one new
"[45:23] me010 | doctoral student in computer science who will be joining the project , either"
"[45:27] me010 | next week or the first of August , depending on"
"[45:30] me010 | the blandishments of Microsoft . So , de"
[45:33] me010 | Uh . And her name is Eva .
[45:35] me045 | OK .
"[45:38] fe004 | Yeah , I thought it had to be a joke ,"
[45:41] me010 | Yeah .
"[45:46] me010 | No , first year coming . So , she 's she 's now out here she 's moved , and she 'll be a student as of"
[45:50] me012 | OK .
"[45:53] me010 | then . And probably she 'll pick up from you on the belief - net stuff , so sh she 'll be chasing you down and stuff like that ."
[45:56] me012 | OK .
[45:59] mn015 | Document .
[45:59] me010 | Uh .
[46:01] me012 | Right .
[46:05] me010 | And actually I talked today to a
[46:08] me010 | uh undergraduate who wants to do an honors thesis on this .
[46:13] fe004 | Someone from the class ?
"[46:15] me010 | No , interestingly enough ."
"[46:16] fe004 | We always get these people who are not in the class , who It 's interesting ."
"[46:18] me010 | Some of th some of them , yeah ."
"[46:20] me010 | So anyway , uh , but uh she 's another one of these ones with a three point nine average and so forth and so on ."
[46:25] me045 | Mm - hmm .
"[46:26] me010 | Uh , so ,"
"[46:28] me010 | um , I 've give I 've given her some things to read ."
[46:31] me010 | So we 'll see how this goes . Oh there 's yet another one of the incoming
"[46:35] me010 | first incoming first - year graduate students who 's expressed interest , so we 'll see how that goes ."
"[46:39] me010 | Um ,"
"[46:41] me010 | anyway ,"
"[46:43] me010 | so ,"
[46:45] me010 | I think as far as
"[46:47] me010 | this group goes ,"
"[46:50] me010 | um ,"
[46:53] me010 | it 's certainly worth continuing
[46:57] me010 | for the next few weeks
[46:59] me010 | to get closure
[47:01] me010 | on the uh
"[47:04] me010 | belief - net and the ideas that are involved in that , and what are th what are the concepts ."
[47:09] me010 | We 'll see
[47:11] me010 | whether
[47:13] me010 | it 's gonna make sense to have this be separate from the other
"[47:19] me010 | bigger effort with the formalization stuff or not , I 'm not sure . It partly depends on w"
[47:24] me010 | what your thesis turns out to be and
[47:26] me010 | how that goes .
"[47:28] me010 | S so , we 'll see . And then , Ami , you can decide , you know , how much time you wanna put into it and uh ,"
[47:35] mn036 | OK .
"[47:35] me010 | it it 's beginning to take shap shape , so"
[47:38] me010 | uh
[47:38] mn036 | Right
"[47:40] me010 | and , I think you will find"
[47:43] me010 | that
[47:44] me010 | if you want to
[47:47] me010 | look technically
"[47:48] me010 | at some of the your traditional questions in this light ,"
"[47:53] me010 | uh Keith , who 's buil building constructions , will be"
[47:57] me010 | quite happy to
[47:59] me010 | uh
"[48:00] me010 | see what , you know , you envision as the issues and the problems and"
"[48:04] me010 | um , how they might uh"
[48:07] me010 | get reflected in constructions .
[48:09] me045 | Sure .
[48:10] me010 | I suspect that 's right .
[48:10] me045 | Yeah . Yeah .
[48:14] mn036 | I I may have to go to Switzerland for in June or beginning of July for
"[48:19] mn036 | between two weeks and four weeks , but uh ,"
[48:22] mn036 | after that or before that .
"[48:23] me010 | OK , fine ."
"[48:24] me010 | And , um ,"
[48:27] me010 | if it 's useful we can probably arrange for you to drop by and visit either at Heidelberg or
"[48:33] me010 | at the German AI center ,"
[48:34] me010 | while you 're in in the neighborhood .
[48:35] mn036 | Right .
[48:36] mn036 | Yeah be uh actu actually
[48:38] mn036 | I 'm invited to do some consulting with a bank in Geneva which has
[48:41] me010 | Yeah . Yep .
"[48:44] mn036 | an affiliation with a research institute in Geneva , which I forgot the name of ."
"[48:48] me010 | E o do y Well , we we 're connected to"
[48:49] mn036 | Yeah .
"[48:51] me010 | uh There 's a there 's a a very significant connection between We 'll we 'll go through this ,"
[48:57] mn036 | Yeah .
[49:04] me010 | Fr - Ge - Germany 's got two big
[49:07] me010 | technical institutes . There 's one in in
"[49:09] me010 | Zurich ,"
[49:10] mn036 | Mm - hmm .
"[49:11] me010 | E T H , and then there 's one , the French speaking one ,"
"[49:14] me010 | in Lausanne ,"
[49:16] me010 | OK ? which is uh E P F L .
"[49:16] me045 | Oh , so in Switzerland ."
[49:19] me010 | So find out who they are associated with in Geneva . Probably we 're connected to them .
[49:19] mn036 | Great .
[49:21] mn036 | Right .
[49:23] mn036 | Great . I 'll let you know .
[49:24] mn036 | S I 'll send you email .
[49:24] me010 | OK .
"[49:35] mn015 | Hmm . Uh . I I think the one you you gave here a couple of weeks ago would be of interest there , too ."
"[49:40] mn036 | Sure , yeah ."
"[49:44] me010 | Yeah , so , and and if there is a book , that you 'll be building up"
[49:45] mn036 | Yeah .
[49:48] mn036 | Right .
"[49:51] mn036 | Great , yeah ."
[49:52] me010 | these DFKI guys have done as much as anyone
[49:56] me010 | over the last decade in trying to build them .
[49:59] me010 | So we 'll set that up .
[50:00] mn036 | Cool .
"[50:03] me010 | OK . So ,"
"[50:06] me010 | uh , unless we wanna start"
[50:10] me010 | uh
[50:16] mn015 | I I tho It 's probably better if I come
[50:19] mn015 | next week with the
[50:22] mn015 | um
[50:24] mn015 | version O point nine
"[50:25] me010 | OK . So , how about if you two guys between now and next week"
[50:26] mn015 | of the structure .
[50:29] me010 | come up with something that
"[50:31] me010 | is partially proposal , and partially questions , saying "" here 's what we think we understand , here are the things we think we don't understand "" ."
[50:40] me010 | And that we as a group will try to to finish it . What I 'd like to do is shoot f for finishing all this next Monday .
[50:43] me012 | Sure .
"[50:47] me010 | OK ? Uh , "" these are the decisions "" I don't think we 're gonna get lots more information . It 's a design problem ."
[50:52] me045 | Mm - hmm .
[50:53] me012 | Yeah .
[50:55] me010 | And let 's come up with a first cut at what this should look like .
[51:00] me010 | And then finish it up . Does that so make sense ?
[51:00] me045 | OK .
[51:05] me045 | OK .
"[51:05] mn015 | And um , the the sem semester will be over"
[51:09] mn015 | next week but then you have projects
[51:11] mn015 | for one more week to come ?
"[51:13] me012 | No , I I think I 'll be done everything by this uh by the end of this week ."
[51:17] mn015 | Same with you ? No .
"[51:19] me003 | Nnn . This Well , I 've I have projects , but then the my prof professor of one of my classes also wa has a final"
[51:25] me003 | that he 's giving us . And he 's giving us five days to do it which means
[51:29] me010 | Yeah . Oh . is it a take - home final ? Who 's doing this ?
"[51:31] me003 | Yeah . Aikin , Alex , yeah ."
"[51:32] me010 | Yeah , figured . That would have been i my guess ."
[51:33] me012 | Hmm .
[51:35] me010 | Right .
"[51:36] me010 | Um ,"
"[51:37] me010 | But anyway , yeah ."
"[51:40] me010 | OK , so I guess that 's"
[51:44] me010 | Right . right .
"[51:46] me010 | So let 's do this , and then we we well there 's gonna be some separate co these guys are talking ,"
"[51:51] me010 | uh we have a group on the formalization , uh Nancy and Johno and I are gonna talk about parsers . So there 're various kinds of"
[51:58] me045 | OK .
"[51:59] me010 | Of course ,"
"[52:00] me010 | nothing gets done even in a meeting of seven people , right ? So , um ,"
[52:02] mn015 | Mmm .
[52:05] me010 | two or three people is the size in which
[52:07] me010 | actual work gets done .
[52:10] me010 | So we 'll do that .
"[52:12] me010 | Great . Oh , the other thing we wanna do is catch up with"
"[52:15] me010 | uh , Ellen and see what she 's doing because the um image schemas"
[52:21] me045 | Yeah .
[52:22] me010 | are going to be
"[52:24] me010 | um , an important pa We we want those , right ? And we want them formalized and stuff like that ."
"[52:27] me045 | Yeah , oh yeah ."
[52:29] me045 | Yeah .
[52:30] me010 | So let me let me make a note to do that .
"[52:31] me045 | OK . Yeah , I 'm actually probably going to be in contact with her uh pretty soon anyway because of various of us students were going to have a reading group about"
"[52:41] me010 | Oh right ! Right right right ! That 's great ! Yeah , I I Shweta mentioned that ,"
[52:45] me045 | OK .
[52:45] me010 | although she said it 's a secret .
[52:47] me010 | Th - the faculty aren't faculty aren't supposed to know .
"[52:51] me010 | But um ,"
