[00:00] mn005 | @ @
[30:39] me011 | I 'll do that . I 'll do that on the next set of forms .
[30:40] mn005 | Yeah .
[30:41] mn017 | So you 'd number them somehow .
"[30:41] mn005 | Yeah . Is possible to get information from the rhythmic f from the ge , eh uh , files ."
"[30:44] me011 | I finally remembered to put , uh"
[30:47] me018 | We can can't you figure it out from the mike number ?
[30:47] me011 | put native language on the newer forms .
[30:51] me011 | No .
[30:51] me018 | OK .
[30:52] me011 | The wireless ones .
"[30:55] me011 | And even the jacks , I mean , I 'm sitting here and the jack is over in front of you ."
[30:58] me018 | Oh .
[30:59] fe016 | But probably from these you could 've infer it .
"[31:01] mn017 | Yeah , but"
[31:02] me011 | It would be another task .
[31:02] fe016 | It would be a research task .
"[31:03] me011 | Having having ground tu truth would be nice , so seat number would be good ."
[31:05] me018 | You know where you could get it ?
"[31:05] fe016 | Yeah , yeah ."
[31:06] mn005 | Yeah .
[31:06] me018 | Beam - forming during the digit uh stuff .
[31:09] me011 | So I 'm gonna put little labels on all the chairs with the seat number . That 's a good idea .
[31:10] mn014 | Mm - hmm .
[31:13] fe016 | But you have to keep the chairs in the same pla like here .
[31:14] mn017 | Chairs are movable .
[31:16] me011 | Yep .
[31:16] mn014 | Yeah .
[31:17] me011 | Yep .
[31:18] mn005 | Yeah .
"[31:18] fe008 | But you know , they the s"
"[31:20] fe008 | the linguistic anthropologists would say it would be good to have a digital picture anyway , because you get"
[31:21] me018 | Just remembered a joke .
[31:25] mn017 | What people were wearing .
[31:25] me011 | Yeah .
"[31:25] fe008 | Posture , and we could like ,"
[31:28] fe016 | The fashion statement .
[31:32] me013 | But if you just f
[31:32] mn017 | Yeah .
[31:33] mn017 | Andreas was wearing that same old sweater again .
"[31:34] me013 | But from one picture , I don't know that you really get that . Right ?"
"[31:36] me013 | You 'd want a video for that , I think ."
"[31:38] mn005 | A video , yeah ."
[31:39] fe008 | i Just from a single picture I think you can tell some aspects .
[31:40] me013 | Think so ?
"[31:41] fe008 | I mean I I could tell you I mean , if I if I 'm in certain meetings I notice that there are certain people who"
[31:49] me013 | Hmm .
[31:49] fe008 | is very interesting in terms of the dominance aspect .
[31:51] mn017 | Yeah .
[31:51] mn017 | And and
[31:52] mn017 | Morgan had that funny hair again .
"[31:54] fe008 | Well , I mean you black out the that part . But it 's just , you know , the the body"
[31:54] me011 | Hmm .
[31:58] fe008 | you know ?
"[32:00] me011 | Of course , the where we sit at the table , I find is very interesting , that we do tend to cong to"
[32:04] me011 | gravitate to the same place each time .
[32:06] fe008 | Yeah .
[32:07] me011 | and it 's somewhat coincidental . I 'm sitting here so that I can
"[32:10] me011 | run into the room if the hardware starts , you know , catching fire or something ."
[32:15] me011 | I just want to be at the head of the table .
[32:16] mn017 | Yeah .
[32:17] me011 | Take control .
"[32:18] me013 | Speaking of taking control , you said you had some research to talk about ."
[32:20] fe008 | Yeah .
"[32:20] me011 | Yeah , I 've been playing with , um"
[32:21] fe008 | Yeah .
"[32:23] me011 | uh , using the close - talking mike to do to try to figure out who 's speaking ."
"[32:26] me011 | So my first attempt was just using thresholding and filtering , that we talked about about two weeks ago ,"
"[32:31] me011 | and so I played with that a little bit , and"
"[32:34] me011 | it works O K , except that"
[32:38] me011 | your filter width and your
[32:41] me011 | threshold .
[32:42] me011 | So if you fiddle around with it a little bit and you get good numbers you can actually do a pretty good job of segmenting when someone 's talking and when they 're not .
"[32:48] me011 | But if you try to use the same paramenters on another speaker , it doesn't work anymore , even if you normalize it based on"
[32:54] me011 | the absolute loudness .
[32:55] fe016 | But does it work for that one speaker throughout the whole meeting ?
[32:58] me011 | It does work for the one speaker throughout the whole meeting .
[33:01] me011 | Um
[33:02] me011 | Pretty well . Pretty well .
[33:02] me018 | How did you do it Adam ?
[33:04] me011 | How did I do it ? What do you mean ?
[33:04] me018 | Yeah .
"[33:06] me011 | The algorithm was , uh"
[33:07] me018 | Yeah .
[33:09] me011 | take
"[33:09] me011 | o every frame that 's over the threshold ,"
"[33:11] me011 | and then median - filter it ,"
[33:13] me018 | Mm - hmm .
[33:13] me011 | and then look for runs .
[33:18] me018 | Every frame that 's over what threshold ?
[33:20] me011 | A threshold that you pick .
[33:21] me018 | In terms of energy ?
[33:22] me011 | Yeah .
[33:22] me018 | Ah !
[33:23] me018 | OK .
[33:24] fe008 | Say that again ?
[33:24] fe008 | Frame over fres threshold .
"[33:25] me011 | So you take a each frame , and you compute the energy and if it 's over the threshold you set it to one , and if it 's under the threshold you set it to zero ,"
[33:32] fe008 | Hmm .
[33:32] me011 | so now you have a bit stream of zeros and ones .
[33:33] fe008 | OK .
[33:34] me011 | And then I median - filtered that
"[33:37] me011 | using , um a fairly long filter length ."
"[33:40] me011 | Uh well , actually I guess depends on what you mean by long , you know , tenth of a second sorts of numbers ."
[33:45] me011 | Um
[33:46] me011 | and that 's to average out
"[33:48] me011 | you know , pitch ,"
"[33:49] me011 | you know , the pitch contours ,"
[33:51] me011 | and things like that .
"[33:52] me011 | And then , uh"
[33:53] me011 | looked for long runs .
[33:55] fe008 | OK
"[33:58] me011 | And that works O K , if you fil if you tune the filter parameters , if you tune how long your median filter is and how high you 're looking for your thresholds ."
[34:07] me018 | Did you ever try running the filter before you pick a threshold ?
[34:11] me011 | No .
[34:12] me011 | I certainly could though .
[34:14] me011 | But this was just
"[34:19] me011 | OK and then the other thing I did , was I took"
"[34:21] me011 | Javier 's speaker - change detector acoustic - change detector , and I implemented that with the close - talking mikes ,"
"[34:33] me011 | the problem is he does it in two passes , the first pass"
[34:39] me011 | And he does that using a neural net doing broad phone classification and he
[34:43] me011 | has the
"[34:45] me011 | the , uh one of the phone classes is silence ."
[34:48] me011 | And so the possible breaks are where silence starts and ends .
[34:55] me011 | Um
[34:56] me011 | looking for
[34:57] me011 | uh
[34:58] me011 | whether it improves or or degrades to split at one of those particular places .
[35:06] me011 | even on the close - talking mike
[35:09] me011 | the broad phone class classifier 's doing a really bad job .
[35:12] me018 | Who was it trained on ?
"[35:13] me011 | Uh , I have no idea . I don't remember ."
[35:14] me018 | Hmm .
"[35:16] me011 | Does an do you remember , Morgan , was it Broadcast News ?"
"[35:18] me013 | I think so , yeah ."
"[35:20] me011 | So , at any rate , my next attempt , which I 'm in the midst of and haven't quite finished yet was actually using the"
"[35:27] me011 | uh , thresholding"
[35:28] me011 | as the way of generating the candidates .
[35:31] me011 | Because one of the things that definitely happens is if you put the threshold low you get lots of breaks .
[35:35] me011 | All of which are definitely acoustic events .
[35:38] me011 | They 're definitely
[35:40] me011 | someone talking .
"[35:41] me011 | But , like , it could be someone who isn't the person here , but the person over there or it can be the person breathing ."
[35:50] me011 | And so I think that might work .
"[35:52] me011 | But , I haven't gotten very far on that ."
"[35:55] me011 | But all of this is close - talking mike , so"
"[36:01] mn005 | uh , but eh"
"[36:03] mn005 | I I I think , eh"
"[36:05] mn005 | when when , y I I saw the the the the speech from PDA and , eh close talker . I I think the"
[36:13] mn005 | there is a a great difference in the in the signal .
"[36:16] me011 | Oh , absolutely . So s my intention for this is is as an aide for ground truth ."
[36:21] mn005 | but eh
[36:22] mn005 | I I I mean that eh eh in the in the mixed file
"[36:29] mn005 | great different , eh level of energy ."
"[36:34] mn005 | I I think for , eh algorithm based on energy ,"
"[36:43] mn005 | eh , mmm , first sound energy detector ."
[36:47] me011 | Say it again ?
[36:47] mn005 | eh nnn .
[36:48] mn005 | When y you the detect the the the first at at the end of of the
"[36:53] mn005 | detector of , ehm princ um . What is the the name in English ? the the , mmm ,"
[37:04] mn005 | an isolated word
[37:05] mn005 | in in the background
"[37:07] mn005 | That , uh"
"[37:08] mn005 | I mean that when when you use , eh eh any"
[37:11] me018 | I think he 's saying the onset detector .
[37:12] mn005 | Yeah .
"[37:14] me011 | Onset detector , OK ."
"[37:15] mn005 | I I think it 's probably to work well eh , because , eh you have eh , in the mixed files a great level of energy ."
[37:26] mn005 | And probably is not so easy
[37:30] me011 | Right .
"[37:35] mn005 | in in that , eh eh speech file is , eh more similar ."
[37:39] me011 | Right .
[37:40] me011 | But different speakers .
"[37:42] mn005 | I I think is eh , it will i is my opinion . It will be , eh more difficult to to detect"
[37:49] mn005 | bass - tone energy .
"[37:52] mn005 | I think that , um In the PDA . Yeah . Yeah . And the the another question , that when"
"[37:53] me011 | Ah , in the clo in the P D A , you mean ? Absolutely . Yeah , no question . It 'll be much harder . Much harder ."
[37:57] me013 | Yeah .
"[38:00] mn005 | I review the the the work of Javier . I think the , nnn , the , nnn , that the idea of using a neural network"
"[38:09] mn005 | to to get a broad class of phonetic , eh from , eh uh"
[38:14] mn005 | a candidate from the the the speech signal .
"[38:20] mn005 | uh , I 'm considering , only because Javier , eh only consider , eh like candidate , the , nnn , eh the silence , because it is the the only model , eh eh , he used that , eh eh nnn ,"
[38:29] me011 | Right .
[38:33] mn005 | to detect
[38:46] mn005 | to consider hypothesis
[38:51] mn005 | eh between each phoneme .
[38:53] me011 | Mm - hmm .
"[38:54] me011 | Yeah , when a phone changes ."
"[38:55] mn005 | Because , I I I think it 's more realistic that , uh only consider the the the the silence between the speaker . Eh there there exists"
"[39:12] mn005 | event , important to to consider ."
[39:12] me013 | Mm - hmm .
[39:14] me013 | Mm - hmm .
"[39:14] mn005 | I I found that the , eh silence in in many occasions in the in the speech file , but , eh when you have , eh eh , two speakers together"
[39:29] mn005 | I think
[39:30] mn005 | eh is better to use the acoustic change detector basically and I I I
"[39:36] mn005 | IX or , mmm , BIC criterion for consider all the frames"
[39:40] me013 | Mm - hmm .
[39:42] mn005 | in my opinion .
"[39:48] me013 | was not because he thought it was better ,"
[39:50] mn005 | Yeah .
[39:50] me013 | it was it was it was the place he was starting .
[39:52] me011 | Yep .
[39:53] mn005 | Yeah .
"[39:54] mn005 | Yeah , yeah , yeah , yeah ."
[39:59] mn005 | Yeah .
"[40:00] me013 | pick a realistic goal ,"
[40:00] me011 | Do something .
"[40:00] mn005 | Yeah ,"
"[40:01] mn005 | yeah , yeah , yeah ."
[40:07] mn005 | Uh - huh .
"[40:07] mn005 | But , eh do do you think that if you consider all the frames"
[40:12] mn005 | to apply
[40:14] mn005 | the
[40:15] mn005 | BIC criterion
"[40:16] mn005 | to detect the the the different acoustic change , eh between speaker , without , uh with , uh silence or with overlapping , uh , I think like like , eh eh"
[40:31] me013 | Mm - hmm .
"[40:31] mn005 | In a first step , I mean ."
[40:33] me013 | Mm - hmm .
"[40:36] mn005 | eh without considering the you you you , um you can consider the energy"
"[40:40] mn005 | like a another parameter in the in the feature vector , eh ."
[40:43] me011 | Right . Absolutely .
[40:44] me013 | Mm - hmm .
"[40:44] mn005 | This this is the idea . And if , if you do that , eh eh , with a BIC uh criterion for example , or with another kind of , eh of distance in a first step , and then you , eh you get the , eh the hypothesis"
[41:02] me011 | Right .
"[41:03] mn005 | Because , eh eh , probably you you can find the the"
[41:13] mn005 | small duration
[41:15] me013 | Mm - hmm .
"[41:15] mn005 | Less than , eh two hundred milliseconds for example and apply another another algorithm , another approach like , eh eh detector of ene , eh detector of bass - tone energy to to consider that , eh"
"[41:29] mn005 | that , eh zone ."
"[41:30] mn005 | of s a small silence between speaker , or"
"[41:35] mn005 | another algorithm to to process , eh the the segment between marks"
[41:39] me013 | Mm - hmm .
[41:40] mn005 | eh founded by the the
[41:45] me013 | Mm - hmm .
"[41:47] mn005 | nnn ,"
[41:47] mn005 | it will be a an an a more general approach
"[41:51] mn005 | the if we compare with use , eh a neural net or another , eh speech recognizer with a broad class or or narrow class , because , in my opinion"
"[42:03] mn005 | eh it 's in my opinion , eh"
[42:03] me013 | Mm - hmm .
[42:05] mn005 | if you if you change
"[42:06] mn005 | the condition of the speech , I mean , if you adjust to your algorithm with a mixed speech file and to , eh"
[42:09] me013 | Mm - hmm .
"[42:20] mn005 | the neural net , eh used by Javier with a mixed file ."
[42:24] me011 | With the what file ?
[42:24] mn005 | uh
"[42:25] mn005 | With a m mixed file ,"
"[42:26] mn005 | with a the mix ,"
"[42:26] fe008 | "" Mixed . """
"[42:26] me018 | "" Mixed "" ."
"[42:27] me011 | "" Mixed ? """
[42:27] mn005 | mix . Sorry .
[42:28] me013 | Mm - hmm .
[42:29] mn005 | And
[42:40] mn005 | I think
"[42:42] me011 | Oh , absolutely . This is this is not what I was suggesting to do ."
[42:44] me013 | I u
[42:47] mn005 | to retrain it .
[42:49] mn005 | Really ?
"[42:51] me013 | It 's a I used to work , like , on voiced on voice silence detection , you know , and this is this kind of thing ."
[42:54] mn005 | Yeah .
[42:56] me013 | If you
[43:02] me013 | they can come up with something that gets most of the cases fairly easily .
[43:09] me013 | Then it gets really hard no matter what you do .
"[43:11] me013 | So , the p the problem is is that if you say , "" Well"
"[43:15] me013 | I have these other data over here ,"
[43:17] mn005 | Yeah .
[43:23] me013 | Uh
"[43:25] me013 | looked for acoustic change . Well , what does that mean ?"
"[43:28] me013 | That that means you set some thresholds somewhere or something , right ?"
[43:28] mn005 | Yeah .
[43:31] mn005 | Yeah .
[43:31] me013 | and and so where do you get your thresholds from ?
[43:34] me013 | From something that you looked at . So
[43:39] me013 | H how are you going to adapt whatever you can very quickly learn about the new data ?
"[43:44] me013 | Uh , if it 's gonna be different from old data that you have ?"
"[43:48] me011 | Well , also what I 'm doing right now is not intended to be an acoustic change detector for far - field mikes . What I 'm doing"
[43:48] me013 | with this .
[43:54] me011 | is trying to use the close - talking mike
[43:58] me018 | You have candidates .
[44:00] mn005 | the candidate .
[44:03] me018 | to make marking easier .
[44:04] me018 | Yeah .
[44:06] mn017 | OK .
[44:11] mn017 | I can imagine uh building a um
[44:18] mn017 | takes into account both the far - field and the
[44:22] me011 | Yep .
"[44:22] mn017 | uh actually , not just the close - talking mike for that speaker , but actually for all of th"
[44:25] me011 | Everyone else .
[44:27] me013 | Yeah .
[44:38] mn017 | basically I think you 'd you would
[44:41] mn017 | an HMM that has
[44:42] mn017 | as a state space all of the possible speaker combinations
[44:44] me011 | All the Yep .
[44:45] mn005 | Yeah .
"[44:46] mn017 | and , um"
[44:48] me011 | It 's a little big .
"[44:50] mn017 | It 's not that big actually , um"
[44:51] me011 | Two to the N .
"[44:56] me013 | Actually , Andreas may maybe maybe just something simpler but but"
[44:56] me011 | Anyway .
[44:57] mn005 | Yeah .
"[44:59] me013 | along the lines of what you 're saying , I was just realizing , I used to know this guy who used to build , uh"
[45:00] mn017 | Mmm .
"[45:02] me013 | um , mike mixers automatic mike mixers where , you know , t in order to able to turn up the gain ,"
[45:04] mn017 | Mmm .
[45:04] mn005 | Yeah .
"[45:07] me013 | you know , uh"
[45:07] mn017 | Mm - hmm .
"[45:09] me013 | you you lower the gain on on the mikes of people who aren't talking , right ?"
[45:12] mn017 | Mm - hmm .
"[45:16] me013 | uh , what if you were just looking at very simple measures like energy measures but you don't just compare it to some threshold overall but you compare it to the energy in the other microphones ."
[45:25] me011 | I was thinking about doing that originally to find out
[45:30] me013 | Yeah .
"[45:30] me011 | But I also wanted to find threshold uh , excuse me , mol overlap ."
[45:34] me013 | Yeah .
"[45:35] me011 | So , not just just the loudest ."
[45:36] fe008 | Mm - hmm .
"[45:36] mn005 | But , eh"
[45:38] mn005 | Sorry . I I have found that when when I
"[45:39] mn017 | Sorry , I have to go ."
[45:40] me011 | OK .
"[45:41] mn005 | I analyzed the the speech files from the , eh mike , eh from the eh close eh microphone , eh I found zones"
[45:43] me011 | Could you fill that out anyway ?
[45:47] me011 | Are y you want me to do it ? I 'll do it .
[45:49] me018 | But he 's not gonna even read that .
[45:50] me011 | I know .
[45:50] me018 | Oh .
[45:51] mn005 | with a a different level of energy .
[45:54] mn005 | including overlap zone .
[45:56] mn005 | including .
"[45:57] mn005 | because , eh eh depend on the position of the of the microph of the each speaker to , eh , to get"
[46:06] mn005 | more o or less energy
[46:08] mn005 | i in the mixed sign in the signal .
"[46:11] mn005 | and then , if you consider energy to to detect overlapping"
"[46:15] mn005 | in in , uh , and you process the the in the the the speech file from the the the mixed signals . The mixed signals , eh ."
"[46:25] mn005 | I I think it 's it 's difficult , um only to en with energy to to consider that in that zone"
"[46:32] mn005 | We have eh , eh , overlapping zone"
"[46:35] mn005 | Eh , if you process only the the energy of the , of each frame ."
"[46:39] me013 | Well , it 's probably harder , but I I think what I was s"
[46:42] me013 | nnn
[46:42] me013 | noting
"[46:42] me013 | just when he when Andreas raised that , was that there 's other information to be gained from looking at all"
[46:50] mn005 | Yeah .
[46:52] mn005 | Yeah .
[46:56] mn005 | Yeah .
"[46:58] me013 | if the distribution looks like there 's a couple high ones and and the rest of them are low , you know , what I mean , there 's some information there about their distribution even with very simple measures ."
[47:01] mn005 | Yeah .
"[47:01] me011 | And everyone else is low , yeah ."
[47:01] mn005 | Yeah .
[47:02] mn005 | Yeah .
[47:04] mn005 | Yeah .
[47:06] mn005 | Yeah .
"[47:13] me011 | Ding , ding , ding , ding ."
[47:14] mn005 | Yeah .
"[47:15] fe016 | I think that 'd be really interesting too , with blindfolds ."
"[47:19] me011 | Nodding with blindfolds , "" what are you nodding about ? """
"[47:22] me011 | "" Sorry , I 'm just I 'm just going to sleep . """
[47:28] me013 | Yeah .
"[47:28] me018 | Actually , I saw a uh a woman at the bus stop the other day who , um , was talking on her cell phone"
"[47:33] me018 | speaking Japanese , and was bowing ."
"[47:35] fe016 | Oh , yeah , that 's really common ."
[47:35] mn014 | Yeah .
[47:35] mn005 | Yeah .
[47:36] mn005 | Yeah .
[47:37] me013 | Wow .
"[47:38] fe016 | It 's very difficult if you try while you 're trying , say , to convince somebody on the phone it 's difficult not to move your hands ."
[47:45] me013 | Mm - hmm ?
"[47:45] fe016 | You know , if you watch people they 'll actually do these things . So ."
"[47:48] fe016 | I still think we should try a a meeting or two with the blindfolds , at least of this meeting that we have lots of recordings of"
[47:53] me011 | Mm - hmm .
"[47:54] me013 | Yeah , I think th"
"[47:54] fe016 | Um , maybe for part of the meeting , we don't have to do it the whole meeting ."
[47:57] me013 | I think it 's a great idea .
[47:58] fe016 | That could be fun .
"[47:59] fe016 | It 'll be too hard to make barriers , I was thinking because they have to go all the way"
[47:59] me013 | W
[48:02] me013 | Yeah .
"[48:03] fe016 | you know , I can see Chuck even if you put a barrier here ."
"[48:04] me011 | Well , we could just turn out the lights ."
[48:09] fe008 | the stuff I was doing with Collin wha
[48:09] fe016 | Y Yeah ?
"[48:17] fe008 | you know , pretty l large partitions ."
[48:18] me013 | Yeah .
"[48:18] fe016 | But then we also have these mikes , is the other thing I was thinking , so we need a barrier that doesn't disturb"
[48:23] me011 | The acoustics .
[48:26] me013 | Blindfolds would be good .
"[48:26] me011 | I think , blindfolds ."
"[48:27] me013 | Probably we should wait until after Adam 's set up the mikes ,"
[48:29] me013 | But .
"[48:31] fe016 | it 's cheap and , uh"
[48:33] fe008 | OK .
[48:37] me018 | I 'll be peeking .
"[48:39] me011 | Yeah , that 's right , we didn't tell them we would be blindfolding ."
[48:45] me013 | So .
"[48:47] me013 | Um , I I wanna move this along ."
"[48:49] me013 | I did have this other agenda item which is , uh @ @ it 's uh a list which I sent to uh a couple folks ,"
"[48:54] me013 | but um I wanted to get broader input on it ,"
[48:56] me013 | So this is the things that I think we did
[48:59] me013 | in the last three months
[49:08] me013 | Um in no particular order
"[49:11] me013 | uh , one , uh , ten more hours of meeting r meetings recorded ,"
"[49:14] me013 | something like that ,"
[49:17] me013 | three months ago .
[49:18] me013 | XML formats and other transcription aspects sorted out
"[49:23] me013 | Um ,"
"[49:24] me013 | pilot data put together and sent to IBM for transcription ,"
"[49:28] me013 | uh next batch of recorded data put together on the CD - ROMs for shipment to IBM ,"
[49:34] me013 | But
"[49:34] me013 | yeah , that 's why I phrased it that way ,"
[49:34] me011 | It 's getting ready .
"[49:38] me013 | human subjects approval on campus ,"
[49:39] me013 | uh and release forms worked out so the meeting participants have a chance to request audio pixelization of
[49:45] me013 | selected parts of the spee their speech .
[49:48] me013 | Um
"[49:54] me013 | preliminary analysis of overlaps in the pilot data we have transcribed ,"
[50:08] me013 | that you and and Lokendra did .
[50:10] fe008 | What was that called ?
"[50:11] me013 | I well , I I 'm probably saying this wrong , but what I said was exploratory analysis of long - distance inferences"
[50:17] me013 | for topic coherence .
[50:19] me013 | Something like that .
"[50:27] me013 | what what you two were doing so I I sent it to you , and"
[50:32] me011 | Mm - hmm .
[50:36] me013 | but
"[50:36] me013 | you know , just"
[50:37] me013 | im improve it .
[50:38] me013 | Um
[50:38] me011 | I I did a bunch of stuff for supporting of digits .
"[50:42] me013 | "" Bunch of stuff for s "" OK , maybe maybe send me a sentence that 's a little thought through about that ."
"[50:44] me011 | So , OK , I 'll send you a sentence that doesn't just say "" a bunch of "" ?"
"[50:47] me013 | "" Bunch of stuff "" , yeah ,"
[50:48] me011 | Yep .
"[50:48] me013 | "" stuff "" is probably bad too ,"
"[50:49] me011 | "" Stuff "" is not very technical ."
[50:52] me013 | Yeah .
"[50:52] me013 | Yeah , yeah ,"
[50:53] me018 | Technical stuff .
"[50:54] me013 | "" range of things "" ,"
[50:55] me013 | yeah .
"[50:57] me013 | and and you know , I sort of"
[50:59] me013 | threw in
[51:03] me013 | uh
[51:04] me013 | preliminary analysis of overlaps .
[51:06] me013 | Uh
[51:06] mn005 | Yeah .
[51:07] me013 | uh
[51:14] mn014 | Not really .
[51:15] me018 | It 's too complicated .
"[51:16] mn014 | Um , I didn't get it . Wh - what is "" audio pixelization "" ?"
"[51:19] me013 | Uh , audio pix wh he did it , so why don't you explain it quickly ?"
"[51:21] me011 | It 's just , uh beeping out parts that you don't want included in the meeting so , you know"
"[51:26] me011 | you can say things like , "" Well , this should probably not be on the record , but beep """
"[51:30] mn014 | OK , OK ."
[51:32] mn014 | I got that .
[51:33] me013 | Yeah . We we we spent a a a fair amount of time early on just talk dealing with this issue about op w e e
[51:35] mn014 | @ @
[51:43] mn014 | OK .
"[51:44] me013 | how do you get around that so in the consent form it says , well"
[51:47] me013 | we will look at the transcripts later and if there 's something that you 're
[51:51] me013 | But you don't want to just totally excise it because
[51:54] me013 | um
"[51:56] me013 | uh , well you have to be careful about excising it , how how you excise it keeping the timing right and so forth so that at the moment"
[52:01] me013 | tho th the idea we 're running with is is h putting the beep over it .
"[52:06] me011 | Yeah , you can either beep or it can be silence . I I couldn't decide ."
[52:06] mn014 | OK .
"[52:08] mn005 | Ah , yeah ."
"[52:09] me011 | which was the right way to do it . Beep is good auditorily ,"
[52:13] mn014 | Yeah .
[52:15] mn014 | Yeah .
"[52:19] me018 | No , no . You can you know , you could make a m"
[52:19] fe008 | Hmm .
"[52:20] me018 | as long as you keep using the same beep ,"
[52:23] me011 | Yep .
[52:24] fe008 | I like that idea .
[52:25] fe016 | I think the beep is a really good idea .
[52:26] fe008 | It 's very clear . Then you don't think it 's a long pause .
[52:26] me018 | Yeah .
"[52:28] me018 | Yeah , it 's more obvious that there was something there than if there 's just silence ."
[52:32] fe008 | Yeah .
[52:32] mn014 | Yeah .
[52:34] mn005 | Yeah
[52:34] me011 | Yep .
[52:35] me018 | Yea - right .
[52:35] me018 | Right .
[52:38] mn014 | Yeah .
[52:39] mn005 | Yeah .
"[52:39] fe008 | Yeah , I agree ."
[52:39] me011 | Yep .
[52:39] mn014 | @ @
[52:40] mn005 | Yeah .
[52:40] me013 | Yeah .
[52:42] me011 | Of course .
[52:43] fe008 | Interesting . I like that .
"[52:44] me011 | Yeah you have to do it on all channels because it 's , uh audible ."
[52:44] me013 | Yeah .
"[52:44] fe008 | Yeah , I like that . Very clear ."
[52:47] fe008 | Very clear .
[52:51] me013 | Ke - keep a back door .
"[52:52] fe008 | Well , the other thing that you know , I mean the the alternative might be to s"
[52:52] me011 | Yeah .
"[52:54] me011 | Well , I I haven't thrown away any of the meetings that I beeped . Actually yours is the only one that I beeped and then , uh"
[53:05] fe008 | Yeah .
[53:06] fe008 | That 's great .
[53:09] fe008 | Yeah .
[53:10] me013 | OK .
"[53:11] me018 | They 're easy to find , then ."
"[53:12] me013 | Alright , so , uh I think we should , uh uh , go on to the digits ?"
[53:16] me011 | OK .
"[53:18] fe008 | which is that I think it 's nice that you 're preserving the time relations ,"
[53:24] me011 | Right .
[53:25] fe008 | the time duration of a de - deleted deleted part .
"[53:27] fe016 | Yeah , definitely ."
[53:27] me013 | Yeah .
"[53:28] fe008 | OK , good , digits ."
"[53:29] me011 | Yeah , since we wanna possibly synchronize these things as well ."
"[53:32] me011 | Oh , I should have done that . Shoot . Oh well ."
[53:33] fe008 | It 's great .
[53:34] me013 | Yeah .
[53:34] me013 | Oh -
"[53:35] fe016 | So I guess if there 's an overlap ,"
[53:40] me011 | You 'll lose it . There 's no way around that .
[53:42] me013 | Yeah .
"[53:48] me013 | please do send me , you know ,"
[53:50] me013 | uh
[53:50] me011 | Agenda ?
"[53:50] me013 | thoughts for an agenda , yeah that that would be"
[53:52] me018 | Mm - hmm .
[53:52] fe008 | Good .
[53:52] me013 | that 'd be good .
[53:53] me013 | Eh
"[53:54] me013 | So that , uh , people 's ideas don't get yeah , well"
[53:54] me011 | Thursday crept up on me this week .
"[53:57] me013 | it does creep up , doesn't it ?"
[53:59] me013 | OK .
"[53:59] fe016 | And , I wanted to say , I think this is really interesting"
"[54:01] me011 | It 's cool stuff , definitely ."
[54:01] fe008 | Thank you . Thank you .
"[54:04] me011 | I was gonna say "" can you do that for the other meetings , can you do it for them ? "" And , no actually , you can't ."
"[54:07] me018 | Actually actually I I thought that 's what you were giving us was another meeting and I was like , "" Oh , OK ! """
"[54:09] me011 | "" Ooo , cool ! """
"[54:11] fe016 | How long does it take , just briefly , like"
"[54:13] fe008 | I have the script now , so , I mean , it can work off the , uh"
"[54:16] me011 | As soon as we get labels , yep ."
[54:16] me018 | But it has to be hand - labeled first ?
"[54:18] fe008 | Uh , well , yeah . Because , uh well , I mean"
[54:22] me011 | If it works well enough .
[54:24] fe008 | then we can do it that way .
[54:24] me011 | Right now it 's not .
[54:25] fe016 | OK .
"[54:26] me013 | OK , go ahead"
[54:26] fe016 | It 's really neat .
[54:28] me011 | Not quite to the point where it works .
"[54:29] fe008 | I think what I what this has , uh , caused me so this discussion"
"[54:31] fe008 | caused me to wanna subdivide these further . I 'm gonna take a look at the , uh backchannels , how much we have"
[54:36] fe008 | anal I hope to have that for next time .
"[54:38] me011 | Yeah , my my algorithm worked great actually on these ,"
[54:38] me018 | That 'd be interesting .
"[54:43] me011 | uh , lapel"
[54:44] me018 | Mm - hmm .
"[54:48] fe016 | Well , I can wear it ,"
[54:49] me018 | Oh .
[54:49] me011 | It doesn't matter .
[54:51] fe016 | OK .
"[54:51] me011 | I mean , we want it to work , right ?"
[55:01] me011 | prescriptions on how you wear microphones .
[55:01] fe016 | OK .
"[55:03] me013 | OK , that 's let 's let 's let 's do digits ."
[55:05] fe008 | Let 's do it .
[55:06] me011 | OK .
[55:06] fe008 | OK .
[57:02] fe016 | I 'm sorry .
"[59:53] fe008 | Do you want us to put a mark on the bottom of these when they 've actually been read , or"
[59:58] fe008 | do you just
[00:02] fe008 | OK .
