[00:00] me001 | How about channel
"[22:21] fe016 | the segments that were all synchronized , whether there was some overlap somewhere ."
"[22:25] fe016 | And , you know , that pointed out some differences , so he thought well if we can"
"[22:29] fe016 | do something quick and dirty because Dan said the cross - cancellation , it 's not straight - forward . If it were straight - forward then we would try it , but so , it 's sort of"
"[22:38] fe016 | good to hear that it was not straight - forward , thinking if we can get decent forced alignments ,"
[22:44] fe016 | then at least we can do sort of a overall report of
[22:46] fe016 | what happens with actual overlap
"[22:49] fe016 | in time , but ,"
[22:51] me018 | I didn't think that his message said it wasn't straight - forward .
[22:55] me011 | Um - hmm .
[22:55] me018 | I thought he 's just saying you have to look over a longer time window when you do it .
[23:01] me013 | Yeah .
[23:07] me011 | Well . are you talking about the fact that the recording software doesn't do time - synchronous ? Is that what you 're referring to ?
[23:14] me013 | @ @
[23:16] mn017 | I don't thi
[23:17] mn017 | I d
"[23:18] fe016 | I yeah , that was sort of a side issue ."
[23:19] me011 | I didn't think so either .
[23:21] mn017 | you first have to have a pretty good speech detection on the individual channels .
"[23:25] fe016 | And it 's dynamic , so I guess it was more dynamic than some simple models"
"[23:30] fe016 | would be able t to so so there are some things available , and I don't know too much about this area where"
"[23:36] fe016 | if people aren't moving around much than you could apply them , and it should work pretty well if you took care of this recording time difference ."
"[23:43] me011 | Right , which should be pretty straight forward ."
"[23:44] fe016 | Which a at least is well defined , and"
[23:47] me011 | Yeah .
"[23:54] fe016 | I guess it just wasn't something that he could do quickly and not in time for us to be able to do something by two weeks from now , so . Well less than a week ."
"[24:03] fe016 | So um , so I don't know what we can do if anything , that 's sort of worth ,"
"[24:08] fe016 | you know , a Eurospeech paper at this point ."
"[24:10] me018 | Well , Andreas , how well did it work on the non - lapel stuff ?"
[24:14] mn017 | I haven't checked those yet . It 's very tedious to check these .
[24:17] me018 | Mmm .
"[24:17] mn017 | Um , we would really need , ideally , a transcriber"
"[24:23] mn017 | you know , the be at least the beginning and s ends of contiguous speech ."
"[24:27] mn017 | Um ,"
"[24:28] mn017 | and ,"
"[24:29] mn017 | you know , then with the time marks , you can do an automatic"
[24:34] mn017 | of your forced alignments .
[24:34] me018 | Because really the the at least in terms of how we were gonna use this in our system was
"[24:34] me011 | Oh , MNCM ."
[24:38] mn017 | Mm - hmm .
[24:49] fe016 | Right .
[24:49] me018 | Yeah .
[24:51] me018 | Yeah .
"[24:52] mn017 | you don't wanna ,"
[25:02] mn017 | Yeah .
"[25:03] mn017 | I ha just haven't had the time to , um ,"
[25:10] mn017 | so I would need a k I would need a channel that has
[25:17] mn017 | who has a lot of overlap but s
"[25:19] mn017 | you know , is a"
[25:21] mn017 | non - lapel mike .
"[25:22] mn017 | And , um ,"
"[25:25] mn017 | where preferably , also there 's someone sitting next to them"
[25:27] mn017 | who talks a lot .
[25:28] me011 | Hmm !
"[25:29] mn017 | So ,"
[25:30] me011 | @ @ So a meeting with me in it .
[25:31] mn017 | I maybe someone can help me find a good candidate and then I would
[25:35] mn017 | be willing to
[25:36] me018 | We c you know what ? Maybe the best way to find that would be to look through these .
"[25:37] mn017 | you know , hand"
"[25:40] me018 | Cuz you can see the seat numbers , and then you can see what type of mike they were using ."
"[25:44] me018 | And so we just look for , you know , somebody sitting next to Adam"
"[25:48] fe016 | Actually y we can tell from the data that we have , um , yeah , there 's a way to tell . It might not be a single person who 's always overlapping that person but any number of people , and ,"
"[25:50] mn017 | From the insertions , maybe ?"
[25:52] mn017 | fr
[25:58] mn017 | Right .
"[26:01] fe016 | um , if you align the two"
"[26:03] fe016 | hypothesis files across the channels , you know , just word alignment , you 'd be able to find that ."
[26:21] fe016 | somehow align Thilo 's energy segmentations with
[26:25] fe016 | what we have . But then you have the problem of not knowing where the words are because these meetings were done before that segmentation . But maybe there 's something that could be done .
"[26:33] me018 | What what is why do you need the , um ,"
[26:36] me018 | the forced alignment for the HLT I mean for the Eurospeech paper ?
"[26:40] fe016 | Well ,"
[26:42] fe016 | I guess I I wanted to just do something not on
"[26:47] fe016 | recognition experiments because that 's ju way too early , but to be able to report ,"
"[26:52] fe016 | you know , actual numbers . Like if we if we had"
"[26:55] fe016 | hand - transcribed pe good alignments or hand - checked alignments , then we could do this paper . It 's not that we need it to be automatic ."
[27:05] me018 | So it was to get it was to get more data and better to to squeeze the boundaries in .
"[27:10] me018 | Ah , OK . Yeah ."
"[27:13] fe016 | a a segment correlated with an overlap , and I guess that 's the difference to me between like a real paper and a sort of , promissory paper ."
"[27:22] fe016 | So ,"
"[27:23] fe016 | um , if we d"
[27:25] fe016 | it might be possible to take Thilo 's output
"[27:28] fe016 | and like if you have , um ,"
"[27:31] fe016 | like right now these meetings are all ,"
[27:34] me011 | I forgot the digital camera again . Every meeting !
"[27:35] fe016 | um ,"
"[27:37] fe016 | you know , they 're time - aligned , so if these are two different channels"
"[27:40] fe016 | and somebody 's talking here and somebody else is talking here , just that word ,"
[27:44] me011 | Mm - hmm .
"[27:45] fe016 | if Thilo can tell us that there 're boundaries here , we should be able to figure that out because the only thing transcribed in this channel is this word ."
[27:57] me011 | Two words .
"[28:07] fe016 | Well it w it would , but , um , we don't know exactly where the words are because the transcriber gave us two words in this time bin and we don't really know ,"
[28:08] me011 | Thilo 's will . But .
"[28:18] fe008 | Well it 's a merging problem . If you had a if you had a s if you had a script which would I 've thought about this , um , and I 've discussed I 've discussed it with Thilo ,"
"[28:26] fe008 | um , the ,"
"[28:27] fe008 | I mean , I I in principle I could imagine writing a script which would approximate it to some degree , but there is this problem of slippage , yeah ."
[28:35] me011 | Maybe that will get enough of the cases to be useful .
"[28:37] fe016 | Right . I mean , that that would be really helpful . That was sort of another possibility ."
[28:40] me011 | You know s cuz it seemed like most of the cases are in fact the single word
"[28:44] me011 | sorts , or at least a single phrase"
[28:47] mn017 | Mmm .
"[28:47] fe008 | Well they they can be stretched . I wouldn't make that generalization cuz sometimes people will say , "" And then I "" and there 's a long pause"
[28:47] me011 | in most of the bins .
[28:49] fe016 | Yeah .
[28:53] fe008 | and finish the sentence and and sometimes it looks coherent and and the I mean it 's it 's not a simple problem .
"[29:00] fe008 | But it 's really And then it 's coupled with the problem that sometimes , you know , with with a fricative you might get the beginning of the word cut off and so it 's coupled with the problem that Thilo 's isn't"
[29:11] me011 | Right .
[29:14] me011 | Hmm !
"[29:17] fe008 | y i i if the speech - nonspeech were perfect to begin with , the detector , that would already be an improvement , but that 's impossible , you know , i that 's too much to ask ."
[29:22] fe016 | Right .
[29:23] me011 | Yes .
"[29:36] fe008 | in terms of not him doing it , but we we discussed some of the parameters of that and how hard it would be to in principle to write something that would do that ."
"[29:45] fe016 | I mean , I guess in the future it won't be as much as an issue if"
"[29:48] fe016 | transcribers are using the tightened boundaries to start with , then we have a"
[29:52] fe016 | good idea of where the forced alignment is constrained to . So I 'm no I don't know if this
"[29:55] fe008 | Well , it 's just , you know , a matter of we had the revolution we had the revolution of improved , uh , interface , um , one month too late , but it 's like ,"
[30:00] me011 | Tools .
[30:03] fe016 | Oh it 's it 's a yeah .
"[30:04] fe008 | you know , it 's wonderful to have the revolution , so it 's just a matter of of , you know , from now on we 'll be able to have things channelized to begin with ."
[30:11] me011 | Right . And we 'll just have to see how hard that is .
"[30:13] fe008 | Yeah , that 's right . That 's right ."
"[30:14] me011 | So so whether the corrections take too much time . I was just thinking about the fact that if Thilo 's missed these short segments ,"
[30:18] fe016 | Yeah .
[30:21] me011 | that might be quite time - consuming for them to insert them .
[30:23] fe008 | Good point .
[30:24] fe016 | But he he also can adjust this minimum time duration constraint and then what you get is
[30:24] fe008 | Yeah .
[30:29] me011 | Spurious .
"[30:29] fe016 | noises mostly , but that might be OK , an"
"[30:32] me011 | It might be easier to delete something that 's wrong than to insert something that 's missing . What do you think , Jane ?"
[30:34] fe016 | Right . And you can also see in the waveform exac yeah .
"[30:37] me013 | If you can feel confident that what the yeah , that there 's actually something that you 're not gonna miss something , yeah ."
[30:41] fe016 | Yeah .
"[30:41] me011 | Yeah . Cuz then then you just delete it , and you don't have to pick a time ."
"[30:45] fe008 | Well the problem is I you know I I it 's a it 's a really good question , and I really find it a pain in the neck to delete things because you have to get the mouse up there"
"[30:52] fe008 | on the t on the text line and i and otherwise you just use an arrow to get down I mean , i it depends on how lar @ @ th there 's so many"
[30:59] fe008 | extra things that would make it
"[31:02] fe008 | one of them harder than the other , or or vice versa . It 's not a simple question . But , you know , I mean , in principle , like , you know , if one of them is easier then to bias it towards whichever one 's easier ."
"[31:10] me011 | Yeah , I guess the semantics aren't clear when you delete a segment , right ? Because you would say You would have to determine what the surroundings were ."
[31:21] me011 | If it 's really a noise .
"[31:27] fe008 | I think it 's easier to add than delete , frankly , because you have to , uh , maneuver around on the on both windows then ."
"[31:28] fe016 | Yeah , or"
[31:35] me011 | To add or to delete ?
[31:36] fe008 | To delete .
[31:38] me011 | OK .
"[31:40] me011 | That Maybe that 's an interface issue that might be addressable . But I think it 's the semantics that are that are questionable to me , that you delete something So let 's say someone is talking to here ,"
[31:44] fe008 | It 's possible .
[31:51] me011 | and then you have a little segment here .
"[31:53] me011 | Well , is that part of the speech ? Is it part of the nonspeech ?"
"[31:57] me011 | I mean , w what do you embed it in ?"
"[32:00] fe016 | There 's something nice , though , about keeping ,"
"[32:02] fe016 | and this is probably another discussion , keeping the stuff that Thilo 's detector detected as possible speech and just marking it as not speech than"
"[32:11] me011 | Oh , I see . So then they could just like put Oh that 's what you meant by just put an "" X "" there ."
"[32:16] me011 | Uh , that 's an interesting idea ."
"[32:19] me011 | So so all they So that all they would have to do is put like an "" X "" there ."
"[32:22] fe016 | Yeah , or some , you know , dummy reject mod"
"[32:25] me011 | blank for silence , "" S "" for speech , "" X "" for"
[32:28] me011 | something else .
"[32:40] fe008 | uh , you know , on the same channel , the same speaker , so now sometimes you get a ni microphone pop and ,"
"[32:46] fe008 | uh , I mean , there 're these fuzzy hybrid cases ,"
[32:50] fe008 | and then the problem with the boundaries that have to be shifted around .
[32:53] fe008 | It 's not a simple not a simple problem .
"[32:57] fe016 | Anyway , quick question , though , at a high level do people think ,"
"[33:00] fe016 | let 's just say that we 're moving to this new era of like using the , um , pre - segmented t you know , non - synchronous"
"[33:08] fe016 | conversations , does it make sense to try to take what we have now , which are the ones that , you know , we have recognition on which are synchronous and not time - tightened , and try to"
"[33:19] fe016 | get something out of those for sort of purposes of illustrating the structure and the nature of the meetings , or is it better to just ,"
[33:33] fe016 | Right . That was everybody 's hope .
"[33:35] fe016 | And maybe we can for the non - lapel , but is it worth if we can't then we can fake it even if we 're we report , you know , we 're wrong twenty percent of the time or ten percent of the time ."
"[33:48] fe016 | Uh uh , that 's a good question actually ."
"[33:51] fe016 | Actually that 's a good question because we 'd have to completely redo those meetings , and we have like ten of them now ."
"[33:57] me011 | We wouldn't have to re - do them , we would just have to edit them ."
"[34:01] fe008 | Well , and also , I mean , I still haven't I still haven't given up on forced alignment . I think that when Brian comes , this 'll be uh an interesting aspect to ask him as well b"
[34:09] fe008 | when Brian Kingsbury comes .
"[34:12] fe008 | Yeah , good question . Well , Ryan could come ."
[34:21] me011 | Yep .
[34:22] fe016 | we need to get a decent f OK .
"[34:24] fe008 | That 's what my hope has been , and that 's what that 's what you know , ever since the the February meeting that I transcribed from last year ,"
"[34:32] me011 | On the table , right ?"
[34:39] mn017 | Yeah .
"[34:40] fe016 | I mean , we might be able , at the very worst , we can get transcribers to correct the cases where I mean , you sort of have a good estimate where these places are because the recognition 's so poor ."
"[34:50] me018 | Yeah , we were never just gonna go with these as the final alignments . We were always gonna run them past somebody ."
[34:53] fe008 | I agree . I agree .
[34:54] fe016 | Yeah .
[34:55] fe016 | So we need some way to push these first chunk of meetings into a state where we get good alignments .
[34:56] fe008 | Absolutely .
[35:02] mn017 | I 'm probably going to spend another day or so trying to
"[35:05] mn017 | improve things by , um ,"
"[35:08] mn017 | by using ,"
"[35:09] mn017 | um ,"
[35:11] mn017 | acoustic adaptation .
"[35:12] mn017 | Um ,"
[35:13] mn017 | Right now I 'm using
[35:15] mn017 | the unadapted
[35:17] mn017 | models for the
"[35:18] mn017 | forced alignments ,"
[35:19] mn017 | and it 's
[35:20] mn017 | possible that you get
"[35:21] mn017 | considerably better results if you , uh , manage to"
"[35:25] mn017 | adapt the ,"
"[35:27] mn017 | uh ,"
[35:31] mn017 | to to all the other speech .
"[35:33] mn017 | Um ,"
[35:34] mn017 | so
[35:34] me018 | Could you could you at the same time
[35:36] me018 | adapt the reject model to
[35:38] me018 | the speech from all the other channels ?
[35:40] me013 | That 's what he just said .
[35:40] me011 | That 's what he was saying .
[35:40] mn017 | That 's what I just said .
[35:41] fe016 | Yeah .
"[35:42] me018 | Oh , not just the speech from that of the other people from that channel ,"
[35:46] mn017 | Right .
[35:46] fe016 | Right .
[35:46] me018 | but the speech from the a actual other channels .
"[35:48] mn017 | Oh , oh , I see . Um ,"
"[35:50] me011 | I don't think so . I don't think that would work , right ? Because you 'd A lot of it 's dominated by channel properties ."
[35:50] me013 | Oh .
[35:52] mn017 | th
[35:54] mn017 | Exactly .
[35:56] mn017 | So you want to u
"[36:08] fe016 | if you use everything , then you get all the cross - talk in the adaptation , and it 's just sort of blurred . And that we know , I mean , we have that . And it 's about"
[36:09] mn017 | That 's a good point .
[36:11] mn017 | Yep .
[36:14] mn017 | Yeah .
"[36:15] fe016 | roughly two - thirds , I mean , very roughly averaged . That 's not completely negligible . Like a third of it is bad for adaptation or so ."
[36:20] mn017 | Mm - hmm .
"[36:22] me011 | Cool . I thought it was higher than that , that 's pr"
[36:37] me011 | Right .
[36:41] fe016 | Yeah .
[36:48] fe008 | Excellent .
[36:49] mn017 | Some good jokes in it ?
"[36:51] me011 | Especially the batteried meter popping up , that was hilarious . Right when you were talking about that ."
[36:58] me011 | It 's full . Yeah .
[37:01] me011 | But that was funny .
[37:03] me013 | Yeah .
[37:03] me011 | He he he was onto the bullet points about talking about
"[37:06] me011 | the you know the little hand - held , and trying to get lower power and so on , and Microsoft pops up a little window saying "" Your batteries are now fully charged . """
"[37:17] me011 | I 'm thinking about scripting that for my talk , you know , put put a little script in there to say "" Your batteries are low "" right when I 'm saying that ."
[37:23] me013 | Yeah .
"[37:24] me013 | Yeah . No I mean , i in in your case , I mean , you were joking about it , but , I mean , your case"
"[37:37] me011 | Are too close , yeah ."
"[37:38] me013 | pretty pretty similar , so I I I can't see really"
[37:50] me013 | Yeah .
"[37:51] me011 | Yeah , for Eurospeech we want some results if we can get them ."
"[37:56] me013 | Or some or some I mean ,"
"[37:58] me013 | I would see Eurospeech if we have some Eurospeech papers , these will be paper p p uh , submissions . These will be things that are particular things ,"
"[38:06] me013 | aspects of it that we 're looking at , rather than , you know , attempt at a global paper about it ."
"[38:07] me011 | Detail , yeah . Overall ."
"[38:07] fe016 | Right , right ."
[38:21] fe016 | Oh .
[38:21] fe008 | very accurate . I men I mentioned the link . I sent You know that one ?
[38:24] me001 | The which one ? I 'm sorry .
"[38:26] fe008 | Um , I 'm trying to remember I don't remember the number off hand . It 's one of the NSA 's . I sent email before the conference , before last week ."
"[38:31] me001 | Oh , OK ."
[38:32] fe016 | That might might have been the one one of the ones that we did .
"[38:33] fe008 | Bef - What I mean is Wednesday , Thursday ."
[38:34] me001 | Mm - hmm .
[38:38] me001 | OK .
[38:39] fe016 | So that might actually be useful but they 're all non - native speakers .
"[38:41] me011 | Yeah . Yeah , that 's what I was gonna say . The problem with those , they 're all German . So ."
"[38:42] me001 | Yeah , that 's the problem with the NSA speakers ."
"[38:43] mn017 | oh ,"
"[38:44] fe016 | And e and e and extremely hard to follow , like word - wise , I bet the transcri I mean , I have no idea what they 're talking about , so , um ,"
[38:44] mn017 | Darn !
[38:47] me001 | Yeah .
"[38:50] fe008 | I corrected it for a number of the words . I 'm sure that , um , they 're they 're accurate now ."
[38:54] mn017 | to go .
[38:55] me001 | Right .
[38:56] fe016 | but but that might be useful just for
[38:57] me013 | Well .
[38:59] fe016 | speech .
[39:05] me013 | Yeah .
[39:16] me011 | See ya .
[39:16] me013 | See ya .
[39:18] me013 | I don't think we 'll go much longer .
"[39:21] me011 | I guess it 's alright for you to talk a little without the mike I noticed you adjusting the mike a lot , did it not fit you well ?"
[39:30] me011 | Oh .
"[39:35] fe008 | Well I won I noticed when you turned your head , it would it would tilt ."
"[39:39] fe016 | Maybe the yeah , the s thing that you have tightened @ @ , oh ."
"[39:41] me018 | Actually if if you have a larger head , that mike 's gotta go farther away which means the the balance is gonna make it wanna tip down ."
[39:54] me011 | OK .
[39:56] me011 | Anyway .
"[39:57] me013 | Yeah . OK , see ya ."
"[39:57] me011 | Cuz , I 'm just thinking , you know , we were we 're we 've been talking about changing the mikes ,"
[39:58] me001 | @ @
[40:01] fe008 | Yeah .
"[40:05] me011 | acoustically they seem really good , but if they 're not comfortable , we have the same problems we have with these stupid things ."
"[40:09] fe008 | I think it 's com This is the first time I 've worn this , I find it very comfortable ."
"[40:18] me013 | Well , but I had it on I had it on this morning and it was fine ."
[40:18] me018 | Can I see that ?
"[40:20] me011 | Oh , oh you did wear it this morning ? OK , it 's off , so you can put it on ."
[40:22] me013 | Yeah .
"[40:25] me018 | I just want to , um ,"
[40:27] me018 | say what I think is a problem with this .
[40:29] me018 | If you are wearing this
[40:31] me018 | over your ears
"[40:35] me018 | then the balance is gonna want to pull it this way . Where as if somebody with a smaller head has it back here ,"
[40:36] fe016 | Yeah .
[40:37] me011 | Right .
[40:41] me011 | It 's more balanced .
"[40:51] me011 | if it 's right against your head there , which is what it 's supposed to be , that balances it"
[40:51] fe008 | Ah .
"[40:55] me011 | so it doesn't slide up . Yep , right right below if you feel the back of your head , you feel a little lump ,"
[40:56] me018 | So this is supposed to be
[40:58] me018 | under that little protuberance .
"[41:01] me011 | um , and so it 's supposed to be right under that ."
[41:01] me018 | Yeah .
"[41:03] me018 | So it 's really supposed to go more like this than like this . But then isn't that going to Well , I guess you can control that ."
"[41:05] me011 | Yes , exactly ."
"[41:08] me011 | That that that tilts , right ?"
"[41:12] fe016 | So I 'm not saying anything about bias towards small headsize , but"
[41:14] me011 | About heads ?
"[41:18] fe008 | Well , wonder if it 's if if he was wearing it over his hair instead of under his hair ."
[41:25] me011 | Yeah . It probably just wasn't tight enough to the back of his head .
[41:30] me018 | The other thing that would do it would be to hang a five pound weight off the back .
[41:32] me013 | Yeah that 's good !
[41:33] fe016 | Right .
[41:35] fe008 | What did you say ?
[41:35] me011 | wh
"[41:35] fe016 | A little , um ,"
[41:36] me013 | Hang a five pound weight off the off the back . Weight .
[41:37] me018 | Hang a five pound weight off the back .
"[41:38] me011 | We at Boeing I used I was doing augmented reality so they had head - mounts on , and we we had a little jury - rigged one with a welder 's helmet , and we had just a bag"
[41:44] me018 | Counter - balance .
[41:47] me011 | with a bunch of marbles in it as a counter - balance .
[41:59] me011 | Anyway .
"[42:01] me013 | um ,"
"[42:02] me013 | so , uh , what was I gonna say ? Oh , yeah , I was gonna say , uh , I had these , uh , conversations with NIST folks also while I was there and and , uh ,"
[42:09] me011 | Yep .
"[42:12] me013 | um , so"
"[42:14] me013 | they they have their their plan for a room , uh , with , um ,"
"[42:19] me013 | mikes in the middle of the table , and , uh , close - mounted mikes , and they 're talking about close - mounted and lapels ,"
"[42:28] fe016 | And arrays , which is the i interesting and video , right ."
"[42:29] me011 | And arrays , yep . And cameras ."
"[42:31] me013 | And yeah , like multiple multiple video cameras coverin covering every everybody every place in the room ,"
"[42:37] me013 | uh , the yeah the the mikes in the middle , the head - mounted mikes , the lapel mikes , the array , uh , with well , there 's some discussion of fifty - nine , they might go down to fifty - seven"
[42:45] me011 | Fifty - nine elements .
"[42:49] me013 | Because , uh ,"
"[42:52] me013 | there is , uh , some pressure from a couple people at the meeting for them to use a KEMAR head ."
[42:57] fe016 | Mm - hmm .
"[43:01] me011 | Oh , that 's right . Yep ."
[43:02] fe016 | Right . That 's a great idea .
"[43:02] me013 | and and , so what they 're actually doing is they 're really there 's really two recording systems . So they may not be precisely synchronous , but the"
"[43:11] me013 | but there 's two two recording systems , one with , I think , twenty - four channels , and one with sixty - four channels . And the sixty - four channel one is for the array ,"
"[43:18] me013 | but they 've got some empty channels there , and anyway they like they 're saying they may"
[43:23] me013 | give up a couple or something if for for the KEMAR head if they go go with that .
[43:23] me011 | Right .
"[43:27] me011 | Yeah , it is a good idea ."
"[43:28] me011 | Yeah , h uh , J Jonathan Fiscus did say that ,"
[43:29] me013 | So .
"[43:32] me011 | uh , they have lots of software for doing calibration for skew and offset between channels and that they 've found that 's just not a big deal ."
[43:37] fe016 | Mm - hmm
[43:40] me013 | Yeah .
[43:41] me011 | So .
[43:45] fe016 | But they 're still
"[43:46] fe016 | planning to do like fake they have to do something like that , right ."
[43:48] me011 | Scenario - based .
[43:51] me011 | Y right . Their their
[43:52] me011 | legal issues won't allow them to do otherwise .
[43:55] me013 | Yeah .
"[43:56] me011 | But it sounded like they were pretty well thought out and they 're they 're gonna be real meetings , it 's just that they 're with str with people who would not be meeting otherwise . So ."
"[43:58] fe016 | Yeah , th that 's true ."
[44:00] fe008 | Mm - hmm .
[44:03] fe016 | Mm - hmm .
[44:04] me018 | Did did they give a talk on this or was this informal ?
[44:06] me011 | No . It 's just informal .
[44:06] fe016 | No .
"[44:06] me013 | No , we just had some discussions , various discussions"
[44:08] fe008 | Mm - hmm . Mm - hmm . Yeah .
"[44:10] me011 | Yeah , I also sat and chatted with several of the NIST folks . They seemed like a good group ."
[44:10] me013 | with them .
"[44:16] me018 | the paper by , um , Lori Lamel that you mentioned ?"
"[44:19] me013 | Um ,"
"[44:20] fe008 | Mmm , yeah ."
"[44:21] me013 | yeah , we sh we should just have you have you read it , but , I mea ba i i uh , we 've all got these little proceedings , but , um ,"
"[44:28] me013 | basically ,"
"[44:30] me013 | it was about , um ,"
"[44:33] me013 | uh , going to a new task where you have insufficient data and using using data from something else , and adapting , and how well that works ."
"[44:40] me013 | Uh , so in in fact it was pretty related to what Liz and Andreas did , uh , except that this was not with meeting stuff , it was with"
[44:44] me011 | Right .
[44:50] me011 | The - their Broadcast News was their acoustic models and then all the other tasks were much simpler .
[44:55] me013 | Yeah .
[44:56] me011 | So they were command and control
[44:58] me011 | and that sort of thing .
"[44:59] me013 | TI - digits was one of them ,"
[45:00] me011 | Yep .
"[45:00] me013 | and , uh ,"
[45:03] me013 | Wall Street Journal .
[45:03] me018 | What was their
"[45:04] me011 | Yeah , read Wall Street Journal ."
[45:04] me018 | rough what was their conclusion ?
[45:06] me011 | It works .
[45:07] me013 | Yeah .
[45:10] me011 | Yeah .
"[45:10] me013 | Yeah , yeah ."
"[45:11] me011 | Yeah , that was one of the ones that I liked . That It not only works , in some cases it was better , which I thought was pretty interesting , but that 's cuz they didn't control for parameters ."
[45:19] me011 | So .
"[45:20] me011 | You know , the Broadcast News nets were not nets , acoustic models were a lot more complex ."
[45:20] me013 | Probably .
[45:21] fe016 | Right .
[45:27] me011 | n
[45:28] me011 | Not in that paper .
[45:30] me013 | That might be hard .
"[45:33] me011 | Yeah , well ,"
"[45:34] me011 | one of the big problems with that is is often the simpler task isn't fully doesn't have all the phones in it , and that that makes it very hard ."
[45:39] me013 | Yeah .
[45:42] me013 | Yeah .
"[45:42] me011 | But I 've done the same thing . I 've been using Broadcast News nets for digits ,"
[45:45] me013 | Yeah .
[45:45] me011 | like for the spr speech proxy thing that I did ? That 's what I did .
"[45:48] me013 | Yeah , sure ."
[45:49] me011 | So . It works .
[45:51] me013 | Yeah .
[45:57] me011 | Yep .
"[45:59] me013 | um ,"
[46:00] me011 | You mean they have some .
"[46:02] me013 | yeah , we should probably what would actually what we should do , uh , I haven't said anything about this , but probably the five of us should"
[46:10] me013 | pick out a paper or two
"[46:12] me013 | that that , uh , you know , got our interest , and we should"
[46:17] me011 | Present .
"[46:17] me013 | go around the room at one of the Tuesday lunch meetings and say , you know , what what was good about the conference , yeah ."
[46:19] me011 | Yep .
"[46:24] fe016 | Well , the summarization stuff was interesting , I mean , I don't know anything about that field , but for this proposal"
"[46:30] fe016 | on meeting summarization ,"
"[46:32] fe016 | um , I mean , it 's sort of a far cry because they weren't working with meeting type data , but"
[46:36] me011 | Right .
"[46:37] fe016 | he got sort of an overview on some of the different approaches ,"
[46:40] me018 | Do you remember who the groups were that we 're doing ?
[46:40] fe016 | so .
"[46:41] fe016 | Well there 're this was the last day , but , I mean , there 's that 's a huge field and probably the groups there may not be representative of the field , I I don't know exactly"
[46:42] me011 | A lot of different ones .
[46:43] fe008 | R I think Mm - hmm .
"[46:52] fe016 | that everyone submits to this particular conference , but"
[46:53] me018 | Was were there folks from BBN presenting ?
"[46:55] fe016 | yet there was , let 's see ,"
"[46:57] fe016 | this was on the last day , Mitre , BBN ,"
"[46:57] me011 | Mitre , BBN , IBM ."
[47:02] fe008 | Maryland .
"[47:04] fe016 | um ,"
[47:05] fe016 | I wo it was no it was this was Wednesday morning .
[47:05] me013 | Columbia have anything ? No .
[47:07] me011 | Who who who did the order one ?
"[47:09] fe016 | The sentence ordering one ,"
"[47:11] fe016 | was that Barselou , and these guys ?"
[47:13] me011 | Ugh ! I 'm just so bad at that .
[47:13] fe008 | Oh .
"[47:13] fe016 | Anyway , I I it 's in the program , I should have read it to remind myself , but that 's sort of useful and I think"
[47:21] fe016 | like when Mari and Katrin and Jeff are here it 'd be good to figure out some kinds of
"[47:30] me011 | Yeah , we do have word transcripts . So ."
[47:30] me013 | Mm - hmm .
"[47:30] fe016 | you know , yeah ."
"[47:32] fe008 | Well , I like the idea that Adam had of of , um , z maybe"
"[47:36] fe008 | generating minutes based on some of these things that we have because it would be easy to to to do that just ,"
[47:42] fe016 | Right .
"[47:42] fe008 | you know , and and it has to be , though , someone from this group because of the technical nature of the thing ."
"[47:47] me011 | Someone who actually does take notes , um , I 'm very bad at note - taking ."
[47:52] me011 | I always write down the wrong things .
[47:59] me011 | A judge .
[48:02] me011 | Yep .
[48:02] me018 | Was SRA one of the groups
"[48:04] me018 | talking about summarization , no ?"
[48:05] fe016 | No .
[48:06] fe008 | It was an interesting session . One of those w
"[48:08] me011 | And as I said , I like the Microsoft talk on scaling issues in , uh , word sense disambiguation , that was interesting ."
[48:08] fe016 | Yeah .
"[48:16] me013 | Yeah , that was an interesting discussion , uh ,"
[48:21] me011 | It was the only one that had any sort of real disagreement about . So .
"[48:26] me013 | Well , I didn't have as much disagreement as I would have liked , but I didn't wanna I wouldn I didn't wanna get into it because , uh , you know , it was"
[48:33] me011 | Yep .
"[48:44] me013 | But I mea i wh it @ @ that 's that 's dissing it , uh , improperly , I mean , it was a nice study . Uh , they were doing this it wasn't word - sense disambiguation , it was was it w was it word - sense ? Yes ."
"[48:51] me011 | Well , it sort of was ."
"[48:56] me013 | Yeah , yeah . OK ."
[49:00] me013 | Right .
[49:00] me011 | Yeah .
"[49:01] me013 | And so , what they did was they had these different kinds of learning machines ,"
"[49:05] me013 | and they had different amounts of data , and so they did like , you know , eight different methods that everybody , you know , uh , argues about about , "" Oh my my kind of learning machine is better than your kind of learning machine . """
"[49:14] me013 | And , uh , they were started off with a million words that they used , which was evidently a number that a lot of people doing that particular kind of task had been using ."
"[49:21] me013 | So they went up , being Microsoft , they went up to a billion ."
"[49:37] me011 | Well , I think"
"[49:38] me011 | the reason they can do that , is that they assumed that text that they get off the web , like from Wall Street Journal , is correct , and edit it ."
[49:45] me011 | So that 's what they used as training data . It 's just saying if it 's in this corpus it 's correct .
[49:45] me013 | Yeah .
"[49:48] me013 | OK . But , I mean , yes . Of course there was the kind of effect that , you know , one would expect that uh that you got better and better performance with more and more data ."
"[49:57] me013 | Um , but the the real point was that"
"[50:00] me013 | the the different learning machines are sort of all over the place , and and by by going up significantly in data you can have much bigger effect"
