[00:00] me026 | Channel one .
[34:44] me018 | just to do MFCC with the neural net and everything else the same . Compare that with just M - MFCC without the the net .
[34:45] fn002 | Without the Yeah .
[34:51] mn007 | Yeah .
[34:51] fn002 | Mm - hmm .
[34:54] me006 | I think I think Dan did some of that .
[34:56] me018 | Oh .
"[34:57] me006 | Um , in his previous Aurora experiments . And with the net it 's it 's wonderful . Without the net it 's just baseline ."
"[35:05] me013 | Um , I think OGI folks have been doing that , too . D Because I think that for a bunch of their experiments they used , uh , mel cepstra , actually ."
[35:08] me006 | Yeah .
[35:12] me006 | Yeah .
"[35:14] me013 | Um ,"
[35:15] me013 | of course that 's there and this is here and so on . OK ?
[35:18] me006 | OK .
"[35:19] me006 | Um , for the training corpus corpus , um , we have ,"
"[35:24] me006 | um , the the d digits"
[35:28] me006 | from the various languages .
[35:45] mn007 | And the Finnish .
[35:48] me006 | Finnish .
"[35:51] fn002 | And Italian . Uh , no , Italian no . Italian no . I Italian yes . Italian ?"
[35:51] me018 | Where did th where did that come from ? Digits ? Oh .
[35:54] me006 | Oh .
[35:56] me006 | Italian .
[35:58] me013 | Italian .
"[35:59] me018 | Is that Was that distributed with Aurora , or ? Where did that ?"
[36:02] me006 | One L or two L 's ?
[36:02] me013 | The newer one . Yeah .
"[36:03] mn007 | So English , uh , Finnish and Italian are Aurora ."
[36:08] mn007 | And Spanish and French is something that we can use in addition to Aurora .
"[36:13] mn007 | Uh , well ."
"[36:20] me013 | Yeah , so Carmen brought the Spanish , and Stephane brought the French ."
[36:29] me006 | OK .
[36:45] me034 | Or Swiss . Swiss - German .
"[36:48] me013 | Yeah . Yeah , probably so . Yeah ."
"[36:49] me013 | Yeah , Herve always insists that Belgian is i is absolutely pure French , has nothing to do with but he says those those those Parisians talk funny ."
"[37:00] me013 | Yeah they they do , yeah ."
"[37:03] me013 | But then he likes Belgian fries too , so . OK ."
"[37:09] me006 | And then we have , uh ,"
"[37:11] me006 | um ,"
"[37:14] me006 | broader corpus ,"
"[37:22] me006 | TIMIT so far , right ?"
[37:22] fn002 | And Spanish too .
"[37:24] me006 | Oh , Spanish stories ?"
[37:27] fn002 | Albayzin is the name .
[37:28] me018 | What about TI - digits ?
"[37:31] me006 | Um , TI - digits uh all these Aurora f d data p"
[37:35] me018 | Uh - huh .
[37:35] me006 | data is from is derived from TI - digits .
[37:37] me018 | Oh . Oh OK .
"[37:39] me006 | Um , basically , they they corrupted it with , uh , different kinds of noises at different SNR levels ."
[37:43] me018 | Ah .
[37:45] me018 | I see .
[37:46] me006 | Yeah .
[37:49] me013 | y And I think Stephane was saying there 's there 's some broader s material in the French also ?
"[37:52] mn007 | Yeah , we cou we could use Yeah ."
[37:58] fn002 | Spanish stories ? No .
[38:00] me006 | No . Sp - Not Spanish stories ?
[38:01] fn002 | No .
[38:02] fn002 | No .
[38:03] me006 | Spanish something . OK .
[38:03] fn002 | Albayz -
[38:04] fn002 | Yeah .
"[38:07] me034 | Did the Aurora people actually corrupt it themselves , or just specify the signal and the signal - t 0 - noise ratio ?"
"[38:13] me006 | They they corrupted it , um , themselves , but they also included the the noise files for us , right ?"
[38:15] me034 | OK .
[38:21] me006 | Or so we can go ahead and corrupt other things .
[38:21] mn007 | Yeah .
[38:29] fn002 | No no no no . No no no no . Spanish from Spain .
"[38:30] me013 | Oh , no , no . It 's it 's Spanish from Spain , Spanish . Yeah , OK ."
[38:36] me013 | Alright .
[38:43] me013 | And the French from France .
[38:43] me006 | OK .
"[38:43] mn007 | Yeah , the No , the French is f yeah , from , uh , Paris , also ."
[38:46] mn007 | OK .
"[38:47] me006 | Oh , from Paris , OK ."
[38:52] me013 | Yeah .
[38:54] me006 | And TIMIT 's from lots of different places . Yeah . Yeah .
[39:01] me013 | So - s so it 's not really from the US either . Is that ? OK .
"[39:06] me006 | OK . And , um , with within the training corporas um , we 're , uh , thinking about , um , training with noise ."
"[39:15] me006 | So , incorporating the same kinds of noises that , um , Aurora is in incorporating in their , um in their training corpus ."
"[39:24] me006 | Um , I don't think we we 're given the , uh the unseen noise conditions , though , right ?"
"[39:30] me013 | I think what they were saying was that , um , for this next test there 's gonna be some of the cases where they have the same type of noise as you were given before hand and some cases where you 're not ."
[39:41] me006 | Mm - hmm .
[39:43] mn007 | Mm - hmm .
[39:43] me006 | OK .
"[39:44] me013 | So , presumably , that 'll be part of the topic of analysis of the the test results , is how well you do when it 's matching noise and how well you do where it 's not ."
[39:52] me006 | Right .
[39:52] me013 | I think that 's right .
"[39:54] me006 | So , I guess we can't train on on the the unseen noise conditions ."
[39:59] me006 | Right . If Not if it 's unseen . Yeah .
[40:04] me013 | OK .
"[40:06] me013 | I mean , i i i i it does seem to me that a lot of times when you train with something that 's at least a little bit noisy it can it can help you out in other kinds of noise even if it 's not matching just because"
[40:16] me013 | there 's some more variance that you 've built into things .
"[40:19] me013 | But , but , uh , uh , exactly how well it will work will"
[40:19] mn007 | Mm - hmm .
[40:24] me013 | depend on how near it is to what you had ahead of time . So .
[40:27] mn007 | Mm - hmm .
"[40:32] me006 | Um , the testing corporas are , um , just , um , the same ones as Aurora testing ."
"[40:40] me006 | And , that includes , um , the English"
[40:49] fn002 | Finnish .
"[40:50] me006 | Spa - um , Italian ."
[40:55] me006 | Finnish .
"[41:00] me006 | Uh , we ' r we 're gonna get German , right ?"
"[41:04] me013 | Well , so , yeah , the final test , on a guess , is supposed to be German and Danish , right ?"
[41:05] me006 | At the final test will have German .
"[41:05] mn007 | Uh , yeah ."
[41:08] me006 | Right .
"[41:09] mn007 | The s yeah , the Spanish , perhaps ,"
"[41:11] me006 | Spanish . Oh yeah , we can we can test on s Spanish ."
[41:11] mn007 | we will have . Yeah .
"[41:14] mn007 | But the the Aurora Spanish , I mean ."
[41:16] me006 | Oh yeah . Mm - hmm .
"[41:18] me013 | Oh , there 's a there 's Spanish testing in the Aurora ?"
"[41:20] mn007 | Uh , not yet , but , uh , yeah ,"
"[41:23] fn002 | Yeah , it 's preparing ."
[41:26] fn002 | They are preparing .
[41:33] mn007 | Um .
"[41:35] me013 | OK , so , uh , something like seven things in each , uh each column ."
"[41:39] me013 | So that 's , uh , three hundred and forty - three , uh , different systems that are going to be developed ."
[41:46] me013 | There 's three of you .
[41:50] me026 | What a what about noise conditions ?
[41:53] me026 | w
[41:54] me026 | Don't we need to put in the column for noise conditions ?
"[42:02] me006 | Well , th uh , when when I put these testings on there , I 'm assumi"
[42:03] me013 | I 'm just kidding . Yeah .
"[42:12] me006 | And they 're all they 're all gonna be test tested , um , with one training of the HTK system ."
"[42:18] me006 | Um , there 's a script that tests all three different types of noise conditions . Test - A is like a matched noise . Test - B is a is a slightly mismatched . And test - C is a , um , mismatched channel ."
[42:31] me026 | And do we do all our training on clean data ?
"[42:35] me006 | Um , no , no , we 're we 're gonna be , um , training on the noise files that we do have ."
"[42:35] fn002 | Also , we can clean that ."
[42:36] mn007 | No .
"[42:46] me013 | Yeah , so I guess the question is how long does it take to do a a training ? I mean , it 's not totally"
"[42:52] me013 | crazy t I mean , these are a lot of these are built - in things and we know we have programs that compute PLP , we have MSG , we have JRA - you know , a lot of these things"
"[43:00] me013 | will just kind of happen , won't take uh a huge amount of development , it 's just trying it out ."
"[43:04] me013 | So , we actually can do quite a few experiments ."
"[43:06] me013 | But how how long does it take , do we think , for one of these"
[43:06] me006 | Mm - hmm .
[43:13] me013 | trainings ?
[43:16] me018 | What about combinations of things ?
"[43:18] me013 | Oh yeah , that 's right . I mean , cuz , so , for instance , I think the major advantage of MSG Yeah , good point ."
[43:22] me006 | Oh !
"[43:25] me013 | A major advantage of MSG , I see , th that we 've seen in the past is combined with PLP ."
[43:30] fn002 | Yeah .
[43:31] me013 | Um .
[43:40] me034 | Or you just add it to the features .
[43:40] fn002 | No . Here .
"[43:40] me018 | Well , you just select multiple things on the one dimension ."
"[43:43] me006 | Oh , yeah . OK ."
"[43:53] me013 | Let 's see , seven choose two would be , uh , twenty - one different combinations . Um ."
"[44:02] me034 | It 's not a complete set of combinations , though , right ?"
[44:04] me013 | What ?
"[44:05] me034 | It 's not a complete set of combinations , though , right ?"
[44:07] me006 | No .
"[44:07] me013 | Yeah , I hope not ."
"[44:10] me013 | Uh , yeah , so PLP and MSG I think we definitely wanna try cuz we 've had a lot of good experience with putting those together ."
[44:16] fn002 | Mm - hmm .
[44:17] me013 | Um .
[44:21] me013 | Yeah .
"[44:23] me018 | When you do that , you 're increasing the size of the inputs to the net . Do you have to reduce the hidden layer , or something ?"
"[44:27] me013 | Well , so I mean , so i it doesn't increase the number of trainings ."
"[44:37] me013 | Uh , I don't think so ."
"[44:38] me034 | There 's a computation limit , though , isn't there ?"
"[44:40] me013 | Yeah , I mean , it 's just more compu"
[44:42] me013 | Excuse me ?
"[44:43] me034 | Isn't there like a limit on the computation load , or d latency , or something like that for Aurora task ?"
[44:49] me006 | No .
"[44:49] me013 | Yeah , so , there 's not really a limit ."
"[44:51] me013 | What it is is that there 's there 's , uh it 's just penalty , you know ?"
"[44:56] me013 | That that if you 're using , uh , a megabyte , then they 'll say that 's very nice , but , of course , it will never go on a cheap cell phone ."
[45:04] me013 | Um .
[45:05] me034 | OK .
"[45:07] me013 | And , u uh , I think the computation isn't so much of a problem ."
[45:11] me013 | I think it 's more the memory .
"[45:13] me013 | Uh , and , expensive cell phones , exa expensive hand - helds , and so forth , are gonna have lots of memory ."
"[45:19] me013 | So it 's just that , uh , these people see the the cheap cell phones as being still the biggest market , so ."
[45:25] me034 | Mm - hmm .
[45:26] me013 | Um .
"[45:29] me013 | But , yeah , I was just realizing that , actually , it doesn't explode out ,"
[45:37] me013 | It 's not really two to the seventh .
[45:38] me013 | But it 's but but i i it doesn't really explode out the number of trainings cuz these were all trained individually .
[45:46] me013 | Right ?
"[45:46] me013 | So , uh , if you have all of these nets trained some place , then , uh , you can"
[45:53] me013 | combine
[45:58] me006 | Mm - hmm .
"[46:00] me013 | So , what it it blows out is the number of uh testings ."
"[46:05] me013 | And , you know and the number of times you do that last part . But that last part , I think , is so has gotta be pretty quick , so ."
[46:11] me013 | Uh .
"[46:12] me013 | Right ? I mean , it 's just"
[46:16] me006 | Oh .
"[46:17] me018 | But wh what about a net that 's trained on multiple languages , though ?"
[46:18] mn007 | Eight y
"[46:22] me018 | Is that just separate nets for each language then combined , or is that actually one net trained on ?"
"[46:27] mn007 | Uh , probably one net . Well ."
[46:27] me013 | Good question .
[46:30] mn007 | Uh .
"[46:32] me013 | One would think one net ,"
[46:33] mn007 | So .
[46:34] me013 | but we 've I don't think we 've tested that . Right ?
"[46:42] mn007 | we can use , uh , the three , or , a combination of of two two languages ."
[46:44] fn002 | Database three .
[46:53] me018 | In one net .
[46:54] mn007 | Yeah .
[46:55] me018 | Mm - hmm .
"[47:04] me013 | if we can train up all these these combinations ,"
"[47:09] me013 | uh , then we can start working on testing of them individually , and in combination . Right ?"
"[47:15] me013 | Because the putting them in combination , I think , is not as much computationally as the r training of the nets in the first place ."
[47:15] me006 | Mm - hmm .
[47:22] me013 | Right ?
[47:22] mn007 | Yeah .
[47:23] me013 | So y you do have to compute the KL transformation .
"[47:27] me013 | Uh , which is a little bit , but it 's not too much ."
"[47:30] mn007 | It 's not too much , no ."
[47:31] me013 | Yeah .
[47:33] mn007 | But Yeah .
"[47:35] mn007 | But there is the testing also , which implies training , uh , the HTK models and , well ,"
[47:39] fn002 | The the model the HTK model .
"[47:41] me013 | Uh , right ."
[47:42] mn007 | it 's yeah . But it 's it 's it 's not so long . It @ @ Yeah .
"[47:46] me013 | How long does it take for an , uh , HTK training ?"
"[47:49] mn007 | It 's around six hours , I think ."
"[47:52] mn007 | For training and testing , yeah ."
"[47:55] fn002 | More than six hours . For the Italian , yes ."
[47:55] mn007 | More .
[48:00] mn007 | One day ?
[48:00] me013 | For HTK ? Really ?
[48:00] fn002 | Yeah .
[48:02] fn002 | Well .
[48:02] me013 | Running on what ?
"[48:04] fn002 | Uh , M MFCC ."
"[48:05] me013 | No , I 'm sorry , ru running on what machine ?"
"[48:07] fn002 | Uh , Ravioli ."
[48:14] fn002 | mmm
[48:14] fn002 | Um .
[48:16] me018 | I don't know .
"[48:22] me034 | We can check really quickly , I guess ."
"[48:23] mn007 | Yeah , I I think it 's - it 's - it 's not so long because , well , the TI - digits test data is about , uh"
[48:31] mn007 | how many hours ?
"[48:32] mn007 | Uh , th uh , thirty hours of speech , I think , something like that ."
[48:33] me013 | It 's a few hours .
[48:35] me034 | Hmm .
[48:35] me013 | Yeah .
[48:37] mn007 | And it p Well .
"[48:40] me013 | Right , so , I mean , clearly , there there 's no way we can even begin to do an any significant amount here unless we use multiple machines ."
[48:41] mn007 | It 's six hours .
"[48:55] me013 | it 's key that that the that you look at , uh ,"
"[49:03] me013 | Uh , are we still using P - make ? Is that ?"
"[49:05] me006 | Oh , I don't know how w how we would P - make this , though ."
[49:09] me006 | Um .
"[49:12] me013 | I mean , once you get the basic thing set up , you have just all the uh , a all these combinations , right ?"
[49:15] me006 | Yeah .
[49:19] me006 | Mm - hmm .
[49:20] me013 | Um .
"[49:22] me013 | It 's it 's let 's say it 's six hours or eight hours , or something for the training of HTK . How long is it for training of of , uh , the neural net ?"
[49:30] me006 | The neural net ?
[49:31] me006 | Um .
[49:34] mn007 | I would say two days .
"[49:35] me018 | Depends on the corpuses , right ?"
[49:36] fn002 | It depends .
[49:36] mn007 | Yeah .
[49:37] me034 | It s also depends on the net .
[49:37] fn002 | Depends on the corpus .
[49:37] me006 | Yeah .
[49:38] me034 | How big is the net ?
"[49:40] fn002 | For Albayzin I trained on neural network , uh , was , um , one day also ."
"[49:46] me013 | Uh , but on what machine ?"
[49:48] me006 | On a SPERT board .
[49:48] fn002 | Uh .
[49:50] fn002 | I I think the neural net SPERT . Yes .
[49:51] me006 | Y you did a you did it on a SPERT board .
"[49:53] me013 | OK , again , we do have a bunch of SPERT boards ."
[49:56] me006 | Yeah .
[49:58] me013 | And I think there there there 's I think you folks are probably go the ones using them right now .
"[50:07] me013 | Uh , don't know . Used to be ."
"[50:08] me006 | It 's it 's still a little faster on the SPERTs. Yeah , yeah ."
[50:10] me018 | Is it ?
[50:11] me006 | Ad - Adam Adam did some testing . Or either Adam or or Dan did some testing and they found that the SPERT board 's still still faster . And
[50:20] me018 | Mm - hmm .
[50:21] me013 | Mm - hmm .
[50:25] me018 | Mm - hmm .
[50:26] me013 | Yeah .
"[50:27] me013 | So you could be we have quite a few SPERT boards . You could set up , uh ,"
"[50:31] me013 | you know , ten different jobs , or something , to run on SPERT different SPERT boards"
[50:35] me013 | and and have ten other jobs running on different computers .
"[50:39] me013 | So , it 's got to take that sort of thing , or or we 're not going to get through any significant number of these ."
[50:41] me006 | Yeah .
[50:45] me013 | Um .
"[50:47] me013 | So this is Yeah , I mean , I kind of like this because"
"[50:52] me013 | No uh , no , what I like about it is we we we do have a problem that we have very limited time ."
[50:53] me006 | OK .
"[50:58] me013 | You know , so , with very limited time , we actually have"
"[51:01] me013 | really quite a quite a bit of computational resource available if you , you know , get a look across the institute and how little things are being used ."
"[51:10] me013 | And uh ,"
"[51:11] me013 | on the other hand , almost anything"
"[51:14] me013 | that really i you know , is is new ,"
"[51:17] me013 | where we 're saying ,"
[51:17] fn002 | Yeah .
"[51:18] me013 | "" Well , let 's look at , like we were talking before about , uh , uh ,"
"[51:23] me013 | voiced - unvoiced - silence detection features and all those sort """
[51:26] me013 | that 's I think it 's a great thing to go to .
"[51:28] me013 | But if it 's new , then we have this development and and and learning process t to to go through"
[51:34] me013 | on top of just the the all the all the work .
"[51:37] me013 | So , I I I don't see how we 'd do it ."
[51:39] me013 | So what I like about this is you basically have listed all the things that we already know how to do .
[51:44] fn002 | Yeah .
"[51:48] me013 | And , uh , you 're just saying let 's look at the outer product of all of these things and see if we can calculate them ."
[51:55] me013 | a a Am I am I interpreting this correctly ? Is this sort of what what you 're thinking of doing in the short term ?
[52:00] mn007 | Mmm .
[52:01] me013 | OK .
[52:01] mn007 | Yeah .
"[52:02] me013 | So so then I think it 's just the the missing piece is that you need to , uh , you know you know , talk to talk to , uh , Chuck , talk to , uh , Adam ,"
"[52:11] me013 | uh , sort out about , uh , what 's the best way to really ,"
"[52:15] me013 | you know , attack this as a as a as a mass problem in terms of using many machines ."
"[52:25] me013 | uh , in in kind o some kind of structured way . Uh ."
"[52:32] me013 | Um , and , you know , when we go to , uh , OGI next week ,"
"[52:37] me013 | uh , we can then present to them , you know , what it is that we 're doing ."
"[52:41] me013 | And , uh , we can pull things out of this list that we think they are doing sufficiently , that , you know , we 're not we won't be contributing that much ."
[52:46] me006 | Mmm .
[52:48] me006 | Mm - hmm .
[52:50] me013 | Um .
"[52:55] me013 | Then , uh , like , we 're there ."
[52:58] me013 | Yeah ?
[53:01] me034 | How big are the nets you 're using ?
"[53:13] me006 | And , um , for the broader class nets we 're we 're going to increase that because the , um , the digits nets only correspond to about twenty phonemes ."
[53:24] me034 | Uh - huh .
[53:25] me006 | So .
[53:27] me013 | Broader class ?
"[53:28] me006 | Um , the broader broader training corpus nets like TIMIT ."
[53:36] me006 | Right .
[53:37] me006 | Right .
[53:38] me006 | Yeah .
"[53:39] me006 | More classes . Right , right . More classes . That 's what I mean . Mm - hmm ."
[53:41] me013 | Yeah . Yeah . Yeah .
[53:46] me006 | And .
[53:48] me006 | Yeah .
"[54:02] fn002 | to nnn , to with the f front - end and with the HTK program"
[54:09] fn002 | and the @ @ .
"[54:11] fn002 | And I trained eh , with the Spanish two neural network with PLP and with LogRASTA PLP ."
[54:22] fn002 | I don't know exactly what is better if if LogRASTA or JRASTA .
"[54:29] me013 | Well , um ,"
[54:31] me013 | JRASTA
"[54:34] me013 | has the potential to do better , but it doesn't always ."
[54:38] me013 | It 's i i JRASTA is more complicated .
"[54:41] me013 | It 's it 's , uh instead of doing RASTA with a log ,"
[54:44] me013 | you 're doing RASTA with a log - like function
"[54:47] me013 | that varies depending on a J parameter ,"
"[54:51] me013 | uh , which is supposed to be sensitive to the amount of noise there is ."
"[54:54] me013 | So , it 's sort of like the right transformation to do the filtering in , is dependent on how much noise there is ."
[54:58] fn002 | Hm - hmm .
[55:01] me013 | And so in JRASTA you attempt to do that .
"[55:03] me013 | It 's a little complicated because once you do that , you end up in some funny domain and you end up having to do a transformation afterwards , which requires some tables ."
"[55:12] me013 | And , uh , so it 's it 's it 's a little messier , uh , there 's more ways that it can go wrong , uh , but if if if you 're careful with it , it can do better . So , it 's So ."
[55:14] fn002 | Hm - hmm .
[55:23] fn002 | It 's a bit I 'll do better .
"[55:33] fn002 | to recognize the Italian digits with the neural netw Spanish neural network ,"
"[55:41] fn002 | and also to train another neural network with the Spanish digits , the database of Spanish digits ."
[55:50] me013 | Yeah .
[55:52] fn002 | But prepa to prepare the the database are difficult .
"[55:57] fn002 | Was for me ,"
[55:59] fn002 | n it was a difficult work last week
"[56:02] fn002 | with the labels because the the program with the label obtained that I have , the Albayzin , is different w to the label to train the neural network ."
"[56:13] fn002 | And that is another work that we must to do , to to change ."
[56:20] me013 | I I didn't understand .
"[56:21] fn002 | Uh , for example Albayzin database was labeled automatically with HTK ."
"[56:28] fn002 | It 's not hand it 's not labels by hand . Labels . I 'm sorry , I 'm sorry . The labels . I 'm sorry ."
[56:36] fn002 | The labels .
"[56:36] me013 | Yeah , OK . So , OK , so let 's start over . So , TI TIMI TIMIT 's hand - labeled , and and you 're saying about the Spanish ?"
"[56:38] fn002 | Oh , also that Yes ."
"[56:43] fn002 | The Spanish labels ? That was in different format , that the format for the em the program to train the neural network ."
"[56:47] me013 | Oh , I see ."
[56:54] fn002 | I necessary to convert .
[56:59] me018 | So you 're just having a problem converting the labels .
[56:59] fn002 | It 's it 's Yeah .
"[57:01] fn002 | Yeah , but n yes , because they have one program , Feacalc , but no , l LabeCut , but don't doesn't , eh , include the HTK format to convert ."
[57:17] me013 | Mm - hmm .
"[57:17] fn002 | And ,"
[57:18] me034 | Hmm .
"[57:19] fn002 | I don't know what . I ask e even I ask to Dan Ellis what I can do that , and h they he say me that h he does doesn't any any s any form to to do that ."
"[57:37] fn002 | And at the end , I think that with LabeCut I can transfer to ASCII format , and HTK is an ASCII format ."
"[57:50] fn002 | And I m do another , uh , one program to put"
[57:55] fn002 | ASCII format of HTK to ase ay ac ASCII format to
[58:01] me013 | Mm - hmm .
[58:01] fn002 | Exceed and they used LabCut to to pass .
"[58:06] me013 | OK , yeah ."
"[58:07] fn002 | Actually that was complicated , but well , I know how we can did that do that ."
[58:07] me013 | So you
"[58:12] me013 | Sure . So it 's just usual kind of uh sometimes say housekeeping , right ? To get these get these things sorted out ."
[58:17] fn002 | Yeah .
"[58:19] me013 | So it seems like there 's there 's some peculiarities of the , uh of each of these dimensions that are getting sorted out ."
"[58:28] me013 | And then , um , if if you work on getting the , uh , assembly lines together , and then the the pieces sort of get ready to go into the assembly line and gradually can start , you know , start turning the crank , more or less ."
"[58:42] me013 | And , uh ,"
"[58:51] me013 | What 's what 's great about this is it sets it up in a very systematic way , so that , uh ,"
"[58:55] me013 | once these all of these , you know , mundane but real problems get sorted out , we can just start turning the crank and and"
[58:58] fn002 | Mm - hmm .
"[59:02] me013 | push all of us through , and then finally figure out what 's best ."
[59:06] me006 | Yeah .
"[59:19] me006 | Just kind of like one stream at a time , je - je - je - je - je check out the results and and go that way ."
[59:20] me013 | Mm - hmm .
"[59:24] me013 | Oh , yeah , yeah , sure ."
"[59:26] me013 | No , I 'm just saying , I 'm just thinking of it like loops , right ? And so , y y y if you had three nested loops , that you have a choice for this , a choice for this , and a choice for that , right ? And you 're going through them all . That that 's what I meant ."
[59:28] me006 | Uh - huh .
[59:33] me006 | Yeah . Mm - hmm .
"[59:35] me006 | Right , right ."
"[59:36] me013 | And , uh , the thing is that once you get a better handle on how much you can realistically do ,"
"[59:45] me013 | concurrently on different machines , different SPERTs , and so forth , uh , and you see how long it takes on what machine and so forth ,"
"[59:54] me013 | you can stand back from it and say , "" OK , if we look at all these combinations we 're talking about , and combinations of combinations , and so forth , "" you 'll probably find you can't do it all ."
[59:59] me006 | Mm - hmm .
[00:03] me006 | OK .
"[00:03] me013 | OK , so then at that point ,"
"[00:05] me013 | uh , we should sort out which ones do we throw away ."
[00:08] me006 | Mm - hmm .
"[00:12] me013 | And , uh , I still think we could do a lot of them . I mean , it wouldn't surprise me if we could do a hundred of them or something ."
"[00:17] me013 | But , probably when you include all the combinations , you 're actually talking about a thousand of them or something , and that 's probably more than we can do ."
"[00:23] me013 | Uh , but a hundred is a lot ."
[00:30] me006 | OK .
[00:31] me013 | Yeah .
"[00:35] me006 | And I think you sent an email about , um , e scratch space for for people"
"[00:41] me006 | to work on . And I know that , uh , Stephane 's"
"[00:44] me006 | working from an NT machine , so his his home directory exists somewhere else ."
"[00:47] me013 | His his stuff is somewhere else , yeah ."
"[00:53] me013 | Yeah , thanks for bring it back to that . My th I want to clarify my point about that that that Chuck repeated in his note ."
[00:59] me013 | Um .
"[01:01] me013 | We 're over the next year or two , we 're gonna be upgrading the networks in this place , but right now they 're still all te pretty much all ten megabit lines ."
[01:05] me006 | Mm - hmm .
[01:08] me013 | And we have reached the this the machines are getting faster and faster .
"[01:12] me013 | So , it actually has reached the point where it 's a significant drag on the time for something to move the data from one place to another ."
[01:18] me006 | Mm - hmm .
"[01:19] me013 | So , you you don't w especially in something with repetitive computation where you 're going over it multiple times ,"
[01:25] me013 | you do don't want to have the the data that you 're working on distant from where it 's being where the computation 's being done if you can help it .
[01:34] me006 | Mm - hmm .
[01:35] me013 | Uh .
"[01:36] me013 | Now , we are getting more disk for the central file server , which , since it 's not a computational server , would seem to be a contradiction to what I just said ."
"[01:48] me013 | But the idea is that , uh , suppose you 're working with , uh , this big bunch of multi multilingual databases ."
"[01:56] me013 | Um , you put them all in the central ser at the cen central file server ."
[02:00] me006 | Mm - hmm .
"[02:00] me013 | Then , when you 're working with something and accessing it many times , you copy the piece of it that you 're working with over to some place that 's close to where the computation is and then do all the work there ."
[02:09] me013 | And then that way you you won't have the the network you won't be clogging the network for yourself and others .
[02:15] me006 | Mmm .
[02:15] me013 | That 's the idea .
"[02:20] me013 | It may be too late for this , uh , p precise crunch we 're in now , but , uh ,"
"[02:25] me013 | we 're , uh It 's gonna take us a couple weeks at least to get the , uh , uh , the amount of disk we 're gonna be getting . We 're actually gonna get , uh ,"
"[02:34] me013 | I think four more , uh , thirty - six gigabyte drives"
[02:49] me013 | primarily between this project and the Meetings Meetings Project .
[02:53] me013 | Um .
"[02:57] me013 | But , uh ,"
[02:59] me013 | we 've put another I guess there 's another eighteen gigabytes that 's that 's in there now to help us with the immediate crunch .
[03:26] me013 | Do you know these yet ?
[03:27] mn007 | I don't know what kind .
"[03:28] me013 | Yeah , OK ."
"[03:32] me013 | Uh , are these are these , uh , computational servers , or something ? I 'm I 've been kind of out of it ."
"[03:36] mn007 | Yeah , I think , yeah ."
[03:38] mn007 | I think so .
[03:40] mn007 | Mmm .
"[03:41] me013 | Unfortunately , these days my idea of running comput of computa doing computation is running a spread sheet . So ."
[03:47] mn007 | Mmm .
"[03:47] me013 | Uh , haven't been haven't been doing much computing personally , so ."
[03:52] me013 | Um .
"[03:54] me013 | Yeah , so those are computational servers . So I guess the other question is what disk there i space there is there on the computational servers ."
[04:01] me018 | Right .
"[04:02] me018 | Yeah , I 'm not sure what 's available on is it you said Nutmeg and what was the other one ?"
[04:07] me018 | Mustard .
[04:08] me018 | OK .
"[04:10] me013 | Yeah , Well , you 're the you 're the disk czar now . So"
[04:10] me034 | Huh .
"[04:12] me018 | Right , right . Well , I 'll check on that ."
[04:15] me013 | Yeah .
"[04:16] me013 | Yeah , so basically , uh , Chuck will be the one who will be sorting out what disk needs to be where , and so on , and I 'll be the one who says , "" OK , spend the money . """
"[04:28] me013 | Which , I mean , n these days , uh ,"
"[04:30] me013 | if you 're talking about scratch space , it doesn't increase the , uh , need for backup ,"
"[04:44] me018 | What you can do , when you 're on that machine , is , uh , just go to the slash - scratch directory , and do a DF minus K , and it 'll tell you if there 's space available ."
[04:53] mn007 | Yeah .
"[04:57] me013 | But wasn't it , uh I think Dave was saying that he preferred that people didn't"
"[05:02] me013 | put stuff in slash - scratch . It 's more putting in d s XA or XB or , right ?"
"[05:07] me018 | Well , there 's different there , um , there 's Right ."
"[05:11] me018 | So there 's the slash - X - whatever disks , and then there 's slash - scratch ."
[05:17] me018 | And both of those two kinds are not backed up .
"[05:21] me018 | And if it 's called "" slash - scratch "" , it means it 's probably an internal disk to the machine ."
[05:26] me018 | Um .
"[05:29] me018 | um ,"
"[05:30] me018 | OK , if you don't have an NT , but you have a a a Unix workstation ,"
"[05:35] me018 | and they attach an external disk , it 'll be called "" slash - X - something "" uh , if it 's not backed up and it 'll be "" slash - D - something "" if it is backed up ."
"[05:44] me018 | And if it 's inside the machine on the desk , it 's called "" slash - scratch "" ."
"[05:48] me018 | But the problem is , if you ever get a new machine , they take your machine away . It 's easy to unhook the external disks , put them back on the new machine , but then your slash - scratch is gone ."
"[05:58] me018 | So , you don't wanna put anything in slash - scratch that you wanna keep around for a long period of time ."
"[06:03] me018 | But if it 's a copy of , say , some data that 's on a server ,"
"[06:08] me018 | you can put it on slash - scratch because , um ,"
"[06:11] me018 | first of all it 's not backed up , and second it doesn't matter if that machine disappears and you get a new machine because you just recopy it to slash - scratch ."
"[06:17] me018 | So tha that 's why I was saying you could check slash - scratch on those on on , um , Mustard and and Nutmeg to see if if there 's space that you could use there ."
[06:25] me013 | I see .
[06:28] me018 | You could also use slash - X - whatever disks on Mustard and Nutmeg .
"[06:32] mn007 | Yeah , yeah ."
[06:34] me018 | Um .
"[06:36] me018 | Yeah , and we do have I mean , yeah , so so you yeah , it 's better to have things local"
