[00:06] me011 | Testing .
"[22:49] mn082 | if I go back to Siemens and I say "" OK , there 's a potential . """
"[22:53] mn082 | "" There are potential contacts . """
"[22:54] mn082 | currently , maybe no money ,"
[22:56] mn082 | but if we go in one direction
[23:01] mn082 | if people
[23:02] mn082 | can still go on in that area of that kind of work then they are back in their university or their company or whatever .
[23:09] mn082 | and even if it 's nur unschl
[23:11] mn082 | part - time
"[23:14] mn082 | and if it 's come to a real proposal , that maybe the people can hook in ,"
"[23:18] mn082 | uh , one more time because I need this information definitely t"
"[23:21] mn082 | uh , to inform"
[23:23] mn082 | the
"[23:24] mn082 | uh ,"
[23:25] mn082 | the Siemens management
[23:27] mn082 | that it 's worth to send me back here .
[23:29] mn082 | So maybe Wilbert you can start . You will leave end of January definitely .
"[23:34] mn082 | And currently you see no chance , as far as I know ,"
"[23:38] mn082 | uh , to stay longer here"
[23:40] mn082 | and either you will go back to KPN
"[23:44] mn082 | or you will stay here and find then a job opportunity another company , is that right ?"
"[23:48] mn081 | Yes ,"
[23:49] mn081 | yeah .
[23:50] mn082 | Can you give us more
[23:51] mn082 | details of concerning the status ?
"[23:54] mn081 | No ,"
[23:54] mn082 | No ?
[23:54] mn081 | no .
[23:57] mn081 | Pending .
[23:58] mn082 | Pending .
[23:59] mn081 | Yeah .
"[24:01] fn083 | See for me it 's the same I can also say , uh ,"
"[24:03] fn083 | for me everything has completely changed , so now I go back and I don't anything what to do ,"
[24:08] fn083 | so it 's like I have to sort everything out when I 'm
[24:12] fn083 | but I won't go back to the university so
[24:13] mn082 | yeah ?
[24:15] fn083 | I don't think so .
[24:15] mn082 | So you are looking for a job . That 's probably then OK .
"[24:18] mn082 | in principle , I would like to say you are lost for the NSA group , because"
[24:18] fn083 | Then it 's like
[24:20] fn083 | yeah .
"[24:21] mn082 | that 's uh ,"
"[24:22] fn083 | Yeah ,"
"[24:23] mn082 | a wonder if , uh ,"
[24:24] fn083 | Yeah .
"[24:24] mn082 | it hook in at the same area , you know ."
"[24:26] mn081 | Uh , but that 's also for me , I 'm kind of lost for the NSA group ."
[24:27] mn082 | Yeah .
[24:28] mn082 | Yeah .
[24:30] mn082 | Yeah .
"[24:30] mn082 | I think so , yeah ."
[24:32] mn081 | also
[24:32] mn082 | Ja
"[24:34] mn082 | from the work contributions , you know ."
"[24:34] mn081 | Well ,"
[24:35] mn081 | b but I think even also K P N .
[24:38] mn081 | i
[24:38] mn082 | Yeah .
"[24:39] mn081 | is lost for the , uh , for the I C S I ."
[24:41] mn082 | Yeah .
[24:42] mn081 | There 's a
"[24:43] mn081 | lot of , uh , z"
[24:44] mn081 | budget cuts going on and
"[24:46] mn081 | nothing is possible anymore , so ."
"[24:49] mn082 | Um , so from your side"
"[24:51] mn082 | the statement is ,"
"[24:52] mn082 | um , that , uh ,"
[24:54] mn082 | independently of your person
"[24:56] mn082 | uh , the KPN is"
[24:58] mn082 | not they 're not willing to send us another guy here to ICSI anyway .
[25:01] mn081 | Yes .
[25:02] mn081 | Absolutely .
"[25:03] mn082 | And , if they are interested in"
"[25:07] mn082 | uh , a certain kind of project"
[25:09] mn082 | then it must be related
[25:11] mn082 | to a certain kind of really service or a certain kind of end system or real product or whatever kind of thing
"[25:17] mn082 | with respect to UMTS , right ?"
[25:18] mn081 | It will be different thing .
[25:20] mn081 | it will be a start - up .
[25:22] mn081 | And I know they 're they 're working on a w
"[25:24] mn081 | a few of them in this area ,"
[25:26] mn081 | but it 's ou outside of ICSI .
[25:28] mn082 | Mmm .
"[25:30] mn082 | So ,"
[25:31] mn082 | KPN and and ICSI
[25:33] mn082 | in principle .
[25:33] mn081 | Yeah .
[25:34] mn082 | After you will leave here that is .
"[25:37] mn082 | Yeah , and then what do you intend to do in the last two months"
"[25:41] mn082 | beside of course , looking for ,"
[25:41] mn081 | u
[25:41] mn030 | Holidays
[25:42] mn081 | Th -
[25:43] mn082 | yeah .
"[25:44] mn081 | Um , I am working"
"[25:46] mn081 | now on on something ,"
[25:48] mn081 | uh an open source router .
"[25:50] mn082 | This is that from from Mark , right ?"
[25:52] mn082 | Not ?
"[25:52] mn081 | well , it 's a little bit u"
"[25:55] mn081 | Right now I 'm interested and I 'm looking into it and I 'm working started yesterday , actually working on it ,"
[26:01] mn081 | u
"[26:02] mn081 | to do an implementation of the protocol that was designed by Mark ,"
"[26:06] mn081 | um , on an open - source router that 's different from"
[26:09] mn081 | the one that of Mark 's project .
[26:12] mn082 | Mm - hmm .
"[26:14] mn082 | Yeah , do you finish that and"
[26:15] mn081 | S s
[26:16] mn082 | do you believe that you can finish that until
[26:17] mn081 | I hope so . I
[26:19] mn082 | end of January ?
[26:19] mn081 | That would be cool .
[26:21] mn081 | Yeah . It 's
"[26:22] mn082 | little bit , hard t hard hard time constraint , right ?"
[26:22] mn081 | hard work .
[26:24] mn081 | Yeah .
[26:25] mn081 | That 's right .
[26:26] mn081 | But I 'm working on it .
[26:28] mn082 | Mm - hmm .
"[26:32] mn082 | OK , Mi - Miguel ,"
[26:33] mn082 | maybe you can say also .
[26:34] mn021 | I 'll be here until the end of July .
"[26:38] mn021 | And , uh , well , eh"
[26:40] mn021 | even later
"[26:42] mn021 | if , uh , there is some interesting work , uh , going on , well I I will"
[26:47] mn021 | be able to
[26:48] mn021 | to do some work from Spain too .
[26:51] mn082 | Mm - hmm .
"[26:51] mn021 | So , that 's my future"
[26:55] mn021 | uh forecast .
"[26:56] mn082 | Mm - hmm ,"
"[26:57] mn082 | and , uh , do you have some students which could be join"
[27:02] mn082 | I assume there is a certain activity . Maybe i if you will leave in July
"[27:05] mn021 | Yeah , well , you know ,"
"[27:06] mn021 | uh the problem the I think that we have a a problem or a difference in Spain , at least ,"
[27:11] mn021 | compared with the Americans .
[27:16] mn021 | are not getting involved
[27:18] mn021 | in research
"[27:19] mn021 | until they have ,"
"[27:21] mn021 | uh , finished their studies ."
[27:28] mn021 | this is the w
[27:28] mn082 | sorry ?
[27:29] mn082 | They are not involved in in research ?
[27:31] mn021 | Yeah .
[27:32] mn082 | What they are doing then ?
[27:33] mn082 | I 'm sorry .
[27:33] mn081 | Lectures .
[27:34] mn082 | Huh ?
"[27:35] mn082 | Ach so , ach so ,"
[27:36] mn082 | OK .
"[27:37] mn021 | You you have to to pass the different tests and you have to study the different subjects . And ,"
[27:42] mn021 | until you have
[27:42] mn082 | Mm - hmm .
"[27:45] mn021 | OK ,"
[27:45] mn021 | you can do it
[27:47] mn021 | but the thing is that
[27:48] mn021 | you 're not supposed to do it .
[27:50] mn021 | And usually students are pretty busy
[27:53] mn021 | for not doing other things .
[27:55] mn082 | Mm - hmm .
[27:55] mn021 | Uh .
[27:55] mn030 | And there 's no final master 's thesis or something like that
[27:58] mn030 | what they have to perform ?
"[27:58] mn021 | Ah yeah em nnn , not really ."
"[28:01] mn021 | You know ,"
[28:02] mn021 | there is .
"[28:03] mn021 | There is . But ,"
[28:03] mn030 | Mm - hmm .
"[28:04] mn021 | uh ,"
[28:05] mn021 | it is not a research work .
[28:06] mn021 | Usually it 's an application work .
[28:09] mn030 | Mm - hmm .
[28:15] mn082 | Why I didn't study in Spain ?
"[28:18] mn021 | But it is not , uh , something your"
"[28:20] mn021 | teacher provides you some research papers and you ,"
[28:21] mn082 | Mmm .
[28:22] mn082 | Mm - hmm .
"[28:24] mn021 | let 's say , build a simulator or try to ."
[28:27] mn030 | Mm - hmm .
[28:27] mn082 | Are certain tasks and so ?
[28:27] mn030 | OK .
[28:28] mn021 | So
"[28:29] mn021 | we have , uh , other students are"
"[28:31] mn021 | which are , uh ,"
[28:33] mn021 | mmm
[28:33] mn021 | people that has a grant
"[28:36] mn021 | they are starting as , uh , researchers ,"
"[28:39] mn021 | aaa , but"
[28:40] mn021 | this is
[28:41] mn021 | only connected
[28:42] mn021 | to your own funding so if you if you have projects
[28:44] mn082 | Mm - hmm .
"[28:45] mn021 | you can have ,"
"[28:46] mn021 | uh , people working with you . If you don't have ,"
[28:49] mn021 | a research project
"[28:50] mn021 | well , you cannot pay them so u u usually"
[28:53] mn021 | you don't have anybody .
"[28:55] mn021 | So it 's kind of , uh ,"
[28:57] mn021 | dependent
[28:58] mn021 | on
[28:59] mn021 | the funding we have
[29:00] mn021 | in some projects .
[29:02] mn021 | So
[29:02] mn021 | w
[29:02] mn021 | it 's
[29:03] mn082 | Hmm ?
"[29:03] mn021 | not sure ,"
"[29:03] mn082 | No ,"
[29:04] mn021 | not really sure .
[29:04] mn082 | there .
[29:05] mn082 | We 're not talking about to send the students here to I C S I .
"[29:09] mn082 | I 'm talking if there is an activity , at least with the NSA group ,"
[29:13] mn082 | that certain kind of activities also in the university
"[29:17] mn082 | could apply for the master works , of"
"[29:20] mn082 | diplomas thesis , uh , whatever kind of thing"
"[29:20] mn021 | Yeah ,"
"[29:23] mn021 | We could find , uh ,"
"[29:25] mn021 | some , eh work force ."
[29:27] mn021 | OK ?
[29:27] mn082 | Mm - hmm .
"[29:28] mn021 | Because well , you you can , eh ,"
[29:30] mn021 | fo redirect
"[29:32] mn021 | you know , the the work as uh"
[29:33] mn021 | let 's say as a subject work of something
"[29:37] mn021 | you can try to , eh , s"
"[29:39] mn021 | In some subjects , in fact ,"
"[29:41] mn021 | eh , the the the , uh , topics are more open so"
[29:48] mn021 | but
[29:48] mn021 | the main thing is that
"[29:49] mn021 | there is a , uh , this"
[29:51] mn021 | big difference
"[29:53] mn021 | because , eh , students are not supposed to do"
"[29:55] mn021 | research , eh , work until they have"
[29:58] mn021 | finished their gra their grade .
[29:58] mn082 | Mm - hmm .
"[30:01] mn021 | Yeah , sure ."
"[30:02] mn081 | M uh , maybe you sh"
[30:02] mn021 | Sure .
"[30:03] mn081 | I think it 's pretty healthy for a student to to have a project , eh , where you have to write actually some part of research or ."
"[30:11] mn021 | Yeah , I think so too , but ,"
"[30:13] mn021 | eh , you know , it also depends"
[30:14] mn021 | on the subjects because sometimes
[30:16] mn081 | Sure .
[30:17] mn021 | subjects are fixed
"[30:18] mn021 | so you cannot you cannot , uh"
[30:18] mn081 | OK .
"[30:20] mn021 | uh , give any any stuff you want ."
[30:26] mn081 | O
[30:27] mn081 | Of course .
"[30:28] mn021 | but ,"
"[30:28] mn021 | you know ,"
"[30:31] mn021 | in the latest , eh uh , courses"
"[30:34] mn021 | uh , things are probably more open and , well , it it"
[30:37] mn021 | is something that can be changed .
[30:39] mn082 | Mm - hmm . OK . Thank you .
"[30:41] mn082 | Claudia , I still mentioned ,"
"[30:44] mn082 | For me , as I said before"
[30:46] mn082 | I will be funded by a d
"[30:48] mn082 | uh by the ministry of ,"
"[30:51] mn082 | uh , the German government for research in the project so - called Invinet"
[30:55] mn082 | That seems to be sure .
[30:57] mn082 | And I got
[30:57] mn082 | absolutely freedom
[30:59] mn082 | to do
"[30:59] mn082 | what I would like to do ,"
[31:01] mn082 | and I would like to go on with the QS in advance mechanism
"[31:04] mn082 | and , uh ,"
[31:06] mn082 | in the
[31:06] mn082 | relation of USAIA I also have the
[31:09] mn082 | activities with Georgia Tech .
"[31:11] mn082 | They have now a PHD . It is settled ,"
"[31:14] mn082 | and my other next , uh , generation of contract"
[31:18] mn082 | is also going in that sense so the topic is still going go going on .
"[31:22] mn082 | and when I will come back here , I would like to use these things too to maybe come to a"
"[31:28] mn082 | closer , a bigger project"
[31:35] mn082 | first of all from the NSA group and then from from other partners .
[31:39] mn082 | But this I have definitely ou uh discussed with my management
"[31:43] mn082 | and this will happened ,"
"[31:45] mn082 | I believe , in December ,"
"[31:47] mn082 | maybe , and in the beginning of January ."
"[31:50] mn082 | and I will keep informed to the management of ICSI anyway ,"
"[31:53] mn082 | but also ,"
[31:55] mn082 | I assume that my suggestions that we have a weekly phone conference
[31:59] mn082 | and email exchange during that time
[32:02] mn082 | so that we can
[32:04] mn082 | inform each other
"[32:06] mn082 | concerning what are the questions , what are the problems , what is the status and so on ."
[32:11] mn082 | Uh ? But
[32:11] mn082 | I think we will
[32:13] mn082 | uh
[32:14] mn082 | detail these things
[32:16] mn082 | then in one of the last meetings .
[32:20] mn082 | So
[32:21] mn030 | Yeah .
[32:23] mn030 | Well
[32:33] mn030 | So I will stay here
[32:34] mn030 | till the end of February
[32:36] mn030 | and
"[32:37] mn030 | afterwards , um , at Berlin I 'm"
"[32:40] mn030 | yeah , funded by an institution of the German government , so ,"
"[32:44] mn030 | they are paying me ,"
"[32:46] mn030 | and I have to do research for them , of course . I have to"
[32:49] mn030 | um
"[32:52] mn030 | well , uh ,"
[32:53] mn030 | reach some goals and so on .
[32:56] mn030 | But on the other hand there will be some
[33:02] mn030 | this area I started here .
"[33:05] mn030 | And for me , myself , I 'm"
[33:07] mn030 | also very interested in in continue this work
[33:10] mn030 | and so that will
[33:13] mn030 | be manageable
"[33:14] mn030 | and , um ,"
[33:15] mn030 | on the other hand there are also
"[33:20] mn030 | well ,"
"[33:20] mn030 | at the moment it 's quite difficult to find students , eh , who are doing their master 's thesis and so on"
"[33:27] mn030 | because there are not a lot of students , uh , which are in this state in Germany now ,"
"[33:32] mn030 | but um ,"
[33:33] mn030 | about
[33:34] mn030 | two years ago the
[33:37] mn030 | numbers of students
"[33:39] mn030 | were , um , studying computer science ,"
"[33:42] mn030 | uh ,"
[33:43] mn030 | started to increase again and
[33:44] mn030 | so in
"[33:46] mn030 | one or two years we will have ,"
"[33:48] mn030 | uh , many students , uh , which are performing their master 's thesis and so"
"[33:52] mn030 | I think there will also be , uh ,"
[33:54] mn030 | many students
[33:55] mn030 | which are joining in this work .
"[33:58] mn030 | So , hopefully ,"
"[34:00] mn030 | uh , I will found will find some students which are"
"[34:07] mn030 | So ,"
[34:08] mn030 | hopefully this work will be go on .
"[34:09] mn082 | Mm - hmm . OK , sounded good to me ."
[34:12] mn082 | And Michael ?
"[34:13] mn035 | So , I won't change the topic then ."
[34:15] mn035 | I 'm here until
[34:18] mn035 | end of May
"[34:19] mn035 | and after that I presumably going to a Siemens project with some department of gee - mens , but related to that"
[34:27] mn035 | topic
"[34:27] mn035 | what I have done here . So ,"
"[34:29] mn035 | it 's some of pre - stage to that , so it might be more"
[34:34] mn035 | related or loosely related . So it 's
[34:36] mn035 | at least it 's in the same topic .
"[34:39] mn035 | And progress , it 's going on ,"
[34:44] mn035 | but it 's not that fast going on as I would have like it .
[34:47] mn082 | Mm - hmm .
"[34:47] mn035 | Oh ,"
[34:49] mn035 | I would like to have it . Sorry .
[34:50] mn035 | Well
[34:51] mn035 | but oder ?
"[34:53] mn082 | Yeah , then , what is the current status anyway ?"
[34:55] mn082 | @ @ this is .
"[34:55] mn035 | Um , I 'm currently I 'm looking into"
"[34:59] mn035 | Quality of Service Routing , and I had discussions with a post - doc from the U - UCB ."
"[35:04] mn035 | Well ,"
[35:06] mn035 | we started to
[35:08] mn035 | collect information to
[35:10] mn035 | write the paper about Quality of Serving routing .
[35:13] mn035 | for MPLS in an MPLS domain .
[35:15] mn082 | Mm - hmm .
"[35:15] mn035 | So you have um distributed routing at the edges ,"
[35:20] mn035 | and
[35:21] mn035 | one aspect
[35:22] mn035 | is
"[35:23] mn035 | that the information is outdated , so that you know to always have the"
"[35:27] mn035 | exact information of your links , dates , and so on ."
[35:31] mn035 | It what we have plans of that .
[35:33] mn035 | And trying to
"[35:34] mn035 | look at some routing policies ,"
[35:38] mn035 | or routing algorithms .
[35:39] mn082 | Mm - hmm .
"[35:41] mn082 | Now as I see , in principle , uh"
[35:45] mn082 | that 's a really raw view .
"[35:46] mn082 | MPLS offers certain kind of success of active routing , because"
"[35:50] mn082 | in principle , the"
[35:51] mn082 | forwarding pass is a little bit
[35:54] mn035 | Yeah .
"[35:57] mn082 | OK , it 's it 's not"
[35:59] mn082 | really the subject but in a broader sense it could be seen
[36:01] mn035 | It d yeah .
[36:02] mn082 | in that sense . I think
"[36:04] mn082 | uh , there are"
[36:06] mn082 | in a certain degree
"[36:07] mn082 | some alignment with with both of you guys , right ?"
[36:09] mn035 | Yeah .
[36:10] mn035 | So at least from the desh
"[36:12] mn035 | definition of Christian Tschudin , MPLS is a"
[36:17] mn035 | of
[36:17] mn035 | active route
[36:19] mn035 | active routing .
"[36:20] mn035 | So it 's very It 's static ? It 's No , active ?"
[36:23] mn035 | But it 's sort of active because they have these program
[36:25] mn082 | Yeah .
[36:27] mn035 | statements .
"[36:28] mn082 | Yeah , maybe it 's a separation , in principle , that I do not use the normal traditional ,"
[36:29] mn035 | But y
[36:30] mn035 | Yeah .
[36:33] mn035 | Yeah .
"[36:33] mn082 | uh , data forwarding pass"
"[36:35] mn082 | and update , in principle , only the routing information"
"[36:38] mn021 | Well , they are they are using"
"[36:38] mn082 | uh , to to to use it ."
[36:39] mn021 | the the the same idea of labelling packets
[36:40] mn082 | Yeah .
[36:42] mn082 | Yeah .
[36:43] mn035 | Yeah .
[36:44] mn021 | with a
[36:45] mn021 | content descriptor or something .
[36:47] mn035 | That 's right .
"[36:47] mn082 | Yeah , so what I mean is at a certain degree ,"
[36:49] mn021 | Yeah .
"[36:50] mn082 | yeah , that has to be figured out ."
"[36:52] mn082 | There is , uh , there are some linkage between them ."
[36:54] mn082 | @ @
[36:54] mn021 | Mm - hmm .
[36:55] mn082 | your work .
[36:56] mn035 | Yeah .
"[36:57] mn082 | So ,"
"[36:58] mn082 | my last point , uh , in principle , is the proposal itself ."
[37:02] mn082 | Um
"[37:04] mn082 | I know , in the past it was always if I 'm"
[37:07] mn082 | not writing something nothing gonna happen .
"[37:10] mn082 | So , I believe , Wilbert , you are going out of these activity ."
[37:14] mn082 | You have to use your time
[37:16] mn082 | to
[37:17] mn082 | finish your work as you
"[37:20] mn082 | uh ,"
[37:21] mn082 | have in mind until your
"[37:23] mn082 | end of February , or is that right ?"
"[37:25] mn081 | January , yes ."
"[37:26] mn082 | End of January , sorry , so you will not y"
[37:28] mn082 | you will not find any time to contribute anymore to this
[37:31] mn081 | No .
[37:31] mn082 | activity .
[37:34] mn082 | OK .
[37:35] mn082 | Then from Miguel 's side
[37:38] mn082 | I expect more
[37:39] mn082 | detailed vision .
"[37:41] mn082 | We can do it , as I mentioned before , bilateral afterwards ,"
"[37:44] mn082 | uh , concerning your work and how you think it could be"
[37:48] mn082 | beneficial contribution to the activity
[37:51] mn082 | maybe based on the generic
"[37:53] mn082 | uh , uh , USAIA architecture ."
[37:56] mn082 | I will write
[37:58] mn082 | as
"[38:00] mn082 | long as I have time here ,"
"[38:02] mn082 | uh , on the proposal itself and in the near - term future ,"
[38:05] mn082 | I will
[38:07] mn082 | distribute a list
[38:09] mn082 | of the
[38:11] mn082 | small cluster
[38:13] mn082 | of people .
[38:14] mn082 | I tried to access
[38:16] mn082 | Juan Peire
"[38:17] mn082 | several times ,"
"[38:19] mn082 | he didn't answer , because he still had mentioned that there 's some minor funding ,"
"[38:24] mn082 | that I think would help ,"
"[38:27] mn082 | for instance , to have initial meeting"
[38:29] mn082 | either here or in Europe or or wherever .
"[38:32] mn082 | I 've , uh , contact"
"[38:40] mn082 | uh , L Landay mentioned , uh ,"
[38:42] mn035 | L Lan -
[38:42] mn035 | Landay ?
"[38:42] mn082 | Rao , right ?"
[38:44] mn082 | Yeah .
"[38:44] mn082 | because he 's a professor in uh , responsible for the infrastructure at UCB and he has some projects"
[38:45] mn035 | Landay .
[38:49] mn035 | Ah .
[38:50] mn082 | which are related to
"[38:52] mn082 | um , these these , uh , activities"
[38:56] mn082 | I would c c name it cor intelligent classroom .
[38:59] mn082 | I don't know whether I can succeed to get an appointment then
[39:05] mn082 | contact list and @ @ the interests of each partner
[39:09] mn082 | so that everybody can see
[39:10] mn082 | and
"[39:11] mn082 | everybody knows , yeah , I have in mind"
[39:13] mn082 | maybe it 's a small NSA group activity
"[39:15] mn082 | itself ,"
[39:16] mn082 | with no linkage to the outer world
[39:18] mn082 | maybe it 's a NSA group activity with a linkage to the outer world
[39:22] mn082 | based on the
[39:24] mn082 | uh universities at home or the companies at home
[39:27] mn082 | there 's some linkage
"[39:29] mn082 | and the third stage is , let 's say there 's a NSA group activity in this area ,"
"[39:33] mn082 | uh , with the supported , um ,"
[39:36] mn082 | home entities
[39:38] mn082 | and with certain kind of linkage here to the companies or u or universities here in this area .
"[39:44] mn082 | The last one , I think it 's , uh , the best one ."
"[39:48] mn082 | But , you see the question is always "" Where 's the money ? """
"[39:50] mn082 | and I say "" Oh poo , currently I don't know . """
"[39:53] mn082 | The second question is how long I stay here and say ooo , I don't know "" ,"
[39:56] mn082 | so
[39:57] mn082 | everybody 's waiting .
"[39:59] mn082 | Yeah , and the only rea"
"[40:00] mn082 | um ,"
"[40:01] mn082 | activity could come from the NSA group itself ,"
"[40:04] mn082 | but I think it 's a a work in process and that it will take some time and , uh ,"
[40:08] mn082 | everything must be just settled a little bit more .
"[40:10] mn082 | So , but anyway , I would like to get contributions"
"[40:13] mn082 | from the people here of the NSA group concerning proposals , this is a living thing"
[40:19] mn082 | and
[40:20] mn082 | it 's a pity
"[40:21] mn082 | that Multicast is , in principle , removed"
[40:24] mn082 | and we do not have any expert from Multicast anymore .
"[40:27] mn082 | And , uh , that 's makes very hard , I believe ."
"[40:31] mn082 | Because that is a major @ @ ,"
[40:34] mn082 | at least twenty - five percent of the whole network
"[40:37] mn082 | uh , stuff"
"[40:39] mn082 | and , um , but neverless we have to live with this situation ."
[40:46] mn082 | Right .
[40:47] mn081 | Right .
[40:48] mn081 | Right .
"[40:50] mn082 | So maybe we have to rewrite something , have new ideas going forward more in"
"[40:55] mn082 | certain kind of really telecommunication network and the routing and QS stuff ,"
"[41:00] mn082 | and remove , in principle , the Multicast stuff"
[41:07] mn082 | mmm
[41:07] mn082 | source of research work
[41:10] mn082 | for the future telecommunication core networks because
"[41:14] mn082 | they are still not able to deal with Multicast , they still have there that"
[41:21] mn082 | and I I believe that would be very beneficial to use it for the
"[41:25] mn082 | really uh , mobile scenarios in in that network ,"
[41:28] mn082 | so but anyway we have to live with a real situation and that means we have to
[41:31] mn082 | drop Multicast from the proposal .
[41:38] mn082 | Any comments ?
"[41:41] mn021 | Oh , not really , you know ,"
"[41:45] mn021 | Well , in the future ,"
[41:46] mn021 | somebody will come
[41:47] mn021 | to the NSA group
[41:49] mn021 | eh
[41:51] mn082 | Then we can extend the proposal one more time with Multicast .
"[41:52] mn021 | Ah ,"
"[41:55] mn021 | OK ,"
[41:55] mn021 | I I I think that
"[41:57] mn021 | it cannot , eh , be , eh considered the first type task to do because"
[42:01] mn021 | nobody is is knowledgeable about multicasting but
"[42:05] mn021 | I think that , eh , any of us"
[42:07] mn021 | could
"[42:07] mn021 | address these things in the future ,"
[42:09] mn021 | or maybe
[42:10] mn021 | a new person could address this .
[42:12] mn021 | in the future . So
"[42:14] mn021 | I mean ,"
"[42:15] mn021 | wh what I think is that ,"
"[42:16] mn021 | uh , it it makes no sense to me"
"[42:19] mn021 | to reduce ,"
"[42:20] mn021 | uh , uh , uh , uh ,"
[42:22] mn021 | something which is more or less
"[42:24] mn021 | complete ,"
"[42:29] mn021 | to go is probably the opposite , to try to find"
[42:32] mn021 | something which has
[42:34] mn021 | a meaning by itself
[42:35] mn021 | and then try to get
[42:39] mn021 | to do
"[42:40] mn082 | Oh , maybe you understand me in the wrong way ."
"[42:42] mn082 | Uh ,"
"[42:43] mn082 | I do not mean to drop it , to remove the text from the proposal ."
"[42:46] mn021 | OK ,"
[42:47] mn021 | OK .
"[42:47] mn082 | I mean , activities , planning activities ."
[42:48] mn021 | Sorry .
"[42:49] mn021 | Yeah ,"
[42:49] mn021 | that 's OK .
[42:50] mn082 | Work packages .
"[42:50] mn021 | Sorry , sorry , heh ?"
"[42:51] mn082 | Yeah ,"
[42:51] mn021 | Now I
[42:51] mn082 | so
"[42:52] mn082 | no , no , because that 's , uh , that 's why I mentioned that it is important thing ."
"[42:56] mn082 | But , currently there 's only one"
"[42:59] mn082 | new group member ,"
"[43:00] mn082 | Sven Buchholz ,"
"[43:01] mn082 | who will figure out the thing ,"
[43:04] mn082 | hmm
"[43:05] mn082 | how to say ,"
"[43:06] mn082 | um , the"
"[43:10] mn082 | taking into account the end system ,"
[43:12] mn082 | or the limited end system capabilities
[43:15] mn082 | with respect to mobility and the network itself .
"[43:19] mn082 | Where it should be ada @ @ where should be , uh , the adaptation process performed"
"[43:24] mn082 | to deal with the different devices ,"
[43:26] mn082 | for ubiquitous access to the network ? Should it be in the end system itself ?
[43:31] mn082 | Should be in the edge device ? It should it be in the core ? should it be on the server ?
[43:34] mn082 | These are the questions he would like to figure out .
"[43:37] mn082 | And to p uh , to have , in principle , the pro and cons"
"[43:41] mn082 | of , uh , different of all these different approaches ."
[43:44] mn082 | So that 's the only
[43:46] mn082 | new member .
[43:47] mn081 | Who is that ?
[43:49] mn082 | Sven Buchholz .
[43:50] mn082 | He was here . I invited him and discussed with him
[43:53] mn082 | his potential
[43:56] mn082 | quite sure
"[43:56] mn081 | Oh , he was here one day ."
[43:57] mn082 | Yeah .
[43:58] fn083 | Yeah .
[43:58] mn035 | Hmm .
"[43:59] mn082 | But he showed up the next day but only for administration stuff , but for the technical discussion he was here one day ."
[43:59] mn035 | Several days .
[44:01] mn035 | Yeah .
[44:01] mn035 | Yeah .
[44:04] mn035 | Yeah .
"[44:06] fn083 | That must be three weeks ago ,"
[44:08] fn083 | cuz I r
"[44:08] mn081 | Yeah , I do remember him , but I didn't talk with him about , uh about the research"
[44:09] fn083 | I just met him when I arrived .
[44:09] mn035 | Yeah .
[44:12] mn082 | Mm - hmm .
[44:14] mn081 | topic .
[44:16] mn081 | So I didn't know what he was going to do .
"[44:20] mn082 | Yeah , he will come"
"[44:22] mn082 | mid of January , I believe , yeah ,"
[44:24] mn035 | Mm - hmm .
[44:24] mn082 | as far as I know .
"[44:26] mn082 | So , but this is the only guy , you know ,"
[44:28] mn082 | but that is not reflected in that sense that we remove the text .
[44:31] mn082 | @ @
[44:32] mn021 | OK .
[44:42] mn082 | more detailed descriptions .
[44:45] mn082 | So
[44:46] mn082 | Any other question ?
[44:47] mn082 | Any other comment ?
[44:52] mn082 | Oh .
[44:56] mn082 | Then we pu should start with reading the numbers
[45:00] mn082 | one more time .
"[45:01] fn083 | Oh , again ?"
"[45:03] mn082 | Yes , we have to do it , so that means we have to read the transcript script"
[45:03] fn083 | I don't know .
"[45:07] mn082 | number and then the numbers ,"
[45:09] mn082 | and if there 's a
"[45:10] mn082 | new line , a short break ."
"[45:13] mn082 | And , afterwards we have to ,"
"[45:15] mn082 | uh , that device is switched on , so please do not"
[45:20] mn082 | switch off the devices .
[45:21] mn082 | And I will call Herr Janin and that Adam @ @ .
[45:25] mn082 | So I will start .
"[46:05] mn082 | OK , the next one please ."
[46:07] fn083 | Should I ?
"[46:07] mn082 | Oh . Yeah , yeah . Fine ."
"[46:08] fn083 | OK ,"
"[48:14] fn083 | Oh , I 'm sorry ."
"[48:23] mn081 | when I was here so then I started laughing ,"
"[48:26] mn081 | @ @ oh , oh ,"
"[48:28] mn081 | oh , oh ."
[49:53] mn030 | That 's it .
"[49:53] mn082 | OK . Thank you . OK , then I will call Adam ."
