[01:32] fe016 | Oh .
"[21:35] me018 | Well cuz the yeah , and then also , if you did it on Switchboard , you would have ,"
"[21:39] me018 | the full continuum of transcriptions . You 'd have it ,"
[21:41] fe008 | Yep .
"[21:41] me018 | from the lowest level , the ac acoustic features , then you 'd have the ,"
"[21:45] me018 | you know , the phonetic level that Steve did , and ,"
[21:45] fe008 | Mm - hmm .
"[21:45] fe016 | Yeah that that 's all I was thinking about . it is telephone band , so ,"
[21:47] me018 | yeah .
"[21:48] me018 | It 'd be a complete ,"
[21:49] fe008 | And you get the relative gain up ahead .
[21:49] me018 | set then .
[21:51] me013 | It 's so it 's a little different .
[21:52] fe016 | Yeah .
"[21:52] me013 | So I mean i we 'll see wha how much we can ,"
[21:55] fe008 | Mm - hmm .
"[21:55] me013 | uh ,"
"[21:55] me013 | get the people to do , and how much money we 'll have and all this sort of thing , but ,"
[21:57] fe008 | Mm - hmm .
"[21:58] me018 | But it it might be good to do what Jane was saying uh , you know ,"
[21:59] me013 | Might be do both .
"[22:00] me018 | seed it , with ,"
"[22:02] me018 | guesses about what we think the features are , based on ,"
"[22:05] me018 | you know , the phone or Steve 's transcriptions or something ."
[22:07] me018 | to make it quicker .
"[22:08] me011 | Alright , so based on the phone transcripts they would all be synchronous , but then you could imagine ,"
"[22:11] me018 | Adjusting ? Yeah , exactly ."
[22:12] me011 | nudging them here and there .
[22:15] fe008 | Yeah .
[22:16] me011 | Right .
"[22:16] me013 | Well I think what I mean I 'm I 'm a l little behind in what they 're doing ,"
"[22:20] me013 | now , and , uh , the stuff they 're doing on Switchboard now . But I think that ,"
"[22:24] me013 | Steve and the gang are doing ,"
[22:26] me013 | something with an automatic system first and then doing some adjustment .
[22:30] me013 | As I re as I recall .
"[22:31] me013 | So I mean that 's probably the right way to go anyway , is to is to start off with an automatic system with a pretty rich pronunciation dictionary that ,"
"[22:38] me013 | that ,"
"[22:38] me013 | um ,"
"[22:39] me013 | you know ,"
"[22:40] me013 | tries ,"
[22:41] me013 | to label it all .
"[22:42] me013 | And then ,"
[22:43] me013 | people go through and fix it .
"[22:45] fe008 | So in in our case you 'd think about us s starting with maybe the regular dictionary entry , and then ?"
"[22:50] me013 | Well ,"
"[22:51] me013 | regular dictionary , I mean , this is a pretty rich dictionary . It 's got ,"
[22:54] me013 | got a fair number of pronunciations in it
"[22:55] me018 | Or you could start from the if we were gonna ,"
"[22:58] me018 | do the same set ,"
"[22:59] me018 | of sentences that Steve had ,"
"[23:01] me018 | done , we could start with those transcriptions ."
[23:03] fe008 | Mm - hmm .
[23:03] me013 | Yeah .
"[23:03] fe016 | That 's actually what I was thinking , is tha the problem is when you run ,"
[23:05] me011 | Right .
[23:05] me018 | Yeah .
"[23:08] fe016 | uh , if you run a regular dictionary ,"
"[23:10] fe016 | um ,"
"[23:11] fe016 | even if you have variants ,"
"[23:13] fe016 | in there ,"
[23:14] me018 | Yeah .
"[23:14] fe016 | which most people don't , you don't always get ,"
"[23:16] fe016 | out ,"
[23:19] fe008 | Yeah .
"[23:20] fe016 | that pronunciation , and so y"
[23:21] me013 | Actually maybe they 're using phone recognizers .
[23:21] fe008 | Oh .
"[23:22] fe016 | they they I thought that they were we should catch up on what Steve is , uh I think that would be a good i good idea ."
[23:23] me013 | Is that what they 're doing ?
[23:23] me011 | They are .
"[23:24] me013 | Oh , OK ."
[23:26] me013 | Yeah .
"[23:28] me013 | Yeah , so I think that i i we also don't have , I mean ,"
"[23:31] me013 | we 've got a good start on it , but we don't have a really good ,"
"[23:34] me013 | meeting ,"
"[23:35] me013 | recorder or recognizer or transcriber or anything yet , so ."
[23:38] fe016 | Yeah .
"[23:38] me013 | So , I mean another way to look at this is to ,"
"[23:40] me013 | is to , uh ,"
"[23:41] me013 | do some stuff on Switchboard which has all this other ,"
[23:44] me013 | stuff to it .
"[23:44] me013 | And then , um ,"
"[23:46] me013 | As we get ,"
"[23:47] me013 | further down the road and we can do more things ahead of time , we can ,"
[23:48] me018 | Mm - hmm .
[23:51] me013 | do some of the same things to the meeting data .
[23:52] me018 | Yeah .
"[23:54] fe008 | And I 'm and these people might they they are , s"
[23:54] me013 | Yeah
"[23:57] fe008 | most of them are trained with IPA . They 'd be able to do phonetic - level coding , or articulatory ."
"[24:05] fe008 | Well , you know , I mean they ,"
"[24:07] fe008 | they they 're interested in continuing working with us , so I mean I ,"
"[24:10] fe008 | and this would be up their alley , so , we could when the when you d"
"[24:13] fe008 | meet with ,"
"[24:14] fe008 | with John Ohala and find ,"
[24:15] fe008 | you know what
"[24:17] fe008 | taxonomy you want to apply , then ,"
"[24:18] fe008 | they 'd be ,"
[24:19] me013 | Yeah .
[24:19] fe008 | good to train onto it .
[24:20] me013 | Yeah .
"[24:21] me013 | Anyway , this is ,"
[24:22] fe008 | Yeah .
"[24:22] me013 | not an urgent thing at all , just it came up ."
"[24:24] me018 | It 'd be very interesting though , to have that data ."
[24:26] fe016 | Yeah .
"[24:26] me011 | I wonder , how would you do a forced alignment ?"
"[24:26] fe008 | I think so , too ."
"[24:30] me011 | To to I mean , you 'd wanna iterate , somehow ."
[24:34] me011 | Yeah . It 's interesting thing to think about .
[24:35] me018 | Hmm .
[24:36] fe016 | I was thinking it might be n
[24:36] me011 | I mean you 'd you 'd want models for spreading .
[24:40] me018 | Of the f acoustic features ?
[24:41] me011 | Yeah .
[24:41] me018 | Mm - hmm .
[24:41] me013 | Mm - hmm .
[24:44] me013 | Yeah .
"[24:44] fe016 | Well it might be neat to do some ,"
"[24:46] fe016 | phonetic ,"
"[24:48] fe016 | features on these ,"
"[24:56] fe016 | These k No , I 'm serious . There are all these kinds of functional ,"
"[25:01] fe016 | uh , elements . I don't know what you call them ."
[25:03] fe016 | But not just fill pauses but all kinds of ways of interrupting and so forth .
[25:06] me011 | Uh - huh .
"[25:07] fe016 | And some of them are , yeah , "" uh - huh ""s , and "" hmm ""s , and ,"
"[25:10] fe016 | "" hmm ! """
"[25:12] fe016 | Grunts , uh , that might be interesting ."
[25:15] fe008 | He 's got lip lipsmacks .
[25:15] fe016 | In the meetings .
[25:19] me013 | We should move on .
[25:19] fe008 | Yeah .
"[25:20] me013 | Uh ,"
"[25:21] me013 | new version of , uh , presegmentation ?"
"[25:24] mn014 | Uh , oh yeah , um ,"
"[25:26] mn014 | I worked a little bit on the on the presegmentation to to get another version which does channel - specific , uh , speech - nonspeech detection ."
"[25:36] mn014 | And , what I did is I used some normalized features which , uh , look in into the which is normalized energy , uh ,"
"[25:44] mn014 | energy normalized by the mean over the channels and by the ,"
"[25:48] mn014 | minimum over the , other ."
[25:51] mn014 | within each channel .
"[25:52] mn014 | And to to , mm ,"
"[25:55] mn014 | to , yeah , to normalize also loudness and and modified loudness and things and that those special features actually are in my feature vector ."
[25:55] me011 | Oh .
"[26:02] mn014 | And , and ,"
"[26:03] mn014 | therefore to be able to , uh , somewhat distinguish between foreground and background speech in in the different in each channel ."
"[26:12] mn014 | And ,"
"[26:13] mn014 | eh , I tested it on on three or four meetings and it seems to work , well yeah , fairly well , I I would say ."
[26:20] mn014 | There are some problems with the lapel mike .
[26:24] me011 | Wow that 's great .
"[26:24] mn014 | Uh , yeah ."
[26:26] mn014 | And .
"[26:26] me011 | So I I understand that 's what you were saying about your problem with ,"
[26:29] mn014 | Yeah .
[26:29] me011 | minimum .
[26:29] mn014 | And .
"[26:30] mn014 | Yeah , and and I had I had , uh , specific problems with ."
[26:30] me011 | I get it .
"[26:32] me011 | So new use ninetieth quartile , rather than ,"
[26:34] mn014 | Yeah .
[26:34] mn014 | Yeah .
[26:35] me011 | minimum .
[26:35] fe008 | Wow .
"[26:36] mn014 | Yeah yeah , then I I did some some some things like that ,"
[26:36] fe008 | Interesting .
"[26:39] mn014 | as there there are some some problems in ,"
"[26:41] mn014 | when ,"
"[26:42] mn014 | in the channel , there they the the speaker doesn't doesn't talk much or doesn't talk at all ."
"[26:47] mn014 | Then ,"
"[26:48] mn014 | the ,"
"[26:50] mn014 | yeah , there are there are some problems with with with n with normalization , and ,"
"[26:53] mn014 | then , uh , there the system doesn't work at all ."
"[26:56] mn014 | So , I 'm I 'm glad that there is the the digit part , where everybody is forced to say something ,"
[26:56] me013 | Right .
"[27:01] mn014 | so ,"
[27:02] mn014 | that 's that 's great for for my purpose .
"[27:05] mn014 | And ,"
"[27:05] mn014 | the thing is I I ,"
"[27:07] mn014 | then the evaluation of of the system is a little bit hard , as I don't have any references ."
[27:12] me011 | Well we did the hand the one by hand .
"[27:14] mn014 | Yeah , that 's the one one wh where I do the training on so I can't do the evaluation on"
"[27:19] mn014 | So the thing is , can the transcribers perhaps do some ,"
[27:20] me011 | Uh .
[27:23] mn014 | some some meetings in in terms of speech - nonspeech in in the specific channels ?
[27:27] me018 | Well won't you have that from their transcriptions ?
"[27:29] fe008 | Well , OK , so , now we need so , um ,"
"[27:30] me011 | No , cuz we need is really tight ."
[27:31] mn014 | Yeah .
"[27:32] fe008 | I think I might have done what you 're requesting , though I did it in the service of a different thing ."
"[27:35] mn014 | Oh , great ."
[27:36] fe008 | I have thirty minutes that I 've more tightly transcribed with reference to individual channels .
[27:40] mn014 | OK .
"[27:42] mn014 | OK , that 's great ."
"[27:42] mn014 | That 's great for me . Yeah , so ."
"[27:46] fe008 | No , actually it 's a different meeting ."
[27:47] me011 | Good .
"[27:47] fe008 | So , um , e so the , you know , we have the ,"
[27:48] mn014 | OK .
"[27:50] fe008 | th they transcribe as if it 's one channel with these with the slashes to separate the overlapping parts . And then we run it through then it then I 'm gonna edit it and I 'm gonna run it through channelize which takes it into Dave Gelbart 's form format . And then you have ,"
[27:54] mn014 | Yeah .
[27:59] mn014 | Yeah .
"[28:01] fe008 | all these things split across according to channel , and then that means that ,"
"[28:04] fe008 | if a person contributed more than once in a given ,"
"[28:09] fe008 | that two parts of the utterance end up together , it 's the same channel ,"
"[28:12] fe008 | and then I took his tool , and last night for the first thirty minutes of"
[28:13] mn014 | OK .
"[28:16] fe008 | one of these transcripts , I ,"
"[28:18] fe008 | tightened up the , um ,"
"[28:20] fe008 | boundaries on individual speakers ' channels , cuz his his interface allows me to have total flexibility in the time tags across the channels ."
[28:20] mn014 | OK .
[28:22] mn014 | Yeah .
[28:26] mn014 | Yeah .
"[28:27] fe008 | And um ,"
"[28:29] mn014 | so , yeah yeah , that that that 's great , but what would be nice to have some more meetings , not just one meeting to to be sure that that ,"
[28:29] fe008 | so .
[28:32] fe008 | Yes .
[28:32] fe008 | Might not be what you need .
"[28:38] mn014 | there is a system ,"
"[28:38] me011 | Yeah , so if we could get a couple meetings done with that level of precision I think that would be a good idea ."
[28:40] mn014 | OK .
"[28:42] fe008 | Oh , OK ."
[28:42] mn014 | Yeah .
"[28:43] fe008 | Uh , how how m much time so the meetings vary in length , what are we talking about in terms of the number of minutes you 'd like to have as your as your training set ?"
"[28:52] mn014 | It seems to me that it would be good to have ,"
"[28:55] mn014 | a few minutes from from different meetings , so ."
[28:59] mn014 | But I 'm not sure about how much .
"[29:05] mn014 | Both both . Different different number of speakers , different speakers , different conditions ."
[29:06] fe008 | OK .
"[29:09] me013 | Yeah , we don't have that much variety in meetings yet , uh , I mean we have this"
"[29:14] me013 | meeting and the feature meeting and we have a couple others that we have uh ,"
"[29:14] mn014 | Yeah , m"
[29:16] me013 | couple examples of .
[29:17] mn014 | Yeah .
[29:18] fe008 | Mm - hmm .
"[29:18] me013 | but , uh ,"
"[29:23] mn014 | Uh , not really as uh , because of the normalization , yeah . Yeah ."
[29:23] me013 | Poten - potentially .
"[29:24] me001 | Oh , cuz you use the normalization ? OK ."
"[29:27] me013 | Oh , OK ."
"[29:27] fe016 | We can try running we haven't done this yet because ,"
"[29:30] fe016 | um ,"
"[29:31] fe016 | uh , Andreas an is is gonna move over the SRI recognizer . i basically I ran out of machines at SRI ,"
[29:37] fe016 | cuz we 're running the evals and I just don't have machine time there .
[29:37] mn014 | OK .
"[29:40] fe016 | But , once that 's moved over ,"
"[29:43] fe016 | a couple days ,"
"[29:45] fe016 | then , we can take ,"
"[29:46] fe016 | um ,"
"[29:48] fe016 | what Jane just told us about as ,"
"[29:50] fe016 | the presegmented ,"
"[29:53] fe016 | the the segmentations that you did ,"
[29:53] mn014 | Yeah .
[29:55] mn014 | Yeah .
"[29:55] fe016 | at level eight or som at some ,"
[29:57] fe008 | The pre presegment yeah .
"[29:58] fe016 | threshold that Jane ,"
[29:59] mn014 | Yeah .
"[29:59] fe016 | tha right ,"
"[30:00] fe016 | and try doing ,"
[30:02] fe016 | forced alignment .
"[30:03] fe016 | um ,"
[30:04] mn014 | With the recognizer ? Yeah .
"[30:10] fe016 | then we 're we 're fine , but ,"
[30:10] mn014 | Yeah . M
"[30:12] fe016 | I don't know yet whether these ,"
"[30:13] fe016 | segments that contain a lot of pauses around the words ,"
[30:16] fe016 | will work or not .
"[30:17] mn014 | I would quite like to have some manually transcribed references for for the system , as I 'm not sure if if it 's really good to compare with with some other automatic ,"
[30:20] fe016 | Yeah .
[30:28] fe016 | Right .
[30:28] mn014 | found boundaries .
"[30:30] fe008 | Well , no , if we were to start with this and then tweak it h manually , would that that would be OK ?"
[30:31] mn014 | Yeah .
[30:33] fe016 | Right .
[30:33] mn014 | Yeah sure .
"[30:34] fe016 | They might be OK . It you know it really depends on a lot of things , but ,"
[30:34] fe008 | OK .
[30:36] mn014 | Yeah .
"[30:37] fe016 | I would have maybe a transciber ,"
"[30:39] fe016 | uh , look at the result of a forced alignment and then adjust those . That might save some time ."
[30:40] mn014 | Yeah .
"[30:40] mn014 | To a adjust them , or , yeah ."
"[30:42] mn014 | Yeah , yeah ."
"[30:44] fe016 | If they 're horrible it won't help at all , but they might not be horrible ."
"[30:45] mn014 | Yeah , great ."
[30:48] mn014 | Yeah .
"[30:48] fe016 | So but I 'll let you know when we ,"
"[30:50] mn014 | OK , great ."
"[30:51] fe016 | uh , have that ."
"[30:52] fe008 | How many minutes would you want from I mean , we could easily ,"
"[30:55] fe008 | get a section , you know , like say a minute or so , from every meeting that we have so f from the newer ones that we 're working on ,"
[31:01] fe008 | everyone that we have .
"[31:03] fe008 | And then ,"
"[31:06] mn014 | If it 's not the first minute of of the meeting , that that 's OK with me , but , in in the first minute , uh ,"
"[31:12] mn014 | Often there are some some strange things going on which which aren't really ,"
"[31:17] mn014 | well , for , which which aren't re re really good ."
[31:20] mn014 | So .
"[31:21] mn014 | What what I 'd quite like , perhaps , is ,"
"[31:23] mn014 | to have ,"
"[31:24] mn014 | some five minutes of of of different meetings , so ."
"[31:28] fe008 | Somewhere not in the very beginning , five minutes , OK ."
[31:31] mn014 | Yeah .
"[31:32] fe008 | And , then I wanted to ask you just for my inter information , then ,"
"[31:35] fe008 | would you ,"
[31:36] fe008 | be trai
"[31:37] fe008 | cuz I don't quite unders so , would you be training then ,"
"[31:40] fe008 | um ,"
"[31:40] fe008 | the segmenter so that ,"
"[31:42] fe008 | it could , on the basis of that , segment the rest of the meeting ?"
"[31:45] fe008 | So , if I give you like five minutes is the idea that this would then be applied to ,"
"[31:49] fe008 | uh , to ,"
"[31:50] mn014 | I I could do a a retraining with that , yeah ."
[31:50] fe008 | providing tighter time bands ?
[31:54] mn014 | That 's but but I hope that I I don't need to do it .
[31:55] fe008 | OK .
[31:58] fe008 | Uh - huh .
"[31:58] mn014 | So , uh it c can be do in an unsupervised way ."
"[32:02] fe008 | Excellent . Excellent , OK ."
[32:03] mn014 | So .
"[32:04] mn014 | I 'm I 'm not sure ,"
"[32:05] mn014 | but , for for for those three meetings whi which I which I did ,"
"[32:09] mn014 | it seems to be ,"
"[32:10] mn014 | quite well , but ,"
"[32:12] mn014 | there are some some as I said some problems with the lapel mike , but ,"
"[32:15] mn014 | perhaps we can do something with with cross - correlations to ,"
[32:19] mn014 | to get rid of the of those .
[32:21] mn014 | And .
"[32:23] mn014 | Yeah . That 's that 's what I that 's my future work . Well well what I want to do is to to look into cross - correlations for for removing those ,"
[32:31] mn014 | false overlaps .
[32:33] fe008 | Wonderful .
"[32:33] fe016 | Are the , um , wireless ,"
"[32:35] fe016 | different than the wired ,"
"[32:37] fe016 | mikes , at all ? I mean , have you noticed any difference ?"
"[32:38] mn014 | I 'm I 'm not sure , um ,"
"[32:40] mn014 | if if there are any wired mikes in those meetings , or , uh , I have have to loo have a look at them but , I 'm I 'm I think there 's no difference between ,"
[32:50] fe016 | So it 's just the lapel versus everything else ?
[32:51] mn014 | Yeah .
[32:52] mn014 | Yeah .
"[32:53] fe008 | OK , so then , if that 's five minutes per meeting we 've got like twelve minutes ,"
"[32:56] fe008 | twelve meetings ,"
"[32:59] me013 | Of of of the meetings that you 're working with , how many of them are different ,"
[32:59] mn014 | No .
"[33:02] me013 | tha are there any of them that are different than ,"
[33:05] me013 | these two meetings ?
[33:07] fe008 | Well oh wa in terms of the speakers or the conditions or the ?
"[33:09] me013 | Yeah , speakers . Sorry . So ."
"[33:10] fe008 | Um ,"
"[33:11] fe008 | we have different combinations of speakers . I mean , just from what I 've seen , uh , there are some where ,"
"[33:16] fe008 | um ,"
"[33:17] fe008 | you 're present or not present , and ,"
[33:18] fe008 | then then you have the difference between the networks group and this group
"[33:21] mn014 | Yeah , I know , some of the NSA meetings , yeah ."
[33:21] me013 | Yeah . So I didn't know in the group you had if you had so you have the networks meeting ?
[33:23] mn014 | Yeah .
"[33:24] fe008 | Yep , we do ."
[33:24] mn014 | Yeah .
"[33:25] me013 | Do you have any of Jerry 's meetings in your ,"
"[33:27] me013 | pack , er ,"
"[33:27] fe008 | Um , no ."
[33:28] me013 | No ?
"[33:29] fe008 | We could , I mean you you recorded one last week or so . I could get that new one in this week I get that new one in ."
[33:31] me011 | Yep .
[33:31] me018 | This week .
"[33:32] fe016 | We 're gonna be recording them every Monday ,"
[33:32] me011 | u
[33:33] me013 | Yeah .
"[33:34] me013 | Cuz I think he really needs variety , and and having as much variety for speaker certainly would be a big part of that I think ."
[33:36] fe008 | Great .
[33:36] mn014 | Yeah .
[33:40] mn014 | Yeah .
"[33:41] fe008 | OK , so if I ,"
"[33:42] fe008 | OK , included include ,"
"[33:43] fe008 | OK , then , uh , if I were to include all together samples from twelve meetings that would only take an hour and I could get the transcribers to do that right I mean , what I mean is ,"
"[33:51] fe008 | that would be an hour sampled , and then they 'd transcribe those that hour , right ? That 's what I should do ?"
[33:55] me013 | Yeah .
[33:56] me013 | And .
[33:57] me013 | Right . Ye - But you 're y
[33:57] mn014 | That 's that 's .
[33:57] fe008 | I don't mean transcribe I mean I mean adjust . So they get it into the multi - channel format and then adjust the timebands so it 's precise .
"[34:02] me013 | So that should be faster than the ten times kind of thing , yeah ."
"[34:04] fe008 | Absolutely . I did I did , um ,"
"[34:07] fe008 | uh , so ,"
"[34:08] fe008 | last night I did ,"
"[34:09] fe008 | uh ,"
"[34:11] fe008 | well , last night , I did about half an hour in ,"
"[34:14] fe008 | three hours ,"
[34:15] me013 | Yeah .
"[34:16] fe008 | which is not ,"
"[34:17] fe008 | terrific , but , um ,"
"[34:19] me013 | Yeah . Well , that 's probably ."
[34:22] mn014 | So .
"[34:22] fe008 | Well ,"
"[34:22] fe008 | I can't calculate on my ,"
"[34:24] mn014 | Do the transcribers actually start wi with , uh , transcribing new meetings , or are they ?"
"[34:29] fe008 | Well , um they 're still working they still have enough to finish that I haven't assigned a new meeting , but the next ,"
[34:32] mn014 | OK .
"[34:34] fe008 | m m I was about to need to assign a new meeting and I was going to take it from one of the new ones , and I could easily give them Jerry Feldman 's meeting , no problem ."
[34:37] mn014 | OK .
"[34:42] fe008 | And ,"
[34:42] mn014 | OK .
"[34:44] fe016 | So they 're really running out of ,"
"[34:45] fe016 | data , prett I mean that 's good ."
"[34:46] fe008 | Mm - hmm . Uh , that first set ."
"[34:47] fe016 | Um ,"
[34:47] fe016 | OK .
"[34:48] me013 | They 're running out of data unless we s make the decision that we should go over and start ,"
"[34:52] me013 | uh , transcribing the other set ."
[34:54] me013 | There the first the first half .
[35:00] fe008 | And so I was in the process of like editing them but this is wonderful news .
[35:00] mn014 | Yeah .
[35:03] mn014 | OK .
[35:03] me013 | Alright .
"[35:04] fe008 | We funded the experiment with , uh also we were thinking maybe applying that that to getting the ,"
"[35:09] fe008 | Yeah , that 'll be ,"
[35:09] fe008 | very useful to getting the overlaps to be more precise all the way through .
"[35:13] me013 | So this , blends nicely into the update on transcripts ."
"[35:16] fe008 | Yes , it does ."
[35:17] me013 | OK .
"[35:18] fe008 | um ,"
"[35:19] fe016 | Yeah , please . Go ahead ."
"[35:19] fe008 | Liz , and and Don , and I met this morning ,"
"[35:22] fe008 | in the BARCO room ,"
"[35:28] fe008 | uh , concerning this issue of ,"
"[35:30] fe008 | um ,"
"[35:30] fe008 | the ,"
"[35:31] fe008 | well there 's basically the issue of the interplay between the transcript format and the processing that ,"
"[35:36] fe008 | they need to do for ,"
[35:37] fe008 | the SRI recognizer .
"[35:39] fe008 | And , um ,"
"[35:41] fe008 | well , so , I mentioned the process that I 'm going through with the data , so , you know , I get the data back from the transcri Well , s"
"[35:47] fe008 | uh , metaphorically , get the data back from the transcriber , and then I ,"
[35:50] fe008 | check for simple things like spelling errors and things like that .
"[35:53] fe008 | And , um ,"
"[35:54] fe008 | I 'm going to be doing a more thorough editing ,"
[35:56] fe008 | with respect to consistency of the conventions .
[35:59] fe008 | But they 're they 're generally very good .
"[36:01] fe008 | And ,"
"[36:02] fe008 | then ,"
"[36:03] fe008 | I run it through , uh , the channelize program to get it into the multi - channel format ,"
[36:08] fe008 | OK .
"[36:09] fe008 | And the ,"
"[36:09] fe008 | what we discussed this morning ,"
"[36:11] fe008 | I would summarize as saying that ,"
"[36:13] fe008 | um ,"
"[36:14] fe008 | these units that result ,"
"[36:16] fe008 | in a a particular channel and a particular timeband ,"
"[36:18] fe008 | at at that level ,"
"[36:20] fe008 | um ,"
[36:21] fe008 | vary in length .
"[36:22] fe008 | And ,"
"[36:23] fe008 | um ,"
[36:23] fe008 | their recognizer would prefer that the units not be overly long .
"[36:27] fe008 | But it 's really an empirical question ,"
"[36:29] fe008 | whether the units we get at this point through ,"
"[36:31] fe008 | just that process I described might be sufficient for them . So ,"
"[36:35] fe008 | as a first pass through , a first chance without having to do a lot of hand - editing ,"
"[36:39] fe008 | what we 're gonna do ,"
"[36:40] fe008 | is , I 'll run it through channelize ,"
[36:42] fe008 | give them those data after I 've done the editing process and be sure it 's clean .
"[36:45] fe008 | And I can do that ,"
"[36:46] fe008 | pretty quickly ,"
[36:47] me013 | Mm - hmm .
"[36:47] fe008 | with just ,"
"[36:47] fe008 | that minimal editing ,"
[36:49] fe008 | without having to hand - break things .
"[36:50] fe008 | And then we 'll see if the units that we 're getting ,"
"[36:53] fe008 | uh ,"
"[36:53] fe008 | with the at that level ,"
[36:55] fe008 | are sufficient .
[36:56] fe008 | And maybe they don't need to be further broken down .
"[36:58] fe008 | And if they do need to be further broken down then maybe it just be piece - wise , maybe it won't be the whole thing ."
"[37:03] fe008 | So , that 's that 's what we were discussing ,"
[37:06] fe016 | Right .
"[37:07] fe008 | Among also we discussed some adaptational things , so it 's like ,"
[37:09] fe016 | Right .
"[37:11] fe008 | You know I hadn't , uh , incorporated ,"
"[37:13] fe008 | a convention explicitly to handle acronyms , for example ,"
"[37:16] fe008 | but if someone says ,"
[37:17] fe008 | PZM
"[37:19] fe008 | it would be nice to have that be directly interpretable from ,"
[37:22] me013 | Mm - hmm .
"[37:22] fe008 | the transcript what they said , or Pi - uh Tcl TCL I mean . It 's like"
"[37:25] fe008 | y it 's and so ,"
"[37:27] fe008 | um ,"
"[37:28] fe008 | I 've I 've incorporated also convention ,"
"[37:31] fe008 | with that but that 's easy to handle at the post editing phase , and I 'll mention it to ,"
"[37:34] fe008 | transcribers for the next phase but that 's OK . And then ,"
"[37:37] fe008 | a similar conv uh , convention for numbers . So if they say one - eighty - three versus one eight three ."
"[37:42] fe008 | Um ,"
"[37:42] fe008 | and also I 'll be , um ,"
"[37:44] fe008 | encoding , as I do my post - editing , the ,"
"[37:47] fe008 | things that are in curly brackets , which are clarificational material ."
"[37:50] fe008 | And eh to incorporate , uh , keyword ,"
"[37:53] fe008 | at the beginning . So ,"
"[37:54] fe008 | it 's gonna be either a gloss or it 's gonna be a vocal sound like a ,"
"[37:57] fe008 | laugh or a cough ,"
"[37:59] fe008 | or , so forth ."
"[38:00] fe008 | Or a non - vocal sound like a doors door - slam , and that can be easily done with a ,"
"[38:04] fe008 | you know , just a one little additional thing in the ,"
[38:08] fe008 | in the general format .
"[38:09] fe016 | Yeah we j we just needed a way to ,"
"[38:12] fe016 | strip , you know , all the comments , all the things th the that"
[38:15] fe016 | linguist wants but the recognizer can't do anything with .
"[38:18] fe016 | Um ,"
"[38:19] fe016 | but to keep things that we mapped to like reject models , or , you know ,"
"[38:22] fe016 | uh , mouth noise , or ,"
[38:24] fe016 | cough .
"[38:25] fe016 | And then there 's this interesting issue Jane brought up which I hadn't thought about before but I was ,"
"[38:30] fe016 | realizing as I went through the transcripts , that there are some noises like ,"
"[38:34] fe016 | um , well the good example was an inbreath , where a transcriber working from ,"
"[38:38] fe016 | the mixed ,"
"[38:39] fe016 | signal ,"
"[38:40] fe016 | doesn't know whose breath it is , and they 've been assigning it to someone that may or may not be correct ."
[38:42] me011 | Right .
"[38:45] fe016 | And what we do is , if it 's a breath sound , you know , a sound from the speaker , we map it ,"
"[38:50] fe016 | to ,"
"[38:51] fe016 | a noise model , like a mouth - noise model in the recognizer , and ,"
"[38:54] fe016 | yeah , it probably doesn't hurt that much once in a while to have these , but ,"
"[38:58] fe016 | if they 're in the wrong channel , that 's ,"
[38:59] fe016 | not a good idea .
"[39:01] fe016 | And then there 's also ,"
[39:06] me011 | Right .
[39:06] mn014 | Yeah .
"[39:07] fe016 | And uh , Jane had this nice , uh ,"
"[39:10] fe016 | idea of having ,"
"[39:11] fe016 | like an extra ,"
[39:13] me011 | An extra channel .
"[39:13] fe016 | uh couple tiers , yeah ."
[39:14] fe008 | Yeah . I 've been I 've been adding that to the ones I 've been editing .
"[39:15] fe016 | And we were thinking ,"
"[39:26] fe016 | Uh , so I think that 's a good you can always clean that up , post - processing ."
[39:30] fe008 | Yeah .
"[39:30] fe016 | So a lot of little details , but I think we 're ,"
"[39:33] fe016 | coming to some kinda closure ,"
"[39:36] fe016 | on that . So the idea is then ,"
"[39:38] fe016 | uh , Don can take ,"
"[39:39] fe016 | uh , Jane 's post - processed channelized version ,"
"[39:42] fe016 | and ,"
"[39:45] fe016 | to a reference for the recognizer and we can ,"
[39:48] fe016 | can run these .
"[39:49] fe016 | So when that 's ,"
"[39:50] fe016 | ready you know , as soon as that 's ready , and as soon as the recognizer is here we can get ,"
[39:55] fe016 | twelve hours of force - aligned and recognized data .
"[39:59] fe016 | And , you know ,"
"[40:00] fe016 | start ,"
"[40:01] fe016 | working on it , so we 're ,"
"[40:02] fe016 | I dunno a coup a week or two away I would say from ,"
"[40:06] fe016 | uh , if if that process is automatic once we get your post - process ,"
[40:10] fe016 | transcript .
[40:12] fe008 | Mm - hmm .
"[40:12] fe008 | And that doesn't the amount of editing that it would require is not very much either . I 'm just hoping that the units that are provided in that way ,"
"[40:18] fe008 | will be sufficient cuz I would save a lot of , uh ,"
"[40:20] fe008 | time ,"
[40:22] fe008 | dividing things .
"[40:23] fe016 | Yeah , some of them are quite long ."
[40:25] fe016 | Just from I dunno how long were you did one ?
"[40:28] me001 | I saw a couple , around twenty seconds ,"
"[40:31] me001 | and that was just without looking too hard for it , so ,"
[40:33] fe016 | Right .
[40:34] fe008 | Well n
[40:34] me001 | I would imagine that there might be some that are longer .
"[40:36] fe008 | One question , e w would that be a single speaker or is that multiple speakers overlapping ?"
[40:39] me001 | No .
