[00:01] me013 | So .
[35:34] mn005 | I I I I w
"[35:36] mn005 | I I wanted to nnn , I don't understand very ."
[35:41] mn005 | Yeah .
"[35:43] mn005 | Oh , yeah , yeah ."
"[35:48] me013 | Yeah , and my question is , if you did that , if you followed my suggestion , would it take much less time ?"
"[35:56] mn005 | Oh , yeah . Sure . Yeah sure . Sure sure . Sure ,"
"[35:58] me013 | Yeah OK . Then I think it 's a good idea . Then I think it 's a good idea , because it"
[36:03] mn005 | because I I need a lot of time to to put the label or to do that . Yeah .
"[36:07] me013 | Yeah , I mean , we we know that there 's noise ."
[36:07] me011 | And -
[36:10] mn005 | Uh - huh .
[36:19] mn005 | Yeah .
[36:22] mn005 | Mm - hmm .
"[36:23] me013 | We know that all that 's there and it 's a g worthwhile thing to study ,"
[36:26] me013 | but obviously it takes a lot of time to mark all of these things .
[36:28] mn005 | Yeah .
[36:30] me013 | Whereas th i I would think that uh you we can study more or less as a distinct phenomenon the overlapping of people talking .
[36:37] mn005 | Uh - huh . OK . OK .
[36:38] me013 | So .
[36:39] me013 | Then you can get the Cuz you need If it 's three hundred uh i i it sounds like you probably only have fifty or sixty or seventy
[36:48] mn005 | Yeah .
"[36:49] me013 | And and you need to have a lot more than that to have any kind of uh even visual sense of of what 's going on , much less any kind of reasonable statistics ."
[36:56] me011 | Right .
"[36:57] fe016 | Now , why do you need to mark speaker overlap by hand if you can infer it from the relative energy in the I mean , you shouldn't need to do this p completely by hand , right ?"
[37:02] me011 | That 's what I was gonna bring up .
"[37:05] me013 | Um , OK , yeah . So let 's back up because you weren't here for an earlier conversation ."
"[37:10] me013 | So the idea was that what he was going to be doing was experimenting with different measures such as the increase in energy ,"
[37:23] fe016 | Mm - hmm .
"[37:23] me013 | I mean , increased energy is - is sort of an obvious one . Yeah . Um , and"
[37:25] fe016 | In the far - field mike .
"[37:27] fe016 | Oh , OK ."
"[37:30] me013 | uh , it 's not obvious , I mean , you could you could do the dumbest thing"
[37:34] me013 | and get get it ninety percent of the time . But when you
"[37:37] me013 | start going past that and trying to do better , it 's not obvious what combination of features"
"[37:42] me013 | is gonna give you the you know , the right detector . So the idea is to have some ground truth first ."
"[37:46] me013 | And so the i the idea of the manual marking was to say "" OK this , i you know , it 's it 's really here "" ."
[37:51] me018 | But I think Liz is saying why not get it out of the transcripts ?
[37:52] fe016 | What I mean is get it from the close - talking mikes .
"[37:56] me013 | Uh , yeah . We t we t w"
[37:58] me013 | we t we talked about that .
"[38:03] me013 | we talked about that . s But so it 's a bootstrapping thing and the thing is ,"
"[38:11] me013 | and and then whatever he could mark would be helpful ,"
[38:14] fe016 | Right .
"[38:15] me013 | Uh it 's a question of what you bootstrap from . You know , do you bootstrap from a simple measurement which is right most of the time and then you g do better ,"
"[38:25] me013 | then do your simple measurements , uh from the close - talking mike ."
"[38:28] me013 | I mean , even with the close - talking mike you 're not gonna get it right all the time ."
"[38:31] fe016 | Well , that 's what I wonder , because um or how bad it is , be um , because that would be interesting especially because the bottleneck is the transcription . Right ?"
[38:33] me013 | Well -
[38:45] me013 | Yeah .
"[38:53] fe016 | um , that you can get the training data for pretty quickly is , you know , if you infer form the close - talking mikes where the on - off points are of speech , you know , how can we detect that from a far - field ?"
"[39:02] me013 | Right , we discussed that ."
[39:06] fe008 | Oh .
"[39:07] fe016 | OK , I 'm sorry I missed the @ @"
[39:09] me013 | It 's OK .
"[39:10] me011 | so but it 's it 's doing something very , very simple . It just takes a threshold , based on on the volume ,"
[39:14] fe016 | Uh - huh .
[39:14] mn017 | Or you can set the threshold low and then weed out the false alarms by hand . Yeah .
"[39:18] fe016 | Right , by hand . Yeah ."
"[39:19] me011 | um , and then it does a median filter , and then it looks for runs ."
"[39:24] me011 | And , it seems to work , I 've I 'm sort of fiddling with the parameters ,"
"[39:28] me011 | to get it to actually generate something ,"
"[39:30] me011 | and I haven't I don't what I 'm working on was working on was getting it to a form where we can import it into the user interface that we have , into Transcriber ."
"[39:38] me011 | And so I told I said it would take about a day . I 've worked on it for about half a day , so give me another half day and I we 'll have something we can play with ."
[39:43] fe016 | OK .
"[39:45] me013 | See , this is where we really need the Meeting Recorder query stuff to be working , because we 've had these meetings and we 've had this discussion about this , and I 'm sort of remembering a little bit about what we decided ,"
"[39:54] me013 | but I couldn't remember all of it . So ,"
[39:55] fe016 | It -
"[39:55] me013 | I think it was partly that ,"
"[39:57] me013 | you know ,"
"[39:58] me013 | give somebody a chance to actually look at the data and see what these are like ,"
"[40:01] me013 | partly that we have e some ground truth to compare against , you know , when when he he gets his thing going ,"
[40:07] mn005 | Mm - hmm .
"[40:08] fe016 | Well , it 's definitely good to have somebody look at it . I was just thinking as a way to speed up"
[40:13] me013 | That was that was exactly the notion that that that we discussed . So .
[40:14] mn005 | Yeah .
[40:14] mn005 | Yeah .
[40:15] fe016 | OK .
[40:16] fe016 | It looks good .
[40:17] me001 | I have to go .
[40:19] me001 | Just give me an email .
[40:20] mn005 | OK .
[40:20] me013 | Yeah .
"[40:30] fe008 | that uh handle bleedthrough , I mean cuz you have this this close you have contamination from other people who speak loudly ."
"[40:38] me011 | Yeah , and I haven't tried using that . It would probably help the program that I 'm doing to first feed it through that ."
[40:44] me011 | It 's a cross - correlation filter .
"[40:48] me011 | So I I haven't tried that , but that If It it might be something it might be a good way of cleaning it up a little ."
"[40:52] fe008 | Yeah , having that be a preprocessor and then run it through yours ."
[40:54] me011 | Exactly .
"[40:55] me013 | But but that 's a refinement and I think we wanna see try the simple thing first , cuz you add this complex thing up uh afterwards that does something good y y yo you sort of wanna see what the simple thing does first ."
[40:55] me011 | Yep .
[40:56] fe008 | That 's what we were discussing .
[41:01] me011 | Yep .
"[41:05] me013 | But uh , having having somebody have some experience , again , with with uh with marking it from a human standpoint , we 're I mean , I don't expect Jose"
"[41:18] me013 | if uh if he could speed up what he was doing by just getting the speaker overlaps so that we had it , say , for forty - five minutes ,"
[41:23] mn005 | Sure .
[41:24] mn005 | Sure .
[41:24] me013 | then at least we 'd have three hundred examples of it . And when when uh Adam was doing his automatic thing he could then compare to that and see what it was different .
[41:25] mn005 | Yeah .
"[41:29] fe016 | Oh yeah , definitely ."
[41:30] mn005 | Yeah .
"[41:30] me018 | You know , I did I did uh something almost identical to this at one of my previous jobs , and it works pretty well . I mean , i almost exactly what you described , an energy detector with a median filter , you look for runs ."
"[41:45] me018 | Yeah . I mean , you you can get y I mean , you get them pretty close ."
[41:47] me011 | That was with zero literature search .
[41:49] me018 | And so I think doing that to generate these
[41:52] me018 | possibilities and then going through and saying yes or no on them would be a quick way to to do it . Yeah .
[41:55] me011 | That 's good validation .
[42:03] me018 | It was when I was working for the government .
"[42:05] me013 | Oh , then everybody owns it . It 's the people ."
"[42:07] fe008 | Well , I mean , is this something that we could just co - opt , or is it ? No . OK ."
[42:10] me018 | Nah .
[42:11] me018 | @ @
"[42:13] me018 | Yeah , he 's it it doesn't take a long time ."
[42:13] fe008 | Right .
"[42:13] fe008 | I just thought if it was tried and true , then and he 's gone through additional levels of of development ."
[42:13] me011 | Just output .
[42:17] me018 | Yeah .
"[42:22] me018 | Oh ! I have to remember . I 'll think about it , and try to remember ."
[42:26] mn017 | And it might be different for government people .
[42:32] mn017 | They d
[42:32] mn017 | OK .
"[42:33] me011 | I was doing pretty short , you know , tenth of a second , sorts of numbers ."
[42:34] mn005 | Mm - hmm .
"[42:40] me013 | Uh ,"
"[42:50] me013 | So , uh , maybe we should move on to other other things in limited time ."
"[42:53] fe008 | Can I ask one question about his statistics ? So so in the tw twelve minutes ,"
[42:55] me013 | Yeah .
[42:57] mn005 | Yeah .
"[42:58] fe008 | um , if we took three hundred and divided it by four , which is about the length of twelve minutes ,"
[43:03] fe008 | i
"[43:03] fe008 | Um , I 'd expect like there should be seventy - five overlaps . Did you find"
[43:10] mn005 | More than ?
[43:11] fe008 | More than How many overlaps in your twelve minutes ?
"[43:13] mn005 | How many ? Eh , not @ @ I"
[43:16] mn005 | Onl - only I I transcribe eh only twelve minutes
[43:20] fe008 | Mm - hmm .
[43:20] me013 | Yeah .
[43:20] mn005 | from the
[43:21] mn005 | but eh I I don't co eh I don't count eh the the overlap .
[43:25] fe008 | The overlaps . OK .
[43:28] mn005 | The the three hundred is eh considered only you your transcription .
[43:32] mn005 | I have to to finish transcribing .
[43:37] mn005 | So .
"[43:37] me011 | I b I bet they 're more , because the beginning of the meeting had a lot more overlaps than than sort of the middle ."
[43:43] mn005 | Yeah .
[43:43] me011 | Middle or end .
[43:44] mn005 | Yeah .
"[43:44] me011 | Because i we 're we 're dealing with the Uh , in the early meetings , we 're recording while we 're saying who 's talking on what microphone , and things like that , and that seems to be a lot of overlap ."
[43:44] fe008 | I 'm not sure .
[43:50] mn005 | Yeah .
[43:54] mn005 | Yeah .
[43:54] fe008 | I think it 's an empirical question . I think we could find that out . I 'm I 'm not sure that the beginning had more .
[43:55] mn005 | Yeah .
[43:55] me011 | Yep .
"[44:00] me013 | So so I was gonna ask , I guess about any any other things that that that either of you wanted to talk about , especially since"
"[44:07] me013 | Andreas is leaving in five minutes , that that you wanna go with ."
[44:18] fe016 | I wanted to get a feel for that
[44:20] fe016 | to sort of
[44:22] fe016 | be able to know what what can be done first and
[44:27] me013 | There 's this forty - five minute piece that Jane transcribed .
[44:30] me013 | That piece was then uh sent to IBM so they could transcribe so we have some comparison point .
[44:37] me013 | Then there 's s a larger piece that 's been recorded and
[44:39] mn017 | @ @
[44:41] me013 | uh put on CD - ROM and sent uh to IBM .
[44:45] me013 | Right ? And then
[44:47] me013 | we don't know .
[44:47] fe016 | How many meetings is that ? Like how many t ten It 's like ten meetings or something ?
[44:49] me011 | What 's that ?
"[44:52] me011 | Yeah , something like that . And then then we r"
[44:53] fe016 | Uh - huh . OK .
[44:54] me018 | Ten meetings that have been sent to IBM ?
"[44:55] me011 | Well , I haven't sent them yet because I was having this problem with the missing files ."
[44:55] me013 | Yeah .
[44:57] me013 | Oh .
[44:57] fe016 | OK .
[44:57] fe016 | Uh - huh .
"[45:00] me013 | Oh , that 's right , that had those have not been sent ."
"[45:02] me018 | H how many total have we recorded now , altogether ?"
[45:05] me013 | We 're saying about twelve hours .
[45:06] me011 | About twelve by now . Twelve or thirteen .
"[45:08] fe016 | And we 're recording only this meeting , like continuously we 're only recording this one now ? or ? OK ."
[45:11] me013 | No .
[45:12] me011 | Nope .
[45:13] me018 | It was the morning one .
[45:14] fe016 | OK .
[45:17] me013 | but there 's at least one meeting recorded of uh the uh uh natural language guys .
[45:21] me011 | Jerry .
"[45:24] me013 | Uh , they do . w w And we talked to them about recording some more and we 're going to ,"
"[45:29] me013 | uh , we 've started having a morning meeting , today uh i starting a w a week or two ago , on the uh front - end issues , and we 're recording those ,"
"[45:38] me013 | uh there 's a network services and applications group here who 's agreed to have their meetings recorded ,"
[45:43] fe016 | Great .
[45:44] me013 | and we 're gonna start recording them . They 're They meet on Tuesdays . We 're gonna start recording them next week .
"[45:49] me013 | So actually , we 're gonna h start having a a pretty significant chunk and"
"[45:52] me013 | so , you know , Adam 's sort of struggling with trying to get things to be less buggy , and come up quicker when they do crash and stuff things like that ,"
[46:00] me013 | now that uh the things are starting to happen .
"[46:02] me013 | So right now , yeah , I th I 'd say the data is predominantly meeting meetings ,"
"[46:14] me013 | i if we 're if we collect fifty or sixty hours , the meeting meetings it will probably be , you know , twenty or thirty percent of it , not not not eighty or ninety . But ."
"[46:22] fe016 | So there 's probably there 's three to four a week ,"
[46:25] me011 | That 's what we 're aiming for .
[46:26] me013 | Yeah .
[46:27] fe016 | And they 're each about an hour or something .
"[46:29] me013 | Yeah , yeah ."
[46:29] me011 | Although Yeah .
[46:32] fe016 | So OK .
"[46:33] me013 | Yeah and th the the other thing is I 'm not pos I 'm sort of thinking as we 've been through this a few times ,"
"[46:39] me013 | maybe you wanna do it once for the novelty ,"
[46:41] me013 | but I don't know if in general we wanna have meetings that we record from outside this group do the digits .
[46:47] me011 | Right .
"[46:48] me013 | Because it 's just an added bunch of weird stuff . And , you know , we we h we 're highly motivated ."
[46:49] fe016 | Yeah .
"[46:57] me011 | Actually that 's something I wanted to ask , is I have a bunch of scripts to help with the transcription of the digits ."
[47:02] me013 | Yeah .
[47:03] me011 | We don't have to hand - transcribe the digits because we 're reading them and I have those .
[47:06] me013 | Yeah .
[47:07] me011 | And so I have some scripts that let you very quickly extract the sections of each utterance . But I haven't been ru I haven't been doing that .
"[47:15] me011 | Um , if I did that ,"
"[47:19] me013 | Uh , yeah , I I think"
"[47:20] me011 | I mean , is it something of interest ?"
"[47:20] me013 | definitely s so Absolutely . Yeah , whoever we have working on"
[47:22] mn017 | Hmm .
[47:22] me011 | OK .
[47:25] me013 | the acoustics for the Meeting Recorder are gonna start with that .
"[47:25] me011 | I mean , I"
"[47:27] me011 | I 'm I 'm interested in it , I just don't have time to do it now ."
[47:30] me011 | So
[47:33] mn017 | this uh reading of the numbers would be extremely helpful to do um adaptation . Um .
[47:38] me011 | Yep .
[47:39] me011 | Yep .
[47:40] fe016 | Actually I have o @ @
"[47:41] me011 | I I would really like someone to do adaptation . So if we got someone interested in that , I think it would be great for Meeting Recorder ."
[47:42] mn017 | Mm - hmm .
"[47:51] me013 | to Don about , is one of the possible things he could do or m also , we could have someone else do it ,"
[47:51] mn017 | Mm - hmm .
"[47:55] me013 | is to do block echo cancellation ,"
[47:57] me013 | to try to get rid of some of the effects of the the the far - field effects .
[48:01] mn017 | Mm - hmm .
"[48:04] me013 | the party line has been that echo cancellation is not the right way to handle the situation because people move around ,"
[48:17] mn017 | Mm - hmm .
"[48:26] me013 | Someone may be moving enough that you are not able to adapt quickly and so the tack that we 've taken is more "" lets come up with feature approaches and multi - stream approaches and so forth , that will be robust to it for the recognizer and not try to create a clean signal "" ."
[48:29] mn017 | Mm - hmm .
"[48:40] me013 | Uh , that 's the party line ."
[48:41] me013 | But it occurred to me a few months ago that uh
"[48:46] me013 | good to sort of test them , actually . And so we haven't had anybody try to do a good serious job on echo cancellation and"
[48:53] me013 | we should know how well that can do . So
"[48:55] me013 | that 's something I 'd like somebody to do at some point , just take these digits , take the far - field mike signal , and the close"
"[49:01] me013 | uh mike signal , and apply really good echo cancellation . Um ,"
[49:05] mn017 | Hmm .
[49:06] me013 | there was a have been some nice talks recently by by Lucent on on their b
"[49:17] me013 | And um ,"
"[49:19] me013 | you know , th"
[49:20] me018 | the artifact you try to you 're trying to get rid of when you do that ?
"[49:28] me013 | Uh , what 's the difference in If you were trying to construct a linear filter ,"
[49:34] mn017 | I 'm signing off .
[49:38] me013 | the um
[49:40] me013 | uh parts of the signal that were the aspects of the signal that were different between the close - talk and the distant .
"[49:46] me013 | You know , so so uh"
[49:48] me013 | um
"[49:59] me013 | Yeah , so you 're trying to So you 'd There 's a a distance between the close and the distant mikes so there 's a time delay there ,"
"[50:06] me013 | and after the time delay , there 's these various reflections ."
[50:10] me013 | And if you figure out well what 's the there 's a a least squares algorithm that adjusts itself adjusts the weight so that you try to subtract essentially to subtract off uh different uh different reflections .
[50:24] me013 | you had some uh some delay in a satellite connection or something and then there 's a there 's an echo . It comes back .
[50:31] me013 | And you want to adjust this filter so that it will maximally reduce the effect of this echo .
[50:36] me018 | So that would mean like if you were listening to the data that was recorded on one of those .
"[50:40] me018 | Uh , just the raw data , you would you might hear kind of an echo ?"
[50:44] me018 | And and then this noise cancellation would get
"[50:45] me013 | Well , I 'm I 'm I 'm saying That 's a simplified version of what 's really happening . What 's really happening is Well , when I 'm talking to you right now ,"
"[50:53] me013 | you 're getting the direct sound from my speech , but you 're also getting ,"
"[50:56] me013 | uh , the indirect sound that 's bounced around the room a number of times ."
[51:00] me013 | OK ?
"[51:10] me013 | not to try to completely remove it , that is , invert the the room response , but just"
[51:14] me013 | to try to uh uh eliminate some of the the effect of some of the echos .
"[51:18] me013 | Um , a number of people have done this so that , say , if you 're talking to a speakerphone ,"
"[51:22] me013 | uh it makes it more like it would be , if you were talking right up to it ."
[51:26] me013 | So this is sort of the st the straight - forward approach .
[51:29] me013 | You say I I I want to
"[51:32] me013 | use this uh this item but I want to subtract off various kinds of echos . So you construct a filter ,"
[51:38] me013 | and you have this this filtered version uh of the speech
[51:42] me013 | um gets uh uh gets subtracted off from the original speech .
[51:47] me013 | Then you try to you try to minimize the energy in some sense .
[51:54] me013 | uh with some constraints .
"[51:54] me018 | Kind of a clean up thing , that OK ."
"[51:55] me013 | It 's a clean up thing . Right . So ,"
"[51:57] me013 | echo cancelling is is , you know , commonly done in telephony ,"
[52:01] me013 | and and and
"[52:02] me013 | it 's sort of the obvious thing to do in this situation if you if , you know ,"
[52:07] me013 | you 're gonna be talking some distance from a mike .
"[52:12] me018 | I would have meetings with the folks in Cambridge when I was at BBN over the phone ,"
"[52:17] me018 | some kind of a special speaker phone and when they would first connect me ,"
[52:21] me018 | it would come on and we 'd hear all this noise .
[52:24] me013 | Yeah .
"[52:24] me018 | And then it was uh And then it would come on and it was very clear , you know ."
"[52:27] me013 | Right . So it 's taking samples , it 's doing adaptation , it 's adjusting weights , and then it 's getting the sum ."
"[52:33] me013 | So um ,"
[52:39] me013 | and the digits would be a reasonable thing
"[52:42] me013 | to do that with . I think that 'd be enough data plenty of data to do that with , and"
[52:45] me013 | i for that sort of task you wouldn't care whether it was uh large vocabulary speech or anything . Uh .
"[52:52] fe008 | Is Brian Kingsbury 's work related to that , or is it a different type of reverberation ?"
[52:56] me013 | Um
[52:57] me013 | Brian 's Kingsbury 's work is an example of what we did
"[53:01] me013 | f f from the opposite dogma . Right ? Which is what I was calling the "" party line "" , which is that"
"[53:06] me013 | uh doing that sort of thing is not really what we want . We want something more flexible ,"
[53:16] me013 | There 's also um
"[53:17] me013 | oh yeah , noise . So the echo cancellation does not really allow for noise ."
"[53:23] me013 | It 's if you have a clean situation but you just have some delays ,"
[53:26] me013 | Then we 'll figure out the right the right set of weights for your taps for your filter in order to produce the effect of those those echos .
[53:33] me013 | But um
"[53:35] me013 | if there 's noise , then the very signal that it 's looking at"
[53:43] me013 | right delayed signal is is is uh is incorrect .
"[53:46] me013 | And so , in a noisy situation ,"
"[53:54] me013 | and really long delays , it 's it 's sort of typically impractical ."
"[53:58] me013 | So for those kind of reasons ,"
"[54:00] me013 | and also a a c a complete inversion , if you actually I mentioned that it 's kind of hard to really do the inversion of the room acoustics ."
"[54:07] me013 | Um , that 's difficult because um"
"[54:20] me013 | the system transfer function is such that when it 's inverted you get something that 's unstable ,"
"[54:25] me013 | and so , if you you do your estimate of what the system is , and then you try to invert it , you get a filter that actually uh , you know ,"
"[54:41] me013 | all sorts of reasons why it 's not really practical . So for all those kinds of reasons , uh we we we sort of"
"[54:47] me013 | um , concluded we didn't want to in do inversion , and we 're even pretty skeptical of echo cancellation , which isn't really inversion ,"
"[54:53] me013 | and um we decided to do this approach of taking uh , just picking"
"[55:02] me013 | uh will give you more something that was more stable , in the presence of , or absence of , room reverberation , and that 's what Brian was trying to do ."
"[55:11] me013 | So , um , let me just say a couple things that I was I was gonna"
[55:16] me013 | bring up . Uh .
"[55:18] me013 | Let 's see . I guess you you actually already said this thing about the uh about the consent forms ,"
"[55:29] fe008 | The a apparently I mean , we 're gonna do a revised form , of course . Um"
"[55:34] fe008 | but once a person has signed it once , then that 's"
[55:38] fe008 | valid for a certain number of meetings . She wanted me to actually estimate how many meetings and put that on the consent form .
[55:44] fe008 | I told her that would be a little bit difficult to say . So I think
"[55:47] fe008 | from a s practical standpoint , maybe we could have them do it once every ten meetings , or something . It won't be that many people who do it that often , but um just , you know , so long as they don't forget that they 've done it , I guess ."
[55:59] me013 | OK .
"[56:01] me013 | Um , back on the data thing , so there 's this sort of one hour , ten hour , a hundred hour sort of thing that that we have ."
[56:08] me013 | We have we have an hour
"[56:10] me013 | uh that that is transcribed , we have we have twelve hours that 's recorded but not transcribed ,"
[56:25] fe016 | Not really . It 's three to four per week .
[56:37] me018 | Three hours .
[56:38] fe016 | Yeah .
[56:39] me013 | thirty hours ?
"[56:40] fe016 | I mean , is there I know this sounds tough but we 've got the room set up . Um"
[56:45] fe016 | I was starting to think of some projects where you would use
"[56:50] fe016 | well , similar to what we talked about with uh"
[56:52] fe016 | energy detection on the close - talking mikes . There are a number of
"[56:56] fe016 | interesting questions that you can ask about how interactions happen in a meeting , that don't require any transcription . So what are the patterns , the energy patterns over the meeting ?"
[57:05] me011 | Mm - hmm .
[57:06] fe016 | And I 'm really interested in this
[57:09] fe016 | but we don't have
"[57:10] fe016 | a whole lot of data . So I was thinking , you know , we 've got the room set up"
"[57:15] fe016 | and you can always think of , also for political reasons , if ICSI collected"
[57:25] me013 | But I don't think we 're gonna stop at the end of this semester .
"[57:28] me013 | Right ? So , I th I think that if we are able to keep that up"
"[57:31] me013 | for a few months , we are gonna have more like a hundred hours ."
"[57:35] fe016 | I mean , is there Are there any other meetings here that we can"
"[57:38] fe016 | record , especially meetings that have some kind of conflict in them or some kind of deci"
[58:00] me011 | I think it 's hard to record those .
[58:02] fe016 | To be allowed to record them ? OK .
[58:02] me011 | Mm - hmm .
[58:03] fe008 | It 's also likely that people will cancel out afterwards . But I but I wanted to raise the KPFA idea .
"[58:06] fe016 | OK . Well , if there is , anyway ."
"[58:08] me013 | Yeah , I was gonna mention that ."
"[58:09] me011 | Oh , that 's a good idea . That 's That would be a good match ."
[58:11] fe008 | Yeah .
[58:18] me013 | that uh there 's uh It it oc it occurred to me that we might be able to get some additional data
[58:24] me013 | by talking to uh acquaintances in local broadcast media .
"[58:35] me013 | that that uh it 's just set up however they have it set up and we don't have any say about it and it 's typically one microphone ,"
[58:38] fe016 | Mm - hmm .
"[58:42] me013 | in a , uh , uh or and and so it doesn't really give us the the the uh characteristics we want ."
[58:43] fe016 | Mm - hmm .
[58:48] me013 | Um and so I do think we 're gonna continue recording here and record what we can .
"[58:52] me013 | But um , it did occur to me that we could go to friends in broadcast media and say "" hey you have this panel show , or this you know , this discussion show , and um can you record multi - channel ? """
[59:05] me013 | And uh they may be willing
"[59:11] me013 | Well , they probably already use lapel , but they might be able to have it it wouldn't be that weird for them to have another mike that was somewhat distant . It wouldn't be exactly this setup ,"
[59:17] fe016 | Right .
"[59:19] me013 | but it would be that sort of thing ,"
[59:20] fe016 | Hunh .
[59:24] me013 | als also is not going to be this exact setup .
"[59:26] fe016 | Right . No , I think that 'd be great ,"
[59:28] fe016 | if we can get more data .
[59:29] me013 | I I I I was thinking of looking into that .
"[59:31] me013 | the other thing that occurred to me after we had that discussion , in fact , is that it 's even possible , since of course , many"
[59:39] me013 | uh that we could invite them to have
[59:42] me013 | like some of their record some of their shows here .
[59:45] fe008 | Wow !
"[59:50] me011 | Right , as we are ."
[59:51] me013 | Right .
"[59:52] fe016 | Um , I think that 'd be fantastic cuz those kinds of panels and Those have interesting"
[59:57] me013 | Yeah .
[00:06] me013 | I 'll talk to you more about it later is that is that there 's there 's uh
[00:09] me013 | the radio stations and television stations already have stuff worked out
"[00:16] me013 | presumably ,"
[00:19] fe016 | Mm - hmm .
"[00:25] me013 | uh , it 's So it 's so it 's another source . So I think"
"[00:29] me013 | it 's something we should look into , you know , we 'll collect what we collect here hopefully they will collect more at UW also"
[00:35] me013 | and um and maybe we have this other source . But yeah I think that it 's not unreasonable to aim at
"[00:41] me013 | getting , you know , significantly in excess of a hundred hours . I mean , that was sort of our goal ."
[00:44] fe016 | Mm - hmm .
[00:47] me013 | @ @
"[00:47] me013 | in the under this controlled situation we could at least collect , you know , thirty to fifty hours ."
[00:53] me013 | And at the rate we 're going we 'll get pretty close to that I think this semester .
"[00:57] me013 | And if we continue to collect some next semester , I think we should ,"
"[01:01] fe016 | Right . Yeah I was mostly trying to think , "" OK , if you start a project ,"
"[01:06] fe016 | within say a month , you know , how much data do you have to work with . And you you wanna s you wanna sort of fr freeze your your data for awhile"
[01:15] fe016 | so um
[01:16] fe016 | right now and we don't have the transcripts back yet from IBM right ?
[01:25] me013 | Yeah .
[01:30] me011 | Right .
[01:33] fe016 | Right .
"[01:38] fe016 | Right , right ."
"[01:38] me013 | and and uh and meanwhile we collect , and it 's more like yeah , three months from now , or six months from now you can you can do a lot of other things ."
"[01:45] fe016 | Cuz I 'm not actually sure , just logistically that I can spend you know , I don't wanna charge the time that I have on the project too early , before there 's enough data to make"
[01:54] fe016 | good use of the time . And that 's and especially with the student
[01:54] me011 | Right .
[01:57] me013 | Yeah .
"[01:59] fe016 | Uh anyway , I shouldn't say too much , but um if someone came that was great and wanted to do some real work and they have to end by the end of this school year in the spring , how much data will I"
[02:11] me011 | Right .
"[02:11] me013 | i Yeah , so I would think , exploratory things now ."
"[02:16] me013 | Um , I mean the transcriptions I think are a bit of an unknown cuz we haven't gotten those back yet as far as the timing ,"
"[02:21] me013 | but I think as far as the collection , it doesn't seem to me l like ,"
"[02:25] me013 | uh , unreasonable to say that"
[02:27] me013 | uh in
"[02:29] me013 | January , you know , ro roughly uh which is roughly three months from now ,"
[02:33] fe016 | Hmm .
"[02:33] me013 | we should have at least something like , you know , twenty - five , thirty hours ."
[02:34] me011 | @ @
"[02:40] fe008 | Yeah , we need to I think that there 's a possibility that the transcript will need to be adjusted afterwards , and uh"
[02:44] me011 | Yep .
[02:46] fe008 | es especially since these people won't be
[02:46] fe016 | Right .
[02:46] me013 | Yeah .
[02:48] fe008 | uh used to dealing with multi - channel uh transcriptions . So I think that we 'll need to adjust some And also if we wanna add things like
[02:51] fe016 | Right .
"[02:56] fe008 | um , well , more refined coding of overlaps , then definitely I think we should count on having an extra pass through ."
"[03:03] fe008 | I wanted to ask another a a aspect of the data collection . There 'd be no reason why a person couldn't get together several uh , you know , friends , and come and argue about a topic if they wanted to , right ?"
"[03:14] me013 | If they really have something they wanna talk about as opposed to something @ @ I mean ,"
[03:22] me013 | Why not ? Yeah .
"[03:25] fe008 | You could do this , you know . You could ."
"[03:29] fe016 | if you ha If there are meetings here that happen that we can record even if we don't um have them do the digits , or maybe have them do a shorter digit thing like if it was , you know ,"
[03:38] me011 | We don't have to do the digits at all if we don't want to .
"[03:39] fe016 | uh , one string of digits , or something , they 'd probably be willing to do ."
"[03:43] fe016 | Then , having the data is very valuable , cuz I think it 's"
[03:47] fe016 | um
"[03:48] fe016 | politically better for us to say we have this many hours of audio data , especially with the ITR , if we put in a proposal on it . It 'll just look like ICSI 's collected a lot more"
"[03:57] fe016 | audio data . Um , whether it 's transcribed or not"
[04:03] fe016 | there are research
"[04:05] fe016 | questions you can answer without the transcriptions , or at least that you can start to answer ."
[04:08] me011 | Yep .
"[04:09] fe008 | It seems like you could hold some meetings . You know , you and maybe Adam ? You you could you could maybe hold some additional meetings , if you wanted ."
[04:10] fe016 | So .
"[04:14] me018 | Would it help at all I mean , we 're already talking about sort of two"
[04:18] me018 | levels of detail in meetings . One is uh
[04:21] me018 | um
"[04:24] me018 | Or , I guess the full - blown one is where you do the digits , and everything , and then talk about doing it without digits , what if we had another level , just to collect data , which is without the headsets and we just did the table - mounted stuff ."
[04:36] fe016 | Need the close - talking mikes .
"[04:37] me018 | You do , OK ."
[04:38] me013 | Yeah . Yeah .
"[04:42] fe016 | Um or at least , like , me personally ? I would I couldn't use that data ."
"[04:43] me018 | I see , OK ."
[04:43] me013 | Yeah .
"[04:47] fe008 | I agree . And Mari also , we had This came up when she she was here . That 's important ."
[04:47] fe016 | Um .
"[04:50] fe016 | So it 's a great idea , and if it were true than I would just do that , but it 's not that bad like the room is not the bottleneck , and we have enough time in the room , it 's getting the people to come in and put on the and get the setup going ."
"[05:03] me013 | by the way , I don't think the transcriptions are actually , in the long run , such a big bottleneck . I think the issue is just that we 're we 're blazing that"
[05:14] me013 | d Do you have any idea when when uh the you 'll be able to send uh the ten hours to them ?
[05:21] me013 | Yeah .
[05:24] me013 | Yeah .
