[00:38] me012 | Nice .
[28:54] mn015 | How do you write the code or do you actually never have to write any code there ?
[28:54] me003 | The c
[28:57] me012 | Yeah . There is actually a text file that you can edit .
[29:00] me012 | But it 's You don't have to do that .
[29:02] me003 | There 's like an XML format for Bayes - nets .
[29:05] me012 | Is it XML ?
[29:06] me003 | The - there is one . I don't know if this uses it .
"[29:07] me012 | Oh , I see . No this doesn't use it ."
[29:09] me012 | I didn't think it did .
[29:12] me012 | You can look at the text file .
[29:13] me003 | Yeah .
[29:13] me012 | But do you have it here ?
"[29:14] me012 | Well , maybe you don't ."
"[29:14] me003 | Uh , yes I do actually . Let me see ."
[29:19] me003 | Is there an ampersand in DOS ?
[29:21] me012 | Nope . Just s l start up a new DOS .
[29:23] me003 | We - That 's alright . I can probably double cli click on it .
"[29:26] me012 | Or Yeah , right ."
[29:30] me003 | Let 's see .
[29:34] me012 | Yep .
"[29:37] me003 | Let 's see , come on ."
[29:40] me012 | what you want to open it with and see
"[29:42] me012 | what BAT , I guess ."
"[29:43] me003 | One of these days , it should open this , theoretically ."
[29:45] mn015 | Go Right mouse .
[29:48] mn015 | Open with .
[29:52] me012 | That 's Oh !
[29:52] me003 | Oh there we go .
[29:54] me003 | Oh ! W
[29:54] mn015 | Oh .
"[29:55] me003 | Ah , it was dead ."
[30:02] me003 | OK .
[30:03] mn015 | Through the old Notepad . That 's my favorite editor .
[30:06] mn015 | Wordpad ?
"[30:09] me003 | the returns , the carriage returns on some of them ."
"[30:12] me003 | You know how they get "" auto - fills "" I guess , or whatever you call it ."
[30:14] mn015 | Mmm - hmm .
"[30:15] me012 | Anyway , there it is ."
[30:18] mn015 | So this is sort of LISP - y ?
[30:21] mn015 | No .
"[30:21] me012 | Uh , Yeah ."
[30:23] me003 | It just basically looks like it just specifies a bunch of STRUCTs.
[30:25] mn015 | Mm - hmm .
[30:30] me003 | Yeah .
[30:30] fe004 | Mm - hmm .
[30:32] fe004 | Mm - hmm .
[30:34] fe004 | Mm - hmm .
[30:34] me012 | But they 're not very friendly .
[30:37] fe004 | Right .
[30:39] fe004 | The layout of the table . Yeah .
[30:39] me012 | Like you have to go and Yeah .
[30:41] me003 | Actually we could write a program that could generate this .
[30:43] me012 | Yeah .
[30:44] me012 | I think so .
[30:45] fe004 | You could .
"[30:47] me012 | Yeah we can maybe write an interface th for uh entering probability distributions easily ,"
[30:53] me012 | That might be worth it .
[30:56] mn015 | And that might do .
[30:56] fe004 | Yeah . I actually seem to recall Srini complaining about something to do with Entering probability so this is probably
[31:01] me012 | The other thing is it is in Java so .
"[31:01] fe004 | Yeah , it 's Yeah ."
[31:05] fe004 | Yeah .
[31:07] mn015 | Do you have the true source files or just the class ?
"[31:09] me012 | Yeah . Uh , yeah . we do"
[31:12] fe004 | Mm - hmm .
[31:13] me003 | I didn't e
[31:14] me012 | Yeah . Go up one ?
[31:15] me003 | Up one .
[31:17] me012 | Yeah .
[31:20] me003 | That 's that 's quite nice .
[31:25] mn015 | Mm - hmm .
"[31:28] me012 | It 's , like , friendly , it allows you enter things well ."
[31:28] fe004 | The d
[31:29] fe004 | the data tables .
[31:31] fe004 | Yeah .
[31:34] me003 | Right .
"[31:40] mn015 | I mean it just reads this , right ? When it starts ."
[31:41] me012 | Mm - hmm .
[31:42] me003 | Yeah I know there is an I was looking on the we web page and he 's updated it for an XML version of I guess Bayes - nets . There 's a Bayes - net spec for in XML .
[31:48] mn015 | Mm - hmm .
"[31:49] me012 | He 's Like this guy has ? The JavaBayes guy ? So but , e he doesn't use it . So in what sense has he updated it ?"
[31:51] me003 | Yeah .
[31:55] me003 | Well th you can either you ca or you can read both .
[31:57] me012 | Oh . I see .
[31:57] me003 | To my understanding .
[31:58] me012 | OK . That would be awesome .
[31:58] fe004 | Oh .
"[32:02] me003 | I could have misread the web page , I have a habit of doing that , but ."
"[32:09] mn015 | OK , wonderful ."
[32:09] me012 | OK .
[32:11] mn015 | So you got more slides ?
[32:13] me003 | Do I have more slides ?
"[32:17] me003 | Um yes , one more . "" Future Work "" . I think every presentation have a should have a "" Future Work "" slide ."
"[32:24] me003 | But uh it 's basically we already talked about all this stuff , so ."
[32:34] me003 | Uh that 's future future work .
[32:35] me012 | That 's Yeah .
[32:37] me003 | Right .
[32:37] me012 | Very future .
[32:41] mn015 | Mm - hmm .
"[32:41] me003 | And of course if you have a presentation that doesn't have something that doesn't work at all , then you have "" What I learned "" ,"
[32:47] me003 | as a slide .
[32:50] fe004 | Can't you have both ?
[32:52] me003 | You could .
[32:55] me003 | My first approach failed .
"[32:58] me003 | What I learned . OK , so I think that uh our presentation 's finished ."
[33:03] mn015 | Good .
"[33:07] me003 | I know what I like about these meetings is one person will nod , and then the next person will nod , and then it just goes all the way around the room ."
[33:21] mn015 | It 's like yawning .
[33:21] fe004 | It 's like yawning .
[33:23] mn015 | And this announcement was in stereo .
[33:24] me012 | Ha .
[33:25] mn015 | OK .
[33:28] me003 | Should I pull up the net again ? Yes .
[33:32] me003 | There we go .
[33:36] me003 | And actually I was cuz I got a wireless mike on .
"[33:54] fe004 | um , there might be other cues that , say , um ,"
[33:57] fe004 | in the last few utterances
[34:06] mn015 | Mm - hmm .
"[34:07] fe004 | uh , and and into that node would be various various things that that could have specifically come up ."
[34:18] mn015 | um it gets you thinking along these terms is that maybe
[34:21] mn015 | we ob we could observe a couple of
[34:24] mn015 | um
[34:26] mn015 | discourse phenomena
[34:28] mn015 | such as
"[34:29] mn015 | the admission fee , and"
"[34:32] mn015 | something else and something else , that happened in the discourse before ."
[34:36] fe004 | Right .
[34:38] mn015 | let 's make those four .
[34:45] mn015 | So maybe this could be sort of a separate
"[34:48] mn015 | region of the net ,"
"[34:54] mn015 | Maybe this , you know , has some kind of um ,"
[34:59] mn015 | funky thing that di if this and this may influence
[35:02] mn015 | these hidden nodes of the discourse which is maybe something
"[35:06] mn015 | that is uh ,"
[35:09] mn015 | a more general version of the actual
[35:21] fe004 | Exactly . Yeah .
"[35:22] me003 | "" admission fee "" , or maybe , you know , "" how much to enter "" or you know something , other cues . Exactly ."
[35:26] fe004 | Opening hours or something like that .
[35:28] me003 | That would all f funnel into one node that would constitute entrance requirements or something like that .
[35:33] fe004 | Mm - hmm .
[35:36] mn015 | uh uh d
[35:36] me012 | Sure . Yeah .
[35:36] mn015 | Yeah ?
"[35:36] fe004 | I mean it sort of get into plan recognition kinds of things in the discourse . I mean that 's like the bigger um ,"
[35:41] mn015 | Exactly . Yeah ? And then maybe there are some
"[35:44] mn015 | discourse acts if they happened before ,"
[35:47] mn015 | um it 's more for um
[35:50] mn015 | a cue that the person actually wants to get somewhere else and that you are in a in a in a route
"[35:55] mn015 | um , sort of proceeding"
"[35:58] mn015 | past these things , so this would be just something that where you"
[36:02] mn015 | want to
[36:04] mn015 | pass it . Hmm ?
[36:06] mn015 | Is that it ?
[36:10] mn015 | However these are of course then
"[36:14] mn015 | the nodes , the observed nodes , for your middle layer ."
"[36:19] mn015 | So this again points to "" final destination "" , "" doing business "" , "" tourist hurry "" and so forth ."
[36:23] fe004 | Mm - hmm .
[36:24] me003 | OK .
[36:26] mn015 | Yeah ?
"[36:26] mn015 | And so then we can say , "" OK . we have a whole region """
[36:31] mn015 | in a e
"[36:33] mn015 | Yeah , exactly . And this is just then just one ."
"[36:35] mn015 | So e because at the end the more we um add ,"
"[36:38] mn015 | you know , the more spider - web - ish it 's going to become in the middle and the more of hand editing . It 's going to get very ugly ."
"[36:44] mn015 | But with this way we could say "" OK , these are the discourse phenomena . They ra may have there own hidden layer"
[36:53] mn015 | um or the general hidden layer .
[36:55] mn015 | And the same we will be able to do for
"[36:58] mn015 | syntactic information , the verbs used , the object types used , modifiers ."
[37:03] mn015 | And maybe there 's a hidden layer
[37:04] me012 | Yep .
[37:05] mn015 | for that . And so forth and so forth . Then we have context .
[37:07] me012 | Yeah . So essentially a lot of those nodes can be expanded into little Bayes - nets of their own .
[37:11] mn015 | Yep .
[37:13] fe004 | Mm - hmm .
[37:13] mn015 | Precisely .
[37:19] mn015 | So .
[37:19] me003 | One thing that 's kind of been bugging me
[37:27] me003 | there 's a complete separation between the observed features and in the output .
[37:31] me012 | Yeah .
"[37:34] me003 | I mean , it makes it cleaner , but then uh I mean ."
[37:34] me012 | That 's true .
[37:36] me003 | For instance if
"[37:38] me003 | the discourse does well for instance , the "" discourse admission fee "" node"
[37:38] fe004 | What do you mean by that ?
[37:41] fe004 | Uh - huh .
"[37:42] me003 | seems like it should point directly to the or increase the probability of "" enter directly "" versus "" going there via tourist "" ."
"[37:51] me012 | Yeah . Or we could like add more , uh ,"
[37:53] me012 | sort of middle nodes . Like we could add a node like
"[37:56] me012 | do they want to enter it , which is affected by admission fee and by whether it 's closed and by whether it has a door ."
[37:59] mn015 | Mm - hmm .
[38:02] me003 | Right .
[38:03] me012 | There are Those are the two options . Either like make an arrow directly or put a new node .
[38:05] fe004 | Hmm .
"[38:05] me003 | Yeah , that makes sense ."
[38:07] mn015 | Yeah .
[38:09] mn015 | If you could connect it too hard you may get such phenomenon that like
"[38:13] mn015 | "" So how much has it cost to enter ? "" and the answer is two hundred fifty dollars ,"
[38:18] mn015 | and then the persons says
"[38:19] mn015 | um "" Yeah I want to see it . """
[38:22] mn015 | Yeah ?
[38:26] me003 | There are places in Germany where it costs two hundred fifty dollars to enter ?
"[38:30] mn015 | Um , nothing comes to mind ."
"[38:33] mn015 | Without thinking too hard . Um , maybe , yeah of course , um opera premiers ."
[38:39] me003 | Really ?
[38:40] mn015 | So you know .
[38:41] fe004 | Hmm .
[38:42] mn015 | Or or any good old Pink Floyd concert .
[38:42] me003 | I see .
"[38:44] me003 | If you want to see "" The Magic Flute "" or something ."
[38:45] mn015 | Yeah .
"[38:46] fe004 | Or maybe um , a famous restaurant . or , I don't know . There are various things that you might w not want to eat a meal there but your own table ."
[38:49] me003 | The Spagos of Heidelberg .
[38:53] mn015 | I think that the h I mean nothing beats the the admission charge prices in Japan .
"[38:58] mn015 | So there , two hundred dollars is is moderate for getting into a discotheque ."
[39:02] mn015 | You know .
[39:03] me012 | Really .
"[39:03] mn015 | Then again ,"
[39:04] mn015 | everything else is free then once you 're ins in there .
[39:06] mn015 | Food and drink and so forth . So .
[39:08] mn015 | I mean .
[39:15] mn015 | is s
"[39:19] mn015 | still ,"
[39:21] me003 | Hmm .
[39:21] mn015 | based on that result is never going to enter that building . You know ? Because it 's just too expensive .
"[39:28] me003 | Oh yeah , I think I see ."
"[39:29] me003 | So the discourse refers to "" admission fee "" but it just turns out that"
[39:33] me003 | they change their mind in the middle of the discourse .
[39:39] me003 | Right .
[39:40] mn015 | Mm - hmm .
"[39:46] fe004 | whatever general uh , other other discourse processing that might be happen . I mean ."
[39:50] mn015 | Mm - hmm .
"[39:58] mn015 | It works like this . The uh ,"
[40:03] mn015 | I mean .
[40:06] mn015 | already the intention is sort of t
"[40:08] mn015 | They tried to figure out the intention , right ?"
[40:09] mn015 | simply by parsing it .
[40:12] mn015 | And this um m
"[40:13] mn015 | won't differentiate between all modes , yeah ?"
"[40:19] mn015 | somebody that wants to go someplace , now it 's up for us to figure out"
"[40:23] mn015 | what kind of going there is is is happening ,"
"[40:27] mn015 | and um , if the discourse takes a couple of turns before everything all the information is needed ,"
"[40:32] mn015 | what happens is you know the parser parses it and then it 's handed on to the discourse history which is ,"
"[40:40] mn015 | elaborate modules . It 's it 's actually the the whole memory of the entire system ,"
"[40:52] mn015 | and it fills in all the structures that are omitted ,"
"[40:58] mn015 | because you say "" OK , how can I get to the castle ?"
"[41:00] mn015 | "" Oh , how how much is it ? """
"[41:07] mn015 | to g let 's do it "" and so forth ."
[41:11] mn015 | anaphora somebody has to make sure that
[41:13] mn015 | information we had earlier on is still here .
[41:17] me003 | Mm - hmm .
[41:17] mn015 | Because not every module keeps a memory of everything that happened .
"[41:21] mn015 | so whenever the uh ,"
"[41:23] mn015 | um person is not actually rejecting what happened before ,"
[41:26] mn015 | so as in
"[41:27] mn015 | "" No I really don't want to see that movie ."
"[41:30] mn015 | I 'd rather stay home and watch TV """
[41:34] mn015 | What movie was selected in what cinema in what town is is going to be sort of
[41:38] mn015 | added into the disc into the representations
"[41:44] mn015 | discourse model , Yeah , that 's what it 's called ."
"[41:47] mn015 | and , um , it does some help in the anaphora resolution and it also helps in coordinating"
"[41:54] mn015 | the gesture screen issues . So a person pointing to something on the screen , you know ,"
[41:59] me003 | Hmm .
[42:11] mn015 | sort of It has a very clear interface . We can query it
[42:14] mn015 | whether admission fees were discussed in the last turn and and the turn before that or you know
[42:21] me003 | OK .
[42:27] mn015 | Um but
"[42:29] mn015 | try to keep in mind that ,"
"[42:30] mn015 | you know , we 're doing this sort of for research , so we we should find a limit"
"[42:34] mn015 | that 's reasonable and not go ,"
"[42:36] mn015 | you know ,"
[42:37] mn015 | all the way back to Adam and Eve .
[42:41] mn015 | fees in his entire life ?
[42:47] mn015 | concise and Anyway .
[42:56] fe004 | is thinking about the plans that various people might have .
"[43:03] fe004 | OK . This person is um ,"
"[43:30] fe004 | "" OK , wha what plans is this a consistent with ? """
[43:39] mn015 | Mm - hmm .
[43:41] me003 | Hmm .
[43:41] fe004 | figure out what knowl what knowledge representation would work for that .
[43:42] mn015 | u u
[43:43] mn015 | It 's in the these these these plan schemas .
"[43:46] mn015 | I mean there are some some of them are extremely elaborate , you know ."
"[43:49] mn015 | "" What do you need need to buy a ticket ? "" You know ?"
[43:50] fe004 | Mm - hmm . Mm - hmm .
"[43:51] mn015 | and it it 's fifty steps , huh ?"
[43:53] fe004 | Mm - hmm .
"[43:54] mn015 | just for buying a ticket at a ticket counter ,"
"[44:00] mn015 | It 's amazing what human beings can do . W when we talked uh we had the example , you know , of you being uh a s a person on a ticket counter working at railway station and somebody r"
[44:11] mn015 | New York
[44:13] mn015 | and you say
"[44:14] mn015 | Track seven , huh ?"
"[44:15] mn015 | And it 's because you know that that person actually is following ,"
"[44:19] mn015 | You execute a whole plan of going through a hundred and fifty steps ,"
"[44:22] mn015 | you know , without any information other than "" New York "" , huh ?"
"[44:26] mn015 | inferring everything from the context . So ,"
[44:28] mn015 | works .
"[44:31] mn015 | Um , even though there is probably no train from here to New York , right ?"
[44:35] fe004 | Mmm . Not direct .
[44:37] me003 | You 'd uh probably have to transfer in Chicago .
[44:39] mn015 | Mm - hmm .
[44:43] mn015 | But uh it 's possible .
"[44:44] mn015 | Um , no you probably have to transfer also somewhere else ."
[44:48] mn015 | Right ?
"[44:49] mn015 | Is that t San Francisco , Chicago ?"
[44:50] mn015 | Is that possible ?
"[44:53] me003 | One time I saw a report on trains ,"
[44:56] me003 | and I think there is a l
[44:57] me003 | I don't know if I thought there was a line that went from
"[45:00] me003 | somewhere , maybe it was Sacramento to Chicago , but there was like a California to Chicago line of some sort ."
[45:02] mn015 | Mm - hmm .
[45:03] mn015 | Hmm .
[45:06] me003 | I could be wrong though . It was a while ago .
[45:11] fe004 | I think it has to exist somewhere .
[45:12] me003 | They might have blown it up .
"[45:15] mn015 | Well it never went all the way , right ? I mean you always had to change trains at Omaha , right ?"
[45:17] fe004 | Well most of the way . Uh .
[45:19] mn015 | One track ended there and the other one started at five meters away from that
[45:20] fe004 | Mm - hmm . Yeah .
[45:27] mn015 | yeah ?
[45:29] mn015 | Has anybody ever been on an Amtrak ?
[45:32] fe004 | I have . But not transcontinentally .
[45:35] me012 | Yeah .
[45:35] me003 | I 'm frightened by Amtrak myself .
[45:38] me012 | What ? Why ?
[45:40] me003 | They seem to have a lot of accidents on the Amtrak .
[45:42] me012 | Really ?
[45:43] mn015 | Their reputation is very bad . huh ?
[45:43] me003 | Yeah .
[45:44] me003 | Yeah .
[45:45] mn015 | It 's not maybe reality .
[45:47] fe004 | Like German trains are really great so .
"[45:53] mn015 | which ones are safer ,"
"[45:54] mn015 | you know , statistically ."
"[45:54] fe004 | Um , but they 're faster ."
[45:56] me012 | @ @
[45:58] me012 | Yeah .
[45:58] mn015 | Much faster . Mm - hmm .
"[46:00] me012 | And there 's much more of them . Yeah , they 're"
"[46:03] me012 | Yeah , it 's way better"
[46:03] mn015 | yeah
[46:07] mn015 | and I was surprised .
[46:08] fe004 | Mm - hmm .
[46:08] mn015 | It was actually OK .
"[46:09] mn015 | You know , on Boston New York , New York Rhode Island , whatever , Boston ."
[46:09] fe004 | Yeah .
[46:11] me012 | Yeah .
[46:12] me012 | I 've done that kind of thing .
[46:13] fe004 | Mm - hmm .
[46:15] mn015 | Yeah .
[46:19] mn015 | That 's a different issue .
[46:21] me003 | This is going to be an interesting transcript .
[46:24] mn015 | Hmm ?
"[46:24] me012 | I I want to see what it does with uh "" landmark - iness "" ."
[46:28] me003 | Yeah .
[46:33] me012 | So .
[46:34] me003 | It 'd help it figure it out .
[46:35] fe004 | Right .
[46:36] me012 | Yeah .
"[46:54] fe004 | um , I don't know , entering or som you know like they might be more task - based ."
[46:57] me003 | Hmm .
[47:00] fe004 | m more than one way of organizing the variables into something so .
"[47:06] mn015 | What you guys did is really nicely sketching out different tasks ,"
[47:10] fe004 | Mm - hmm .
[47:10] mn015 | and maybe some of their conditions .
[47:12] mn015 | One task is more likely you 're in a hurry when you do that kind of s
[47:12] fe004 | Mm - hmm .
[47:31] mn015 | what might happen is that we do get this sort of task - based
[47:33] fe004 | Mm - hmm .
[47:35] fe004 | Mm - hmm .
"[47:35] mn015 | and then we 'll get these sub - middle layers , that are more cue - based ."
[47:38] fe004 | That feed into those ?
[47:39] mn015 | Nah ?
[47:39] fe004 | Mm - hmm .
[47:40] mn015 | Might be might be a nice dichotomy of of the world .
"[47:44] mn015 | So ,"
[47:46] mn015 | um
[47:52] mn015 | maybe throughout this week
"[47:54] mn015 | the three of us will will talk some more about maybe segmenting off different regions ,"
[47:59] mn015 | and we make up some some toy
[48:02] mn015 | a
[48:04] mn015 | observable
"[48:07] mn015 | "" nodes "" is that what th"
[48:08] me012 | OK .
[48:09] mn015 | What 's the technical term ?
[48:10] me012 | For which ?
"[48:13] mn015 | The "" outer layer "" ?"
[48:18] me012 | Yeah .
[48:25] mn015 | middle layer for those .
[48:30] me012 | Yeah .
[48:31] me003 | Basically just refine some of the
[48:34] mn015 | Yep .
"[48:34] me012 | Yeah , this is totally like The probabilities and all are completely ad - hoc . We need to look at all of them ."
[48:34] me003 | more general nodes .
"[48:43] me012 | I mean like , close to the end we were like , uh ,"
[48:59] fe004 | And That 's terrible .
[49:16] me012 | something to that effect .
"[49:22] me012 | Yeah , another thing to do , um , is also to , um I guess to ask around people about other Bayes - net packages ."
"[49:29] me012 | Is Srini gonna be at the meeting tomorrow , do you know ?"
[49:32] fe004 | Maybe .
[49:33] mn015 | The day after tomorrow . Wednesday .
[49:34] me012 | Day after tomorrow . Yeah .
[49:36] me012 | Maybe we can ask him about it .
[49:36] me003 | Who 's talking on Wednesday ?
[49:40] fe004 | Mmm .
"[49:41] me003 | J Jerry never sent out a sent out an email , did he , ever ?"
"[49:45] me012 | No . But he mentioned at the last meeting that someone was going to be talking , I forget who . Uh ."
"[49:49] mn015 | Oh , isn't Ben ?"
"[49:50] fe004 | Ben ? I think it 's Ben actually , yeah ,"
"[49:50] mn015 | Ben , then , Ben ."
[49:51] me003 | Ah !
"[49:53] fe004 | um ,"
[49:54] fe004 | giving his job talk I think .
[50:06] me003 | Yeah .
[50:09] mn015 | That will be one one thing we could do .
[50:17] me003 | Right .
[50:18] mn015 | I actually wanted to show that to you guys now but um .
[50:22] me003 | Do you want to trade ?
"[50:24] mn015 | I actually made a mistake because it it fell asleep and when Linux falls asleep on my machine it 's it doesn't wake up ever , so I had to reboot"
"[50:33] fe004 | Oh , no ."
"[50:34] mn015 | And if I reboot without a network , I will not be able to start SmartKom ,"
[50:44] me012 | But . OK . But once you start sart start SmartKom you can be on You don't have to be on a network anymore . Is that the deal ?
[50:50] mn015 | Yep .
"[50:51] me012 | Ah , interesting ."
[50:53] me003 | Why does SmartKom need a network ?
"[51:07] mn015 | you know , my computer does not know its IP address ,"
[51:09] mn015 | you know ?
[51:09] me003 | Ah .
[51:10] mn015 | You know . So .
[51:11] mn015 | Unless it boots up with networking .
[51:12] me003 | It 's plugged in . Yeah .
"[51:18] mn015 | they don't know who localhost is , and so forth and so forth ."
[51:22] fe004 | Hmm .
[51:25] mn015 | Always fun .
"[51:26] mn015 | But it 's a , um ,"
"[51:29] mn015 | simple solution . We can just um ,"
"[51:38] mn015 | oh yeah ,"
"[51:40] mn015 | um , data collection ."
"[51:42] mn015 | We interviewed Fey ,"
[51:44] fe004 | Mm - hmm .
"[51:45] mn015 | She 's willing to do it ,"
[51:48] mn015 | meaning be the wizard
"[51:52] mn015 | maybe transcribe a little bit , if she has to ,"
"[51:55] mn015 | but also recruiting subjects , organizing them , and so forth ."
"[52:06] mn015 | see whether she can actually do all the uh spontaneous , eloquent and creativeness that we uh expect of the wizard ."
[52:16] mn015 | And I talked to Liz about this and it looks as if Friday afternoon
[52:23] mn015 | will be the time when we have a first trial run
[52:26] me012 | So who would be the subject of this trial run ?
[52:26] mn015 | for the data .
[52:29] mn015 | Pardon me ?
"[52:34] mn015 | Um Liz also volunteered to be the first subject ,"
[52:37] fe004 | Good .
[52:38] mn015 | which I think might be even better than us guys .
"[52:41] me003 | One of us , yeah ."
"[52:42] mn015 | If we do need her for the technical stuff , then of course one of you has to sort of uh jump in ."
[52:52] me003 | you guys have successfully narrowed it down .
"[53:02] me012 | Well I just figured it has to be someone who 's , um ,"
"[53:04] me012 | familiar enough with the data to cause problems for the wizard ,"
"[53:06] me012 | so we can , uh , see if they 're you know"
[53:09] me012 | good .
[53:09] fe004 | Oh plants ? e u someone who can plant difficult
[53:13] me012 | Yeah .
"[53:13] me012 | I mean that 's what we wanna check , right ?"
[53:13] fe004 | things .
"[53:16] mn015 | Um ,"
[53:21] me012 | Isn't that what it is ?
"[53:23] mn015 | yes w we we would like to test the wizard ,"
"[53:26] mn015 | but you know , if we take a subject that is completely"
"[53:30] mn015 | unfamiliar with the task , or any of the set up , we get a more realistic"
[53:32] me012 | I guess that would be reasonable .
[53:34] fe004 | Yeah .
[53:35] me003 | Yeah .
[53:39] mn015 | Yeah .
[53:42] fe004 | That might be a little unfair .
[53:44] fe004 | Um .
[53:45] mn015 | Yeah .
"[53:46] fe004 | I 'm sure if we uh , You think there 's a chance we might need Liz for ,"
"[53:55] fe004 | um ,"
[53:55] fe004 | if we want another subject . You know . Like I can drag Ben into it or something .
"[53:56] mn015 | Yeah , yeah ."
[54:01] fe004 | Although he might cause problems but .
"[54:13] fe004 | So , is it a experimental setup for the"
"[54:15] me003 | I like that . "" Test the wizard . """
[54:17] me003 | I want that on a T - shirt .
[54:22] fe004 | determined ?
"[54:24] mn015 | experimental setup u on the technical issue yes , except we st"
"[54:28] mn015 | I think we still need uh a recording device for the wizard ,"
[54:31] fe004 | Mm - hmm .
"[54:33] mn015 | But um in terms of specifying the scenario ,"
[54:37] fe004 | Mm - hmm .
"[54:51] mn015 | So so if if on Friday it turns out that she really likes it and and we really like her ,"
[55:01] mn015 | getting all the details completely figured out .
[55:03] fe004 | Mm - hmm .
"[55:15] fe004 | will af affect Like we wanna we wanna be able to collect as much of the variables that are needed for that ,"
[55:22] fe004 | right ? in the course of the task ?
[55:25] fe004 | Well not all of them but you know .
"[55:31] mn015 | This this Tango , Enter , Vista is sort of , itself , an ad - hoc scenario ."
[55:34] fe004 | Mm - hmm .
[55:38] fe004 | Mm - hmm .
[55:44] mn015 | data collection was the following .
[55:52] fe004 | Mm - hmm .
[55:54] mn015 | Hardly anything complicated .
[55:56] mn015 | No metaphors whatsoever .
[55:57] fe004 | Mm - hmm .
[55:58] mn015 | Not a rich language .
"[56:01] mn015 | So we wanted just to collect data ,"
"[56:05] mn015 | that elicits more ,"
"[56:07] mn015 | uh ,"
[56:07] mn015 | that elicits richer language .
[56:07] fe004 | Mm - hmm .
[56:10] mn015 | And we actually did not want to constrain it
[56:12] fe004 | Mm - hmm .
"[56:13] mn015 | too much ,"
[56:13] mn015 | you know ? Just see what people say .
"[56:18] mn015 | the phenomena that we want to solve ,"
[56:21] mn015 | whatever engine we we come up with .
[56:24] mn015 | Um .
"[56:27] mn015 | this is a parallel track ,"
"[56:29] mn015 | you know ,"
"[56:29] mn015 | there they hopefully meet ,"
[56:34] mn015 | It should
"[56:35] mn015 | tell us , you know , what kind of phenomenon could"
"[56:37] mn015 | occur , it should tell us also maybe something about the difference between"
[56:41] mn015 | people who think they speak to a computer versus people who think they speak to a human being and the sort of differences there .
[56:44] fe004 | Mm - hmm .
"[56:47] mn015 | So it may get us some more information on the human - machine pragmatics , um ,"
"[56:53] mn015 | that no one knows anything about ,"
[56:55] mn015 | as of yesterday .
"[56:57] mn015 | And uh nothing has changed since then , so ."
"[57:02] mn015 | And secondly ,"
"[57:11] mn015 | we may actually include , you know ,"
[57:13] mn015 | those those intentions .
[57:16] mn015 | So now I think we should maybe have
[57:20] fe004 | Mm - hmm .
"[57:21] mn015 | uh not ex it 's implicit that the person wants to enter ,"
[57:24] fe004 | Mm - hmm .
[57:25] mn015 | and maybe some task where it 's more or less explicit
"[57:29] mn015 | that the person wants to take a picture ,"
[57:31] fe004 | Mm - hmm .
[57:32] mn015 | or see it or
[57:34] mn015 | something .
"[57:37] mn015 | So that we can label it . I mean ,"
[57:39] mn015 | that 's how we get a corpus that we can label .
[57:39] fe004 | Mm - hmm .
"[57:41] mn015 | Whereas , you know ,"
"[57:42] mn015 | if we 'd just get data we 'd never know what they actually wanted ,"
[57:45] mn015 | we 'd get no cues .
[57:52] mn015 | Yep .
[57:55] me003 | Alrighty .
[57:56] me012 | OK .
[58:00] me003 | So is this the official end of the meeting now ?
[58:03] me012 | Yep .
[58:03] fe004 | Looks like it .
"[58:04] me012 | So what 's "" Economics , the fallacy "" ?"
[58:07] mn015 | Ma -
[58:11] me003 | So that has nothing to do with economics or anything .
"[58:13] me012 | Oh , really ? OK ."
