[00:05] me003 | I guess .
[32:57] fe004 | These are the ones that you said that we are going to ignore now ? or that we want to
[33:01] fe004 | take into account ? You were saying
[33:03] fe004 | n
[33:03] me010 | Take them into account .
[33:04] fe004 | Take the the linguistic factors too .
[33:04] me010 | But but you don't worry about h
"[33:05] fe004 | Oh , how to extract these features . OK ."
[33:06] me010 | how to extract them .
"[33:07] me010 | So , f let 's find out which ones we need first ,"
[33:08] fe004 | Got it .
[33:11] fe004 | OK .
"[33:11] fe004 | And and it 's clear from the data , um , like , sorta the correct answer in each case ."
[33:16] me010 | No .
[33:16] fe004 | But l
[33:17] fe004 | OK . That 's that 's the thing I 'm curious ab
[33:18] me010 | Let 's go back to th
[33:18] me010 | Let 's go back to the the the slide of data .
[33:25] mn015 | Not from that data .
"[33:26] mn015 | But , um , since we are designing"
[33:32] fe004 | Mm - hmm .
"[33:33] mn015 | um , we will definitely take care to put it in there ,"
[33:36] fe004 | Mm - hmm .
[33:36] mn015 | in some
"[33:37] mn015 | shape , way , form over the other ,"
[33:39] mn015 | to see whether
[33:39] fe004 | Right .
"[33:40] mn015 | we can , then , get"
[33:41] mn015 | sort of empirically validated data .
"[33:50] mn015 | s sometimes when people want to just see it , they phrase it more like this ?"
[33:54] fe004 | Mm - hmm .
"[33:54] mn015 | But it doesn't exclude anybody from phrasing it totally differently , even if they still you know ?"
[33:56] fe004 | Right .
[33:57] fe004 | Right .
[33:58] mn015 | But then other factors may come into play that change the outcome of their belief - net .
[34:02] fe004 | Right .
"[34:02] mn015 | So , um , this is exactly what Because y you can never be sure . And I 'm sure even i the most , sort of , deliberate data collection experiment will never give you data that say , "" Well , if it 's phrased like that ,"
[34:07] fe004 | Sure .
"[34:16] fe004 | u u I mean , the only way you could get that is if you were to give th the x subjects a task ."
"[34:21] fe004 | Right ? Where you have where your , uh , current"
[34:23] mn015 | We -
[34:26] fe004 | So you will know .
[34:28] fe004 | Mm - hmm .
[34:28] me010 | Yeah .
"[34:31] fe004 | The No , that 's fine . I guess , it 's just knowing the intention from"
[34:32] me010 | Yeah .
[34:34] mn015 | Mm - hmm .
"[34:34] me010 | From that task , yeah . So ,"
"[34:36] me010 | uh , I think you all know this , but we are going to actually use this little room"
[34:40] me010 | and start recording subjects
"[34:43] me010 | probably within a month or something . So ,"
[34:45] me010 | this is not
"[34:46] me010 | any lo any of you guys ' worry , except that"
[34:50] me010 | we may want to push that effort to get information we need .
[34:56] me010 | is to figure out how to solve these problems .
"[34:59] me010 | If it turns out that we need data of a certain sort , then"
[35:03] me010 | the sort of data collection branch
"[35:05] me010 | can be , uh , asked to do that ."
[35:08] me010 | And one of the reasons why we 're recording the meeting for these guys is cuz we want their help
"[35:13] me010 | when we d we start doing uh , recording of subjects ."
"[35:19] me010 | So , yeah y you 're absolutely right , though . No , you you will not have ,"
"[35:25] me010 | But you know , y y"
"[35:45] mn015 | No , no . No ."
[35:51] fe004 | s using a device ?
"[35:53] mn015 | Uh ,"
"[35:54] mn015 | N no , no not i it was mobile but not not with a w a real wizard system . So there were never answers ."
[35:59] fe004 | Uh - huh .
"[36:03] fe004 | I guess I don't know The situation of of collecting th the data of , like Here you could imagine them being walking around the city ."
[36:09] fe004 | as like one situation . And then you have all sorts of other
[36:12] fe004 | c situational context factors that would influence
"[36:15] fe004 | w how to interpret , like you said , the scope and things like that ."
[36:16] mn015 | Mm - hmm .
"[36:18] fe004 | If they 're doing it in a you know , "" I 'm sitting here with a map and asking questions "" ,"
[36:21] fe004 | I I would imagine that the data would be really different .
[36:28] mn015 | It was never th th the goal of that data collection to to serve for sat for such a purpose . So that 's why for example the tasks were not
[36:35] fe004 | Mm - hmm .
"[36:36] mn015 | differentiated by intentionality , there was n there was no label , you know , intention A , intention B , intention C . Or task A , B , C ."
[36:39] fe004 | Mm - hmm . Right .
[36:48] fe004 | Mm - hmm .
"[36:49] mn015 | that will help us along those lines . But ,"
"[36:52] mn015 | you know , you gotta leave something for other people to model ."
"[36:54] mn015 | So , to Finding out what , you know ,"
"[36:58] mn015 | situational con what the contextual factors of the situation really are , you know is an interesting s"
[37:03] mn015 | interesting thing .
[37:04] fe004 | Mm - hmm .
"[37:06] mn015 | u u Sort of I 'm , at the moment , curious and I 'm I 'm s w want to approach it from the end where we can s sort of start with this toy system that we can play around with ,"
[37:14] fe004 | Mm - hmm .
[37:15] mn015 | so that we get a clearer notion of what input we need
[37:18] fe004 | Mm - hmm .
"[37:27] mn015 | Ultimately once we are all experts in changing that parser , for example , maybe , there 's just a couple three things we need to do and then we get more whatever , part of speech and more construction - type - like"
[37:34] fe004 | Mm - hmm .
[37:38] fe004 | Hmm .
[37:39] mn015 | stuff out of it .
"[37:42] mn015 | It 's a m pragmatic approach , uh , at the moment ."
"[37:46] me003 | How exactly does the data collection work ? Do they have a map ,"
[37:49] me003 | and then you give them a scenario of some sort ?
[37:52] mn015 | OK .
"[37:54] mn015 | Imagine you 're the the subject . You 're gonna be in here , and somebody And and you see , uh ,"
"[37:59] mn015 | either th the three - D model ,"
"[38:01] mn015 | or uh , a QuickTime animation of standing u in a square in Heidelberg ."
[38:07] mn015 | So you actually see that .
[38:09] mn015 | Um .
"[38:10] mn015 | The uh ,"
"[38:15] mn015 | So , just off a textbook , uh , tourist guide , to familiarize , uh , yourself with that sort of odd - sounding German street names , like Fischergasse and so forth ."
"[38:24] mn015 | So that 's part one . Part two is , you 're told"
"[38:28] mn015 | that this huge new , wonderful computer system exists , that can y tell you everything you want to know ,"
[38:33] mn015 | and it understands you completely .
"[38:35] mn015 | And so you 're gonna pick up that phone , dial a number , and you get a certain amount of tasks that you have to solve ."
"[38:40] mn015 | First you have to know find out how to get to that place ,"
[38:43] mn015 | maybe with the intention of buying stamps in there .
"[38:46] mn015 | Maybe So , the next task is to get to a certain place and take a picture for your grandchild ."
[38:51] mn015 | The third one is to
[38:53] mn015 | get information on the history of an object .
[38:57] mn015 | And then the g system breaks down .
"[39:00] mn015 | It crashes ,"
[39:01] fe004 | a At the third ? Right then ?
[39:03] mn015 | After the third task .
[39:03] fe004 | OK .
[39:06] mn015 | Or after the fourth . Some find @ @ Forget that for now .
"[39:08] mn015 | And then , a human operator comes on ,"
[39:16] mn015 | now with a human operator .
"[39:18] mn015 | And so , you have basically the same tasks again , just with different objects ,"
"[39:23] mn015 | and you go through it again , and that was it ."
"[39:28] mn015 | w And uh , the computer you are you are being told the computer system knows exactly where you are , via GPS ."
"[39:34] mn015 | When the human operator comes on , um ,"
[39:38] mn015 | that person does not know . So the GPS is crashed as well .
"[39:41] mn015 | So the person first has to ask you "" Where are you ? "" ."
"[39:45] mn015 | s tell the person sort of where you are , depending on what you see there ."
"[39:49] mn015 | Um , this is a a a a a bit that I d I don't think we Did we discuss that bit ?"
"[39:55] mn015 | Uh , I just sort of squeezed that in now ."
"[39:57] mn015 | But it 's something , uh , that would provide some very interesting data for some people I know ."
[40:02] mn015 | So .
"[40:09] mn015 | Yeah . a Additionally , y you have a a a sort of a map type display ."
"[40:13] mn015 | Uh , two - D ."
[40:15] mn015 | n
[40:16] mn015 | Two - D .
[40:19] mn015 | Yeah . b y
[40:19] fe004 | for themselves
[40:20] fe004 | @ @ there .
"[40:22] mn015 | I don't know . I but y I don't think you really move ,"
[40:25] fe004 | OK . So
[40:25] mn015 | sort of . Yeah ?
"[40:26] mn015 | I mean that would be an an an enormous technical effort ,"
[40:30] mn015 | unless we
"[40:32] mn015 | We can show it walks to , you know . We can have movies of walking , you walking through through Heidelberg , and u ultimately arriving there ."
[40:36] fe004 | Mm - hmm .
[40:39] mn015 | Maybe we wanna do that . Yeah .
"[40:42] fe004 | Uh , I was just trying to figure out how how ambitious the system is ."
"[40:52] mn015 | So we get those names , pronunciation stuff , and so forth , and we can change that ."
[40:54] fe004 | Mm - hmm .
[40:56] fe004 | Mm - hmm .
"[41:01] fe004 | I mean , uh yo you 're told So when your task is , I don't know , "" Go buy stamps "" or something like that ?"
"[41:08] fe004 | Uh , what are you ste what are you supposed to be telling the system ? Like , w"
"[41:15] mn015 | Well , we 'll see what people do ."
"[41:16] fe004 | There 's no OK , so it 's just like , "" Let 's figure out what they would say"
"[41:19] fe004 | under the circumstances "" ."
[41:22] fe004 | Uh - huh . Uh - huh .
"[41:23] mn015 | I mean , in both cases it 's gonna be a human , in the"
"[41:26] mn015 | computer , and in the operator case ."
"[41:28] mn015 | And we will re there will be some dialogue , you know ?"
[41:32] fe004 | Yep .
[41:34] fe004 | Mm - hmm .
"[41:41] mn015 | But um ,"
"[41:43] mn015 | maybe the maybe what you 're suggesting Is what you 're suggesting that it might be too poor , the data , if we sort of limit it to this ping pong one t"
"[41:51] mn015 | uh , task results in a question and then there 's an answer and that 's the end of the task ? You wanna m have it more more steps , sort of ?"
"[41:58] fe004 | Yeah , I I don't know how much direction is given to the subject"
[42:00] fe004 | about what
"[42:01] fe004 | their interaction I mean , th they 're unfamiliar w with interacting with the system . All they know is it 's this great system that could do"
[42:06] mn015 | Mm - hmm .
[42:08] mn015 | Mm - hmm .
"[42:09] me010 | Oh yeah , but to some extent this is a different discussion ."
[42:12] me010 | OK ? So .
"[42:13] me010 | Uh , we we have to have this discussion of th the experiment , and the data collection , and all that sorta stuff"
[42:15] fe004 | Uh - huh .
"[42:18] me010 | and we do have , um , a student who"
[42:24] me010 | is a candidate for wizard .
"[42:26] me010 | Uh , she 's gonna get in touch with me . It 's a student of Eve 's ."
"[42:33] fe004 | Oh , Fey Parrill . Yeah . Uh - huh ."
[42:34] me010 | You know her ?
[42:36] me010 | OK . Sh - Is sh
"[42:37] fe004 | She started taking the class last year and then didn't um , you know , didn't continue . I g She 's a g"
"[42:43] fe004 | Is she an undergradua She is a graduate , OK ."
[42:43] me010 | She 's graduated .
[42:45] me010 | Yeah .
"[42:46] fe004 | Yeah , I m I know her very , very briefly . I know she was inter you know , interested in"
[42:51] me010 | OK .
[42:51] fe004 | aspect and stuff like that .
"[42:51] me010 | So , anyway , she 's looking for some more part time work w while she 's waiting actually for graduate school ."
[42:57] me010 | And she 'll be in touch . So we may have
"[42:59] me010 | someone ,"
"[43:00] me010 | uh , to do this , and she 's got you know , some background in in"
"[43:05] me010 | all this stuff . And is a linguist st and , so So ."
[43:12] fe004 | Mm - hmm .
"[43:15] me010 | exactly wha t t you know , how that 's gonna go ."
"[43:18] me010 | And um ,"
"[43:20] me010 | Jane , but also , uh , Liz"
[43:24] fe004 | Mm - hmm .
"[43:24] me010 | have offered to help us do this ,"
[43:25] fe004 | Mmm .
"[43:26] me010 | uh , data collection and design and stuff ."
"[43:29] me010 | So , when we get to that we 'll have some people doing it that know what they 're doing ."
[43:29] fe004 | OK .
"[43:34] fe004 | I guess the reason I was asking about the sort of the de the details of this kind of thing is that , um ,"
"[43:39] fe004 | it 's one thing to collect data for , I don't know , speech recognition or various other tasks that have pretty c clear"
"[43:50] fe004 | I 'm not really sure , um ,"
[43:53] fe004 | how how e the question of how to make it a t appropriate toy
"[44:00] me003 | Yeah , uh , actually I guess that was my question . Is the intention implicit in the scenario that 's given ?"
"[44:05] me003 | Like ,"
"[44:09] me003 | Yeah , I just wasn't sure to what level of detail the task was ."
"[44:13] mn015 | Mm - hmm . n No one is , at the moment ."
[44:13] fe004 | Right .
[44:15] fe004 | Right .
[44:15] me003 | OK .
"[44:16] me010 | So , we that 's part of what we 'll have to figure out ."
[44:17] fe004 | Right .
[44:19] fe004 | Mm - hmm .
"[44:19] me010 | But , uh ,"
"[44:24] me010 | The problem that I was tr gonna try to focus on today was ,"
"[44:27] me010 | let 's suppose by magic you could collect dialogues in which , one way or the other ,"
"[44:33] me010 | you were able to , uh , figure out both the intention , and set the context , and"
[44:39] me010 | know what language was used . So let 's suppose that we can get that kind of data .
[44:44] me010 | Um .
"[44:45] me010 | The issue is , can we"
"[44:48] me010 | find a way to , basically , featurize it so that we get some discrete number of features so that ,"
"[44:54] me010 | uh , when we know the values to all those features , or as many as possible , we can w come up with the best estimate of which of the ,"
"[45:01] me010 | in this case three little intentions ,"
[45:04] me010 | are
[45:05] me010 | most likely .
[45:13] mn015 | To come as close as possible to it .
"[45:15] fe004 | Yeah , it 's @ @ ."
[45:18] me010 | To v
[45:18] fe004 | OK .
[45:19] me010 | to View it .
[45:21] me010 | OK ? To Enter it .
[45:23] me010 | Now those It seems to me those are cl you c you have no trouble with those being distinct .
"[45:26] me010 | "" Take a picture of it """
[45:27] fe004 | Mm - hmm .
[45:28] me010 | you you might well want to be a really rather different place than
[45:30] fe004 | Mm - hmm .
[45:31] me010 | entering it .
"[45:32] me010 | And , for an object that 's at all big ,"
[45:32] fe004 | Mm - hmm .
"[45:35] me010 | uh , sort of getting to the nearest part of it"
[45:38] fe004 | Mm - hmm .
"[45:38] me010 | uh , could be quite different than either of those ."
[45:40] fe004 | Mm - hmm .
"[45:42] fe004 | OK , so now I understand the referent of Tango mode ."
"[45:45] me003 | See , I would have thought it was more of a waltz ."
"[45:49] mn015 | To "" Waltz "" it ?"
[45:52] me010 | Well .
"[45:59] me012 | like , do you wanna try to extract from , say , the parse or whatever ?"
[46:01] me010 | Right .
[46:05] me010 | Right .
[46:06] me012 | certain construction or whatever .
"[46:07] me010 | Is there a construction , or the kind of object , or"
"[46:11] me010 | w uh , anything else that 's in the si It 's either in the in the s the discourse itself or in the context ."
"[46:18] me010 | So if it turns out that , whatever it is , you want to know whether the person 's uh , a tourist or not ,"
"[46:25] me010 | Now , how you determine that"
"[46:27] me010 | is another issue . But fo for the current problem ,"
"[46:30] me010 | it would just be , "" OK , if you can be sure that it 's a tourist , versus a businessman , versus a native , """
"[46:35] me010 | or something ,"
"[46:37] me010 | uh , that would give you"
"[46:43] me010 | Though sin f in the short run , you 'd set them ,"
[46:45] me012 | Mm - hmm .
"[46:46] me010 | and see ho how it worked , and then in the longer run ,"
[46:49] me010 | you would figure out how you could derive them .
[46:55] me012 | Right .
[46:55] me010 | From previous discourse or w any anything else you knew .
"[47:12] me010 | OK . So , first of all is , uh , do e either of you guys ,"
"[47:17] me010 | you got a favorite belief - net that you 've , you know , played with ? JavaBayes or something ?"
[47:22] me012 | Oh .
"[47:24] me012 | No , not really ."
"[47:25] me010 | OK . Well , anyway . f Get one ."
"[47:27] me010 | OK ? So y so one of th one of the things we wanna do is actually ,"
"[47:31] me010 | uh , pick a package ,"
"[47:33] me010 | doesn't matter which one ,"
"[47:34] me010 | uh , presumably one that 's got good interactive abilities , cuz a lot of what we 're gonna be d"
"[47:39] me010 | You know , we don't need the one that 'll solve massive ,"
"[47:41] me010 | uh , belief - nets quickly . d w"
[47:43] me010 | These are not gonna get big in in the foreseeable future .
[47:47] me010 | But we do want one
"[47:48] me010 | in which it 's easy to interact with and , uh , modify ."
"[47:54] me010 | Because i that 's A lot of what it 's gonna be , is ,"
"[47:57] me010 | um ,"
"[47:59] me010 | playing with this . And probably one in which it 's easy to have ,"
"[48:10] me010 | OK ? So we make up cases that have these features ,"
[48:16] me010 | There 're even ones tha that you can do learning
[48:20] me010 | OK ? So you have all their cases and and their results and you have a algorithms to go through and run around trying to set the the probabilities for you .
"[48:28] me010 | Um ,"
[48:30] me010 | probably that 's not worth it .
"[48:32] me010 | I mean , my guess is we aren't gonna have enough data that 's good enough to make"
[48:35] me010 | the these data fitting ones
"[48:38] me010 | worth it , but I don't know ."
"[48:40] me010 | So I would say you guy the first task for you two guys is to um , pick a package ."
"[48:51] me010 | And , as soon as we have one , we can start"
[48:53] mn015 | An - Nuh .
"[48:55] me010 | trying to ,"
"[48:57] me010 | uh ,"
[48:58] me010 | make a first cut
[49:01] me010 | at what 's going on .
[49:02] me010 | But it what I like about it is it 's very concrete .
"[49:04] me010 | OK ? We we have a we know what the outcomes are gonna be , and we have some some data that 's loose , we can use our own intuition ,"
"[49:12] me010 | and see how hard it is ,"
"[49:14] me010 | and , importantly , what intermediate nodes we think we need ."
"[49:23] me010 | You know , this is the kind of thing that is , you know , an intermediate little piece in your belief - net ."
[49:28] me010 | That 'd be really interesting .
[49:29] me003 | Mm - hmm .
[49:32] mn015 | And it and it may serve as a platform for
"[49:36] mn015 | a person , maybe me , or whoever , who is interested in doing some linguistic analysis ."
"[49:41] mn015 | I mean , w we have the For - FrameNet group here , and we can see what they have found out about those concepts already ,"
"[49:49] mn015 | that are contained in the data ,"
"[49:51] mn015 | um ,"
"[49:52] mn015 | you know , to come up with a nice little set of features and um ,"
"[49:56] mn015 | maybe even means of s uh , extracting them ."
"[49:59] mn015 | And and that altogether could also be uh , become a nice paper that 's going to be published somewhere , if we sit down and write it ."
[50:07] mn015 | When you said JavaBayes belief - net you were talking about ones that run on coffee ? or that are in the program language Java ?
"[50:13] me010 | No , th It turns out that there is a ,"
"[50:17] me010 | The new end of Java libraries . OK , and it turns out one called JavaBayes. Which is"
[50:21] mn015 | Mmm . OK .
[50:22] me010 | one that fair people around here use a fair amount .
"[50:27] me010 | The obvious advantage of that is that you can then ,"
"[50:31] me010 | relatively easily , get all the other Java packages for GUIs or whatever else you might want to do . So that i that 's I think why"
[50:35] mn015 | Mm - hmm .
[50:39] me010 | a lot of people doing research use that .
[50:42] me010 | But it may not be I have no idea whether that 's the best choice an and
"[50:46] me010 | there 're plenty of people around , students in the department who , you know , live and breathe Bayes - nets . So , uh ,"
[50:54] fe004 | There 's the m
"[50:55] fe004 | tool kit that um , Kevin Murphy has developed ,"
[50:57] me010 | Right .
[50:58] me010 | It 's OK .
[50:58] fe004 | which might be useful too . And it 's available Matlab code .
[50:59] me012 | Right .
"[50:59] me010 | So , yeah , Kevin would be a good person to start with ."
[51:05] mn015 | Mm - hmm . But i
"[51:06] me012 | Yeah , I know him ."
[51:07] me010 | Yeah .
"[51:12] mn015 | For example ,"
"[51:13] mn015 | this th th the dialogue history is is um , producing XML documents . M - three - L of course is XML ."
"[51:19] mn015 | And the ontology that um , uh the student is is constructing for me back in in EML is in OIL and that 's also in XML ."
"[51:29] mn015 | And so that 's where a lot of knowledge about bakeries , about hotels , about castles and stuff is gonna come from ."
[51:33] me010 | Mm - hmm .
[51:34] me010 | Yeah .
"[51:35] mn015 | Um , so , if it has that IO capability and if it 's a Java package , it will definitely be able We can couple ."
[51:40] me010 | Yeah .
"[51:41] me010 | So , yeah , we 're sort of committed to XML as the kind of ,"
"[51:44] me010 | uh , interchange ."
"[51:46] me010 | But that 's , you know , not a big deal ."
"[51:47] mn015 | Who isn't , nuh ?"
"[51:48] me010 | So , in terms of of interchanging in and out of any module we build ,"
[51:54] me010 | It 'll be XML .
"[51:55] me010 | And if you 're going off to queries to the ontology , for example , you 'll have to deal with its interface ."
"[52:02] me010 | But that 's that 's fine an and um ,"
[52:05] me010 | all of these things have been built
[52:08] me010 | with
[52:10] me010 | much bigger projects than this in mind . So they they
[52:13] me010 | have worked very hard . It 's kind of blackboards and multi - wave blackboards and ways of interchanging and registering your a And so forth .
"[52:20] me010 | So ,"
[52:22] me010 | that I don't think is even worth us worrying about just yet .
"[52:26] me010 | I mean if we can get the core of the thing to work ,"
"[52:31] me010 | in a way that we 're comfortable with ,"
"[52:33] me010 | then we ca we can get in and out of it with , uh , XML ,"
"[52:37] me010 | um , little descriptors ."
[52:41] mn015 | Hmm . Yeah .
"[52:41] mn015 | Yeah , I like , for example , the what you said about the"
"[52:44] mn015 | getting input from from just files about where you h where you have the data , have specified the features and so forth ."
"[52:51] mn015 | That 's , of course , easy also to do with , you know , XML ."
"[52:53] me010 | Uh , you could have an X yeah , you could make and XML format for that . Sure ."
[52:58] mn015 | So r
"[52:59] me010 | um ,"
"[53:01] me010 | you know , feature value XML format"
[53:02] me010 | is probably as good a way as any .
"[53:06] me010 | So it 's als Yeah , I guess it 's also worth ,"
"[53:09] me010 | um , while you 're poking around , poke around for XML packages that"
"[53:13] me010 | um ,"
[53:14] me010 | do things you 'd like .
[53:16] me012 | Doesn't does SmartKom system have such packages ?
[53:18] mn015 | Yeah .
[53:18] me010 | Sure .
[53:19] mn015 | The the lib M - three - L library does that .
"[53:21] me010 | And the question is , d you c you you 'll have to l"
[53:23] me010 | We 'll have to l
[53:30] mn015 | What I What sort of came to my mind i is was the notion of an idea that
[53:33] me010 | Yeah .
"[53:34] mn015 | if if there are l nets that can actually lear try to set their own , um ,"
"[53:44] mn015 | which is in file format ,"
"[53:47] mn015 | um , get really w wild on this , we may actually want to use some some corpora that other people made and , for example , if if they are in in MATE ,"
"[53:56] mn015 | then we get X M L documents with discourse annotations , t you know , t from the discourse act down to the phonetic level ."
[54:00] me012 | Mm - hmm .
"[54:03] mn015 | Um , Michael has a project where you know , recognizing discourse acts and he does it all in MATE , and so"
[54:10] mn015 | So if we w
"[54:11] mn015 | if we think it 's worth it one of these days ,"
"[54:14] mn015 | not not with this first prototype but maybe with a second , and we have the possibility of of taking input that 's generated elsewhere and learn from that ,"
[54:17] me012 | Right .
[54:22] mn015 | that 'd be nice .
"[54:23] me010 | It 'd be nice , but but I I I do I don't wanna count on it ."
"[54:30] me010 | that the data will come , and you don't have to actually design the nets ."
[54:36] mn015 | I I think we should devote m
"[54:46] me010 | You know , you don't really like it ."
[54:48] me010 | So we 're not we 're not abs we 're not required to use
"[54:51] me010 | their packages . We are required at the end to give them stuff in their format , but hey ."
[54:57] me012 | Right .
"[54:58] me010 | Um ,"
"[55:02] me010 | It doesn't control what you do in you know , internally ."
[55:17] mn015 | Two days ?
[55:19] me010 | Huh ?
"[55:19] mn015 | Two , three days ?"
"[55:23] me010 | have y guys , uh , you know , pick"
[55:29] mn015 | No .
[55:33] me012 | Sure .
"[55:34] me010 | And , then as soon as we have it ,"
[55:37] me010 | I think we should start
[55:39] me010 | trying to
[55:41] me010 | populate it for this problem .
"[55:43] me010 | Make a first cut at , you know , what 's going on ,"
[55:46] me010 | and probably the ea
[55:48] me010 | easiest way to do that
[55:50] me010 | is
"[55:52] me010 | some on - line way . I mean , you can f figure out whether you wanna make it a web site or You know , how"
"[55:56] mn015 | Uh I I I um , OK , I t"
"[56:02] me010 | OK , I wasn't ."
"[56:04] mn015 | Um , it will take as long as y y yo you guys need for that . But um ,"
[56:05] me010 | Yeah .
"[56:10] mn015 | maybe it might be interesting if if the two of you can agree on who 's gonna be the speaker next Monday , to tell us something about the net you picked , and what it does , and how it does that ."
"[56:19] me010 | Well , y Well , or both of them speak . We don't care ."
[56:20] me012 | Sure .
"[56:21] mn015 | Yeah , or you can split it up ."
"[56:23] mn015 | So , y"
[56:24] me012 | Hmm .
"[56:33] me010 | Well , I 'd like to also ,"
"[56:35] me010 | though , uh , ha have a first cut at what the"
[56:39] me010 | belief - net looks like .
[56:40] me010 | Even if it 's really crude .
"[56:43] me010 | OK ? So , you know ,"
[56:46] me010 | Right . Yeah .
[56:47] me012 | Mm - hmm .
"[56:50] me010 | And , as I said , what I 'd like to do is ,"
"[56:53] me010 | I mean , what would be really great is you bring it in If if if we could ,"
"[56:57] me010 | uh , in the meeting , say , you know , "" Here 's the package , here 's the current one we have , """
"[57:02] me010 | uh , you know , "" What other ideas do you have ? """
[57:06] me010 | and then we can think about this idea of making up the data file .
"[57:12] me010 | Of ,"
"[57:13] me010 | uh , you know , get a t a p tentative format for it , let 's say XML , that says , l you know , "" These are"
"[57:19] me010 | the various scenarios we 've experienced . """
[57:24] me010 | this file of them and when you
"[57:25] me010 | think you 've got a better belief - net ,"
[57:32] me010 | this data file .
"[57:34] me012 | So we 'll be like , hand , uh ,"
[57:36] me012 | doing all the probabilities .
[57:38] me012 | OK .
"[57:38] me010 | Oh , yeah , unt until we know more ."
[57:46] me003 | Changing the table so that the system works in English ?
"[57:50] mn015 | Whi - while you were doing this ,"
[57:51] mn015 | I received two lovely emails . The the full NT and the full Linux version are
[57:57] mn015 | there .
"[57:58] mn015 | I 've downloaded them both ,"
"[58:04] mn015 | Uh , the NT one worked fine . and I started unta pack the Linux one , it told me that I can't really unpack it because it contains a future date ."
[58:18] mn015 | Then it will be my job to get this whole thing running both on Swede and on this machine .
[58:24] mn015 | And so that we have it .
"[58:31] mn015 | Hopefully that hoping that my urgent message will now come through to Ralph and Tilman that it will send some more documentation along ,"
[58:38] mn015 | we I control p
[58:40] mn015 | Maybe that 's what I will do next Monday is show the state and show the system and show
[58:43] me010 | Yeah .
[58:44] mn015 | that .
"[58:45] me010 | Yeah . So the answer , Johno , is that these are ,"
"[58:49] me010 | at the moment ,"
[58:50] me010 | separate .
"[58:52] me010 | Uh , what one hopes is that"
"[58:55] me010 | when we understand how the analyzer works , we can both"
[58:59] me010 | worry about converting it to English and worry about how it could ex extract the parameters we need for the belief - net .
"[59:10] me010 | Oh , yeah . I don't know . n None of this is i n"
[59:14] me010 | Neither of these projects
"[59:16] me010 | has got a real tight time - line , in the sense that over the next month there 's a there 's a deliverable ."
[59:21] me003 | OK .
"[59:21] me010 | OK . S so uh , it 's opportu in that sense it 's opportunistic ."
"[59:25] me010 | If if you know , if we don't get any information for these guys f for several weeks then we aren't gonna sit around ,"
"[59:32] me010 | you know , wasting time ,"
"[59:35] me010 | You know , just pppt ! go on and do other things ."
[59:39] me003 | OK .
"[59:47] mn015 | that both will merge into a harmonious and , um , wonderful ,"
"[59:53] mn015 | um , state where"
"[59:55] mn015 | we can not only do the bare necessities , IE , changing the table so it does exactly in English what it does in German ,"
"[00:02] mn015 | but also that we can sort of have the system where we can say , "" OK , this is what it usually does ,"
"[00:07] mn015 | and now we add this little thing to it "" ,"
"[00:14] mn015 | and we plug it in ,"
"[00:15] mn015 | and then for these certain tasks ,"
"[00:17] mn015 | and we know that navigational tasks are gonna be a core domain of the new system ,"
[00:22] mn015 | it all all of a sudden it does much better .
[00:24] mn015 | Nuh ? Because it can
"[00:26] mn015 | produce better answers ,"
"[00:27] mn015 | tell the person , as I s showed you on this map ,"
"[00:30] mn015 | n you know , produce either you know , a red line that goes to the Vista point or a red line that goes to the Tango point or red line that goes to the door ,"
[00:38] mn015 | which would be great .
"[00:40] mn015 | So not only can you show that you know something sensible but ultimately , if you produce a system like this , it"
[00:46] mn015 | takes the person where it wants to go .
[00:48] mn015 | Rather than taking him
"[00:51] mn015 | always to the geometric center of a building , which is what they do now ."
[00:52] me012 | Mmm .
[00:56] mn015 | And we even had to take out a bit .
"[00:58] mn015 | Nancy , you missed that part ."
[00:59] mn015 | We had to take out a bit of the road
[01:01] mn015 | work . So that it doesn't take you to the wall
"[01:10] mn015 | So this was actually an actual problem that we encountered ,"
[01:15] mn015 | because car navigation systems don't really care .
"[01:17] mn015 | You know , they get you to the beginning of the street , some now do the house number ."
[01:20] fe004 | Hmm .
[01:22] fe004 | Mm - hmm .
[01:22] mn015 | But even that is problematic . If you go d
"[01:25] mn015 | If you wanna drive to the SAP in Waldorf ,"
"[01:27] mn015 | I 'm sure the same is true of Microsoft ,"
"[01:30] mn015 | the address , whatever , street number blah - blah - blah ,"
[01:34] mn015 | you are miles away from the entrance .
[01:36] me010 | Yep .
[01:37] mn015 | Because the s postal address is maybe a mailbox somewhere .
[01:41] fe004 | Mm - hmm .
[01:41] mn015 | Nuh ? but the entrance where you actually wanna go is somewhere completely different .
[01:46] mn015 | So unless you 're a mail person you really don't wanna go there .
"[01:51] me010 | Probably not then , cuz y you probably can't drop the mail there anyway ."
[01:54] mn015 | Probably neither e not even that .
[01:54] me010 | Yeah .
[02:03] me010 | Clear ?
[02:12] me003 | The Powder - Tower is made of red limestone .
[02:17] mn015 | Do you wanna see a picture ?
[02:18] me003 | Sure !
[02:20] mn015 | Have to reboot for that though .
[02:20] fe004 | Um .
"[02:22] fe004 | So , you two , who 'll be working on this , li are are you gl will you be doing Well , I mean are you supposed to just do it by"
[02:29] fe004 | thinking about the situation ? Can you use the sample data ?
[02:32] me010 | Of course they use the sample data .
[02:35] fe004 | Is there a lot s of sample data that
[02:36] fe004 | is beyond what you what you have there ?
