[00:01] me013 | Hmm .
[29:30] fe041 | Right .
[29:31] fe041 | OK .
"[29:31] me011 | I think , though , the importance marking is a good idea , though ."
[29:35] me011 | That if if people have something
[29:36] fe016 | I 'd be sort of cool .
[29:40] me011 | Yeah .
[29:41] me011 | Do it on pilots or laptops or something .
"[29:50] fe041 | OK . So CrossPads , we 're just gonna try it and see what happens ."
[29:50] me013 | OK .
"[29:56] fe041 | So , I I think that this is"
[29:59] fe041 | gonna be useful . So if we record data I will definitely ask for it .
"[30:03] fe041 | So , I j I think we should just say this is not we don't want to put any extra burden on people , but if they happen to generate minutes ,"
"[30:11] me011 | Oh , OK . That 's fine ."
[30:11] fe041 | could could they send it to us ?
[30:13] me011 | Absolutely .
[30:13] me013 | Mm - hmm .
[30:13] fn043 | Mm - hmm .
[30:15] me011 | Yeah . What I was gonna say is that I don't want to ask people to do something they wouldn't normally do in a meeting .
[30:19] me011 | It 's ver I just want to keep away from the artificiality . But
[30:22] me013 | Mm - hmm .
[30:22] me011 | I think it definitely
[30:25] me011 | if they exist .
[30:26] me011 | And then Jane 's idea of summarization afterward I think is not a bad one .
"[30:30] me011 | Um ,"
"[30:31] me011 | picking out basically to let you pick out keywords ,"
"[30:35] me011 | um , and , uh , construct queries ."
[30:40] me011 | People in the meeting .
"[30:43] me011 | You know , just at at the end of the meeting , before you go ,"
[30:43] fe008 | Uh - huh .
"[30:46] fe016 | Without hearing each other though , probably ."
[30:46] me011 | go around the table .
[30:48] me025 | Yeah .
[30:48] me013 | Yeah .
[30:48] me011 | Yeah .
[30:49] me022 | Or even just have one or two people stay behind .
[30:51] me011 | Yeah .
[30:51] me013 | Yeah .
[30:59] me011 | And see score them ?
[31:03] me011 | Oh .
[31:08] me011 | Hmm .
[31:10] me013 | Oh . Yeah .
[31:11] fe008 | That could be very interesting .
[31:12] me022 | Hmm .
[31:13] fe008 | Yeah .
[31:14] me013 | Ru -
"[31:15] me011 | I d yeah , I don't know how you would do it , though ."
[31:19] me011 | Mm - hmm .
"[31:20] fe041 | I know when I see the the clock coming near the end of the meeting , I 'm like inching towards the door . So ,"
[31:28] me025 | Hmm .
[31:29] fe041 | you 're probably not gonna get a lot of people wanting to do this .
"[31:34] me011 | Maybe e Is email easier ? I mean , I when you first said"
"[31:37] me011 | do do it , um ,"
"[31:39] me011 | spoken , what I was thinking is , oh then people have to come up and you have to hook them up to the recorder ."
[31:40] fe008 | Mm - hmm .
"[31:44] me011 | So , if they 're already here I think that 's good , but if they 're not already here for I 'd rather do email ."
[31:46] fe041 | Right .
[31:49] me011 | I 'm much faster typing than anything else .
[31:56] me011 | Yeah .
[31:58] me011 | I don't know .
[32:01] fe041 | at the end of the meeting is the best time . I just don't because
"[32:04] fe041 | they 're kind of a captive audience . Once they leave ,"
[32:06] me011 | Mm - hmm .
"[32:07] fe041 | you know , forget it . But but i"
[32:12] me013 | Hmm .
"[32:18] me013 | Well , I think it 's like the note - taking thing , that that y that you can't certainly can't require it or people aren't gonna want to do this . But but if there 's"
"[32:25] me013 | some cases where they will , then it would be helpful ."
[32:28] me022 | Hmm .
"[32:34] fe008 | uh , recognized by a particular individual ? If you could include the person 's meeting stuff and also the person 's summary stuff , maybe that would be"
[32:41] me025 | Yeah .
"[32:41] fe008 | uh ,"
[32:41] fe008 | an ad addition to their database .
[32:42] me025 | It 's kind of nice . Yeah .
"[32:46] fe008 | Under the same acoustic circumstance , cuz if they just walk next door with their set - up ,"
[32:50] me025 | Right .
"[32:55] me022 | So I have a question about queries ,"
"[32:58] me022 | which is , um ,"
[32:59] me011 | Can we turn that light off ?
[33:03] me013 | The fl the fluorescent light is flickering . Yeah .
[33:03] me022 | I don't know .
[33:04] fe041 | Yeah .
"[33:05] fe016 | Oh , it is it is like OK ."
"[33:06] me011 | Very annoying . Oh , much better ."
[33:06] fe041 | Yeah .
[33:06] me022 | There you go . OK . Good .
[33:07] me013 | Yeah .
[33:16] me013 | OK .
"[33:16] me011 | I thought it was the projector for a moment . It was like , "" what 's going on ? """
"[33:16] me022 | So ,"
[33:19] me013 | Yeah .
"[33:19] me022 | the question I had about queries was , um , so what we 're planning to do is have people look at the summaries and then generate queries ?"
[33:26] me022 | Are are we gonna try and o
"[33:28] me022 | Yeah . Well , I mean ,"
"[33:30] me022 | so , the question I had is is have we given any thought to how we would generate queries automatically given a summary ?"
[33:39] me013 | Mmm .
[33:45] me022 | n
[33:46] me013 | Yeah .
"[33:46] fe016 | Shouldn't Landay and his group be in charge of figuring out how to do this ? I mean , this is an issue"
[33:55] fe041 | Yeah ?
"[33:59] fe041 | Um , what 's our schedule ?"
"[34:04] fe041 | Let 's see ,"
[34:07] me013 | And you and I need to
[34:09] fe041 | Yeah . So so that was the prosody thing .
"[34:13] fe041 | Um , we need to finish the It 's already four - fifteen ."
"[34:13] me013 | Oh , OK ."
[34:16] me013 | Yeah .
"[34:17] fe041 | Uh , after . We need to finish this discussion , and you and I need a little time for wrap - up and quad chart ."
"[34:23] fe041 | So ,"
"[34:31] me013 | Um , I think we should"
"[34:35] me013 | be able to wind up in another half - hour or something , you think ?"
[34:37] me011 | At least . Yeah .
[34:38] me011 | m i Even if that much ? Less .
"[34:38] fe041 | Uh , less ."
[34:39] me013 | Less ?
"[34:43] fe041 | Action Yeah . So ,"
[34:45] fe041 | e e why don't you say five - thirty ?
[34:50] fe041 | Is that OK ? We 'll probably hit horrible traffic .
[34:57] fe041 | That 's not
[34:59] me013 | Yeah .
[35:04] me011 | who 's interested right now in doing anything . So he has very little manpower .
"[35:08] me011 | Um , there 's very little"
[35:10] me011 | allocated for him
"[35:11] me011 | and also he 's pretty focused on user interface . So I don't think he wants to do information retrieval , query generation , that sort of stuff ."
"[35:23] me013 | u I I actually think that that ,"
"[35:27] me013 | if we do have something like summaries ,"
"[35:29] me013 | then having the people who are involved in the meetings themselves , who are cooperative and willing to do yet more ,"
[35:38] me013 | give Landay an idea of the kind of things that people might want to know .
"[35:42] me013 | I mean , ye Right ? If he doesn't know anything about the area ,"
[35:49] fe016 | But the people will just look at the summaries or the minutes and re and sort of back - generate the queries . That 's what I 'm worried about . So you might as well just give him the summaries .
[35:55] me013 | Mm - hmm .
"[35:59] me022 | Well , I 'm not sure I 'm not sure that 's a solved problem ."
"[36:01] fe016 | Oh , OK . How to do this"
[36:03] me013 | Yeah .
[36:03] fe016 | from the summary .
[36:04] me022 | That was sort of what my question was aimed towards .
"[36:05] fe016 | So what you want to h to do is , people who were there ,"
[36:06] fe041 | Hmm .
"[36:08] fe016 | who later see , uh , minutes and s put in summary form , which is not gonna be at the same time as the meeting . There 's no way that can happen ."
[36:14] me011 | Right .
[36:14] me013 | Right .
[36:23] fe016 | But that 's done off they have to do that off - line .
[36:25] me011 | Yep . I agree .
[36:27] fe008 | I 'm also wondering if we could ask the the people a a question which would be
[36:27] fe016 | You -
"[36:31] fe008 | "" what was the most interesting"
"[36:33] fe008 | thing you got out of this meeting ? """
[36:40] fe008 | would not in even include what the person thought was the most interesting
[36:43] me013 | I would think that would be the most likely thing .
[36:43] fe008 | fact .
[36:48] fe041 | But actually I would say that 's a better thing
[36:51] fe041 | to ask than have them summarize the meeting .
"[36:55] fe041 | You get two Yeah , that 's true ."
[36:56] me025 | Yeah .
"[37:00] me908 | Oh , you 're still here ."
[37:01] me013 | Yeah .
[37:01] me011 | We 're still here .
"[37:10] fe008 | Uh , so the fact that , uh , I know that Transcriber uses Snack"
[37:14] fe008 | is something that I thought was interesting and that and that Dan worked on on that .
"[37:19] fe008 | you know . So , I mean , you could ge pick up some of the micro items that wouldn't even occur as major headings but could be very informative ."
[37:22] fe041 | Mm - hmm .
"[37:30] fe041 | Yeah , that 's actually a really good idea ."
"[37:33] fe008 | I think it wouldn't be too , uh , uh , cost - intensive either . You know , I mean , it 's like something someone can do pretty easily on the spur of the moment ."
[37:44] me011 | As many are willing to do it .
[37:50] fn043 | Yeah . That 's why I was wondering .
"[37:55] me011 | I mean , I we didn't take minutes and we don't have summaries . But , uh ,"
"[37:58] me011 | people could , like , listen to them a little bit and generate some queries ."
[38:07] me025 | Yeah .
[38:11] me011 | Mmm .
[38:18] fe041 | for those pe people willing to stay .
[38:23] fe008 | some some of the little things that would be hidden .
[38:24] fe041 | And and that might be something people are willing to stay for .
[38:29] me011 | Or want to get up and leave .
"[38:29] fn043 | Yeah , but when you go around the room you might just get"
"[38:32] fn043 | the effect that somebody says something and then you go around the room and they say "" yeah , me too , I agree . """
[38:37] me013 | Yeah .
[38:37] fe041 | That 's fine .
"[38:41] me011 | you have the other thing , that that they know why we 're doing it ."
"[38:48] me011 | is to d generate queries in the future , so try to pick things that other people didn't say ."
"[38:54] me013 | It 's gonna take some thought . I mean ,"
"[38:57] me013 | The kind of , uh , interest that I had in this thing initially"
"[39:01] me013 | was , uh , that i"
"[39:04] me013 | basically the form that you 're doing something else later ,"
[39:07] fe041 | Mm - hmm .
[39:08] me013 | and you want to pick up something
[39:10] me013 | from this meeting related to the something else .
[39:17] me025 | Mmm .
[39:17] fe041 | Right .
[39:17] me013 | rather than the And it might be something minor of minor importance to the meeting .
[39:21] fn043 | Mm - hmm .
"[39:21] me013 | Uh , in fact if if it was really major , if it 's the thing that really stuck in your head , then you might not need to go back and and and check on it even ."
"[39:32] me013 | You weren't interested Say I I said "" well , I wasn't that much interested in dialogue , I 'm more of an acoustics person "" ."
[39:36] me025 | Right .
"[39:37] me013 | But but thr three months from now if for some reason I get really interested in dialogue , and I 'm "" well what is what was that part that that that , uh , Mari was saying ? """
"[39:47] me013 | And then I 'm trying to fi I mean , that 's that 's when I look in general when I look things up most , is when it 's something that"
[39:47] fe041 | Yeah .
[39:56] me013 | new reason I 'm I 'm I 'm interested in in in the old stuff .
"[40:02] me013 | So , I don't I don't know ."
"[40:02] fe041 | Well , I That 's hard to generate and and I think that 's half of what"
[40:03] fn043 | Mm - hmm .
[40:07] fe041 | i I would use it for . But I also a lot of times
[40:11] me013 | Mm - hmm .
"[40:11] fe041 | um , make you know , think to myself "" this is interesting , I 've gotta come back"
"[40:16] fe041 | and follow up on it "" ."
[40:16] me013 | Mm - hmm .
[40:18] me013 | Mm - hmm .
"[40:18] fe041 | So , things that I think are interesting ,"
"[40:22] fe041 | um , I would be , uh , wanting to do a query about ."
"[40:27] fe041 | And also , I like the idea of going around the room ,"
"[40:30] fe041 | because if somebody else thought something was interesting , I 'd kind of want to know about it and then I 'd want to follow up on it ."
[40:36] me025 | Hmm .
"[40:40] me013 | I was concerned about ,"
"[40:42] me013 | uh , being interested in something later"
"[40:46] me013 | that w uh , I didn't consider to be important the first time , which for me is actually the dominant thing , because if I thought it was really important it tends to stick more than if"
[40:57] me011 | But what 's interesting to me may not b have been interesting to you . By so by going around Yeah .
[41:05] me013 | Yeah .
[41:06] me011 | W we just need to start somewhere .
"[41:08] me022 | The question the question then is h h how much bias do we introduce by you know ,"
"[41:13] me022 | introduce by saying , you know , this was important now and , you know , maybe tha something else is important later ?"
[41:18] me013 | Mm - hmm .
[41:19] me022 | does the bias matter ? I I don't know .
[41:29] fe008 | And and those those can be two different things .
"[41:29] me022 | Uh , yeah , yeah ."
"[41:31] me022 | Sure , sure . But I I I guess that 's the question , really , is that I mean ,"
[41:31] fe041 | Mm - hmm .
[41:34] fe008 | Mm - hmm .
[41:36] me022 | does building queries based on what 's important now introduce an irreversible bias
[41:43] me022 | on being able to do what Morgan wants to do later ?
"[41:45] fe008 | OK , good ."
[41:46] fe008 | Yeah .
[41:47] me022 | Right .
"[41:51] me013 | the soonest we can do it ,"
[41:53] me013 | we need to get up some kind of system
[41:56] me013 | so that people who 've been involved in the meeting
"[41:59] me013 | can go back later ,"
"[42:01] me013 | even if it 's a poor system in some ways , and , uh and ask the questions that they actually want to know ."
"[42:07] me013 | If you know , if uh , as soon as we can get that going at any kind of level , then"
[42:11] me013 | I think we 'll have a much better handle on what kind of questions people want to ask than in any anything we do before that . But obviously we have to
[42:19] me022 | Sure .
[42:19] fe041 | Right .
[42:19] fe008 | Mm - hmm .
[42:20] me022 | I agree .
[42:20] fe041 | Right .
"[42:23] fe008 | I will say that that I I chose "" interesting "" because I think it includes also "" important """
"[42:27] fe008 | in some cases . But , um , I I I feel like the summary gets at a different type of information ."
"[42:32] me022 | I think "" important "" can often be uninteresting ."
[42:34] me025 | Mmm .
[42:35] fe041 | Mmm .
[42:43] fe041 | OK - OK .
[42:44] fe008 | Yeah .
[42:46] fe008 | Yeah .
"[42:53] fe041 | No , i in the interest of generating some minutes here ,"
"[42:56] fe041 | uh , and also moving on to action items and other things ,"
"[43:02] fe041 | let me just go through the things that I wrote down as being important ,"
"[43:06] fe041 | um , that we at least decided on ."
"[43:11] fe041 | um , if Landay can get the , uh get them to to you guys ,"
"[43:16] fe041 | um , and see if they 're interesting . And if they are , then we 'll try to get m do it more ."
"[43:22] fe041 | Um ,"
[43:23] fe041 | getting electronic summary from a note - taking person if they happen to do it anyway .
"[43:29] fe041 | Um ,"
[43:36] fe041 | a couple digital pictures of the the table and boards to set the context of the meeting .
"[43:42] fe041 | Uh , and then going around the room"
"[43:49] fe041 | qu ask people to mention something interesting that they learned . So rather than say the most interesting thing ,"
"[43:56] fe041 | something interesting , and that way you 'll get more variety ."
[43:58] me013 | Mm - hmm .
[43:59] fe008 | That 's good . I like that . I like that .
"[43:59] me011 | I wouldn't even say that "" that they learned "" ."
[44:02] fe041 | OK .
[44:02] me025 | Yeah .
[44:13] fe041 | And then the last thing c
[44:16] fe041 | would be for those people who are willing to stay afterwards
[44:20] fe041 | and give an oral summary .
[44:24] fe041 | OK ? Does that pretty much cover everything we talked about ?
"[44:27] fe041 | That well , that we want to do ?"
[44:29] fe008 | And one and one qualification on on the oral summaries . They 'd be s they 'd be separate . They wouldn't be hearing each other 's summaries .
[44:33] fe041 | OK .
"[44:44] me011 | Yeah , that would be , let 's see , me ."
[44:46] fe041 | Mm - hmm .
[44:46] fe008 | Mm - hmm . OK .
"[44:51] me025 | And that if if that ever should happen , then we should try and write them down ."
[44:55] me013 | Right .
"[44:55] me011 | Give them a reward , a dollar a query ?"
[44:56] fn043 | Mm - hmm .
[44:58] me013 | Yeah .
[45:05] me011 | Yeah .
[45:13] me011 | Yeah .
[45:13] fe041 | Right . OK . So . Yeah .
[45:13] me025 | Yeah .
"[45:14] fe016 | I think I just wanted to say one thing about queries . I mean ,"
"[45:19] fe016 | the level of the query could be , you know , very low - level or very high - level . And"
"[45:25] fe016 | it gets fuzzier and fuzzier as you go up , right ?"
"[45:33] fe016 | you know , if this is something that requires a a one - word answer or it 's one place in the recording versus was there general agreement"
[45:40] me025 | Hmm .
"[45:41] fe016 | on this issue of all the people who ha You know , you can gen you can ask queries that are meaningful for people . In fact , they 're very meaningful cuz they 're very high - level ."
[45:45] me011 | Yep .
[45:52] me011 | Absolutely . So I think we 're gonna have to start
[45:52] fe008 | Mm - hmm .
"[45:58] me013 | I I 'm not so sure I agree with that . Because uh , b because it depends on , uh , what our goal is . If our goal is Wizard of Oz - ish ,"
[46:00] me011 | Really ?
"[46:05] me011 | Oh , that 's true ."
"[46:05] me013 | we might want to know what is it that people would really like to know about this data . And if it 's if if it 's something that we don't know how to do yet , th great , that 's , you know , research project for year four or something . You know ?"
[46:08] me025 | Yeah . Yeah .
[46:09] fe041 | Right .
"[46:12] me025 | Research , yeah ."
[46:12] fe041 | Mm - hmm .
[46:14] fe041 | Mm - hmm .
"[46:15] me011 | Yeah , I was thinking about Wizard of Oz , but it requires the wizard to know all about the meetings ."
"[46:22] me013 | Um ,"
"[46:24] me011 | So . Oh , yeah . I I understand ."
"[46:30] me025 | Get people to ask questions that they def the machine definitely can't answer at the moment , but Yeah ."
[46:33] me011 | Yep .
"[46:34] me013 | Yeah . w Just "" what would you like to know ? """
"[46:34] me011 | But that neither could anyone else , though , is what , uh , my point is ."
[46:43] fe041 | OK .
[46:44] fe008 | which could be obtained from the text from the transcript .
[46:47] me011 | Right . Since we have the transcript .
[46:48] fe008 | Yeah .
[46:54] me011 | Dates maybe . I don't know . That 's something I always forget .
"[46:56] fe008 | Yeah , that 's something to be determined , something to be specified , but text - oriented ."
"[47:05] fe016 | I mean , in gen that 's all I remember from most meetings ."
"[47:06] fe008 | I think you 'd remember that , yeah ."
"[47:08] fe016 | So , in general , I mean , that could be something you could say , right ? I 'm supposed to do this ."
"[47:17] fe008 | you know , "" other than your action item "" , you know , whatever . But but the action item would be a way to get , uh , maybe an additional query . So ."
"[47:22] fe016 | I mean , that 's realistically what people might well be remembering . So ."
[47:27] me013 | Hmm .
"[47:29] fe041 | Well , we 're piloting . We 'll just do it and see what happens ."
[47:32] fe016 | Yeah .
[47:32] fe008 | Yeah .
[47:32] me013 | Yeah .
[47:33] me013 | I usually don't remember my action items .
[47:40] me013 | Yeah .
[47:42] me011 | Sure . Can you hand me my note pad ?
"[47:43] fe041 | Um ,"
[47:50] me025 | Yeah . Then we 'll know .
"[47:51] me013 | We we had I mean ,"
"[47:52] me013 | somewhere up there we had milestones , but I guess Did y did you get enough milestone , uh , from the description things ?"
"[47:57] fe041 | Yeah . In fact , why don't you hand me those transparencies so that I remember to take them ."
[48:03] me013 | OK .
[48:09] fe041 | OK .
"[48:10] fe041 | What I have down for action items is we 're supposed to find out about our human subject ,"
"[48:16] fe041 | um ,"
[48:19] fe008 | Good .
[48:19] me011 | Yep .
"[48:24] fe041 | for their for web pages , to c and I 'll put together an overall cover ."
[48:29] fe041 | And you 're s
[48:30] fe041 | Hmm ?
[48:34] me025 | that 's p
[48:35] me011 | Right .
[48:35] me025 | PDA - free . Yeah .
"[48:38] fe041 | Um ,"
[48:42] me011 | Mailing lists .
"[48:46] me013 | Three of them . Well I mean ,"
"[48:48] fe041 | Uh , I think w Yeah ."
"[48:50] me013 | uh ,"
"[48:58] fe041 | um , about getting the data . Who should I email ?"
"[49:08] fe041 | How about if I just c Uh , Right now all I want I personally only want text data ."
[49:15] fe041 | But I 'm just speaking fr based on a conversation with him two weeks ago I had in Turkey . But I think all he would want is the digits .
"[49:24] fe041 | Um , but I 'll just speak for myself . I 'm interested in getting the language model data ."
"[49:28] fe041 | Eh , so I 'm just interested in getting transcriptions ."
[49:30] me011 | Mm - hmm .
[49:31] fe008 | OK . So y
[49:31] fe041 | So then just email you ?
"[49:32] fe008 | Sure , sure , sure ."
[49:33] fe041 | OK .
"[49:34] fe008 | You could email to both of us , uh , just I mean , if you wanted to . I mean , I don't think"
[49:35] me013 | Mm - hmm .
[49:38] fe041 | OK .
[49:38] me013 | i
[49:40] fe041 | And your email is ?
[49:40] me013 | i
[49:42] fe008 | Edwards at
[49:45] fe008 | ICSI .
[49:45] fe041 | OK .
"[49:46] me011 | Dot Berkeley dot EDU , of course ."
"[49:46] me013 | In in our phone call , uh , before , we we , uh It turns out the way we 're gonna send the data is by , uh , CD - ROMs."
"[49:56] me013 | and then what they 're gonna do is take the CD - ROM and transfer it to analog tape and give it to a transcription service , uh , that will Yeah ."
"[50:02] me011 | Oh , is this IBM ?"
"[50:07] me011 | Uh , so do they How are they gonna do the multi - channel ?"
[50:11] fe008 | Yeah . They they don't have a way .
[50:12] me011 | I thought so .
[50:13] fe008 | But they have a verification .
[50:15] me011 | Mix ?
"[50:15] me013 | probably about like you did , and then there will be some things you know , many things that don't work out well ."
"[50:21] me013 | they 'll , uh they run their aligner on it and it kicks out things that don't work well , which you know , the overlaps will certainly"
[50:36] me013 | Yeah .
[50:39] me013 | Yeah .
[50:40] me013 | Good idea .
[50:41] fe041 | Mm - hmm .
"[50:42] fe016 | I mean , they 're not gonna easily be able to do that , probably ."
[50:46] me011 | So .
[50:47] me022 | But w
[50:47] fe016 | Mm - hmm .
"[50:48] me022 | It 's not Right . It doesn't it isn't difficult for us to do , so we might as well just do it ."
[50:48] me011 | Yep . Absolutely .
[50:49] fe016 | I
"[50:51] me011 | Absolutely . So , sure ."
"[50:57] fe041 | OK . Related to to the conversation with Picheny , I need to email him ,"
"[51:03] fe041 | uh , my shipping address and you need to email them something which you already did ."
[51:16] fe008 | and I emailed them the str streamlined conventions which you got a copy of today .
[51:27] fe008 | Good .
"[51:30] fe008 | Oh , excellent . Good ."
[51:37] fe008 | I C - I CC ' ed Morgan . I should have sent I should have CC ' ed you as well .
[51:40] me011 | Not an immediate action item but something we do have to worry about is data formats for for higher - level information .
[51:47] fe041 | OK .
"[51:49] me011 | Well , or d or not even higher level , different level , prosody and all that sort of stuff . We 're gonna"
[51:55] me011 | have to figure out how we 're gonna annotate that .
"[51:57] me013 | Yeah , we w"
[52:00] me013 | Right .
[52:03] me011 | But that 's not That 's display . That 's different than format .
"[52:03] fe041 | Oh , OK ."
[52:12] fe008 | Yeah .
"[52:14] fe008 | OK , excellent ."
"[52:15] me013 | OK . So , what n"
"[52:17] fe008 | Well , it c"
[52:19] me025 | Right .
"[52:22] fn043 | No , I think that 's fine ."
[52:23] me013 | So a key thing will be that you we tell you
[52:24] fe008 | Great .
[52:29] me025 | Yeah .
"[52:35] fe041 | Oh , yeah ."
[52:36] me013 | we 're gonna call up your Communicator thing and and we 're gonna be
"[52:44] fn043 | Now , something that I mentioned earlier to Mari and Liz is that it 's probably important to get as many non - technical and non - speech people as possible"
[52:52] fn043 | in order to get some realistic users . So if you could ask other people to call
"[53:00] fn043 | Cuz we don't want people who already know how to deal with dialogue systems , who know that"
"[53:07] fe041 | Or , like if you have somebody who makes your your plane reservations for you ,"
[53:11] me013 | Yeah .
"[53:12] fe041 | um , which is"
"[53:13] me013 | Yeah , we can do that ."
[53:13] fe041 | the n
[53:13] me011 | Get my parents to do it .
"[53:15] fn043 | Yeah , for instance ."
[53:15] fe041 | Yeah . Yeah . Seriously .
[53:16] me013 | Yeah .
[53:19] me013 | Hmm .
[53:20] fe041 | Yeah .
"[53:21] fe041 | e You know , it could result in some good bloopers , which is always good for presentations ."
[53:28] me013 | Yeah . @ @
[53:29] me011 | I think my father would last through the second prompt before he hang hung up .
[53:35] fe041 | Mmm .
[53:40] me013 | OK .
"[53:46] me013 | We talked about that we 're getting the recording equipment running at UW . And so it depends ,"
[53:51] me013 | w e e e
"[53:52] me013 | they 're you know , they 're p m"
"[53:54] me013 | If that comes together within the next month , there at least will be , uh , uh ,"
"[54:05] fe041 | get it put together by the beginning of August . So , um ,"
"[54:10] me013 | But we have it it 's it 's pretty We don't know . I mean , he he s uh , he said that it was sitting in some room collecting dust and and so we don't know ,"
"[54:11] fe041 | you know , if"
[54:18] me013 | i e
"[54:18] fe041 | i It 's probably unlikely that we 'll pull this off , but a at least it 's worth trying ."
[54:22] me011 | Mm - hmm . What is it ?
[54:24] me013 | We don't know .
"[54:24] me011 | Oh , OK ."
[54:27] me025 | Yeah .
"[54:29] me013 | W We know it 's eight channels . Uh , we know it 's digital ."
[54:31] me011 | It 's eight tape recorders .
"[54:32] me013 | We don't even know if there 're microphones . So ,"
[54:37] me013 | we 'll find out .
"[54:38] fe041 | OK . Um , and I will email"
"[54:44] fe041 | Um , I 'm not sure what to do about action items for the data stuff ,"
"[54:48] fe041 | although , then somebody I guess somebody needs to tell Landay that you want the pads ."
"[54:53] me013 | Yeah , OK . I 'll do that ."
[54:55] fe041 | OK .
"[54:57] me013 | Um , and he also said something about outside there that came up about the outside text sources , that he he may have"
[55:04] me011 | Mm - hmm .
[55:05] fe041 | Oh !
[55:05] me013 | some text sources that are close enough to the sort of thing that we can
[55:06] fn043 | Hmm .
[55:10] me013 | play with them for a language model .
"[55:16] me025 | finds web pages that are thematically related to what you 're talking about . Well , that 's the idea ."
[55:23] me025 | supposedly got the right vocabulary .
[55:26] me013 | Mm - hmm .
[55:26] fe041 | Right .
"[55:31] fe041 | But but that 's actually what I wanna do . That 's that 's what I wanna work with , is is"
[55:33] me025 | OK .
[55:36] me025 | Yeah .
[55:36] fe041 | things that s the wrong material but the right
[55:40] fe041 | da the right source .
[55:40] me025 | Yeah .
[55:40] me011 | Un - unfortunately Landay told me that Jason is
[55:41] fe041 | Yeah .
[55:43] me011 | not gonna be working on that anymore . He 's switching to
"[55:45] fe041 | Yeah . He seemed when I asked him if he could actually supply data , he seemed a little bit more reluctant ."
[55:46] me011 | other stuff again .
[55:56] me011 | Who ? Landay or Jason ?
[55:58] fe041 | Landay .
[55:58] me011 | OK .
[55:58] me013 | OK .
"[55:59] fe041 | And , uh , um ,"
"[56:02] fe041 | you know , otherwise , if you guys have any papers"
"[56:06] fe041 | I could I could use , uh I could use your web pages . That 's what we could do ."
[56:09] fe041 | You 've got all the web pages on the Meeting Recor -
[56:11] me011 | True .
[56:12] fe041 | Yeah !
[56:12] me011 | Absolutely .
[56:13] me025 | Sure .
"[56:14] fe041 | Oh , forget this !"
"[56:15] me011 | Well , but that 's not very much ."
[56:19] fe041 | I can use what web pages there are out there on meeting recorders .
[56:22] me011 | Yep .
[56:23] me025 | Right .
[56:25] fe041 | Yeah .
[56:27] me025 | Yeah .
[56:29] me025 | Yeah .
[56:30] me013 | Yeah . So we can we can we can do better than that . Yeah .
[56:30] me025 | We can do that .
[56:32] me011 | Yeah .
[56:33] fn043 | Mm - hmm .
[56:36] fe016 | And Xerox .
"[56:37] fe041 | So , there 's there 's ICSI , Xerox ,"
[56:38] me013 | And Xerox . Yeah .
"[56:38] fe016 | And there 's You should l look under , like , intelligent environments , smart rooms ,"
"[56:43] me011 | Um , the "" Georgia Tech Classroom Two Thousand "" is a good one ."
[56:47] fe016 | th
[56:52] fe041 | Mm - hmm .
[56:56] fe041 | Mm - hmm .
[57:00] fe041 | OK .
[57:01] fe041 | Great . That solves that problem . One less action item .
[57:09] fe041 | OK . I think that 's good enou that 's that 's pretty much all I can think of .
"[57:19] fe008 | um , so ,"
"[57:20] fe008 | um , I s I know that from with the near - field mikes some of the problems that come with overlapping speech ,"
"[57:27] fe008 | uh , are lessened ."
"[57:30] fe008 | Uh , is that sufficient or should we consider"
"[57:33] fe008 | maybe getting some data gathered in such a way that , um ,"
"[57:37] fe008 | u w we would c uh , p have a meeting with less overlap than would otherwise be the case ? So either by rules of participation , or whatever ."
"[57:46] fe008 | Now , I mean , you know , it 's true , I mean , we were discussing this earlier , that"
"[57:49] fe008 | depending on the task so if you 've got someone giving a report you 're not gonna have as much overlap . But , um ,"
"[57:55] fe008 | i i uh , so we 're gonna have s you know , non - overlapping samples anyway ."
"[57:59] fe008 | But , um , in a meeting which would otherwise be highly overlapping , is the near - field"
[58:04] fe008 | mike enough or should we have some rules of participation for some of our samples to lessen the overlap ?
[58:06] me013 | Hmm .
"[58:10] fe041 | I don't think we should have rules of participation , but I think we should try"
"[58:14] fe041 | to get a variety of meetings . That 's something that if we get the the meeting stuff going at UW ,"
[58:18] fe008 | OK .
"[58:21] fe041 | that I probably can do more than you guys , cuz you guys"
[58:25] fe041 | are probably mostly going to get ICSI people here .
[58:28] me013 | Mm - hmm .
"[58:28] fe041 | But we can get anybody in EE ,"
"[58:32] fe041 | uh , over and and possibly also some CS people ,"
[58:38] fe008 | OK .
[58:40] fe041 | that there 's a good chance we could get more variety .
"[58:41] fe008 | Just want to be sure there 's enough data to OK , good ."
"[58:43] fe041 | Um ,"
"[58:54] fe016 | Y you know , anything that was televised for a third party"
[58:54] me013 | Mm - hmm .
[58:57] fe016 | has the characteristic of not very much overlap .
[59:01] fe041 | Mm - hmm .
[59:01] fe016 | So .
[59:06] fe041 | Right .
"[59:06] fe008 | Mm - hmm . On the task , and the task ."
"[59:09] fe008 | I just wanted to uh , because you know , it is true people can modify the amount of overlap that they do if if they 're asked to ."
[59:10] me013 | Yeah .
[59:15] me013 | Yeah .
"[59:16] fe008 | Not not entirely modify it , but lessen it if if it 's desired ."
[59:21] fe008 | But if if that 's sufficient data I just wanted to be sure that we will not be having a lot of data which can't be processed .
