[00:05] fe004 | Time .
[31:38] fe004 | how do they work in terms of you know a force dynamics or how do they work in f terms of other things . So all of those have um
"[31:41] mn015 | Mm - hmm , Mm - hmm , Mm - hmm ."
[31:45] fe004 | basically f either specific frame specific roles or more general
[31:48] fe004 | frame specific roles that might have binding . So the question is are um how to represent when things are linked in a certain way .
[31:59] mn015 | Mm - hmm .
[32:01] fe004 | uh I don't know if you wanna have in the same level as the action schema SPG schema it it 's somewhere in there that you need to represent that there is some container and the interior of it corresponds to some part of the Source - Path - Goal
[32:16] mn015 | Mm - hmm .
[32:23] mn015 | Yeah .
[32:26] me003 | The wa wasn't there supposed to be a link in the
[32:27] me012 | Right .
"[32:31] me003 | I don't know if this answers your question , I was just staring at this while you were talking , sorry ."
[32:35] fe004 | It 's OK .
"[32:35] me003 | Uh a link between the action schema ,"
[32:38] me003 | a field in the s in the
[32:45] mn015 | Yeah .
"[32:47] mn015 | Um , well that 's that 's one one thing is that"
"[32:50] mn015 | we can link up ,"
[32:52] mn015 | think also that um
[32:55] mn015 | we can have one or m as many as we want links from from the schema up to the s action um description of it .
[33:01] fe004 | Hmm .
[33:03] mn015 | But the notion I got from Nancy 's idea was
[33:06] mn015 | that we may f find sort of
"[33:08] mn015 | concepts floating around i in the a action description of the action f "" Enter "" frame up there that are ,"
[33:21] fe004 | Exactly .
"[33:21] mn015 | the S Source - Path - Goal schema , and"
"[33:22] fe004 | Right , right ."
[33:23] mn015 | do we have means of of telling it within that a and the answer is absolutely .
[33:26] fe004 | Right .
[33:28] fe004 | Yeah .
"[33:29] mn015 | The way we absolutely have those means that are even part of the M - three - L A API ,"
[33:33] fe004 | Oh great . s Uh - huh .
[33:36] fe004 | Great . That 's exactly what is necessary .
[33:38] me003 | Yeah .
[33:38] mn015 | And um . This referencing thing however is of temporary nature because sooner or later the W - three - C will be
[33:39] me003 | St -
"[33:46] mn015 | finished with their X - path , uh ,"
"[33:50] mn015 | um ,"
"[33:52] mn015 | specification and then it 's going to be even much nicer . Then we have real means of pointing at an individual instantiation of one of our elements here and link it to another one , and this not only within a document but also via documents ,"
[33:57] fe004 | Mm - hmm .
[34:01] fe004 | Mm - hmm .
[34:07] me045 | Mm - hmm .
[34:07] fe004 | OK .
[34:08] mn015 | and and all in a v very easy e homogenous framework .
"[34:11] fe004 | So you know happen to know how what what "" sooner or later "" means like in practice ?"
[34:16] mn015 | That 's @ @ but it 's soon . So it 's g it 's the spec is there and it 's gonna part of the M - three - L AP API filed by the end of this year so that this means we can start using it basically now . But this is a technical detail .
"[34:16] fe004 | Or estimated . OK , OK ."
[34:28] fe004 | Mm - hmm .
[34:29] fe004 | So a pointer a way to really say pointers .
[34:31] me003 | Basically references from the roles in the schema the bottom schemas to the action schemas is wha uh I 'm assuming .
[34:33] fe004 | Yeah .
"[34:36] fe004 | OK , yeah ."
[34:36] mn015 | Yeah .
"[34:38] mn015 | Yeah , I mean personally , I 'm looking even more forward"
[34:38] fe004 | OK .
"[34:41] mn015 | to the day when we 're going to have X forms , which l is a form of notation where it allows you to say"
"[34:47] mn015 | that if the SPG action up there is Enter ,"
[34:50] fe004 | Uh - huh .
[34:50] mn015 | then the goal type can never be a statue .
[34:54] fe004 | Right .
[34:54] me045 | Mm - hmm .
"[34:55] fe004 | So you have constraints that are dependent on the c actual s specific filler , uh ,"
"[34:57] mn015 | Mm - hmm , yeah ."
[34:58] mn015 | W
"[34:59] mn015 | Yeah e exactly . Um ,"
[35:02] fe004 | of some attribute . Uh - huh .
"[35:02] mn015 | you know this , of course , does not make sense in light of the Statue of Liberty ,"
[35:05] me045 | Right .
[35:05] mn015 | however it is uh you know sort of these sort of things are imaginable .
[35:11] fe004 | Or the Gateway Arch in St . Louis . So .
[35:12] mn015 | Yeah ?
[35:12] me012 | S
[35:13] mn015 | Yeah .
"[35:13] me012 | So um ,"
[35:14] me012 | like are you gonna have similar schemas for FM like forced motion and caused action and stuff like you have for SPG ?
[35:20] mn015 | Yeah .
"[35:21] me012 | And if so like can are you able to enforce that you know if if it 's if it 's SPG action then you have that schema , if it 's a forced motion then you have the other schema"
"[35:29] mn015 | Um we have absolute No . We have absolutely no means of enforcing that ,"
"[35:34] mn015 | so it would be considered valid if we have an SPG action "" Enter "" and no SPG schema , but a forced action schema ."
[35:43] mn015 | Could happen .
[35:51] fe004 | of that verb as well .
[35:52] mn015 | Hmm . It maybe it means we had nothing to say about the Source - Path - Goal .
[35:54] me012 | OK .
"[35:55] mn015 | What 's also nice , and for a i for me in my mind it 's it 's crucially necessary , is that we can have multiple schemas and multiple action schemas in parallel ."
[36:07] me012 | Right .
"[36:07] mn015 | And um we started thinking about going through our bakery questions , so when I say "" is there a bakery here ? """
[36:36] mn015 | Yes .
[36:41] me003 | Right .
[36:42] fe004 | both things .
[36:44] me045 | Snack action .
[36:45] fe004 | That 's interesting .
[36:48] fe004 | What ?
[36:48] mn015 | have the buying snack schema ?
[36:52] fe004 | d f
[36:57] fe004 | I see .
[37:01] fe004 | Uh - huh .
[37:02] fe004 | Uh - huh .
"[37:02] mn015 | you know at which however that looks like ,"
[37:05] mn015 | the place f
[37:07] mn015 | thing to buy .
"[37:09] fe004 | I mean you could have a flat structure and just say these are two independent things ,"
"[37:13] fe004 | but there 's also this sort of like causal , well , so one is really facilitating the other and it 's part of a compound action of some kind , which has structure ."
[37:19] mn015 | Yeah .
"[37:20] mn015 | Now it 's technically possible that you can fit schema within schema ,"
[37:31] mn015 | um
"[37:37] fe004 | I mean there are truly times when you have two totally independent goals that they might express at once , but in this case it 's really like"
[37:41] mn015 | Yes .
[37:43] fe004 | there 's a purpo means that you know f for achieving some other purpose .
"[37:47] mn015 | Well , if I 'm if I 'm recipient of such a message and I get a Source - Path - Goal where the goal is a bakery and then I get a commercial action which takes place in a bakery , right ?"
[37:56] fe004 | Uh - huh .
"[37:57] mn015 | and and and they they are obviously , via identifiers , identified to be the same thing here ."
[38:03] fe004 | Yeah . See that that bothers me that they 're the same thing .
"[38:07] mn015 | No , no , just the Yeah ?"
[38:09] fe004 | Yeah because they 're two different things one of which is l you could think of one a sub you know pru whatever pre - condition for the second .
"[38:15] mn015 | Yeah , yeah !"
"[38:16] fe004 | Right . Yeah , yeah . So . So . OK ."
[38:17] fe004 | So there 's like levels of granularity . So uh there 's there 's um a single event of which they are
[38:24] fe004 | both a part . And they 're independently they they are events which have
[38:28] fe004 | very different characters as far as Source - Path - Goal whatever . So when you identify Source - Path - Goal and
"[38:29] mn015 | Mm - hmm , yeah ."
"[38:32] fe004 | whatever , there 's gonna to be a desire , whatever , eating , hunger , whatever other frames you have involved ,"
[38:37] fe004 | they have to match up in in nice ways . So it seems like each of them has its own internal structure and mapping to these
[38:42] mn015 | Mm - hmm .
[38:48] fe004 | That 's just me .
"[38:49] mn015 | Well ,"
[38:51] mn015 | I think we 're gonna
[38:52] mn015 | hit a lot of interesting
[38:53] mn015 | problems and as I prefaced it
[38:59] fe004 | Mm - hmm .
[39:01] mn015 | about it
[39:03] me003 | Yeah .
[39:11] mn015 | Um
[39:12] mn015 | it occur it occurs to me that I mean ne
[39:14] me045 | Or the intended interpretation of this . Yeah .
"[39:16] mn015 | um well I should have we should have added an ano an XML example ,"
[39:20] mn015 | or some XML examples
[39:20] me045 | Yeah .
[39:22] mn015 | and and this is on on a on on my list of things until next next week .
[39:25] me045 | OK .
[39:27] mn015 | It 's also a question of the recursiveness and and a hier hierarchy
[39:30] fe004 | Yeah . Yeah .
[39:32] mn015 | um in there . Do we want the schemas just blump blump blump blump ?
"[39:38] mn015 | I mean it 's if we can actually you know get it so that we can , out of one utterance , activate more than one schema , I mean , then we 're already pretty good , right ?"
[39:45] fe004 | Mm - hmm .
[39:48] mn036 | Well well you have to be careful with that uh uh thing because uh
[39:53] mn036 | I mean many actions presuppose some um almost infinitely many other actions . So if you go to a bakery you have a general intention of uh
[39:59] fe004 | Yeah .
[40:00] fe004 | Mayb - yeah .
[40:03] mn036 | not being hungry .
[40:03] mn036 | You have a specific intentions to cross the traffic light to get there . You have a further specific intentions to left to lift your right foot and so uh uh I mean y you really have to focus on
[40:06] fe004 | Mm - hmm .
[40:06] me045 | Yeah .
[40:10] mn015 | Hmm ?
[40:12] fe004 | Right .
"[40:15] mn036 | on on and decide the level of of abstraction that that you aim at it kind of zero in on that , and more or less ignore the rest , unless there is some implications"
[40:18] fe004 | Right .
[40:18] mn015 | Yeah .
[40:28] mn036 | from sub - tasks um that are relevant
[40:31] fe004 | M
[40:31] fe004 | Th -
[40:31] mn036 | uh I mean but very difficult .
[40:34] mn036 | Yeah .
[40:38] mn015 | Mm - hmm .
"[40:43] me003 | Well the the the utterance was "" is there a bakery around here ? "" , not"
[40:46] fe004 | Well maybe their friend said they were going to meet them in a bakery around the area .
"[40:46] me003 | "" I want to go to a bakery . """
[40:49] mn036 | Right .
"[40:51] fe004 | And I 'm , yeah I 'm I 'm inventing contexts which are maybe unlikely , but yeah I mean like but it 's still the case that um you could you could override that default by giving extra information which is to me a reason why you would keep"
[40:51] mn036 | Right .
"[40:58] mn015 | Mm - hmm , yeah ."
"[41:01] fe004 | the inference of that separate from the knowledge of "" OK they really want to know if there 's a bakery around here "" , which is direct ."
[41:06] mn015 | Yeah .
[41:07] mn015 | Well there there there should never be a hard coded uh shortcut from the bakery question to the
[41:14] mn015 | uh double schema
[41:15] fe004 | Right .
"[41:16] mn015 | thing , how uh And , as a matter of fact , when I have traveled with my friends we make these exactly these kinds of appointments ."
[41:20] fe004 | Mm - hmm .
"[41:22] fe004 | Yeah . Exactly . It 's I met someone at the bakery you know in the Victoria Station t you know train station London before , yeah ."
[41:22] me045 | Mm - hmm .
[41:23] mn015 | We o o
[41:27] me045 | Mm - hmm .
[41:27] mn036 | Right .
[41:27] me045 | Yep .
"[41:29] mn036 | I have a question about the slot of the SPG action . So the Enter - View - Approach the the the EVA um , those are fixed slots in this particular action . Every action of this kind"
[41:40] mn036 | will have a choice .
[41:41] mn036 | Or or or or will it just
"[41:45] me045 | Every SPG every SPG action either is an Enter or a View or an Approach , right ? OK ."
[41:49] mn015 | Mm - hmm .
[41:52] mn036 | for each particular action that you may want to characterize
[41:56] mn036 | you would have
[41:57] mn036 | some number of slots that define uh uh uh
"[42:02] mn036 | you know in some way what this action is all about . It can be either A , B or C . Um ."
[42:06] mn036 | So is it a fixed number or or do you leave it open it could be between one and fifteen uh it 's it 's it 's flexible .
"[42:17] mn015 | Well , it sort of depends on on if you actually write down the the schema then you have to say it 's either one of them"
"[42:26] mn015 | or it can be none , or it can be any of them . However the uh it seems to be"
[42:34] mn015 | sensible to me to r to view them as mutually exclusive
[42:40] mn015 | um
[42:42] mn015 | maybe even not .
[42:42] fe004 | J
[42:43] fe004 | Do you mean within the Source - Path - Goal actions ? Those three ?
[42:43] mn036 | uh
[42:45] mn015 | Yeah .
"[43:05] mn036 | Um now you define uh another action , it 's it 's called um"
[43:08] mn015 | Forced action or forced motion .
"[43:10] mn036 | uh s S P G - one action that has to do with writing a letter , let 's say . I mean not even within this context , but"
[43:11] mn015 | Yeah .
"[43:28] mn036 | And i in in a way similar to either Enter - View - Approach you may want to send a letter , read a letter , or dictate a letter , let 's say ."
[43:29] mn036 | a different action . Um and this uh action - two would have various variable possibilities of interpreting what you would like to do .
"[43:37] mn036 | So , h"
"[43:42] me003 | These actions I don't know if I 'm gonna answer your question or not with this , but"
"[43:45] me003 | the categories inside of action schemas , so , SPG action is a category ."
[43:49] me003 | Real - although I think what we 're specifying here is this is a category where the
"[43:54] me003 | actions "" enter , view and approach "" would fall into because they have a related Source - Path - Goal schema in our tourist domain ."
[44:08] mn036 | Right .
"[44:08] mn036 | Oh , s so it 's sort of automatic derived fr from the structure that that is built elsewhere ."
[44:14] me003 | derived I don't know if I u
"[44:16] me045 | This is a cate this a category structure here , right ? Action schema ."
[44:19] me003 | Right .
[44:20] me045 | What are some types of action schemas ? Well one of the types of action schemas is Source - Path - Goal action .
"[44:25] me045 | And what are some types of that ? And an Enter ,"
[44:27] me003 | Right .
"[44:28] me045 | a View , an Approach . Those are all Source - Path - Goal actions ."
[44:28] mn015 | Hmm .
[44:30] me003 | Inside of Enter there will be roles that can be filled
"[44:37] me003 | then you 'd have the roles that need to filled , where you 'd have a Source - Path - Goal"
"[44:41] me003 | set of roles . So you 'd the Source would be outside and Path is to the door or whatever , right ?"
[44:45] mn036 | Right .
[44:47] me003 | So if you wanted to have a new type of action you 'd create a new type of category .
[44:51] me003 | Then this category would we would put it or not necessarily We would put
"[44:58] me003 | in which it has the um Well , every action has a set of related schemas"
"[45:03] me003 | like Source - Path - Goal or force , whatever , right ?"
[45:05] me045 | Mm - hmm .
[45:06] mn036 | Right .
"[45:06] me003 | So we would put "" write a letter "" in the categories uh that in which it had it w had uh"
[45:14] me045 | There could be a communication event action or something like that and you could write it .
[45:14] me003 | schemas u
[45:16] mn015 | Mm - hmm .
[45:16] me003 | Exactly . Schemas uh that of that type .
"[45:20] me003 | And then later ,"
[45:24] fe004 | Hmm .
"[45:27] fe004 | So there 's a bit a redundancy , right ? in in which the things that go into a particular You have categories at the top under action schema and the things that go under a particular category are um"
[45:36] fe004 | supposed to have a corresponding schema definition for that type . So I guess what 's the function of having it up there too ?
"[45:44] fe004 | I mean I guess I 'm wondering whether You could just have under action schema you could just sort of say whatever you know it 's gonna be Enter , View or Approach or whatever number of things and pos partly because"
[45:51] mn015 | Mm - hmm .
[45:58] mn015 | Yeah .
[46:08] me003 | Right .
[46:08] mn015 | Yeah .
[46:10] mn015 | th this is this r this is this is more this is probably the way that
"[46:15] mn015 | th that 's the way that seemed more intuitive to Johno I guess also for a while for No , no , no . Uh we have not we have not seen the light ."
[46:19] fe004 | Uh - huh .
[46:20] fe004 | But now you guys have seen the light . So .
[46:24] fe004 | I it 's easy to go back and forth isn't it ? Uh - huh .
"[46:25] me003 | One reason we 're doing it this way is in case there 's extra structure that 's in the Enter action that 's not captured by the schemas , right ?"
[46:30] fe004 | I agree . Right . Right .
[46:33] fe004 | Which is why I would think you would say Enter and then just say all the things that are relevant specifically to Enter . And then the things that are abstract will be in the abstract things as well . And that 's why the bindings become useful .
[46:47] fe004 | Um
[46:48] mn015 | No basically w
"[46:49] fe004 | Ye - I see what you mean by that , but I I don't if I would I would need to have t have that ."
[46:52] mn015 | Get get rid of the sort of SPG slash something
[46:56] fe004 | Right .
"[46:56] mn015 | uh or the sub - actions category , because what does that tell us ?"
[47:00] fe004 | Uh - huh .
[47:01] fe004 | Yeah .
"[47:02] mn015 | Um and I agree that you know this is something we need to discuss , yeah ."
"[47:05] fe004 | I in fact what you could say is for Enter ,"
[47:11] me045 | List all the parent categories .
"[47:11] fe004 | you know i list all the parent categories "" . It 's just like"
"[47:14] fe004 | a frame hierarchy , right ? like you have these blended frames . So you would say enter and you 'd say my parent"
[47:15] me045 | Yeah .
[47:15] mn015 | Mm - hmm .
"[47:18] fe004 | frames are such - and - such , h and then those are the ones that actually you then actually define and say how the roles bind to your specific roles which will probably be f richer and fuller and have other stuff in there ."
[47:26] me045 | Yeah .
[47:36] me045 | Yeah .
"[47:40] mn015 | And , I guess fr uh"
[47:48] me045 | Hhh . Damn this headset !
[47:54] me045 | Um .
[48:01] me045 | Um .
[48:05] me045 | I mean does th
[48:07] me045 | Who uses this uh this data structure ?
"[48:09] me045 | You know ? Like , do you say "" alright I 'm going to uh do an SPG action "" ."
"[48:15] me045 | And then you know somebody ne either the computer or the user says "" alright , well , I know I want to do a Source - Path - Goal action so what are my choices among that ? """
"[48:23] me045 | And "" oh , OK , so I can do an Enter - View - Approach "" . It 's not like that , right ?"
"[48:27] me045 | It 's more like you say "" I want to , uh I want to do an Enter . "" And then you 're more interested in knowing what the parent categories are of that ."
[48:34] me045 | Right ? So that
[48:35] me045 | the um the uh sort of representation that you were just talking about seems more relevant to the kinds of things you would have to do ?
[48:39] fe004 | Hmm .
[48:40] me003 | I
[48:41] me003 | I think I 'd I 'm not sure if I understand your question .
[48:43] me003 | Only one of those things are gonna be lit up when we pass this on .
[48:46] me045 | OK .
"[48:48] me003 | if we if our if our module decided that Enter is the case ,"
[48:50] me045 | OK .
[48:51] me003 | View and Approach
[48:53] me003 | will not be there .
[48:54] me045 | OK .
[48:55] mn015 | Well uh it 's it sort of came into my mind that sometimes
"[48:59] mn015 | even two could be on , and would be interesting ."
[49:01] fe004 | Yeah .
[49:02] mn015 | um
[49:03] me045 | Mayb -
[49:05] me045 | Well maybe I 'm not understanding where this comes from and where this goes to . What are we doing with this ?
[49:06] me003 | we can't w
[49:08] me003 | well the thing is if that 's the case we our I don't think our system can handle that
[49:11] me003 | currently .
[49:14] mn015 | U s t
[49:14] me045 | In principle .
[49:15] mn015 | So the I think the in some sense we we ex
[49:25] fe004 | Mm - hmm .
[49:26] mn015 | need . Period . No more qualifiers than that . So .
"[49:28] fe004 | No , this is the useful , you know , don don't worry ."
[49:30] mn015 | and um and and I th I hope um
[49:34] mn015 | uh let 's make a a a a sharper claim . We will not end this discussion anytime soon .
[49:45] mn015 | And it 's gonna get more and more complex the the l
[49:50] mn015 | complexer and larger our domains get .
[49:52] mn015 | And
[50:09] me045 | Yeah .
[50:10] me045 | Yeah .
[50:11] me003 | um
[50:13] me003 | that 's kind of a contentious point between the two of us
[50:15] me003 | but
[50:18] me003 | this is one wa so this is a way to link
[50:21] me003 | uh
[50:23] me003 | the way these roles are filled out to the action .
[50:26] me045 | Mm - hmm .
"[50:26] me003 | Because if we know that Enter is a t is an SPG action , right ?"
[50:31] me045 | Mm - hmm .
[50:32] me003 | we know to look for an SPG schema and put the appropriate fill in the appropriate roles later on .
[50:35] me045 | Mm - hmm .
"[50:38] fe004 | And you could have also indicated that by saying "" Enter , what are the kinds of action I am ? """
[50:38] me045 | Yeah .
"[50:41] mn015 | Mm - hmm , yeah ."
[50:41] me003 | Right .
[50:42] me045 | Yeah .
"[50:42] fe004 | Right ? So there 's just like sort of reverse organization , right ?"
[50:46] fe004 | So like unless @ @ Are there reasons why one is better than the other I mean that come from other sources ?
[50:52] fe004 | Yeah . uh
"[50:56] mn015 | this is a schema that defines XML messages that are passed from one module to another ,"
[51:01] fe004 | Mm - hmm .
"[51:02] mn015 | mainly meaning from the natural language understanding , or from the deep language understanding to the action planner ."
[51:05] fe004 | Mm - hmm .
[51:09] mn015 | the reason for for not
[51:12] mn015 | using this approach is because
"[51:14] mn015 | you always will have to go back ,"
[51:16] mn015 | each module will try have to go back to look up which uh you know entity can have
"[51:25] mn015 | So you always need the whole body of of y your model um to figure out what belongs to what . Or you always send it along with it , nuh ? So you always send up "" here I am I am this person , and I can have these parents "" in every message ."
[51:32] fe004 | Mm - hmm .
[51:33] fe004 | Mm - hmm .
[51:39] fe004 | Mm - hmm .
"[51:41] fe004 | OK , so it 's just like a pain to have to send it ."
[51:41] mn015 | which e
"[51:46] mn015 | I 'm completely willing to to to throw all of this away and completely redo it ,"
"[51:47] fe004 | OK , I understand ."
[51:49] fe004 | @ @
[51:51] mn015 | you know and and and it after some iterations we may just do that .
[51:54] fe004 | Mm - hmm .
"[51:55] me045 | I I would just like to ask um like , if it could happen for next time , I mean , just beca"
"[52:01] me045 | cuz I 'm new and I don't really just I just don't know what to make of this and what this is for , and stuff like that , you know , so if someone could make an example"
[52:02] mn015 | Mm - hmm .
[52:07] mn015 | Yeah .
"[52:08] me045 | of what would actually be in it , like"
[52:09] me045 | first of all what modules are
"[52:14] mn015 | I will promise for the next time to have fleshed out N XML examples for a a run through and and see how this this then translates ,"
[52:19] me045 | OK .
[52:25] fe004 | Be great .
"[52:25] mn015 | and how this can come about , nuh ? including the sort of "" miracle occurs here """
[52:30] me045 | Right .
[52:31] mn015 | um part .
[52:33] mn015 | And
[52:36] mn015 | um
"[52:46] mn015 | In principle what I I think that this approach does ,"
[52:49] mn015 | and e e whether or not we take the Enter - View and we all throw up up the ladder
[52:55] mn015 | um wha how do how does Professor Peter call that ? The uh
[52:55] fe004 | Yeah .
[53:02] mn015 | silence su sublimination ?
[53:04] mn015 | Throwing somebody up the stairs ?
[53:07] mn015 | Have you never read the Peter 's Principle anyone here ?
[53:09] me045 | Nope .
[53:12] me012 | People reach their level of uh
[53:13] mn036 | Yeah .
[53:14] me012 | max
[53:15] me012 | their level of at which they 're incompetent or whatever .
[53:16] mn015 | Maximum incompetence and then you can throw them up the stairs
"[53:17] mn036 | Yeah . Right , right ."
[53:20] mn015 | um .
"[53:21] mn036 | Promote them , yeah ."
[53:22] mn015 | Yeah .
"[53:23] mn015 | OK , so we can promote Enter - View all all up a bit and and get rid of the uh blah - blah - X - blah uh"
[53:30] mn015 | asterisk sub - action item altogether .
[53:33] me045 | OK .
[53:33] mn015 | No no problem with that and we w
"[53:35] mn015 | we we will play around with all of them but the principal distinction between having the the pure schema and their instantiations on the one hand , and adding some whatever ,"
[53:49] mn015 | more intention oriented specification um on parallel to that that this approach seems to be uh workable to me . I don't know .
[54:02] mn015 | @ @
[54:04] mn015 | If you all share that opinion then that made my day much happier .
[54:09] me003 | This is a simple way to basically link uh roles to actions .
[54:13] fe004 | R
"[54:17] fe004 | Yeah , yeah . That 's fine ."
[54:18] me045 | Sure .
"[54:18] me003 | That 's the that was the intent of of it , basically ."
[54:21] me045 | Sure .
[54:22] mn015 | Yeah .
[54:29] me003 | I b I mean ROLLS so
"[54:35] me003 | Yeah , pastries is what I 'm talking about ."
[54:36] fe004 | Pastry oh ba oh the bak bakery example . I see .
[54:37] fe046 | Bakery . Bakery .
[54:37] me045 | This is the bakery example . Got it . Alright .
[54:39] fe004 | Right .
[54:40] fe004 | OK .
[54:46] mn015 | OK . That 's all I have for today .
"[54:52] mn015 | Oh no , there 's one more issue . Bhaskara brought that one up . Meeting time rescheduling ."
[55:02] mn015 | Yeah .
[55:02] fe004 | Hmm .
[55:12] mn015 | So people have been thinking about an alternative time and the one we came up with is Friday two - thirty ? three ? What was it ?
"[55:22] me003 | You have class until two , right ? so if we don't want him if we don't want him to run over here"
[55:24] me012 | Mm - hmm .
[55:24] mn015 | Two - th
[55:25] fe004 | So do I . Yeah .
[55:27] mn015 | Two - thirty - ish or three or Friday at three or something around that time .
[55:28] me045 | Mm - hmm .
[55:30] me012 | Yeah . Yeah . e
[55:32] fe004 | That would be good .
[55:34] mn036 | uh Friday uh
"[55:37] mn036 | Yeah , that 's fine ."
[55:41] mn015 | You 're busy ?
[55:41] fe046 | Yeah .
[55:43] fe004 | So three is sounds good ?
[55:43] mn036 | Yeah .
[55:44] me045 | Yeah .
[55:44] fe004 | I 'll be free by then .
[55:45] me045 | I could do that . Yeah I mean
"[55:47] me045 | earlier on Friday is better but three you know I mean if it were a three or a three thirty time then I would take the three or whatever , but yeah sure three is fine ."
[55:53] mn015 | Mm - hmm .
"[55:55] mn015 | Yeah , and you can always make it shortly after three probably ."
[55:56] me045 | I mean .
"[55:58] fe046 | Yeah , and I don't need to be here particularly deeply ."
"[56:01] mn015 | Often , no , but"
[56:02] fe046 | Yeah .
"[56:02] mn015 | uh ,"
[56:03] mn015 | whenever . You are more than welcome if you think that this kind of discussion
[56:04] fe046 | But yeah .
[56:09] mn015 | gets you anywhere in in your life then uh
[56:13] mn015 | you 're free
[56:16] mn015 | @ @
[56:17] me045 | Yeah .
[56:17] mn015 | Hmm ?
[56:22] me045 | Yeah .
[56:33] mn015 | And um
[56:41] me012 | So I mean clearly there 's I can talk about the um the parser changes on Friday
"[56:45] mn015 | OK , Bhaskara will do the big show on Friday ."
"[56:45] me012 | at least , so ."
[56:47] fe004 | And you guys will argue some more ?
[56:49] me003 | And between now and then yeah .
[56:49] fe004 | and have some ?
[56:52] fe004 | probably .
[56:52] me045 | Promise ?
[56:52] mn015 | We will r
[56:53] me003 | We will .
[56:54] me003 | Don't worry .
[56:55] fe004 | Yeah .
[56:59] mn036 | An - and I would like to second Keith 's request . An example wo would be nice t to have kind of a detailed example .
[56:59] fe004 | S
[57:02] me045 | Yeah .
[57:07] mn036 | OK .
[57:08] fe004 | Like have it we 'll have it in writing . So .
"[57:11] fe004 | or , better , speech . So ."
[57:13] mn015 | This is it and um
[57:14] me003 | The other good thing about it is Jerry can be on here on Friday and he can weigh in as well .
[57:18] mn015 | Yeah .
[57:19] mn015 | and um if you can get that binding point also maybe with a nice example that would be helpful for Johno and me .
[57:26] fe004 | Oh yeah uh
[57:27] fe004 | OK .
[57:28] fe004 | let 's uh
"[57:30] fe046 | No problem , yeah ."
"[57:31] fe004 | I have several in my head , yeah ."
[57:33] fe004 | Always thinking about binding .
[57:35] mn015 | Well the the the binding is technically no problem but it 's it for me it seems to be conceptually important that we find out if we can s if if there if there are things
[57:39] fe004 | @ @
"[57:47] mn015 | in there that are sort of a general nature , we should distill them out and put them where the schemas are ."
[57:51] fe004 | Mm - hmm .
"[57:53] mn015 | If there are things that you know are intention - specific ,"
"[57:57] mn015 | then we should put them up somewhere ,"
[58:01] mn015 | a
[58:04] mn015 | Yep .
[58:05] mn015 | That 's wonderful .
[58:09] mn015 | Yeah .
[58:09] fe004 | I mean Shastri would say you know binding is like an essential cognitive uh process . So . Um .
[58:16] mn015 | OK .
"[58:16] fe004 | So I don't think it will be isolated to one or the two , but you can"
[58:23] fe004 | So actually I 'm not sure I would be curious to see
[58:25] fe004 | how separate the intention
[58:28] fe004 | part and the action part
[58:31] fe004 | are in the system .
"[58:32] fe004 | Like I know the whole thing is like intention lattice , or something like that , right ? So"
[58:34] mn015 | Mm - hmm .
[58:36] fe004 | is the ri right now are the ideas the rich rich the RAD
[58:39] fe004 | or whatever
[58:40] fe004 | is one
[58:44] fe004 | it 's still mainly intention hypothesis and then that 's just one way to describe the the action part of it . OK .
[58:44] mn015 | Yeah .
[58:45] mn015 | Yeah .
[58:48] mn015 | Yeah .
[58:49] me003 | It 's an a attempt to refine it basically .
"[58:51] fe004 | OK , great uh - huh ."
"[58:54] fe004 | Not just that you want to go from here to here , it 's that"
[58:56] mn015 | Yeah .
[58:56] fe004 | the action is what you intend and this action consists of all com complicated modules and image schemas and whatever . So .
[59:02] mn015 | Yeah . And and there will be a a a relatively high level of redundancy in the sense that
[59:07] fe004 | Mm - hmm .
"[59:09] fe004 | which is , yeah , It 's fine"
[59:09] mn015 | um
[59:11] mn015 | ultimately
[59:14] mn015 | so th so that
"[59:15] mn015 | if we want to get really cocky we we will say "" well if you really look at it , you just need our RAD . """
"[59:21] mn015 | You can throw the rest away ,"
[59:23] fe004 | Mm - hmm .
[59:23] mn015 | right ?
[59:24] fe004 | Right .
[59:24] mn015 | Because you 're not gonna get anymore information out of
[59:26] fe004 | Right .
[59:27] mn015 | the action a as you find it there in the domain object .
[59:30] fe004 | Mm - hmm .
[59:32] mn015 | But then again um
"[59:34] mn015 | in this case , the domain object may contain information that we don't really care about either ."
[59:39] fe004 | Mm - hmm .
[59:39] mn015 | So .
[59:42] mn015 | H
"[59:43] mn015 | But w we 'll see that then , and how how it sort of evolves ."
[59:47] fe004 | Mm - hmm .
"[59:51] mn015 | I mean if if people really like our our RAD , I mean w what might"
"[59:57] mn015 | happen is that they will get rid of that action thing completely ,"
"[00:02] mn015 | you know , and leave it up"
[00:03] mn015 | for us to get the parser input
[00:06] fe004 | Mmm . We know the things that make use of this thing so that we can just change them so that they make use of RAD .
[00:06] mn015 | um
[00:09] mn015 | Yeah .
[00:11] mn015 | Yeah .
[00:12] fe004 | I can't believe we 're using this term . So I 'm like
"[00:15] fe004 | RAD ! Like every time I say it , it 's horrible ."
[00:18] fe004 | OK .
[00:18] mn015 | Mm - hmm .
[00:23] me003 | RAD 's a great term .
"[00:24] fe004 | But what is the "" why "" ?"
[00:27] fe004 | Why ?
[00:28] me045 | It happened to c be what it stands for .
