[00:05] fe008 | OK .
"[21:50] mn017 | Actually , no . Don't stop . Don't stop at that part because"
"[21:54] mn017 | we 're actually using the entire conversation to estimate the speaker parameters , so"
[21:57] me001 | Yeah .
"[21:59] mn017 | shouldn't use you should s you know , get @ @"
"[22:02] me001 | Yeah , I mean I 'll I have to do is eh e the reference file would stay the same , it 's just the individual segments would be approximately twice as long and I could just replace them with the bigger ones in the directory , that 's not a problem ."
[22:03] fe016 | OK .
[22:03] mn017 | Yeah .
[22:05] mn017 | Right .
[22:06] mn017 | Mmm .
[22:08] fe016 | Right .
[22:09] fe016 | Right .
[22:11] me011 | Yeah .
[22:12] mn017 | Right .
[22:18] fe016 | Once we get the the bug out .
[22:20] mn017 | Mmm .
[22:21] fe008 | One one question which is I I had the impression from this from this meeting
[22:22] mn017 | Yeah .
[22:25] fe008 | that w that I transcribed that
[22:25] mn017 | Mm - hmm .
"[22:27] fe008 | um that there was already automatic downsampling occurring , is that"
[22:30] fe008 | I thought that in order to
[22:31] me011 | Yep .
[22:32] fe008 | so it 's like there 's already down
[22:33] me011 | There 's one level that 's already happening right here .
[22:35] fe008 | OK .
[22:35] me013 | This is being recorded at forty - eight kilohertz .
[22:37] me001 | Oh .
[22:37] me011 | Right . And it gets downsampled to sixteen .
[22:38] fe008 | OK .
"[22:40] fe016 | And that 's actually said in your meeting , that 's how I know that . I I It 's like are we downsampling to sixteen ?"
[22:40] me001 | Hmm .
[22:40] fe008 | Oh OK .
[22:43] me013 | Yeah .
[22:45] me013 | It 's a digital audio orientation for the board it 's in the monitor so it 's
[22:47] fe016 | Right .
[22:48] mn017 | Mmm .
[22:48] fe016 | Thank God it 's not more than that .
[22:51] me013 | Yeah .
"[22:51] me011 | And I have no idea what filter it 's using , so"
[22:53] me001 | is is eighty kilohertz generally accepted as like standard for voice ?
[22:56] me011 | Telephone .
[22:56] me013 | For telephone stuff .
[22:56] me018 | Telephone .
[22:59] me001 | so
[22:59] me013 | So it 's it 's it 's just that
[23:01] me013 | they were operating from Switchboard which was a completely telephone database and so that was a standard for that
"[23:03] me001 | Oh , I see , so . OK ."
[23:05] me011 | So sixteen seems to be pretty typical for
[23:06] me013 | sixteen s
[23:08] me011 | with this sort of thing .
[23:08] me001 | Right .
[23:08] me013 | Sixteen is more common for for uh
[23:12] me011 | That isn't music .
"[23:14] me013 | that isn't music and isn't telephone , yeah ."
[23:18] fe016 | uh if you wanna run recognition on the PZM stuff you would want
[23:22] fe016 | you don't want to downsample the wh that right ?
[23:24] me011 | Why is that ?
[23:25] me013 | I don't know .
[23:26] fe016 | Well I don I mean if it 's any better
[23:28] me013 | No actually I would think that you would you would get better you 'd get better high frequencies in the local mike .
[23:29] me011 | All the way around I 'd think .
"[23:34] me013 | Uh but who knows ? I mean we do we we we we we wanna find all this stuff out , we don't know ."
[23:38] me011 | We 're gonna have plenty of low frequency on the P Z Ms with the fans .
[23:38] fe016 | OK .
[23:40] fe016 | Yeah .
[23:41] me013 | Uh yeah .
[23:42] me013 | Yeah .
[23:42] fe016 | Oh yeah there was just one more thing I wanted to say which is totally unrelated to the recognition except that um
[23:49] fe016 | well it 's sort of related but um good news also
[23:52] fe016 | uh I got well Chuck Fillmore agreed to record meetings but he had too many people in his meetings and that 's too bad cuz they 're very animated and
[24:01] fe016 | but uh Jerry also agreed so uh we 're starting on on
[24:05] mn017 | They 're less animated .
[24:17] fe016 | and um so that 's gonna start Monday and one of the things that I was realizing is um
[24:23] fe016 | it would be really great if anyone has any ideas on some kind of
[24:27] fe016 | time synchronous way that people in the meeting can make a comment to the person whose gonna transcribe it
[24:36] fe016 | push a button or something
"[24:37] fe016 | when they wanna make a note about "" oh boy you should probably erase those last few "" or"
"[24:43] fe016 | uh "" wait I want this not to be recorded now "" or"
[24:46] fe016 | uh something like that s
[24:47] me013 | Weren't we gonna
[24:48] me013 | do something with a pad at one point ?
[24:50] fe008 | The cross pads ?
"[24:50] me011 | Yeah , we could do it with the cross pads ."
[24:51] fe016 | Cuz I was thinking you know if if the person who sets up the meeting isn't there and it 's a group that we don't know
[25:08] me013 | Yeah .
[25:13] me013 | Well what I was just suggesting is is we have these this cross pad
"[25:16] me011 | Yeah , and use that . Not a bad idea ."
[25:17] fe016 | That would be great .
[25:19] me013 | The other thing is eh I don't know if you know this or if it 's a question for the mail to Dan but
[25:19] fe016 | That be great .
[25:25] me013 | is this thing of two eight channel boards a maximum for this setup
[25:28] me011 | I don't know .
[25:29] me013 | or could we go to a third board ?
[25:29] me011 | I don't know .
[25:31] me011 | I 'll send mail to Dan and ask . I I think
[25:34] me011 | that it 's the maximum we can do without a lot of effort because it 's one board with two
[25:39] me013 | Oh it is one board .
[25:39] me011 | digital channels .
[25:41] me011 | E eight each . So it it takes two fibers in to the one board .
[25:45] me011 | And so w I think if we wanna do that more than that
"[25:47] me011 | we 'd have to have two boards , and then you have the synchronization issue ."
[25:52] me013 | But that 's a question because that would if it was possible
[26:00] me011 | Right .
"[26:02] me018 | What is the limit on each of those f fiber channels , is it the"
[26:06] me011 | Eight .
"[26:07] me018 | It just it 's eight channels come in , does it have do with the sampling rate ?"
[26:08] me011 | It 's eight .
[26:10] me011 | I have no idea .
[26:12] me011 | But each each fiber channel has eight eight
[26:15] me011 | channels
[26:16] me011 | and
[26:18] me011 | there are two ch two fibers that go in to the card .
"[26:21] me013 | It might be a hard limitation , I mean one thing is it the whole thing as I said is is all structured in terms of forty - eight kilohertz sampling so that pushes"
[26:22] me011 | So
[26:28] me011 | Yeah .
[26:29] me013 | requirements up a bit but
[26:29] me018 | I was just wondering if if that could change .
[26:30] me011 | I mean then we 'd also have to get another ADD and another mixer and all that sort of stuff .
[26:32] me018 | If we could drop that .
[26:35] me013 | Yeah .
[26:35] me011 | So I I 'll send a mail to Dan and ask him .
[26:38] me013 | Yeah .
[26:38] me011 | OK on the uh are we done with that ?
"[26:40] me011 | So the oth topic is uh getting more mikes and different mikes , so I got a quote um"
[26:46] me011 | We can fit we have room for one more wireless
"[26:49] me011 | and the wireless , this unit here is three fifty three hundred fifty dollars , it I didn't realize but we also have to get a tuner the receiver the other end , that 's uh four thirty"
[26:58] me011 | um
[26:59] me018 | Wow .
[26:59] me011 | and then also
[26:59] fe016 | For for each ? I mean the tuner is four thirty for each .
[27:03] me011 | Yep .
[27:03] fe016 | Wow .
[27:04] me011 | And we just need one more so so
[27:07] me011 | Yeah .
[27:08] me011 | So that 's you know something like seven hundred eighty bucks for one more of these .
[27:09] me013 | Yeah .
[27:11] me013 | OK .
[27:11] me011 | Um and then also um
[27:14] me011 | It turns out that the connector that this thing uses is proprietary of Sony
[27:18] me018 | Oh .
[27:19] me011 | believe it or not and Sony only sells this headset .
[27:20] fe008 | Mmm .
[27:23] me011 | So if we wanna use a different set headset the solution that the guy suggested and they apparently lots of people have done
[27:28] me011 | is Sony will sell you the jack
[27:30] me011 | with just wires coming out the end
[27:32] me011 | and then you can buy a headset that has pigtail and solder it yourself .
[27:37] me011 | And that 's the other solution and so the jacks are forty bucks apiece
[27:41] me011 | and the he recommended um
[27:44] me011 | a crown CM three eleven AE
[27:47] me011 | headset for two hundred bucks apiece .
"[27:49] me013 | There isn't this some sort of thing that plugs in , you actually have to go and do the soldering yourself ?"
[27:54] me011 | Becau - the reason is
[27:56] me011 | the only only thing you can get that will plug into this is this mike
[28:00] me013 | No I understand .
[28:00] me011 | or just the
[28:02] me013 | The reason I ask is these sort of handmade
[28:03] me011 | connector .
[28:05] me013 | uh wiring jobs fall apart in use
[28:09] me013 | so the other thing is to see if we can uh get them
[28:13] me013 | to do a custom job and put it together for this .
"[28:15] me011 | Oh I 'm sure they would , they would just charge us , so ."
"[28:17] me018 | Well , and they 'd probably want quantity too , they 'd"
[28:19] me013 | Well
"[28:20] me013 | no they 'll just charge us more , so it 's this"
[28:22] me011 | So so my question is should we go ahead and get na nine identical head - mounted crown mikes ?
[28:28] me013 | Not before having one come here and have some people try it out .
[28:32] me011 | OK .
[28:34] me013 | Because there 's no point in doing that if it 's not gonna be any better .
[28:36] me011 | So why don't we get one of these with the crown with a different headset ?
[28:41] me013 | Yeah .
[28:42] me011 | And and see if that works .
[28:43] me013 | And see if it 's preferable and if it is then we 'll get more .
[28:45] fe016 | Comfort .
[28:46] me011 | Yeah .
[28:47] me013 | Yeah .
[28:48] fe016 | Cuz I mean I think the microphones are OK it 's just the the
"[28:51] me011 | Right , it 's just they 're not comfortable to wear ."
[28:54] me013 | Right .
[28:54] fe016 | Could make our own handbands and
"[28:55] me011 | Um , and he said they don't have any of these in stock but they have them in LA and so it will take about a week to get here ."
[29:02] me011 | Um so OK to just go order ?
"[29:02] me013 | We 're in this for the long term , yeah . Just order it ."
[29:05] me011 | OK and who is the contact if I wanna do an invoice cuz I think that 's how we did it before .
[29:06] me001 | Yeah .
"[29:10] me013 | Uh we 'll do this off - line , yeah ."
[29:10] me001 | It 's a long time to get from LA .
[29:11] me011 | OK .
"[29:15] me011 | And then nine channels is the maximum we can do , so ."
[29:19] me013 | Uh y right cuz so one is for the daisy chain so that 's fifteen instead of sixteen and there 's six on the table so that 's nine .
[29:19] me011 | Without getting more stuff .
[29:24] me011 | Right .
[29:25] fe016 | Can I ask a really dumb question ?
[29:27] me013 | Yeah .
[29:27] me011 | Probably .
[29:27] fe016 | Is is there any way we can have you know like a a wireless microphone that you pass around to the people who
[29:34] fe016 | you know the extra people for the times they wanna talk
[29:39] me013 | That 's a good idea .
"[29:41] me013 | That 's not a dumb question , it 's a good idea , yeah ."
[29:43] mn017 | Like uh
[29:43] me011 | I 'm just not sure how we would handle that in the
[29:46] fe016 | well but there might be a way to say that there are gonna be these different people
[29:50] me018 | so nail the chairs down .
[29:50] fe016 | um
"[29:53] me011 | Yeah , somehow . It 's not a bad idea ."
[29:56] me013 | no no that 's a very if we can't get another board and even if we can I have a feeling they 'll be some work .
[29:58] fe016 | I mean for the few times that you might wanna have that .
"[30:06] me011 | A hand - held , yeah ."
[30:08] me013 | that 's a good idea
[30:08] me018 | Infinite expansion .
[30:11] me013 | Right .
[30:12] me013 | Kind of rules out overlap but but uh
[30:14] fe016 | Well or also for you know if people are not
[30:15] me013 | Yeah .
[30:16] me011 | Well we could just hand around the lapel .
[30:19] me011 | Rather than get a do you want a handset ?
[30:20] fe016 | No not the lapel .
[30:21] me013 | No .
[30:22] me011 | Well I mean is the is the hand - held really any better ?
[30:24] me013 | Yes .
[30:25] me011 | OK .
[30:25] fe016 | I don't know but I d I know the lapel is really suboptimal .
[30:27] me011 | Is awful ?
[30:27] me013 | no it depends on the hand - held but hand many hand - helds are built wi with sort of uh anti - shock sort of things so that it it is less
[30:35] me013 | uh susceptible to hand noises .
[30:37] me018 | Mm - hmm .
[30:37] me013 | If you hold the lapel mike i you just get all k sorts of junk .
[30:39] fe016 | Right .
[30:41] me011 | OK .
[30:41] fe016 | I mean the ones they really pass around must be sort of OK .
[30:42] me013 | so
[30:43] me011 | So I wonder if they have one that will hook up .
[30:44] me013 | Yeah .
[30:47] me013 | What ?
[30:48] me011 | I wonder if they have one that will hook up to this or whether again we 'll have to wire it ourselves .
"[30:50] me018 | Well , you wouldn't want it to hook there you 'd just want it to hook into the receiver in the other room , right ?"
[30:54] me013 | No that 's uh you need a transmitter .
[30:55] me011 | What ?
[30:56] me018 | Is th isn't that built into the mike ?
"[30:57] me013 | Oh I see . Get a get a different radio , yeah ."
[31:00] fe016 | Yeah just these ones that they
[31:02] me013 | Yeah .
[31:02] fe016 | pass around with no you know wireless
[31:05] me013 | But you need a ra but it has to correspond to the receiver .
[31:05] me018 | Have a little antenna coming out the bottom .
"[31:07] me011 | It 's gonna be much easier to get one of these and just plug in a mike , isn't it ?"
[31:11] me018 | But then the mike has to h
[31:12] mn017 | Do you have to hand it around and if you have two pieces of
[31:14] me001 | Yeah .
[31:14] fe016 | Right .
[31:15] mn017 | @ @
"[31:15] me013 | so right , so this is a good point , so yeah you have these these mikes with a little antenna on the end right ?"
[31:19] me011 | OK . And do you think you would be able to use the same receiver ?
"[31:22] me013 | I don't know . You 'll have to check with them , yeah ."
[31:23] me011 | OK I 'll I 'll ask . Yeah .
[31:24] me018 | It 's just a frequency .
[31:24] me013 | But that 's that 's a great idea and then just sort of have that as the and then you can have groups of twenty people or whatever and and uh
[31:31] fe016 | Yeah because there 's only I mean as Andreas pointed out actually I think in the large the larger the group the less
[31:33] mn017 | Pretty soon .
[31:37] fe016 | interaction the less people are talking
"[31:39] me018 | Mmm , yeah ."
[31:39] fe016 | um over each other it just there might be a lot of people that speak once or twice and
[31:45] me013 | Right .
[31:50] mn017 | Um
"[31:51] me013 | Off you go , yeah ."
[31:51] mn017 | Gotta go .
[31:53] me011 | OK so I guess people who have to leave can leave and do we have anything else to discuss or should we just do digits ?
[31:57] fe008 | I I thought of some extra a couple of extra things I 'd like to mention .
[31:59] me011 | OK .
[32:01] fe008 | One of them is to give you a status in terms of the transcriptions so far .
[32:04] fe008 | So um as of last night
"[32:06] fe008 | um I 'd assigned twelve hours and they 'd finished nine and my goal was to have eleven done by the end of the month , I think that by tomorrow we 'll have ten ."
[32:06] me011 | uh
[32:13] fe016 | Uh it 's great I j and this I got this email from Jane at like two in the morning or something so it 's really great
[32:14] fe008 | So they 're still working .
"[32:14] me013 | Pretty close , that 's good ."
"[32:14] me011 | Yep , that 's good ."
[32:14] me018 | Wow .
"[32:18] fe008 | It 's working out , thanks ."
[32:20] fe016 | It 's really great .
[32:20] fe008 | Thanks .
[32:21] fe008 | And then um
[32:28] fe016 | That 's a great idea .
"[32:28] me011 | Yep , that 'd be very interesting . I 'd love to hear what they have to say ."
[32:28] me013 | Super idea .
[32:29] me001 | Yeah .
"[32:29] fe016 | That 's a great idea cuz I 'd like to g have it recorded so that we can remember all the little things , that 's a great idea ."
[32:32] fe008 | Yeah .
[32:34] fe008 | Yeah .
"[32:38] me013 | Now you have eight transcribers and there 's ten of us so how do we do this , is the only thing ."
[32:43] fe016 | Or just have them talk amongst themselves .
[32:43] me018 | Have them have their own meeting .
"[32:45] fe008 | Well that 's what I 'm thinking , yeah ."
[32:45] fe016 | And have
[32:46] me013 | Oh .
[32:46] fe008 | Have them talk about the data
[32:47] fe016 | that would be great .
[32:48] fe008 | and they and they 've made observations to me like they say
"[32:50] fe008 | uh you know this meeting that we think has so much overlap , in fact it does"
"[32:54] fe008 | but there are other groups of similar size that have very little , you know it 's part of it 's it 's the norm of the group and all that and they have various observations that would be fun , I think ."
[33:00] fe016 | That 's a great idea .
"[33:01] me011 | Yeah , I 'd like to hear what they s say ."
[33:01] fe008 | Yeah .
[33:02] fe016 | Be great .
[33:02] fe008 | OK .
[33:03] me013 | So maybe we could they could have a meeting
[33:05] me013 | more or less without us that to do this and we should record it
[33:08] me013 | and then maybe one or two of them could come to one of these meetings and and could you know could tell us about it .
[33:08] fe008 | Yeah .
[33:11] me011 | Give us a status .
[33:13] fe016 | Yeah .
[33:13] fe008 | Oh good . OK .
[33:15] me013 | Yeah .
[33:16] fe008 | What what
[33:16] me011 | That would be weird .
"[33:20] fe008 | Yeah exactly , yeah ."
[33:22] me013 | Yeah .
[33:22] fe008 | Great .
[33:23] fe016 | Um that 's a great idea . I 'm really sorry I have to g
[33:23] fe008 | Great .
[33:24] me013 | Super .
[33:27] fe016 | no I have to go as well .
[33:28] me013 | OK .
[33:29] fe008 | And then I wanted to also um say something about the Fiscus uh uh John John Fiscus visit tomorrow .
[33:36] fe008 | And
[33:36] fe008 | Which is to say that w it 'll be from nine to one
[33:39] fe008 | that I 'm going to
[33:40] fe008 | uh uh offer the organization allow him to uh adjust it if he wishes but
"[33:44] fe008 | to be basically in three parts , the acoustic part coming first which would be"
[33:48] fe008 | basically the room engineering aspects um other things
[33:54] fe008 | and
[33:55] fe008 | uh then
[33:56] fe008 | uh number two would be sort of a
[33:57] fe008 | the the transcription process so this would be a focus on like presegmentation and the modifications to the the multitrans interface which allows more refined encoding of the beginnings and ends of the overlapping segments
[34:09] fe008 | which uh Dave Gelbart 's been doing and then um
[34:11] fe008 | uh and of course the presegmentation Thilo 's been doing
[34:14] fe008 | and then um the third part would and again he has some stuff that 's i relevant with respect to NIST and then the third one would be focus on transcription standards so
"[34:22] fe008 | at NIST he 's interested in this establishment of a global encoding standard I guess I would say and I want it , you know k yeah"
[34:29] fe008 | see what they 're doing and also present
[34:31] fe008 | what what
[34:32] fe008 | we 've chosen as ours and and discuss that kind of thing .
[34:35] fe008 | And so but he 's only here until
[34:38] fe008 | until one and actually we 're thinking of noon being uh lunch time so basically hoping that we can get as much of this done as possible before noon .
[34:45] fe008 | S
[34:48] me013 | OK .
[34:49] fe008 | And everybody who wants to attend is welcome .
[34:52] fe008 | So yeah .
"[34:52] me011 | Oh , where you 're gonna meet ?"
[34:54] fe008 | Here mostly but I 've also reserved the BARCO room
[34:56] fe008 | um eh to figure out how that works in terms of like maybe having a live demonstration .
"[35:01] me013 | OK but the nine o ' cl nine o ' clock will be i be in here . Yeah , OK ."
[35:03] fe008 | Yeah . Mm - hmm .
[35:04] me011 | I assume we 're not gonna try to record it ?
"[35:06] fe008 | Oh I think that would be hard , yeah ."
[35:08] me011 | Alright .
[35:09] fe008 | Yeah .
[35:09] me013 | Um good .
"[35:10] fe008 | Thank you though , uh - huh ."
[35:11] me013 | So maybe do digits and
[35:14] fe008 | Yeah .
[35:14] me011 | Unless there 's anything else ?
[35:15] me013 | recess ?
[35:16] fe008 | Yeah .
[35:17] me018 | Do digital ones ?
[35:20] me013 | Uh OK .
[35:20] fe008 | Yeah .
[35:21] me011 | Uh should y we make him wear Andreas ' mike or would that just be too confusing ?
[35:22] me013 | Yeah .
"[35:27] fe008 | When we do this in the key in the key in the key it has to indicate that channel change , right ?"
[35:28] me018 | Does it mess up the forms ?
[35:34] fe008 | Well i have a time mark .
[35:35] me011 | I mean other than free free form .
[35:37] fe008 | Yeah .
[35:37] me018 | on the top there .
[35:40] me013 | OK .
[35:40] me011 | And just clip it to your collar .
[35:43] me013 | That 's fine .
"[35:46] mn009 | OK , my name is uh Espen Eriksen ."
[35:49] mn009 | I 'm a Norwegian .
[35:50] mn009 | Um uh this is my second semester at Berkeley .
[35:54] mn009 | Currently I 'm taking uh
[35:55] mn009 | my first graduate level courses in DSP
[35:59] mn009 | and um when I come back to Norway
[36:04] mn009 | kind of work .
[36:05] mn009 | So this semester I 'm starting up with a with a small project
[36:09] mn009 | through uh Dave Gelbart which I 'm taking a course with
[36:13] mn009 | I got in touch with him and he told me about this project .
[36:15] mn009 | So with the help of uh Dan Ellis
[36:19] mn009 | I 'm gonna do
[36:20] mn009 | small project associated to this .
[36:23] mn009 | What I 'm gonna try to do is uh use use ech echo cancellation
[36:28] mn009 | to uh
[36:29] mn009 | to handle the periods where you have overlapping talk .
[36:33] mn009 | To try to do something about that .
[36:35] mn009 | So currently I 'm um
"[36:37] mn009 | I 'm just reading up on echo cancellation ,"
[36:39] mn009 | s looking into the theory behind that
[36:42] mn009 | and then uh
[36:44] mn009 | hopefully I get some results .
[36:46] mn009 | So it it 's a it 's a project goes over the course of one semester .
[36:50] me011 | Great .
[36:50] mn009 | So I 'm just here today to introduce myself .
[36:53] mn009 | Tell about I 'll be I 'll be working on this .
[36:55] me011 | And are you staying at Berkeley or is are you just here a semester ?
[36:59] mn009 | This is my second semester and last .
"[37:01] me011 | Ah second and last , OK ."
[37:01] mn009 | So
[37:02] me013 | Yeah .
[37:02] me013 | He 's in the he 's in the cour two two five D course .
[37:03] mn009 | I leave
"[37:05] mn009 | Yeah , I 'm in Morgan 's course , yeah ."
"[37:06] me013 | So , yeah ."
[37:08] me011 | Good .
[37:09] me018 | Welcome .
"[37:09] fe008 | Then you then you go back to Norway , that 's"
[37:10] mn009 | Yeah .
[37:10] fe008 | OK .
[37:11] me001 | We were just talking about something like this yesterday
[37:14] me001 | or
[37:15] me001 | yeah yesterday
[37:16] me001 | with Liz .
[37:17] me001 | About doing some of the
[37:23] me001 | Cool .
[37:23] mn009 | Yeah .
"[37:26] me013 | OK , let 's do digits ."
[37:26] me011 | Digits ?
[37:31] me013 | OK .
[41:57] me011 | And stop .
