[00:03] mn035 | @ @
[30:17] mn021 | thing that is uh putting a little bit in more trouble
[30:22] mn021 | our
"[30:25] mn082 | Now , I would like not to hear only"
[30:25] mn035 | Hm -
[30:27] mn082 | three opinions . But maybe there are also other opinions . And
[30:28] mn021 | OK .
"[30:28] mn021 | Yeah . Oh , sorry ."
"[30:33] mn082 | Let us understand ,"
[30:34] mn035 | Yeah .
[30:34] mn082 | built for everybody and
[30:36] mn082 | their com whether their comments .
[30:38] mn035 | In this
[30:39] mn035 | thing of seamless
[30:41] mn035 | handoff or handovers should think more
[30:45] mn035 | maybe in different layers ?
[30:47] mn035 | So one layer is having the seamless
[30:49] mn035 | handover .
"[30:50] mn035 | It 's clear if a technology doesn't provide that quality of service ,"
[30:54] mn035 | you can't do magic and have it .
[30:56] mn035 | There are
[30:57] mn035 | certain constraints on that .
"[31:04] mn035 | There , it is possible ."
[31:06] mn035 | So that should be made possible then ?
[31:09] mn021 | Mm - hmm .
[31:10] mn021 | Yeah .
[31:10] mn021 | Yeah .
[31:10] mn035 | So
[31:13] mn035 | Yeah .
[31:14] mn021 | Mmm uh
[31:14] mn035 | There are still enough problems i
[31:14] mn021 | Trying to to to to poi to pinpoint
[31:17] mn035 | Yeah .
[31:17] mn021 | The the possible problems .
[31:19] mn035 | Yep .
[31:20] mn035 | But it might be
[31:21] mn035 | the wrong
"[31:22] mn035 | thing to promise ,"
"[31:24] mn035 | uh , ten megabits to everywhere . There you are ."
"[31:28] mn035 | But saying "" OK"
"[31:31] mn035 | if the technology is OK , you can do it . """
[31:38] mn035 | Yep .
"[31:39] mn021 | to support , you can"
[31:41] mn021 | offer this warran this uh this throughput as uh the minimum warranty you you can get .
[31:43] mn035 | Yep .
[31:46] mn035 | Yeah .
"[31:46] mn021 | So , if everybody is is asking for less than this minimum amount ,"
[31:51] mn021 | no problem at all .
"[31:52] mn021 | But in this case , maybe not too much effort should be put on providing this quality of service because you just have"
[31:59] mn021 | a usually a huge bandwidth compared
[32:02] mn035 | Yeah .
[32:03] mn021 | on a a w with what the user is is using .
[32:05] mn035 | Yep .
[32:07] mn035 | Mm - hmm .
"[32:08] mn021 | I mean , if you have a ten megabits bandwidth and the user is asking two kilobits per second , of course , you can uh build"
[32:15] mn021 | uh
[32:17] mn021 | certain reserve mechanisms
[32:20] mn021 | to warranty the user these
[32:22] mn021 | two kilobits per second bandwidth . But probably
[32:25] mn021 | in it isn't it is not worth because you have so
[32:29] mn021 | many uh available bandwidths that
[32:32] mn021 | maybe uh it is not a problem .
"[32:35] mn082 | Oh , please come in ."
[32:36] mn021 | Hi .
[32:36] mn035 | Hi .
[32:37] fn083 | Hmm ?
[32:43] fn083 | OK .
[32:45] mn082 | Uh . OK Good luck .
"[32:46] mn021 | Oh , OK ."
[32:53] mn081 | The the thing is that we are looking for a research topic on on those
[32:54] mn082 | Yeah .
[32:59] mn081 | uh four areas .
[33:00] mn082 | Yeah .
"[33:01] mn082 | And the building blocks , yeah . Multicast , not a topic ."
[33:04] mn082 | Routing ?
[33:05] mn081 | So so we went through uh uh
[33:08] mn081 | to through multicast .
[33:10] mn081 | So this architecture with m
"[33:12] mn081 | well , at least no wireless environment or a mobile IP environment ,"
[33:17] mn081 | comparable to uh UMTS environments .
"[33:23] mn081 | well , difficulties there ."
"[33:26] mn081 | On the blackboard , that is ."
"[33:27] mn081 | Of course , in real life there will b probably be some problems ."
[33:30] mn021 | Have you have you read about this uh Barwan project held at Berkeley University ?
"[33:35] mn082 | Well , what you the pointer the pointer you sent yesterday ."
[33:36] mn081 | Iceberg ?
[33:38] mn021 | Yeah .
"[33:38] mn082 | Yeah , I c I didn't find the time ,"
[33:40] mn021 | OK .
"[33:40] mn082 | yeah , to do so , but ,"
[33:42] mn082 | uh
[33:42] mn081 | You mean the Iceberg project ?
[33:43] mn021 | Barwan .
[33:44] mn081 | Barwan of uh ES
[33:45] mn021 | Barwan .
[33:46] mn035 | How 's it start ?
[33:46] mn081 | I know there 's one that 's of uh Randy Katz .
[33:49] mn021 | Uh da it was another related
[33:51] mn021 | project called Daedalus .
[33:53] mn081 | Yes .
[33:55] mn021 | And uh well it seems they
[33:59] mn021 | uh things si somehow similar to this .
[34:04] mn081 | They worked together wi little bit with Nokia ?
[34:05] mn021 | u
[34:07] mn021 | Uh Don't know .
[34:07] mn081 | Palo Alto ?
[34:09] mn081 | Mountain View ?
[34:11] mn021 | I just uh
[34:17] mn021 | uh read
[34:18] mn021 | about this uh a long time ago .
[34:21] mn021 | And it the the latest report I I found
[34:25] mn021 | was in nineteen ninety eight .
"[34:27] mn021 | And in this report , well , they they pres they have uh some slides , some uh papers , some well , a lot of things ."
[34:29] mn081 | Hmm .
[34:34] mn021 | And well
[34:36] mn021 | the main thing
[34:37] mn021 | and the quick uh thing I I was uh looking at was a a video
[34:42] mn021 | available in MP - thr in MPG M - peg format .
[34:47] mn021 | well what this video was presenting was a kind of test of of
[34:51] mn021 | one guy
"[34:52] mn021 | with a portable computer ,"
[34:54] mn021 | moving
[34:55] mn021 | across different networks .
[34:57] mn021 | So starting at the CS department at Berkeley
[35:00] mn021 | and then going out the street
"[35:02] mn021 | switching to the a campus - wide network ,"
[35:04] mn021 | uh um I think it 's a Metricom
"[35:07] mn021 | uh network ,"
"[35:10] mn082 | A Ricochet here , right ?"
"[35:12] mn021 | Ricochet , yeah , that 's right ."
[35:12] mn082 | Yeah .
[35:13] mn082 | Yeah .
[35:13] mn082 | Yeah .
"[35:14] mn021 | And then , finally switching to I think it was city PD or something like this ."
[35:19] mn021 | OK .
[35:20] mn021 | I as lo uh as the as the user is moving
[35:23] mn021 | out of the of the coverage area of this second network .
"[35:27] mn021 | And , well , what they have built is a"
[35:30] mn021 | a kind of uh proxy structure .
[35:33] mn021 | So
[35:34] mn021 | they are they are putting most of the work
[35:37] mn021 | of this adaptational layer
[35:40] mn021 | on the side of the proxies . So the client or the server is not
"[35:45] mn021 | It is the proxy , the one that does the work ."
[35:47] mn081 | Yeah .
[35:51] mn021 | It 's the same ?
[35:51] mn082 | Ah we just discussed a lot about proxies .
"[35:54] mn021 | Oh , OK ."
[35:55] mn081 | I like them so
[36:04] mn021 | oh maybe a more in - depth look at this project just to see
[36:08] mn021 | if
[36:08] mn021 | we are
"[36:09] mn021 | doing the same , or if we are doing something similar ."
[36:14] mn081 | Yeah .
[36:15] mn021 | to to highlight the differences .
"[36:17] mn021 | Because if not , well , they can say , "" Oh , you are doing the same thing . """
[36:21] mn081 | Or maybe talk to them about s
"[36:24] mn021 | Yeah , well we are close ."
[36:24] mn081 | operations they thought of but didn't touch yet .
[36:27] mn082 | Mm - hmm .
"[36:27] mn082 | Uh maybe a few comments . First of all ,"
"[36:30] mn082 | Um . Do you mind Mi - Miguel , to write the name of the project on the whiteboard ?"
[36:33] mn021 | Yeah .
[36:34] mn021 | No problem .
[36:35] mn082 | Uh I I will send also the pointer
"[36:38] mn082 | which Miguel sent to me , to everybody so that everybody can"
[36:42] mn082 | take a look to this
"[36:43] mn082 | uh , project ."
[36:45] mn082 | And uh I don't know what avail information is available because
[36:48] mn082 | I didn't find the time currently to check it out .
[36:51] mn030 | It 's a project of the UC .
"[36:53] mn021 | Yeah , UC Ber - uh Berkeley , yeah ."
"[36:53] mn030 | Oh , yeah ."
[36:53] mn082 | Yeah .
[36:54] mn081 | Wh - when did you go through this ?
[36:58] mn021 | I seen uh
[37:00] mn021 | uh reports from
"[37:02] mn021 | nineteen ninety uh ninety - six , ninety - seven and ninety - eight ."
[37:07] mn081 | Cuz yesterday I was uh
"[37:08] mn081 | Well coincidentally , I b bumped into this project here ."
[37:09] mn021 | n uh
[37:12] mn081 | It 's funny .
"[37:14] mn082 | Uh , sorry ?"
"[37:14] mn081 | Yeah , yesterday I was just surfing a little bit ."
[37:17] mn082 | Mm - hmm . Ah !
"[37:18] mn081 | And then from Nokia I came to this that project , so ."
"[37:20] mn082 | Ah ! OK , I see ."
[37:21] mn082 | Yeah ? @ @ OK .
[37:23] mn021 | I think that that the leader was uh Professor Katz .
[37:25] mn081 | That 's right . And he 's also
[37:27] mn081 | board
[37:28] mn081 | in Nokia
[37:29] mn021 | OK .
[37:30] mn082 | Mm - hmm . Then the second thing is that uh Daimler - Chrysler research here
"[37:34] mn082 | in Palo Alto as well as in Germany , Ulm ,"
"[37:37] mn082 | is doing , in principle , the same with a car ."
[37:39] mn021 | Mm - hmm .
[37:39] mn082 | They have a specific antenna for
"[37:42] mn082 | uh GSM Oh , GPS and and fu for future"
[37:46] mn082 | extended G - uh GSM networks and wireless LAN and and other thi and other network technology .
[37:52] mn082 | In the roof of the car .
[37:54] mn082 | They have a s
[37:55] mn082 | lot of servers
[37:56] mn082 | in
[37:57] mn082 | the trunk of the car .
[37:59] mn082 | Then they collect data how it is with handoff and all these kind of things and they
[38:03] mn082 | are driving around the different areas . And the same car exists here in Palo Alto
[38:07] mn082 | uh based on
"[38:08] mn082 | wireless LAN , GSM and 2 x Ricochet networks ."
[38:11] mn021 | Mm - hmm .
[38:11] mn082 | They collect the dat collect collecting a lot of data .
[38:15] mn082 | concerning the seamless handoffs and whether it works very well with speed
[38:20] mn082 | and um
"[38:22] mn082 | uh , Thomas is going to"
[38:25] mn082 | build mobile IP
[38:27] mn082 | stuff in
[38:29] mn082 | their servers .
[38:30] mn082 | uh
[38:31] mn082 | because they want to
[38:33] mn082 | use current technology with a c a combination of mobile IP .
[38:37] mn082 | So I think there is a lot of activities in the area .
[38:39] mn082 | Uh . And my third uh comment is
[38:43] mn082 | uh if we are going something in that direction
[38:46] mn082 | that is quite different from this thing here .
"[38:49] mn082 | But , anyway , maybe as a core technology with a real"
[38:52] mn082 | product in mind .
[38:53] mn082 | I see some difficulty because nobody
[38:56] mn082 | currently has here certain kind uh of UMTS know how .
[39:00] mn021 | Mm - hmm .
[39:02] mn082 | And you need it definitely because then it j must be your
[39:04] mn082 | uh
[39:05] mn082 | Bible I would like to say
[39:07] mn082 | that you are very familiar with UMTS if you wanna go
[39:10] mn082 | in in that way .
[39:11] mn082 | And
[39:12] mn082 | As far as I know the UMTS standardization is not finished yet .
"[39:16] mn082 | Ninety percent , maybe , or eighty percent . I kno I 'm not sure ."
[39:20] mn082 | But uh
[39:20] mn021 | Yeah b le let me let me ask you
[39:22] mn082 | Yeah .
[39:22] mn021 | a question about eh UMTS or or
[39:25] mn021 | third or possible fourth
[39:27] mn021 | generation
[39:28] mn021 | communic wireless communication systems .
"[39:31] mn021 | Uh , from the point of view of the user ,"
"[39:33] mn021 | uh is there uh something more that nnn , that than more speed ?"
"[39:40] mn021 | Is there any other advantage ,"
[39:43] mn021 | from the point of view of the user or of of the terminals ?
[39:46] mn082 | Users of of UMTS ?
[39:48] mn021 | Yeah .
[39:49] mn082 | You can request certain kind of QS .
[39:52] mn082 | You can even request it in GPS but
[39:55] mn082 | it 's not end - to - end quality of service .
[39:56] mn021 | Hmm - hmm - hmm .
[39:57] mn082 | It is only um what the gateways
[40:01] mn021 | OK . Yeah .
[40:01] mn082 | get .
[40:02] mn082 | And within the core network there are certain kind of tunnels set up
"[40:06] mn082 | in the core network itself of the access provider , not the internet backbone core ."
[40:10] mn082 | And you use certain kind of tunnel
[40:12] mn082 | mechanism to
"[40:14] mn082 | combine , in principle , the base"
[40:19] mn082 | uh is controlled by a certain kind of node .
[40:21] mn021 | Hmm - hmm - hmm .
"[40:22] mn082 | And you have the gateway to the PDN , or the Public Data Network ."
[40:25] mn082 | And between both there 's a certain kind of tunnel set up .
"[40:28] mn021 | But in fact now , at the GSM level ,"
[40:32] mn021 | what you have
[40:33] mn021 | is that every voice channel you use
[40:35] mn021 | provides a a p a pretty fine fixed
[40:39] mn021 | uh data speed .
"[40:41] mn021 | So , we can say that every voice channel"
[40:47] mn021 | implied
"[40:50] mn021 | quality of service ,"
[40:51] mn021 | which is
[40:52] mn021 | nnn ninety six hundred
[40:55] mn021 | bits per second .
[40:56] mn021 | Full duplex .
[40:58] mn021 | Doesn't it ?
[41:00] mn021 | Yeah .
[41:00] mn082 | Yeah .
[41:00] mn082 | Yeah .
[41:01] mn021 | So .
"[41:02] mn082 | Yeah , what is what means quality of service . A certain degree . Right ?"
[41:06] mn021 | Yeah .
[41:07] mn082 | Uh .
"[41:09] mn021 | No , but um but not only because of of data speed , but also"
"[41:13] mn021 | about delay ,"
"[41:14] mn021 | you know , because"
[41:15] mn021 | GSM networks
[41:17] mn021 | were
[41:18] mn021 | developed to y uh with a voice service in mind .
"[41:22] mn021 | Ah , delay is also considered in these networks ."
"[41:26] mn021 | So ,"
"[41:27] mn021 | uh , in fact for every voice channel you have"
"[41:30] mn021 | uh a pretty fine maximum uh delay and jitter ,"
[41:34] mn021 | and a a a specified
[41:37] mn021 | um data speed .
[41:38] mn021 | So
[41:41] mn021 | scale up this uh
[41:43] mn021 | this um thing
[41:45] mn021 | by using several channels .
"[41:47] mn021 | So , in fact ,"
"[41:48] mn021 | you have ,"
"[41:50] mn021 | using just GSM technology ,"
[41:52] mn021 | you have more or less the same
[41:53] mn021 | building blocks
[41:55] mn021 | as you can get
[41:56] mn021 | uh with the UMTS .
[41:58] mn021 | I mean
"[41:59] mn021 | that one thing is that the technology is a little bit different ,"
[42:03] mn021 | that uh the base station thing is different and maybe uh the the internal routing uh inside the network is different but from the point of view of the mobile things
[42:13] mn021 | uh
[42:16] mn082 | It 's packaged data oriented .
[42:23] mn082 | a involvement in the core network .
"[42:26] mn082 | You have , in principle , the path which still is available"
"[42:29] mn082 | for for the GSM network . Also they use , in principle , the same"
[42:33] mn021 | Mm - hmm .
[42:33] mn082 | uh the same mechanism .
[42:37] mn082 | dat uh packet
[42:38] mn082 | oriented
[42:39] mn082 | communication that 's on the GPS stuff .
"[42:41] mn082 | And that 's also related to UMTS . So ,"
"[42:44] mn021 | You know , it is also being d uh"
"[42:47] mn021 | developed , this G uh P - DPRS thing ,"
[42:50] mn021 | GPRS thing .
"[42:52] mn021 | which is uh pack uh packet data over GSM . So ,"
[42:56] mn021 | I mean .
"[42:57] mn021 | Uh , I don't see that"
[42:59] mn021 | a a lot of difference . We can expect a lot of differences
[43:03] mn021 | f uh from the uh mobile terminal
[43:06] mn021 | point of view .
"[43:07] mn021 | Uh , when uh UMTS"
[43:09] mn021 | be deployed .
"[43:14] mn021 | well , uh"
[43:14] mn021 | maybe
[43:15] mn021 | uh it is not a big problem that any of us uh
[43:19] mn021 | be uh um were um a UMTS expert because
[43:24] mn021 | uh I I don't see it I think that
[43:26] mn021 | the UMTS thing is more
"[43:28] mn021 | a technology issue ,"
[43:30] mn021 | than a research issue .
[43:32] mn021 | Maybe I 'm wrong .
"[43:34] mn082 | No , I think there 's a lot Yeah . I think there 's a lot of research . But the question is "" is this uh"
[43:35] mn021 | explaining my m
"[43:39] mn082 | a research wh in which direction we are going ? """
[43:43] mn082 | For inf
[43:51] mn021 | But the point is that uh this is probably not here .
"[43:55] mn021 | Because uh well , you know the the the orientation of our group which is"
"[43:59] mn021 | uh "" Networks"
"[44:00] mn021 | Services and Applications "" , not uh wireless technology or the underlying wireless technology ."
[44:07] mn030 | You think more about hardware technology .
"[44:09] mn021 | Yeah . You know , radio frequency technology , wide - band w uh CDMA ."
[44:13] mn021 | These kind of things
[44:15] mn021 | all have a lot of things to be to be uh researched . But uh I don't think w this is not something we are doing here .
"[44:23] mn082 | Right , but bear in mind the picture is a is a little bit different ."
"[44:26] mn082 | The picture I have in mind concerning UMTS is , first of all , if you use UMTS only for voice ,"
"[44:31] mn082 | Like you did it or are doing now for GSM ,"
[44:34] mn082 | it 's not worth to have this kind of network .
"[44:37] mn082 | And , currently in Europe , where it will be deployed first , I believe ,"
"[44:40] mn082 | it will be very hard , in principle , to get some money back if you have only"
[44:44] mn082 | for using it for voice . Because they paid a lot of money . So .
"[44:45] mn021 | Voice , yeah ."
[44:47] mn082 | What is the point ? The point is that
[44:49] mn082 | you use the UMTS to connect to the internet and have certain kind of services which
[44:53] mn082 | are still not available up to now .
[44:56] mn082 | But the problem is if you have the internet
"[44:58] mn082 | content , and you have maybe your small uh"
[45:01] mn082 | um device
[45:07] mn082 | certain mobile
"[45:09] mn082 | phones ,"
[45:09] mn021 | Hmm - hmm - hmm .
"[45:09] mn082 | then you have certain kind of problems , you know , because you cannot use these things ."
"[45:13] mn082 | And WAP is not an answer for for these kind of things , you know ."
[45:16] mn082 | So .
"[45:17] mn082 | The I believe there is a lot of research work and also if you see the end - to - end scope of the internet ,"
"[45:21] mn082 | from the mobile node up to the certain kind of server , "" correspondent node "" , or whatever you call this destination ,"
"[45:27] mn082 | then you have certain kind of models , for instance , for the quality of service and all these kind of things ."
[45:31] mn082 | And then is UMTS
[45:32] mn082 | only one link where you have certain kind of subnet
[45:35] mn082 | layer technology .
[45:36] mn082 | And you have to match these things anyway .
[45:39] mn082 | It 's like a normal ethernet .
[45:41] mn021 | Hmm - hmm - hmm .
"[45:41] mn082 | Whatever you see , it is only an additional subnet layer technology ."
[45:42] mn021 | Yeah .
[45:44] mn082 | And you have all the
[45:45] mn082 | things mapped
"[45:47] mn082 | to the uh to to the to the the internet stuff , in principle , to this technology ."
"[45:53] mn082 | And furthermore , you see that the trend is to put more"
"[45:55] mn082 | IP technology ,"
"[45:57] mn082 | really , really IP technology , and not certain kind of modifications and adaptations ,"
[46:02] mn082 | to their access network itself .
"[46:05] mn082 | And th there 's a lot of potential , as I believe , for for uh certain research work ."
"[46:12] mn082 | But the question is , first of all ,"
"[46:13] mn082 | "" Do we have the competence to do something like that ? """
[46:16] mn082 | First of all .
"[46:17] mn082 | Second , we are not hardware builders ,"
[46:19] mn082 | in that sense to set up certain kind of
[46:22] mn082 | end systems .
"[46:23] mn082 | We can design them ,"
"[46:25] mn082 | yeah , from the protocol layering and and maybe have some simulations , or whatever ."
[46:30] mn082 | But isn't the final outcome really such a device ?
"[46:33] mn082 | Prototype , Linux based ."
"[46:35] mn082 | And we go around here and we have maybe a GPS - base station sponsored by Ericsson ,"
[46:39] mn082 | since they are living not so far away and and
"[46:42] mn082 | maybe WaveLAN connection , here now a testbed and then then figure out that it works ?"
"[46:46] mn082 | So , that 's my point ."
"[46:50] mn081 | Well , just to make the list a little bit longer ."
[46:52] mn082 | Yep .
"[46:54] mn081 | Um , you could also"
"[46:55] mn081 | think about uh session management . I do along with uh the network applications and services , uh"
[47:01] mn081 | as you might know . It 's a a
[47:03] mn081 | if you can do it in the end systems or
"[47:06] mn081 | at sp specific servers , then ,"
[47:08] mn081 | I 'm in favor of that .
"[47:09] mn081 | But se session management , I mean uh the authentication , if you go from one network to the other ,"
"[47:14] mn081 | it 's not solved . uh ,"
[47:15] mn081 | Nobody really wants a a guest
[47:18] mn081 | on your network .
"[47:27] mn081 | at the Barwan project , as you said ,"
[47:29] mn081 | go through proxies .
"[47:31] mn081 | There might be kind of handoffs at uh at proxies ,"
[47:36] mn081 | s zip proxy that we also discussed before a little bit .
[47:40] mn081 | That that 's als I think also in the line of uh session management .
[47:44] mn081 | Then there is this uh perfect thing uh the Berkeley sockets . It 's almost perfect .
"[47:48] mn081 | They s kind of skipped uh layer five ,"
"[47:51] mn081 | uh session management or session layer ,"
[47:54] mn081 | I think .
"[47:55] mn081 | That 's um normally with if you do a socket programming , it 's directly"
"[48:00] mn081 | the prot application protocol on layer four ,"
"[48:03] mn081 | uh TCP socket , or layer five for"
[48:07] mn081 | UDP socket .
"[48:08] mn081 | There might also be some research Well ,"
[48:14] mn081 | Norm - what they do right now is they
[48:16] mn081 | make it part of the
[48:18] mn081 | application - level protocol .
[48:20] mn081 | That 's what they do most often . Like with session management ? for mobile the uh
[48:25] mn081 | applications such as ist instant messaging or
"[48:28] mn081 | uh talks , and so on , uh like zip ."
[48:32] mn081 | It 's just doing a a reconnect .
[48:34] mn081 | If they think that the network is different or
"[48:37] mn081 | different capabilities come into play , they simply do a reconnect so it 's part of the protocol ."
"[48:42] mn081 | That 's all what I think about session management , like"
[48:45] mn081 | part of in proxies or
[48:47] mn081 | is it en embedded in application level protocols ?
[48:50] mn082 | But it 's really
[48:52] mn082 | higher level .
[48:53] mn082 | Right ? It 's no more related to a network . We are leaving the network area .
[48:57] mn082 | That 's dangerous .
[49:00] mn081 | So how do you want to focus on network services .
"[49:00] mn082 | Cuz if you go to the app If you For me that 's starting with middleware aspects , you know ?"
"[49:05] mn081 | Well the So "" network applications "" , if you look at the name of the group ,"
[49:11] mn081 | one thing is that um
[49:13] mn081 | the
"[49:14] mn081 | they used to call a a n a "" network """
[49:17] mn081 | that was uh if it was
[49:19] mn081 | like distributed between two systems connected
[49:22] mn081 | by a network .
"[49:23] mn081 | If you look at "" network """
[49:25] mn081 | from the
"[49:27] mn081 | OZ layer ,"
[49:28] mn081 | then it 's
"[49:31] mn081 | maybe level three , but"
[49:33] mn081 | everything below three .
"[49:36] mn081 | So there are , I think , two two different interpretations of uh "" network "" ."
"[49:41] mn082 | No , I believe "" network "" is , if you see it really from from the IP"
"[49:46] mn082 | protocol suite ,"
[49:47] mn082 | is
"[49:48] mn082 | then layer one , in principle , up t including layer four ,"
"[49:52] mn082 | despite the fact that layer four is only residing , normally ,"
[49:55] mn082 | in the end system and in the gateways .
"[49:57] mn081 | But are there "" network applications "" , then ?"
[49:57] mn082 | Yeah .
"[50:01] mn081 | So , the the name is "" Network Services and Applications "" , s so what could be an en example of a network application if you"
[50:07] mn081 | look at the OZ stick ?
"[50:10] mn082 | Yeah , we have , I think , some . Yeah ."
"[50:12] mn082 | Do you see this word "" application "" related to a network ?"
[50:15] mn082 | Or do you see this word independently ? That was never discussed in detail .
"[50:20] mn082 | "" Network Services and Applications "" . So , everything"
[50:23] mn082 | in the world . Or is the application related to the network ?
"[50:26] mn082 | For my understanding and as far as we discussed , so such a long time"
"[50:32] mn082 | For instance , e - commerce ."
"[50:34] mn081 | OK , OK , well , they will I didn't want to get a discussion now ."
"[50:34] mn082 | And it 's really , really yeah"
[50:36] mn082 | You know ? That Yeah .
[50:43] mn082 | uh to the network . But not any application .
"[50:46] mn082 | And we also have the aspects for security . Miguel , you mentioned here authentication and and triple - A , but we do not have any expert anymore ."
[50:54] mn082 | Because
[50:54] mn082 | Hannes was an expert for that .
[51:03] mn082 | basic building blocks
[51:04] mn082 | in the proposal from the networking side .
[51:07] mn082 | We could have a certain kind of application
[51:10] mn082 | and there 's a
[51:11] mn082 | lot of activities in the outside world and I believe there 's a lot of contacts .
[51:16] mn082 | Or there could be
[51:17] mn082 | a lot of contacts uh with with these people .
[51:21] mn082 | Especially at uh Georgia Tech . I know on next week on
[51:24] mn082 | Tuesday .
"[51:25] mn082 | Tuesday , right ?"
[51:26] mn082 | We will go to UCB .
[51:28] mn082 | There are three guys .
[51:30] mn082 | Then
[51:31] mn082 | Morgan mentioned one .
[51:33] mn082 | I do not know exactly um
"[51:35] mn082 | uh what he is doing , but ,"
[51:37] mn082 | he 's also interesting in some kind of collaboration . He 's also a professor in the UCB .
"[51:43] mn082 | And uh many universities maybe Claudia mentioned Duisburg . And uh in principle ,"
[51:49] mn082 | most of the university have some activities in that area .
"[51:52] mn082 | We will not take care about these one , but we can use them as"
[51:56] mn082 | for field ex uh field trial access and and and maybe some support and and whatever kind of thing .
[52:02] mn082 | And we focus really on the networking stuff and going in more detail in this
[52:07] mn082 | area .
[52:07] mn082 | And the alternative is maybe what
[52:10] mn082 | uh
[52:10] mn082 | currently we have only
[52:12] mn082 | uh this
[52:13] mn082 | uh proposal from Wilbert
[52:15] mn082 | to go more in the
[52:16] mn082 | smaller scope .
[52:18] mn082 | Figure out some potential from
[52:22] mn082 | maybe this
[52:26] mn082 | and starting from that .
"[52:29] mn082 | Or , are there other suggestions ?"
[52:31] mn030 | I think we uh
"[52:33] mn030 | have already so much work put into this proposal , why to switch now ?"
[52:39] mn030 | So I don't see the reason for that .
[52:42] mn030 | Maybe
[52:43] mn030 | the application we suggested is not the best one .
[52:47] mn030 | So we have to think about an application which which is um
"[52:52] mn030 | um , for mobile users , more relevant ."
[52:57] mn030 | I don't know . Maybe video games . If you are traveling
"[53:00] mn030 | uh , it 's boring to travel and then"
[53:02] mn030 | you decide to play a g video game with somebody else who 's traveling .
"[53:08] mn082 | Yeah , you know , it 's still mentioned in the proposal ."
[53:08] mn030 | So .
[53:10] mn082 | And
[53:11] mn082 | th um
"[53:13] mn082 | I 'm sure , OK , that it is the wrong place to get the foundation why we are use this kind of application ,"
[53:19] mn082 | but uh And In in the end of the text in the end of the pr text of the proposal .
[53:25] mn082 | But it is mentioned that it is only an example .
[53:27] mn082 | And that we use this
"[53:29] mn082 | application , in principle , while it is then very very easy to get a certain kind of access"
[53:34] mn082 | to these kind of things .
[53:36] mn082 | When you have a video
[53:38] mn082 | game server
[53:39] mn082 | and and you want to have mobile access
"[53:42] mn082 | you must at least have one in your consortium ,"
"[53:45] mn082 | or as a partner whatever ,"
[53:47] mn082 | who provides this service .
[53:48] mn082 | And then
"[53:50] mn082 | we we are playing videos , in principle , if you have a field trial ."
"[53:57] mn082 | certain kind of access to the University ,"
"[54:00] mn082 | and uh to this server , which is run on the campus of the University ."
"[54:04] mn030 | OK , that 's right ."
[54:04] mn082 | And that is the point .
[54:10] mn082 | and the the um
"[54:13] mn082 | um , now , how to say , the requirements of this application using"
[54:17] mn082 | this
[54:18] mn082 | classroom scenario .
"[54:19] mn082 | But nevertheless , it 's not the best for 3 x"
[54:21] mn082 | and and and and uh
[54:23] mn082 | s networking stuff .
[54:25] mn082 | You are right .
[54:28] mn082 | But it Does anybody see
"[54:31] mn082 | certain kind of potential here to go on ,"
[54:34] mn082 | and to start the work
[54:36] mn082 | maybe in this
[54:37] mn082 | little bit smaller
[54:40] mn082 | oh uh scope
[54:43] mn082 | based on these building blocks ? Because Multicast you still mentio uh you mentioned that there is no potential . I think it 's
"[54:48] mn082 | described here that the potential , if you use it for the mapping to the"
[54:52] mn082 | next generation networks
[54:54] mn082 | in the wireless
[54:55] mn082 | access
[54:56] mn082 | area
[54:57] mn082 | they are still some potential to map
[54:59] mn082 | Multicast
[55:01] mn082 | because they do not use it .
[55:04] mn082 | And to figure out whether they 're useful inse instead of using certain kind of tunneling mechanism and to set up these tunnels and
[55:10] mn082 | have the mapping between a PSDN uh telephone number or whatever kind of number they are using
"[55:15] mn082 | to IP addresses and then there 's the tunnel I Ds , and and"
"[55:18] mn082 | all this kind of things , I think , is very beneficial"
[55:21] mn082 | as well for for telecommunication providers .
[55:25] mn082 | as well as for ISP 's .
[55:28] mn082 | I I think the potential is still there . You you
"[55:30] mn082 | neglected that , but I don't think that you are right in that sense ."
[55:42] mn082 | In next generation ? Yeah .
"[55:44] mn081 | That 's or CDMA or whatever that 's uh ,"
[55:46] mn082 | Yeah .
"[55:48] mn081 | yeah ,"
[55:49] mn081 | probably a thing that has to be
[55:52] mn081 | find out . I don't know
"[55:53] mn081 | what statuses . Maybe they already did it par as part of UMTS , I 'm not sure ."
[55:58] mn081 | I don't have a clue .
[55:59] mn081 | I I only know how it works on copper and like ethernet and on PS PPP over something
"[56:07] mn081 | and how it works like that , but on the wireless"
[56:09] mn081 | I 'm not sure .
[56:10] mn082 | Now what do you see about the
"[56:12] mn082 | um , um ,"
[56:15] mn082 | KPN
[56:16] mn082 | interests ?
"[56:17] mn082 | Because , I believe s"
[56:19] mn082 | if
[56:20] mn082 | the argument changes as follows that you are here and that you are very familiar
"[56:25] mn082 | with uh the Multicast stuff ,"
"[56:28] mn082 | and KPN is very interesting in UMTS stuff ,"
[56:31] mn082 | and this is one
[56:33] mn082 | potential target
"[56:34] mn082 | network environment we are focusing on , but only for the uh"
"[56:38] mn082 | IP - layer technology ,"
"[56:40] mn082 | then , why do the mapping of multica also potential"
