[00:00] me013 | Yeah .
"[28:47] me011 | from Broadcast News ,"
[28:49] me011 | which is mostly prepared speech .
[28:51] me011 | It 's not exactly read speech but it 's pretty darn close .
[28:51] mn017 | Yeah .
[28:53] mn017 | Yeah .
[28:54] mn017 | Right .
"[28:55] mn017 | Well , I mean that 's plenty of read speech data . I mean , Wall Street Journal , uh , take one example ."
[28:58] me011 | Yeah .
[28:58] me011 | That 's right .
[29:00] mn017 | But um .
"[29:02] mn017 | So , you know that might be useful for the people who train the the digit recognizers to to use uh something other than TI - digits ."
[29:07] me011 | Yeah .
[29:10] me013 | Well they been using TIMIT .
[29:12] mn017 | OK .
[29:12] me013 | That Uh .
[29:19] mn017 | Mm - hmm .
"[29:22] me013 | um , and actually the best results they got wa were uh using TIMIT ."
[29:27] me011 | Hmm .
"[29:28] me013 | But uh which So that 's what they 're they 're using now . But but yeah certainly if we ,"
[29:30] mn017 | Mmm .
[29:35] me013 | If we knew what the structure of what we 're doing there was . I mean there 's still a bunch of messing around with different kinds of uh noise robustness algorithms . So we don't know exactly which combination we 're gonna be going with .
[29:39] mn017 | Mm - hmm .
[29:43] mn017 | Mm - hmm .
"[29:47] me013 | Once we know , then the trainable parts of it it 'd be great to run"
[29:51] me013 | lots of lots of stuff through .
[29:52] mn017 | Mm - hmm .
[29:53] mn017 | Right .
"[29:55] mn017 | Well , that was that . And then I th guess Chuck and I had some discussions about how to proceed with the tandem"
[30:03] mn017 | You wanna You wanna see where that stands ? @ @
"[30:04] me018 | Well , I 'm Yeah , so Andreas uh brought over the uh alignments that the SRI system uses . And so I 'm in the process of um"
[30:15] me018 | converting those alignments into uh label files that we can use to train
[30:19] me018 | uh a new net with . And uh so then I 'll train the net . And .
[30:24] mn017 | An - And one side effect of that would be that it 's um that the phone set would change . So the MLP would be trained on I think only forty - six or forty - eight forty - eight phones ?
[30:28] me018 | Right .
[30:33] me018 | Eight .
[30:34] me018 | Mm - hmm .
[30:35] mn017 | Uh which is smaller than the um
[30:38] mn017 | than the phone set that that we 've been using so far .
"[30:42] mn017 | And that that that will probably help , actually , because"
[30:42] me018 | So it 's a little different ?
"[30:45] mn017 | um the fewer dimensions uh e the less trouble probably with the as far as just the um ,"
"[30:54] mn017 | Just You know we want to try things like deltas on the tandem features . And so you h have to multiply everything by two or three . And so , you know ,"
[31:02] mn017 | fewer dimensions in the phone set would be actually helpful just from a logistics point of view .
"[31:07] me013 | Sure . Although we I mean , it 's not that many fewer and and and we take a KLT anyway so we could Yeah ."
[31:10] mn017 | Right .
[31:11] mn017 | Exactly . So so that was the other thing . And then we wanted to s just limit it to maybe
[31:17] mn017 | uh something on the same order of dimensions as we use in a standard um
[31:22] mn017 | front - end . So
[31:23] mn017 | that would mean just doing the top I don't know ten or twelve or something of the KLT
"[31:28] me013 | Yeah , and I think and we sh again check we should check with Stephane . My impression was that when we did that before that had very little uh he didn't lose very much ."
[31:29] mn017 | dimensions .
[31:36] mn017 | Right .
[31:37] me018 | By just taking the top whatever ?
[31:38] me011 | Yep .
[31:39] me013 | Yeah yeah .
"[31:40] mn017 | But then And then something Once we have the new M L P trained up ,"
[31:45] mn017 | uh one thing I wanted to try just for the fun of it was to actually run uh like a standard hybrid system that is based on
"[31:54] mn017 | you know , those features uh and uh retrain MLP and also the"
"[32:00] mn017 | you know , the dictionary that we use for the Hub - five system ."
[32:03] me013 | And the b And the base u starting off with the base of the alignments that you got from i from a pretty decent system .
[32:06] mn017 | Exactly .
[32:06] me018 | Right .
[32:07] mn017 | Yeah . So
"[32:09] mn017 | that would basically give us a , um , more hopefully a a"
[32:14] mn017 | better system
"[32:15] mn017 | um because you know , compared to what Eric did a while ago , where he trained up , I think , a system based on Broadcast News and then"
[32:25] me013 | Yeah .
[32:29] mn017 | he probably didn't use all the training data
[32:31] mn017 | that was available . And his dictionary probably wasn't as tuned to um
[32:39] mn017 | as ours is . So .
"[32:40] me013 | That 's That 's certainly one thing , yeah . Uh ."
[32:42] mn017 | And the dictionary made a huge difference . Uh . We we made some
[32:44] me013 | Yeah .
[32:51] mn017 | uh something like a four percent absolute
"[32:57] me013 | Well the other thing is , dipping"
[33:01] mn017 | Mm - hmm .
"[33:03] me013 | when we were collaborating with SRI before , uh"
[33:04] mn017 | Mmm . Mm - hmm .
"[33:06] me013 | it was I think , it is was a really key"
"[33:09] me013 | uh starting point for us that we actually got our alignment . When we were working together we got our initial alignments from Decipher ,"
[33:15] mn017 | Mm - hmm .
[33:16] me013 | uh at the time . Uh .
[33:16] mn017 | Yeah .
[33:18] me018 | Yeah .
[33:23] mn017 | Mm - hmm .
[33:24] me013 | then it was it was typically better to use our own systems cuz they were self consistent but but certainly to start off when we were
[33:30] me013 | trying to recover from our initial hundred and forty percent error uh rate . Uh . But that was a that was a good good good way to start .
[33:35] mn017 | Yeah .
[33:37] mn017 | OK .
[33:40] mn017 | Yeah .
[33:42] me018 | W What is the performance on s the best Switchboard system that we 've done ?
[33:42] mn017 | Right .
[33:46] me018 | Roughly ?
"[33:47] me013 | Well , the hybrid system we never got better than about fifty percent"
[33:58] me013 | fix up the dictionary .
[33:59] me013 | Uh we always had a list of a half dozen things that we were gonna do and and a lot of them were pretty simple and we never did .
[34:03] mn017 | Yeah .
[34:04] mn017 | Mmm .
[34:08] mn017 | Right .
"[34:10] mn017 | And And that number I think was on Switchboard - one data , right ?"
[34:14] mn017 | Where the error rate now is in the twenties .
[34:16] me013 | Yeah . Yeah .
"[34:16] mn017 | So , um ."
[34:17] me013 | So we were Yeah . We were
[34:17] mn017 | That 's yet s
[34:18] me013 | probably at least a factor or two off .
[34:19] mn017 | Right .
[34:20] me013 | Yeah .
[34:20] mn017 | So it would be So it would be good t to sort of r re uh just at least to give us an idea of how well the hybrid system would do .
[34:22] me013 | Yeah .
[34:26] me013 | Yeah .
[34:28] me013 | Yeah . It 's the conver it 's the s
[34:29] me013 | conversational speech bit .
[34:30] me013 | Because our our Broadcast News system is actually pretty good . He knows .
[34:30] mn017 | Mm - hmm .
[34:33] mn017 | Right .
[34:34] mn017 | And the other thing that that would help us to evaluate is to see how well the M L P is trained up . Right ?
[34:40] mn017 | Because it 's a pretty good um
[34:42] me013 | Mm - hmm .
[34:43] mn017 | indicator of that .
"[34:50] mn017 | uh you know , use them as a basis for the tandem system ."
[34:51] me018 | Mm - hmm .
"[34:54] me013 | Yeah . It 'll still probably be worse . I mean , it 's it 'd be context independent and so on . But ."
[34:56] mn017 | No .
[34:56] mn017 | Sure .
[34:57] me018 | Should we Should we bother with um using the net
[35:02] me018 | before doing uh embedded
[35:05] me018 | training ?
"[35:07] mn017 | Oh oh that 's a good question . Yeah , we we weren't sure whether it 's worth to just use the alignments um"
[35:14] mn017 | from the S R I recognizer or whether to actually go through one or more iterations of embedded training where you realign .
[35:19] me011 | Try it .
[35:21] me011 | You run it ? Keep keep both versions ? See which one 's better ?
"[35:24] me013 | Uh , yeah . I mean . I think I agree with Ad -"
[35:26] mn017 | Mm - hmm .
[35:28] mn017 | Mm - hmm .
[35:30] mn017 | Right .
[35:36] me018 | Mmm .
[35:36] mn017 | Alright .
"[35:37] me011 | I could make arguments either way . You know , it 's Sort of given up guessing ."
[35:38] mn017 | But But so I Well but i But in your experience I mean uh have you seen
[35:43] mn017 | big improvements in s on some tasks with embedded training ? Or was it sort of small - ish uh improvements that you got
[35:49] me013 | Uh well . It depended on the task . I mean I think in this one I would sort of expect it to be important because we 're coming from
[35:51] mn017 | Right .
"[35:55] me013 | uh , alignments that were achieved with an extremely different system ."
[35:57] mn017 | Right .
[35:58] mn017 | Right .
"[35:59] me011 | Although ,"
[35:59] me013 | Uh .
"[36:00] me011 | I mean we 've done it with When we were combining with the Cambridge recurrent neural net , embedded training made it worse ."
[36:11] me013 | Right . But I mean i
[36:12] me011 | I think it 's a bug .
[36:13] mn017 | So you you started training with outputs from a with alignments that were generated by the Cambridge uh system ?
[36:18] me011 | Yep .
[36:20] mn017 | Uh . Hmm .
[36:22] me013 | Yeah .
"[36:22] mn017 | Well , that might probably just Hmm . That was probably because your initial system I mean your system was ba worse than Cambridge 's ."
[36:32] mn017 | Um .
[36:32] me013 | Was it ? I don't think it was .
[36:34] me011 | No they were they were comparable .
[36:34] mn017 | It wasn't ?
[36:35] me013 | No .
[36:35] mn017 | Really ?
[36:36] me011 | They were very close .
[36:36] me013 | Yeah .
[36:37] mn017 | That 's weird .
[36:39] me013 | Excuse me ?
[36:40] mn017 | That 's That 's weird .
[36:41] mn017 | No I mean it 's weird that it did I 'm sorry . It 's w It 's weird that it got worse .
[36:41] me011 | That 's what I said .
[36:47] me018 | That 's ambiguous .
[36:49] me013 | Um . No . Uh .
[36:52] me013 | Tha - u we we 've see I mean and wi with the numbers OGI numbers task we 've seen a number of times people doing embedded trainings and things not getting better .
[37:01] mn017 | We have seen cases where acoustic retraining the acoustic models after some other change made matters worse rather than better .
[37:07] mn017 | Yeah .
[37:08] me013 | But I But I would I would suspect that something that that had um a very different
[37:14] me013 | Um
"[37:15] me013 | feature set , for instance I mean they were using pretty diff similar feature sets to us ."
[37:19] me011 | Yep .
[37:22] mn017 | Mm - hmm .
[37:24] me018 | What about uh hidden unit size on this . Oh .
[37:31] me013 | to the Cambridge system and our system is they both were training posteriors .
[37:35] me011 | Right .
"[37:35] me013 | So I mean , uh , that 's another pretty big difference and"
[37:36] me011 | Ah yeah . That 's another big difference .
[37:40] mn017 | You mean with soft targets ?
"[37:45] mn017 | Sorry , I 'm sor I missed What What 's the key issue here ?"
"[37:48] me013 | Oh , that uh"
[37:51] me013 | both the Cambridge system and our system were were training
"[38:00] me013 | So so that 's another difference . I mean . You know , there 's diffe different front - end"
[38:00] mn017 | Yeah .
"[38:04] me013 | different different uh , um ,"
"[38:08] me013 | Uh , I would think that in a that an embedded uh"
[38:14] me013 | training would have at least a good shot of improving it some more . But we don't know .
[38:16] mn017 | Mm - hmm .
[38:20] mn017 | OK .
[38:21] me013 | You gonna say something ?
[38:21] me018 | Yeah . I was wondering uh you know what
[38:27] me018 | Anybody have any intuitions or suggestions ?
"[38:29] me013 | Uh , how much training data ?"
"[38:31] me018 | Well , I was gonna start off with the small train set ."
[38:34] me013 | And how How many hours is that ?
[38:35] me018 | That 's why I was I I 'm not sure how much that is .
"[38:39] mn017 | Well i you 'd would be gender - dependent training , right ? So So I think it 's uh that 's about"
"[38:41] me018 | Gender - dependent , yeah ."
"[38:47] mn017 | mmm , something like thirty hours ."
[38:49] me018 | Thirty hours .
[38:49] mn017 | Thirty hours per gender .
[38:53] me018 | In the small training set ?
[39:01] mn017 | like thirty forty hours something like that .
[39:05] me018 | They called to tell us that ?
[39:06] mn017 | Yeah .
[39:08] me013 | Um . So . Uh .
[39:10] me013 | after run
[39:12] me013 | Right . So At least a couple thousand hidden units .
[39:17] me013 | I mean . It 's it 's th the thing I 'll I 'll think about it a little more but it it 'd be toss up between two thousand and four thousand .
[39:23] me018 | Mmm .
[39:26] me018 | And a thousand is too small ?
"[39:29] me013 | Oh let me think about it , but I think that that uh th at some point there 's diminishing returns ."
[39:33] me018 | Mm - hmm .
"[39:34] me013 | I mean it doesn't actually get worse , typically , but it but but there is diminishing returns and you 're doubling the amount of time ."
[39:34] me011 | Mm - hmm .
[39:42] me011 | But not by a lot .
[39:42] me013 | Not by much . Fifty s Fifty four to forty eight ?
[39:44] me011 | Vast majority is from the input unit .
[39:47] mn017 | OK . Yeah .
[39:48] me013 | Yeah . Yeah . It 'll have a very tiny effect .
"[39:50] me011 | Right , because you used the context windows and so the input to hidden is much , much larger ."
[39:52] me013 | Yeah .
"[39:54] mn017 | Oh I see , I see , yeah , of course . Yeah . It 's negligible , OK ."
[39:55] me013 | Yeah .
"[39:58] me013 | Yeah , so it 's it 'd be way , way less than ten percent of the difference ."
[40:00] mn017 | Uh - huh .
[40:01] me013 | Uh .
[40:08] me018 | The The net that that we did use already uh was eight thousand hidden units and that 's the one that Eric trained up .
[40:18] me013 | of speech .
[40:18] mn017 | Was that gender - dependent or independent ?
[40:19] me018 | Gender - dependent .
[40:20] me013 | Oh . So that would be like trained on s sixty or seventy hours .
[40:23] mn017 | Mm - hmm .
[40:27] me013 | two thousand fr I mean the four thousand will be better
[40:30] me013 | and the two thousand will be almost will be faster and almost as good . So .
[40:31] me011 | It 'll be faster .
[40:33] me018 | Yeah .
[40:34] me018 | Maybe I 'll start off with two thousand just
[40:34] mn017 | Mm - hmm .
[40:35] me013 | Yeah .
[40:36] me018 | to see .
[40:38] mn017 | OK .
[40:38] me018 | OK .
"[40:39] me013 | Yeah , thirty hours is like a hundred and"
[40:43] me013 | ten thousand
[40:45] me013 | uh
[40:46] me013 | seconds .
"[40:48] me013 | Uh , so that 's like eleven eleven million frames ."
[40:52] me013 | And a two thousand hidden unit net
[40:56] me013 | is uh
[40:58] me013 | I guess about
"[41:00] me013 | seven , eight hundred thousand parameters ."
[41:11] mn017 | Right . I actually have to go . So .
[41:13] me013 | Alright .
[41:15] me013 | Uncle Bernie 's rule is ten to one .
[41:19] me013 | Bernie Woodrow 's Rule of yeah Uncle Bernie yeah .
[41:26] mn017 | Read your digits .
[41:29] me013 | Yes sir .
[41:29] me011 | We 're just waiting for you to leave .
[41:33] me013 | @ @
[41:34] me011 | Anything else ?
[41:35] me013 | Nah .
[41:36] me011 | OK .
[41:38] me011 | If yeah that 's right .
[41:39] mn014 | Yeah .
"[41:40] me011 | Uh , well , we started late ."
[44:13] me018 | Transcript
