[00:00] me045 | As usual .
[28:54] fe004 | It 'd just be small . Like introducing the formalism might be not
[28:58] fe004 | really
"[28:59] fe004 | possible in detail , but you can use an example of it ."
"[29:01] me045 | Well , l looking at yeah , looking at that paper that that you had , I mean you know , like , you didn't really"
"[29:08] me045 | explain in detail what was going on in the XML cases or whatever you just sorta said well , you know , here 's the general idea , some stuff gets put in there ."
"[29:15] me045 | You know , hopefully you can you can say something like constituents tells you what the construction is made out of , you know , without going into this intense detail ."
"[29:20] fe004 | Yeah , yeah ."
[29:22] fe004 | So it be like using the formalism rather than
[29:24] me045 | Yeah .
"[29:25] fe004 | you know , introducing it per se . So ."
"[29:26] me045 | Give them the one paragraph whirlwind tour of w w what this is for , and Yeah ."
[29:28] fe004 | Yeah .
[29:30] mn015 | Mm - hmm .
[29:31] fe004 | And people will sort of figure out
[29:33] fe004 | or ask about the bits that are
[29:35] mn015 | Yeah .
"[29:36] mn015 | So this will be sort of documenting what we think , and documenting what we have in terms of the Bayes - net"
[29:37] fe004 | implicit .
[29:42] fe004 | Mm - hmm .
[29:43] mn015 | stuff .
"[29:44] mn015 | And since there 's never a bad idea to document things , no ?"
[29:47] fe004 | That 's th that 's definitely a good idea .
"[29:55] mn015 | We we should sketch out the details maybe tomorrow afternoon - ish , if everyone is around ."
[30:00] mn015 | I don't know . You probably
[30:01] me045 | I think so .
[30:03] mn015 | wouldn't be part of it . Maybe you want ?
[30:05] mn015 | Think about it .
"[30:07] mn015 | Um ,"
"[30:16] mn015 | And um ,"
"[30:19] mn015 | the uh ,"
"[30:22] mn015 | other thing ,"
"[30:24] mn015 | Have we made any progress on what we decided , uh , last week ?"
[30:31] fe004 | No .
[30:33] fe004 | Sorry .
"[30:34] mn015 | We decided t that we 're gonna take a "" where is something "" question , and pretend we have parsed it , and see what we could possibly hope to observe on the discourse side ."
"[30:41] me003 | Remember I came in and I started asking you about how we were sor going to sort out the uh , decision nodes ?"
[30:48] fe004 | Yes !
"[30:56] fe004 | Um ,"
[30:57] fe004 | a few more bits .
"[31:02] me003 | You know , it was whether it was whether we would have a Bayes - net on the output and on the input , or whether the construction was gonna be in the Bayes - net ,"
"[31:11] fe004 | Oh , yeah . OK ."
[31:13] fe004 | OK .
[31:17] me003 | Well that was related to what we were talking about .
[31:21] mn015 | Should I introduce it as SUDO - square ?
[31:26] mn015 | We have to put this in the paper .
[31:28] mn015 | If we write it .
[31:30] mn015 | This is this is my only constraint . The th So .
[31:34] mn015 | The SUDO - square
"[31:39] mn015 | is ,"
"[31:42] mn015 | "" User "" ,"
"[31:44] mn015 | "" Discourse "" , right ? "" Ontology "" ."
"[31:46] fe004 | Oh my god , that 's amazing !"
[31:48] mn015 | Mmm .
[31:50] mn015 | Yeah . Whatever .
[31:51] fe004 | No way .
[32:01] fe004 | Someone 's gonna start making Phil Collins jokes .
[32:03] mn015 | Yeah .
[32:04] mn015 | Hmm ?
[32:08] fe004 | You guys are too young .
"[32:08] me045 | You know like "" Sussudio "" , that horrible , horrible song that should never have been created ."
"[32:09] fe004 | Yeah , come on ."
"[32:10] me003 | Oh , oh , oh , oh ."
"[32:11] fe004 | I know , that was horrible ."
[32:12] me003 | I 've blocked every aspect of Phil Collins out of my mind .
[32:13] fn050 | What ?
"[32:19] mn015 | Oh Well , also he 's talking about suicide , and that 's that 's not a notion I wanna have evoked ."
"[32:24] fe004 | No , he 's not ."
[32:26] mn015 | He is .
[32:26] fe004 | Really ?
"[32:28] fe004 | Oops . I didn't really listen to it , I was too young . Anyway ."
[32:29] me045 | Hmm .
[32:36] me045 | Was wollte der Kuenstler uns damit sagen ?
"[32:36] mn015 | So ,"
[32:40] fe004 | Stop excluding me .
"[32:41] mn015 | OK , so we have tons of little things here , and we 've"
"[32:49] me003 | Wait , what are the dots ? I don't remember what the dots were ."
[32:54] mn015 | OK .
"[32:56] mn015 | You know , these are our , whatever , belief - net decision nodes , and they all contribute to these"
"[33:01] me003 | Oh , oh ."
[33:03] mn015 | things down here .
"[33:03] fe004 | Wait , wait , what 's the middle thing ?"
[33:05] mn015 | That 's EDU . e e Our e e e
"[33:12] mn015 | Well , in the moment it 's a Bayes - net ."
[33:14] mn015 | And it has sort of fifty not - yet - specified interfaces .
[33:19] mn015 | OK . Eh I have taken care that we actually can build little
"[33:25] mn015 | interfaces ,"
"[33:27] mn015 | to other modules that will tell us whether the user likes these things and , n the or these things , and he whether"
[33:34] fe004 | OK .
"[33:35] mn015 | he 's in a wheelchair or not ,"
[33:36] fe004 | Is that supposed to be the international sign for interface ?
"[33:38] mn015 | I think so , yeah ."
[33:39] fe004 | Mmm .
[33:40] fe004 | OK .
[33:40] me003 | I 'd I 'd never seen it before either .
[33:41] fe004 | OK . Just t Cool .
[33:42] mn015 | Mmm . So .
"[33:43] me045 | Cuz things fit onto that , see ?"
[33:48] fe004 | Cool .
"[33:51] mn015 | No , this is a RME core by agent"
"[33:55] mn015 | design , I don't know ."
[33:56] mn015 | There 's maybe a different
"[33:57] me045 | So wait , what a what are these letters again , Situr - Situation , User , Discourse and"
"[34:00] mn015 | Situation , user , d ontology ."
[34:02] fe004 | User ?
[34:03] me045 | Ontology .
[34:03] fe004 | What about the utterance ?
[34:05] mn015 | That 's here .
[34:06] fn050 | Discourse .
"[34:07] fe004 | Oh , discourse ."
[34:07] mn015 | Yeah .
"[34:08] me045 | Discourse is all things linguistic , yeah ."
"[34:08] fe004 | So that 's not like context , OK ."
[34:13] mn015 | the current utterance plus all the previous utterances .
"[34:14] fe004 | Interesting , uh - huh ."
[34:18] fe004 | User .
"[34:18] mn015 | And for example w i s I Irena Gurevich is going to be here eh , end of July . She 's a new linguist working for EML ."
[34:20] fe004 | User .
[34:27] mn015 | And what she would like to do for example is great for us . She would like to
"[34:32] mn015 | take the ent ontolog So ,"
[34:36] fe004 | Grateful for us ?
[34:37] fe004 | Did you just say grateful for us ?
"[34:41] mn015 | Think of back at the EVA vector ,"
"[34:43] mn015 | and Johno coming up with the idea that if the person discussed the discussed the admission fee , in eh previously , that might be a good indication that ,"
[34:49] fe004 | Mm - hmm .
"[34:53] mn015 | "" how do I get to the castle ? "" , actually he wants to enter ."
"[34:56] mn015 | Or , you know , "" how do I get to X ? """
"[34:59] mn015 | discussing the admission fee in the previous utterance , is a good indication ."
[34:59] me045 | Mm - hmm .
[35:02] fe004 | @ @
[35:03] mn015 | So
"[35:04] mn015 | we don't want a hard code ,"
"[35:06] mn015 | a set of lexemes , or things , that person 's"
"[35:10] mn015 | you know , sort of filter , or uh search the discourse history ."
[35:14] fe004 | Mm - hmm .
[35:15] mn015 | So what would be kind of cool is
"[35:17] mn015 | that if we encounter concepts that are castle , tower , bank , hotel ,"
"[35:21] mn015 | we run it through the ontology , and the ontology tells us it has"
"[35:26] mn015 | um , admission , opening times , it has admission fees , it has this , it has that ,"
"[35:31] mn015 | and then we we we make a thesaurus lexicon , look up , and then search dynamically through the uh , discourse history"
[35:40] mn015 | for occurrences of these things in a given
[35:44] mn015 | window
[35:45] mn015 | of utterances .
[35:46] fe004 | Mm - hmm .
"[35:47] mn015 | And that might , you know , give us additional input to belief A versus B ."
[35:52] mn015 | Or
[35:53] mn015 | E versus A .
"[36:00] fe004 | sorry , a few specific cues to some intention ."
"[36:02] me003 | You can dynamically look up keys , yeah ."
[36:04] mn015 | Yeah .
"[36:04] me045 | Uh , so , wait so um , since this since this sort of technical stuff is going over my head , the the point is that you uh that"
[36:04] fe004 | OK .
"[36:06] me003 | And then grep , basically ."
"[36:14] me045 | when someone 's talking about a castle , you know that it 's the sort of thing that people are likely to wanna go into ? Or , is it the fact that"
"[36:21] me045 | if there 's an admission fee , then one of the things we know about admission fees is that you pay them in order to go in ? And then the idea of entering is active in the discourse or something ? And then"
[36:31] mn015 | Well
[36:31] me045 | blah - blah - blah ? I mean .
"[36:32] mn015 | the the idea is even more general . The idea is to say ,"
[36:36] mn015 | we encounter a certain entity in a in a in a utterance .
[36:40] mn015 | So le let 's look up everything we the ontology gives us
"[36:44] mn015 | about that entity , what"
"[36:45] mn015 | stuff it does , what roles it has , what"
"[36:49] mn015 | parts , whatever it has ."
"[36:53] mn015 | And , then we look"
"[36:56] mn015 | in the discourse , whether any of that , or any"
[37:00] mn015 | surface structure corresponding to these
"[37:03] me045 | Oh , OK ."
"[37:03] mn015 | roles , functions aaa has ever occurred ."
"[37:06] mn015 | And then , the discourse history can t tell us , "" yeah "" , or "" no "" ."
[37:10] me045 | OK .
[37:10] mn015 | And then it 's up for us
[37:12] mn015 | to decide what to do with it .
[37:14] me045 | OK .
[37:14] mn015 | t
[37:14] mn015 | So i
"[37:15] me045 | No , go ahead ."
"[37:16] mn015 | So , we may think that if you say"
"[37:24] mn015 | um , whether or not he has talked about tickets before ,"
[37:27] me045 | Mm - hmm .
[37:28] mn015 | then we he 's probably wanna go there to
[37:30] mn015 | see something .
[37:31] me045 | OK .
"[37:32] mn015 | Or "" where is the opera in Par - Paris ? , yeah ? Lots of people go to the opera to take pictures of it and to look at it , and lots of people go to attend a performance ."
[37:36] me045 | Mm - hmm . OK .
[37:40] me045 | Mm - hmm .
"[37:41] mn015 | And , the discourse can maybe tell us w what 's more likely"
[37:45] mn015 | if we know what to look for in previous statements .
"[37:49] mn015 | And so we can hard code "" for opera , look for tickets , look for this , look for that ,"
[37:51] me045 | OK .
[37:52] me045 | OK .
"[37:56] mn015 | but the smarter way is to go via the ontology and dynamically , then look up"
[38:00] mn015 | u
[38:00] mn015 | stuff .
"[38:00] me045 | OK . But you 're still doing look up so that when the person So the point is that when the person says ,"
"[38:05] me045 | "" where is it ? """
"[38:06] me045 | then you sort of say , let 's go back and look at"
"[38:10] me045 | other things and then decide , rather than the other possibility which is that all through discourse as they talk about different things You know like w"
"[38:19] me045 | prior to the "" where is it "" question they say , you know , "" how much does it cost to get in , you know , to to see a movie around here "" , um ,"
[38:34] mn015 | Yeah .
"[38:34] me045 | You know . That becomes part of like , their sort of current ongoing"
[38:37] mn015 | Mm - hmm .
"[38:38] me045 | active conceptual structure . And then , um ,"
[38:54] mn015 | Mm - hmm .
[38:55] mn015 | Yeah .
"[38:58] mn015 | Yeah , e ultimately that 's also what we wanna get at . I think that 's that 's the correct way . So , of course we have to keep"
"[39:05] mn015 | memory of what was the last intention , and how does it fit to this , and what does it tell us , in terms of of the the what we 're examining ."
[39:07] me045 | Mm - hmm .
"[39:10] me045 | Mmm , yeah ."
"[39:13] mn015 | And furthermore ,"
"[39:15] mn015 | I mean we can idealize that , you know , people don't change topics ,"
[39:19] me045 | Mm - hmm .
"[39:20] mn015 | but they do . But ,"
[39:20] me045 | Right .
"[39:21] mn015 | even th for that , there is a student of ours who 's doing a dialogue act"
"[39:25] mn015 | um , recognition"
[39:27] me045 | Mm - hmm .
[39:27] mn015 | module .
"[39:28] mn015 | So ,"
[39:35] me045 | Mmm .
[39:36] me045 | And much harder to r program .
[39:38] mn015 | Hmm ?
[39:38] me045 | And much harder to p to program .
[39:40] mn015 | Yeah . How how do these pieces fit together ? Uh - huh .
"[39:43] mn015 | And um . But , OK , nevertheless . So these are issues but we what we actually decided last week , is to ,"
"[39:53] mn015 | is to um ,"
[39:55] mn015 | pretend we have
"[39:57] mn015 | observed and parsed an utterance such as "" where is the Powder - Tower "" ,"
"[40:02] mn015 | or "" where is the zoo "" ,"
[40:03] mn015 | and specify
"[40:05] mn015 | um , what what we think the the output"
"[40:09] mn015 | uh , observe , out i input nodes for our Bayes - nets for the sub sub - D , for the discourse bit , should be ."
[40:23] mn015 | come up with the ontology side
"[40:26] mn015 | uh , bits and pieces , so that we can say , OK we we always just look at this utterance ."
"[40:31] mn015 | That 's the only utterance we can do ,"
"[40:34] mn015 | it 's hard coded , like Srini , sort of hand parsed ,"
"[40:37] mn015 | hand crafted ,"
"[40:39] mn015 | but this is what we hope to be able to observe in general from utterances , and from ontologies ,"
[40:45] mn015 | and then we can sort of
"[40:46] mn015 | fiddle with these things to see what it actually produces , in terms of output ."
[41:02] mn015 | So
"[41:03] mn015 | we need to find out what the "" where is X "" construction will give us in terms of semantics and"
[41:12] mn015 | type things .
"[41:12] fe004 | Just OK . Just "" where is X "" ?"
[41:15] mn015 | Mm - hmm .
[41:16] fe004 | Or any variants of that .
[41:17] mn015 | Yeah .
"[41:19] mn015 | Um , look at it this way , i"
[41:23] mn015 | Yeah .
"[41:28] mn015 | the prototypical "" where is X "" , where"
"[41:32] mn015 | you know , we don't really know , does he wanna go there , or just wanna know where it is ."
"[41:37] mn015 | So the difference of "" where is the railway station "" , versus where where "" where is Greenland "" . Nuh ?"
[41:42] me045 | Mm - hmm .
"[41:44] me003 | Uh s I was just dancing , sorry ."
[41:48] mn015 | We 're not videotaping any of this . So .
"[42:03] me045 | I mean we 're talking about sort of anything that has the semantics of request for location , right ? actually ?"
"[42:09] me045 | Or ,"
"[42:18] me045 | I mean , anyway , the node in the uh the ultimate , uh , in in the Bayes - net thing when you 're done , the the node that we 're talking about um , is"
[42:28] me045 | one that says
"[42:30] me045 | "" request for location , true "" , or something like that , right ? Um , and and exactly how that gets activated , you know , like whether we want"
[42:39] me045 | the sentence
"[42:40] me045 | "" how do I get there ? """
"[42:42] me045 | to activate that node or not , you know , that 's that 's sort of the issue that sort of the linguistic - y side has to deal with , right ?"
[42:55] mn015 | Well actually more m more the other way around . We wanted
"[42:59] mn015 | something that represents uncertainty uh we in terms of going there or just wanting to know where it is , for example . Some generic information ."
[43:08] me045 | OK .
[43:09] mn015 | And so
"[43:11] mn015 | this is prototypically @ @ found in the "" where is something "" question , surface structure ,"
[43:15] me045 | OK .
[43:16] me003 | We -
"[43:17] mn015 | which can be p you know ,"
[43:20] mn015 | should be maps to
[43:22] mn015 | something that activates both . I mean
"[43:27] me045 | Alright , OK ."
"[43:30] me003 | I don't see unde how we would be able to distinguish between the two intentions just from the g utterance , though ."
"[43:34] me003 | I mean , uh bef or , before we don't before we cranked it through the Bayes - net . I mean ."
"[43:38] mn015 | Yeah , we we wouldn't ."
[43:39] mn015 | That 's exactly what we want .
[43:41] mn015 | No . We wouldn't .
"[43:42] me003 | OK , but then so basically it 's just a for every construction we have a node in the net , right ? And we turn on"
[43:48] mn015 | Yeah .
[43:48] me003 | that node .
"[44:04] mn015 | Yeah , it should be So we have"
"[44:07] mn015 | um ,"
"[44:15] mn015 | And what we actually get if we just look at the discourse ,"
"[44:18] mn015 | "" where is X "" should activate"
[44:23] me045 | Mmm .
"[44:23] mn015 | Hmm . Should be both ,"
"[44:24] mn015 | whereas maybe "" where is X located "" ,"
"[44:28] mn015 | we find from the data , is always just asked when the person wants to know where it is ,"
"[44:33] mn015 | and "" how do I get to "" is always asked when the person"
[44:36] mn015 | just wants to know how to get there .
[44:39] mn015 | Right ?
[44:40] mn015 | So
[44:41] mn015 | we want to sort of
[44:43] mn015 | come up with
[44:44] mn015 | what gets
"[44:47] mn015 | uh , input , and how inter in case of a "" where is "" question ."
[44:57] mn015 | So what what would the outcome of of your parser look like ?
"[45:02] mn015 | And , what other discourse information from the discourse history could we hope to get ,"
[45:07] mn015 | squeeze out of that utterance ?
[45:10] mn015 | So define the the input into the Bayes - net
"[45:15] mn015 | based on what the utterance , "" where is X "" , gives us ."
[45:20] mn015 | So definitely
[45:21] mn015 | have an Entity node here
[45:22] fe004 | s
"[45:26] mn015 | which is activated via the ontology , so"
[45:38] fe004 | That it has a location or something like that ? or th the ontology will tell us where actually it is located ?
[45:42] mn015 | No .
[45:43] fe004 | OK .
"[45:43] mn015 | Not at all . Where it is located , we have , a user proximity node here somewhere ,"
[45:47] fe004 | OK .
[45:48] fe004 | OK .
[45:49] mn015 | e which tells us how far the user how far away the user is in respect to that uh entity .
[45:54] fe004 | OK .
"[45:55] fe004 | So you 're talking about , for instance , the construction obviously involves this entity or refers refers to this entity ,"
[45:59] mn015 | Mm - hmm .
[46:01] fe004 | and
[46:06] fe004 | thing that can be located .
[46:08] fe004 | Right ? Ontology says this thing has a location slot .
[46:13] fe004 | that is the content of the question that 's being queried by
"[46:16] fe004 | one interpretation of "" where is X "" ."
"[46:19] fe004 | And another one is , um ,"
[46:25] mn015 | Mm - hmm .
[46:25] fe004 | that location . So .
"[46:29] fe004 | Is the question , for this particular construction how we specify that that 's the information it provides ?"
[46:37] fe004 | or asked for ?
[46:38] fe004 | b
"[46:38] fe004 | Both sides , right ?"
"[46:39] mn015 | Yeah , you don't need to"
[46:41] mn015 | even do that . It 's just sort of what
[46:44] mn015 | what would be
[46:46] mn015 | observed
[46:48] mn015 | in uh in that case .
[46:54] mn015 | Mm - hmm .
[46:56] fe004 | So these little circles you have by the D ?
[46:58] fe004 | Is that ?
[46:59] mn015 | That 's exactly what we 're looking for .
[46:59] fe004 | OK .
[47:00] fe004 | OK .
"[47:01] me003 | I d I just I don't like having characterizing the constructions with location and path ,"
[47:09] me003 | It seems like in the general case you wouldn't know
[47:12] mn015 | You wouldn't .
[47:17] me003 | I mean it just seems like @ @ has to have uh a node for the construction
[47:21] me003 | and then let the chips fall where they may .
[47:24] me003 | Versus
"[47:26] me003 | uh ,"
"[47:28] me003 | saying , this construction either can mean location or path ."
"[47:32] me003 | And , in this cas and since since it can mean either of those things , it would light both of those up ."
[47:38] mn015 | It 's the same .
[47:43] me003 | Thoughts ?
[47:44] me003 | Questions ?
[47:46] mn015 | It will be the same . So I think
"[47:47] mn015 | r in here we have "" I 'll go there "" , right ?"
[47:48] me003 | Answers ?
[47:50] mn015 | And we have our Info - on .
"[47:53] mn015 | So in my c my case , this would"
"[47:55] mn015 | sort of make this happy , and this would make the Go - there happy ."
"[47:59] mn015 | What you 're saying is we have a Where - X question , Where - X node ,"
[48:04] mn015 | that makes both happy .
"[48:06] mn015 | Right ? That 's what you 're proposing , which is , in my mind just as fine ."
"[48:10] mn015 | So w if we have a construction node , "" where is X "" ,"
[48:15] mn015 | it 's gonna
[48:16] mn015 | both
[48:17] mn015 | get the
"[48:19] mn015 | po posterior probability that it 's Info - on up ,"
"[48:20] me003 | Mmm , yeah ."
"[48:23] mn015 | Info - on is True - up , and that Go - there is True - up , as well ."
"[48:27] mn015 | Which would be exactly analogous to what I 'm proposing is ,"
[48:32] mn015 | uh
"[48:33] mn015 | makes something here true , and this makes something also something here true , and this makes this True - up , and this makes this True - up as well ."
"[48:47] mn015 | Yeah , because we get we get tons of constructions I think . Because ,"
"[48:47] fe004 | Is - uh ,"
[48:49] me045 | Yeah .
"[48:53] me003 | Yeah , sure ."
[48:53] fe004 | Yeah .
[48:54] fe004 | So un
[48:54] me003 | I change I changed my mind actually .
[48:56] me045 | OK .
"[48:56] fe004 | So I agree with that . I have a different kinda question ,"
"[48:59] fe004 | might be related ,"
"[49:00] fe004 | which is , OK so implicitly everything in EDU , we 're always inferring the speaker"
"[49:05] fe004 | intent , right ?"
"[49:06] fe004 | Like , what they want"
"[49:11] fe004 | It 's always information that they want probably , of some kind ."
"[49:16] mn015 | The system doesn't massage you , no . No ."
"[49:20] fe004 | OK . So , um ,"
[49:24] fe004 | let 's see . So I don't know if the I mean i if th
"[49:26] fe004 | just there 's more s here that 's not shown that you it 's already like part of the system whatever ,"
"[49:31] fe004 | but , "" where is X "" ,"
"[49:33] fe004 | like , the fact that it is , you know , a speech - act , whatever ,"
"[49:36] fe004 | it is a question . It 's a question that ,"
"[49:38] fe004 | um , queries on some particular thing X , and X is that location ."
"[49:41] fe004 | There 's , like , a lot of structure in representing that ."
[49:43] mn015 | Yep . Yeah .
"[49:44] fe004 | So that seems different from just having the node "" location - X "" and that goes into EDU , right ?"
[49:47] mn015 | Yeah .
"[49:50] mn015 | So , w"
[49:50] fe004 | So tha is that what you 're t
[49:51] mn015 | Exactly . We have su we have specified two .
[49:51] fe004 | talking about ? wh what kinds of structure we want .
"[49:53] mn015 | OK , the next one would be here , just for mood ."
[49:55] me045 | Mm - hmm .
[49:56] fe004 | Mm - hmm .
[49:57] mn015 | The next one would be what we can squeeze out of the uh
[50:06] fe004 | Mmm .
"[50:12] mn015 | and g a and t make conclusions about the user 's intelligence . I don't know , yeah ."
"[50:16] fe004 | um , so in some ways in the other sort of parallel set of mo more linguistic meetings we 've been talking about possible semantics of some construction ."
[50:24] me045 | Mm - hmm .
[50:24] fe004 | Right ? Where it was
"[50:26] fe004 | the simulation that 's ,"
"[50:28] fe004 | according to it you know , that that corresponds to it , and as well the as discourse ,"
[50:31] mn015 | Mm - hmm .
"[50:31] fe004 | whatever , conte infor in discourse information , such as the mood , and , you know , other stuff . So ,"
"[50:37] fe004 | are we looking for a sort of abbreviation of that , that 's tailored to this problem ?"
"[50:42] fe004 | Cuz that that has , you know , basically , you know ,"
"[50:45] fe004 | s it 's in progress still it 's in development still , but it definitely has various feature slots , attributes ,"
[50:49] mn015 | Mm - hmm .
[50:50] mn015 | Yeah .
"[50:51] mn015 | U that 's exactly r um , why I 'm proposing It 's too early to have to think of them of all of these"
[50:57] fe004 | Uh - huh .
"[50:58] mn015 | discourse things that one could possibly observe ,"
[51:00] fe004 | Mm - hmm .
[51:01] mn015 | so let 's just assume
"[51:04] mn015 | human beings are not allowed to ask anything but "" where is X "" ."
[51:07] fe004 | OK .
[51:08] mn015 | This is the only utterance in the world . What could we observe from that ?
"[51:10] fe004 | OK . That exactly "" where is X "" , not"
[51:11] mn015 | In ter
"[51:13] fe004 | the the choices of "" where is X "" or "" how do I get to X "" . Just "" where is X "" . OK ."
[51:16] me045 | Yeah .
"[51:16] mn015 | Just just "" where is X "" ."
"[51:20] mn015 | do it in such a way that we know that people can also say , "" is the town hall in front of the bank "" ,"
"[51:34] fe004 | Wait , so do , or do not take other kinds of"
[51:37] fe004 | constructions into account ?
"[51:38] mn015 | Well , if you if you can , oh definitely do ,"
[51:40] fe004 | OK . Where possible . OK .
[51:41] mn015 | where possible . Right ?
"[51:43] mn015 | If i if if it 's not at all triggered by our thing , then it 's irrelevant , and it doesn't hurt to leave it out for the moment ."
[51:46] fe004 | Mm - hmm .
[51:54] fe004 | OK .
"[51:57] fe004 | Um , it seems like for instance , "" where is X "" ,"
[52:00] fe004 | the fact that it might mean
"[52:02] fe004 | um ,"
"[52:03] fe004 | "" tell me how to get to X "" ,"
[52:06] fe004 | Do y
"[52:09] fe004 | Those are the two interpretations , right ? the the ones that are location or path ."
"[52:12] fe004 | So , you could say that the s construction is a question asking about this location ,"
"[52:17] fe004 | and then you can additionally infer , if they 're asking about the location , it 's because they wanna go to that place ,"
[52:21] mn015 | Mm - hmm .
"[52:21] fe004 | in which case , the you 're jumping a step step and saying , "" oh , I know where it is but I also know how to get they wanna seem they seem to wanna get there so I 'm gonna tell them "" . So there 's like structure"
[52:21] me045 | Yeah .
"[52:31] me045 | Right , th this it 's not it 's not that this is sort of like semantically ambiguous between these two . It 's really about this but why would you care about this ? Well ,"
[52:32] mn015 | Mm - hmm .
"[52:39] me045 | it 's because you also want to know this , or something like that right ?"
[52:41] mn015 | Mm - hmm .
[52:47] me045 | Yeah .
[52:47] mn015 | Mm - hmm .
[52:49] mn015 | Yep .
"[52:53] mn015 | Think Uh , well this is just a mental exercise . If you think about ,"
[52:56] fe004 | Yeah .
[52:59] me045 | Mm - hmm .
"[53:01] mn015 | do you feel confident about saying this is part of the language already to to detect those plans , and why would anyone care about location , if not , you know"
[53:11] me045 | Mmm .
[53:11] mn015 | and so forth .
"[53:12] mn015 | Or do you actually ,"
"[53:13] mn015 | I mean this is perfectly legitimate , and I I would not have any problems with erasing this and say ,"
"[53:18] mn015 | that 's all we can activate , based on the utterance out of context ."
[53:20] fe004 | Mm - hmm .
[53:23] fe004 | Oh .
[53:23] mn015 | What ?
[53:23] me045 | Right .
"[53:24] fe004 | Right , like ,"
"[53:24] mn015 | And then the the the miracle that we get out the intention , Go - there ,"
"[53:25] fe004 | with context and enough user information , yeah ."
[53:28] me045 | Yeah .
"[53:29] mn015 | happens , based on what we know about that entity , about the user , about his various beliefs , goals , desires , blah - blah - blah ."
[53:36] mn015 | Absolutely fine .
"[53:37] mn015 | But this is the sort of thing , I I propose that we think about ,"
[53:38] fe004 | OK .
"[53:41] mn015 | so that we actually end up with um ,"
"[53:45] mn015 | um ,"
[53:46] mn015 | nodes for the discourse and ontology
"[53:49] mn015 | so that we can put them into our Bayes - net ,"
"[53:52] mn015 | never change them ,"
"[53:53] mn015 | so we all there is is "" where is X "" ,"
[54:12] fe004 | OK .
[54:13] me045 | Here 's hoping .
[54:14] mn015 | Hmm ?
[54:14] me045 | Here 's hoping . Right ? Now cross your fingers .
[54:21] me045 | Yeah . Yeah .
"[54:22] mn015 | would like to look at uh ,"
[54:25] mn015 | what this ad - hoc process of designing a belief - net would actually produce .
[54:30] fe004 | Mmm .
[54:32] mn015 | If if we ask it where is something .
"[54:36] mn015 | And , maybe it also h"
"[54:39] mn015 | enables you to think about certain things more specifically ,"
"[54:43] mn015 | um , come up"
"[54:45] mn015 | with interesting questions , to which you can find interesting answers ."
"[54:49] mn015 | And , additionally it might"
[54:51] mn015 | fit in really nicely with the paper .
[54:53] me045 | Um - hmm .
"[54:54] mn015 | Because if if if we want an example for the paper ,"
[54:57] mn015 | I suggest there it is .
[54:59] me045 | Yeah .
"[55:06] mn015 | So th this might be a nice opening paragraph for the paper as saying ,"
"[55:10] mn015 | "" you know people look at kinds of at ambiguities "" , and"
"[55:14] mn015 | um ,"
"[55:15] mn015 | in the literature there 's "" bank """
[55:18] mn015 | and
[55:18] me045 | Mm - hmm .
[55:19] mn015 | whatever kinds of garden path phenomenon .
"[55:22] mn015 | And we can say , well , that 's all nonsense ."
"[55:26] mn015 | A , uh these things are never really ambiguous in discourse ,"
"[55:31] mn015 | B , don't ever occur really in discourse , but"
"[55:35] mn015 | normal statements that seem completely unambiguous , such as "" where is the blah - blah "" ,"
[55:40] me045 | Mm - hmm .
"[55:41] mn015 | actually are terribly complex , and completely ambiguous ."
[55:44] me045 | Mm - hmm .
"[55:45] mn015 | And so , what every everybody else has been doing so far in in in you know , has been completely nonsensical , and can all go into the wastepaper bin ,"
[56:04] mn015 | Yeah .
[56:04] me045 | That 's good .
"[56:09] mn015 | OK , I 'm eja exaggerating , but that might be , you know ,"
"[56:13] mn015 | saying "" hey "" , you know ,"
[56:16] mn015 | some stuff is is actually
"[56:20] mn015 | complex , if you look at it in in in the vacuum"
[56:23] me045 | Mm - hmm .
"[56:24] mn015 | and and ceases to be complex in reality . And some stuff that 's as that 's absolutely straightforward in the vacuum ,"
[56:32] mn015 | is actually terribly complex in reality .
"[56:36] mn015 | Would be nice sort of , uh , also , nice , um"
"[56:39] mn015 | bottom - up linguistics , um ,"
[56:44] mn015 | type message .
[56:45] me045 | Mm - hmm .
[56:46] me045 | True .
[56:50] mn015 | Versus the old top - down school .
[56:56] mn015 | I 'm running out of time . OK .
[57:02] mn015 | At four ten .
"[57:03] mn015 | OK , this is the other bit of news ."
"[57:05] mn015 | The subjects today know Fey , so she can't be here , and do the wizarding ."
[57:09] me045 | Huh .
[57:10] mn015 | So I 'm gonna do the wizarding and Thilo 's gonna do the instructing . Also we 're getting a a person who just got fired
[57:13] me003 | Mmm .
"[57:17] mn015 | uh , from her job ."
[57:18] mn015 | Uh a person from Oakland who is interested in maybe continuing the wizard bit once Fey leaves in August .
"[57:32] mn015 | And um , she 's gonna look at it"
[57:35] mn015 | today .
"[57:36] mn015 | Which is good news in the sense that if we want to continue ,"
[57:40] mn015 | after the thir
"[57:41] mn015 | thir after July , we can . We could ."
[57:48] mn015 | and that 's also
"[57:49] mn015 | maybe interesting for Keith and whoever ,"
[57:52] mn015 | if you wanna get some more stuff into the data collection .
"[57:55] mn015 | Remember this , we can completely change the set - up any time we want ."
[57:55] me045 | Mm - hmm .
"[57:59] mn015 | Look at the results we 've gotten so far for the first ,"
