[00:00] fe004 | I 'm What ?
"[27:22] fe004 | we need to have a notation for that which , um , I think that 's still in progress . So , sort of I 'm still working it out ."
"[27:28] fe004 | But it did one one implication it does f have for the other side , which we 'll get to in a minute is that"
"[27:33] fe004 | I couldn't think of a good way to say "" here are the possible things that you could focus on "" , cuz it seems like any entity"
"[27:40] fe004 | in any sentence , you know , or any meaning component of anyth you know all the possible meanings you could have , any of them could be the subject of focus ."
[27:44] me010 | Mmm .
"[27:48] fe004 | But I think one the one thing you can schematize is the kind of focus , right ? So for instance , you could say it 's"
"[27:53] fe004 | the the tense on this as opposed to , um , the the action . OK . Or it 's uh , it 's an identity thing or a contrast with other things ,"
"[28:00] fe004 | or stress this value as opposed to other things . So , um ,"
[28:05] fe004 | it 's it is kind of like a profile profile - background
[28:08] fe004 | thing but I I can't think of like the limited set of
[28:12] fe004 | possible meanings that you would that you would focu light highlight
"[28:23] fe004 | later on . Li - I mean , uh , the best thing I can come up with is that information has a list of focused elements ."
"[28:28] fe004 | For instance , you Oh , one other type that I forgot to mention is like query elements and that 's probably relevant for the like "" where is "" ,"
"[28:34] fe004 | you know , "" the castle "" kind of thing ? Because you might want to say that , um ,"
[28:35] me045 | Mm - hmm .
"[28:40] fe004 | location or cert certain WH words bring you know , sort of automatically focus in a , you know , "" I don't know the identity of this thing "" kind of way on certain elements . So ."
"[28:50] fe004 | OK . Anyway . So that 's onl there are there are many more things that are uncl that are sort of like a little bit unstable about the notation but it 's most I think it 's this is ,"
"[28:58] fe004 | you know , the current current form . Other things we didn't"
"[29:03] fe004 | well , we 've had a lot of other stuff that Keith and I have them working on in terms of like how you deal with like an adjective . You know , a a nominal expression . And , um ,"
[29:06] me045 | Yeah .
[29:10] me045 | Yeah .
"[29:11] fe004 | I mean , we should have put an example of this and we could do that later . But I think the not inherently like the general principles still work though , that ,"
[29:13] me045 | Yeah .
"[29:26] fe004 | Uh , you know , they they have constituents ,"
"[29:28] fe004 | right ? So you can like nest things when you need to ,"
[29:30] fe004 | but they can also overlap in a sort of flatter way .
[29:40] fe004 | properties of dependency grammars and some properties of constituents constituent - based grammar . So that 's I think that 's sort of the main thing we wanted to aim for and so far it 's worked out OK . So .
[29:46] me045 | Mm - hmm .
[29:48] me010 | Good .
[29:49] fe004 | OK .
[29:51] mn015 | I can say two things about the f
[29:58] mn015 | This my f
[29:58] fe004 | As a word ?
"[30:04] mn015 | canonically speaking you can if you look at a a curve over sentence , you can"
"[30:09] mn015 | find out where a certain stress is and say , "" hey , that 's my focus exponent . """
[30:14] fe004 | Mm - hmm .
[30:14] me045 | Right .
"[30:15] mn015 | It doesn't tell you anything what the focus is . If it 's just that thing ,"
[30:18] fe004 | Mm - hmm .
[30:20] fe004 | Or the constituent that it falls in .
[30:23] me045 | Mm - hmm .
"[30:24] fe004 | You mean t forget about stress , the form"
"[30:27] mn015 | The form bit because , uh , as a form cue , um , not even trained experts can always well , they can tell you where the focus exponent is sometimes ."
[30:27] me045 | Yeah .
[30:27] fe004 | cue ? OK .
[30:47] fe004 | Yeah .
[30:51] fe004 | Mm - hmm .
[30:54] mn015 | it 's absurd .
"[30:57] me045 | Yeah , I mean , I I 'm sort of inclined to say let 's worry about specifying"
"[31:03] me045 | the information structure focus of the sentence and then ,"
[31:05] fe004 | Mm - hmm . Ways that you can get it come from th right .
[31:14] mn015 | Or or map from the contour to to what the focus exponent is .
[31:16] me045 | y Yeah .
[31:20] me045 | Yeah .
"[31:20] mn015 | But , uh , if you don't know what you 're what you 're focus is then you 're you 're hopeless - uh - ly lost anyways ,"
[31:21] fe004 | Right .
"[31:23] fe004 | That 's fine , yeah . Mm - hmm ."
[31:30] fe004 | Mm - hmm .
"[31:30] mn015 | is , um , by sort of generating all the possible alternatives to each focused element , decide which one in that context makes sense and which one doesn't ."
[31:42] mn015 | And then you 're left with a couple three .
[31:44] fe004 | Mm - hmm .
[31:54] mn015 | anything . So .
[31:57] mn015 | You know .
"[31:58] fe004 | OK . Well , uh , yeah , I wouldn't have assumed that it 's an easy problem in in absence of all the oth you need all the other information I guess ."
[31:59] mn015 | u u
"[32:04] mn015 | But it 's it 's what it uh , it 's pretty easy to put it in the formalism , though . I mean , because"
[32:08] fe004 | Yeah .
"[32:09] mn015 | you can just say whatever stuff , "" i is the container being focused or the the entire whatever , both , and so forth . """
"[32:15] fe004 | Mm - hmm , mm - hmm ."
[32:16] me045 | Mm - hmm .
[32:18] fe004 | Yeah . Exactly . So the sort of effect of it is something we want to be able to capture .
"[32:21] me010 | Yeah , so b b but I think the poi I 'm not sure I understand but here 's what I th think is going on . That"
"[32:26] me010 | if we do the constructions right when a particular construction matches ,"
"[32:31] me010 | it the fact that it matches , does in fact specify the focus ."
"[32:37] fe004 | W uh ,"
[32:40] fe004 | I 'm not sure about that . Or it might limit it cert certainly constrains
[32:41] me010 | OK .
"[32:44] me010 | Uh k uh , at at the very least it constrai"
"[32:44] fe004 | the possibilities of focus . I think that 's that 's , th that 's certainly true . And depending on the construction it may or may not f specify the focus , right ?"
"[32:50] me010 | Oh , uh , for sure , yes . There are constrai yeah , it 's not every but there are constructions , uh , where you t explicitly take into account those considerations"
[32:52] fe004 | Yeah .
[32:57] fe004 | Mm - hmm .
[32:59] me010 | that you need to take into account in order to decide which what is being focused .
[33:00] fe004 | Mm - hmm .
[33:01] mn015 | Mm - hmm .
[33:04] mn015 | So we talked about that a little bit this morning .
"[33:08] mn015 | "" John is on the bus , not Nancy . "" So that 's focuses on John . "" John is on the bus and not on the train . "" "" John is on the bus "" versus "" John is on the train . "" And "" John is on the bus "" versus "" was "" , and e"
[33:10] fe004 | Mm - hmm .
[33:12] fe004 | Hmm .
[33:12] me010 | Right .
[33:17] fe004 | Mm - hmm .
[33:17] me010 | Right .
[33:19] fe004 | Right .
"[33:24] mn015 | "" it 's the bu "" so e"
[33:24] me010 | Right .
"[33:24] me010 | Yeah , all all of those . Yeah ."
[33:25] fe004 | Right .
[33:26] mn015 | All of these and will we have u is it all the same constructions ? Just with a different foc focus constituent ?
[33:36] mn015 | Mm - hmm .
[33:37] fe004 | the fact that you can get it without any stress and you have some whatever is predicated anyway
"[33:41] fe004 | should be the same set of constructions . So that 's why I was talking about overlapping constructions . So , then you have a separate thing that picks out , you know , stress on something relative to everything else ."
[33:48] me010 | Yeah .
[33:49] me045 | Mm - hmm .
"[33:50] me010 | So , the question is actually oh , I 'm sorry , go ahead , finish ."
"[33:50] fe004 | And it would yeah , and it w and that would have to uh it might be ambiguous as , uh , whether it picks up that element , or the phrase , or something like that . But it 's still is limited possibility ."
[33:59] mn015 | Hmm .
"[33:59] fe004 | So that should , you know , interact with it should overlap with whatever other construction is there ."
[34:02] mn015 | Yeah .
"[34:03] me010 | S s the question is , do we have a way on the other page , uh , when we get to the s semantic side , of saying what the stressed element was , or stressed phrase , or something ."
[34:10] fe004 | Mm - hmm .
[34:21] me010 | Right .
[34:27] me010 | So that 's down at the bottom here when we get over there . OK .
"[34:28] fe004 | Yeah , and , infer and I don't have I don't have a great way or great examples but I think that something like that is probably gonna be , uh , more more what we have to do . But , um , OK , that was one comment . And you had another one ?"
[34:29] me010 | I 'll - I 'll wait .
[34:32] me010 | OK .
[34:36] mn015 | Hmm .
[34:36] me010 | OK .
[34:46] fe004 | How about what ?
"[34:57] fe004 | Topic - focused seems to me like , um , background profile , OK , or a landmark trajector , or some something like that . There 's there 's definitely , um ,"
[35:05] mn015 | Mmm .
[35:10] fe004 | I n I don't have as many great examples of like topic - indicating constructions
"[35:14] fe004 | on like focus , right ? Um , topic it seems kind of you know , I think that might be an ongoing kind of thing ."
[35:18] mn015 | Mm - hmm .
"[35:18] me045 | Japanese has this though . You know . Yeah , that 's what "" wa "" is , uh , just to mark which thing is the topic . It doesn't always have to be the subject ."
[35:20] fe004 | Topic marker ?
[35:21] mn015 | Yeah .
[35:22] fe004 | Mm - hmm .
[35:24] fe004 | Mm - hmm .
[35:25] fe004 | Right .
"[35:26] fe004 | So again , information structure has a topic slot . And , you know , I stuck it in thinking that we might use it . Um , I think I stuck it in . Um , and"
[35:29] mn015 | Mm - hmm .
"[35:32] me010 | Yep , it 's there ."
"[35:35] fe004 | one thing that I didn't do consistently , um , is when we get there , is like indicate what kind of thing fits into every role . I think I have an idea of what it should be but th"
"[35:44] fe004 | you know , so far we 've been getting away with like either a type constraint or , um , you know , whatever . I forg it 'll be a frame . You know , it 'll be it 'll be another predication or it 'll be ,"
"[35:53] fe004 | um , I don't know , some value from from some something , some variable and scope or something like that ,"
"[35:57] fe004 | or a slot chain based on a variable and scope . OK , so well that 's should we flip over to the other side officially then ? I keep , uh , like , pointing forward to it . Yeah . Now we 'll go back to s OK , so this"
"[36:01] mn015 | Mm - hmm , hmm ."
"[36:02] me045 | OK , side one ."
"[36:09] fe004 | doesn't include something which mi mi may have some effect on on it , which is , um , the discourse situation context"
"[36:18] fe004 | record , right ? So I didn't I I meant just like draw a line and like , you know , you also have ,"
[36:25] me010 | Right .
"[36:31] fe004 | I I changed the name of um it used to be "" entities "" . So you see it 's "" scenario "" ,"
"[36:35] fe004 | "" referent "" and "" discourse segment "" . And "" scenario "" is essentially what kind of what 's the basic predication , what event happened . And actually it 's just a list of various slots"
"[36:44] fe004 | from which you would draw draw in order to paint your picture , a bunch of frames , bi and bindings , right ?"
"[36:49] fe004 | Um , and obviously there are other ones that are not included here , general cultural frames and general like , uh , other action f you know , specific X - schema frames . OK , whatever ."
[36:55] me045 | Mm - hmm .
"[36:57] fe004 | The middle thing used to be "" entities "" because you could imagine it should be like really a list where here was various information . And this is intended to be"
"[37:06] fe004 | grammatically specifiable information about a referent uh , you know , about some entity that you were going to talk about . So "" Harry walked into the room "" ,"
"[37:14] fe004 | "" Harry "" and "" room "" , you know , the room th but they would be represented in this list somehow ."
"[37:18] fe004 | And it could also have for instance , it has this category slot ."
"[37:21] fe004 | Um , it should be either category or in or instance . Basically , it could be a pointer to ontology . So that everything you know about this could be could be drawn in . But the important things for"
"[37:30] fe004 | grammatical purposes are for things like number , gender , um ki the ones I included here are slightly arbitrary but you could imagine that , um , you need to figure out wheth if it 's a group whether , um , some event is happening ,"
"[37:43] fe004 | linear time , linear spaces , like , you know , are are they doing something serially or is it like ,"
"[37:56] fe004 | Um , and then the "" status "" I used was like , again , in some languages , you know , like for instance in child language you might distinguish between"
"[38:04] fe004 | different status . So , th the the big com and and finally "" discourse segment "" is about"
"[38:10] fe004 | sort of speech - act - y information structure - y , like utterance - specific kinds of things ."
"[38:14] fe004 | So the comment I was going to make about , um , changing entity the entity 's block to reference is that you can imagine your discourse like situation context , you have a set of entities that you 're sort of referring to . And you might that might be sort of a general ,"
"[38:28] fe004 | I don't know , database of all the things in this discourse that you could refer to ."
"[38:31] fe004 | And I changed to "" reference "" cuz I would say , for a particular utterance you have particular"
"[38:36] fe004 | referring expressions in it . And those are the ones that you get information about that you stick in here . For instance , I know it 's going to be plural . I know it 's gonna be"
[38:43] fe004 | feminine or something like that . And and
"[38:46] fe004 | these could actually just point to , you know , the the ID in my other list of enti active entities , right ? So , um ,"
"[38:55] fe004 | uh , th there 's there 's all this stuff about discourse status . We 've talked about ."
"[38:59] fe004 | I almost listed "" discourse status "" as a slot where you could say"
"[39:02] fe004 | it 's active . You know , there 's this , um , hierarchy uh there 's a schematization of , you know , things can be active or they can be ,"
"[39:08] fe004 | um , accessible , inaccessible . It was the one that , you know , Keith , um , emailed to us once , to some of us , not all of us . And"
[39:10] me045 | Yeah .
"[39:15] fe004 | the thing is that that I noticed that that , um , list was sort of"
"[39:19] fe004 | discourse dependent . It was like in this particular set , s you know , instance , it has been referred to recently or it hasn't been , or this is something that 's like in my world knowledge but not active . So ."
[39:25] me045 | Yeah .
"[39:28] me010 | Uh yeah , well there there seems to be context properties . Yeah ."
"[39:30] fe004 | Yeah , they 're contex and for instance , I used to have a location thing there but actually"
"[39:40] me010 | Well , uh , uh , this is recursive cuz until we do the"
[39:44] fe004 | Yeah .
"[39:45] me010 | uh , mental space"
"[39:47] me010 | story , we 're not quite sure Th - th which is fine . We 'll just we 'll j"
[39:50] me010 | we just don't know yet .
[39:51] fe004 | Right .
"[39:52] fe004 | So I so for now I thought , well maybe I 'll just have in this list the things that are relevant to this particular utterance , right ? Everything else here is utterance - specific ."
"[40:01] fe004 | Um , and I left the slot , "" predications "" , open because you can have , um , things like "" the guy I know from school "" . Or , you know , like your referring expression might be constrained by certain like unbounded na amounts of prep you know , predications that you might make . And it 's"
[40:10] me045 | Mm - hmm .
"[40:20] fe004 | unclear whether I mean , you could just have in your scenario , "" here are some extra few things that are true "" , right ?"
[40:25] me045 | Mm - hmm .
"[40:30] fe004 | but it 's used for identification purposes . So it 's it 's a little bit different from just saying "" all these things are true from my utterance "" ."
[40:31] me045 | Yeah .
[40:31] me010 | Right .
[40:35] me045 | Yeah .
[40:37] fe004 | Um .
"[40:37] me045 | Right , "" this guy I know from school came for dinner "" does not mean , um , "" there 's a guy , I know him from school , and he came over for dinner "" . That 's not the same effect ."
[40:52] me045 | Yeah .
"[40:55] fe004 | um , but maybe I 'm mixing , you know this is kind of like the final result after parsing the sentence . So you might imagine that"
[41:01] me045 | Mm - hmm .
"[41:03] fe004 | the information you pass to , you know in identifying a particular referent would be , "" oh , some "" you know , "" it 's a guy and it 's someone I know from school "" . So maybe that would ,"
[41:10] me045 | Yeah .
[41:20] me045 | Mm - hmm .
"[41:22] fe004 | you know , so so you could imagine that this might not So , uh , I 'm uncommitted to a couple of these things . Um ."
"[41:27] mn015 | But to make it m precise at least in my mind , uh , it 's not precise . So "" house "" is gender neuter ?"
[41:38] me010 | Semantically .
"[41:40] fe004 | semantically , yeah . Yeah . So it uh , uh , a table ."
"[41:45] fe004 | You know , a thing that c doesn't have a gender . So . Uh , it could be that I mean ,"
"[41:51] fe004 | maybe you 'd maybe not all these I mean , I wou I would say that I tried to keep slots here that were potentially relevant to most most things ."
[42:00] fe004 | Yeah .
"[42:01] fe004 | OK , that is semantic as opposed to Yeah . Yeah . That 's right ."
"[42:11] mn015 | Then "" predications "" makes sense to to have it open for something like , uh , accessibility or not . Yeah ."
[42:14] fe004 | Open to various things .
[42:18] fe004 | Right .
"[42:19] fe004 | OK , so . Let 's see . So maybe having made that big sca sort of like large scale comment , should I just go through each of these slots uh , each of these blocks , um , a little bit ?"
[42:31] me045 | Sure .
"[42:32] fe004 | Um , mostly the top one is sort of image schematic . And just a"
"[42:38] fe004 | note , which was that , um s so when we actually ha so for instance , um ,"
"[42:44] fe004 | some of them seem more inherently static , OK , like a container or sort of support - ish ."
"[42:50] fe004 | And others are a little bit seemingly inherently dynamic like "" source , path , goal "" is often thought of that way or "" force "" , or something like that ."
"[42:57] fe004 | But in actual fact , I think that they 're intended to be sort of neutral with respect to that . And different X - schemas use them"
"[43:05] fe004 | in a way that 's either static or dynamic . So "" path "" , you could just be talking about the path between this and this . And you know , "" container "" that you can go in and out . All of these things . And so , um ,"
[43:09] me045 | Mmm .
"[43:14] fe004 | I think this came up when , uh , Ben and I were working with the Spaniards , um , the other day the "" Spaniettes "" , as we called them um ,"
"[43:22] fe004 | to decide like how you want to split up , like , s image schematic contributions versus , like , X - schematic contributions . How do you link them up . And I think again , um ,"
"[43:30] fe004 | it 's gonna be something in the X - schema that tells you "" is this static or is this dynamic "" . So we definitely need that sort of aspectual type gives you some of that . Um ,"
"[43:50] fe004 | Oh , oh ! You mean , in the slot ?"
[43:52] mn015 | Mm - hmm .
"[43:52] fe004 | Um , no , it 's like X - sc it 's it 's like I was thinking of type constraints but X - schema , well it obviously has to be an X - schema ."
[44:04] me045 | So the difference is basically whether you thought it was obvious what the possible fillers were .
[44:08] mn015 | Mm - hmm .
[44:08] me045 | OK .
"[44:08] fe004 | Um , "" aspectual type "" probably isn't obvious but I should have So , I just neglected to stick something in . "" Perspective "" , "" actor "" , "" undergoer "" , "" observer "" , um ,"
[44:11] me003 | Mmm .
"[44:15] fe004 | I think we 've often used "" agent "" , "" patient "" , obser Yeah , exactly . Exactly . Um , and so one nice thing that , uh ,"
"[44:23] fe004 | we had talked about is this example of like , if you have a passive construction then one thing it does is ch you know definitely , it is one way to for you to ,"
"[44:32] fe004 | you know , specifically take the perspective of the undergoing kind of object . And so then we talked about , you know , whether"
"[44:44] fe004 | Anyway . So . Sorry . I 'm gonna trail off on that one cuz it 's not that f important right now . Um ,"
"[44:48] me010 | N now , for the moment we just need the ability to l l write it down if if somebody figured out what the rules were . Yeah ."
"[44:54] fe004 | Yeah . Yeah . Exactly . Um ,"
"[44:57] fe004 | some of these other ones , let 's see . So ,"
"[45:00] fe004 | uh , one thing I 'm uncertain about is how polarity interacts . So polarity , uh , is using for like"
[45:03] me010 | Mm - hmm .
"[45:05] fe004 | action did not take place for instance . So by default it 'll be like "" true "" , I guess , you know , if you 're specifying events that did happen ."
"[45:13] fe004 | You could imagine that you skip out this you know , leave off this polarity , you know , not don't have it here . And then have it part of the speech - act in some way . There 's some negation . But the reason why I left it in is cuz"
[45:20] me010 | Mm - hmm .
"[45:33] me010 | No , I th I think at this lev which is it should be where you have it ."
"[45:37] fe004 | OK , it 's so it 's it 's it 's fine where it is . So , OK ."
[45:44] me010 | by the time you 're simulating you sh y you should know that .
[45:45] fe004 | Right .
[45:47] fe004 | Right .
"[45:47] me045 | So , I 'm still just really not clear on what I 'm looking at . The "" scenario "" box , like , what does that look like for an example ? Like , not all of these things are gonna be here . This is just basically says"
[45:56] fe004 | Yeah .
[45:58] fe004 | Mm - hmm .
[45:58] me010 | Correct .
"[46:01] me045 | "" part of what I 'm going to hand you is a whole bunch of s uh , schemas , image , and X - schemas ."
"[46:08] me045 | Here are some examples of the sorts of things you might have in there "" ."
"[46:11] fe004 | So that 's exactly what it is . And for a particular instance which I will , you know , make an example of something , is that you might have an instance of container and path , let 's say , as part of your , you know , "" into """
[46:12] me045 | OK .
[46:22] me045 | Mm - hmm .
[46:24] me045 | Mm - hmm .
"[46:25] fe004 | you know , definition . So you would eventually have instances filled in with various various values for all the different slots . And they 're bound up in , you know , their bindings and and and values ."
[46:30] me045 | Mm - hmm .
[46:33] me045 | OK .
[46:34] me010 | W it c
[46:35] me045 | Do you have to say about the binding in your is there a slot in here for that tells you how the bindings are done ?
"[46:40] me010 | No , no , no . I let 's see , I think we 're we 're not I don't think we have it quite right yet ."
[46:43] me045 | OK .
"[46:43] me010 | So , uh , what this is , let 's suppose for the moment it 's complete ."
[46:48] me045 | OK .
"[46:49] me010 | OK , uh , then this says that when"
"[46:54] me010 | an analysis is finished , the whole analysis is finished , you 'll have as a result , uh , some s resulting s semspec for that utterance in context , which is"
[46:56] me045 | Mm - hmm .
[47:09] me010 | made up entirely of
"[47:12] me010 | these things and , uh , bindings among them ."
[47:16] me045 | Mm - hmm .
[47:17] me010 | And bindings to ontology items .
[47:19] me045 | Mm - hmm .
[47:19] me010 | So that that the who that this is the
[47:23] me010 | tool kit under whi out of which you can make a semantic specification .
[47:28] me045 | Mm - hmm .
"[47:30] me010 | So that 's A . But B , which is more relevant to your life , is this is also"
[47:31] me045 | OK .
[47:35] me010 | the tool kit that is used in the semantic side of constructions .
[47:41] me045 | Mm - hmm .
"[47:41] me010 | So this is an that anything you have ,"
[47:45] me045 | OK .
"[47:46] me010 | in the party line , anything you have as the semantic side of constructions comes ,"
"[47:50] me010 | from pieces of this ignoring li I mean , in general , you ignore lots of it . But it 's got to be pieces of this along with constraints among them ."
[47:52] me045 | Right .
[47:58] me045 | OK .
"[47:58] me010 | Uh , so that the , you know , goal of the , uh"
"[48:04] me010 | uh , "" source , path , goal "" has to be the landmark of the conta you know , the interior of this container . Or whate whatever . So those constraints"
[48:07] me045 | Mm - hmm .
[48:09] me045 | Yeah .
[48:12] me010 | appear in constructions but
[48:14] me045 | Mm - hmm .
[48:17] me010 | pretty much this is the full range of semantic structures available to you .
[48:24] me045 | OK .
[48:28] me045 | Yeah .
"[48:29] me010 | OK , good . Let 's let 's mark that . So we need a c"
"[48:32] fe004 | Uh , I mean , so it gets a little funny . These are all so far these structures , especially from "" path "" and on down , these are sort of relatively familiar , um , image schematic kind of slots ."
[48:46] me010 | Right .
[48:46] me045 | Mm - hmm .
"[48:48] me010 | And and and and this this this again may ge our , um and we and and , of course , worlds ."
"[48:55] fe004 | Yeah . So that 's , uh these are all implicitly one within , uh within one world . Um ,"
[48:55] me045 | Mm - hmm .
"[49:01] fe004 | even though saying that place takes place , whatever . Uh , if y if I said "" time "" is , you know , "" past "" ,"
"[49:07] fe004 | that would say "" set that this world "" , you know , "" somewhere , before the world that corresponds to our current speech time "" ."
[49:08] me045 | Mm - hmm .
[49:09] me045 | Mm - hmm .
[49:11] me045 | Yeah .
[49:11] fe004 | So . But that that that 's sort of OK . The the within the event it 's st it 's still one world .
[49:16] fe004 | Um .
"[49:18] fe004 | Yeah , so "" cause "" and Other frames that could come in I mean , unfortunately you could bring in say for instance , um , uh , "" desire "" or something like that , like "" want "" ."
[49:25] me045 | Mm - hmm .
"[49:27] fe004 | And actually there is right now under "" discourse segments "" , um , "" attitude "" ? "" Volition "" ? could fill that . So there are a couple things where I like , "" oh , I 'm not sure if"
"[49:38] fe004 | I wanted to have it there or "" Basically there was a whole list of of possible speaker attitudes that like say Talmy listed . And , like , well ,"
"[49:45] fe004 | I don't you know , it was like "" hope , wish . desire "" , blah - blah - blah . And it 's like , well ,"
[49:47] me010 | Right .
[49:48] me045 | Uh - huh .
"[49:50] fe004 | I feel like if I wanted to have an extra meaning I don't know if those are grammatically marked in the first place . So They 're more lexically marked , right ? At least in English ."
[49:56] me045 | Mmm .
"[49:57] fe004 | So if I wanted to I would stick in an extra frame in my meaning , saying ,"
"[50:01] fe004 | e so th it 'd be a hierarchical frame them , right ? You know , like"
"[50:04] fe004 | "" Naomi wants wants su a certain situation and that situation itself is a state of affairs "" ."
[50:09] fe004 | u
"[50:13] me010 | Well , and it i basically it 's an action ."
"[50:16] fe004 | Yeah . Situation . Right , right ."
"[50:17] me010 | in in our in our s terminology , "" want "" can be an action and "" what you want "" is a world ."
[50:21] fe004 | Mm - hmm .
[50:24] fe004 | Mmm .
"[50:24] me010 | So that 's I mean , it 's certainly one way to do it . Yeah , there there are"
[50:26] me045 | Mm - hmm .
[50:31] fe004 | Mm - hmm .
[50:37] me010 | So is this
"[50:39] me010 | comfortable to you that , uh , once we have this defined ,"
[50:44] me045 | Mm - hmm .
[50:45] me010 | it is your tool kit
"[50:47] me010 | for building the semantic part of constructions . And then when we combine constructions semantically , the goal is going to be to fill out more and more of the bindings needed in order to come up with the final one ."
[50:55] me045 | Mm - hmm .
[51:02] me045 | Yeah .
"[51:02] me010 | And that 's the wh and and I mean , that according to the party line , that 's the whole story ."
[51:06] me045 | Mm - hmm .
[51:08] me045 | Yeah . Um . y
[51:21] fe004 | Mm - hmm .
"[51:22] me045 | is that where you would sa I mean , that 's OK , that 's where the information structure is which sort of is a kind of profiling on different parts of , um ,"
[51:27] fe004 | Right .
"[51:37] me045 | Hmm . There 's almost I mean , we keep coming back to how focus is like this this , uh , trajector - landmark thing . So if I say , um ,"
[51:42] fe004 | Yeah .
"[51:47] me045 | You know , "" In France it 's like this "" . You know , great , we 've learned something about France but the fact is that utterances of that sort are generally used to help you draw a conclusion also about"
[52:00] fe004 | Right .
"[52:07] fe004 | Right , right ."
[52:10] me010 | Right .
"[52:12] fe004 | S so I would prefer not to worry about that for right now and to think that there are , um ,"
[52:15] me045 | OK .
"[52:17] fe004 | discourse level constructions in a sense , topic topic - focus constructions that would say , "" oh , when you focus something """
[52:19] me045 | Mm - hmm .
[52:24] me045 | Yeah .
"[52:24] fe004 | then just done the same way just actually in the same way as the lower level . If you stressed , you know , "" John went to the "" , you know , "" the bar "" whatever , you 're focusing that and"
[52:29] me045 | Mm - hmm .
"[52:32] fe004 | a in a possible inference is "" in contrast to other things "" . So similarly for a whole sentence , you know , "" in France such - and - such happens "" ."
[52:34] me045 | Yeah .
[52:36] me045 | Yeah .
"[52:37] me045 | Yeah , yeah ."
[52:38] fe004 | So the whole thing is sort of like again implicitly as opposed to other things that are possible .
[52:42] me045 | Yeah .
"[52:43] mn015 | Uh , just just , uh , look read uh even sem semi formal Mats Rooth ."
[52:44] fe004 | Yeah .
[52:48] fe004 | Uh - huh .
[52:49] mn015 | If you haven't read it . It 's nice . And just pick any paper on alternative semantics .
[52:51] fe004 | Uh - huh .
[52:54] me045 | OK .
"[52:55] mn015 | So that 's his that 's the best way of talking about focus , is I think his way ."
"[53:01] me045 | OK , what was the name ?"
[53:03] mn015 | Mats . MATS . Rooth .
[53:06] me045 | OK .
"[53:08] mn015 | I think two O 's , yes , TH . I never know how to pronounce his name because he 's sort of ,"
[53:09] me045 | OK .
[53:13] me010 | S Swede ?
"[53:15] mn015 | uh , he is Dutch and , um but very confused background I think ."
"[53:17] me010 | Dutch ? Oh , Dutch ."
[53:18] me045 | Yeah .
[53:22] me010 | Uh - huh .
"[53:23] mn015 | So and , um ,"
[53:25] me045 | Mats Gould .
[53:31] me045 | Hmm .
"[53:33] mn015 | I don't know where he is right now but alternative semantics is if you type that into an , uh , uh , browser or search engine you 'll get tons of stuff ."
[53:36] me045 | OK .
[53:39] me045 | OK .
"[53:41] me045 | OK , thanks ."
[53:46] mn015 | And what I 'm kind of confused about is is what the speaker and the hearer is is sort of doing
[53:52] mn015 | there .
"[53:53] fe004 | So for a particular segment it 's really just a reference to some other entity again in the situation , right ? So for a particular segment"
[54:02] mn015 | Yeah .
"[54:02] fe004 | the speaker might be you or might be me . Um , hearer is a little bit harder . It could be like multiple people . I guess that that that that 's not very clear from here I mean , that 's not allowed here ."
"[54:11] mn015 | Yeah , but you Don't we ultimately want to handle that analogously to the way we handle time and place , because "" you "" , "" me "" , "" he "" , "" they "" , you know , "" these guys "" ,"
[54:25] fe004 | Mm - hmm .
[54:30] fe004 | Ye - yeah . So th
[54:36] mn015 | Ah !
"[54:38] fe004 | Right , so the constructions might of course will refer , using pronouns or whatever . In which case they have to check to see ,"
[54:42] mn015 | Mm - hmm .
"[54:45] fe004 | uh , who the , uh , speaker in here wa in order to resolve those . But when you actually say that "" he walked into "" , whatever , um ,"
"[54:53] fe004 | the "" he "" will refer to a particular You you will already have figured who "" he "" or "" you "" , mmm , or "" I "" , maybe is a bett better example , who "" I "" refers to ."
"[55:02] fe004 | Um , and then you 'd just be able to refer to Harry , you know , in wherever that person whatever role that person was playing in the event ."
[55:06] mn015 | Mmm .
[55:08] mn015 | That 's up at the reference part .
"[55:09] fe004 | Yeah , yeah ."
[55:10] mn015 | And down there in the speaker - hearer part ?
[55:17] fe004 | n
"[55:17] fe004 | for instance , Speaker is known from the situation , right ? You 're when you hear something you 're told who the speaker is I mean , you know who the speaker is ."
[55:34] me010 | Mmm .
"[55:35] fe004 | I mean , how else would you"
[55:42] fe004 | Yeah .
[55:45] fe004 | Right .
[55:50] fe004 | Mm - hmm .
"[55:50] mn015 | that happens to be the speaker this time and not "" they , "" whoever they are . Or "" you "" much like the "" you "" could n"
"[55:56] fe004 | S so OK , so I would say ref under referent should be something that corresponds to "" I "" . And maybe each referent should probably have a list of way whatever , the way it was referred to ."
"[56:04] fe004 | So that 's "" I "" but , uh , uh , should we say it it refers to , what ? Uh , if it were "" Harry "" it would refer to like some ontology thing . If it were if it 's "" I "" it would refer to the current speaker ,"
"[56:16] fe004 | OK , which is given to be like , you know , whoever it is ."
"[56:18] mn015 | Well , not not always . I mean , so there 's "" and then he said , I w "" Uh - huh ."
"[56:22] fe004 | "" I "" within the current world ."
[56:24] mn015 | Yeah .
"[56:24] me010 | Yeah . That 's right . So so again , this uh , this this is gonna to get us into the mental space stuff and t because"
"[56:24] fe004 | Yeah , yeah , yeah , yeah ."
