[00:00] me013 | No .
[20:51] mn005 | overlapping with a a very
[20:57] mn005 | eh the if the fit of normalization is eh
[21:01] mn005 | mmm
[21:02] mn005 | bigger
[21:03] mn005 | eh in that overlapping zone eh very short
"[21:07] fe016 | Yeah , that 's true . The window shouldn't be larger than the backchannel ."
[21:09] mn005 | I I me
[21:10] mn005 | I I understand .
[21:11] mn005 | I mean that you have
"[21:13] mn005 | eh you have a backchannel , eh , eh you have a overlapping zone"
[21:16] mn005 | very short
[21:17] mn005 | and you consider
[21:19] mn005 | eh n eh
[21:21] mn005 | all the channel
[21:21] mn005 | to normalize
[21:22] me013 | Mm - hmm .
[21:25] me013 | Mm - hmm .
"[21:25] mn005 | for example "" mmm mm - hmm hmm """
[21:27] mn005 | eh
[21:28] mn005 | And the energy is not eh height
[21:31] mn005 | eh I think if you consider all the channel
[21:33] mn005 | to normalize and the channel is
[21:36] me013 | Mm - hmm .
[21:36] mn005 | eh eh eh
[21:38] mn005 | compared with the with the overlapping
"[21:41] mn005 | eh duration ,"
[21:43] mn005 | is
[21:44] mn005 | mmm
[21:46] mn005 | that
[21:47] mn005 | I I mean the the e effect of the normalization
[21:50] mn005 | eh with the mean and the and the variance
[21:51] me013 | Mm - hmm .
[21:52] mn005 | eh is different that if you consider
[21:56] mn005 | compared
[21:57] mn005 | eh with the n the duration of overlapping .
[22:01] me013 | You you want it
[22:03] mn005 | Yeah .
[22:04] mn005 | Yeah .
[22:05] mn005 | Yeah .
[22:06] fe008 | Mm - hmm .
[22:06] me013 | but uh
[22:06] mn005 | I I don't know . Is s
[22:07] me013 | Yeah .
"[22:08] fe016 | Well it 's a sliding window , right ? So if you take the the measure"
[22:10] me013 | Mm - hmm .
"[22:11] fe016 | in the center of the overlapped piece ,"
[22:11] mn005 | Yeah .
[22:12] mn005 | Yeah .
"[22:13] fe016 | you know , there 'd better be some"
"[22:18] mn005 | Yeah ,"
"[22:20] mn005 | This is the the idea ,"
[22:23] fe016 | Yeah . So .
[22:25] mn005 | near the the overlapping zone .
[22:32] fe016 | as your backchannel .
[22:32] mn005 | Yeah .
[22:32] fe016 | Then you 're gonna w have a wash .
[22:33] fe008 | Mm - hmm .
[22:34] fe016 | And hopefully it 's more like
[22:35] me013 | I 'm not sure that 's necessarily true .
[22:36] mn005 | Yeah ?
"[22:37] fe008 | It is an empirical question , it seems like ."
[22:38] fe016 | Yea -
[22:38] mn005 | Yeah .
[22:39] me013 | because
[22:39] fe008 | Yeah .
[22:40] me013 | um
"[22:41] me013 | again if you 're just compensating for the gain ,"
"[22:43] me013 | you know , the fact that this this gain thing was crude ,"
[22:46] me013 | and the gain wh
[22:47] me013 | if someone is speaking relatively
"[22:48] me013 | at consistent level ,"
"[22:50] me013 | just to to give a an extreme example ,"
[22:52] me013 | all you 're doing is compensating for that .
[22:55] me013 | And then you still s
"[22:55] me013 | And then if you look at the frame with respect to that ,"
[22:58] me013 | it still should should uh
[23:00] me013 | change
"[23:02] fe016 | Yeah , it depends how different your normalization is , as you slide your window across . I mean . That 's something we don't know ."
[23:05] me013 | Mm - hmm .
"[23:07] fe008 | It 's possible to try it both ways , isn't it ?"
"[23:07] me011 | Well , I mean we 're also talking about"
[23:08] fe008 | in this small @ @
"[23:09] me011 | a couple of different things . I mean , one is your analysis window and then the other is any sort of normalization that you 're doing ."
[23:14] fe016 | Yeah I was talking about the n normalization window .
[23:16] me011 | And they could be quite different .
[23:17] fe016 | Yeah .
[23:17] me013 | Right .
[23:17] mn005 | Yeah .
[23:19] fe016 | Yeah . That 's true .
[23:19] me011 | Yep .
[23:19] me013 | where we were last week .
[23:20] fe016 | Yeah .
"[23:20] me013 | But , anyway"
[23:21] me013 | We we 'll have to look at some core things .
[23:22] fe016 | Um .
[23:22] mn005 | OK .
[23:22] fe008 | OK .
[23:25] fe008 | Great .
[23:25] fe016 | um .
[23:25] fe008 | OK .
[23:25] mn005 | Yeah .
[23:26] fe016 | But
"[23:26] fe016 | it is definitely true that we need to have the time marks ,"
[23:29] fe008 | Mm - hmm .
"[23:29] fe016 | and I was assuming that will be inherited because ,"
"[23:31] fe008 | Yep , I agree ."
[23:32] fe016 | if you have the words and they 're roughly aligned in time
[23:34] fe008 | Mm - hmm .
[23:35] fe016 | via
"[23:36] fe016 | forced alignment or whatever we end up using ,"
[23:38] fe016 | then
"[23:39] fe016 | you know , this student and I would be looking at the time"
[23:42] fe016 | marks and classifying all the frames inside those as whatever labels
[23:44] mn005 | Yeah .
[23:46] fe016 | Jane gave
[23:47] fe008 | I wasn't planning to label the time marks .
[23:49] mn005 | I can give you
"[23:49] fe008 | I was thinking that that would come from the engineering side , yeah ."
"[23:50] mn005 | my transcription file , no ?"
[23:50] fe016 | @ @
[23:50] fe016 | I don't think you need to .
"[23:52] fe016 | Yeah . That should be linked to the words which are linked to time somehow , right ?"
[23:55] fe008 | There you go .
[23:56] me011 | Well we 're not any time soon going to get a forced alignment . So .
[23:57] fe016 | Not now .
[24:00] me011 | Um
[24:01] me011 | If it 's not hand - marked then we 're not going to get the times .
"[24:01] fe016 | Well , it 's something that w"
[24:04] mn005 | Yes
[24:08] fe016 | once he gets going we 're gonna
[24:10] fe016 | hafta come up with one and
[24:11] me013 | Yes .
[24:12] fe016 | Yeah .
[24:12] fe008 | Good .
[24:12] me011 | I mean w I guess we could do a very bad one with Broadcast News .
[24:13] fe016 | So whatever you would label would be
[24:13] fe008 | Good .
"[24:15] fe016 | attached to the words , I think ."
[24:16] fe008 | Great !
"[24:16] fe008 | Good , good . Mm - hmm ."
[24:16] mn005 | Yeah .
[24:17] me013 | Well again for the close mike
"[24:19] me013 | stuff ,"
[24:20] me011 | That might be good enough .
[24:21] me013 | take a s
[24:21] me013 | take the Switchboard
[24:23] me011 | Yeah .
[24:25] me013 | Um
[24:26] me011 | It 'd be worth a try . It would be interesting to see what we get .
"[24:29] fe016 | Cuz there 's there 's a lot of work you can't do without that , I mean ,"
[24:32] me013 | Yeah .
[24:33] fe016 | You 'd have to go in and measure every
[24:34] fe016 | start and stop point
[24:36] fe016 | next to a word
[24:37] fe016 | is y if you 're interested in anything to do with words . So .
[24:37] fe008 | It would be very inefficient .
[24:37] me011 | Yep .
[24:39] fe008 | Mm - hmm .
[24:39] fe016 | Anyway So that 'd be great .
[24:41] fe008 | Good . OK .
[24:42] mn005 | Yeah .
[24:43] me013 | There 's something we should
[24:45] me013 | talk about later but
[24:46] me013 | maybe not just now .
"[24:48] me013 | But , uh ,"
[24:50] me013 | should talk about our options as far as the uh
[24:54] me013 | transcription
"[24:57] me013 | But . Well , w"
[24:58] fe008 | OK . Good .
[24:58] me013 | But
[24:59] me013 | we 'll do that later .
[25:00] fe016 | Are we supposed to keep recording here ?
[25:00] fe008 | Yeah . Let 's do that later .
[25:01] fe008 | Yeah .
[25:01] me011 | Yeah Right .
[25:04] me013 | We 'll talk about it later .
[25:04] fe008 | Yeah .
[25:06] me013 | uh
"[25:07] me013 | Uh "" forms "" . You had something on forms ."
[25:09] me011 | Forms
[25:11] me011 | Next iteration of forms .
"[25:12] fe008 | Oh ! Oh good , OK ."
[25:15] me013 | Um .
[25:16] me013 | Oh .
[25:18] fe008 | How So it 's two pages per person ?
[25:19] me011 | Nope .
"[25:20] me011 | One 's a digit form , one 's a speaker form ."
[25:22] fe008 | Oh !
[25:23] me011 | So one is a one time only speaker form and the other is the digits .
"[25:23] fe008 | Oh , I see ."
[25:25] mn005 | Oh it 's the same .
[25:25] mn005 | Oh no no . Is is new Is OK .
[25:27] me011 | So don't fill these out .
[25:29] fe008 | Alright .
[25:29] me011 | This is just the suggestion for uh what the new forms would look like .
"[25:34] me011 | So , they incorporate the changes that we talked about ."
[25:41] fe008 | Uh why did you switch the order of the Date and Time fields ?
[25:44] me011 | On which one ?
"[25:45] fe008 | On on the new one , Time comes first and then Date ,"
[25:49] me011 | Oh you mean on the digit form ?
"[25:51] me011 | Uh , because"
[25:53] fe008 | but it used used to be Date came first .
[25:53] me011 | the user fills out the first three fields and I fill out the rest .
[25:57] fe008 | Oh I see .
"[25:58] me011 | So it was intentional . It 's an interesting observation , but it was intentional ."
[26:00] fe008 | How would the user know the time if they didn't know the date ?
[26:03] me011 | Because the date is when you actually read the digits and the time
"[26:06] me011 | and , excuse me , the time is when you actually read the digits ,"
[26:09] me011 | but I 'm filling out the date beforehand . If you look at the form in front of you ?
[26:12] fe008 | Yeah .
[26:12] me011 | that you 're going to fill out when you read the digits ?
[26:14] me011 | you 'll see I 've already filled in the date but not the time .
[26:20] fe008 | time of the meeting .
"[26:21] mn005 | Yeah ,"
"[26:21] me011 | Yeah , I 've noticed that in the forms ."
[26:21] mn005 | I yeah .
"[26:23] me011 | The the reason I put the time in , is so that the person"
[26:24] fe016 | @ @
[26:25] mn005 | Me too .
"[26:25] me011 | who 's extracting the digits , meaning me ,"
[26:28] mn005 | Oh !
"[26:28] me011 | will know where to look in the meeting ,"
[26:30] me011 | to try to find the digits .
[26:30] fe008 | we 've been messing up your forms .
[26:32] me011 | I know .
[26:32] mn005 | I am put I am putting the beginning of the meeting .
"[26:33] fe016 | So you should call it , like , "" digits start time "" . Or ."
[26:33] me011 | And I haven't said anything .
[26:35] me011 | Yep .
[26:35] mn005 | in on there .
[26:36] me013 | Why What what were you putting in ?
"[26:38] fe008 | Oh , well , I was saying if we started the meeting at"
[26:39] mn005 | Yeah .
"[26:39] fe008 | two thirty , I 'd put two thirty , and I guess d"
"[26:41] fe008 | e everyone was putting two thirty , and"
[26:41] me013 | Oh .
[26:41] mn005 | Yeah .
"[26:42] fe008 | I didn't realize there was "" uh oh"
"[26:43] me011 | No , it 's about fifty fifty ."
"[26:44] me011 | Actually it 's about one third each . About one third of them are blank , about one third of them are when the digits are read , and about one third of them are when the meeting starts ."
[26:52] mn005 | Oh .
[26:52] me011 | So .
[26:54] me011 | I could put instructions ?
[26:55] fe008 | Ei - either that or maybe you could
[26:55] me011 | Nah .
[26:56] mn005 | Yeah .
[26:59] fe008 | start reading digits on that particular session .
"[26:59] me011 | But if I 'm not at the meeting , I can't do that ."
"[27:02] me013 | Yeah , he 's been setting stuff up and going away . So ."
[27:04] fe008 | I see . Good point good point .
"[27:06] me011 | Yep , but that is the reason Name , Email and Time are where they are ."
"[27:06] fe008 | Oh , OK . Alright ."
[27:06] me013 | Yeah .
[27:10] me011 | And then the others are later on .
[27:12] me013 | Uh - huh .
[27:12] fe008 | OK . w
[27:14] mn005 | And the Seat is this number ?
[27:16] me011 | Mm - hmm .
"[27:21] fe016 | "" For official use only """
"[27:27] fe008 | Well that does raise another question , which is why is the "" Professional use only "" line not higher ?"
[27:31] fe008 | Why doesn't it come in at the point of Date and Seat ?
[27:34] fe008 | Oh .
[27:35] me011 | What ?
[27:35] fe008 | Because we 're filling in other things .
[27:35] me013 | What ?
[27:38] fe008 | If y
"[27:39] fe008 | your your professional use , you 're gonna already have the date ,"
[27:42] fe008 | and the s
[27:43] me011 | What which form are you talking about ?
[27:45] fe008 | Well I 'm comparing the new one with the old one .
[27:46] fe008 | This is the digit form .
[27:46] mn005 | Oh .
[27:48] mn005 | Yeah .
[27:48] me013 | Digit .
[27:48] me013 | Digit form .
[27:49] mn005 | Yeah .
"[27:49] me011 | The digit No , that 's alright . The digit form doesn't have a "" for official use only "" line ."
[27:49] fe008 | Sorry .
"[27:53] me011 | It just has a line ,"
[27:54] fe008 | That uh OK .
[27:57] fe008 | Sorry about that . Yeah .
"[27:57] me011 | So on the digits form ,"
[27:58] me011 | everything above the line is a fill - in form
[28:00] fe008 | Yeah .
[28:05] fe008 | OK .
"[28:06] fe008 | Alright s but I didn't mean to derail our discussion here , so you really wanted to start with this other form ."
"[28:11] me011 | You just started talking about something , and I didn't know which form you were referring to ."
[28:15] fe008 | So I was looking at the change first . So it 's like we started with this and now we 've got a new version of it
"[28:19] fe008 | wi with reference to this . So the digit form , we had one already ."
[28:22] fe008 | Now the f the fields
[28:24] fe008 | are slightly different .
[28:26] me013 | So the main thing that the person fills out
[28:29] me013 | um is the name and email and
[28:31] mn005 | Yeah .
[28:32] me013 | time ?
[28:32] me011 | Right .
[28:33] me013 | You do the rest ?
[28:34] me011 | Yep .
[28:35] me011 | Just as uh as I have
[28:36] me013 | Right .
[28:36] me011 | for all the others .
"[28:37] fe008 | And there 's an addition of the native language ,"
[28:39] fe008 | which is a bit redundant .
[28:41] fe008 | This one has Native Language and this one does too .
"[28:43] me011 | That 's because the one , the digit form that has native language is the old form not the new form ."
"[28:46] fe008 | Oh ! Thank you . Thank you , thank you . There we go ."
[28:47] mn005 | Yeah .
"[28:50] fe008 | OK , I see ."
[28:58] me011 | I picked those categories from TIMIT .
"[29:02] fe016 | Actually , the only way I know is from working with the database and having to figure it out ."
"[29:05] me011 | With TIMIT , yeah ?"
[29:05] mn005 | uh - huh .
[29:06] mn005 | What i
"[29:06] me011 | So , I was gonna ask wh"
[29:08] me011 | w
[29:11] fe016 | Well yeah .
[29:11] mn005 | Yeah .
[29:12] me011 | I mean . So so what accent are we speaking ?
[29:15] me011 | Western ?
[29:18] me013 | By definition ?
[29:18] mn005 | And for simple for for me ?
"[29:20] me013 | Well ,"
"[29:20] fe016 | Probably Western , yeah ."
[29:22] mn005 | Spanish ?
[29:23] mn005 | eh
[29:24] mn005 | The original
[29:25] mn005 | is the center of Spain and the
"[29:28] me011 | Yeah , I mean you could call it whatever you want ."
[29:35] mn005 | Because
"[29:36] mn005 | is different , the Span - uh"
[29:40] me011 | Sure .
[29:45] me011 | So I 'm not sure what to do about the Region field for English variety .
[29:48] mn005 | Yeah .
"[29:49] me011 | You know , when I wrote I was writing those down , I was thinking , "" You know , these are great if you 're a linguist "" ."
[29:53] fe008 | Yeah .
[29:54] me011 | But I don't know how to I don't know how to I don't know how to categorize them .
[29:56] fe008 | Yeah .
[30:00] me013 | if you 're a TI or MIT from nineteen eighty - five .
[30:02] me011 | Yeah
[30:03] me013 | Yeah .
[30:03] me011 | So I guess my only question was if if you were a South Midland speaking
"[30:08] me011 | region , person ?"
[30:08] fe016 | Mm - hmm .
[30:09] me011 | Would you know it ? Is that what you would call yourself ?
[30:13] fe016 | I don't know .
[30:14] me011 | Yeah .
[30:19] me013 | names different peop
[30:23] me013 | I would think
[30:29] me013 | I went to s
"[30:35] fe008 | No , that 's not bad ."
[30:36] fe016 | Because
[30:37] fe008 | Yeah .
"[30:37] fe016 | it takes less time , and it 's sort of cute there 's no figure ."
[30:41] me013 | Well .
[30:45] me013 | But
[30:45] me013 | what if you moved five times and and uh
"[30:47] fe008 | Well , I was thinking you could have ma multiple ones"
"[30:47] fe016 | No , but you 're categorized ."
"[30:49] fe008 | and then the amount of time so , roughly ."
"[30:51] fe008 | So . You could say ,"
"[30:54] me011 | Well ,"
"[30:54] fe008 | five years on the west coast "" or something or other ."
[30:56] me011 | We I think we don't want
[30:57] me011 | to get that level of detail
[30:59] me011 | at this form . I think that 's alright if we want to follow up .
[31:03] me011 | But .
[31:05] me013 | I guess we don't really know .
"[31:06] fe016 | As I said , I don't think there 's a huge benefit"
[31:11] fe016 | The problem is that
[31:12] fe016 | for some things it 's really
[31:13] fe016 | clear and usually listening to it
"[31:15] fe016 | you can tell right away if it 's a New York or Boston accent ,"
"[31:19] fe016 | well , I guess they have the NYC , but"
[31:21] fe016 | New England has a bunch of very different
[31:25] fe008 | Mm - hmm .
[31:25] fe016 | and so does
[31:26] fe016 | um
"[31:28] me011 | Yeah , so I picked these regions cuz we had talked about TIMIT , and those are right from TIMIT ."
[31:28] fe016 | S So do other places .
[31:30] fe016 | Right . And so
[31:31] fe016 | these would be satisfying like
[31:32] me011 | So .
"[31:34] fe016 | a speech research community if we released the database ,"
"[31:38] fe016 | but as to whether subjects know where they 're from , I 'm not sure because"
[31:42] fe016 | um
[31:43] fe016 | I know that they had to fill this out for Switchboard . This is i almost exactly the same as Switchboard
[31:48] fe016 | regions or
[31:49] fe016 | very close . Yeah .
[31:51] fe016 | Um
[31:53] fe016 | And I don't know how they filled that out .
"[31:57] fe016 | Yeah , Midland is the one that 's"
[32:00] fe016 | difficult I guess .
[32:01] fe008 | I think a lot of people Yeah .
[32:02] fe016 | Also Northwest you 've got Oreg - Washington and Oregon now which
[32:06] fe016 | uh y people don't know if it 's western or northern .
"[32:08] me011 | Yeah , I certainly don't . I mean , I was saying I don't even know what I speak ."
"[32:11] me013 | Oh , what is Northern ?"
[32:12] me011 | Am I speaking
[32:14] me011 | Western ?
[32:16] me013 | Well and what and what 's Northern ?
[32:21] me011 | Northwest ?
[32:21] fe016 | Northwest
[32:22] mn005 | Yeah .
[32:24] fe016 | Yeah .
[32:29] me011 | I c
"[32:35] me011 | I think at the first level , for example , we speak the same ."
[32:36] fe016 | I don't know .
[32:38] me011 | our our dialects
[32:39] fe008 | Uh - huh .
[32:40] me011 | Or whatever you region are the same . But I don't know what it is .
[32:43] me011 | So .
[32:45] me011 | a techno - speak accent ?
"[32:46] fe016 | Yeah , you know ?"
[32:47] me011 | A a geek region ?
[32:49] fe016 | I mean I you can sort of identify it f
[32:53] fe016 | but but
[32:55] fe016 | maybe we could
[32:59] fe016 | See what people choose
"[33:04] fe008 | I 'm wondering about a question like , "" Where are you from mostly ? """
[33:09] me013 | But I I 'm s
[33:10] mn005 | Yeah .
"[33:10] me013 | I 'm now that you mentioned it though , I am really am confused by "" Northern "" ."
[33:13] fe008 | I agree .
"[33:13] me013 | I really am . I mean ,"
[33:13] fe008 | I agree .
[33:14] mn005 | Yeah .
[33:14] fe008 | I agree .
"[33:15] me013 | in New England , that 's North ."
[33:17] me013 | If you 're i if you 're
"[33:20] fe008 | Scandinavian , the Minnesota area 's north ."
[33:23] fe016 | That 's North Midland .
"[33:23] me013 | But that 's also North Midland , right ?"
[33:24] mn005 | Yeah .
"[33:25] fe008 | Oh , @ @ . OK ."
"[33:25] fe016 | Yeah . Of course , that 's very different from , like , Michigan ,"
"[33:28] me013 | and Oregon and Washington are are Western , but"
[33:28] mn005 | Mmm .
[33:31] me013 | they 're also Northern .
[33:32] fe008 | Mm - hmm .
"[33:33] me013 | uh , Idaho ?"
[33:35] fe016 | Well there are hardly any subjects from Idaho .
[33:36] me013 | Montana ?
[33:42] mn005 | Yeah .
[33:44] fe016 | Sorry .
[33:49] me011 | Yeah really .
[33:50] fe016 | We could ask where they 're from . Yeah . But -
"[33:51] fe008 | It 'd be pretty simple , yeah ."
[33:52] mn005 | Yeah .
[33:52] mn005 | If you put eh the state ?
[33:52] fe016 | We went back to that .
[33:54] fe008 | Where are you from mostly ?
[33:54] fe016 | We we went we went around this and then a lot of people
[33:56] mn005 | Uh - huh .
[33:59] mn005 | Mm - hmm .
[34:00] fe016 | You know .
"[34:00] me011 | Well , I like the idea of asking "" what variety of English do you speak "" as opposed to where you 're from"
"[34:06] me011 | Because th if we start asking where we 're from , again you have to start saying , "" well , is that the language you speak or is that just where you 're from ? """
[34:06] mn005 | Yeah .
[34:06] fe008 | Hmm ?
[34:10] fe016 | Right .
[34:11] fe016 | Right .
[34:12] mn005 | Yeah .
[34:12] me013 | Let 's Mm - hmm .
"[34:12] fe016 | I mean it gives us good information on where they 're from , but"
[34:17] me011 | I mean . So so I would say Germany
[34:20] me011 | You know am I speaking with German accent I don't think so .
[34:20] fe008 | Oh .
[34:22] fe016 | Right .
"[34:22] fe008 | Well , see , I 'm thinking "" Where are you from mostly """
"[34:24] me011 | Oh , OK yeah ."
"[34:25] fe008 | because , you know , then you have some some kind of subjective amount of time factored into it ."
[34:25] mn005 | Yeah .
[34:26] mn005 | Yeah .
[34:27] me011 | Yep .
[34:29] mn005 | Yeah .
"[34:29] me011 | Yeah , I guess I could try to put squeeze in a little map . I mean there 's not a lot of r of room"
"[34:35] me013 | I 'd say , uh ,"
"[34:36] me013 | "" Boston , New York City , the South and Regular "" ."
"[34:43] me011 | I think of those , Northern is the only one that I don't even know what they 're meaning ."
"[34:43] fe016 | Oh , I don't know ."
[34:43] fe008 | Yeah .
[34:48] fe016 | So let 's make it up .
"[34:49] fe016 | S I mean , who cares . Right ? We can make up our own So we can say "" Northwest "" ,"
"[34:53] fe016 | "" Rest of West "" or something ."
[34:55] fe016 | You know .
"[34:55] fe016 | "" West """
[34:56] fe016 | and
[34:57] me011 | Ye - hhh .
[34:59] me011 | I don't think the Northwest people speak any differently than I do .
[34:59] fe016 | I mean .
"[35:01] fe016 | Yeah , exactly . That 's not really a region ."
"[35:02] me013 | "" Do you come from the Louisiana Purchase ? """
[35:03] mn005 | And usually here people here know what is their
"[35:04] fe016 | "" Northern "" ."
[35:05] me011 | @ @
[35:08] mn005 | kind of mmm
[35:09] mn005 | lang English language ?
[35:11] me011 | That that 's exactly what we 're arguing about . We don't know .
[35:11] mn005 | eh here
[35:13] mn005 | Is easy for people to know ?
[35:14] fe016 | It 's it 's harder in America
"[35:16] fe016 | anywhere else , basically ."
"[35:17] me011 | I mean some of them are very obvious . If you if you talk to someone speaking with Southern drawl , you know ."
[35:22] mn005 | N m
[35:22] mn005 | Yeah .
"[35:23] fe008 | Yeah , or Boston ."
"[35:24] me011 | Or Boston , yeah ."
[35:25] mn005 | Or Boston ?
"[35:26] fe016 | And those people , if you ask them to self - identify their accent they know ."
[35:26] me013 | Yeah .
[35:26] mn005 | Yeah .
"[35:30] fe008 | Yeah , they do ."
[35:30] fe016 | They know very well .
[35:31] fe008 | Yeah I agree I agree . I agree .
[35:31] fe016 | They know they don't speak the same as the
[35:33] me011 | But
[35:33] fe008 | And they 're proud of it .
[35:34] fe016 | day o
[35:34] fe008 | Yeah .
[35:35] me011 | is Boston New England ?
[35:35] fe008 | It 's identity thing .
[35:36] fe016 | And they 're glad to tell you .
[35:36] mn005 | @ @ style .
[35:37] fe016 | Well .
[35:40] mn005 | Oh .
[35:40] me011 | I guess that 's the problem with these categories .
"[35:42] fe008 | Well , we ca"
"[35:43] me013 | Well , Boston 's @ @ , too ."
[35:45] fe008 | something like char characterize your accent
"[35:45] fe016 | "" Characterize your accent if you can . """
"[35:47] fe008 | and and so I would say , "" I don't know "" ."
[35:48] fe016 | Yeah .
[35:54] fe016 | And that 's actually good .
[35:54] mn005 | Yeah .
"[35:55] fe008 | or something , yeah ."
"[35:56] fe016 | I was I was thinking of something along that line because if you don't know ,"
[35:56] me013 | How -
[35:58] fe008 | Good .
"[36:00] fe016 | then ,"
"[36:01] fe016 | you know , ruling out the fact that you 're totally inept or something ,"
[36:04] fe008 | Hmm .
"[36:04] fe016 | if somebody doesn't know , it probably means their accent isn't very strong compared to the sort of"
"[36:05] me013 | Well ,"
"[36:08] me013 | I mean ,"
[36:08] fe016 | midwest
[36:08] fe008 | Hmm ?
[36:09] me013 | it wasn't that long ago that we had somebody here who was from Texas who was absolutely sure that he didn't have any accent left .
[36:09] fe016 | standard .
[36:15] me013 | And and had he had a
[36:16] me013 | pretty
"[36:17] me011 | OK , so . I propose , take out Northern"
[36:18] me013 | noticeable drawl .
"[36:21] me011 | add , don't know ."
"[36:22] fe008 | Oh . Yeah . I I would say more more sweepingly , "" how would you characterize your"
[36:23] mn005 | Yeah .
"[36:26] fe008 | accent ? """
[36:27] me011 | So you want to change the instructions also not just say region ?
"[36:31] fe008 | Well , I think this discussion has made me think that 's s something to consider ."
"[36:37] me011 | they 're going to answer the same way if you say , "" What 's variety of English do you speak ? Region . """
"[36:42] me011 | as if you say "" what variety of region region do you speak ?"
"[36:44] me011 | Please characterize your accent ? """
[36:45] me011 | They 're going to answer the same way .
[36:47] mn005 | Mmm .
"[36:52] me011 | Oh , I see ."
[36:53] me011 | Well what we talked about with that is is so that they would understand the granularity .
"[36:57] fe008 | Yes , but if , as Liz is suggesting , people who have strong accents know"
"[37:03] me011 | I mean that 's what I had before , and you told me to list the regions to list them ."
"[37:05] fe008 | Well , I know ."
[37:06] me013 | Right .
[37:07] me013 | Right . Right .
[37:07] me011 | So .
[37:08] fe008 | That 's true .
"[37:08] me013 | Yeah last week last week I was sort of r arguing for having it wide open , but then everybody said "" Oh , no , but then it will be hard to interpret"
"[37:14] me013 | because some people will say Cincinnati and some will say Ohio "" . And ."
[37:15] me011 | I mean I had it wide open last week and and you said TIMIT .
[37:17] fe016 | What if we put in both ?
[37:17] fe008 | Yeah .
[37:17] me013 | Yeah .
"[37:19] me011 | That 's what the "" Other "" is for ."
"[37:21] fe016 | No , I mean what if we put in both ways of asking them ?"
"[37:23] fe016 | So . One is Region and the another one is "" if you had to characterize yourself your accent ,"
"[37:28] fe016 | what would you say ? """
[37:28] me011 | Won't they answer the same thing ?
[37:30] fe016 | Well they might only answer only one of the questions but
[37:33] fe016 | if
[37:33] fe008 | Yeah that 's fine .
[37:34] fe016 | You know .
"[37:34] fe008 | They might say "" Other "" for Region because they don't know what category to use"
[37:38] fe008 | because it is easier to have it open ended .
"[37:38] fe016 | And we we might learn from what they say , as to which one 's a better way to ask it ."
[37:43] fe016 | But I Cuz I really don't know .
[37:44] me013 | This is just a small thing but
[37:44] fe016 | @ @
[37:46] me013 | um
"[37:47] me013 | It says "" Variety "" and then it gives things that e have"
[37:49] me013 | American as one of the choices .
"[37:51] me013 | But then it says "" Region "" , but Region actually just applies to"
"[37:55] me013 | uh , US , right ?"
[37:55] me011 | Right .
"[37:57] me011 | I mean that 's why I put the "" Other "" in ."
"[37:58] fe008 | Well , we thought about it ."
"[37:59] me013 | Ah , OK ."
"[38:00] fe008 | Yeah , OK ."
"[38:00] fe008 | We just We sort of thought , "" yes , """
[38:01] me013 | S
"[38:02] fe008 | At the last meeting , my recollection was that"
[38:06] fe008 | uh
[38:08] fe008 | that that there are so many types and varieties of these other languages and we are not going to have that many subjects from these different
[38:13] fe008 | language groups and that it 's a
[38:14] me011 | Yep .
[38:17] fe008 | of space .
[38:18] me013 | OK .
"[38:19] me011 | So I mean , I I mean the way I had it last time was Region was blank , it just said Region colon ."
[38:19] fe008 | That 's what I thought .
[38:24] fe008 | Yeah .
[38:24] fe008 | Yeah .
"[38:25] me011 | And and I think that that 's the best way to do it ,"
[38:32] fe016 | Maybe we can make the list a little smaller .
"[38:34] me011 | Well , certainly dropping "" Northern "" I think is right , because none of us know what that is ."
"[38:38] fe016 | And keeping "" Other "" ,"
"[38:40] fe016 | and then maybe this North Midland , we call it "" North Midwest "" ."
[38:45] fe016 | South Midwest .
[38:46] fe016 | Does that make sense ?
[38:46] me013 | I I think so . Yeah .
[38:46] mn005 | South Midwest ?
"[38:48] me013 | U unless you 're from Midland , Kansas . But . Yeah ."
"[38:54] me011 | Is "" Midwest "" one word ?"
"[38:55] me013 | Midland Midland , Texas or Midland , Kansas ? I forget ."
"[38:57] fe016 | Y yeah , one w"
[38:58] me013 | But there 's a town .
[38:59] fe016 | Oh .
[38:59] me013 | in in there . I forget what it is @ @ .
[39:01] fe008 | I don't think that 's what they mean .
"[39:02] fe016 | But , yeah . So . Kansas would be South Midland . Right ?"
[39:02] me013 | Yeah .
[39:05] me013 | Y yeah .
[39:06] fe016 | And and wouldn't Yeah .
"[39:07] fe016 | So , th"
"[39:07] me013 | And Colorado , right across the border , would be"
"[39:08] fe016 | I 'm from Kansas ,"
[39:09] fe016 | actually .
[39:10] me013 | North Midland .
[39:11] fe016 | Yeah .
"[39:14] fe016 | the dropping North , so it would be"
[39:16] fe016 | Western . It 's just one big
"[39:19] fe016 | shebang ,"
"[39:22] me013 | But you do in the others , too . So ."
[39:22] me011 | But that 's true of New England too .
[39:23] fe016 | but so do you Yeah .
[39:24] me013 | Yeah .
[39:24] fe016 | Yeah .
[39:25] fe016 | Yeah .
"[39:26] me011 | Well , I shouldn't say that . I have no clue . I was going to say the only one that doesn't have a huge variety is New York City . But I have no idea whether it does or not ."
[39:32] fe008 | It does seem I mean . I I would
[39:32] me013 | U
[39:35] fe008 | w
